Word	Latvian-lv	Valence	Arousal	Dominance
electrocute	elektrošoku	0.271	0.731	0.555
electrocution	elektriskās strāvas trieciens	0.177	0.844	0.692
electromagnetic	elektromagnētiskais	0.531	0.632	0.683
electron	elektronu	0.520	0.455	0.560
electronic	elektroniski	0.571	0.490	0.704
electronics	elektronika	0.708	0.545	0.574
elegance	elegance	0.918	0.396	0.824
elegant	elegants	0.865	0.500	0.685
element	elements	0.531	0.259	0.481
elemental	elementāls	0.627	0.306	0.711
elementary	vienkāršs	0.594	0.286	0.686
elements	elementi	0.510	0.312	0.462
elephant	zilonis	0.531	0.510	0.615
elevate	pacelt	0.812	0.500	0.804
elevated	paaugstināts	0.704	0.594	0.620
elevation	pacēlums	0.760	0.759	0.711
elevator	lifts	0.562	0.604	0.676
eleven	vienpadsmit	0.449	0.250	0.430
eleventh	vienpadsmitais	0.594	0.329	0.357
elf	elfs	0.460	0.457	0.315
elicit	izsaukt	0.406	0.594	0.658
eligible	atbilstīgs	0.750	0.400	0.518
eliminate	likvidēt	0.265	0.670	0.324
elimination	likvidēšana	0.052	0.667	0.431
elite	elite	0.688	0.704	0.737
elitist	elitārs	0.500	0.606	0.656
elixir	eliksīrs	0.708	0.587	0.604
elk	aļņ	0.439	0.337	0.340
ell	ell	0.469	0.418	0.373
ellipse	elipse	0.531	0.410	0.479
ellipsis	elipsis	0.653	0.358	0.314
ellipsoid	elipsoīds	0.500	0.440	0.419
elliptic	eliptisks	0.500	0.431	0.528
elliptical	eliptisks	0.338	0.385	0.490
elm	elm	0.510	0.345	0.321
elongate	pagarināts	0.583	0.385	0.540
elongation	pagarinājums	0.561	0.500	0.500
elope	dzīve	0.396	0.694	0.528
eloquence	daiļrunība	0.729	0.490	0.804
eloquent	daiļrunīgs	0.870	0.680	0.741
elucidate	izskaidrot	0.583	0.509	0.518
elucidation	izskaidrojums	0.650	0.574	0.586
elude	izdzīvot	0.438	0.521	0.464
elusive	nenotverams	0.229	0.615	0.466
emaciated	iztukšots	0.103	0.541	0.151
email	e-pasts	0.698	0.230	0.456
emanate	izplūst	0.653	0.464	0.554
emancipation	emancipācija	0.704	0.684	0.763
embankment	krastmala	0.677	0.438	0.436
embargo	NO TRANSLATION	0.229	0.564	0.443
embark	iekāpt	0.541	0.550	0.619
embarrass	apkaunot	0.082	0.667	0.364
embarrassed	apkaunots	0.184	0.560	0.246
embarrassing	apgrūtinošs	0.226	0.809	0.225
embarrassment	apmulsums	0.143	0.685	0.226
embassy	vēstniecība	0.622	0.333	0.758
embattled	apbruņots	0.235	0.724	0.421
embed	iegult	0.417	0.554	0.670
embellish	izrotāt	0.842	0.500	0.769
embellishment	greznojums	0.673	0.449	0.405
embers	embers	0.490	0.481	0.508
embezzlement	piesavināšanās	0.143	0.827	0.435
embezzler	embezzler	0.146	0.823	0.491
emblem	emblēma	0.640	0.330	0.754
emblematic	simbolisks	0.771	0.459	0.798
embodiment	iemiesojums	0.562	0.690	0.663
embolism	embolija	0.104	0.660	0.302
embossed	reljefs	0.531	0.481	0.500
embrace	apņemt	0.949	0.490	0.452
embroidered	izšūti	0.677	0.279	0.407
embroidery	izšuvumi	0.781	0.358	0.280
embroiled	iemiesota	0.337	0.721	0.420
embryo	embrijs	0.673	0.469	0.453
embryonic	embrionāls	0.573	0.453	0.598
emcee	emcee	0.694	0.577	0.691
emerald	smaragds	0.740	0.363	0.726
emerge	parādīties	0.602	0.594	0.731
emergence	parādīšanās	0.276	0.857	0.676
emergency	ārkārtas	0.200	0.900	0.571
emeritus	emerītis	0.633	0.402	0.735
emery	smirģelis	0.469	0.583	0.472
emetophobia	emetofobija	0.243	0.620	0.403
emigrate	emigrēt	0.356	0.812	0.508
emigration	emigrācija	0.564	0.664	0.432
eminence	Eminence	0.816	0.644	0.837
eminent	izcili	0.740	0.620	0.830
eminently	ievērojami	0.694	0.607	0.773
emir	NO TRANSLATION	0.510	0.396	0.621
emissary	emisija	0.562	0.462	0.636
emission	emisija	0.510	0.453	0.591
emit	emitēt	0.638	0.445	0.510
emo	emo	0.354	0.314	0.226
emotion	emocijas	0.693	0.873	0.696
emotional	emocionāls	0.779	0.714	0.526
emotive	emocionāls	0.917	0.741	0.525
empathic	empatija	0.760	0.570	0.558
empathize	empātijot	0.802	0.591	0.660
empathy	empātija	0.729	0.349	0.545
emperor	ķeizars	0.651	0.704	0.962
emphasis	uzsvars	0.653	0.745	0.816
emphasize	uzsvērt	0.510	0.605	0.769
emphatic	izteiksmīgs	0.615	0.707	0.732
emphysema	emfizēma	0.156	0.556	0.336
empire	impērija	0.688	0.730	0.944
empirical	empīrisks	0.500	0.510	0.574
empiricism	empīrisms	0.583	0.460	0.547
employ	nodarbināt	0.729	0.481	0.702
employee	darbinieks	0.582	0.361	0.481
employer	darba devējs	0.663	0.518	0.767
employment	nodarbinātība	0.750	0.594	0.611
emporium	emporium	0.622	0.556	0.724
empower	dot iespēju	0.694	0.779	0.891
empress	ķeizariene	0.716	0.669	0.855
emptiness	tukšums	0.177	0.173	0.184
emption	iegāde	0.570	0.406	0.458
empty	tukšs	0.188	0.183	0.081
emu	emu	0.420	0.358	0.330
emulate	līdzināties	0.438	0.340	0.549
emulsion	emulsija	0.562	0.431	0.453
enable	iespējot	0.760	0.491	0.782
enablement	iespējošana	0.600	0.451	0.750
enact	ieviest	0.680	0.564	0.598
enactment	pieņemšana	0.667	0.612	0.769
enamel	emalja	0.594	0.280	0.306
encampment	nometne	0.677	0.573	0.605
enchant	enchant	0.873	0.650	0.643
enchanted	enchanted	0.917	0.633	0.687
enchanting	burvīgs	0.917	0.681	0.708
enchantment	burvība	0.816	0.775	0.647
enchantress	enchantress	0.398	0.663	0.479
enchilada	enchilada	0.542	0.553	0.371
encircle	apņemt	0.460	0.500	0.519
encircling	apkārtne	0.510	0.368	0.557
enclave	anklāvs	0.531	0.333	0.580
enclose	pievienojiet	0.531	0.477	0.473
enclosure	korpuss	0.417	0.375	0.490
encode	kodēt	0.490	0.500	0.734
encomiastic	NO TRANSLATION	0.541	0.500	0.670
encomium	encomium	0.541	0.451	0.519
encompass	ietvert	0.520	0.298	0.661
encore	NO TRANSLATION	0.510	0.423	0.500
encounter	saskarties	0.865	0.702	0.689
encourage	iedrošināt	0.896	0.580	0.704
encouraged	ieteicams	0.953	0.702	0.657
encouragement	iedrošinājums	0.865	0.700	0.759
encouraging	iedrošinot	0.823	0.583	0.755
encroach	iejaukties	0.302	0.742	0.702
encroachment	iejaukšanās	0.255	0.736	0.620
encrypt	šifrēt	0.500	0.387	0.500
encryption	šifrēšana	0.547	0.415	0.474
encumbrance	apgrūtinājums	0.300	0.521	0.480
encyclopedia	enciklopēdija	0.679	0.320	0.645
end	beigas	0.198	0.349	0.298
end table	beigu tabula	0.541	0.480	0.482
endanger	apdraudēt	0.115	0.885	0.404
endangered	apdraudēta	0.083	0.885	0.430
endangerment	apdraudējums	0.167	0.873	0.519
endearing	labprātīgs	0.663	0.434	0.604
endeavor	pūlēties	0.677	0.755	0.765
ended	beidzās	0.302	0.500	0.500
endemic	endēmisks	0.406	0.480	0.483
endgame	galda spēle	0.449	0.538	0.526
ending	beidzas	0.344	0.365	0.492
endless	bezgalīgs	0.347	0.462	0.472
endocarditis	endokardīts	0.235	0.587	0.412
endorse	atbalstīt	0.592	0.392	0.472
endorsement	apstiprinājums	0.834	0.360	0.611
endow	apveltīt	0.684	0.398	0.609
endowed	apveltīts	0.755	0.510	0.769
endowment	dotācijas	0.685	0.578	0.647
endpapers	galerijas	0.542	0.400	0.339
endpoint	beigu punkts	0.311	0.410	0.448
endurance	izturība	0.592	0.745	0.760
endure	paciest	0.320	0.610	0.574
enduring	noturīgs	0.633	0.459	0.768
enema	klizma	0.281	0.673	0.268
enemy	ienaidnieks	0.135	0.794	0.591
energetic	enerģisks	0.847	0.868	0.902
energize	aktivizēt	0.792	0.810	0.875
energy	enerģija	0.944	0.725	0.868
enforce	izpildīt	0.583	0.644	0.836
enforcement	izpilde	0.594	0.571	0.736
enforcer	izpildītājs	0.398	0.612	0.639
engage	iesaistīties	0.771	0.796	0.713
engaged	iesaistīts	0.837	0.596	0.849
engagement	iesaistīšanās	0.906	0.587	0.807
engaging	iesaistoties	0.948	0.612	0.862
engender	radīt	0.561	0.741	0.688
engine	dzinējs	0.615	0.644	0.676
engineer	inženieris	0.719	0.500	0.875
engineering	inženierija	0.735	0.471	0.836
engrave	gravēt	0.486	0.442	0.517
engraved	iegravēts	0.542	0.375	0.473
engraver	gravieris	0.552	0.417	0.500
engraving	gravēšana	0.604	0.430	0.442
engrossed	pārņemts	0.541	0.471	0.304
engrossing	aizraujošs	0.698	0.702	0.750
engulf	apgrūtināt	0.398	0.573	0.500
enhance	uzlabot	0.802	0.578	0.814
enhancement	uzlabošana	0.877	0.490	0.741
enigma	mīkla	0.513	0.700	0.500
enigmatic	noslēpumains	0.469	0.589	0.679
enjoin	pieprasa	0.594	0.454	0.732
enjoy	Izbaudi	0.959	0.725	0.750
enjoyable	patīkams	1.000	0.481	0.605
enjoying	bauda	0.908	0.759	0.759
enjoyment	bauda	0.930	0.612	0.716
enlarge	palielināt	0.735	0.606	0.688
enlarged	paplašināts	0.673	0.490	0.518
enlargement	paplašināšanās	0.677	0.577	0.616
enlighten	apgaismo	0.729	0.549	0.667
enlightened	apgaismots	0.956	0.566	0.700
enlightening	apgaismojošs	0.825	0.729	0.727
enlightenment	apgaismība	0.837	0.549	0.619
enlist	piesaistīt	0.510	0.370	0.483
enliven	atdzīvināt	0.833	0.683	0.702
enmity	naids	0.094	0.706	0.382
ennui	ennui	0.406	0.461	0.316
enormity	milzums	0.594	0.648	0.848
enormous	milzīgs	0.677	0.665	0.886
enormously	milzīgi	0.760	0.694	0.872
enraged	sašutums	0.083	0.962	0.636
enrich	bagātināt	0.896	0.731	0.705
enroll	reģistrēties	0.696	0.530	0.611
enrollment	uzņemšana	0.667	0.391	0.698
ensemble	ansamblis	0.697	0.418	0.586
ensign	flagship	0.663	0.270	0.545
enslave	pakavēties	0.073	0.800	0.481
enslaved	verdzība	0.104	0.720	0.321
enslavement	padievi	0.086	0.635	0.302
ensue	sekojiet	0.698	0.363	0.332
ensure	nodrošināt	0.737	0.406	0.759
entail	saistīt	0.484	0.630	0.645
entangled	sapinušies	0.319	0.578	0.357
entanglement	iejaukšanās	0.302	0.765	0.248
enter	ievadiet	0.708	0.470	0.500
enterprise	uzņēmums	0.760	0.392	0.754
enterprising	uzņēmīgs	0.865	0.784	0.875
entertain	izklaidēt	0.918	0.684	0.598
entertained	izklaidēja	0.902	0.644	0.712
entertainer	izklaides mākslinieks	0.888	0.709	0.759
entertaining	izklaidējošs	0.833	0.658	0.660
entertainment	izklaide	0.847	0.750	0.569
enthralled	enthralled	0.745	0.602	0.615
enthusiasm	entuziasms	0.938	0.816	0.798
enthusiast	entuziasts	0.867	0.810	0.875
enthusiastic	entuziasts	0.885	0.868	0.848
entice	vilināt	0.521	0.887	0.518
entire	viss	0.689	0.462	0.698
entirety	pilnība	0.854	0.460	0.804
entitle	tiesības	0.729	0.333	0.827
entity	vienība	0.542	0.402	0.670
entomology	entomoloģija	0.438	0.396	0.545
entourage	apkārtne	0.491	0.567	0.467
entrails	ietekas	0.365	0.538	0.387
entrance	ieeja	0.698	0.393	0.526
entrapment	aizķeršanās	0.177	0.604	0.441
entreat	lūgt	0.304	0.560	0.462
entree	Ieeja	0.615	0.477	0.624
entrepreneur	uzņēmējs	0.885	0.704	0.920
entrust	uzticēt	0.693	0.310	0.630
entry	ieraksts	0.552	0.353	0.602
enumerate	uzskaitīt	0.521	0.390	0.491
enumeration	uzskaitījums	0.548	0.327	0.534
envelope	aploksne	0.604	0.275	0.377
envious	skaudīgs	0.110	0.754	0.341
environ	NO TRANSLATION	0.724	0.221	0.433
environment	vide	0.646	0.194	0.528
environmental	vides aizsardzība	0.633	0.313	0.664
environs	apkaimē	0.561	0.288	0.345
envision	iedomāties	0.625	0.449	0.483
envoy	sūtnis	0.531	0.375	0.586
envy	skaudība	0.240	0.704	0.427
enzyme	fermentu	0.562	0.277	0.481
ephemeral	īslaicīgs	0.500	0.312	0.377
ephemeris	efemerias	0.640	0.380	0.528
epic	epika	0.857	0.713	0.830
epidemic	epidēmija	0.092	0.830	0.611
epidermis	epidermu	0.418	0.490	0.426
epidural	epidurāls	0.347	0.452	0.525
epilepsy	epilepsija	0.061	0.854	0.250
epileptic	epilepsija	0.146	0.794	0.340
epilogue	epilogs	0.582	0.353	0.466
epiphany	epifāna	0.625	0.596	0.526
episcopal	bīskaps	0.542	0.314	0.750
episode	epizode	0.719	0.367	0.509
episodic	epizodisks	0.531	0.542	0.462
epistle	vēstījums	0.604	0.417	0.535
epitaph	epitaph	0.276	0.323	0.442
epithet	epitets	0.530	0.394	0.524
epitome	epitome	0.510	0.500	0.667
epoch	laikmets	0.553	0.343	0.797
equal	vienāds	0.781	0.178	0.407
equality	vienlīdzība	0.898	0.305	0.716
equalization	izlīdzināšana	0.625	0.422	0.423
equalize	izlīdzināt	0.738	0.281	0.574
equalizer	ekvalaizeris	0.604	0.451	0.586
equally	vienādi	0.625	0.264	0.436
equate	pielīdzināt	0.724	0.382	0.624
equation	vienādojums	0.479	0.384	0.608
equator	ekvators	0.550	0.302	0.462
equatorial	ekvatoriāls	0.550	0.271	0.593
equestrian	zirgu izjādes	0.633	0.519	0.417
equidistant	equidistant	0.375	0.406	0.509
equilibration	līdzsvarošana	0.724	0.317	0.593
equilibrium	līdzsvars	0.676	0.235	0.620
equip	aprīkot	0.650	0.519	0.713
equipment	iekārtas	0.745	0.495	0.700
equitable	taisnīga	0.714	0.286	0.750
equity	pašu kapitāls	0.792	0.304	0.614
equivalence	līdzvērtība	0.663	0.250	0.582
equivalent	ekvivalents	0.646	0.347	0.500
equivocal	neskaidrs	0.327	0.482	0.257
era	laikmets	0.615	0.407	0.449
eradicate	iznīcināt	0.260	0.690	0.686
eradication	izskaušana	0.208	0.788	0.685
erase	dzēst	0.240	0.260	0.321
eraser	dzēšgumija	0.458	0.209	0.311
erasure	dzēst	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	uzcelt	0.643	0.885	0.627
erectile	erektils	0.542	0.796	0.625
erection	erekcija	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	izzušana	0.208	0.643	0.580
erosion	erozija	0.312	0.770	0.465
erotic	erotiska	0.625	0.946	0.683
erotica	erotika	0.781	0.870	0.579
err	kļūda	0.146	0.660	0.236
errand	uzdevums	0.385	0.519	0.482
errant	nepareizs	0.205	0.602	0.375
erratic	nepareizs	0.271	0.503	0.217
erratum	kļūda	0.327	0.528	0.436
erroneous	kļūdains	0.057	0.561	0.245
error	kļūda	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	erudīts	0.719	0.434	0.774
erupt	izlauzties	0.188	0.820	0.818
eruption	izvirdums	0.156	0.913	0.733
escalade	escalade	0.480	0.724	0.442
escalate	pastiprināties	0.653	0.714	0.728
escalating	pieaudzis	0.646	0.724	0.518
escalation	eskalācija	0.571	0.807	0.582
escalator	eskalators	0.500	0.530	0.518
escape	aizbēgt	0.367	0.765	0.448
escaped	aizbēga	0.365	0.755	0.518
escarpment	iežogojums	0.406	0.553	0.470
eschew	izvairīties	0.184	0.438	0.370
escort	eskorts	0.729	0.480	0.608
escrow	darījuma konts	0.449	0.520	0.613
esophagus	barības vads	0.429	0.454	0.464
esoteric	ezoterika	0.500	0.676	0.545
especial	NO TRANSLATION	0.827	0.419	0.794
espionage	spiegošana	0.312	0.750	0.620
espouse	espouse	0.802	0.529	0.598
espresso	espresso	0.677	0.620	0.508
esprit	esprit	0.552	0.431	0.407
esquire	Esquire	0.604	0.542	0.518
essay	eseja	0.559	0.411	0.530
essayist	eseists	0.656	0.460	0.462
essence	būtība	0.663	0.369	0.575
essential	būtiska	0.812	0.405	0.759
essentially	būtībā	0.750	0.373	0.802
establish	izveidot	0.708	0.500	0.688
established	izveidota	0.796	0.394	0.694
establishment	uzņēmums	0.690	0.398	0.631
estate	īpašums	0.653	0.385	0.647
esteem	cieņa	0.745	0.380	0.679
esteemed	esteemed	0.694	0.418	0.531
esthetic	estētisks	0.635	0.360	0.558
estimable	aplēstams	0.796	0.408	0.630
estimate	aplēse	0.719	0.469	0.517
estimation	novērtējums	0.740	0.480	0.589
estoppel	estoppel	0.354	0.459	0.482
estranged	estranged	0.156	0.382	0.377
estrogen	estrogēns	0.580	0.500	0.425
estuary	estuārs	0.469	0.278	0.482
etch	etch	0.510	0.367	0.598
etching	kodināšana	0.567	0.491	0.575
eternal	mūžīgais	0.854	0.409	0.843
eternity	mūžība	0.765	0.520	0.911
ethanol	etanols	0.333	0.410	0.534
ether	ēteris	0.490	0.306	0.412
ethereal	ēterisks	0.520	0.419	0.518
ethic	ētika	0.786	0.260	0.791
ethical	ētiska	0.854	0.324	0.634
ethics	ētika	0.658	0.296	0.731
ethnic	etnisks	0.583	0.373	0.555
ethnography	etnogrāfija	0.571	0.373	0.549
etiology	etioloģija	0.500	0.385	0.639
etiquette	etiķete	0.604	0.350	0.421
etymology	etnoloģija	0.531	0.370	0.529
eucalyptus	eikalipts	0.602	0.308	0.418
euchre	euchre	0.470	0.459	0.442
eugenics	eugēnika	0.448	0.530	0.518
eulogistic	eulogistic	0.740	0.623	0.694
eulogium	eulogija	0.542	0.482	0.655
eulogize	eulogize	0.850	0.518	0.679
eulogy	eulogy	0.625	0.443	0.667
euphemism	eifēmisms	0.418	0.453	0.491
euphoria	eiforija	0.769	0.955	0.648
euphoric	eiforisks	0.745	0.904	0.588
euro	eiro	0.680	0.441	0.521
euthanasia	eitanāzija	0.229	0.716	0.325
evacuate	evakuēt	0.354	0.792	0.314
evacuation	evakuācija	0.160	0.755	0.582
evade	izvairīties	0.304	0.490	0.342
evaluate	novērtēt	0.663	0.640	0.649
evaluation	novērtēšana	0.542	0.667	0.764
evanescence	evanescence	0.527	0.519	0.458
evangelical	evaņģēliski	0.602	0.389	0.602
evangelist	evaņģēlists	0.582	0.464	0.702
evangelistic	evangelistisks	0.660	0.375	0.612
evaporate	iztvaicēt	0.357	0.469	0.402
evaporation	iztvaikošana	0.556	0.346	0.388
evasion	izvairīšanās no nodokļu maksāšanas	0.229	0.510	0.418
evasive	izvairīga	0.117	0.596	0.425
eve	priekšvakarā	0.612	0.378	0.440
evening	vakarā	0.458	0.185	0.318
evens	NO TRANSLATION	0.592	0.430	0.457
event	notikums	0.745	0.673	0.664
eventful	piedzīvots	0.543	0.837	0.510
eventual	iespējams	0.633	0.459	0.413
eventuality	iespējamība	0.469	0.627	0.527
evergreen	mūžzaļais	0.729	0.471	0.546
everlasting	mūžīgs	0.740	0.413	0.809
evermore	mūžīgi	0.677	0.450	0.403
everyday	katru dienu	0.740	0.392	0.472
everyman	katrs vīrietis	0.522	0.333	0.535
evict	izlikt	0.042	0.632	0.377
eviction	izlikšana	0.185	0.731	0.455
evidence	pierādījumi	0.500	0.500	0.778
evident	acīmredzams	0.633	0.444	0.664
evidentiary	apliecinājums	0.448	0.541	0.717
evil	ļaunums	0.040	0.827	0.545
evoke	izraisīt	0.438	0.341	0.500
evolution	evolūcija	0.781	0.657	0.854
evolutionary	evolucionārs	0.796	0.673	0.825
evolve	attīstīties	0.655	0.692	0.896
ewe	ave	0.429	0.216	0.277
ex	ex	0.250	0.520	0.306
exacerbate	saasināt	0.323	0.776	0.580
exacerbation	paasinājums	0.344	0.810	0.480
exact	precīzi	0.719	0.354	0.685
exacting	prasīgs	0.448	0.673	0.767
exaggerate	pārspīlēt	0.193	0.760	0.529
exaggerated	pārspīlēts	0.224	0.885	0.732
exaggeration	pārspīlēts	0.312	0.775	0.582
exalt	paātrināt	0.656	0.750	0.745
exaltation	paaugstināšana	0.594	0.892	0.673
exalted	paaugstināts	0.676	0.845	0.696
exam	eksāmens	0.479	0.663	0.577
examination	pārbaude	0.378	0.657	0.679
examine	pārbaudīt	0.615	0.623	0.786
examiner	eksaminētājs	0.406	0.575	0.812
example	piemērs	0.542	0.337	0.510
exasperated	sajukums	0.229	0.816	0.377
exasperation	sajukums	0.214	0.833	0.483
excavate	izpostīt	0.583	0.613	0.635
excavation	izrakumi	0.540	0.644	0.527
excavator	ekskavators	0.427	0.673	0.649
exceed	pārsniegt	0.500	0.827	0.586
exceeding	pārsniedzot	0.500	0.802	0.668
excel	excel	0.561	0.363	0.466
excellence	izcilība	0.958	0.620	0.907
excellent	teicami	0.970	0.587	0.870
excelsior	excelsior	0.700	0.625	0.611
excepting	izņemot	0.408	0.413	0.526
exception	izņēmums	0.469	0.600	0.544
exceptional	izņēmuma	0.806	0.740	0.933
excerpt	izvilkums	0.437	0.367	0.543
excess	pārpalikums	0.385	0.889	0.712
excessive	pārmērīgs	0.417	0.731	0.601
excessively	pārmērīgi	0.449	0.882	0.716
exchange	apmaiņa	0.740	0.569	0.491
excise	akcīzes nodoklis	0.448	0.561	0.577
excision	izgriešana	0.260	0.480	0.519
excitability	uzbudināmība	0.906	0.910	0.724
excitable	uzbudināms	0.803	0.939	0.629
excitation	uzbudinājums	0.792	0.958	0.750
excite	satraukt	0.823	0.950	0.668
excited	satraukti	0.908	0.931	0.709
excitement	uztraukums	0.896	0.684	0.731
exciting	aizraujoša	0.950	0.792	0.789
exclaim	izteikties	0.635	0.711	0.639
exclamation	izsaukums	0.612	0.745	0.598
exclude	izslēgt	0.292	0.500	0.530
excluded	izslēgta	0.061	0.540	0.134
excluding	izņemot	0.271	0.550	0.324
exclusion	izslēgšana	0.240	0.530	0.389
exclusive	ekskluzīva	0.792	0.630	0.653
excrement	ekskrementi	0.041	0.558	0.221
excretion	izdalīšanās	0.285	0.650	0.457
excruciating	briesmīgs	0.083	0.837	0.345
excursion	ekskursija	0.625	0.714	0.627
excuse	attaisnojums	0.240	0.696	0.318
exec	exec	0.640	0.352	0.769
execute	izpildīt	0.327	0.708	0.769
execution	izpilde	0.160	0.811	0.713
executioner	kaķis	0.235	0.816	0.676
executive	izpildvara	0.704	0.449	0.894
executor	izpildītājs	0.365	0.755	0.759
exegesis	eksāmija	0.458	0.472	0.491
exemplar	piemērs	0.844	0.537	0.625
exemplary	paraugs	0.833	0.343	0.729
exemplify	piemērs	0.735	0.506	0.783
exempt	atbrīvots no nodokļa	0.588	0.455	0.664
exemption	atbrīvojums	0.531	0.578	0.627
exercise	vingrinājums	0.750	0.789	0.625
exert	izdarīt	0.694	0.735	0.806
exertion	piepūle	0.663	0.755	0.717
exhale	izelpot	0.542	0.490	0.411
exhaust	izplūdes gāzes	0.546	0.710	0.337
exhausted	izsmelti	0.123	0.423	0.202
exhaustion	izsmelšana	0.366	0.633	0.269
exhaustive	izsmeļošs	0.388	0.635	0.604
exhibit	eksponēt	0.688	0.633	0.708
exhibition	izstāde	0.698	0.590	0.531
exhilarated	uzmundrinošs	0.890	0.963	0.759
exhilarating	uzmundrinoša	0.917	0.823	0.810
exhilaration	uzmundrinājums	0.792	0.868	0.783
exhort	pamudini	0.378	0.660	0.745
exhortation	aicinājums	0.531	0.624	0.580
exhumation	ekshumācija	0.177	0.586	0.473
exhume	exhume	0.184	0.627	0.452
exigent	NO TRANSLATION	0.385	0.611	0.792
exile	trimdā	0.184	0.630	0.483
exist	pastāv	0.857	0.421	0.788
existence	esība	0.760	0.513	0.771
existent	pastāv	0.635	0.490	0.635
existential	eksistenciāls	0.583	0.510	0.638
existing	esošās	0.802	0.344	0.750
exit	Izeja	0.370	0.353	0.399
exodus	izceļošana	0.286	0.663	0.567
exonerate	attaisnot	0.592	0.500	0.538
exorbitant	pārmērīgs	0.398	0.865	0.825
exorcism	eksorcisms	0.163	0.980	0.557
exorcist	eksorcists	0.219	0.906	0.716
exotic	eksotisks	0.840	0.711	0.727
expand	paplašināt	0.792	0.559	0.686
expanded	paplašināts	0.760	0.406	0.689
expanse	plašums	0.594	0.529	0.689
expansion	paplašināšana	0.776	0.618	0.787
expansive	ekspansīva	0.708	0.650	0.778
expatriate	emigrējies	0.265	0.764	0.391
expect	sagaidīt	0.469	0.327	0.377
expectance	izredzes	0.552	0.724	0.660
expectancy	paredzamais mūža ilgums	0.581	0.622	0.558
expectant	gaidošais	0.708	0.650	0.474
expectation	cerības	0.771	0.690	0.707
expected	paredzams	0.729	0.412	0.545
expecting	gaidot	0.561	0.450	0.302
expediency	lietderība	0.604	0.443	0.703
expedient	lietderīgi	0.885	0.461	0.454
expedite	paātrināt	0.571	0.858	0.798
expedition	ekspedīcija	0.735	0.802	0.620
expeditious	ātrs	0.602	0.645	0.773
expel	izraidīt	0.281	0.725	0.452
expendable	izlietojams	0.479	0.490	0.423
expenditure	izdevumi	0.250	0.608	0.603
expense	izdevumi	0.317	0.451	0.377
expenses	izdevumi	0.240	0.633	0.396
expensive	dārgi	0.323	0.540	0.530
experience	pieredze	0.827	0.618	0.905
experienced	pieredzējis	0.771	0.613	0.914
experiences	pieredze	0.793	0.647	0.795
experiment	eksperiments	0.479	0.720	0.675
experimental	eksperimentāls	0.417	0.764	0.396
experimentation	eksperimentēšana	0.637	0.769	0.767
experimenter	eksperimentētājs	0.708	0.710	0.700
expert	eksperts	0.776	0.646	0.911
expertise	zināšanas	0.792	0.589	0.925
expiration	derīguma termiņš	0.265	0.539	0.463
expire	beidzas	0.573	0.745	0.702
expired	beidzies	0.198	0.394	0.200
expiry	derīguma termiņš	0.194	0.434	0.382
explain	paskaidrojiet	0.719	0.517	0.736
explanation	paskaidrojums	0.615	0.610	0.825
explanatory	paskaidrojošs	0.573	0.433	0.688
expletive	izteiksmīgs	0.357	0.567	0.536
explication	izskaidrojums	0.510	0.445	0.602
explicit	skaidrs	0.562	0.694	0.734
explode	eksplodēt	0.277	0.885	0.773
exploit	izmantot	0.312	0.878	0.660
exploitation	ekspluatācija	0.156	0.920	0.718
exploration	izpēte	0.594	0.650	0.773
exploratory	izpētes materiāls	0.653	0.690	0.698
explore	izpētīt	0.776	0.660	0.727
explorer	pētnieks	0.729	0.663	0.714
explosion	sprādziens	0.167	0.960	0.767
explosions	sprādzieni	0.123	0.860	0.594
explosive	sprādzienbīstams	0.156	0.943	0.663
expo	Expo	0.610	0.562	0.500
exponent	eksponents	0.529	0.510	0.845
exponential	eksponenciāls	0.704	0.588	0.763
export	eksports	0.567	0.661	0.755
exportation	izvešana	0.760	0.633	0.673
expose	pakļaut	0.344	0.643	0.537
exposed	pakļauti	0.471	0.661	0.509
exposition	ekspozīcija	0.521	0.627	0.655
expository	izklāsts	0.706	0.653	0.636
exposure	ekspozīcija	0.570	0.830	0.630
expound	izskaidrot	0.438	0.575	0.740
express	izteikt	0.760	0.623	0.691
expression	izteiksme	0.790	0.650	0.721
expressive	izteiksmīga	0.755	0.724	0.685
expressway	autostrāde	0.633	0.635	0.587
expropriation	atsavināšana	0.188	0.735	0.788
expulsion	izraidīšana	0.190	0.790	0.529
exquisite	izsmalcināts	0.892	0.644	0.604
exquisitely	izsmalcināti	0.849	0.728	0.723
extant	saglabājies	0.646	0.390	0.523
extend	pagarināt	0.646	0.570	0.689
extendable	pagarināms	0.660	0.592	0.722
extended	pagarināts	0.570	0.304	0.649
extension	pagarinājums	0.490	0.510	0.529
extensive	plašs	0.635	0.520	0.760
extent	apjoms	0.646	0.451	0.602
exterior	ārpuse	0.542	0.400	0.627
exterminate	iznīcināt	0.177	0.857	0.736
extermination	iznīcināšana	0.190	0.860	0.616
exterminator	iznīcinātājs	0.344	0.804	0.887
external	ārējs	0.479	0.341	0.509
externally	ārēji	0.643	0.521	0.568
extinct	izmiris	0.112	0.491	0.412
extinction	izzušana	0.104	0.750	0.611
extinguish	dzēst	0.240	0.576	0.482
