Word	Welsh-cy	Valence	Arousal	Dominance
calorie	calorïau	0.333	0.540	0.427
calorimeter	calorimedr	0.406	0.560	0.414
cam	cam	0.448	0.363	0.355
camaraderie	cyfeillgarwch	0.833	0.510	0.648
camber	camber	0.430	0.382	0.439
camcorder	camcorder	0.556	0.422	0.454
camel	camel	0.540	0.282	0.314
cameo	cameo	0.573	0.457	0.509
camera	camera	0.640	0.288	0.379
cameraman	dramor	0.542	0.452	0.542
camisole	camisole	0.497	0.250	0.375
camouflage	cuddliw	0.438	0.585	0.450
camouflaged	NO TRANSLATION	0.350	0.422	0.562
camp	gwersyll	0.622	0.617	0.594
campaign	ymgyrch	0.602	0.730	0.823
campaigner	ymgyrchydd	0.592	0.698	0.821
campaigning	ymgyrchu	0.531	0.663	0.741
camper	gwersyllwr	0.573	0.529	0.482
campfire	tân gwyllt	0.677	0.509	0.436
camping	gwersylla	0.653	0.529	0.480
campsite	gwersyll	0.680	0.490	0.547
campus	campws	0.604	0.388	0.519
can	gall	0.662	0.360	0.454
can opener	Gall agorwr	0.444	0.491	0.308
canal	camlas	0.673	0.259	0.321
canary	canari	0.582	0.276	0.265
cancel	canslo	0.214	0.306	0.368
canceling	canslo	0.229	0.470	0.349
cancellation	canslo	0.224	0.431	0.389
cancer	canser	0.052	0.694	0.529
candid	candid	0.667	0.349	0.458
candidacy	ymgeisyddiaeth	0.490	0.657	0.696
candidate	ymgeisydd	0.596	0.490	0.804
candied	candied	0.713	0.330	0.360
candle	cannwyll	0.602	0.221	0.344
candlelight	golau cannwyll	0.789	0.294	0.417
candles	canhwyllau	0.615	0.206	0.268
candlestick	canhwyllbren	0.448	0.531	0.534
candor	candor	0.740	0.389	0.607
candy	candy	0.930	0.425	0.384
cane	cwn	0.459	0.298	0.398
canine	canine	0.573	0.569	0.425
canister	canister	0.553	0.271	0.403
canker	canker	0.262	0.469	0.427
cannabis	canabis	0.271	0.500	0.564
canned	tun	0.398	0.357	0.298
cannibal	cannibal	0.122	0.824	0.480
cannibalism	canibaliaeth	0.094	0.890	0.583
canning	canning	0.490	0.392	0.259
cannon	canon	0.529	0.676	0.811
cannonball	cannonball	0.344	0.840	0.759
canoe	canŵ	0.542	0.300	0.418
canon	canon	0.385	0.519	0.541
canonical	canonig	0.542	0.410	0.620
canons	canonau	0.385	0.588	0.593
canopy	canopi	0.615	0.264	0.398
cantaloupe	cantaloupe	0.592	0.212	0.276
cantbreathe	NO TRANSLATION	0.284	0.667	0.375
canteen	ffreutur	0.688	0.600	0.514
canterbury	Caergaint	0.582	0.438	0.510
canthandleit	NO TRANSLATION	0.354	0.613	0.354
cantilever	cantilever	0.357	0.618	0.421
cantina	cantina	0.646	0.612	0.380
canto	NO TRANSLATION	0.776	0.461	0.554
canton	canton	0.542	0.472	0.536
cantstandit	NO TRANSLATION	0.418	0.546	0.343
cantwin	cantwin	0.260	0.509	0.298
canvas	cynfas	0.719	0.090	0.364
canvass	NO TRANSLATION	0.675	0.356	0.397
canyon	canyon	0.468	0.731	0.634
cap	cap	0.612	0.240	0.375
capability	gallu	0.833	0.571	0.730
capable	galluog	0.765	0.587	0.547
capacity	gallu	0.719	0.411	0.806
cape	cape	0.531	0.235	0.357
caper	caper	0.510	0.370	0.326
capillary	capilari	0.469	0.365	0.395
capital	cyfalaf	0.520	0.500	0.798
capitalism	cyfalafiaeth	0.448	0.686	0.848
capitalist	cyfalafwr	0.352	0.577	0.821
capitalize	manteisio arno	0.771	0.601	0.885
capitals	priflythrennau	0.755	0.500	0.655
capitation	capitation	0.479	0.529	0.589
capitol	capitol	0.535	0.375	0.705
capitulation	capitulation	0.375	0.546	0.615
cappuccino	cappuccino	0.792	0.279	0.384
caprice	caprice	0.333	0.640	0.430
capricious	caprus	0.221	0.650	0.500
caps	capiau	0.510	0.221	0.368
capslock	capslock	0.330	0.394	0.398
capsule	capsiwl	0.583	0.290	0.570
captain	capten	0.552	0.653	0.966
caption	pennawd	0.814	0.292	0.379
captivate	caethu	0.698	0.604	0.723
captivating	caethiwus	0.895	0.594	0.816
captive	caethus	0.235	0.558	0.411
captivity	caethiwed	0.225	0.493	0.387
captor	captor	0.347	0.625	0.612
capture	dal	0.357	0.650	0.537
car	car	0.776	0.540	0.500
caramel	caramel	0.901	0.363	0.400
carat	carat	0.823	0.604	0.676
caravan	carafan	0.635	0.559	0.455
carbon	carbon	0.604	0.360	0.350
carburetor	carburetor	0.469	0.612	0.555
carcass	carcas	0.115	0.529	0.309
carcinoma	carcinoma	0.153	0.692	0.440
card	cerdyn	0.531	0.269	0.436
cardboard	cardfwrdd	0.500	0.173	0.309
cardiac	cardiaidd	0.344	0.765	0.615
cardigan	cardigan	0.599	0.324	0.264
cardinal	cardinal	0.583	0.358	0.712
cardiologist	cardiolegydd	0.458	0.630	0.814
cardiology	cardioleg	0.203	0.545	0.605
cardiomyopathy	cardiomyopathi	0.177	0.645	0.537
cards	cardiau	0.568	0.317	0.320
care	gofal	0.729	0.370	0.500
career	gyrfa	0.740	0.712	0.606
carefree	yn ddigalon	0.755	0.220	0.500
careful	yn ofalus	0.625	0.538	0.530
carefully	yn ofalus	0.698	0.330	0.544
careless	ddiofal	0.255	0.431	0.125
carelessness	ddiofal	0.245	0.482	0.330
caress	cares	0.833	0.418	0.509
caret	caret	0.656	0.402	0.527
caretaker	gofalwr	0.714	0.531	0.759
cargo	cargo	0.408	0.444	0.455
caribou	caribou	0.562	0.452	0.342
caricature	cariad	0.604	0.373	0.383
caries	caries	0.115	0.569	0.283
caring	gofalgar	0.635	0.469	0.500
carjack	carjack	0.438	0.682	0.439
carnage	carnage	0.406	0.600	0.558
carnal	carnal	0.417	0.679	0.421
carnation	carnation	0.653	0.357	0.431
carnival	carnifal	0.927	0.888	0.555
carnivorous	carnifor	0.224	0.613	0.651
carol	carol	0.673	0.412	0.436
carols	carolau	0.847	0.420	0.491
carousel	carwsel	0.704	0.500	0.412
carp	carp	0.531	0.324	0.375
carpal	carpal	0.449	0.327	0.420
carpenter	saer	0.521	0.550	0.519
carpentry	gwaith saer	0.561	0.459	0.518
carpet	carped	0.520	0.170	0.339
carpeting	carpedio	0.542	0.312	0.444
carpool	carpool	0.625	0.509	0.500
carriage	cerbyd	0.650	0.538	0.491
carried	cario	0.490	0.382	0.534
carrier	cludwr	0.533	0.588	0.638
carrot	moron	0.500	0.235	0.279
carry	cario	0.635	0.380	0.500
carrying	cario	0.656	0.557	0.443
carsick	carsick	0.224	0.574	0.255
cart	cart	0.520	0.344	0.388
carte	NO TRANSLATION	0.592	0.320	0.274
cartel	cartel	0.438	0.394	0.602
carter	carter	0.312	0.480	0.431
cartilage	cartilag	0.438	0.370	0.407
cartographic	cartograffig	0.490	0.348	0.424
cartography	cartograffeg	0.520	0.300	0.579
carton	carton	0.286	0.186	0.241
cartoon	cartwn	0.867	0.471	0.387
cartouche	NO TRANSLATION	0.427	0.458	0.450
cartridge	cetris	0.458	0.500	0.407
carve	cerfio	0.469	0.443	0.598
carver	carwr	0.418	0.500	0.500
carving	cerfio	0.541	0.444	0.368
cascade	rhaeadru	0.735	0.509	0.395
case	achos	0.427	0.275	0.441
casein	achosin	0.470	0.436	0.415
cash	arian parod	0.867	0.552	0.714
cashier	ariannwr	0.615	0.413	0.484
cashmere	cashmir	0.653	0.452	0.439
casing	casio	0.458	0.327	0.328
casino	casino	0.542	0.684	0.568
cask	casg	0.490	0.398	0.444
casket	casged	0.125	0.490	0.346
casserole	caserol	0.570	0.360	0.328
cassette	casét	0.490	0.334	0.355
cast	cast	0.558	0.620	0.517
castaway	castaway	0.208	0.646	0.422
caste	cast	0.510	0.333	0.374
caster	caster	0.604	0.670	0.647
castle	castell	0.680	0.396	0.718
castor	castor	0.583	0.337	0.368
castrate	castrate	0.177	0.485	0.519
castration	castration	0.198	0.735	0.381
casual	yn achlysurol	0.643	0.224	0.385
casually	yn achlysurol	0.658	0.290	0.333
casualty	anafedig	0.235	0.274	0.132
cat	cath	0.667	0.260	0.370
catabolism	cataboliaeth	0.265	0.573	0.605
catalog	Catalog	0.561	0.221	0.573
catalogue	Catalog	0.647	0.327	0.533
catalysis	catalysis	0.385	0.559	0.531
catalyst	catalydd	0.604	0.509	0.585
catalytic	catalytig	0.562	0.519	0.563
catamaran	catamaran	0.571	0.566	0.526
catapult	catapult	0.480	0.830	0.649
cataract	cataract	0.406	0.545	0.549
catastrophe	trychineb	0.146	0.952	0.670
catastrophic	trychinebus	0.071	0.934	0.598
catatonic	catatonig	0.255	0.500	0.509
catch	dal	0.531	0.437	0.552
catcher	dalwr	0.653	0.413	0.540
catching	dal	0.490	0.788	0.644
catchphrase	ymadrodd	0.698	0.423	0.433
catchy	yn fachog	0.677	0.441	0.462
catechism	catecism	0.656	0.236	0.613
categorical	categoregol	0.615	0.442	0.760
category	Categori	0.571	0.264	0.521
cater	darparu	0.802	0.500	0.509
caterer	arlwywr	0.550	0.557	0.644
caterpillar	lindys	0.461	0.286	0.330
cates	cates	0.370	0.394	0.407
catfish	catfish	0.458	0.337	0.296
cathartic	cathartig	0.450	0.510	0.604
cathedral	gadeirlan	0.598	0.330	0.643
catheter	cathetr	0.336	0.491	0.373
catholic	catholig	0.646	0.240	0.575
cathouse	catheth	0.327	0.375	0.363
catnip	catnip	0.439	0.381	0.296
cattle	gwartheg	0.622	0.340	0.445
catwalk	catwalk	0.698	0.436	0.464
caucus	caucus	0.418	0.311	0.491
caudal	caudal	0.500	0.425	0.583
cauldron	cauldron	0.510	0.486	0.418
cauliflower	blodfresych	0.448	0.255	0.231
caulk	caulk	0.367	0.500	0.418
causal	achosol	0.562	0.367	0.491
causality	achosoldeb	0.500	0.378	0.336
causation	achos	0.562	0.480	0.567
cause	achos	0.469	0.373	0.486
caused	achosi	0.344	0.520	0.382
causeway	corsffordd	0.453	0.382	0.422
caution	rhybudd	0.552	0.712	0.547
cautionary	yn ofalus	0.510	0.541	0.519
cautious	yn ofalus	0.470	0.445	0.517
cautiously	yn ofalus	0.510	0.388	0.525
cavalier	cavalier	0.735	0.462	0.713
cavalry	cymrodyr	0.667	0.727	0.794
cave	ogof	0.459	0.333	0.380
caveat	cafeat	0.344	0.629	0.484
caveman	caveman	0.235	0.644	0.482
cavern	cavern	0.323	0.360	0.365
cavernous	cavernous	0.354	0.548	0.462
caviar	caviar	0.906	0.394	0.481
caving	ogof	0.378	0.491	0.551
cavity	ceudod	0.466	0.385	0.379
cayenne	cayenne	0.615	0.306	0.355
cease	yn dod i ben	0.388	0.250	0.420
ceasefire	stopio	0.542	0.594	0.567
ceaseless	yn ddi-baid	0.378	0.704	0.658
cedar	cedrwydd	0.560	0.267	0.577
cede	cedeinio	0.275	0.327	0.402
ceiling	Nenfwd	0.520	0.224	0.366
celebrant	ddathlu	0.865	0.656	0.643
celebrate	dathlu	0.917	0.857	0.859
celebrated	ddathlu	0.875	0.690	0.763
celebrating	dathlu	0.927	0.860	0.773
celebration	dathliad	0.939	0.824	0.880
celebrations	dathliadau	0.958	0.794	0.714
celebratory	dathlu	0.857	0.653	0.845
celebrity	enwog	0.760	0.619	0.855
celery	seleri	0.396	0.147	0.223
celestial	celestial	0.817	0.360	0.731
celibacy	celibacy	0.302	0.276	0.509
celibate	celibate	0.419	0.387	0.391
cell	cell	0.541	0.375	0.465
cellar	seler	0.510	0.277	0.406
cellblock	cellblock	0.186	0.570	0.500
cellist	cellist	0.667	0.500	0.486
cellmate	cellmate	0.167	0.684	0.349
cello	suddgrwth	0.635	0.324	0.528
cellophane	cellofhan	0.648	0.282	0.289
cellular	cellog	0.643	0.398	0.517
cellulite	cellulite	0.200	0.384	0.256
celluloid	celluloid	0.469	0.440	0.425
cement	sment	0.544	0.265	0.527
cemented	wedi'i smentio	0.429	0.382	0.537
cemetery	mynwent	0.051	0.630	0.417
censor	censor	0.344	0.276	0.538
censorship	sensoriaeth	0.219	0.698	0.421
censure	beirniadaeth	0.219	0.653	0.417
census	cyfrifiad	0.449	0.289	0.553
cent	y cant	0.439	0.367	0.402
centenary	canmlwyddiant	0.604	0.440	0.642
centennial	canmlwyddiant	0.583	0.394	0.700
center	canolfan	0.643	0.231	0.431
centerfold	canolbwynt	0.571	0.407	0.485
centerpiece	canolbwynt	0.594	0.208	0.520
centimeter	centimedr	0.427	0.280	0.380
centipede	canmlwyddiant	0.296	0.399	0.361
central	canolog	0.640	0.356	0.621
centrality	canolog	0.571	0.312	0.709
centralization	canoli	0.521	0.440	0.702
centralize	canoli	0.684	0.427	0.802
centrally	yn ganolog	0.729	0.280	0.700
centrifugal	llawfeddygol	0.306	0.651	0.480
centrifuge	centrifuge	0.495	0.622	0.527
centurion	centurion	0.590	0.447	0.696
century	ganrif	0.407	0.347	0.735
ceramic	ceramig	0.521	0.255	0.371
ceramics	cerameg	0.573	0.250	0.373
cereal	grawnfwyd	0.612	0.206	0.316
cereals	grawnfwydydd	0.719	0.224	0.311
cerebral	cerebral	0.408	0.509	0.627
ceremonial	seremonïol	0.771	0.540	0.691
ceremony	seremoni	0.760	0.559	0.761
certain	rhai	0.760	0.358	0.673
certainty	sicrwydd	0.781	0.400	0.769
certifiable	ardystiadwy	0.714	0.427	0.662
certificate	tystysgrif	0.786	0.377	0.746
certified	ardystiedig	0.781	0.422	0.806
certify	ardystio	0.866	0.400	0.746
cervical	ceg y groth	0.375	0.413	0.445
cervix	ceg y groth	0.429	0.360	0.340
cess	cess	0.427	0.375	0.406
cessation	rhoi'r gorau iddi	0.414	0.385	0.358
cesspool	cesspool	0.167	0.460	0.409
cha cha	NO TRANSLATION	0.714	0.546	0.324
chaff	caff	0.333	0.327	0.188
chafing	cipio	0.430	0.415	0.368
chagrin	chagrin	0.104	0.704	0.472
chagrined	yn gyfrinachol	0.112	0.745	0.361
chai	NO TRANSLATION	0.500	0.375	0.363
chain	cadwyn	0.378	0.500	0.547
chainsaw	llif gadwyn	0.367	0.804	0.636
chair	cadeirydd	0.562	0.082	0.276
chairman	cadeirydd	0.656	0.567	0.933
chairperson	cadeirydd	0.730	0.657	0.966
chairwoman	cadeirydd	0.719	0.664	0.953
chaise	chaise	0.406	0.349	0.327
chalet	chalet	0.653	0.349	0.278
chalice	blis	0.633	0.286	0.529
chalk	sialc	0.385	0.185	0.121
challenge	her	0.469	0.922	0.713
challenger	heriol	0.417	0.755	0.652
chamber	siambr	0.583	0.373	0.455
chambermaid	chambermaid	0.594	0.375	0.336
chambers	siambrau	0.542	0.442	0.388
chameleon	chameleon	0.490	0.580	0.345
champ	champ	0.854	0.754	0.896
champagne	champagne	0.760	0.600	0.454
champion	pencampwr	0.890	0.880	0.945
championship	Pencampwriaeth	0.833	0.800	0.880
chance	cyfle	0.833	0.551	0.525
chancellor	canghellor	0.646	0.500	0.887
chandelier	gwydr	0.615	0.542	0.366
chandler	chandler	0.510	0.452	0.454
change	newid	0.625	0.575	0.606
changeable	newidadwy	0.490	0.480	0.528
changed	wedi newid	0.594	0.375	0.491
changer	changer	0.583	0.519	0.567
changing	newid	0.571	0.569	0.461
channel	sianel	0.490	0.287	0.405
chant	sant	0.771	0.698	0.650
chaos	anhrefn	0.016	0.923	0.373
chaotic	yn anhrefnus	0.115	0.847	0.442
chap	cap	0.550	0.410	0.345
chapel	capel	0.573	0.240	0.440
chaperon	chaperon	0.500	0.520	0.404
chaplain	caplan	0.582	0.370	0.577
chapman	chapman	0.562	0.529	0.465
chaps	cipio	0.350	0.462	0.350
chapter	bennod	0.580	0.308	0.461
char	char	0.554	0.361	0.404
character	cymeriad	0.667	0.373	0.686
characteristic	nodweddiadol	0.583	0.328	0.538
characterize	yn nodweddu	0.729	0.471	0.735
charade	charade	0.458	0.550	0.346
charcoal	golosg	0.302	0.186	0.342
chardonnay	chardonnay	0.677	0.567	0.492
charge	tâl	0.510	0.633	0.785
chargeable	yn daladwy	0.551	0.550	0.453
charger	charger	0.531	0.418	0.545
chariot	cariad	0.684	0.550	0.491
charisma	carisma	0.938	0.591	0.759
charismatic	carismig	0.938	0.684	0.849
charitable	elusennol	0.865	0.380	0.593
charity	elusen	0.920	0.284	0.551
charlatan	charlatan	0.200	0.640	0.352
charm	swyn	0.833	0.363	0.649
charmed	carlam	0.938	0.570	0.769
charmer	carmer	0.882	0.683	0.782
charming	swynol	0.917	0.660	0.764
charred	charred	0.208	0.676	0.373
chart	siart	0.469	0.317	0.330
charter	siarter	0.677	0.382	0.518
chartered	siartredig	0.569	0.460	0.490
chase	olrhain	0.396	0.878	0.623
chased	yn olrhain	0.188	0.830	0.287
chaser	chaser	0.375	0.830	0.645
chasm	chasm	0.265	0.579	0.500
chassis	chassis	0.406	0.342	0.444
chaste	chaste	0.408	0.248	0.453
chastened	wedi'i chasglu	0.156	0.580	0.345
chastisement	castiad	0.156	0.852	0.462
chastity	castiad	0.469	0.392	0.509
chat	sgwrsio	0.729	0.400	0.346
chateau	chateau	0.615	0.464	0.702
chatter	sgwrsio	0.560	0.450	0.347
chatterbox	sgwrsio	0.459	0.548	0.482
chattering	sgwrsio	0.460	0.663	0.304
chatty	chatty	0.594	0.548	0.345
chauffeur	gyrrwr	0.500	0.353	0.471
chauvinist	chauvinistaidd	0.310	0.539	0.527
cheap	rhad	0.612	0.471	0.272
cheapened	rhad	0.471	0.611	0.282
cheapskate	cheapskate	0.148	0.482	0.327
cheat	twyllo	0.125	0.776	0.400
cheater	cawl	0.104	0.920	0.333
check	gwirio	0.523	0.552	0.602
checkbook	llyfr siec	0.552	0.284	0.364
checker	gwirydd	0.330	0.417	0.553
checkered	gwenith	0.459	0.316	0.336
checkers	gwirwyr	0.676	0.451	0.437
checklist	rhestr wirio	0.561	0.521	0.552
checkmate	gwirio	0.667	0.708	0.750
checkout	gwnewch gais	0.597	0.510	0.670
checkpoint	checkpoint	0.571	0.323	0.812
checkup	gwirio	0.500	0.435	0.491
cheek	boch	0.670	0.314	0.421
cheeks	cennin	0.708	0.324	0.282
cheeky	gwallus	0.434	0.679	0.410
cheep	sgwâr	0.367	0.380	0.373
cheer	hwyl	0.938	0.784	0.845
cheered	hwyliog	0.875	0.648	0.790
cheerful	yn hwyliog	0.990	0.720	0.696
cheerfulness	hwylus	0.969	0.802	0.675
cheering	hwylio	0.815	0.824	0.642
cheerleader	rhyfeddwr	0.923	0.746	0.657
cheerleading	hwylio	0.698	0.769	0.404
cheerless	yn ddiddorol	0.204	0.373	0.167
cheers	dawnsio	0.948	0.770	0.702
cheery	llawenydd	0.949	0.657	0.486
cheese	caws	0.740	0.280	0.281
cheeseburger	cawswr	0.802	0.529	0.336
cheesecake	cacen caws	0.860	0.276	0.238
cheesy	cawsiog	0.470	0.471	0.179
cheetah	cheetah	0.469	0.770	0.667
chef	cogydd	0.854	0.411	0.570
chemical	cemegol	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	fferyllydd	0.408	0.575	0.610
chemistry	cemeg	0.625	0.520	0.694
chemo	chemo	0.214	0.686	0.444
chemotherapy	cemotherapi	0.163	0.689	0.517
cheque	gwirio	0.698	0.529	0.660
cherish	caris	0.896	0.491	0.652
cherishing	gan ddisgwyl	0.836	0.380	0.625
cherry	ceirios	0.688	0.186	0.250
cherub	cherub	0.663	0.340	0.455
chess	gwyddbwyll	0.656	0.363	0.518
chest	y frest	0.520	0.429	0.481
chestnut	castan	0.714	0.210	0.294
chevron	cavron	0.469	0.469	0.598
chew	chwythu	0.520	0.490	0.404
chewy	chewy	0.625	0.418	0.390
chic	chic	0.870	0.624	0.380
chicane	chicane	0.357	0.460	0.481
chick	cyw	0.771	0.602	0.387
chicken	cyw iâr	0.594	0.306	0.394
chicken pox	brech yr ieir	0.194	0.510	0.415
chickenpox	brech yr ieir	0.173	0.562	0.357
chief	prif	0.520	0.544	0.869
chiefly	yn bennaf	0.600	0.587	0.764
chieftain	pennaeth	0.343	0.529	0.860
chiffon	chiffon	0.406	0.230	0.250
child	plentyn	0.912	0.460	0.413
childbirth	geni	0.604	0.861	0.673
childhood	plentyndod	0.865	0.413	0.307
childish	yn blentyn	0.573	0.442	0.230
childless	heb blant	0.310	0.400	0.396
childlike	yn blentyn	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	plant	0.857	0.538	0.435
chili	chili	0.592	0.566	0.433
chill	chill	0.837	0.206	0.482
chilled	oer	0.521	0.340	0.482
chilling	oeri	0.208	0.850	0.358
chilly	oer	0.329	0.459	0.408
chime	chime	0.573	0.541	0.464
chimera	chimera	0.292	0.582	0.372
chimes	chimes	0.625	0.490	0.402
chimney	simnai	0.583	0.286	0.225
chimp	chimp	0.394	0.588	0.345
chimpanzee	chimpanzei	0.500	0.633	0.387
chin	chin	0.571	0.310	0.269
china	llestri	0.561	0.443	0.556
chinchilla	chinchilla	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	chinook	0.408	0.497	0.491
chip	sglodion	0.479	0.382	0.452
chipmunk	chipmunk	0.573	0.562	0.409
chipper	chipper	0.418	0.588	0.500
chipping	chipio	0.354	0.452	0.353
chiropractor	ceiropractydd	0.420	0.549	0.651
chirp	chirp	0.469	0.602	0.365
chirping	chirping	0.500	0.463	0.360
chisel	chisel	0.469	0.404	0.452
chiseler	chiseler	0.429	0.606	0.464
chit	chit	0.490	0.352	0.321
chitchat	chitchat	0.673	0.455	0.403
chivalry	chwarterol	0.857	0.380	0.848
chloride	clorid	0.265	0.387	0.474
chlorine	clorin	0.306	0.327	0.332
chloroform	clorofform	0.281	0.370	0.393
chocolate	siocled	0.885	0.480	0.418
choice	dewis	0.745	0.520	0.664
choir	côr	0.704	0.298	0.473
choke	twyllo	0.167	0.788	0.676
cholera	colera	0.020	0.867	0.507
cholesterol	colesterol	0.198	0.583	0.398
choose	dewiswch	0.615	0.542	0.648
choosing	dewis	0.719	0.529	0.689
choosy	choosy	0.280	0.760	0.712
chop	torri	0.250	0.655	0.467
chopper	chopper	0.594	0.560	0.509
choppers	choppers	0.469	0.745	0.691
chopping	torri	0.560	0.625	0.362
chops	chops	0.612	0.420	0.269
choral	corawl	0.852	0.290	0.421
chord	chord	0.729	0.394	0.539
chords	cordiau	0.639	0.406	0.388
chore	chore	0.406	0.462	0.500
choreographer	coreograffydd	0.646	0.639	0.625
choreography	coreograffi	0.812	0.750	0.547
chorus	corws	0.620	0.417	0.500
chosen	dewiswyd	0.865	0.449	0.833
chow	chow	0.573	0.490	0.390
chowder	chowder	0.510	0.324	0.241
christ	Crist	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	bedyddio	0.725	0.382	0.650
christian	Cristnogol	0.760	0.241	0.591
christmas	Nadolig	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	christmassy	0.875	0.698	0.602
christmastime	Nadolig	0.837	0.588	0.515
chromatic	cromatig	0.407	0.413	0.435
chromatography	cromatograffeg	0.480	0.537	0.535
chrome	crome	0.582	0.373	0.421
chromium	cromiwm	0.458	0.404	0.447
chromosome	cromosom	0.500	0.296	0.548
chronic	cronig	0.255	0.615	0.464
chronicle	cronicl	0.427	0.571	0.586
chronograph	chronograph	0.500	0.392	0.529
chronological	cronolegol	0.594	0.445	0.600
chubby	chubby	0.531	0.427	0.304
chuck	chuck	0.542	0.509	0.413
chuckle	chuckle	0.844	0.736	0.481
chug	chug	0.401	0.413	0.358
chum	gwn	0.911	0.347	0.518
chummy	chummy	0.760	0.420	0.610
chump	chump	0.375	0.451	0.304
chunk	llun	0.365	0.287	0.214
chunky	rhyfedd	0.520	0.517	0.509
church	eglwys	0.708	0.198	0.610
churchyard	fynwent	0.296	0.444	0.347
churn	churn	0.316	0.491	0.407
chute	cwte	0.580	0.745	0.455
chutney	siytni	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	seidr	0.530	0.346	0.398
cigar	cigar	0.306	0.463	0.346
cigarette	sigarét	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
cinch	cinch	0.450	0.490	0.387
cinder	cinder	0.350	0.260	0.157
cinema	sinema	0.698	0.538	0.500
cinematic	sinematig	0.663	0.490	0.600
cinematographer	sinematographer	0.792	0.455	0.711
cinematography	cinematograffeg	0.781	0.571	0.625
cinnamon	sinamon	0.600	0.250	0.292
cipher	cipher	0.490	0.414	0.500
circle	cylch	0.480	0.290	0.343
circling	cylchredeg	0.510	0.654	0.336
circuit	cylched	0.586	0.461	0.707
circuitry	cylchedau	0.596	0.615	0.536
circular	cylchlythyr	0.562	0.342	0.417
circulate	cylchredeg	0.612	0.388	0.320
circulation	cylchrediad	0.735	0.520	0.657
circulatory	cylchrediad gwaed	0.592	0.575	0.545
circumcision	enwaediad	0.327	0.657	0.528
circumference	cylchedd	0.458	0.255	0.488
circumferential	amgylchynol	0.551	0.422	0.509
circumscribed	wedi'i gylchredeg	0.365	0.539	0.569
circumstance	amgylchiad	0.520	0.565	0.596
circumstances	amgylchiadau	0.562	0.527	0.464
circumstantial	amgylchynol	0.500	0.538	0.519
circumvent	ymyrryd	0.316	0.642	0.383
circumvention	circumvention	0.531	0.571	0.473
circus	syrcas	0.724	0.637	0.432
cirque	cirque	0.604	0.647	0.467
cirrhosis	cirosis	0.079	0.602	0.370
cirrus	cirrus	0.470	0.451	0.348
cistern	clustog	0.541	0.413	0.432
citadel	citadel	0.585	0.464	0.602
citation	enw	0.570	0.549	0.508
cite	dyfynnwch	0.625	0.454	0.532
citizen	dinesydd	0.631	0.250	0.586
citizenship	dinasyddiaeth	0.786	0.404	0.723
citrine	citrine	0.375	0.400	0.420
citrus	sitrws	0.469	0.368	0.375
city	ddinas	0.847	0.531	0.508
citywide	ledled y ddinas	0.592	0.509	0.707
civic	dinesig	0.653	0.240	0.573
civics	dinesig	0.700	0.279	0.720
civil	sifil	0.521	0.281	0.517
civilian	sifil	0.700	0.229	0.598
civilians	sifiliaid	0.490	0.448	0.525
civility	dinesigrwydd	0.760	0.306	0.679
civilization	gwareiddiad	0.823	0.452	0.839
civilized	gwâr	0.792	0.231	0.796
clad	clad	0.583	0.373	0.481
claim	hawliad	0.255	0.760	0.473
claimant	hawlydd	0.271	0.690	0.779
clairvoyant	clairvoyant	0.765	0.531	0.897
clam	clam	0.442	0.302	0.272
clambake	clambake	0.542	0.540	0.429
clammy	clammy	0.354	0.440	0.236
clamor	clamor	0.438	0.643	0.360
clamp	clampio	0.541	0.388	0.454
clan	clan	0.562	0.491	0.686
clandestine	gwael	0.425	0.677	0.469
clang	clang	0.459	0.520	0.510
clap	clapio	0.779	0.731	0.529
clapper	clapper	0.500	0.229	0.420
clapping	clapio	0.823	0.894	0.686
clarification	eglurhad	0.802	0.461	0.613
clarify	eglurwch	0.652	0.535	0.625
clarinet	clarinet	0.592	0.453	0.411
clarion	eglurhad	0.500	0.443	0.422
clarity	eglurder	0.796	0.310	0.631
clash	gwrthdaro	0.293	0.918	0.453
clashing	gwrthdaro	0.177	0.764	0.575
clasp	clasp	0.448	0.375	0.241
class	dosbarth	0.656	0.314	0.522
classic	clasurol	0.690	0.260	0.611
classic rock	creigiau clasurol	0.729	0.571	0.588
classical	clasurol	0.643	0.198	0.536
classics	clasuron	0.750	0.333	0.510
classification	dosbarthiad	0.583	0.423	0.613
classified	dosbarthu	0.571	0.460	0.663
classify	dosbarthu	0.646	0.411	0.720
classmate	cyd-gynghorydd	0.781	0.400	0.593
classroom	ystafell ddosbarth	0.539	0.292	0.363
classy	dosbarthus	0.917	0.410	0.649
clatter	clatter	0.418	0.820	0.387
clause	cymal	0.480	0.409	0.528
clauses	cymalau	0.449	0.429	0.545
claustrophobia	claustrophobia	0.125	0.840	0.333
