Word	Catalan-ca	Valence	Arousal	Dominance
earnings	guanys	0.938	0.650	0.875
earpiece	auriculars	0.583	0.286	0.452
earring	arracada	0.583	0.520	0.500
earrings	arracades	0.676	0.346	0.517
earshot	earshot	0.552	0.332	0.408
earth	terra	0.750	0.225	0.614
earthenware	bressol	0.552	0.210	0.320
earthling	earthling	0.531	0.412	0.570
earthly	terrenal	0.625	0.318	0.518
earthquake	terratrèmol	0.073	0.930	0.812
earthy	terrè	0.375	0.413	0.404
ease	facilitat	0.796	0.385	0.491
easel	cavallet	0.694	0.340	0.527
easement	servitud	0.479	0.345	0.302
easily	fàcilment	0.885	0.279	0.453
east	est	0.510	0.250	0.317
eastbound	cap a l'est	0.541	0.408	0.402
eastern	oriental	0.521	0.420	0.480
easy	fàcil	0.865	0.194	0.373
easygoing	fàcil	0.823	0.276	0.538
eat	menjar	0.731	0.500	0.464
eater	menjador	0.459	0.337	0.510
eating	menjant	0.847	0.491	0.615
eatingdisorders	NO TRANSLATION	0.365	0.608	0.508
eavesdrop	escolta	0.375	0.710	0.368
eavesdropping	escolta	0.490	0.380	0.441
ebb	refreda	0.354	0.451	0.404
ebony	banús	0.490	0.317	0.400
ebullient	exuberant	0.659	0.856	0.746
eccentric	excèntric	0.531	0.806	0.721
eccentricity	excentricitat	0.408	0.735	0.745
ecclesiastical	eclesiàstic	0.673	0.270	0.660
echelon	echelon	0.490	0.404	0.425
echinacea	Echinacea	0.592	0.418	0.454
echo	eco	0.573	0.373	0.345
eclectic	eclèctic	0.646	0.542	0.508
eclipse	eclipsi	0.541	0.469	0.616
ecliptic	eclíptica	0.531	0.520	0.556
ecological	ecològic	0.885	0.290	0.607
economic	econòmic	0.561	0.408	0.639
economical	econòmic	0.667	0.564	0.673
economics	economia	0.625	0.481	0.632
economy	economia	0.583	0.434	0.771
ecosystem	ecosistema	0.729	0.259	0.633
ecstasy	Èxtasi	0.796	0.922	0.655
ecstatic	ecstàtic	0.875	0.769	0.742
ecumenical	ecumènic	0.561	0.450	0.547
eddy	remolí	0.500	0.394	0.350
edema	edema	0.250	0.519	0.318
edge	vora	0.439	0.470	0.468
edging	vora	0.479	0.394	0.370
edgy	nerviós	0.281	0.895	0.306
edible	comestible	0.750	0.425	0.497
edict	edició	0.316	0.547	0.560
edification	edificació	0.625	0.481	0.697
edifice	edifici	0.551	0.403	0.610
edit	edita	0.510	0.410	0.544
editing	edició	0.604	0.404	0.493
edition	edició	0.542	0.455	0.564
editor	editor	0.772	0.431	0.673
editorial	editorial	0.583	0.330	0.570
educate	educar	0.760	0.380	0.728
educated	educat	0.816	0.297	0.625
education	educació	0.896	0.275	0.840
educational	educatiu	0.745	0.457	0.764
educator	educador	0.827	0.317	0.845
eeeek	NO TRANSLATION	0.367	0.540	0.349
eeek	NO TRANSLATION	0.333	0.490	0.302
eek	eek	0.292	0.529	0.343
eel	anguila	0.292	0.564	0.487
eerie	misteriós	0.265	0.771	0.442
effect	efecte	0.570	0.518	0.608
effective	eficaç	0.844	0.632	0.891
effectiveness	efectivitat	0.640	0.654	0.812
effects	efectes	0.470	0.578	0.379
effectual	efectual	0.776	0.559	0.820
effectually	efectivament	0.724	0.500	0.594
effectuate	efectuat	0.510	0.602	0.679
effeminate	efeminat	0.337	0.619	0.291
efficacious	eficaç	0.823	0.698	0.845
efficacy	eficàcia	0.802	0.490	0.906
efficiency	eficiència	0.802	0.509	0.892
efficient	eficient	0.959	0.604	0.830
effigy	efígie	0.510	0.440	0.401
effort	esforç	0.698	0.778	0.858
effortless	sense esforç	0.626	0.090	0.352
effusion	efusió	0.344	0.730	0.472
effyou	NO TRANSLATION	0.354	0.529	0.490
egg	ou	0.684	0.241	0.293
egghead	egghead	0.316	0.492	0.284
eggnog	eggnog	0.635	0.360	0.259
eggplant	albergínia	0.592	0.152	0.323
eggshell	closca d'ou	0.408	0.269	0.212
ego	ego	0.328	0.576	0.593
egomaniac	egomaniac	0.133	0.708	0.596
egotistical	egoista	0.156	0.667	0.363
egregious	exagerat	0.150	0.716	0.442
egress	egress	0.490	0.429	0.287
eight	vuit	0.540	0.199	0.315
eighteen	divuit anys	0.523	0.340	0.404
eighth	octava	0.531	0.226	0.380
eighty	vuitanta	0.500	0.300	0.453
ejaculate	ejaculació	0.604	0.896	0.604
ejaculation	ejaculació	0.615	0.893	0.547
eject	expulsar	0.434	0.656	0.559
ejection	expulsió	0.188	0.836	0.554
elaborate	elaborar	0.561	0.367	0.680
elaboration	elaboració	0.708	0.500	0.598
elan	NO TRANSLATION	0.562	0.367	0.500
elapse	passar	0.514	0.440	0.455
elapsed	transcorregut	0.583	0.451	0.493
elastic	elàstic	0.656	0.518	0.385
elasticity	elasticitat	0.635	0.452	0.582
elated	ansiós	0.792	0.960	0.725
elation	elació	0.740	0.853	0.623
elbow	colze	0.448	0.133	0.254
eld	eld	0.471	0.292	0.451
elder	ancià	0.448	0.153	0.462
elderly	ancians	0.615	0.212	0.283
elders	ancians	0.602	0.260	0.441
eldest	el més gran	0.625	0.471	0.741
elect	electe	0.667	0.554	0.661
election	elecció	0.625	0.519	0.651
elective	electiva	0.612	0.380	0.623
elector	elector	0.479	0.520	0.766
electoral	electoral	0.490	0.631	0.602
electorate	electorat	0.560	0.380	0.696
electric	elèctric	0.458	0.708	0.512
electric slide	lliscament elèctric	0.542	0.660	0.536
electrical	elèctrica	0.531	0.620	0.688
electrician	electricista	0.449	0.590	0.620
electricity	electricitat	0.698	0.810	0.733
electrify	electrificar	0.520	0.769	0.737
electrocute	electrocute	0.271	0.731	0.555
electrocution	electrocució	0.177	0.844	0.692
electromagnetic	electromagnètic	0.531	0.632	0.683
electron	electró	0.520	0.455	0.560
electronic	electrònic	0.571	0.490	0.704
electronics	electrònica	0.708	0.545	0.574
elegance	elegància	0.918	0.396	0.824
elegant	elegant	0.865	0.500	0.685
element	element	0.531	0.259	0.481
elemental	elemental	0.627	0.306	0.711
elementary	elemental	0.594	0.286	0.686
elements	elements	0.510	0.312	0.462
elephant	elefant	0.531	0.510	0.615
elevate	elevar	0.812	0.500	0.804
elevated	elevat	0.704	0.594	0.620
elevation	elevació	0.760	0.759	0.711
elevator	ascensor	0.562	0.604	0.676
eleven	onze	0.449	0.250	0.430
eleventh	onzena	0.594	0.329	0.357
elf	elf	0.460	0.457	0.315
elicit	provocar	0.406	0.594	0.658
eligible	elegibles	0.750	0.400	0.518
eliminate	eliminar	0.265	0.670	0.324
elimination	eliminació	0.052	0.667	0.431
elite	elit	0.688	0.704	0.737
elitist	elitista	0.500	0.606	0.656
elixir	elixir	0.708	0.587	0.604
elk	alces	0.439	0.337	0.340
ell	ell	0.469	0.418	0.373
ellipse	el·lipse	0.531	0.410	0.479
ellipsis	el·lipsis	0.653	0.358	0.314
ellipsoid	el·lipsoide	0.500	0.440	0.419
elliptic	el·líptic	0.500	0.431	0.528
elliptical	el·líptic	0.338	0.385	0.490
elm	elm	0.510	0.345	0.321
elongate	allargat	0.583	0.385	0.540
elongation	allargament	0.561	0.500	0.500
elope	Elope	0.396	0.694	0.528
eloquence	eloqüència	0.729	0.490	0.804
eloquent	eloqüent	0.870	0.680	0.741
elucidate	aclarir	0.583	0.509	0.518
elucidation	dilucidació	0.650	0.574	0.586
elude	elude	0.438	0.521	0.464
elusive	evasiu	0.229	0.615	0.466
emaciated	emaciat	0.103	0.541	0.151
email	correu electrònic	0.698	0.230	0.456
emanate	emanate	0.653	0.464	0.554
emancipation	emancipació	0.704	0.684	0.763
embankment	terraplè	0.677	0.438	0.436
embargo	NO TRANSLATION	0.229	0.564	0.443
embark	embarcar	0.541	0.550	0.619
embarrass	avergonyir	0.082	0.667	0.364
embarrassed	avergonyit	0.184	0.560	0.246
embarrassing	embarazoso	0.226	0.809	0.225
embarrassment	vergonya	0.143	0.685	0.226
embassy	ambaixada	0.622	0.333	0.758
embattled	embattled	0.235	0.724	0.421
embed	incrustar	0.417	0.554	0.670
embellish	embellir	0.842	0.500	0.769
embellishment	embelliment	0.673	0.449	0.405
embers	brases	0.490	0.481	0.508
embezzlement	malversació	0.143	0.827	0.435
embezzler	malversor	0.146	0.823	0.491
emblem	emblema	0.640	0.330	0.754
emblematic	emblemàtic	0.771	0.459	0.798
embodiment	encarnació	0.562	0.690	0.663
embolism	embolia	0.104	0.660	0.302
embossed	en relleu	0.531	0.481	0.500
embrace	abraçada	0.949	0.490	0.452
embroidered	brodat	0.677	0.279	0.407
embroidery	brodat	0.781	0.358	0.280
embroiled	embruixat	0.337	0.721	0.420
embryo	embrió	0.673	0.469	0.453
embryonic	embrionari	0.573	0.453	0.598
emcee	Emcee	0.694	0.577	0.691
emerald	esmeralda	0.740	0.363	0.726
emerge	emergeixen	0.602	0.594	0.731
emergence	emergència	0.276	0.857	0.676
emergency	emergència	0.200	0.900	0.571
emeritus	emèrit	0.633	0.402	0.735
emery	emery	0.469	0.583	0.472
emetophobia	emetofòbia	0.243	0.620	0.403
emigrate	emigrar	0.356	0.812	0.508
emigration	emigració	0.564	0.664	0.432
eminence	eminència	0.816	0.644	0.837
eminent	eminent	0.740	0.620	0.830
eminently	eminentment	0.694	0.607	0.773
emir	NO TRANSLATION	0.510	0.396	0.621
emissary	emissari	0.562	0.462	0.636
emission	emissió	0.510	0.453	0.591
emit	emetre	0.638	0.445	0.510
emo	emo	0.354	0.314	0.226
emotion	emoció	0.693	0.873	0.696
emotional	emocional	0.779	0.714	0.526
emotive	emotiu	0.917	0.741	0.525
empathic	empàtic	0.760	0.570	0.558
empathize	empatia	0.802	0.591	0.660
empathy	empatia	0.729	0.349	0.545
emperor	emperador	0.651	0.704	0.962
emphasis	èmfasi	0.653	0.745	0.816
emphasize	emfatitzar	0.510	0.605	0.769
emphatic	enfàtic	0.615	0.707	0.732
emphysema	enfisema	0.156	0.556	0.336
empire	imperi	0.688	0.730	0.944
empirical	empíric	0.500	0.510	0.574
empiricism	empirisme	0.583	0.460	0.547
employ	emprar	0.729	0.481	0.702
employee	empleat	0.582	0.361	0.481
employer	empresari	0.663	0.518	0.767
employment	ocupació	0.750	0.594	0.611
emporium	Emporium	0.622	0.556	0.724
empower	autoritzar	0.694	0.779	0.891
empress	emperadriu	0.716	0.669	0.855
emptiness	buit	0.177	0.173	0.184
emption	emption	0.570	0.406	0.458
empty	buit	0.188	0.183	0.081
emu	emu	0.420	0.358	0.330
emulate	emular	0.438	0.340	0.549
emulsion	emulsió	0.562	0.431	0.453
enable	habilitar	0.760	0.491	0.782
enablement	habilitació	0.600	0.451	0.750
enact	aprovar	0.680	0.564	0.598
enactment	promulgació	0.667	0.612	0.769
enamel	esmalt	0.594	0.280	0.306
encampment	campament	0.677	0.573	0.605
enchant	encantar	0.873	0.650	0.643
enchanted	encantat	0.917	0.633	0.687
enchanting	encantador	0.917	0.681	0.708
enchantment	encant	0.816	0.775	0.647
enchantress	encantadora	0.398	0.663	0.479
enchilada	enchilada	0.542	0.553	0.371
encircle	rodona	0.460	0.500	0.519
encircling	envoltant	0.510	0.368	0.557
enclave	enclavament	0.531	0.333	0.580
enclose	tancar	0.531	0.477	0.473
enclosure	tancament	0.417	0.375	0.490
encode	codificar	0.490	0.500	0.734
encomiastic	NO TRANSLATION	0.541	0.500	0.670
encomium	Encomi	0.541	0.451	0.519
encompass	abraçar	0.520	0.298	0.661
encore	NO TRANSLATION	0.510	0.423	0.500
encounter	trobada	0.865	0.702	0.689
encourage	animar	0.896	0.580	0.704
encouraged	encoratjat	0.953	0.702	0.657
encouragement	ànim	0.865	0.700	0.759
encouraging	encoratjador	0.823	0.583	0.755
encroach	envair	0.302	0.742	0.702
encroachment	invasió	0.255	0.736	0.620
encrypt	xifrar	0.500	0.387	0.500
encryption	encriptació	0.547	0.415	0.474
encumbrance	gravamen	0.300	0.521	0.480
encyclopedia	enciclopèdia	0.679	0.320	0.645
end	final	0.198	0.349	0.298
end table	taula final	0.541	0.480	0.482
endanger	posa en perill	0.115	0.885	0.404
endangered	en perill d'extinció	0.083	0.885	0.430
endangerment	perill	0.167	0.873	0.519
endearing	entranyable	0.663	0.434	0.604
endeavor	esforç	0.677	0.755	0.765
ended	acabat	0.302	0.500	0.500
endemic	endèmic	0.406	0.480	0.483
endgame	final de joc	0.449	0.538	0.526
ending	acabant	0.344	0.365	0.492
endless	interminable	0.347	0.462	0.472
endocarditis	endocarditis	0.235	0.587	0.412
endorse	avalen	0.592	0.392	0.472
endorsement	aval	0.834	0.360	0.611
endow	dotar	0.684	0.398	0.609
endowed	dotat	0.755	0.510	0.769
endowment	dotació	0.685	0.578	0.647
endpapers	endpoints	0.542	0.400	0.339
endpoint	punt final	0.311	0.410	0.448
endurance	resistència	0.592	0.745	0.760
endure	resistir	0.320	0.610	0.574
enduring	durador	0.633	0.459	0.768
enema	enema	0.281	0.673	0.268
enemy	enemic	0.135	0.794	0.591
energetic	enèrgic	0.847	0.868	0.902
energize	energitzar	0.792	0.810	0.875
energy	energia	0.944	0.725	0.868
enforce	fer complir	0.583	0.644	0.836
enforcement	compliment	0.594	0.571	0.736
enforcer	enforcer	0.398	0.612	0.639
engage	enganxar	0.771	0.796	0.713
engaged	compromesos	0.837	0.596	0.849
engagement	compromís	0.906	0.587	0.807
engaging	atractiu	0.948	0.612	0.862
engender	engendra	0.561	0.741	0.688
engine	motor	0.615	0.644	0.676
engineer	enginyer	0.719	0.500	0.875
engineering	enginyeria	0.735	0.471	0.836
engrave	gravar	0.486	0.442	0.517
engraved	gravat	0.542	0.375	0.473
engraver	gravador	0.552	0.417	0.500
engraving	gravat	0.604	0.430	0.442
engrossed	absort	0.541	0.471	0.304
engrossing	engrossing	0.698	0.702	0.750
engulf	engolir	0.398	0.573	0.500
enhance	millorar	0.802	0.578	0.814
enhancement	millora	0.877	0.490	0.741
enigma	enigma	0.513	0.700	0.500
enigmatic	enigmàtic	0.469	0.589	0.679
enjoin	pregunteu	0.594	0.454	0.732
enjoy	gaudir	0.959	0.725	0.750
enjoyable	agradable	1.000	0.481	0.605
enjoying	gaudint	0.908	0.759	0.759
enjoyment	gaudi	0.930	0.612	0.716
enlarge	Augmenta	0.735	0.606	0.688
enlarged	ampliat	0.673	0.490	0.518
enlargement	ampliació	0.677	0.577	0.616
enlighten	il·luminar	0.729	0.549	0.667
enlightened	il·luminat	0.956	0.566	0.700
enlightening	il·luminant	0.825	0.729	0.727
enlightenment	il·luminació	0.837	0.549	0.619
enlist	llistar	0.510	0.370	0.483
enliven	animat	0.833	0.683	0.702
enmity	enemistat	0.094	0.706	0.382
ennui	ennui	0.406	0.461	0.316
enormity	enormitat	0.594	0.648	0.848
enormous	enorme	0.677	0.665	0.886
enormously	enormement	0.760	0.694	0.872
enraged	enfurismat	0.083	0.962	0.636
enrich	enriquir	0.896	0.731	0.705
enroll	inscriure's	0.696	0.530	0.611
enrollment	inscripció	0.667	0.391	0.698
ensemble	conjunt	0.697	0.418	0.586
ensign	estendard	0.663	0.270	0.545
enslave	esclau	0.073	0.800	0.481
enslaved	esclau	0.104	0.720	0.321
enslavement	esclavitud	0.086	0.635	0.302
ensue	segueixen	0.698	0.363	0.332
ensure	assegurar	0.737	0.406	0.759
entail	implica	0.484	0.630	0.645
entangled	Enredat	0.319	0.578	0.357
entanglement	entrellaçament	0.302	0.765	0.248
enter	entrar	0.708	0.470	0.500
enterprise	empresa	0.760	0.392	0.754
enterprising	emprenedor	0.865	0.784	0.875
entertain	entretenir	0.918	0.684	0.598
entertained	entretingut	0.902	0.644	0.712
entertainer	animador	0.888	0.709	0.759
entertaining	entretingut	0.833	0.658	0.660
entertainment	entreteniment	0.847	0.750	0.569
enthralled	fascinant	0.745	0.602	0.615
enthusiasm	entusiasme	0.938	0.816	0.798
enthusiast	entusiasta	0.867	0.810	0.875
enthusiastic	entusiasta	0.885	0.868	0.848
entice	atreure	0.521	0.887	0.518
entire	tot	0.689	0.462	0.698
entirety	totalitat	0.854	0.460	0.804
entitle	autoritzar	0.729	0.333	0.827
entity	entitat	0.542	0.402	0.670
entomology	entomologia	0.438	0.396	0.545
entourage	entourage	0.491	0.567	0.467
entrails	entranyes	0.365	0.538	0.387
entrance	entrada	0.698	0.393	0.526
entrapment	atrapament	0.177	0.604	0.441
entreat	entreat	0.304	0.560	0.462
entree	entree	0.615	0.477	0.624
entrepreneur	empresari	0.885	0.704	0.920
entrust	confiar	0.693	0.310	0.630
entry	entrada	0.552	0.353	0.602
enumerate	enumerar	0.521	0.390	0.491
enumeration	enumeració	0.548	0.327	0.534
envelope	sobre	0.604	0.275	0.377
envious	enveja	0.110	0.754	0.341
environ	NO TRANSLATION	0.724	0.221	0.433
environment	medi ambient	0.646	0.194	0.528
environmental	ambiental	0.633	0.313	0.664
environs	voltants	0.561	0.288	0.345
envision	imaginació	0.625	0.449	0.483
envoy	enviat	0.531	0.375	0.586
envy	enveja	0.240	0.704	0.427
enzyme	enzim	0.562	0.277	0.481
ephemeral	efímer	0.500	0.312	0.377
ephemeris	efemèrides	0.640	0.380	0.528
epic	èpica	0.857	0.713	0.830
epidemic	epidèmia	0.092	0.830	0.611
epidermis	epidermis	0.418	0.490	0.426
epidural	epidural	0.347	0.452	0.525
epilepsy	epilèpsia	0.061	0.854	0.250
epileptic	epilèptic	0.146	0.794	0.340
epilogue	epíleg	0.582	0.353	0.466
epiphany	epifania	0.625	0.596	0.526
episcopal	episcopal	0.542	0.314	0.750
episode	episodi	0.719	0.367	0.509
episodic	episòdic	0.531	0.542	0.462
epistle	epístola	0.604	0.417	0.535
epitaph	epitafi	0.276	0.323	0.442
epithet	epítet	0.530	0.394	0.524
epitome	epitome	0.510	0.500	0.667
epoch	època	0.553	0.343	0.797
equal	igual	0.781	0.178	0.407
equality	igualtat	0.898	0.305	0.716
equalization	igualació	0.625	0.422	0.423
equalize	igualar	0.738	0.281	0.574
equalizer	equalizador	0.604	0.451	0.586
equally	igualment	0.625	0.264	0.436
equate	equiparar	0.724	0.382	0.624
equation	equació	0.479	0.384	0.608
equator	equador	0.550	0.302	0.462
equatorial	equatorial	0.550	0.271	0.593
equestrian	eqüestre	0.633	0.519	0.417
equidistant	equidistant	0.375	0.406	0.509
equilibration	equilibri	0.724	0.317	0.593
equilibrium	equilibri	0.676	0.235	0.620
equip	equipar	0.650	0.519	0.713
equipment	equips	0.745	0.495	0.700
equitable	equitatiu	0.714	0.286	0.750
equity	equitat	0.792	0.304	0.614
equivalence	equivalència	0.663	0.250	0.582
equivalent	equivalent	0.646	0.347	0.500
equivocal	equivocal	0.327	0.482	0.257
era	època	0.615	0.407	0.449
eradicate	eradicar	0.260	0.690	0.686
eradication	eradicació	0.208	0.788	0.685
erase	esborrar	0.240	0.260	0.321
eraser	goma d'esborrar	0.458	0.209	0.311
erasure	esborrat	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	erecte	0.643	0.885	0.627
erectile	erèctil	0.542	0.796	0.625
erection	erecció	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	erosionar	0.208	0.643	0.580
erosion	erosió	0.312	0.770	0.465
erotic	eròtic	0.625	0.946	0.683
erotica	erotica	0.781	0.870	0.579
err	errar	0.146	0.660	0.236
errand	encàrrec	0.385	0.519	0.482
errant	errante	0.205	0.602	0.375
erratic	erràtic	0.271	0.503	0.217
erratum	erratum	0.327	0.528	0.436
erroneous	errònia	0.057	0.561	0.245
error	error	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	erudit	0.719	0.434	0.774
erupt	esclatar	0.188	0.820	0.818
eruption	erupció	0.156	0.913	0.733
escalade	escalada	0.480	0.724	0.442
escalate	escalada	0.653	0.714	0.728
escalating	escalada	0.646	0.724	0.518
escalation	escalada	0.571	0.807	0.582
escalator	escala mecànica	0.500	0.530	0.518
escape	escapar	0.367	0.765	0.448
escaped	escapat	0.365	0.755	0.518
escarpment	escarpe	0.406	0.553	0.470
eschew	eviteu	0.184	0.438	0.370
escort	escort	0.729	0.480	0.608
escrow	escrow	0.449	0.520	0.613
esophagus	esòfag	0.429	0.454	0.464
esoteric	esotèric	0.500	0.676	0.545
especial	NO TRANSLATION	0.827	0.419	0.794
espionage	espionatge	0.312	0.750	0.620
espouse	espousar	0.802	0.529	0.598
espresso	espresso	0.677	0.620	0.508
esprit	esprit	0.552	0.431	0.407
esquire	esquí	0.604	0.542	0.518
essay	assaig	0.559	0.411	0.530
essayist	assagista	0.656	0.460	0.462
essence	essència	0.663	0.369	0.575
essential	essencial	0.812	0.405	0.759
essentially	fonamentalment	0.750	0.373	0.802
establish	establir	0.708	0.500	0.688
established	establert	0.796	0.394	0.694
establishment	establiment	0.690	0.398	0.631
estate	finca	0.653	0.385	0.647
esteem	estima	0.745	0.380	0.679
esteemed	estimat	0.694	0.418	0.531
esthetic	estètica	0.635	0.360	0.558
estimable	estimable	0.796	0.408	0.630
estimate	estimació	0.719	0.469	0.517
estimation	estimació	0.740	0.480	0.589
estoppel	estoppel	0.354	0.459	0.482
estranged	allunyat	0.156	0.382	0.377
estrogen	estrogen	0.580	0.500	0.425
estuary	estuari	0.469	0.278	0.482
etch	etch	0.510	0.367	0.598
etching	gravat	0.567	0.491	0.575
eternal	etern	0.854	0.409	0.843
eternity	eternitat	0.765	0.520	0.911
ethanol	etanol	0.333	0.410	0.534
ether	èter	0.490	0.306	0.412
ethereal	etéreo	0.520	0.419	0.518
ethic	ètica	0.786	0.260	0.791
ethical	ètic	0.854	0.324	0.634
ethics	ètica	0.658	0.296	0.731
ethnic	ètnic	0.583	0.373	0.555
ethnography	etnografia	0.571	0.373	0.549
etiology	etiologia	0.500	0.385	0.639
etiquette	etiqueta	0.604	0.350	0.421
etymology	etimologia	0.531	0.370	0.529
eucalyptus	eucaliptus	0.602	0.308	0.418
euchre	euchre	0.470	0.459	0.442
eugenics	eugenesia	0.448	0.530	0.518
eulogistic	eulogístic	0.740	0.623	0.694
eulogium	eulogi	0.542	0.482	0.655
eulogize	eulogiar	0.850	0.518	0.679
eulogy	elogi	0.625	0.443	0.667
euphemism	eufemisme	0.418	0.453	0.491
euphoria	eufòria	0.769	0.955	0.648
euphoric	eufòric	0.745	0.904	0.588
euro	euro	0.680	0.441	0.521
euthanasia	eutanàsia	0.229	0.716	0.325
evacuate	evacuar	0.354	0.792	0.314
evacuation	evacuació	0.160	0.755	0.582
evade	evadir	0.304	0.490	0.342
evaluate	avaluar	0.663	0.640	0.649
evaluation	avaluació	0.542	0.667	0.764
evanescence	evanescence	0.527	0.519	0.458
evangelical	evangèlica	0.602	0.389	0.602
evangelist	evangelista	0.582	0.464	0.702
evangelistic	evangelista	0.660	0.375	0.612
evaporate	s'evaporen	0.357	0.469	0.402
evaporation	evaporació	0.556	0.346	0.388
evasion	evasió	0.229	0.510	0.418
evasive	evasiu	0.117	0.596	0.425
eve	Vigília	0.612	0.378	0.440
evening	tarda	0.458	0.185	0.318
evens	NO TRANSLATION	0.592	0.430	0.457
event	esdeveniment	0.745	0.673	0.664
eventful	atroç	0.543	0.837	0.510
eventual	eventual	0.633	0.459	0.413
eventuality	eventualitat	0.469	0.627	0.527
evergreen	de fulla perenne	0.729	0.471	0.546
everlasting	etern	0.740	0.413	0.809
evermore	cada vegada més	0.677	0.450	0.403
everyday	cada dia	0.740	0.392	0.472
everyman	cada home	0.522	0.333	0.535
evict	desallotjar	0.042	0.632	0.377
eviction	desallotjament	0.185	0.731	0.455
evidence	evidència	0.500	0.500	0.778
evident	evident	0.633	0.444	0.664
evidentiary	evidència	0.448	0.541	0.717
evil	dolent	0.040	0.827	0.545
evoke	evoca	0.438	0.341	0.500
evolution	evolució	0.781	0.657	0.854
evolutionary	evolutiu	0.796	0.673	0.825
evolve	evolucionar	0.655	0.692	0.896
ewe	ovella	0.429	0.216	0.277
ex	ex	0.250	0.520	0.306
exacerbate	empitjorar	0.323	0.776	0.580
exacerbation	exacerbació	0.344	0.810	0.480
exact	exacte	0.719	0.354	0.685
exacting	exigent	0.448	0.673	0.767
exaggerate	exagerar	0.193	0.760	0.529
exaggerated	exagerat	0.224	0.885	0.732
exaggeration	exageració	0.312	0.775	0.582
exalt	exaltar	0.656	0.750	0.745
exaltation	exaltació	0.594	0.892	0.673
exalted	exaltada	0.676	0.845	0.696
exam	examen	0.479	0.663	0.577
examination	examen	0.378	0.657	0.679
examine	examinar	0.615	0.623	0.786
examiner	examinador	0.406	0.575	0.812
example	exemple	0.542	0.337	0.510
exasperated	exasperat	0.229	0.816	0.377
exasperation	exasperació	0.214	0.833	0.483
excavate	excavar	0.583	0.613	0.635
excavation	excavació	0.540	0.644	0.527
excavator	excavadora	0.427	0.673	0.649
exceed	superar	0.500	0.827	0.586
exceeding	superant	0.500	0.802	0.668
excel	sobresortir	0.561	0.363	0.466
excellence	excel·lència	0.958	0.620	0.907
excellent	excel · lent	0.970	0.587	0.870
excelsior	Excelsior	0.700	0.625	0.611
excepting	excepte	0.408	0.413	0.526
exception	excepció	0.469	0.600	0.544
exceptional	excepcional	0.806	0.740	0.933
excerpt	extracte	0.437	0.367	0.543
excess	excés	0.385	0.889	0.712
excessive	excessiu	0.417	0.731	0.601
excessively	excessivament	0.449	0.882	0.716
exchange	intercanvi	0.740	0.569	0.491
excise	impostos especials	0.448	0.561	0.577
excision	escisió	0.260	0.480	0.519
excitability	excitabilitat	0.906	0.910	0.724
excitable	excitable	0.803	0.939	0.629
excitation	excitació	0.792	0.958	0.750
excite	excitar	0.823	0.950	0.668
excited	emocionat	0.908	0.931	0.709
excitement	emoció	0.896	0.684	0.731
exciting	emocionant	0.950	0.792	0.789
exclaim	exclamació	0.635	0.711	0.639
exclamation	exclamació	0.612	0.745	0.598
exclude	excloure	0.292	0.500	0.530
excluded	exclosos	0.061	0.540	0.134
excluding	Excloent	0.271	0.550	0.324
exclusion	exclusió	0.240	0.530	0.389
exclusive	exclusiu	0.792	0.630	0.653
excrement	excrements	0.041	0.558	0.221
excretion	excreció	0.285	0.650	0.457
excruciating	excruciant	0.083	0.837	0.345
excursion	excursió	0.625	0.714	0.627
excuse	excusa	0.240	0.696	0.318
exec	exec	0.640	0.352	0.769
execute	executar	0.327	0.708	0.769
execution	execució	0.160	0.811	0.713
executioner	botxí	0.235	0.816	0.676
executive	executiu	0.704	0.449	0.894
executor	executor	0.365	0.755	0.759
exegesis	exegesi	0.458	0.472	0.491
exemplar	exemplar	0.844	0.537	0.625
exemplary	exemplar	0.833	0.343	0.729
exemplify	exemple	0.735	0.506	0.783
exempt	exempt	0.588	0.455	0.664
exemption	exempció	0.531	0.578	0.627
exercise	exercici	0.750	0.789	0.625
exert	exercir	0.694	0.735	0.806
exertion	esforç	0.663	0.755	0.717
exhale	exhalar	0.542	0.490	0.411
exhaust	escapament	0.546	0.710	0.337
exhausted	esgotat	0.123	0.423	0.202
exhaustion	esgotament	0.366	0.633	0.269
exhaustive	exhaustiva	0.388	0.635	0.604
exhibit	exhibició	0.688	0.633	0.708
exhibition	exposició	0.698	0.590	0.531
exhilarated	estimulant	0.890	0.963	0.759
exhilarating	estimulant	0.917	0.823	0.810
exhilaration	alegria	0.792	0.868	0.783
exhort	exhortar	0.378	0.660	0.745
exhortation	exhortació	0.531	0.624	0.580
exhumation	exhumació	0.177	0.586	0.473
exhume	exhume	0.184	0.627	0.452
exigent	NO TRANSLATION	0.385	0.611	0.792
exile	exili	0.184	0.630	0.483
exist	existeixen	0.857	0.421	0.788
existence	existència	0.760	0.513	0.771
existent	existent	0.635	0.490	0.635
existential	existencial	0.583	0.510	0.638
existing	existent	0.802	0.344	0.750
exit	sortir	0.370	0.353	0.399
exodus	èxode	0.286	0.663	0.567
exonerate	exonerar	0.592	0.500	0.538
exorbitant	exorbitant	0.398	0.865	0.825
exorcism	exorcisme	0.163	0.980	0.557
