Word	Croatian-hr	Valence	Arousal	Dominance
collarbone	ključna kost	0.420	0.427	0.306
collate	srediti	0.438	0.448	0.580
collateral	zalog	0.531	0.422	0.717
collation	sravnjivanje	0.520	0.333	0.508
colleague	kolega	0.740	0.413	0.600
collect	prikupiti	0.635	0.481	0.491
collected	prikupljeni	0.570	0.402	0.588
collection	kolekcija	0.725	0.311	0.588
collective	kolektivan	0.583	0.458	0.698
collectively	kolektivno	0.817	0.573	0.533
collector	kolektor	0.552	0.481	0.648
college	koledž	0.700	0.467	0.746
collegiate	studentski	0.592	0.461	0.678
collide	sudariti se	0.271	0.892	0.557
collie	ovčar	0.562	0.308	0.328
collision	sudar	0.245	0.848	0.585
collocation	fraza	0.637	0.360	0.594
colloquial	kolokvijalan	0.604	0.363	0.368
collusion	dosluh	0.365	0.510	0.400
cologne	Keln	0.677	0.413	0.552
colon	debelo crijevo	0.449	0.394	0.384
colonel	pukovnik	0.459	0.592	0.890
colonial	kolonijalan	0.553	0.327	0.613
colonic	debelog	0.333	0.420	0.430
colonoscopy	kolonoskopija	0.208	0.524	0.466
colony	kolonija	0.716	0.353	0.593
colophon	znak štampara	0.500	0.408	0.385
color	boja	0.786	0.280	0.402
coloration	obojenost	0.541	0.520	0.443
colored	obojen	0.806	0.317	0.275
colorful	raznobojan	0.850	0.520	0.519
coloring	bojanje	0.781	0.469	0.353
colorless	bezbojan	0.354	0.340	0.250
colors	boje	0.875	0.349	0.340
colossal	kolosalan	0.698	0.692	0.900
colt	ždrijebe	0.561	0.587	0.543
columbine	pakujac	0.520	0.521	0.407
column	kolona	0.480	0.250	0.670
columnar	stupolika	0.448	0.340	0.491
columnist	novinski komentator	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	koma	0.219	0.255	0.302
comatose	komatozan	0.143	0.438	0.433
comb	češalj	0.490	0.123	0.268
combat	borba	0.302	0.846	0.833
combatant	borac	0.531	0.853	0.780
combative	ratoboran	0.381	0.690	0.816
combination	kombinacija	0.708	0.480	0.726
combinatorial	kombinatoričan	0.561	0.436	0.428
combine	kombinirati	0.663	0.442	0.533
combined	kombinirana	0.622	0.370	0.500
combo	kombinirani	0.698	0.439	0.453
combustible	zapaljiv	0.386	0.650	0.750
combustion	sagorijevanje	0.457	0.807	0.591
come	doći	0.529	0.269	0.558
comeback	vrati se	0.580	0.409	0.555
comedian	komičar	0.812	0.735	0.598
comedy	komedija	0.918	0.555	0.490
comet	kometa	0.704	0.679	0.471
comfort	udobnost	0.863	0.231	0.670
comfortable	udobno	0.927	0.163	0.473
comforter	jorgan	0.618	0.275	0.302
comforting	utješan	0.906	0.337	0.620
comfy	udoban	0.930	0.241	0.625
comic	strip	0.917	0.459	0.387
comical	smiješan	0.844	0.737	0.327
comics	stripovi	0.690	0.556	0.384
coming	dolazak	0.653	0.417	0.500
comma	zarez	0.344	0.269	0.242
command	naredba	0.427	0.790	0.849
commandant	zapovjednik	0.622	0.700	0.943
commandeer	rekvirirati	0.552	0.639	0.931
commander	zapovjednik	0.531	0.615	0.906
commanding	zapovjedni	0.562	0.664	0.925
commandment	zapovijed	0.656	0.490	0.876
commando	komandos	0.323	0.710	0.817
commemorate	komemoracija	0.812	0.602	0.636
commemoration	komemoracija	0.719	0.615	0.754
commemorative	komemorativan	0.750	0.438	0.754
commence	započeti	0.760	0.585	0.741
commend	pohvaliti	0.906	0.694	0.711
commendable	vrijedan pohvale	0.786	0.570	0.555
commendation	pohvala	0.911	0.500	0.639
commensurate	proporcionalan	0.610	0.304	0.550
comment	komentar	0.667	0.417	0.379
commentary	komentar	0.602	0.402	0.446
commentator	komentator	0.492	0.510	0.607
commerce	trgovina	0.646	0.500	0.788
commercial	trgovački	0.806	0.490	0.528
commie	commie	0.385	0.519	0.454
commissary	prodavaonica	0.385	0.500	0.788
commission	komisija	0.677	0.480	0.571
commissioner	povjerenik	0.602	0.449	0.949
commit	počiniti	0.365	0.529	0.491
commitment	opredjeljenje	0.714	0.710	0.843
committal	predavanje	0.472	0.519	0.582
committed	predan	0.710	0.542	0.712
committee	odbor	0.592	0.392	0.721
commodity	roba	0.615	0.394	0.537
commodore	komodor	0.427	0.530	0.636
common	uobičajen	0.600	0.127	0.318
commoner	prost	0.448	0.365	0.327
commonly	obično	0.604	0.170	0.574
commonplace	banalan	0.520	0.337	0.442
commons	zajednička	0.633	0.396	0.623
commonwealth	komonvelt	0.630	0.406	0.702
commotion	komocija	0.490	0.700	0.646
communal	komunalni	0.592	0.321	0.556
commune	komuna	0.500	0.488	0.655
communicable	infektivan	0.796	0.491	0.623
communicate	komunicirati	0.823	0.410	0.696
communication	komunikacija	0.837	0.400	0.649
communicative	komunikativan	0.847	0.560	0.637
communicator	komunikator	0.573	0.509	0.796
communion	pričest	0.765	0.357	0.607
communism	komunizam	0.264	0.570	0.623
communist	komunist	0.265	0.702	0.632
community	zajednica	0.750	0.350	0.659
commutation	komutacija	0.469	0.431	0.652
commutative	zamjenski	0.667	0.442	0.569
commute	mijenjati	0.622	0.582	0.565
commuter	prigradskim	0.646	0.520	0.512
comp	spoj	0.573	0.450	0.371
compact	kompaktan	0.458	0.417	0.673
compaction	zbijanje	0.531	0.471	0.582
compactness	kompaktnost	0.582	0.352	0.454
companion	drug	0.770	0.377	0.618
companionless	companionless	0.271	0.259	0.200
companionship	drugarstvo	0.833	0.438	0.792
company	društvo	0.906	0.425	0.798
comparable	usporedivo	0.562	0.443	0.458
comparative	komparativna	0.470	0.273	0.562
comparatively	usporedno	0.604	0.391	0.538
compare	usporediti	0.552	0.408	0.524
comparison	usporedba	0.583	0.456	0.492
compartment	odjeljak	0.500	0.389	0.607
compass	kompas	0.541	0.307	0.529
compassion	samilost	0.735	0.258	0.509
compassionate	samilostan	0.857	0.404	0.411
compatibility	kompatibilnost	0.816	0.450	0.673
compatible	kompatibilan	0.892	0.387	0.638
compel	natjerati	0.200	0.847	0.625
compelled	primoran	0.333	0.654	0.347
compelling	neodoljiv	0.698	0.570	0.870
compendium	sažet pregled	0.610	0.461	0.537
compensate	nadoknaditi	0.612	0.429	0.762
compensation	kompenzacija	0.775	0.469	0.598
compensatory	kompenzacijski	0.589	0.490	0.700
compete	konkurirati	0.573	0.745	0.786
competence	nadležnost	0.615	0.802	0.823
competency	sposobnost	0.768	0.775	0.764
competent	nadležan	0.865	0.560	0.904
competition	konkurencija	0.580	0.790	0.798
competitive	konkurentan	0.447	0.718	0.908
competitor	konkurent	0.612	0.959	0.861
compilation	kompilacija	0.530	0.512	0.606
compile	sastaviti	0.600	0.413	0.519
complacency	samozadovoljstvo	0.604	0.503	0.519
complacent	samodopadan	0.625	0.452	0.518
complain	žaliti se	0.143	0.682	0.360
complaint	prigovor	0.143	0.606	0.281
complement	upotpuniti, dopuna	0.760	0.277	0.600
complementary	dopunski	0.714	0.320	0.586
complete	potpun	0.750	0.414	0.809
completed	dovršen	0.823	0.357	0.777
completely	potpuno	0.730	0.370	0.690
completeness	potpunost	0.823	0.433	0.769
completing	popunjavanja	0.614	0.500	0.769
completion	završetak	0.656	0.470	0.525
complex	kompleks	0.388	0.608	0.550
complexed	kompleksu	0.312	0.577	0.612
complexion	ten	0.521	0.520	0.380
complexity	složenost	0.479	0.620	0.595
compliance	usklađenost	0.750	0.462	0.750
compliant	popustljiv	0.677	0.310	0.519
complicate	otežavati	0.210	0.657	0.404
complicated	složen	0.211	0.660	0.455
complication	komplikacija	0.365	0.726	0.330
complicity	saučesništvo	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	pozdravni	0.823	0.413	0.435
comply	u skladu	0.806	0.370	0.638
complying	udovoljavanje	0.729	0.423	0.590
compo	Zida se produznim	0.500	0.346	0.390
component	sastavni dio	0.531	0.382	0.525
compose	sastaviti	0.639	0.432	0.694
composed	sastavljen	0.684	0.385	0.682
composer	kompozitor	0.822	0.588	0.691
composite	mješavina	0.591	0.459	0.620
composition	sastav	0.765	0.408	0.652
compost	kompost	0.480	0.404	0.441
composure	pribranost	0.802	0.354	0.717
compound	spoj	0.635	0.385	0.735
comprehend	shvatiti	0.875	0.365	0.689
comprehension	razumijevanje	0.908	0.387	0.688
comprehensive	opsežan	0.796	0.385	0.644
compress	oblog	0.406	0.412	0.460
compressed	stisnut	0.323	0.396	0.388
compressible	može stlačiti	0.622	0.392	0.585
compression	kompresija	0.646	0.521	0.579
compressor	kompresor	0.418	0.481	0.630
comprise	uključiti	0.839	0.373	0.669
compromise	kompromis	0.677	0.520	0.805
comptroller	kontrolora	0.402	0.481	0.866
compulsion	prinuda	0.118	0.760	0.604
compulsive	kompulzivan	0.347	0.871	0.573
compulsory	obavezan	0.343	0.541	0.791
computable	podložan računanju	0.570	0.402	0.545
computation	računanje	0.583	0.429	0.697
compute	prebrojavati	0.531	0.408	0.564
computer	Računalo	0.802	0.356	0.639
computerized	kompjutorizirani	0.677	0.450	0.657
computing	računanje	0.745	0.398	0.695
comrade	drug	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	povezan u lanac	0.480	0.593	0.539
concave	konkavan	0.441	0.349	0.349
conceal	prikriti	0.312	0.436	0.306
concealed	sakriven	0.344	0.363	0.352
concealment	prikrivanje	0.302	0.570	0.390
concede	dopustiti	0.670	0.324	0.473
conceit	uobraženost	0.354	0.625	0.309
conceited	uobražen	0.194	0.667	0.473
conceivable	razumljiv	0.730	0.350	0.613
conceive	zamisliti	0.708	0.538	0.700
concentrate	koncentrat	0.750	0.439	0.743
concentration	koncentracija	0.735	0.500	0.722
concentric	koncentričan	0.730	0.479	0.635
concept	koncept	0.573	0.265	0.632
conception	začeće	0.694	0.490	0.614
concern	briga	0.250	0.734	0.463
concerned	zabrinut	0.292	0.698	0.350
concert	koncert	0.938	0.867	0.718
concerto	koncert	0.613	0.759	0.679
concession	koncesija	0.588	0.423	0.615
concessional	privilegirani	0.770	0.493	0.657
conch	ljuštura	0.583	0.306	0.339
concierge	vratar	0.480	0.343	0.343
conciliation	pomirenje	0.792	0.475	0.726
concise	sažet	0.583	0.298	0.620
conclave	sjednica	0.573	0.440	0.611
conclude	zaključiti	0.530	0.267	0.679
concluding	završni	0.531	0.382	0.603
conclusion	zaključak	0.615	0.377	0.659
conclusive	konačan	0.500	0.427	0.745
concoction	izmišljotina	0.448	0.459	0.417
concomitant	prateći	0.427	0.482	0.727
concord	sloga	0.677	0.320	0.586
concordance	saglasnost	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	gomila	0.740	0.657	0.528
concrete	beton	0.633	0.420	0.547
concubine	konkubina	0.388	0.594	0.476
concur	slagati se	0.459	0.394	0.429
concurrence	potpomaganje	0.764	0.627	0.613
concurrent	istovremen	0.573	0.547	0.741
concurring	suglasno	0.573	0.600	0.681
concussion	potres	0.072	0.708	0.482
condemn	osuditi	0.102	0.793	0.625
condemnation	osuda	0.133	0.725	0.449
condensation	kondenzacija	0.510	0.316	0.538
condensed	kondenzovan	0.598	0.415	0.623
condescending	snishodljiv	0.583	0.363	0.593
condescension	snishodljivost	0.521	0.377	0.565
condiment	začin	0.520	0.333	0.433
condition	stanje	0.500	0.469	0.519
conditional	uvjetna	0.521	0.343	0.556
conditionally	uslovno	0.396	0.419	0.617
conditioned	uslovan	0.490	0.417	0.616
conditioner	regenerator	0.781	0.360	0.538
conditioning	uređaj	0.440	0.468	0.617
conditions	Uvjeti	0.551	0.441	0.593
condo	apartman	0.439	0.288	0.607
condolence	izjava saučešća	0.260	0.443	0.404
condolences	saučešće	0.198	0.480	0.288
condom	kondom	0.406	0.637	0.500
condone	opraštati	0.571	0.441	0.619
condor	kondor	0.573	0.388	0.519
conducive	pogodan	0.775	0.479	0.679
conduct	ponašanje	0.453	0.510	0.750
conduction	kondukcija	0.530	0.557	0.717
conductivity	provodljivost	0.583	0.575	0.642
conductor	dirigent	0.677	0.663	0.621
conduit	cijev	0.470	0.302	0.413
cone	konus	0.417	0.208	0.343
confederacy	konfederacija	0.590	0.541	0.736
confederate	kofederativan	0.551	0.546	0.792
confederation	član konfederacije	0.663	0.404	0.830
confer	savjetovati	0.573	0.482	0.583
conference	konferencija	0.688	0.615	0.606
confess	priznati	0.360	0.712	0.431
confession	ispovijest	0.469	0.642	0.460
confessional	ispovjedaonica	0.458	0.392	0.629
confessions	ispovijedi	0.325	0.538	0.658
confetti	konfete	0.781	0.573	0.250
confidant	povjerenik	0.837	0.633	0.631
confide	povjeriti	0.669	0.472	0.595
confidence	samouvjerenost	0.959	0.276	0.943
confident	uvjeren	0.765	0.324	0.723
confidential	povjerljiv	0.643	0.471	0.761
confidentiality	povjerljivost	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	konfiguracija	0.540	0.443	0.591
confine	ograničiti	0.327	0.551	0.538
confined	zatvoren	0.286	0.472	0.444
confinement	ograničavanje	0.333	0.656	0.520
confines	granice	0.396	0.386	0.542
confirm	potvrditi	0.802	0.439	0.806
confirmation	potvrda	0.812	0.480	0.692
confirmatory	potvrdna	0.656	0.500	0.683
confirmed	potvrđen	0.760	0.490	0.764
confiscate	zaplijeniti	0.250	0.625	0.482
confiscation	konfiskacija	0.208	0.706	0.586
conflagration	požar	0.344	0.721	0.594
conflict	sukob	0.335	0.906	0.471
conflicting	konfliktan	0.173	0.738	0.553
confluence	ušće	0.677	0.598	0.565
conform	odgovara	0.479	0.380	0.375
conformance	sukladnosti	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	konformizam	0.645	0.363	0.579
confound	zbuniti	0.347	0.529	0.333
confounded	zbunjen	0.333	0.528	0.264
confront	suočiti	0.281	0.760	0.746
confrontation	konfrontacija	0.177	0.870	0.658
confuse	zbuniti	0.100	0.580	0.270
confused	zbunjen	0.220	0.650	0.179
confusing	zbunjujuće	0.229	0.690	0.222
confusion	zbunjenost	0.255	0.667	0.277
conga	Conga	0.469	0.529	0.440
congenial	kongenijalan	0.820	0.412	0.620
congenital	urođen	0.448	0.434	0.427
congestion	kongestija	0.271	0.654	0.491
conglomerate	konglomerat	0.500	0.500	0.838
conglomeration	konglomerat	0.541	0.720	0.670
congrats	čestitke	0.930	0.726	0.775
congratulate	čestitati	0.927	0.724	0.784
congratulation	čestitka	0.948	0.780	0.717
congratulations	Čestitamo	0.960	0.755	0.719
congratulatory	čestitajući	0.959	0.616	0.689
congregate	skupiti	0.653	0.530	0.733
congregation	zajednica	0.561	0.490	0.700
congress	kongres	0.449	0.444	0.857
congressional	kongresni	0.552	0.491	0.848
congressman	kongresmen	0.438	0.471	0.877
congruence	kongruencija	0.656	0.472	0.577
conic	konusni	0.510	0.368	0.379
conical	kupast	0.490	0.422	0.471
conjecture	pretpostavka	0.396	0.398	0.534
conjugal	bračni	0.698	0.510	0.688
conjugate	konjugat	0.583	0.420	0.467
conjugation	konjugacija	0.479	0.429	0.582
conjunction	veznik	0.520	0.472	0.509
conjunctive	vezivni	0.487	0.444	0.639
conjure	prizivati	0.385	0.679	0.645
conjuring	conjuring	0.224	0.653	0.694
conk	pokvariti se	0.340	0.469	0.404
connect	Spojiti	0.724	0.299	0.536
connected	povezan	0.816	0.550	0.612
connection	veza	0.729	0.560	0.655
connective	vezivni	0.719	0.491	0.764
connoisseur	znalac	0.760	0.461	0.769
conquer	osvojiti	0.694	0.873	0.971
conquering	osvajački	0.760	0.873	0.936
conqueror	osvajač	0.604	0.809	0.930
conquest	osvajanje	0.710	0.702	0.833
conscience	savjest	0.663	0.375	0.721
conscientious	savjestan	0.688	0.404	0.688
conscious	svjestan	0.740	0.333	0.705
consciousness	svijest	0.840	0.483	0.755
conscription	vojna obaveza	0.396	0.775	0.642
consecrated	posvećen	0.663	0.500	0.800
consecration	posvećenje	0.771	0.418	0.804
consecutive	uzastopni	0.663	0.418	0.643
consensual	konsenzualni	0.663	0.417	0.655
consensus	konsenzus	0.627	0.358	0.625
consent	pristanak	0.750	0.500	0.620
consenting	pristao	0.727	0.406	0.693
consequence	posljedica	0.240	0.721	0.593
consequent	dosljedan	0.663	0.471	0.625
conservation	konzervacija	0.832	0.401	0.606
conservatism	konzervatizam	0.406	0.369	0.633
conservative	konzervativan	0.615	0.316	0.788
conservatory	konzervatorijum	0.635	0.240	0.729
conserve	čuvati	0.690	0.347	0.573
consider	uzeti u obzir	0.677	0.368	0.579
considerable	znatan	0.653	0.314	0.683
considerate	obziran	0.781	0.380	0.633
consideration	obzir	0.589	0.380	0.687
consignee	primalac robe	0.635	0.385	0.602
consignment	pošiljka	0.490	0.440	0.500
consist	sastojati	0.823	0.386	0.580
consistency	dosljednost	0.714	0.500	0.887
consistent	dosljedan	0.786	0.431	0.726
consolation	utjeha	0.408	0.250	0.304
console	konzola	0.625	0.398	0.415
consoled	utješen	0.700	0.343	0.452
consolidate	učvrstiti	0.880	0.440	0.870
consolidated	konsolidirani	0.700	0.366	0.784
consolidation	konsolidacija	0.604	0.445	0.776
consonant	suglasnik	0.500	0.347	0.417
consort	ortak	0.632	0.509	0.630
conspicuous	primjetan	0.479	0.520	0.596
conspiracy	zavjera	0.125	0.787	0.652
conspirator	zavjerenik	0.271	0.786	0.707
conspire	kovati zavjeru	0.206	0.740	0.520
constable	policajac	0.573	0.667	0.764
constancy	postojanost	0.786	0.443	0.763
constant	konstantno	0.740	0.296	0.686
constantly	konstantno	0.663	0.561	0.700
constellation	konstelacija	0.719	0.533	0.775
consternation	zapanjenost	0.167	0.680	0.469
constipation	zatvor	0.079	0.612	0.231
constituency	izborna jedinica	0.500	0.480	0.696
constituent	sastavni	0.573	0.500	0.827
constituents	sastojci	0.573	0.414	0.833
constitute	konstituirati	0.812	0.349	0.906
constitution	ustav	0.590	0.380	0.889
constitutional	ustavni	0.633	0.418	0.827
constitutionality	ustavnost	0.612	0.439	0.853
constrain	nagnati	0.261	0.500	0.500
constrained	ograničen	0.135	0.537	0.357
constraint	ograničenje	0.323	0.550	0.481
construct	izgraditi	0.750	0.648	0.792
construction	izgradnja	0.848	0.612	0.759
constructive	konstruktivan	0.860	0.570	0.812
construe	protumačiti	0.602	0.519	0.553
consul	konzul	0.573	0.354	0.688
consulate	konzulat	0.561	0.453	0.694
consult	savjetovati	0.755	0.370	0.441
consultant	konzultant	0.770	0.344	0.808
consultation	konzultacija	0.660	0.463	0.625
consume	pojesti	0.427	0.620	0.509
consumer	potrošač	0.507	0.551	0.677
consuming	konzumiranje	0.573	0.541	0.536
consummate	besprijekoran	0.551	0.540	0.558
consummation	konzumacija	0.583	0.676	0.661
consumption	potrošnja	0.390	0.531	0.538
contact	kontakt	0.719	0.424	0.526
contagion	zaraza	0.208	0.630	0.535
contagious	zarazan	0.184	0.725	0.400
contain	sadržati	0.542	0.490	0.658
container	kontejner	0.551	0.396	0.561
containment	zatvorenost	0.411	0.491	0.618
contaminate	kontaminirati	0.140	0.611	0.426
contaminated	zagađen	0.040	0.500	0.368
contamination	kontaminacija	0.125	0.610	0.375
contemplate	razmišljati	0.740	0.347	0.642
contemplation	razmišljanje	0.552	0.324	0.627
contemplative	kontemplativan	0.729	0.308	0.739
contemporaneous	savremen	0.640	0.373	0.591
contemporary	suvremeni	0.720	0.365	0.569
contempt	prezir	0.206	0.635	0.396
contemptible	prezren	0.146	0.657	0.471
contemptuous	preziran	0.204	0.500	0.375
contend	tvrditi	0.510	0.657	0.731
contender	natjecatelj	0.480	0.790	0.681
contending	boriti	0.490	0.698	0.716
content	sadržaj	0.764	0.296	0.559
contented	zadovoljan	0.857	0.612	0.746
contention	tvrdnja	0.375	0.510	0.738
contentious	svadljiv	0.422	0.573	0.637
contentment	zadovoljstvo	0.875	0.610	0.782
contents	sadržaj	0.656	0.375	0.550
contest	Natjecanje	0.667	0.698	0.717
contestant	takmičar	0.760	0.530	0.602
context	kontekst	0.531	0.300	0.553
contiguous	granični	0.375	0.450	0.500
continence	apstinencija	0.450	0.396	0.469
continent	kontinent	0.551	0.373	0.833
continental	kontinentalni	0.486	0.350	0.755
contingency	slučaj	0.396	0.500	0.670
contingent	slučajan	0.470	0.531	0.659
continual	stalan	0.500	0.423	0.685
continually	stalno	0.646	0.438	0.698
continuance	trajanje	0.729	0.510	0.652
continuation	nastavljanje	0.615	0.470	0.566
continue	nastaviti	0.630	0.427	0.612
continued	i dalje	0.635	0.440	0.500
continuing	nastavlja	0.667	0.500	0.520
continuity	neprekidnost	0.781	0.439	0.684
continuous	stalan	0.625	0.509	0.580
continuously	neprekidno	0.719	0.417	0.702
continuum	kontinuum	0.677	0.390	0.491
contour	kontura	0.589	0.265	0.414
contraband	krijumčarenje	0.177	0.875	0.670
contraception	kontracepcija	0.296	0.518	0.525
contract	ugovor	0.594	0.412	0.636
contracted	ugovoreno	0.344	0.557	0.449
contractile	kontraktilan	0.480	0.586	0.569
contracting	ugovaranje	0.594	0.490	0.769
contraction	stezanje	0.292	0.755	0.603
contractor	izvođač radova	0.592	0.479	0.727
contradict	proturječiti	0.160	0.598	0.482
contradiction	kontradikcija	0.250	0.660	0.377
contradictory	kontradiktoran	0.365	0.651	0.421
contraption	novatorstvo	0.448	0.590	0.491
contrary	suprotno	0.327	0.449	0.338
contrast	kontrast	0.480	0.406	0.520
contrasted	u kontrastu	0.521	0.538	0.491
contravene	prekršiti	0.357	0.618	0.472
contravention	kršenje	0.344	0.627	0.593
contribute	doprinijeti	0.806	0.350	0.795
contribution	doprinos	0.854	0.452	0.760
contributor	suradnik	0.844	0.510	0.760
contrite	pokajnički	0.347	0.363	0.473
contrition	kajanje	0.347	0.583	0.463
contrived	neprirodan	0.408	0.530	0.458
control	kontrolirati	0.729	0.352	0.808
controller	kontrolor	0.469	0.712	0.868
controlling	kontrolni	0.490	0.441	0.885
controversial	kontroverzno	0.271	0.858	0.538
controversy	polemika	0.250	0.819	0.600
contusion	ozljeda	0.167	0.565	0.509
conundrum	zagonetka	0.354	0.524	0.408
convalescent	oporavljenički	0.458	0.480	0.269
convection	konvekcija	0.521	0.494	0.526
convene	sazvati	0.583	0.676	0.636
convenience	pogodnost	0.781	0.448	0.613
conveniences	pogodnosti	0.802	0.412	0.693
convenient	zgodan	0.846	0.491	0.574
convent	manastir	0.480	0.217	0.594
convention	konvencija	0.622	0.622	0.704
conventional	konvencionalne	0.594	0.292	0.634
converge	konvergirati	0.635	0.471	0.539
convergence	konvergencija	0.551	0.491	0.625
convergent	konvergentan	0.781	0.490	0.696
conversant	upoznat	0.724	0.360	0.542
conversation	razgovor	0.750	0.510	0.609
conversational	razgovorni	0.719	0.431	0.596
conversationalist	kozer	0.719	0.467	0.667
converse	razgovarati	0.594	0.406	0.598
conversing	razgovor	0.755	0.409	0.442
conversion	pretvaranje	0.480	0.605	0.736
convert	Pretvoriti	0.551	0.538	0.704
converted	pretvaraju	0.663	0.418	0.686
convertible	kabriolet	0.542	0.529	0.717
convex	konveksan	0.438	0.427	0.445
convexity	konveksnost	0.449	0.354	0.484
convey	prenijeti	0.719	0.633	0.708
conveyance	prijenos	0.615	0.520	0.455
conveyancing	prosleđi-	0.375	0.479	0.663
convict	osuđenik	0.177	0.840	0.477
conviction	osuda	0.615	0.704	0.826
convince	uvjeriti	0.708	0.539	0.763
convinced	uvjeren	0.750	0.500	0.630
convincing	uvjerljiv	0.760	0.527	0.900
convocation	sazivanje	0.538	0.611	0.663
convoluted	savijen	0.323	0.614	0.433
convolution	saziv	0.417	0.559	0.527
convoy	konvoj	0.500	0.671	0.639
coo	gugutati	0.490	0.439	0.500
cook	kuhati	0.847	0.500	0.412
cookbook	kuharica	0.602	0.346	0.398
cooker	štednjak	0.592	0.373	0.407
cookery	kulinarstvo	0.633	0.368	0.345
cookie	kolačić	0.792	0.306	0.250
cookies	keksi	0.823	0.451	0.316
cooking	kuhanje	0.694	0.510	0.434
cookout	cookout	0.680	0.406	0.482
cool	svjež	0.885	0.540	0.781
coolant	rashladne tekućine	0.720	0.412	0.456
cooler	hladnjak	0.664	0.375	0.460
cooling	hlađenje	0.469	0.324	0.392
coolness	hladovina	0.490	0.307	0.548
coon	rakun	0.490	0.460	0.400
coop	kavez	0.612	0.445	0.650
cooperate	surađivati	0.898	0.451	0.582
cooperating	surađuje	0.760	0.390	0.693
cooperation	suradnja	0.847	0.473	0.686
cooperative	zadruga	0.816	0.461	0.670
coordinate	Koordinirati	0.698	0.429	0.694
coordination	koordinacija	0.677	0.454	0.789
coordinator	koordinator	0.750	0.510	0.850
cop	policajac	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	izaći na kraj	0.592	0.647	0.709
copier	mašina za kopiranje	0.459	0.345	0.390
copilot	ko-pilot	0.640	0.538	0.573
coping	suočavanje	0.562	0.630	0.613
copious	obilan	0.427	0.462	0.527
copper	bakar	0.580	0.260	0.500
copter	helikopterom	0.571	0.704	0.569
copy	kopirati	0.460	0.240	0.263
copycat	oponašatelj	0.449	0.580	0.443
copying	kopiranje	0.448	0.315	0.404
copyright	autorsko pravo	0.458	0.402	0.663
coral	koraljni	0.802	0.231	0.425
coral snake	koraljna zmija	0.276	0.712	0.607
cord	vrpca	0.388	0.378	0.358
cordial	srdačan	0.823	0.312	0.482
cordless	bezžičan	0.667	0.441	0.528
cordon	kordon	0.469	0.317	0.380
corduroy	samt	0.570	0.324	0.357
core	srž	0.721	0.378	0.540
cork	pluta	0.347	0.250	0.281
corkscrew	vadičep	0.427	0.443	0.445
corn	kukuruz	0.594	0.196	0.292
cornball	cornball	0.479	0.378	0.325
cornbread	kukuruzni kruh	0.643	0.304	0.302
cornea	kornea	0.521	0.346	0.443
corned	usoljen	0.459	0.441	0.425
corner	ugao	0.400	0.296	0.366
cornerstone	kamen temeljac	0.550	0.388	0.596
cornet	kornet	0.507	0.520	0.415
cornfield	polje kukuruza	0.719	0.310	0.349
cornflakes	kukuruzne pahuljice	0.729	0.346	0.355
cornice	krovni vijenac	0.458	0.441	0.295
cornstarch	kukuruzni štirak	0.643	0.299	0.337
corny	banalan	0.448	0.370	0.221
corollary	posljedica	0.458	0.469	0.366
corona	korona	0.818	0.439	0.745
coronary	koronarni	0.567	0.613	0.509
coronation	krunidba	0.792	0.592	0.836
coroner	istražitelj	0.323	0.558	0.526
corporal	desetar	0.582	0.490	0.596
corporate	korporativni	0.592	0.454	0.745
corporation	korporacija	0.429	0.332	0.873
corporeal	opipljiv	0.520	0.350	0.461
corps	korpus	0.551	0.453	0.483
corpse	lješ	0.094	0.657	0.232
corpsman	corpsman	0.439	0.469	0.651
corpus	zbirka	0.543	0.340	0.490
corral	tor za stoku	0.606	0.662	0.422
correct	ispravan	0.857	0.306	0.723
correction	korekcija	0.448	0.485	0.558
correctional	popravni	0.292	0.713	0.602
corrective	korektiv	0.448	0.528	0.613
correctness	ispravnost	0.796	0.450	0.649
correlation	korelacija	0.596	0.462	0.571
correlative	prikladan	0.510	0.402	0.571
correspond	odgovarati	0.710	0.452	0.545
correspondence	Dopisivanje	0.663	0.423	0.491
correspondent	dopisnik	0.573	0.565	0.712
corresponding	odgovara	0.740	0.423	0.618
corridor	hodnik	0.604	0.589	0.592
corroborate	potvrditi	0.671	0.471	0.616
corroboration	potvrda	0.625	0.431	0.733
corrosion	korozija	0.156	0.610	0.348
corrosive	nagrizajući	0.140	0.618	0.570
corrupt	pokvariti	0.020	0.806	0.500
corrupting	oštećenje	0.062	0.804	0.380
corruption	korupcija	0.052	0.830	0.549
corsage	gornji dio ženske odjeće	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	steznik	0.490	0.520	0.381
cortex	korteks	0.594	0.439	0.529
cortical	kortikalna	0.380	0.423	0.536
cortisone	kortizon	0.427	0.395	0.456
corvette	korveta	0.551	0.520	0.598
cosmetic	kozmetički	0.625	0.304	0.308
