Word	Korean-ko	Valence	Arousal	Dominance
drive	드라이브	0.625	0.689	0.713
drivel	군침	0.398	0.469	0.463
driver	운전사	0.553	0.538	0.637
driveway	차도	0.612	0.392	0.689
drizzle	이슬비	0.521	0.353	0.319
droll	익살 꾸러기	0.459	0.573	0.422
drone	무인 비행기	0.429	0.686	0.596
drones	무인 항공기	0.398	0.577	0.588
drool	군침	0.385	0.398	0.204
drooping	하수	0.245	0.558	0.353
droopy	처진	0.438	0.350	0.297
drop	하락	0.479	0.321	0.291
droplet	작은 물방울	0.625	0.208	0.194
dropout	탈락	0.253	0.550	0.481
dropper	점 적기	0.333	0.216	0.236
drought	가뭄	0.133	0.353	0.267
drove	NO TRANSLATION	0.541	0.528	0.623
drown	안 들리게 하다	0.071	0.860	0.270
drowsiness	졸음	0.260	0.194	0.303
drowsy	나른한	0.375	0.180	0.240
drudgery	천역	0.094	0.522	0.241
drug	약	0.214	0.790	0.453
drug dealing	마약 거래	0.042	0.843	0.500
drugged	약을 먹인	0.102	0.750	0.321
druggist	약제사	0.240	0.561	0.417
drugs	약제	0.167	0.750	0.368
drugstore	약국	0.490	0.343	0.518
druid	사제	0.517	0.445	0.481
drum	북	0.615	0.679	0.339
drummer	고수	0.646	0.700	0.564
drumming	드럼 연주	0.594	0.750	0.426
drunk	취한	0.194	0.800	0.250
drunk driving	음주 운전	0.073	0.900	0.306
drunkard	술고래	0.240	0.873	0.250
drunken	술취한	0.155	0.849	0.250
drunkenness	술 취함	0.214	0.774	0.336
dry	마른	0.363	0.169	0.311
dryer	건조기	0.479	0.343	0.277
dryness	건조 함	0.292	0.296	0.263
dual	이중의	0.573	0.330	0.384
dualism	이중성	0.490	0.406	0.536
duality	이중성	0.438	0.520	0.503
dub	서투른 사람	0.510	0.480	0.387
dubious	모호한	0.414	0.480	0.198
duchess	공작 부인	0.656	0.548	0.711
duck	오리	0.594	0.337	0.236
ducking	물오리 사냥	0.344	0.573	0.294
duckling	새끼 오리	0.602	0.353	0.263
ducky	예보	0.520	0.430	0.368
duct	도관	0.449	0.435	0.430
ductile	두들겨 펼 수 있는	0.508	0.420	0.433
dud	더러운	0.167	0.455	0.246
dude	친구	0.809	0.356	0.615
duds	의복	0.347	0.311	0.339
due	정당한	0.562	0.340	0.467
duel	결투	0.271	0.696	0.589
dues	회비	0.367	0.461	0.288
duet	이중주	0.694	0.693	0.527
duffel	갈아 입을 옷	0.500	0.400	0.384
dugout	방공호	0.490	0.370	0.463
duh	대법원	0.357	0.461	0.364
duke	공작	0.667	0.440	0.669
dull	둔한	0.194	0.120	0.185
dullard	미련퉁이	0.450	0.480	0.365
dumb	우둔한	0.188	0.330	0.151
dumbasses	덤 버스	0.316	0.590	0.363
dumbbell	아령	0.302	0.469	0.364
dumbbitch	NO TRANSLATION	0.281	0.636	0.393
dumfound	멍청한	0.271	0.551	0.295
dumfounder	NO TRANSLATION	0.406	0.481	0.400
dummy	더미	0.440	0.144	0.250
dump	덤프	0.345	0.500	0.370
dumpling	심	0.580	0.321	0.360
dumps	우울	0.302	0.583	0.365
dumpster	쓰레기 수거통	0.229	0.418	0.101
dun	암갈색	0.458	0.431	0.339
dunce	열등생	0.188	0.327	0.146
dune	모래 언덕	0.459	0.173	0.414
dung	NO TRANSLATION	0.104	0.549	0.149
dungeon	지하 감옥	0.276	0.608	0.440
dunk	덩크	0.406	0.333	0.475
duo	듀오	0.510	0.500	0.447
dupe	잘 속는 사람	0.184	0.760	0.327
duplex	양면 인쇄	0.592	0.452	0.467
duplicate	복제	0.521	0.490	0.338
duplication	복사	0.480	0.564	0.577
duplicity	이중성	0.406	0.500	0.578
durability	내구성	0.750	0.398	0.813
durable	튼튼한	0.740	0.294	0.688
duration	지속	0.656	0.370	0.536
duress	협박	0.302	0.569	0.612
dusk	황혼	0.532	0.276	0.519
dusky	거무스름한	0.229	0.528	0.324
dust	먼지	0.344	0.246	0.241
duster	살포기	0.408	0.265	0.296
dustpan	쓰레받기	0.609	0.466	0.371
dusty	무미 건조한	0.406	0.294	0.255
dutiful	의무적 인	0.724	0.245	0.585
duty	의무	0.583	0.579	0.651
dwarf	난쟁이	0.370	0.340	0.288
dwarfed	왜소합니까?	0.365	0.265	0.293
dweeb	dweeb	0.354	0.446	0.327
dwell	살다	0.698	0.245	0.611
dweller	거주자	0.615	0.304	0.500
dwelling	주거	0.765	0.330	0.481
dye	물든 색	0.479	0.314	0.371
dying	사망	0.040	0.664	0.422
dyke	다이크	0.438	0.396	0.566
dynamic	동적	0.724	0.750	0.836
dynamical	역 동성의	0.786	0.730	0.827
dynamics	역학	0.745	0.682	0.774
dynamite	다이너마이트	0.344	0.860	0.783
dynamo	발전기	0.531	0.650	0.593
dynasty	왕조	0.725	0.588	0.936
dysentery	이질	0.260	0.528	0.345
dysfunction	기능 부전	0.156	0.410	0.386
dysfunctional	기능 불능의	0.125	0.558	0.307
dyspepsia	소화 불량	0.212	0.470	0.460
eager	심한	0.521	0.812	0.306
eagerness	열의	0.406	0.621	0.443
eagle	독수리	0.604	0.594	0.679
ear	귀	0.469	0.216	0.231
earful	작은	0.533	0.462	0.443
earl	백작	0.582	0.461	0.794
earlier	일찍이	0.562	0.352	0.339
early	이른	0.633	0.373	0.426
earn	벌다	0.865	0.769	0.817
earnest	진지한	0.653	0.380	0.670
earnestly	진지하게	0.847	0.490	0.717
earnestness	열의	0.812	0.373	0.615
earnings	수입	0.938	0.650	0.875
earpiece	이어폰	0.583	0.286	0.452
earring	귀걸이	0.583	0.520	0.500
earrings	귀걸이	0.676	0.346	0.517
earshot	들소	0.552	0.332	0.408
earth	지구	0.750	0.225	0.614
earthenware	질그릇	0.552	0.210	0.320
earthling	지구인	0.531	0.412	0.570
earthly	지구의	0.625	0.318	0.518
earthquake	지진	0.073	0.930	0.812
earthy	거친	0.375	0.413	0.404
ease	용이함	0.796	0.385	0.491
easel	화가	0.694	0.340	0.527
easement	지역권	0.479	0.345	0.302
easily	용이하게	0.885	0.279	0.453
east	동쪽	0.510	0.250	0.317
eastbound	이스트 바운드	0.541	0.408	0.402
eastern	동부의	0.521	0.420	0.480
easy	쉬운	0.865	0.194	0.373
easygoing	느긋한	0.823	0.276	0.538
eat	먹다	0.731	0.500	0.464
eater	먹는 사람	0.459	0.337	0.510
eating	먹기	0.847	0.491	0.615
eatingdisorders	NO TRANSLATION	0.365	0.608	0.508
eavesdrop	엿듣다	0.375	0.710	0.368
eavesdropping	도청	0.490	0.380	0.441
ebb	썰물	0.354	0.451	0.404
ebony	흑단	0.490	0.317	0.400
ebullient	끓어 넘치는	0.659	0.856	0.746
eccentric	별난	0.531	0.806	0.721
eccentricity	이심률	0.408	0.735	0.745
ecclesiastical	교회의	0.673	0.270	0.660
echelon	단계	0.490	0.404	0.425
echinacea	에키나시아	0.592	0.418	0.454
echo	에코	0.573	0.373	0.345
eclectic	절충주의의	0.646	0.542	0.508
eclipse	식	0.541	0.469	0.616
ecliptic	황도	0.531	0.520	0.556
ecological	생태학의	0.885	0.290	0.607
economic	간결한	0.561	0.408	0.639
economical	경제적 인	0.667	0.564	0.673
economics	경제학	0.625	0.481	0.632
economy	경제	0.583	0.434	0.771
ecosystem	생태계	0.729	0.259	0.633
ecstasy	엑스터시	0.796	0.922	0.655
ecstatic	황홀한	0.875	0.769	0.742
ecumenical	세계적인	0.561	0.450	0.547
eddy	소용돌이	0.500	0.394	0.350
edema	부종	0.250	0.519	0.318
edge	가장자리	0.439	0.470	0.468
edging	가두리 침	0.479	0.394	0.370
edgy	초라한	0.281	0.895	0.306
edible	먹을 수 있는	0.750	0.425	0.497
edict	명령	0.316	0.547	0.560
edification	교화	0.625	0.481	0.697
edifice	건물	0.551	0.403	0.610
edit	편집하다	0.510	0.410	0.544
editing	편집	0.604	0.404	0.493
edition	판	0.542	0.455	0.564
editor	편집자	0.772	0.431	0.673
editorial	사설	0.583	0.330	0.570
educate	기르다	0.760	0.380	0.728
educated	교육받은	0.816	0.297	0.625
education	교육	0.896	0.275	0.840
educational	교육적인	0.745	0.457	0.764
educator	교육자	0.827	0.317	0.845
eeeek	NO TRANSLATION	0.367	0.540	0.349
eeek	NO TRANSLATION	0.333	0.490	0.302
eek	에크	0.292	0.529	0.343
eel	뱀장어	0.292	0.564	0.487
eerie	기분 나쁜	0.265	0.771	0.442
effect	효과	0.570	0.518	0.608
effective	유효한	0.844	0.632	0.891
effectiveness	유효성	0.640	0.654	0.812
effects	효과	0.470	0.578	0.379
effectual	효력있는	0.776	0.559	0.820
effectually	효과적으로	0.724	0.500	0.594
effectuate	효과를 발휘하다	0.510	0.602	0.679
effeminate	여자 같은	0.337	0.619	0.291
efficacious	효과 있는	0.823	0.698	0.845
efficacy	효능	0.802	0.490	0.906
efficiency	능률	0.802	0.509	0.892
efficient	실력 있는	0.959	0.604	0.830
effigy	인형	0.510	0.440	0.401
effort	노력	0.698	0.778	0.858
effortless	부담없는	0.626	0.090	0.352
effusion	유출	0.344	0.730	0.472
effyou	NO TRANSLATION	0.354	0.529	0.490
egg	계란	0.684	0.241	0.293
egghead	지식인	0.316	0.492	0.284
eggnog	에그 노그	0.635	0.360	0.259
eggplant	가지	0.592	0.152	0.323
eggshell	달걀 껍질	0.408	0.269	0.212
ego	자아	0.328	0.576	0.593
egomaniac	자발적인	0.133	0.708	0.596
egotistical	평범한	0.156	0.667	0.363
egregious	악명 높은	0.150	0.716	0.442
egress	출구	0.490	0.429	0.287
eight	여덟	0.540	0.199	0.315
eighteen	십팔	0.523	0.340	0.404
eighth	여덟 번째	0.531	0.226	0.380
eighty	여든	0.500	0.300	0.453
ejaculate	갑자기 외치다	0.604	0.896	0.604
ejaculation	사정	0.615	0.893	0.547
eject	꺼내다	0.434	0.656	0.559
ejection	방출	0.188	0.836	0.554
elaborate	정교한	0.561	0.367	0.680
elaboration	동화	0.708	0.500	0.598
elan	NO TRANSLATION	0.562	0.367	0.500
elapse	경과	0.514	0.440	0.455
elapsed	경과 된	0.583	0.451	0.493
elastic	탄력있는	0.656	0.518	0.385
elasticity	탄력	0.635	0.452	0.582
elated	의기 양양한	0.792	0.960	0.725
elation	의기 양양	0.740	0.853	0.623
elbow	팔꿈치	0.448	0.133	0.254
eld	노년	0.471	0.292	0.451
elder	장로	0.448	0.153	0.462
elderly	노인	0.615	0.212	0.283
elders	연상	0.602	0.260	0.441
eldest	가장 나이 많은	0.625	0.471	0.741
elect	선택된	0.667	0.554	0.661
election	선거	0.625	0.519	0.651
elective	임의로 선택할 수 있는	0.612	0.380	0.623
elector	선거인	0.479	0.520	0.766
electoral	선거	0.490	0.631	0.602
electorate	유권자	0.560	0.380	0.696
electric	전기 같은	0.458	0.708	0.512
electric slide	전기 슬라이드	0.542	0.660	0.536
electrical	전기 같은	0.531	0.620	0.688
electrician	전공	0.449	0.590	0.620
electricity	전기	0.698	0.810	0.733
electrify	깜짝 놀라게 하다	0.520	0.769	0.737
electrocute	감전사	0.271	0.731	0.555
electrocution	감전사	0.177	0.844	0.692
electromagnetic	전자기의	0.531	0.632	0.683
electron	전자	0.520	0.455	0.560
electronic	전자	0.571	0.490	0.704
electronics	전자 제품	0.708	0.545	0.574
elegance	우아	0.918	0.396	0.824
elegant	우아한	0.865	0.500	0.685
element	요소	0.531	0.259	0.481
elemental	원소 같은	0.627	0.306	0.711
elementary	초등학교의	0.594	0.286	0.686
elements	집단	0.510	0.312	0.462
elephant	코끼리	0.531	0.510	0.615
elevate	올리다	0.812	0.500	0.804
elevated	높은	0.704	0.594	0.620
elevation	높이	0.760	0.759	0.711
elevator	엘리베이터	0.562	0.604	0.676
eleven	열한	0.449	0.250	0.430
eleventh	십일	0.594	0.329	0.357
elf	꼬마 요정	0.460	0.457	0.315
elicit	이끌 리다	0.406	0.594	0.658
eligible	자격이되는	0.750	0.400	0.518
eliminate	죽이다	0.265	0.670	0.324
elimination	제거	0.052	0.667	0.431
elite	엘리트	0.688	0.704	0.737
elitist	엘리트 주의자	0.500	0.606	0.656
elixir	엘릭서	0.708	0.587	0.604
elk	고라니	0.439	0.337	0.340
ell	엘	0.469	0.418	0.373
ellipse	타원	0.531	0.410	0.479
ellipsis	생략	0.653	0.358	0.314
ellipsoid	타원체	0.500	0.440	0.419
elliptic	타원형의	0.500	0.431	0.528
elliptical	타원형의	0.338	0.385	0.490
elm	느릅 나무	0.510	0.345	0.321
elongate	길다	0.583	0.385	0.540
elongation	연장	0.561	0.500	0.500
elope	유령	0.396	0.694	0.528
eloquence	웅변	0.729	0.490	0.804
eloquent	웅변의	0.870	0.680	0.741
elucidate	명료하게하다	0.583	0.509	0.518
elucidation	설명	0.650	0.574	0.586
elude	회피하다	0.438	0.521	0.464
elusive	피하는	0.229	0.615	0.466
emaciated	쇠약해진	0.103	0.541	0.151
email	이메일	0.698	0.230	0.456
emanate	나다	0.653	0.464	0.554
emancipation	해방	0.704	0.684	0.763
embankment	둑	0.677	0.438	0.436
embargo	NO TRANSLATION	0.229	0.564	0.443
embark	태우다	0.541	0.550	0.619
embarrass	난처하게하다	0.082	0.667	0.364
embarrassed	어리둥절한	0.184	0.560	0.246
embarrassing	창피한	0.226	0.809	0.225
embarrassment	당황	0.143	0.685	0.226
embassy	대사관	0.622	0.333	0.758
embattled	싸우다	0.235	0.724	0.421
embed	깊숙이 박다	0.417	0.554	0.670
embellish	꾸미다	0.842	0.500	0.769
embellishment	꾸밈	0.673	0.449	0.405
embers	여신	0.490	0.481	0.508
embezzlement	도용	0.143	0.827	0.435
embezzler	엠지글 러	0.146	0.823	0.491
emblem	상징	0.640	0.330	0.754
emblematic	상징적 인	0.771	0.459	0.798
embodiment	구체화	0.562	0.690	0.663
embolism	색전증	0.104	0.660	0.302
embossed	양각 된	0.531	0.481	0.500
embrace	포옹	0.949	0.490	0.452
embroidered	수 놓은	0.677	0.279	0.407
embroidery	자수	0.781	0.358	0.280
embroiled	휩쓸어 넣는	0.337	0.721	0.420
embryo	태아	0.673	0.469	0.453
embryonic	배아의	0.573	0.453	0.598
emcee	사회자	0.694	0.577	0.691
emerald	에메랄드	0.740	0.363	0.726
emerge	나타나다	0.602	0.594	0.731
emergence	출현	0.276	0.857	0.676
emergency	비상 사태	0.200	0.900	0.571
emeritus	명예	0.633	0.402	0.735
emery	금강사	0.469	0.583	0.472
emetophobia	emetophobia	0.243	0.620	0.403
emigrate	이주하다	0.356	0.812	0.508
emigration	이주	0.564	0.664	0.432
eminence	저명	0.816	0.644	0.837
eminent	저명한	0.740	0.620	0.830
eminently	저명한	0.694	0.607	0.773
emir	NO TRANSLATION	0.510	0.396	0.621
emissary	사자	0.562	0.462	0.636
emission	방사	0.510	0.453	0.591
emit	방출하다	0.638	0.445	0.510
emo	이모	0.354	0.314	0.226
emotion	감정	0.693	0.873	0.696
emotional	정서적 인	0.779	0.714	0.526
emotive	감정적 인	0.917	0.741	0.525
empathic	공감하는	0.760	0.570	0.558
empathize	공감하다	0.802	0.591	0.660
empathy	감정 이입	0.729	0.349	0.545
emperor	황제	0.651	0.704	0.962
emphasis	중요성	0.653	0.745	0.816
emphasize	강조하다	0.510	0.605	0.769
emphatic	강조된	0.615	0.707	0.732
emphysema	기종	0.156	0.556	0.336
empire	제국	0.688	0.730	0.944
empirical	경험적	0.500	0.510	0.574
empiricism	경험주의	0.583	0.460	0.547
employ	고용	0.729	0.481	0.702
employee	종업원	0.582	0.361	0.481
employer	고용주	0.663	0.518	0.767
employment	고용	0.750	0.594	0.611
emporium	백화점	0.622	0.556	0.724
empower	능력을 키우다	0.694	0.779	0.891
empress	황후	0.716	0.669	0.855
emptiness	공	0.177	0.173	0.184
emption	emption	0.570	0.406	0.458
empty	빈	0.188	0.183	0.081
emu	에뮤	0.420	0.358	0.330
emulate	에뮬레이트하다	0.438	0.340	0.549
emulsion	유제	0.562	0.431	0.453
enable	가능하게하다	0.760	0.491	0.782
enablement	인 에이블먼트	0.600	0.451	0.750
enact	제정하다	0.680	0.564	0.598
enactment	제정	0.667	0.612	0.769
enamel	에나멜	0.594	0.280	0.306
encampment	야영지	0.677	0.573	0.605
enchant	호리다	0.873	0.650	0.643
enchanted	마법에 걸린	0.917	0.633	0.687
enchanting	매혹적인	0.917	0.681	0.708
enchantment	마법	0.816	0.775	0.647
enchantress	여자 요술쟁이	0.398	0.663	0.479
enchilada	엔 치일 라	0.542	0.553	0.371
encircle	에워 싸다	0.460	0.500	0.519
encircling	둘러싸고있는	0.510	0.368	0.557
enclave	고립시키다	0.531	0.333	0.580
enclose	넣다	0.531	0.477	0.473
enclosure	울로 둘러싼 땅	0.417	0.375	0.490
encode	인코딩하다	0.490	0.500	0.734
encomiastic	NO TRANSLATION	0.541	0.500	0.670
encomium	전구 물질	0.541	0.451	0.519
encompass	에워 싸다	0.520	0.298	0.661
encore	NO TRANSLATION	0.510	0.423	0.500
encounter	교전	0.865	0.702	0.689
encourage	북돋우다	0.896	0.580	0.704
encouraged	격려의	0.953	0.702	0.657
encouragement	격려	0.865	0.700	0.759
encouraging	격려의	0.823	0.583	0.755
encroach	잠식하다	0.302	0.742	0.702
encroachment	잠식	0.255	0.736	0.620
encrypt	암호화하다	0.500	0.387	0.500
encryption	암호화	0.547	0.415	0.474
encumbrance	방해물	0.300	0.521	0.480
encyclopedia	백과 사전	0.679	0.320	0.645
end	종료	0.198	0.349	0.298
end table	탁자	0.541	0.480	0.482
endanger	위태롭게	0.115	0.885	0.404
endangered	멸종 위기에 놓인	0.083	0.885	0.430
endangerment	위험	0.167	0.873	0.519
endearing	사랑스러워하는	0.663	0.434	0.604
endeavor	노력	0.677	0.755	0.765
ended	끝난	0.302	0.500	0.500
endemic	풍토병	0.406	0.480	0.483
endgame	최종회	0.449	0.538	0.526
ending	종결	0.344	0.365	0.492
endless	끝이없는	0.347	0.462	0.472
endocarditis	심장 내막염	0.235	0.587	0.412
endorse	지지하다	0.592	0.392	0.472
endorsement	배서	0.834	0.360	0.611
endow	부여하다	0.684	0.398	0.609
endowed	기증받은	0.755	0.510	0.769
endowment	자질	0.685	0.578	0.647
endpapers	최종 논문	0.542	0.400	0.339
endpoint	종점	0.311	0.410	0.448
endurance	지구력	0.592	0.745	0.760
endure	견디다	0.320	0.610	0.574
enduring	참을 수 있는	0.633	0.459	0.768
enema	관장	0.281	0.673	0.268
enemy	적	0.135	0.794	0.591
energetic	정력적인	0.847	0.868	0.902
energize	활력을 주다	0.792	0.810	0.875
energy	에너지	0.944	0.725	0.868
enforce	억지로 시키다	0.583	0.644	0.836
enforcement	시행	0.594	0.571	0.736
enforcer	집행자	0.398	0.612	0.639
engage	끌다	0.771	0.796	0.713
engaged	바쁜	0.837	0.596	0.849
engagement	약혼	0.906	0.587	0.807
engaging	매력적인	0.948	0.612	0.862
engender	낳다	0.561	0.741	0.688
engine	엔진	0.615	0.644	0.676
engineer	기사	0.719	0.500	0.875
engineering	공학	0.735	0.471	0.836
engrave	새기다	0.486	0.442	0.517
engraved	새겨 져있는	0.542	0.375	0.473
engraver	조각사	0.552	0.417	0.500
engraving	조각	0.604	0.430	0.442
engrossed	몰두 한	0.541	0.471	0.304
engrossing	몰두하는	0.698	0.702	0.750
engulf	삼키다	0.398	0.573	0.500
enhance	높이다	0.802	0.578	0.814
enhancement	상승	0.877	0.490	0.741
enigma	수수께끼	0.513	0.700	0.500
enigmatic	수수께끼 같은	0.469	0.589	0.679
enjoin	조인하다	0.594	0.454	0.732
enjoy	즐겨	0.959	0.725	0.750
enjoyable	재미있는	1.000	0.481	0.605
enjoying	즐기는	0.908	0.759	0.759
enjoyment	향유	0.930	0.612	0.716
enlarge	크게 하다	0.735	0.606	0.688
enlarged	크게 하는	0.673	0.490	0.518
enlargement	확대	0.677	0.577	0.616
enlighten	밝히다	0.729	0.549	0.667
enlightened	밝은	0.956	0.566	0.700
enlightening	계몽	0.825	0.729	0.727
enlightenment	계발	0.837	0.549	0.619
enlist	입대하다	0.510	0.370	0.483
enliven	활기 있게 만들다	0.833	0.683	0.702
enmity	증오	0.094	0.706	0.382
ennui	권태	0.406	0.461	0.316
enormity	악독	0.594	0.648	0.848
enormous	거대한	0.677	0.665	0.886
enormously	엄청나게	0.760	0.694	0.872
enraged	성나게 하는	0.083	0.962	0.636
enrich	높이다	0.896	0.731	0.705
enroll	싸다	0.696	0.530	0.611
enrollment	등록	0.667	0.391	0.698
ensemble	앙상블	0.697	0.418	0.586
ensign	소위	0.663	0.270	0.545
enslave	노예화	0.073	0.800	0.481
enslaved	예속 된	0.104	0.720	0.321
enslavement	노예화	0.086	0.635	0.302
ensue	...을 찾다	0.698	0.363	0.332
ensure	안전하게 하다	0.737	0.406	0.759
entail	한사 상속	0.484	0.630	0.645
entangled	빠뜨리는	0.319	0.578	0.357
entanglement	녹채	0.302	0.765	0.248
enter	들어가다	0.708	0.470	0.500
enterprise	기업	0.760	0.392	0.754
enterprising	진취적인	0.865	0.784	0.875
entertain	즐겁게 하다	0.918	0.684	0.598
entertained	즐겁게 한	0.902	0.644	0.712
entertainer	연예인	0.888	0.709	0.759
entertaining	재미있는	0.833	0.658	0.660
entertainment	환대	0.847	0.750	0.569
enthralled	매혹적인	0.745	0.602	0.615
enthusiasm	열광	0.938	0.816	0.798
enthusiast	열성가	0.867	0.810	0.875
enthusiastic	열정적 인	0.885	0.868	0.848
entice	꾀다	0.521	0.887	0.518
entire	완전한	0.689	0.462	0.698
entirety	전체	0.854	0.460	0.804
entitle	자격	0.729	0.333	0.827
entity	실재	0.542	0.402	0.670
entomology	곤충학	0.438	0.396	0.545
entourage	측근자	0.491	0.567	0.467
entrails	내장	0.365	0.538	0.387
entrance	입구	0.698	0.393	0.526
entrapment	함정	0.177	0.604	0.441
entreat	간청하다	0.304	0.560	0.462
entree	앙트레	0.615	0.477	0.624
entrepreneur	기업가	0.885	0.704	0.920
entrust	맡기다	0.693	0.310	0.630
entry	기입	0.552	0.353	0.602
enumerate	세다	0.521	0.390	0.491
enumeration	열거	0.548	0.327	0.534
envelope	봉투	0.604	0.275	0.377
envious	부러워하는	0.110	0.754	0.341
environ	NO TRANSLATION	0.724	0.221	0.433
environment	환경	0.646	0.194	0.528
environmental	환경	0.633	0.313	0.664
environs	주위	0.561	0.288	0.345
envision	상상하다	0.625	0.449	0.483
envoy	사절	0.531	0.375	0.586
envy	부러워하다	0.240	0.704	0.427
enzyme	효소	0.562	0.277	0.481
ephemeral	일시적인	0.500	0.312	0.377
ephemeris	천체력	0.640	0.380	0.528
epic	서사시	0.857	0.713	0.830
epidemic	전염병	0.092	0.830	0.611
epidermis	표피	0.418	0.490	0.426
epidural	경막 밖의	0.347	0.452	0.525
epilepsy	간질	0.061	0.854	0.250
epileptic	간질 환자	0.146	0.794	0.340
epilogue	발문	0.582	0.353	0.466
epiphany	출현	0.625	0.596	0.526
episcopal	감독의	0.542	0.314	0.750
episode	삽화	0.719	0.367	0.509
episodic	일시적인	0.531	0.542	0.462
epistle	서간	0.604	0.417	0.535
epitaph	비문	0.276	0.323	0.442
epithet	별명	0.530	0.394	0.524
epitome	발췌	0.510	0.500	0.667
epoch	시대	0.553	0.343	0.797
equal	같은	0.781	0.178	0.407
equality	평등	0.898	0.305	0.716
equalization	균등화	0.625	0.422	0.423
equalize	같게 하다	0.738	0.281	0.574
equalizer	평형 장치	0.604	0.451	0.586
equally	같이	0.625	0.264	0.436
equate	같게 하다	0.724	0.382	0.624
equation	방정식	0.479	0.384	0.608
equator	적도	0.550	0.302	0.462
equatorial	매우 무더운	0.550	0.271	0.593
equestrian	승마자	0.633	0.519	0.417
equidistant	등거리의	0.375	0.406	0.509
equilibration	평형	0.724	0.317	0.593
equilibrium	평형	0.676	0.235	0.620
equip	갖추어 주다	0.650	0.519	0.713
equipment	장비	0.745	0.495	0.700
equitable	공정한	0.714	0.286	0.750
equity	공평	0.792	0.304	0.614
equivalence	등가	0.663	0.250	0.582
equivalent	동등한	0.646	0.347	0.500
equivocal	확실치 않은	0.327	0.482	0.257
era	연대	0.615	0.407	0.449
eradicate	근절하다	0.260	0.690	0.686
eradication	근절	0.208	0.788	0.685
erase	삭제	0.240	0.260	0.321
eraser	지우개	0.458	0.209	0.311
erasure	지워 없앰	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	세우다	0.643	0.885	0.627
erectile	발기의	0.542	0.796	0.625
erection	발기	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	좀먹다	0.208	0.643	0.580
erosion	부식	0.312	0.770	0.465
erotic	에로틱 한	0.625	0.946	0.683
erotica	에로티카	0.781	0.870	0.579
err	잘못하다	0.146	0.660	0.236
errand	심부름	0.385	0.519	0.482
errant	잘못된	0.205	0.602	0.375
erratic	이상한 사람	0.271	0.503	0.217
erratum	오자	0.327	0.528	0.436
erroneous	잘못된	0.057	0.561	0.245
error	오류	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	학식 있는	0.719	0.434	0.774
erupt	나다	0.188	0.820	0.818
eruption	분화	0.156	0.913	0.733
escalade	에스컬레이드	0.480	0.724	0.442
escalate	차츰 오르다	0.653	0.714	0.728
escalating	차츰 오르는	0.646	0.724	0.518
escalation	단계적 확대	0.571	0.807	0.582
escalator	에스컬레이터	0.500	0.530	0.518
escape	탈출	0.367	0.765	0.448
escaped	탈출 한	0.365	0.755	0.518
escarpment	절벽	0.406	0.553	0.470
eschew	피하다	0.184	0.438	0.370
escort	호위	0.729	0.480	0.608
escrow	조건부 날인 증서	0.449	0.520	0.613
esophagus	식도	0.429	0.454	0.464
esoteric	비전의	0.500	0.676	0.545
especial	NO TRANSLATION	0.827	0.419	0.794
espionage	스파이 활동	0.312	0.750	0.620
espouse	처로 삼다	0.802	0.529	0.598
espresso	에스프레소	0.677	0.620	0.508
esprit	정신	0.552	0.431	0.407
esquire	귀하	0.604	0.542	0.518
essay	수필	0.559	0.411	0.530
essayist	수필가	0.656	0.460	0.462
essence	본질	0.663	0.369	0.575
essential	본질적인	0.812	0.405	0.759
essentially	본질적으로	0.750	0.373	0.802
establish	세우다	0.708	0.500	0.688
established	설립 된	0.796	0.394	0.694
establishment	설립	0.690	0.398	0.631
estate	재산	0.653	0.385	0.647
esteem	존중	0.745	0.380	0.679
esteemed	존경받는	0.694	0.418	0.531
esthetic	심미적 인	0.635	0.360	0.558
estimable	평가할 수 있는	0.796	0.408	0.630
estimate	견적	0.719	0.469	0.517
estimation	견적	0.740	0.480	0.589
estoppel	금반언	0.354	0.459	0.482
estranged	소원이없는	0.156	0.382	0.377
estrogen	에스트로겐	0.580	0.500	0.425
estuary	강어귀	0.469	0.278	0.482
etch	에칭	0.510	0.367	0.598
etching	에칭	0.567	0.491	0.575
eternal	영원한	0.854	0.409	0.843
eternity	영원	0.765	0.520	0.911
ethanol	에탄올	0.333	0.410	0.534
ether	에테르	0.490	0.306	0.412
ethereal	미묘한	0.520	0.419	0.518
ethic	윤리	0.786	0.260	0.791
ethical	윤리적 인	0.854	0.324	0.634
ethics	윤리학	0.658	0.296	0.731
ethnic	민족의	0.583	0.373	0.555
ethnography	민족 지학	0.571	0.373	0.549
etiology	병인학	0.500	0.385	0.639
etiquette	에티켓	0.604	0.350	0.421
etymology	어원	0.531	0.370	0.529
eucalyptus	유칼립투스	0.602	0.308	0.418
euchre	유커	0.470	0.459	0.442
eugenics	우생학	0.448	0.530	0.518
eulogistic	유쾌한	0.740	0.623	0.694
eulogium	유로 지움	0.542	0.482	0.655
eulogize	칭찬하다	0.850	0.518	0.679
eulogy	찬사	0.625	0.443	0.667
euphemism	완곡 어법	0.418	0.453	0.491
euphoria	행복감	0.769	0.955	0.648
euphoric	다정한	0.745	0.904	0.588
euro	유로	0.680	0.441	0.521
euthanasia	안락사	0.229	0.716	0.325
