Word	Esperanto-eo	Valence	Arousal	Dominance
disinclination	malkonsento	0.125	0.491	0.330
disincline	malkaŝi	0.458	0.454	0.278
disinclined	malklara	0.385	0.442	0.364
disinfect	malinfekti	0.448	0.388	0.648
disinfectant	malinfektanto	0.531	0.429	0.460
disinfection	malinfekto	0.517	0.556	0.473
disinformation	malinformo	0.230	0.577	0.260
disingenuous	senĉese	0.194	0.509	0.204
disintegrate	malintegri	0.143	0.660	0.364
disintegration	malintegriĝo	0.094	0.551	0.381
disinterested	neprofitema	0.398	0.284	0.392
disjoint	malsama	0.351	0.385	0.322
disjointed	disigita	0.323	0.518	0.365
disjunctive	disjunktiva	0.286	0.481	0.400
disk	disko	0.573	0.423	0.412
diskette	disketo	0.531	0.255	0.391
dislike	malŝatas	0.156	0.406	0.321
disliked	malŝatata	0.062	0.510	0.221
disliking	malŝatante	0.163	0.637	0.366
dislocated	dislokita	0.125	0.625	0.200
dislocation	disloko	0.229	0.565	0.373
dislodge	malŝlosi	0.214	0.769	0.356
disloyal	malplena	0.062	0.582	0.245
disloyalty	malfideleco	0.187	0.716	0.267
dismal	malklara	0.194	0.450	0.192
dismantle	malmunti	0.347	0.644	0.462
dismay	konsterno	0.314	0.681	0.459
dismayed	timigita	0.165	0.735	0.389
dismemberment	desmembramiento	0.104	0.860	0.470
dismiss	eksigi	0.167	0.541	0.509
dismissal	maldungo	0.153	0.723	0.271
dismissive	eksigita	0.188	0.541	0.430
dismount	malakcepti	0.361	0.423	0.391
disobedience	malobeo	0.051	0.868	0.369
disobedient	malobeema	0.276	0.706	0.353
disobey	malobeo	0.143	0.556	0.491
disorder	malordo	0.115	0.816	0.218
disordered	malordigita	0.210	0.714	0.288
disorderly	senorda	0.188	0.748	0.385
disorganized	desorganizitaj	0.052	0.507	0.184
disorientation	desorientación	0.163	0.472	0.212
disoriented	desorientado	0.227	0.643	0.227
disown	malkonfirmita	0.153	0.637	0.368
disparage	ĉagreni	0.092	0.663	0.336
disparaging	malklara	0.102	0.626	0.411
disparate	malsama	0.438	0.500	0.368
disparity	disparidad	0.208	0.482	0.361
dispassionate	maluzita	0.199	0.217	0.218
dispatch	sendo	0.317	0.417	0.555
dispatcher	dispatcher	0.365	0.704	0.652
dispel	dispeli	0.388	0.402	0.411
dispensary	dispensario	0.406	0.380	0.606
dispensation	dispensado	0.388	0.462	0.490
dispense	forgesi	0.561	0.520	0.518
dispenser	dispensador	0.583	0.392	0.470
dispersal	disvastigo	0.388	0.507	0.421
disperse	disiĝi	0.375	0.569	0.434
dispersed	dissemita	0.344	0.490	0.274
dispersion	dispersion	0.270	0.604	0.350
dispirited	konfidita	0.204	0.280	0.142
displace	movi	0.424	0.541	0.454
displaced	delokitaj	0.281	0.472	0.291
displacement	movo	0.276	0.531	0.481
displacency	displacencia	0.500	0.528	0.642
display	montri	0.677	0.325	0.400
displease	malkontentigi	0.021	0.702	0.286
displeased	malkontenta	0.135	0.690	0.400
displeasure	malkontenta	0.115	0.559	0.250
disposable	desechable	0.271	0.439	0.250
disposal	dispozicio	0.135	0.608	0.396
dispose	forigi	0.548	0.538	0.559
disposed	disponita	0.688	0.441	0.625
disposition	dispozicio	0.663	0.542	0.734
dispossessed	forpelita	0.354	0.577	0.331
disprove	malpermesi	0.375	0.625	0.613
dispute	kverelo	0.219	0.750	0.585
disqualification	descalificación	0.066	0.677	0.330
disqualified	senkalkuligita	0.129	0.464	0.232
disqualify	malkalkuli	0.208	0.595	0.267
disquieted	maltrankvila	0.229	0.850	0.290
disregard	malakcepti	0.177	0.647	0.308
disregarded	malŝatita	0.260	0.458	0.283
disrelish	malŝalti	0.375	0.471	0.304
disreputable	nediskutebla	0.104	0.688	0.353
disrepute	senkompate	0.208	0.630	0.292
disrespect	malrespekto	0.062	0.637	0.302
disrespectful	malrespekta	0.031	0.694	0.273
disrupt	ĉagreni	0.265	0.640	0.349
disrupting	interrompante	0.186	0.557	0.339
disruption	interrompo	0.235	0.735	0.436
disruptive	disrupta	0.255	0.755	0.575
dissatisfaction	malkontenta	0.115	0.663	0.202
dissatisfied	malkontenta	0.042	0.561	0.291
dissect	disekti	0.367	0.750	0.595
dissection	disección	0.276	0.632	0.462
disseminate	disvastigi	0.562	0.608	0.750
dissemination	disvastigado	0.476	0.551	0.583
dissension	malkonsento	0.250	0.618	0.414
dissent	malkonsento	0.300	0.655	0.407
dissenting	disentante	0.208	0.552	0.366
dissertation	disertaĵo	0.312	0.575	0.575
disservice	malkontenta	0.250	0.794	0.480
dissident	disidento	0.350	0.582	0.413
dissimilar	malsimila	0.276	0.461	0.472
dissipate	dispeli	0.385	0.368	0.355
dissipated	dispelita	0.281	0.421	0.231
dissociation	disociación	0.135	0.555	0.471
dissociative	disocia	0.281	0.615	0.397
dissolution	malfondo	0.204	0.464	0.349
dissolve	dissolvi	0.271	0.490	0.410
dissonance	disonancia	0.173	0.471	0.336
dissuade	malakcepti	0.482	0.500	0.350
distal	distal	0.410	0.401	0.438
distance	distanco	0.233	0.317	0.418
distant	malproksima	0.229	0.324	0.269
distaste	distaste	0.184	0.625	0.370
distasteful	maltrankvila	0.264	0.676	0.222
distillate	distilita	0.500	0.347	0.382
distillation	destilado	0.396	0.436	0.575
distilled	distilita	0.427	0.573	0.500
distinct	distinga	0.542	0.578	0.509
distinction	distingo	0.584	0.571	0.750
distinctive	distinga	0.885	0.520	0.604
distinguish	distingi	0.675	0.471	0.600
distinguishable	distingebla	0.635	0.530	0.727
distinguished	distingita	0.823	0.593	0.759
distinguishing	distingante	0.622	0.363	0.640
distort	distordi	0.100	0.740	0.366
distorted	distordita	0.250	0.521	0.280
distortion	distordo	0.299	0.570	0.380
distract	distri	0.241	0.609	0.336
distracted	distrita	0.194	0.392	0.213
distracting	distri	0.445	0.583	0.400
distraction	distro	0.402	0.557	0.390
distraught	distrita	0.115	0.903	0.264
distress	aflikto	0.073	0.840	0.396
distressed	maltrankviligita	0.143	0.771	0.324
distressing	maltrankvila	0.075	0.750	0.375
distribute	distribui	0.643	0.596	0.709
distribution	dissendo	0.635	0.548	0.788
distributor	distribuisto	0.702	0.447	0.718
district	Distrikto	0.438	0.327	0.660
distrust	malkonfido	0.060	0.670	0.276
disturb	turbo	0.175	0.760	0.481
disturbance	tumulto	0.146	0.907	0.404
disturbed	maltrankviligita	0.125	0.870	0.305
disturbing	maltrankviligante	0.146	0.792	0.439
disuse	arkaikiĝo	0.229	0.229	0.202
disused	malkaŝita	0.250	0.302	0.186
ditch	fosilo	0.357	0.364	0.322
ditto	ditto	0.449	0.418	0.411
ditty	ditty	0.470	0.433	0.334
diurnal	taga	0.714	0.296	0.443
diva	diva	0.660	0.657	0.596
divan	NO TRANSLATION	0.750	0.202	0.262
dive	plonĝi	0.583	0.531	0.500
diver	buzo	0.594	0.520	0.564
diverge	diverĝo	0.375	0.657	0.520
divergence	diverĝo	0.429	0.615	0.687
divergent	diverĝa	0.449	0.660	0.587
diverging	diverĝanta	0.417	0.613	0.573
divers	diversoj	0.583	0.580	0.602
diverse	diversaj	0.562	0.519	0.604
diversified	diversigita	0.602	0.538	0.549
diversify	diversigi	0.656	0.588	0.464
diversion	amuzo	0.740	0.821	0.714
diversionary	amuza	0.551	0.587	0.300
diversity	diverseco	0.806	0.472	0.711
divert	deturni	0.344	0.622	0.407
diverting	deturnante	0.396	0.571	0.537
divest	eksalti	0.365	0.547	0.424
divested	malaperita	0.333	0.449	0.311
divestment	eksplodo	0.302	0.509	0.382
divide	dividi	0.333	0.520	0.417
divided	dividita	0.271	0.623	0.391
dividend	dividendo	0.583	0.491	0.566
divination	admirado	0.500	0.650	0.545
divine	dia	0.918	0.571	0.885
divinity	diaĵo	0.896	0.559	0.774
divisible	dividebla	0.323	0.462	0.411
division	divido	0.370	0.481	0.472
divisor	divizoro	0.344	0.517	0.455
divorce	eksedziĝo	0.042	0.700	0.385
divorcee	eksedziĝo	0.153	0.610	0.481
divulge	diskonigi	0.531	0.718	0.467
divvy	divvio	0.351	0.462	0.429
dizziness	mareon	0.229	0.555	0.254
dizzy	kapturna	0.199	0.582	0.193
do	faru	0.670	0.548	0.536
doable	doable	0.760	0.404	0.675
doc	dokumento	0.458	0.317	0.392
docile	malklara	0.604	0.259	0.264
dock	doko	0.490	0.409	0.481
docked	enŝovita	0.281	0.754	0.398
docket	docket	0.505	0.509	0.607
docking	docking	0.354	0.596	0.587
doctor	kuracisto	0.700	0.531	0.861
doctorate	doctorado	0.776	0.479	0.841
doctrinal	doktrino	0.510	0.373	0.673
doctrine	doktrino	0.500	0.394	0.769
document	dokumento	0.594	0.240	0.667
documentary	dokumenta filmo	0.622	0.213	0.596
documentation	dokumentado	0.719	0.290	0.667
documents	dokumentoj	0.530	0.250	0.587
dodge	Dodge	0.333	0.760	0.509
dodger	venger	0.427	0.454	0.490
dodging	ĉagrenante	0.396	0.654	0.382
dodgy	malĝoja	0.281	0.510	0.254
dodo	dodo	0.438	0.306	0.353
doe	faru	0.550	0.336	0.336
doer	faristo	0.724	0.550	0.728
dog	hundo	0.704	0.500	0.407
dogface	hundo	0.219	0.470	0.264
dogged	ĉagrenita	0.255	0.750	0.594
doggy	hundo	0.646	0.491	0.404
doghouse	doghouse	0.438	0.417	0.340
dogma	dogmo	0.530	0.460	0.719
dogmatic	dogma	0.448	0.520	0.654
dogsick	NO TRANSLATION	0.571	0.490	0.377
doings	agoj	0.604	0.491	0.705
doit	NO TRANSLATION	0.500	0.519	0.392
dojo	dojo	0.500	0.435	0.455
doldrums	Doldrums	0.229	0.425	0.266
dole	dole	0.448	0.402	0.348
doll	pupo	0.729	0.321	0.330
dollar	dolaro	0.755	0.632	0.694
dollhouse	Dollhouse	0.643	0.245	0.363
dolor	NO TRANSLATION	0.167	0.635	0.375
dolphin	delfeno	0.776	0.350	0.414
domain	domajno	0.573	0.549	0.828
dome	kupolo	0.620	0.398	0.509
domestic	hejma	0.729	0.327	0.500
domesticated	malsovaĝa	0.635	0.360	0.294
domestication	malsovaĝigo	0.594	0.390	0.435
domicile	domicilio	0.604	0.292	0.529
domiciled	domicilita	0.542	0.340	0.516
dominance	regado	0.542	0.775	0.839
dominant	reganta	0.406	0.854	0.893
dominate	regi	0.439	0.814	0.953
dominating	regante	0.427	0.769	0.902
domination	regado	0.505	0.786	0.959
dominatrix	dominatrix	0.390	0.727	0.709
dominion	regado	0.542	0.704	0.890
domino	domino	0.594	0.510	0.473
don	surmeti	0.646	0.454	0.702
donate	doni	0.774	0.462	0.577
donation	donaco	0.792	0.398	0.602
donkey	azeno	0.406	0.367	0.245
donor	donacanto	0.714	0.490	0.653
dontlikeyou	NO TRANSLATION	0.055	0.500	0.282
dontmess	NO TRANSLATION	0.396	0.482	0.440
dontmesswithme	ne konsentu min	0.312	0.635	0.440
dontpanic	dontana	0.469	0.465	0.425
dontunderstand	NO TRANSLATION	0.219	0.357	0.271
doodle	doodle	0.604	0.402	0.376
doom	doom	0.073	0.750	0.442
doomed	kondamnita	0.041	0.755	0.301
doomsday	finfine	0.125	0.861	0.670
door	pordo	0.549	0.189	0.421
doorbell	pordo	0.564	0.500	0.307
doorknob	Doorknob	0.406	0.553	0.462
doorman	pordisto	0.570	0.371	0.491
doormat	pordo	0.458	0.269	0.267
doornail	pordo	0.459	0.370	0.423
doorstep	pordo	0.531	0.274	0.391
doorway	pordejo	0.573	0.304	0.496
dopamine	dopamino	0.548	0.469	0.426
dope	dope	0.295	0.855	0.425
dopey	dopey	0.320	0.380	0.365
dork	Dork	0.272	0.519	0.361
dorky	Dorky	0.302	0.480	0.390
dorm	dormo	0.719	0.194	0.327
dormant	dormema	0.385	0.245	0.245
dormitory	dormejo	0.633	0.204	0.382
dorsal	dorsa	0.449	0.360	0.445
dosage	dozo	0.344	0.450	0.490
dose	dozo	0.458	0.490	0.427
dossier	dosiero	0.357	0.380	0.544
dot	punkto	0.434	0.290	0.391
doting	Dotado	0.888	0.415	0.426
dotted	dotita	0.480	0.347	0.426
dotty	Dotty	0.375	0.402	0.393
double	duobla	0.677	0.378	0.569
doubled	duobligita	0.427	0.536	0.560
doublet	duobla	0.420	0.431	0.500
doubling	duobligante	0.459	0.452	0.464
doubt	dubo	0.395	0.351	0.231
doubtful	malcerta	0.250	0.465	0.241
doubting	dubante	0.224	0.560	0.189
doubtless	sendube	0.688	0.415	0.689
doubts	duboj	0.306	0.448	0.305
douche	douche	0.490	0.413	0.397
douchebags	Duĉambroj	0.327	0.587	0.366
dough	pasto	0.588	0.229	0.391
doughboy	Doughboy	0.365	0.443	0.396
doughnut	donut	0.663	0.380	0.279
dour	duru	0.360	0.404	0.325
douse	kuŝejo	0.365	0.453	0.412
dove	kolombo	0.729	0.235	0.437
down	malsupren	0.208	0.330	0.264
downcast	malŝparita	0.071	0.500	0.222
downer	malsupren	0.120	0.594	0.226
downfall	falita	0.200	0.717	0.182
downfield	malalta kampo	0.521	0.330	0.380
downhearted	maldolĉa	0.119	0.461	0.255
downhill	malsupren	0.292	0.573	0.279
download	elŝuti	0.602	0.490	0.503
downpour	malantaŭen	0.328	0.602	0.481
downright	dekstre	0.625	0.454	0.679
downriver	malsupreniro	0.542	0.469	0.279
downside	malfavora	0.190	0.400	0.246
downtime	malrapida tempo	0.240	0.226	0.324
downward	malsupren	0.188	0.347	0.255
downy	maldika	0.630	0.170	0.255
dowry	doto	0.604	0.453	0.544
doze	dolore	0.592	0.200	0.405
dozen	dekduo	0.583	0.343	0.425
drab	prirabi	0.327	0.300	0.242
draft	projekto	0.438	0.360	0.351
drafty	reto	0.458	0.500	0.518
drag	treni	0.388	0.606	0.348
dragon	drako	0.541	0.821	0.712
dragonfly	libelo	0.571	0.373	0.357
drain	malplenigi	0.277	0.470	0.222
drainage	drenado	0.219	0.354	0.307
drained	drenis	0.310	0.441	0.352
draining	drenante	0.337	0.396	0.304
drainpipe	drenopipe	0.417	0.413	0.277
drake	drako	0.467	0.411	0.452
drama	dramo	0.430	0.755	0.481
dramaqueen	NO TRANSLATION	0.337	0.682	0.482
dramatic	drama	0.367	0.780	0.443
drape	drape	0.417	0.439	0.404
drapery	draper	0.479	0.220	0.223
drastic	drastajn	0.194	0.839	0.657
drat	NO TRANSLATION	0.302	0.516	0.409
draught	projekto	0.465	0.245	0.316
draw	desegni	0.704	0.449	0.481
drawback	malavantaĝo	0.302	0.422	0.148
drawbridge	ponteto	0.551	0.557	0.438
drawer	kesto	0.429	0.196	0.292
drawers	kestoj	0.539	0.260	0.236
drawing	desegno	0.698	0.216	0.333
dread	timu	0.153	0.792	0.368
dreaded	timigita	0.122	0.706	0.460
dreadful	terura	0.092	0.786	0.348
dreadfully	terure	0.246	0.806	0.306
dreading	timanta	0.125	0.760	0.377
dream	sonĝo	0.844	0.157	0.328
dreamboat	songboat	0.776	0.491	0.458
dreamer	soñador	0.820	0.394	0.455
dreaming	sonĝante	0.854	0.320	0.336
dreamland	sonĝo	0.844	0.471	0.566
dreams	sonĝoj	0.865	0.415	0.530
dreamt	sonĝis	0.812	0.380	0.518
dreamy	sonĝema	0.837	0.350	0.500
dreary	maldika	0.260	0.490	0.324
dredge	kraĉas	0.427	0.445	0.444
drenched	eksplodis	0.302	0.361	0.388
dress	vesti	0.760	0.300	0.345
dresser	vestisto	0.604	0.398	0.473
dressmaker	vestisto	0.698	0.460	0.483
dressy	vestita	0.800	0.570	0.696
dribble	NO TRANSLATION	0.417	0.551	0.465
dried	sekigita	0.427	0.260	0.385
drier	pli seka	0.306	0.347	0.392
drift	derivas	0.316	0.520	0.375
drifted	drifis	0.312	0.542	0.310
drifter	drifilo	0.449	0.512	0.391
driftwood	tritiko	0.321	0.283	0.439
drill	taladro	0.250	0.602	0.573
drink	trinku	0.650	0.552	0.474
drinker	trinkanto	0.365	0.735	0.441
drinking	trinkante	0.562	0.459	0.317
drinks	trinkas	0.729	0.656	0.412
drip	tripu	0.392	0.193	0.175
dripping	gutas	0.302	0.257	0.267
drive	stirado	0.625	0.689	0.713
drivel	drivel	0.398	0.469	0.463
driver	ŝoforo	0.553	0.538	0.637
driveway	aŭtovojo	0.612	0.392	0.689
drizzle	pluviĝo	0.521	0.353	0.319
droll	trolo	0.459	0.573	0.422
drone	drone	0.429	0.686	0.596
drones	ŝtonoj	0.398	0.577	0.588
drool	drool	0.385	0.398	0.204
drooping	malrapide	0.245	0.558	0.353
droopy	dropo	0.438	0.350	0.297
drop	guto	0.479	0.321	0.291
droplet	guteto	0.625	0.208	0.194
dropout	ellasilo	0.253	0.550	0.481
dropper	gutisto	0.333	0.216	0.236
drought	sekeco	0.133	0.353	0.267
drove	NO TRANSLATION	0.541	0.528	0.623
drown	sufokas	0.071	0.860	0.270
drowsiness	somnolo	0.260	0.194	0.303
drowsy	Drowsy	0.375	0.180	0.240
drudgery	malpuraĵo	0.094	0.522	0.241
drug	drogo	0.214	0.790	0.453
drug dealing	drogoj	0.042	0.843	0.500
drugged	drogata	0.102	0.750	0.321
druggist	apotekisto	0.240	0.561	0.417
drugs	drogoj	0.167	0.750	0.368
drugstore	drogisto	0.490	0.343	0.518
druid	druid	0.517	0.445	0.481
drum	tamburo	0.615	0.679	0.339
drummer	baterista	0.646	0.700	0.564
drumming	baterirante	0.594	0.750	0.426
drunk	ebria	0.194	0.800	0.250
drunk driving	trinka veturado	0.073	0.900	0.306
drunkard	ebria	0.240	0.873	0.250
drunken	Ebriigita	0.155	0.849	0.250
drunkenness	ebrieco	0.214	0.774	0.336
dry	seka	0.363	0.169	0.311
dryer	sekigilo	0.479	0.343	0.277
dryness	sekeco	0.292	0.296	0.263
dual	duobla	0.573	0.330	0.384
dualism	dualismo	0.490	0.406	0.536
duality	dualidad	0.438	0.520	0.503
dub	dub	0.510	0.480	0.387
dubious	dubinda	0.414	0.480	0.198
duchess	dukino	0.656	0.548	0.711
duck	anaso	0.594	0.337	0.236
ducking	ducking	0.344	0.573	0.294
duckling	anaso	0.602	0.353	0.263
ducky	ducky	0.520	0.430	0.368
duct	dukto	0.449	0.435	0.430
ductile	kondukilo	0.508	0.420	0.433
dud	dud	0.167	0.455	0.246
dude	dude	0.809	0.356	0.615
duds	duds	0.347	0.311	0.339
due	devita	0.562	0.340	0.467
duel	duelo	0.271	0.696	0.589
dues	duoj	0.367	0.461	0.288
duet	dueto	0.694	0.693	0.527
duffel	duelo	0.500	0.400	0.384
dugout	fosita	0.490	0.370	0.463
duh	duh	0.357	0.461	0.364
duke	duko	0.667	0.440	0.669
dull	malsaĝa	0.194	0.120	0.185
dullard	dulĉa	0.450	0.480	0.365
dumb	muta	0.188	0.330	0.151
dumbasses	mutaĵoj	0.316	0.590	0.363
dumbbell	dumbbell	0.302	0.469	0.364
dumbbitch	NO TRANSLATION	0.281	0.636	0.393
dumfound	dumfunda	0.271	0.551	0.295
dumfounder	NO TRANSLATION	0.406	0.481	0.400
dummy	maniko	0.440	0.144	0.250
dump	Escorial	0.345	0.500	0.370
dumpling	dumpling	0.580	0.321	0.360
dumps	kuteloj	0.302	0.583	0.365
dumpster	dumpster	0.229	0.418	0.101
dun	dun	0.458	0.431	0.339
dunce	dunce	0.188	0.327	0.146
dune	duno	0.459	0.173	0.414
dung	NO TRANSLATION	0.104	0.549	0.149
dungeon	malliberejo	0.276	0.608	0.440
dunk	dunk	0.406	0.333	0.475
duo	dueto	0.510	0.500	0.447
dupe	dupe	0.184	0.760	0.327
duplex	duplex	0.592	0.452	0.467
duplicate	duobligita	0.521	0.490	0.338
duplication	duobligo	0.480	0.564	0.577
duplicity	duobligo	0.406	0.500	0.578
durability	daŭreco	0.750	0.398	0.813
durable	daŭra	0.740	0.294	0.688
duration	daŭro	0.656	0.370	0.536
duress	kondukas	0.302	0.569	0.612
dusk	Vespero	0.532	0.276	0.519
dusky	maldolĉa	0.229	0.528	0.324
dust	polvo	0.344	0.246	0.241
duster	Duster	0.408	0.265	0.296
dustpan	polvo	0.609	0.466	0.371
dusty	polva	0.406	0.294	0.255
dutiful	kompatema	0.724	0.245	0.585
duty	devo	0.583	0.579	0.651
dwarf	enano	0.370	0.340	0.288
dwarfed	enana	0.365	0.265	0.293
dweeb	dweeb	0.354	0.446	0.327
dwell	loĝu	0.698	0.245	0.611
dweller	loĝanto	0.615	0.304	0.500
dwelling	loĝejo	0.765	0.330	0.481
dye	tinkturu	0.479	0.314	0.371
dying	mortante	0.040	0.664	0.422
dyke	kolizii	0.438	0.396	0.566
dynamic	dinamika	0.724	0.750	0.836
dynamical	dinamika	0.786	0.730	0.827
dynamics	dinamiko	0.745	0.682	0.774
dynamite	dinamito	0.344	0.860	0.783
dynamo	dinamo	0.531	0.650	0.593
dynasty	dinastio	0.725	0.588	0.936
dysentery	disenterio	0.260	0.528	0.345
dysfunction	disfuncio	0.156	0.410	0.386
dysfunctional	disfuncional	0.125	0.558	0.307
dyspepsia	dispepsio	0.212	0.470	0.460
eager	avida	0.521	0.812	0.306
eagerness	klopodo	0.406	0.621	0.443
eagle	aglo	0.604	0.594	0.679
ear	orelo	0.469	0.216	0.231
earful	orela	0.533	0.462	0.443
earl	grafo	0.582	0.461	0.794
earlier	antaŭe	0.562	0.352	0.339
early	frue	0.633	0.373	0.426
earn	gajni	0.865	0.769	0.817
earnest	serioza	0.653	0.380	0.670
earnestly	serioze	0.847	0.490	0.717
earnestness	seriozeco	0.812	0.373	0.615
earnings	gajnoj	0.938	0.650	0.875
earpiece	aŭto	0.583	0.286	0.452
earring	orelringo	0.583	0.520	0.500
earrings	orelringoj	0.676	0.346	0.517
earshot	oreloj	0.552	0.332	0.408
earth	tero	0.750	0.225	0.614
earthenware	argilo	0.552	0.210	0.320
earthling	tergloba	0.531	0.412	0.570
earthly	tergloba	0.625	0.318	0.518
earthquake	tertremo	0.073	0.930	0.812
earthy	terura	0.375	0.413	0.404
ease	facileco	0.796	0.385	0.491
easel	easel	0.694	0.340	0.527
easement	facileco	0.479	0.345	0.302
easily	facile	0.885	0.279	0.453
east	oriente	0.510	0.250	0.317
eastbound	oriente	0.541	0.408	0.402
eastern	orienta	0.521	0.420	0.480
easy	facila	0.865	0.194	0.373
easygoing	senĝena	0.823	0.276	0.538
eat	manĝi	0.731	0.500	0.464
eater	manĝanto	0.459	0.337	0.510
eating	manĝante	0.847	0.491	0.615
eatingdisorders	NO TRANSLATION	0.365	0.608	0.508
eavesdrop	avesdrop	0.375	0.710	0.368
eavesdropping	Ekspremado	0.490	0.380	0.441
ebb	ebb	0.354	0.451	0.404
ebony	ebono	0.490	0.317	0.400
ebullient	tre multe	0.659	0.856	0.746
eccentric	ekscentra	0.531	0.806	0.721
eccentricity	ekscentreco	0.408	0.735	0.745
ecclesiastical	klerikino	0.673	0.270	0.660
echelon	duono	0.490	0.404	0.425
echinacea	eĥinacea	0.592	0.418	0.454
echo	eĥo	0.573	0.373	0.345
eclectic	eklektika	0.646	0.542	0.508
eclipse	Eklipso	0.541	0.469	0.616
ecliptic	ekliptika	0.531	0.520	0.556
ecological	ekologia	0.885	0.290	0.607
economic	ekonomia	0.561	0.408	0.639
economical	ekonomia	0.667	0.564	0.673
economics	ekonomiko	0.625	0.481	0.632
economy	ekonomio	0.583	0.434	0.771
ecosystem	ekosistemo	0.729	0.259	0.633
ecstasy	ekstazo	0.796	0.922	0.655
ecstatic	ekstra	0.875	0.769	0.742
ecumenical	ekumena	0.561	0.450	0.547
eddy	ekbruligi	0.500	0.394	0.350
edema	edemo	0.250	0.519	0.318
edge	rando	0.439	0.470	0.468
edging	edging	0.479	0.394	0.370
edgy	edgy	0.281	0.895	0.306
edible	manĝebla	0.750	0.425	0.497
edict	edikto	0.316	0.547	0.560
edification	edificación	0.625	0.481	0.697
edifice	konstruaĵo	0.551	0.403	0.610
edit	redakti	0.510	0.410	0.544
editing	redaktado	0.604	0.404	0.493
edition	eldono	0.542	0.455	0.564
editor	redaktisto	0.772	0.431	0.673
editorial	eldonejo	0.583	0.330	0.570
educate	eduki	0.760	0.380	0.728
educated	edukita	0.816	0.297	0.625
education	edukado	0.896	0.275	0.840
educational	edukaj	0.745	0.457	0.764
educator	edukisto	0.827	0.317	0.845
eeeek	NO TRANSLATION	0.367	0.540	0.349
eeek	NO TRANSLATION	0.333	0.490	0.302
eek	eek	0.292	0.529	0.343
eel	kapelo	0.292	0.564	0.487
eerie	eterie	0.265	0.771	0.442
effect	efekto	0.570	0.518	0.608
effective	efika	0.844	0.632	0.891
effectiveness	efikeco	0.640	0.654	0.812
effects	efektoj	0.470	0.578	0.379
effectual	efektiva	0.776	0.559	0.820
effectually	efektive	0.724	0.500	0.594
effectuate	efektivigi	0.510	0.602	0.679
effeminate	efemina	0.337	0.619	0.291
efficacious	efika	0.823	0.698	0.845
efficacy	efikeco	0.802	0.490	0.906
efficiency	efikeco	0.802	0.509	0.892
efficient	efika	0.959	0.604	0.830
effigy	efiko	0.510	0.440	0.401
effort	penado	0.698	0.778	0.858
effortless	senpene	0.626	0.090	0.352
effusion	ekflugo	0.344	0.730	0.472
effyou	NO TRANSLATION	0.354	0.529	0.490
egg	ovo	0.684	0.241	0.293
egghead	ovo	0.316	0.492	0.284
eggnog	eggnogo	0.635	0.360	0.259
eggplant	melongeno	0.592	0.152	0.323
eggshell	ovo	0.408	0.269	0.212
ego	egoo	0.328	0.576	0.593
egomaniac	egomania	0.133	0.708	0.596
egotistical	egotista	0.156	0.667	0.363
egregious	eksterordinara	0.150	0.716	0.442
egress	egreso	0.490	0.429	0.287
eight	ok	0.540	0.199	0.315
eighteen	dekok	0.523	0.340	0.404
eighth	oka	0.531	0.226	0.380
eighty	okdek	0.500	0.300	0.453
ejaculate	ejakulado	0.604	0.896	0.604
ejaculation	ejakulado	0.615	0.893	0.547
eject	forpeli	0.434	0.656	0.559
ejection	ekspozicio	0.188	0.836	0.554
elaborate	ellabori	0.561	0.367	0.680
elaboration	ellaborado	0.708	0.500	0.598
elan	NO TRANSLATION	0.562	0.367	0.500
elapse	Elapse	0.514	0.440	0.455
elapsed	pasis	0.583	0.451	0.493
elastic	elasta	0.656	0.518	0.385
elasticity	elasteco	0.635	0.452	0.582
elated	elataj	0.792	0.960	0.725
elation	elation	0.740	0.853	0.623
elbow	kubuto	0.448	0.133	0.254
eld	eld	0.471	0.292	0.451
elder	maljunulo	0.448	0.153	0.462
elderly	maljunuloj	0.615	0.212	0.283
elders	maljunuloj	0.602	0.260	0.441
eldest	plej aĝa	0.625	0.471	0.741
elect	elektita	0.667	0.554	0.661
election	elekto	0.625	0.519	0.651
elective	elektema	0.612	0.380	0.623
elector	elektisto	0.479	0.520	0.766
electoral	voĉdona	0.490	0.631	0.602
electorate	elektantaro	0.560	0.380	0.696
electric	elektra	0.458	0.708	0.512
electric slide	elektra glito	0.542	0.660	0.536
electrical	elektraj	0.531	0.620	0.688
electrician	elektristo	0.449	0.590	0.620
electricity	elektro	0.698	0.810	0.733
electrify	elektema	0.520	0.769	0.737
electrocute	elektrokritaj	0.271	0.731	0.555
electrocution	elektrokulado	0.177	0.844	0.692
electromagnetic	elektromagneta	0.531	0.632	0.683
electron	elektrono	0.520	0.455	0.560
electronic	elektronika	0.571	0.490	0.704
electronics	elektroniko	0.708	0.545	0.574
elegance	eleganteco	0.918	0.396	0.824
elegant	eleganta	0.865	0.500	0.685
element	elemento	0.531	0.259	0.481
elemental	elementa	0.627	0.306	0.711
elementary	elementa	0.594	0.286	0.686
elements	elementoj	0.510	0.312	0.462
elephant	elefanto	0.531	0.510	0.615
elevate	levi	0.812	0.500	0.804
elevated	levita	0.704	0.594	0.620
elevation	alto	0.760	0.759	0.711
elevator	lifto	0.562	0.604	0.676
eleven	dek unu	0.449	0.250	0.430
eleventh	dekunua	0.594	0.329	0.357
elf	elf	0.460	0.457	0.315
elicit	elicit	0.406	0.594	0.658
eligible	elektebla	0.750	0.400	0.518
