Word	Chinese (Simplified)-zh-CN	Valence	Arousal	Dominance
caudal	尾	0.500	0.425	0.583
cauldron	釜	0.510	0.486	0.418
cauliflower	菜花	0.448	0.255	0.231
caulk	填缝	0.367	0.500	0.418
causal	因果	0.562	0.367	0.491
causality	因果关系	0.500	0.378	0.336
causation	因果关系	0.562	0.480	0.567
cause	原因	0.469	0.373	0.486
caused	造成	0.344	0.520	0.382
causeway	堤道	0.453	0.382	0.422
caution	警告	0.552	0.712	0.547
cautionary	警示	0.510	0.541	0.519
cautious	谨慎	0.470	0.445	0.517
cautiously	谨慎	0.510	0.388	0.525
cavalier	骑士	0.735	0.462	0.713
cavalry	骑兵	0.667	0.727	0.794
cave	洞穴	0.459	0.333	0.380
caveat	警告	0.344	0.629	0.484
caveman	穴居人	0.235	0.644	0.482
cavern	洞穴	0.323	0.360	0.365
cavernous	海绵状	0.354	0.548	0.462
caviar	鱼子酱	0.906	0.394	0.481
caving	崩落	0.378	0.491	0.551
cavity	空穴	0.466	0.385	0.379
cayenne	辣椒	0.615	0.306	0.355
cease	停止	0.388	0.250	0.420
ceasefire	停火	0.542	0.594	0.567
ceaseless	不断	0.378	0.704	0.658
cedar	雪松	0.560	0.267	0.577
cede	放弃	0.275	0.327	0.402
ceiling	天花板	0.520	0.224	0.366
celebrant	礼	0.865	0.656	0.643
celebrate	庆祝	0.917	0.857	0.859
celebrated	著名	0.875	0.690	0.763
celebrating	庆祝	0.927	0.860	0.773
celebration	庆典	0.939	0.824	0.880
celebrations	庆祝活动	0.958	0.794	0.714
celebratory	庆祝	0.857	0.653	0.845
celebrity	名人	0.760	0.619	0.855
celery	芹菜	0.396	0.147	0.223
celestial	天上	0.817	0.360	0.731
celibacy	独身	0.302	0.276	0.509
celibate	独身	0.419	0.387	0.391
cell	细胞	0.541	0.375	0.465
cellar	地窖	0.510	0.277	0.406
cellblock	电池块	0.186	0.570	0.500
cellist	大提琴家	0.667	0.500	0.486
cellmate	狱友	0.167	0.684	0.349
cello	大提琴	0.635	0.324	0.528
cellophane	玻璃纸	0.648	0.282	0.289
cellular	细胞的	0.643	0.398	0.517
cellulite	橘皮	0.200	0.384	0.256
celluloid	赛璐珞	0.469	0.440	0.425
cement	水泥	0.544	0.265	0.527
cemented	凝成	0.429	0.382	0.537
cemetery	公墓	0.051	0.630	0.417
censor	审查	0.344	0.276	0.538
censorship	审查	0.219	0.698	0.421
censure	谴责	0.219	0.653	0.417
census	人口调查	0.449	0.289	0.553
cent	一分钱	0.439	0.367	0.402
centenary	一百年	0.604	0.440	0.642
centennial	百周年纪念	0.583	0.394	0.700
center	中央	0.643	0.231	0.431
centerfold	插页	0.571	0.407	0.485
centerpiece	核心	0.594	0.208	0.520
centimeter	厘米	0.427	0.280	0.380
centipede	蜈	0.296	0.399	0.361
central	中央	0.640	0.356	0.621
centrality	中心地位	0.571	0.312	0.709
centralization	集权	0.521	0.440	0.702
centralize	集中	0.684	0.427	0.802
centrally	中央	0.729	0.280	0.700
centrifugal	离心	0.306	0.651	0.480
centrifuge	离心分离机	0.495	0.622	0.527
centurion	百夫长	0.590	0.447	0.696
century	世纪	0.407	0.347	0.735
ceramic	陶瓷的	0.521	0.255	0.371
ceramics	陶瓷	0.573	0.250	0.373
cereal	谷类	0.612	0.206	0.316
cereals	谷物	0.719	0.224	0.311
cerebral	颅内	0.408	0.509	0.627
ceremonial	仪式	0.771	0.540	0.691
ceremony	仪式	0.760	0.559	0.761
certain	某些	0.760	0.358	0.673
certainty	肯定	0.781	0.400	0.769
certifiable	认证的	0.714	0.427	0.662
certificate	证书	0.786	0.377	0.746
certified	认证	0.781	0.422	0.806
certify	证明	0.866	0.400	0.746
cervical	颈椎	0.375	0.413	0.445
cervix	宫颈	0.429	0.360	0.340
cess	塞斯	0.427	0.375	0.406
cessation	戒烟	0.414	0.385	0.358
cesspool	污水池	0.167	0.460	0.409
cha cha	NO TRANSLATION	0.714	0.546	0.324
chaff	糠	0.333	0.327	0.188
chafing	摩擦	0.430	0.415	0.368
chagrin	懊恼	0.104	0.704	0.472
chagrined	懊恼	0.112	0.745	0.361
chai	柴	0.500	0.375	0.363
chain	链	0.378	0.500	0.547
chainsaw	电锯	0.367	0.804	0.636
chair	椅子	0.562	0.082	0.276
chairman	主席	0.656	0.567	0.933
chairperson	主席	0.730	0.657	0.966
chairwoman	女主席	0.719	0.664	0.953
chaise	贵妃	0.406	0.349	0.327
chalet	小屋	0.653	0.349	0.278
chalice	杯	0.633	0.286	0.529
chalk	粉笔	0.385	0.185	0.121
challenge	挑战	0.469	0.922	0.713
challenger	挑战者	0.417	0.755	0.652
chamber	室	0.583	0.373	0.455
chambermaid	女服务员	0.594	0.375	0.336
chambers	室	0.542	0.442	0.388
chameleon	变色龙	0.490	0.580	0.345
champ	冠军	0.854	0.754	0.896
champagne	香槟酒	0.760	0.600	0.454
champion	冠军	0.890	0.880	0.945
championship	锦标赛	0.833	0.800	0.880
chance	机会	0.833	0.551	0.525
chancellor	校长	0.646	0.500	0.887
chandelier	吊灯	0.615	0.542	0.366
chandler	钱德勒	0.510	0.452	0.454
change	更改	0.625	0.575	0.606
changeable	多变	0.490	0.480	0.528
changed	变	0.594	0.375	0.491
changer	换	0.583	0.519	0.567
changing	改变	0.571	0.569	0.461
channel	渠道	0.490	0.287	0.405
chant	呗	0.771	0.698	0.650
chaos	混沌	0.016	0.923	0.373
chaotic	混乱的	0.115	0.847	0.442
chap	皴裂	0.550	0.410	0.345
chapel	教堂	0.573	0.240	0.440
chaperon	伴侣	0.500	0.520	0.404
chaplain	牧师	0.582	0.370	0.577
chapman	查普曼	0.562	0.529	0.465
chaps	CHAPS	0.350	0.462	0.350
chapter	章节	0.580	0.308	0.461
char	烧焦	0.554	0.361	0.404
character	字符	0.667	0.373	0.686
characteristic	特性	0.583	0.328	0.538
characterize	表征	0.729	0.471	0.735
charade	夏利	0.458	0.550	0.346
charcoal	木炭	0.302	0.186	0.342
chardonnay	霞多丽	0.677	0.567	0.492
charge	收费	0.510	0.633	0.785
chargeable	收费	0.551	0.550	0.453
charger	充电器	0.531	0.418	0.545
chariot	辂	0.684	0.550	0.491
charisma	魅力	0.938	0.591	0.759
charismatic	魅力	0.938	0.684	0.849
charitable	慈善	0.865	0.380	0.593
charity	慈善机构	0.920	0.284	0.551
charlatan	庸医	0.200	0.640	0.352
charm	魅力	0.833	0.363	0.649
charmed	迷住了	0.938	0.570	0.769
charmer	魔术师	0.882	0.683	0.782
charming	迷人	0.917	0.660	0.764
charred	焦	0.208	0.676	0.373
chart	图表	0.469	0.317	0.330
charter	宪章	0.677	0.382	0.518
chartered	包车	0.569	0.460	0.490
chase	追	0.396	0.878	0.623
chased	追	0.188	0.830	0.287
chaser	驱逐舰	0.375	0.830	0.645
chasm	裂口	0.265	0.579	0.500
chassis	机壳	0.406	0.342	0.444
chaste	贞	0.408	0.248	0.453
chastened	学乖了	0.156	0.580	0.345
chastisement	惩罚	0.156	0.852	0.462
chastity	贞洁	0.469	0.392	0.509
chat	聊	0.729	0.400	0.346
chateau	城堡	0.615	0.464	0.702
chatter	喋喋不休	0.560	0.450	0.347
chatterbox	长舌	0.459	0.548	0.482
chattering	抖动	0.460	0.663	0.304
chatty	健谈的	0.594	0.548	0.345
chauffeur	司机	0.500	0.353	0.471
chauvinist	沙文主义	0.310	0.539	0.527
cheap	低廉	0.612	0.471	0.272
cheapened	含金量降低	0.471	0.611	0.282
cheapskate	小气鬼	0.148	0.482	0.327
cheat	作弊	0.125	0.776	0.400
cheater	骗子	0.104	0.920	0.333
check	查	0.523	0.552	0.602
checkbook	支票簿	0.552	0.284	0.364
checker	检查	0.330	0.417	0.553
checkered	格仔	0.459	0.316	0.336
checkers	跳棋	0.676	0.451	0.437
checklist	清单	0.561	0.521	0.552
checkmate	将死	0.667	0.708	0.750
checkout	查看	0.597	0.510	0.670
checkpoint	检查站	0.571	0.323	0.812
checkup	检查	0.500	0.435	0.491
cheek	脸颊	0.670	0.314	0.421
cheeks	脸颊	0.708	0.324	0.282
cheeky	厚脸皮	0.434	0.679	0.410
cheep	吱吱	0.367	0.380	0.373
cheer	欢呼	0.938	0.784	0.845
cheered	欢呼	0.875	0.648	0.790
cheerful	快乐	0.990	0.720	0.696
cheerfulness	快乐	0.969	0.802	0.675
cheering	欢呼	0.815	0.824	0.642
cheerleader	拉拉队长	0.923	0.746	0.657
cheerleading	啦啦队	0.698	0.769	0.404
cheerless	冷冷清清	0.204	0.373	0.167
cheers	干杯	0.948	0.770	0.702
cheery	愉快的	0.949	0.657	0.486
cheese	起司	0.740	0.280	0.281
cheeseburger	乳酪汉堡	0.802	0.529	0.336
cheesecake	乳酪蛋糕	0.860	0.276	0.238
cheesy	俊俏的	0.470	0.471	0.179
cheetah	猎豹	0.469	0.770	0.667
chef	厨师	0.854	0.411	0.570
chemical	化学	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	化学家	0.408	0.575	0.610
chemistry	化学	0.625	0.520	0.694
chemo	化疗	0.214	0.686	0.444
chemotherapy	化疗	0.163	0.689	0.517
cheque	查	0.698	0.529	0.660
cherish	珍视	0.896	0.491	0.652
cherishing	珍惜	0.836	0.380	0.625
cherry	樱桃	0.688	0.186	0.250
cherub	天使	0.663	0.340	0.455
chess	棋	0.656	0.363	0.518
chest	胸部	0.520	0.429	0.481
chestnut	板栗	0.714	0.210	0.294
chevron	雪佛龙	0.469	0.469	0.598
chew	嚼	0.520	0.490	0.404
chewy	劲道	0.625	0.418	0.390
chic	别致	0.870	0.624	0.380
chicane	强辩	0.357	0.460	0.481
chick	小鸡	0.771	0.602	0.387
chicken	鸡	0.594	0.306	0.394
chicken pox	水痘	0.194	0.510	0.415
chickenpox	水痘	0.173	0.562	0.357
chief	首席	0.520	0.544	0.869
chiefly	主要	0.600	0.587	0.764
chieftain	头目	0.343	0.529	0.860
chiffon	薄纱	0.406	0.230	0.250
child	儿童	0.912	0.460	0.413
childbirth	分娩	0.604	0.861	0.673
childhood	童年	0.865	0.413	0.307
childish	幼稚	0.573	0.442	0.230
childless	无子女	0.310	0.400	0.396
childlike	孩子似的	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	孩子	0.857	0.538	0.435
chili	辣椒	0.592	0.566	0.433
chill	寒意	0.837	0.206	0.482
chilled	冷	0.521	0.340	0.482
chilling	令人心寒	0.208	0.850	0.358
chilly	寒冷	0.329	0.459	0.408
chime	钟	0.573	0.541	0.464
chimera	嵌合体	0.292	0.582	0.372
chimes	编钟	0.625	0.490	0.402
chimney	烟囱	0.583	0.286	0.225
chimp	黑猩猩	0.394	0.588	0.345
chimpanzee	黑猩猩	0.500	0.633	0.387
chin	下巴	0.571	0.310	0.269
china	中国	0.561	0.443	0.556
chinchilla	栗鼠	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	奇努克	0.408	0.497	0.491
chip	芯片	0.479	0.382	0.452
chipmunk	花栗鼠	0.573	0.562	0.409
chipper	削片机	0.418	0.588	0.500
chipping	碎裂	0.354	0.452	0.353
chiropractor	按摩师	0.420	0.549	0.651
chirp	叽叽喳喳	0.469	0.602	0.365
chirping	鸣叫	0.500	0.463	0.360
chisel	凿	0.469	0.404	0.452
chiseler	蒙人	0.429	0.606	0.464
chit	保单	0.490	0.352	0.321
chitchat	闲聊	0.673	0.455	0.403
chivalry	骑士气概	0.857	0.380	0.848
chloride	氯化物	0.265	0.387	0.474
chlorine	氯	0.306	0.327	0.332
chloroform	氯仿	0.281	0.370	0.393
chocolate	巧克力	0.885	0.480	0.418
choice	选择	0.745	0.520	0.664
choir	唱诗班	0.704	0.298	0.473
choke	呛	0.167	0.788	0.676
cholera	霍乱	0.020	0.867	0.507
cholesterol	胆固醇	0.198	0.583	0.398
choose	选择	0.615	0.542	0.648
choosing	选择	0.719	0.529	0.689
choosy	挑三拣四	0.280	0.760	0.712
chop	劈	0.250	0.655	0.467
chopper	断路器	0.594	0.560	0.509
choppers	菜刀	0.469	0.745	0.691
chopping	斩波	0.560	0.625	0.362
chops	印章	0.612	0.420	0.269
choral	合唱队的	0.852	0.290	0.421
chord	弦	0.729	0.394	0.539
chords	和弦	0.639	0.406	0.388
chore	苦差事	0.406	0.462	0.500
choreographer	编舞	0.646	0.639	0.625
choreography	编舞	0.812	0.750	0.547
chorus	合唱	0.620	0.417	0.500
chosen	选择	0.865	0.449	0.833
chow	州城	0.573	0.490	0.390
chowder	杂烩	0.510	0.324	0.241
christ	基督	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	洗礼	0.725	0.382	0.650
christian	基督教	0.760	0.241	0.591
christmas	圣诞	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	圣诞系列	0.875	0.698	0.602
christmastime	圣诞节的时候	0.837	0.588	0.515
chromatic	色	0.407	0.413	0.435
chromatography	色谱	0.480	0.537	0.535
chrome	铬	0.582	0.373	0.421
chromium	铬	0.458	0.404	0.447
chromosome	染色体	0.500	0.296	0.548
chronic	慢性	0.255	0.615	0.464
chronicle	编年史	0.427	0.571	0.586
chronograph	计时码表	0.500	0.392	0.529
chronological	实足	0.594	0.445	0.600
chubby	丰满的	0.531	0.427	0.304
chuck	夹头	0.542	0.509	0.413
chuckle	暗笑	0.844	0.736	0.481
chug	突突	0.401	0.413	0.358
chum	密友	0.911	0.347	0.518
chummy	合得来的	0.760	0.420	0.610
chump	嚼	0.375	0.451	0.304
chunk	块	0.365	0.287	0.214
chunky	矮胖	0.520	0.517	0.509
church	教会	0.708	0.198	0.610
churchyard	墓地	0.296	0.444	0.347
churn	搅动	0.316	0.491	0.407
chute	斜道	0.580	0.745	0.455
chutney	酸辣酱	0.459	0.370	0.400
ciao	再见	0.542	0.426	0.409
cider	苹果酒	0.530	0.346	0.398
cigar	雪茄	0.306	0.463	0.346
cigarette	香烟	0.219	0.528	0.304
cilantro	胡荽叶	0.469	0.260	0.208
cinch	肚带	0.450	0.490	0.387
cinder	煤渣	0.350	0.260	0.157
cinema	电影	0.698	0.538	0.500
cinematic	电影	0.663	0.490	0.600
cinematographer	放映技师	0.792	0.455	0.711
cinematography	摄影	0.781	0.571	0.625
cinnamon	肉桂	0.600	0.250	0.292
cipher	暗号	0.490	0.414	0.500
circle	圈	0.480	0.290	0.343
circling	盘旋	0.510	0.654	0.336
circuit	电路	0.586	0.461	0.707
circuitry	电路	0.596	0.615	0.536
circular	圆	0.562	0.342	0.417
circulate	流通	0.612	0.388	0.320
circulation	循环	0.735	0.520	0.657
circulatory	循环系统	0.592	0.575	0.545
circumcision	割礼	0.327	0.657	0.528
circumference	圆周	0.458	0.255	0.488
circumferential	周	0.551	0.422	0.509
circumscribed	外切	0.365	0.539	0.569
circumstance	环境	0.520	0.565	0.596
circumstances	情况	0.562	0.527	0.464
circumstantial	旁证	0.500	0.538	0.519
circumvent	规避	0.316	0.642	0.383
circumvention	规避	0.531	0.571	0.473
circus	马戏团	0.724	0.637	0.432
cirque	冰斗	0.604	0.647	0.467
cirrhosis	硬化	0.079	0.602	0.370
cirrus	触须	0.470	0.451	0.348
cistern	水槽	0.541	0.413	0.432
citadel	堡垒	0.585	0.464	0.602
citation	引用	0.570	0.549	0.508
cite	引用	0.625	0.454	0.532
citizen	公民	0.631	0.250	0.586
citizenship	国籍	0.786	0.404	0.723
citrine	茶晶	0.375	0.400	0.420
citrus	柑橘	0.469	0.368	0.375
city	市	0.847	0.531	0.508
citywide	全市	0.592	0.509	0.707
civic	公民	0.653	0.240	0.573
civics	公民	0.700	0.279	0.720
civil	国内	0.521	0.281	0.517
civilian	平民	0.700	0.229	0.598
civilians	老百姓	0.490	0.448	0.525
civility	礼貌	0.760	0.306	0.679
civilization	文明	0.823	0.452	0.839
civilized	文明	0.792	0.231	0.796
clad	包层的	0.583	0.373	0.481
claim	要求	0.255	0.760	0.473
claimant	索赔	0.271	0.690	0.779
clairvoyant	明察秋毫	0.765	0.531	0.897
clam	蛤	0.442	0.302	0.272
clambake	clambake	0.542	0.540	0.429
clammy	病态的	0.354	0.440	0.236
clamor	叫嚣	0.438	0.643	0.360
clamp	钳	0.541	0.388	0.454
clan	氏族	0.562	0.491	0.686
clandestine	隐秘	0.425	0.677	0.469
clang	铛	0.459	0.520	0.510
clap	拍	0.779	0.731	0.529
clapper	铃舌	0.500	0.229	0.420
clapping	拍手	0.823	0.894	0.686
clarification	澄清	0.802	0.461	0.613
clarify	澄清	0.652	0.535	0.625
clarinet	单簧管	0.592	0.453	0.411
clarion	号角	0.500	0.443	0.422
clarity	明晰	0.796	0.310	0.631
clash	冲突	0.293	0.918	0.453
clashing	冲突	0.177	0.764	0.575
clasp	钩	0.448	0.375	0.241
class	类	0.656	0.314	0.522
classic	经典	0.690	0.260	0.611
classic rock	经典摇滚	0.729	0.571	0.588
classical	古典	0.643	0.198	0.536
classics	经	0.750	0.333	0.510
classification	分类	0.583	0.423	0.613
classified	分类	0.571	0.460	0.663
classify	分类	0.646	0.411	0.720
classmate	同学	0.781	0.400	0.593
classroom	课堂	0.539	0.292	0.363
classy	优雅	0.917	0.410	0.649
clatter	哒	0.418	0.820	0.387
clause	条款	0.480	0.409	0.528
clauses	条款	0.449	0.429	0.545
claustrophobia	幽闭恐惧症	0.125	0.840	0.333
claustrophobic	幽闭恐惧症	0.092	0.755	0.400
clavicle	锁骨	0.398	0.400	0.452
claw	爪	0.260	0.600	0.598
claws	爪	0.281	0.698	0.562
clay	粘土	0.542	0.250	0.267
clean	清洁	0.827	0.170	0.500
cleaner	清洁器	0.604	0.556	0.375
cleaning	清洁的	0.595	0.396	0.427
cleanliness	清洁度	0.816	0.363	0.609
cleanly	干净	0.823	0.352	0.583
cleanse	洁净	0.625	0.310	0.660
cleanser	去污粉	0.604	0.353	0.433
cleansing	净化	0.729	0.298	0.472
cleanup	清理	0.729	0.314	0.451
clear	明确	0.857	0.327	0.573
clearance	净空	0.542	0.459	0.473
clearing	空地	0.680	0.333	0.509
clearness	清晰	0.875	0.316	0.689
cleat	夹板	0.486	0.260	0.361
cleavage	分裂	0.542	0.602	0.454
cleave	劈开	0.296	0.545	0.389
cleaver	切肉刀	0.240	0.627	0.434
clef	谱号	0.615	0.360	0.595
cleft	裂口	0.306	0.442	0.360
clemency	宽大	0.594	0.417	0.397
clench	咬紧	0.438	0.618	0.580
clergy	牧师	0.531	0.312	0.575
clergyman	牧师	0.594	0.330	0.556
cleric	牧师	0.521	0.324	0.589
clerical	牧师	0.520	0.396	0.491
clerk	书记	0.500	0.579	0.509
clerkship	见习	0.582	0.380	0.596
clever	聪明	0.896	0.353	0.729
cleverness	聪明	0.878	0.509	0.921
click	点击	0.536	0.365	0.268
clicker	唱首歌	0.418	0.490	0.463
client	客户	0.583	0.450	0.618
clientele	客户	0.625	0.577	0.508
cliff	悬崖	0.361	0.620	0.509
climate	气候	0.635	0.240	0.483
climatology	气候	0.531	0.367	0.541
climax	高潮	0.735	0.853	0.667
climb	爬	0.615	0.660	0.604
climber	登山者	0.573	0.716	0.735
clinch	成交	0.469	0.538	0.430
cling	依偎	0.417	0.620	0.588
clingy	紧贴	0.224	0.460	0.370
clinic	诊所	0.469	0.439	0.600
clinical	临床	0.337	0.412	0.640
clink	碰杯	0.458	0.462	0.319
clip	夹	0.438	0.310	0.381
clipboard	剪贴板	0.594	0.255	0.423
clipper	限幅器	0.293	0.422	0.383
clipping	剪裁	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	阴蒂	0.625	0.844	0.464
cloak	披风	0.469	0.188	0.333
cloaking	隐形	0.521	0.595	0.389
cloakroom	衣帽间	0.690	0.254	0.397
clobber	撞	0.396	0.578	0.464
clock	时钟	0.677	0.173	0.407
clockwork	发条装置	0.490	0.373	0.528
clod	土块	0.375	0.404	0.365
clog	阻塞	0.104	0.618	0.454
cloister	寺院	0.438	0.413	0.475
clone	克隆	0.406	0.471	0.524
cloning	克隆	0.216	0.696	0.679
close	关	0.292	0.260	0.263
closed	关闭	0.240	0.164	0.318
closeness	亲近	0.796	0.237	0.450
closet	壁橱	0.531	0.204	0.330
closure	关闭	0.229	0.220	0.412
clot	凝块	0.150	0.558	0.275
cloth	布	0.510	0.190	0.287
clothe	覆上	0.797	0.330	0.481
clothes	衣服	0.833	0.270	0.414
clothesline	晾衣绳	0.582	0.324	0.366
clothing	服装	0.750	0.343	0.407
cloud	云	0.740	0.133	0.342
clouded	乌云密布	0.240	0.213	0.302
cloudiness	云量	0.469	0.250	0.343
clouds	云	0.735	0.195	0.324
cloudy	多云的	0.281	0.280	0.202
clout	影响力	0.584	0.636	0.704
clove	丁香	0.439	0.296	0.315
clover	苜	0.605	0.340	0.364
cloves	丁香	0.427	0.218	0.396
clown	小丑	0.650	0.598	0.300
clowns	小丑	0.600	0.673	0.391
club	俱乐部	0.646	0.618	0.393
clubhouse	俱乐部	0.694	0.571	0.493
clubs	会所	0.723	0.530	0.591
cluck	咕	0.390	0.490	0.353
clue	线索	0.653	0.380	0.412
clueless	无知	0.350	0.333	0.161
clump	丛	0.551	0.480	0.582
clumsy	笨拙	0.125	0.420	0.144
clunk	闷响	0.448	0.472	0.407
cluster	簇	0.490	0.458	0.446
clutch	离合器	0.383	0.500	0.491
clutches	离合器	0.542	0.373	0.528
clutter	杂波	0.135	0.598	0.400
coach	教练	0.633	0.823	0.735
coachman	赶车	0.479	0.394	0.509
coagulation	凝结	0.381	0.558	0.436
coal	煤炭	0.360	0.241	0.340
coalesce	合并	0.479	0.434	0.529
coalition	联盟	0.490	0.730	0.673
coarse	粗	0.333	0.481	0.481
coast	滨	0.719	0.396	0.458
coastal	沿海	0.604	0.370	0.510
coaster	杯垫	0.612	0.788	0.627
coastline	海岸线	0.745	0.282	0.441
coat	涂层	0.677	0.256	0.464
coating	涂层	0.620	0.440	0.596
coax	哄	0.367	0.400	0.447
cobalt	钴	0.408	0.325	0.441
cobble	鹅卵石	0.448	0.385	0.368
cobbler	皮匠	0.510	0.415	0.318
cobra	眼镜蛇	0.312	0.712	0.600
cocaine	可卡因	0.156	0.840	0.373
cock	公鸡	0.418	0.562	0.392
cockamamie	繁琐	0.450	0.500	0.382
cockeyed	荒唐的	0.459	0.460	0.423
cockpit	座舱	0.520	0.424	0.343
cockroach	蟑螂	0.188	0.667	0.196
cocksucker	口交	0.083	0.764	0.339
cocktail	鸡尾酒	0.740	0.480	0.381
cocky	自大	0.260	0.784	0.519
cocoa	可可	0.776	0.255	0.322
coconut	椰子	0.622	0.265	0.227
cocoon	茧	0.470	0.280	0.290
cod	鳕鱼	0.510	0.321	0.304
code	码	0.583	0.308	0.491
codeine	可待因	0.375	0.582	0.436
codex	法典	0.531	0.488	0.524
codfish	鳕	0.490	0.245	0.300
codification	法典编纂	0.448	0.400	0.698
codify	编成法典	0.448	0.410	0.679
coding	编码	0.442	0.344	0.667
coed	男女同校	0.469	0.531	0.481
coefficient	系数	0.677	0.415	0.702
coerce	胁迫	0.260	0.741	0.517
coercion	强迫	0.330	0.708	0.577
coercive	强制	0.479	0.670	0.506
coexist	共存	0.708	0.460	0.536
coexistence	共存	0.588	0.472	0.638
coexisting	共存	0.551	0.349	0.648
coffee	咖啡	0.823	0.418	0.309
coffee table	咖啡桌	0.720	0.339	0.295
coffeehouse	咖啡屋	0.694	0.357	0.307
coffeepot	咖啡壶	0.760	0.333	0.312
coffin	棺材	0.073	0.432	0.343
cog	COG	0.427	0.343	0.363
cogent	切实	0.765	0.479	0.836
cognac	科涅克白兰地	0.615	0.510	0.430
cognate	同源	0.615	0.350	0.398
cognition	认识	0.635	0.344	0.706
cognitive	认知	0.513	0.401	0.634
cohabitation	同居	0.646	0.526	0.598
coherence	相干性	0.720	0.406	0.788
coherent	相干	0.698	0.281	0.500
cohesion	凝聚	0.604	0.536	0.555
cohesive	凝聚力	0.531	0.470	0.603
cohort	队列	0.459	0.551	0.566
coil	盘	0.448	0.343	0.298
coiled	盘绕	0.378	0.518	0.389
coin	硬币	0.677	0.574	0.445
coinage	造币	0.500	0.400	0.545
coincide	重合	0.635	0.490	0.593
coincidence	巧合	0.612	0.450	0.518
coincident	一致	0.562	0.385	0.602
coincidental	巧合	0.646	0.481	0.337
coinciding	重合	0.673	0.373	0.623
coke	可乐	0.404	0.461	0.397
cola	可乐	0.469	0.325	0.240
cold	冷	0.398	0.538	0.348
coldly	冷眼	0.365	0.358	0.407
coldness	寒冷	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	凉拌卷心菜	0.707	0.312	0.336
colic	绞痛	0.135	0.736	0.361
coliseum	体育馆	0.612	0.663	0.704
collaborate	合作	0.816	0.449	0.559
collaboration	合作	0.885	0.628	0.741
collaborator	合作者	0.729	0.320	0.769
collage	大学	0.680	0.321	0.375
collagen	胶原	0.541	0.245	0.450
collapse	坍方	0.208	0.689	0.342
collar	领	0.656	0.442	0.446
collarbone	锁骨	0.420	0.427	0.306
collate	勘	0.438	0.448	0.580
collateral	抵押	0.531	0.422	0.717
collation	整理	0.520	0.333	0.508
colleague	同事	0.740	0.413	0.600
collect	搜集	0.635	0.481	0.491
collected	集	0.570	0.402	0.588
collection	采集	0.725	0.311	0.588
collective	集体	0.583	0.458	0.698
collectively	统	0.817	0.573	0.533
collector	集电极	0.552	0.481	0.648
college	学院	0.700	0.467	0.746
collegiate	合议	0.592	0.461	0.678
collide	碰撞	0.271	0.892	0.557
collie	牧羊犬	0.562	0.308	0.328
collision	碰撞	0.245	0.848	0.585
collocation	搭配	0.637	0.360	0.594
colloquial	口语	0.604	0.363	0.368
collusion	共谋	0.365	0.510	0.400
cologne	科隆	0.677	0.413	0.552
colon	结肠	0.449	0.394	0.384
colonel	陆军上校	0.459	0.592	0.890
colonial	殖民	0.553	0.327	0.613
colonic	结肠	0.333	0.420	0.430
colonoscopy	结肠镜检查	0.208	0.524	0.466
colony	殖民地	0.716	0.353	0.593
colophon	版权页	0.500	0.408	0.385
color	颜色	0.786	0.280	0.402
coloration	着色	0.541	0.520	0.443
colored	有色	0.806	0.317	0.275
colorful	华美	0.850	0.520	0.519
coloring	染色	0.781	0.469	0.353
colorless	无色	0.354	0.340	0.250
colors	颜色	0.875	0.349	0.340
colossal	庞大	0.698	0.692	0.900
colt	小马	0.561	0.587	0.543
columbine	鸽的	0.520	0.521	0.407
column	柱	0.480	0.250	0.670
columnar	柱状	0.448	0.340	0.491
columnist	专栏作家	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	昏迷	0.219	0.255	0.302
comatose	昏睡的	0.143	0.438	0.433
comb	梳	0.490	0.123	0.268
combat	战斗	0.302	0.846	0.833
combatant	战斗	0.531	0.853	0.780
combative	好斗	0.381	0.690	0.816
combination	组合	0.708	0.480	0.726
combinatorial	组合	0.561	0.436	0.428
combine	结合	0.663	0.442	0.533
combined	结合	0.622	0.370	0.500
combo	二合一	0.698	0.439	0.453
combustible	易燃	0.386	0.650	0.750
combustion	燃烧	0.457	0.807	0.591
come	来	0.529	0.269	0.558
comeback	回来	0.580	0.409	0.555
comedian	喜剧演员	0.812	0.735	0.598
comedy	喜剧	0.918	0.555	0.490
comet	彗星	0.704	0.679	0.471
comfort	安慰	0.863	0.231	0.670
comfortable	自在	0.927	0.163	0.473
comforter	棉被	0.618	0.275	0.302
comforting	欣慰的	0.906	0.337	0.620
comfy	舒适	0.930	0.241	0.625
comic	滑稽	0.917	0.459	0.387
comical	滑稽	0.844	0.737	0.327
comics	漫画	0.690	0.556	0.384
coming	未来	0.653	0.417	0.500
