Word	Basque-eu	Valence	Arousal	Dominance
church	eliza	0.708	0.198	0.610
churchyard	Adro	0.296	0.444	0.347
churn	churn	0.316	0.491	0.407
chute	chute	0.580	0.745	0.455
chutney	chutney	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	sagardoa	0.530	0.346	0.398
cigar	puru	0.306	0.463	0.346
cigarette	zigarroa	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
cinch	cinch	0.450	0.490	0.387
cinder	errauts	0.350	0.260	0.157
cinema	zinea	0.698	0.538	0.500
cinematic	zinematografikoa	0.663	0.490	0.600
cinematographer	zinema	0.792	0.455	0.711
cinematography	zinematografia	0.781	0.571	0.625
cinnamon	kanela	0.600	0.250	0.292
cipher	Zifraketa	0.490	0.414	0.500
circle	zirkulu	0.480	0.290	0.343
circling	inguratzen	0.510	0.654	0.336
circuit	zirkuitu	0.586	0.461	0.707
circuitry	zirkuituak	0.596	0.615	0.536
circular	zirkularra	0.562	0.342	0.417
circulate	zirkulatu	0.612	0.388	0.320
circulation	zirkulazioa	0.735	0.520	0.657
circulatory	zirkulazio	0.592	0.575	0.545
circumcision	erdainkuntza	0.327	0.657	0.528
circumference	zirkunferentzia	0.458	0.255	0.488
circumferential	circumferential	0.551	0.422	0.509
circumscribed	mugatua	0.365	0.539	0.569
circumstance	egoera	0.520	0.565	0.596
circumstances	zirkunstantziek	0.562	0.527	0.464
circumstantial	zirkunstantziala	0.500	0.538	0.519
circumvent	saihestu	0.316	0.642	0.383
circumvention	circumvention	0.531	0.571	0.473
circus	zirkoa	0.724	0.637	0.432
cirque	Cirque	0.604	0.647	0.467
cirrhosis	zirrosi	0.079	0.602	0.370
cirrus	Cirrus	0.470	0.451	0.348
cistern	zisterna	0.541	0.413	0.432
citadel	gotorleku	0.585	0.464	0.602
citation	Aipatzeko	0.570	0.549	0.508
cite	aipatu	0.625	0.454	0.532
citizen	herritar	0.631	0.250	0.586
citizenship	hiritartasuna	0.786	0.404	0.723
citrine	citrine	0.375	0.400	0.420
citrus	citrus	0.469	0.368	0.375
city	city	0.847	0.531	0.508
citywide	citywide	0.592	0.509	0.707
civic	hiritar	0.653	0.240	0.573
civics	hiritar hezkuntza	0.700	0.279	0.720
civil	zibil	0.521	0.281	0.517
civilian	zibil	0.700	0.229	0.598
civilians	zibilak	0.490	0.448	0.525
civility	gizalegea	0.760	0.306	0.679
civilization	zibilizazio	0.823	0.452	0.839
civilized	zibilizatu	0.792	0.231	0.796
clad	jantzitako	0.583	0.373	0.481
claim	erreklamazioa	0.255	0.760	0.473
claimant	erreklamatzaileak	0.271	0.690	0.779
clairvoyant	igarlea	0.765	0.531	0.897
clam	txirla	0.442	0.302	0.272
clambake	clambake	0.542	0.540	0.429
clammy	clammy	0.354	0.440	0.236
clamor	clamor	0.438	0.643	0.360
clamp	clamp	0.541	0.388	0.454
clan	klan	0.562	0.491	0.686
clandestine	klandestinoa	0.425	0.677	0.469
clang	clang	0.459	0.520	0.510
clap	clap	0.779	0.731	0.529
clapper	clapper	0.500	0.229	0.420
clapping	txaloak	0.823	0.894	0.686
clarification	Argibide	0.802	0.461	0.613
clarify	argitzeko	0.652	0.535	0.625
clarinet	klarinetea	0.592	0.453	0.411
clarion	clarion	0.500	0.443	0.422
clarity	argitasun	0.796	0.310	0.631
clash	talka	0.293	0.918	0.453
clashing	kirrinka	0.177	0.764	0.575
clasp	Munoaundi	0.448	0.375	0.241
class	class	0.656	0.314	0.522
classic	klasikoa	0.690	0.260	0.611
classic rock	rock klasikoa	0.729	0.571	0.588
classical	klasikoa	0.643	0.198	0.536
classics	klasikoak	0.750	0.333	0.510
classification	sailkapen	0.583	0.423	0.613
classified	sailkatu	0.571	0.460	0.663
classify	sailkatzeko	0.646	0.411	0.720
classmate	ikaskide	0.781	0.400	0.593
classroom	ikasgelan	0.539	0.292	0.363
classy	classy	0.917	0.410	0.649
clatter	clatter	0.418	0.820	0.387
clause	klausula	0.480	0.409	0.528
clauses	klausulak	0.449	0.429	0.545
claustrophobia	klaustrofobia	0.125	0.840	0.333
claustrophobic	klaustrofobiko	0.092	0.755	0.400
clavicle	clavicle	0.398	0.400	0.452
claw	atzapar	0.260	0.600	0.598
claws	atzaparretatik	0.281	0.698	0.562
clay	buztin	0.542	0.250	0.267
clean	garbi	0.827	0.170	0.500
cleaner	garbiagoa	0.604	0.556	0.375
cleaning	garbiketa	0.595	0.396	0.427
cleanliness	garbitasuna	0.816	0.363	0.609
cleanly	garbian	0.823	0.352	0.583
cleanse	garbitu	0.625	0.310	0.660
cleanser	cleanser	0.604	0.353	0.433
cleansing	garbiketa	0.729	0.298	0.472
cleanup	garbitu	0.729	0.314	0.451
clear	argi	0.857	0.327	0.573
clearance	sakea	0.542	0.459	0.473
clearing	konpentsazio	0.680	0.333	0.509
clearness	argitasun	0.875	0.316	0.689
cleat	cleat	0.486	0.260	0.361
cleavage	bikoiztea	0.542	0.602	0.454
cleave	cleave	0.296	0.545	0.389
cleaver	Cleaver	0.240	0.627	0.434
clef	clefen	0.615	0.360	0.595
cleft	cleft	0.306	0.442	0.360
clemency	Grazi	0.594	0.417	0.397
clench	clench	0.438	0.618	0.580
clergy	kleroaren	0.531	0.312	0.575
clergyman	elizgizon	0.594	0.330	0.556
cleric	Clérigo	0.521	0.324	0.589
clerical	clerical	0.520	0.396	0.491
clerk	administrari	0.500	0.579	0.509
clerkship	idazkari	0.582	0.380	0.596
clever	bizkorra	0.896	0.353	0.729
cleverness	cleverness	0.878	0.509	0.921
click	Klik	0.536	0.365	0.268
clicker	clicker	0.418	0.490	0.463
client	bezero	0.583	0.450	0.618
clientele	bezero	0.625	0.577	0.508
cliff	labar	0.361	0.620	0.509
climate	eguraldi	0.635	0.240	0.483
climatology	klimatologia	0.531	0.367	0.541
climax	buruko pilota	0.735	0.853	0.667
climb	igoera	0.615	0.660	0.604
climber	eskalatzaile	0.573	0.716	0.735
clinch	cLINCH	0.469	0.538	0.430
cling	cling	0.417	0.620	0.588
clingy	clingy	0.224	0.460	0.370
clinic	klinika	0.469	0.439	0.600
clinical	klinikoak	0.337	0.412	0.640
clink	Anime	0.458	0.462	0.319
clip	clip	0.438	0.310	0.381
clipboard	arbela	0.594	0.255	0.423
clipper	Clipper	0.293	0.422	0.383
clipping	mozketa	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	clitoris	0.625	0.844	0.464
cloak	kapa	0.469	0.188	0.333
cloaking	cloaking	0.521	0.595	0.389
cloakroom	besteak	0.690	0.254	0.397
clobber	clobber	0.396	0.578	0.464
clock	erlojua	0.677	0.173	0.407
clockwork	Clockwork	0.490	0.373	0.528
clod	clod	0.375	0.404	0.365
clog	zapata	0.104	0.618	0.454
cloister	klaustroan	0.438	0.413	0.475
clone	clone	0.406	0.471	0.524
cloning	klonazioa	0.216	0.696	0.679
close	itxi	0.292	0.260	0.263
closed	itxi	0.240	0.164	0.318
closeness	gertutasuna	0.796	0.237	0.450
closet	armairutik	0.531	0.204	0.330
closure	itxiera	0.229	0.220	0.412
clot	Clot	0.150	0.558	0.275
cloth	oihal	0.510	0.190	0.287
clothe	clothe	0.797	0.330	0.481
clothes	arropa	0.833	0.270	0.414
clothesline	clothesline	0.582	0.324	0.366
clothing	arropa	0.750	0.343	0.407
cloud	Hodei	0.740	0.133	0.342
clouded	clouded	0.240	0.213	0.302
cloudiness	hodeiak	0.469	0.250	0.343
clouds	hodeiak	0.735	0.195	0.324
cloudy	lainotu	0.281	0.280	0.202
clout	clout	0.584	0.636	0.704
clove	ale	0.439	0.296	0.315
clover	hirusta	0.605	0.340	0.364
cloves	ale	0.427	0.218	0.396
clown	clown	0.650	0.598	0.300
clowns	pailazoak	0.600	0.673	0.391
club	club	0.646	0.618	0.393
clubhouse	elkartearen egoitzan	0.694	0.571	0.493
clubs	klubak	0.723	0.530	0.591
cluck	cluck	0.390	0.490	0.353
clue	ideiarik	0.653	0.380	0.412
clueless	clueless	0.350	0.333	0.161
clump	clump	0.551	0.480	0.582
clumsy	baldarra	0.125	0.420	0.144
clunk	clunk	0.448	0.472	0.407
cluster	cluster	0.490	0.458	0.446
clutch	enbrage	0.383	0.500	0.491
clutches	atzaparretan	0.542	0.373	0.528
clutter	gehiegi	0.135	0.598	0.400
coach	entrenatzaile	0.633	0.823	0.735
coachman	coachman	0.479	0.394	0.509
coagulation	koagulazio	0.381	0.558	0.436
coal	ikatz	0.360	0.241	0.340
coalesce	coalesce	0.479	0.434	0.529
coalition	koalizio	0.490	0.730	0.673
coarse	larriko	0.333	0.481	0.481
coast	Kostaldea	0.719	0.396	0.458
coastal	kostaldeko	0.604	0.370	0.510
coaster	mendi	0.612	0.788	0.627
coastline	kostalde	0.745	0.282	0.441
coat	armarria	0.677	0.256	0.464
coating	estaldura	0.620	0.440	0.596
coax	coax	0.367	0.400	0.447
cobalt	kobaltoa	0.408	0.325	0.441
cobble	cobble	0.448	0.385	0.368
cobbler	zapatari	0.510	0.415	0.318
cobra	cobra	0.312	0.712	0.600
cocaine	kokaina	0.156	0.840	0.373
cock	oilarra	0.418	0.562	0.392
cockamamie	cockamamie	0.450	0.500	0.382
cockeyed	cockeyed	0.459	0.460	0.423
cockpit	cockpit	0.520	0.424	0.343
cockroach	labezomorro	0.188	0.667	0.196
cocksucker	cocksucker	0.083	0.764	0.339
cocktail	cocktail	0.740	0.480	0.381
cocky	cocky	0.260	0.784	0.519
cocoa	kakaoa	0.776	0.255	0.322
coconut	koko	0.622	0.265	0.227
cocoon	Edukien	0.470	0.280	0.290
cod	bakailaoa	0.510	0.321	0.304
code	kodea	0.583	0.308	0.491
codeine	codeine	0.375	0.582	0.436
codex	codex	0.531	0.488	0.524
codfish	bakailaoa	0.490	0.245	0.300
codification	kodifikazio	0.448	0.400	0.698
codify	kodetzeko	0.448	0.410	0.679
coding	programazioan	0.442	0.344	0.667
coed	coed	0.469	0.531	0.481
coefficient	koefizientea	0.677	0.415	0.702
coerce	coerce	0.260	0.741	0.517
coercion	indarkeriaren	0.330	0.708	0.577
coercive	hertsatzaileak	0.479	0.670	0.506
coexist	elkarrekin bizi	0.708	0.460	0.536
coexistence	elkarbizitza	0.588	0.472	0.638
coexisting	aldi berean existitzen	0.551	0.349	0.648
coffee	kafea	0.823	0.418	0.309
coffee table	kafetegia	0.720	0.339	0.295
coffeehouse	coffeehouse	0.694	0.357	0.307
coffeepot	coffeepot	0.760	0.333	0.312
coffin	hilkutxa	0.073	0.432	0.343
cog	koka	0.427	0.343	0.363
cogent	cogent	0.765	0.479	0.836
cognac	cognac	0.615	0.510	0.430
cognate	cognate	0.615	0.350	0.398
cognition	kognizioa	0.635	0.344	0.706
cognitive	kognitiboaren	0.513	0.401	0.634
cohabitation	elkarbizitza	0.646	0.526	0.598
coherence	koherentzia	0.720	0.406	0.788
coherent	koherente	0.698	0.281	0.500
cohesion	kohesioa	0.604	0.536	0.555
cohesive	kohesionatua	0.531	0.470	0.603
cohort	kohorte	0.459	0.551	0.566
coil	bobina	0.448	0.343	0.298
coiled	coiled	0.378	0.518	0.389
coin	txanpon	0.677	0.574	0.445
coinage	diru	0.500	0.400	0.545
coincide	datoz	0.635	0.490	0.593
coincidence	kasualitatea	0.612	0.450	0.518
coincident	datozen	0.562	0.385	0.602
coincidental	coincidental	0.646	0.481	0.337
coinciding	etorriz	0.673	0.373	0.623
coke	koke	0.404	0.461	0.397
cola	cola	0.469	0.325	0.240
cold	hotz	0.398	0.538	0.348
coldly	Lastima	0.365	0.358	0.407
coldness	hoztasuna	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	coleslaw	0.707	0.312	0.336
colic	kolikoak	0.135	0.736	0.361
coliseum	Coliseum	0.612	0.663	0.704
collaborate	elkarlanean aritzeko	0.816	0.449	0.559
collaboration	lankidetza	0.885	0.628	0.741
collaborator	kolaboratzailea	0.729	0.320	0.769
collage	collage	0.680	0.321	0.375
collagen	kolageno	0.541	0.245	0.450
collapse	kolapso	0.208	0.689	0.342
collar	lepokoa	0.656	0.442	0.446
collarbone	klabikula	0.420	0.427	0.306
collate	Tartekatu	0.438	0.448	0.580
collateral	berme	0.531	0.422	0.717
collation	kolazioa	0.520	0.333	0.508
colleague	lankide	0.740	0.413	0.600
collect	biltzeko	0.635	0.481	0.491
collected	bildutako	0.570	0.402	0.588
collection	collection	0.725	0.311	0.588
collective	kolektiboa	0.583	0.458	0.698
collectively	kolektiboki	0.817	0.573	0.533
collector	biltzen	0.552	0.481	0.648
college	unibertsitatean	0.700	0.467	0.746
collegiate	kolegio	0.592	0.461	0.678
collide	talka	0.271	0.892	0.557
collie	collie	0.562	0.308	0.328
collision	talka	0.245	0.848	0.585
collocation	collocation	0.637	0.360	0.594
colloquial	lagunarteko	0.604	0.363	0.368
collusion	collusion	0.365	0.510	0.400
cologne	Kolonia	0.677	0.413	0.552
colon	puntuek	0.449	0.394	0.384
colonel	koronel	0.459	0.592	0.890
colonial	kolonialak	0.553	0.327	0.613
colonic	colonic	0.333	0.420	0.430
colonoscopy	kolonoskopia	0.208	0.524	0.466
colony	kolonia	0.716	0.353	0.593
colophon	azken-oharrak	0.500	0.408	0.385
color	kolore	0.786	0.280	0.402
coloration	kolore	0.541	0.520	0.443
colored	koloretako	0.806	0.317	0.275
colorful	koloretsua	0.850	0.520	0.519
coloring	kolore	0.781	0.469	0.353
colorless	kolorerik	0.354	0.340	0.250
colors	koloreak	0.875	0.349	0.340
colossal	kolosala	0.698	0.692	0.900
colt	moxal	0.561	0.587	0.543
columbine	COLUMBINE	0.520	0.521	0.407
column	Zutabe	0.480	0.250	0.670
columnar	columnar	0.448	0.340	0.491
columnist	zutabegile	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	koman	0.219	0.255	0.302
comatose	comatose	0.143	0.438	0.433
comb	orrazia	0.490	0.123	0.268
combat	Borroka	0.302	0.846	0.833
combatant	combatant	0.531	0.853	0.780
combative	borrokalaria	0.381	0.690	0.816
combination	konbinazio	0.708	0.480	0.726
combinatorial	konbinatorioak	0.561	0.436	0.428
combine	konbinatu	0.663	0.442	0.533
combined	konbinatu	0.622	0.370	0.500
combo	konbinazio	0.698	0.439	0.453
combustible	erregaiak	0.386	0.650	0.750
combustion	errekuntza	0.457	0.807	0.591
come	Etorri	0.529	0.269	0.558
comeback	Bueltatu	0.580	0.409	0.555
comedian	komiko	0.812	0.735	0.598
comedy	komedia	0.918	0.555	0.490
comet	kometa	0.704	0.679	0.471
comfort	erosotasuna	0.863	0.231	0.670
comfortable	eroso	0.927	0.163	0.473
comforter	comforter	0.618	0.275	0.302
comforting	comforting	0.906	0.337	0.620
comfy	comfy	0.930	0.241	0.625
comic	komiki	0.917	0.459	0.387
comical	komiko	0.844	0.737	0.327
comics	komikiak	0.690	0.556	0.384
coming	datozen	0.653	0.417	0.500
comma	koma	0.344	0.269	0.242
command	komandoa	0.427	0.790	0.849
commandant	komandantea	0.622	0.700	0.943
commandeer	commandeer	0.552	0.639	0.931
commander	komandante	0.531	0.615	0.906
commanding	agintzeko	0.562	0.664	0.925
commandment	agindurik	0.656	0.490	0.876
commando	komando	0.323	0.710	0.817
commemorate	ospatzeko	0.812	0.602	0.636
commemoration	ospatzeko	0.719	0.615	0.754
commemorative	oroitzapenezko	0.750	0.438	0.754
commence	hasiko	0.760	0.585	0.741
commend	gommendatzen	0.906	0.694	0.711
commendable	commendable	0.786	0.570	0.555
commendation	Enkomienda	0.911	0.500	0.639
commensurate	commensurate	0.610	0.304	0.550
comment	iruzkin	0.667	0.417	0.379
commentary	comentario	0.602	0.402	0.446
commentator	esataria	0.492	0.510	0.607
commerce	merkataritza	0.646	0.500	0.788
commercial	komertziala	0.806	0.490	0.528
commie	commie	0.385	0.519	0.454
commissary	commissary	0.385	0.500	0.788
commission	komisio	0.677	0.480	0.571
commissioner	komisarioak	0.602	0.449	0.949
commit	konpromisoa	0.365	0.529	0.491
commitment	konpromisoa	0.714	0.710	0.843
committal	committal	0.472	0.519	0.582
committed	konprometitu	0.710	0.542	0.712
committee	batzorde	0.592	0.392	0.721
commodity	salgaien	0.615	0.394	0.537
commodore	COMMODORE	0.427	0.530	0.636
common	ohikoa	0.600	0.127	0.318
commoner	comunero	0.448	0.365	0.327
commonly	normalean	0.604	0.170	0.574
commonplace	normalagoa	0.520	0.337	0.442
commons	commons	0.633	0.396	0.623
commonwealth	mankomunitatearen	0.630	0.406	0.702
commotion	zirrara	0.490	0.700	0.646
communal	komunitarioaren	0.592	0.321	0.556
commune	Komuna	0.500	0.488	0.655
communicable	kutsakorren	0.796	0.491	0.623
communicate	komunikatu	0.823	0.410	0.696
communication	komunikazio	0.837	0.400	0.649
communicative	komunikatiboak	0.847	0.560	0.637
communicator	komunikatzaile	0.573	0.509	0.796
communion	komunio	0.765	0.357	0.607
communism	komunismoa	0.264	0.570	0.623
communist	komunista	0.265	0.702	0.632
community	komunitatea	0.750	0.350	0.659
commutation	commutation	0.469	0.431	0.652
commutative	commutative	0.667	0.442	0.569
commute	Absys	0.622	0.582	0.565
commuter	aldiriko	0.646	0.520	0.512
comp	comp	0.573	0.450	0.371
compact	trinkoa	0.458	0.417	0.673
compaction	trinkotzeko	0.531	0.471	0.582
compactness	trinkotasun	0.582	0.352	0.454
companion	laguna	0.770	0.377	0.618
companionless	companionless	0.271	0.259	0.200
companionship	laguntasuna	0.833	0.438	0.792
company	konpainiak	0.906	0.425	0.798
comparable	konparagarria	0.562	0.443	0.458
comparative	konparazio-	0.470	0.273	0.562
comparatively	erlatiboki	0.604	0.391	0.538
compare	konparatu	0.552	0.408	0.524
comparison	konparazio	0.583	0.456	0.492
compartment	konpartimendu	0.500	0.389	0.607
compass	iparrorratza	0.541	0.307	0.529
compassion	errukia	0.735	0.258	0.509
compassionate	errukitsua	0.857	0.404	0.411
compatibility	bateragarritasuna	0.816	0.450	0.673
compatible	bateragarriak	0.892	0.387	0.638
compel	behartu	0.200	0.847	0.625
compelled	behartuta	0.333	0.654	0.347
compelling	sinesgarria	0.698	0.570	0.870
compendium	bilduma	0.610	0.461	0.537
compensate	konpentsatzeko	0.612	0.429	0.762
compensation	konpentsazio	0.775	0.469	0.598
compensatory	konpentsazio	0.589	0.490	0.700
compete	lehiatu	0.573	0.745	0.786
competence	eskumen	0.615	0.802	0.823
competency	gaitasun	0.768	0.775	0.764
competent	eskumena	0.865	0.560	0.904
competition	lehiaketa	0.580	0.790	0.798
competitive	lehiakorra	0.447	0.718	0.908
competitor	lehiakide	0.612	0.959	0.861
compilation	konpilazio	0.530	0.512	0.606
compile	konpilatu	0.600	0.413	0.519
complacency	complacency	0.604	0.503	0.519
complacent	etorkor	0.625	0.452	0.518
complain	kexatu	0.143	0.682	0.360
complaint	kexa	0.143	0.606	0.281
complement	osagarria	0.760	0.277	0.600
complementary	osagarria	0.714	0.320	0.586
complete	osoa	0.750	0.414	0.809
completed	amaitu	0.823	0.357	0.777
completely	erabat	0.730	0.370	0.690
completeness	osotasun	0.823	0.433	0.769
completing	osatzea	0.614	0.500	0.769
completion	osatze	0.656	0.470	0.525
complex	konplexua	0.388	0.608	0.550
complexed	complexed	0.312	0.577	0.612
complexion	complexion	0.521	0.520	0.380
complexity	konplexutasun	0.479	0.620	0.595
compliance	betetzea	0.750	0.462	0.750
compliant	betetzen	0.677	0.310	0.519
complicate	zaildu	0.210	0.657	0.404
complicated	konplikatuak	0.211	0.660	0.455
complication	arau	0.365	0.726	0.330
complicity	konplizitatea	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	osagarriak	0.823	0.413	0.435
comply	betetzea	0.806	0.370	0.638
complying	betetzen	0.729	0.423	0.590
compo	Lehiaketako	0.500	0.346	0.390
component	osagai	0.531	0.382	0.525
compose	konposatzen	0.639	0.432	0.694
composed	osatuta	0.684	0.385	0.682
composer	konpositorea	0.822	0.588	0.691
composite	konposatuen	0.591	0.459	0.620
composition	konposizio	0.765	0.408	0.652
compost	konposta	0.480	0.404	0.441
composure	composure	0.802	0.354	0.717
compound	konposatu	0.635	0.385	0.735
comprehend	ulertu	0.875	0.365	0.689
comprehension	ulermena	0.908	0.387	0.688
comprehensive	integrala	0.796	0.385	0.644
compress	konprimitu	0.406	0.412	0.460
compressed	konprimatu	0.323	0.396	0.388
compressible	konprimagarria	0.622	0.392	0.585
compression	konpresio	0.646	0.521	0.579
compressor	konpresorea	0.418	0.481	0.630
comprise	osatzen	0.839	0.373	0.669
compromise	konpromiso	0.677	0.520	0.805
comptroller	Kontuhartzailetza	0.402	0.481	0.866
compulsion	bortxa	0.118	0.760	0.604
compulsive	konpultsiboa	0.347	0.871	0.573
compulsory	derrigorrezkoa	0.343	0.541	0.791
computable	konputagarrien	0.570	0.402	0.545
computation	kalkuluen	0.583	0.429	0.697
compute	Kalkulu	0.531	0.408	0.564
computer	ordenagailu	0.802	0.356	0.639
computerized	informatizatuta	0.677	0.450	0.657
computing	informatika	0.745	0.398	0.695
comrade	burkide	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	lotuz	0.480	0.593	0.539
concave	ahurra	0.441	0.349	0.349
conceal	ezkutatzen	0.312	0.436	0.306
concealed	ezkutaturik	0.344	0.363	0.352
concealment	ezkutatzea	0.302	0.570	0.390
concede	concede	0.670	0.324	0.473
conceit	harrokeria	0.354	0.625	0.309
conceited	harroputz	0.194	0.667	0.473
conceivable	conceivable	0.730	0.350	0.613
conceive	bururatu	0.708	0.538	0.700
concentrate	kontzentratzeko	0.750	0.439	0.743
concentration	kontzentrazio	0.735	0.500	0.722
concentric	zentrokideak	0.730	0.479	0.635
concept	kontzeptua	0.573	0.265	0.632
conception	ikuskera	0.694	0.490	0.614
concern	kezka	0.250	0.734	0.463
concerned	kezkatuta	0.292	0.698	0.350
concert	kontzertua	0.938	0.867	0.718
concerto	kontzertua	0.613	0.759	0.679
concession	emakida	0.588	0.423	0.615
concessional	emakidunak	0.770	0.493	0.657
conch	conch	0.583	0.306	0.339
concierge	atezainaren	0.480	0.343	0.343
conciliation	adiskidetze	0.792	0.475	0.726
concise	zehatza	0.583	0.298	0.620
conclave	conclave	0.573	0.440	0.611
conclude	Amaitzeko	0.530	0.267	0.679
concluding	Ondorioak	0.531	0.382	0.603
conclusion	ondorio	0.615	0.377	0.659
conclusive	biribilik	0.500	0.427	0.745
concoction	concoction	0.448	0.459	0.417
concomitant	konkomitanteen	0.427	0.482	0.727
concord	concord	0.677	0.320	0.586
concordance	komunztadura	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	concourse	0.740	0.657	0.528
concrete	hormigoi	0.633	0.420	0.547
concubine	ohaide	0.388	0.594	0.476
concur	datoz	0.459	0.394	0.429
concurrence	konkurrentzia	0.764	0.627	0.613
concurrent	aldibereko	0.573	0.547	0.741
concurring	concurring	0.573	0.600	0.681
concussion	concussion	0.072	0.708	0.482
condemn	gaitzesten	0.102	0.793	0.625
condemnation	gaitzespen	0.133	0.725	0.449
condensation	kondentsatzen	0.510	0.316	0.538
condensed	kondentsatutako	0.598	0.415	0.623
condescending	condescending	0.583	0.363	0.593
condescension	condescension	0.521	0.377	0.565
condiment	kondimentu	0.520	0.333	0.433
condition	baldintza	0.500	0.469	0.519
conditional	baldintzapeko	0.521	0.343	0.556
conditionally	baldintzatuan	0.396	0.419	0.617
conditioned	baldintzatu	0.490	0.417	0.616
conditioner	urteak	0.781	0.360	0.538
conditioning	girotuko	0.440	0.468	0.617
conditions	baldintza	0.551	0.441	0.593
condo	Olabide	0.439	0.288	0.607
condolence	doluminak	0.260	0.443	0.404
condolences	doluminak	0.198	0.480	0.288
condom	kondoia	0.406	0.637	0.500
condone	condone	0.571	0.441	0.619
condor	condor	0.573	0.388	0.519
conducive	aproposa	0.775	0.479	0.679
conduct	jokabide	0.453	0.510	0.750
conduction	eroankortasuna	0.530	0.557	0.717
conductivity	eroankortasun	0.583	0.575	0.642
conductor	conductor	0.677	0.663	0.621
conduit	kanala	0.470	0.302	0.413
cone	Kono	0.417	0.208	0.343
confederacy	konfederazio	0.590	0.541	0.736
confederate	konplizea	0.551	0.546	0.792
confederation	konfederazioa	0.663	0.404	0.830
confer	konferitu	0.573	0.482	0.583
conference	hitzaldi	0.688	0.615	0.606
confess	aitor	0.360	0.712	0.431
confession	aitortza	0.469	0.642	0.460
confessional	konfesionala	0.458	0.392	0.629
confessions	aitorpenak	0.325	0.538	0.658
confetti	confetti	0.781	0.573	0.250
confidant	konfiantzazko	0.837	0.633	0.631
confide	konfiantza	0.669	0.472	0.595
confidence	konfiantza	0.959	0.276	0.943
confident	ziur	0.765	0.324	0.723
confidential	konfidentzialak	0.643	0.471	0.761
confidentiality	konfidentzialtasun	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	konfigurazioa	0.540	0.443	0.591
confine	confine	0.327	0.551	0.538
confined	mugatzen	0.286	0.472	0.444
confinement	inkomunikazio	0.333	0.656	0.520
confines	mugarik	0.396	0.386	0.542
confirm	berretsi	0.802	0.439	0.806
confirmation	berrespena	0.812	0.480	0.692
confirmatory	confirmatory	0.656	0.500	0.683
confirmed	berretsi	0.760	0.490	0.764
confiscate	confiscate	0.250	0.625	0.482
confiscation	bahitzeko	0.208	0.706	0.586
conflagration	conflagration	0.344	0.721	0.594
conflict	gatazka	0.335	0.906	0.471
conflicting	gatazkatsu	0.173	0.738	0.553
confluence	bategitearen	0.677	0.598	0.565
conform	adostasuna	0.479	0.380	0.375
conformance	adostasunaren	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	Adostasun	0.645	0.363	0.579
confound	nahasi	0.347	0.529	0.333
confounded	nahasten	0.333	0.528	0.264
confront	aurre	0.281	0.760	0.746
confrontation	Norgehiagokak	0.177	0.870	0.658
confuse	nahastu	0.100	0.580	0.270
confused	nahasi	0.220	0.650	0.179
confusing	nahasgarria	0.229	0.690	0.222
confusion	nahasmena	0.255	0.667	0.277
conga	conga	0.469	0.529	0.440
congenial	lagunkoiagoak	0.820	0.412	0.620
congenital	jaiotzetiko	0.448	0.434	0.427
congestion	pilaketa	0.271	0.654	0.491
conglomerate	konglomeratua	0.500	0.500	0.838
conglomeration	conglomeration	0.541	0.720	0.670
congrats	Zorionak	0.930	0.726	0.775
congratulate	zorionak	0.927	0.724	0.784
congratulation	zorionak	0.948	0.780	0.717
congratulations	zorionak	0.960	0.755	0.719
congratulatory	zoriontzeko	0.959	0.616	0.689
congregate	Congregat	0.653	0.530	0.733
congregation	kongregazioa	0.561	0.490	0.700
congress	kongresua	0.449	0.444	0.857
congressional	biltzar	0.552	0.491	0.848
congressman	congressman	0.438	0.471	0.877
congruence	kongruentzia	0.656	0.472	0.577
conic	koniko	0.510	0.368	0.379
conical	zurrunbilo	0.490	0.422	0.471
conjecture	aierua	0.396	0.398	0.534
conjugal	ezkon	0.698	0.510	0.688
conjugate	konjokatuak	0.583	0.420	0.467
conjugation	jokatuz	0.479	0.429	0.582
conjunction	batera	0.520	0.472	0.509
conjunctive	konjuntiboa	0.487	0.444	0.639
conjure	conjure	0.385	0.679	0.645
conjuring	conjuring	0.224	0.653	0.694
conk	conk	0.340	0.469	0.404
connect	konektatu	0.724	0.299	0.536
connected	konektatua	0.816	0.550	0.612
connection	konexio	0.729	0.560	0.655
connective	connective	0.719	0.491	0.764
connoisseur	connoisseur	0.760	0.461	0.769
conquer	konkistatzeko	0.694	0.873	0.971
conquering	konkistatu	0.760	0.873	0.936
conqueror	konkistatzailea	0.604	0.809	0.930
conquest	konkista	0.710	0.702	0.833
conscience	conscience	0.663	0.375	0.721
conscientious	kontzientzia	0.688	0.404	0.688
