Word	Urdu-ur	Valence	Arousal	Dominance
contest	مقابلہ	0.667	0.698	0.717
contestant	مقابلہ	0.760	0.530	0.602
context	سیاحت	0.531	0.300	0.553
contiguous	متضاد	0.375	0.450	0.500
continence	تسلسل	0.450	0.396	0.469
continent	براعظم	0.551	0.373	0.833
continental	براعظم	0.486	0.350	0.755
contingency	احتساب	0.396	0.500	0.670
contingent	سامنا	0.470	0.531	0.659
continual	مسلسل	0.500	0.423	0.685
continually	مسلسل	0.646	0.438	0.698
continuance	مسلسل	0.729	0.510	0.652
continuation	تسلسل	0.615	0.470	0.566
continue	جاری رہے	0.630	0.427	0.612
continued	جاری	0.635	0.440	0.500
continuing	جاری رکھیں	0.667	0.500	0.520
continuity	تسلسل	0.781	0.439	0.684
continuous	مسلسل	0.625	0.509	0.580
continuously	مسلسل	0.719	0.417	0.702
continuum	مسلسل	0.677	0.390	0.491
contour	سمندری	0.589	0.265	0.414
contraband	جھگڑا	0.177	0.875	0.670
contraception	معدنیات سے متعلق	0.296	0.518	0.525
contract	معاہدہ	0.594	0.412	0.636
contracted	معاہدہ	0.344	0.557	0.449
contractile	معاہدہ	0.480	0.586	0.569
contracting	معاہدہ	0.594	0.490	0.769
contraction	سنکچن	0.292	0.755	0.603
contractor	ٹھیکیدار	0.592	0.479	0.727
contradict	متصادم	0.160	0.598	0.482
contradiction	تضاد	0.250	0.660	0.377
contradictory	متضاد	0.365	0.651	0.421
contraption	ہراساں کرنا	0.448	0.590	0.491
contrary	برعکس	0.327	0.449	0.338
contrast	برعکس	0.480	0.406	0.520
contrasted	برعکس	0.521	0.538	0.491
contravene	جھگڑا	0.357	0.618	0.472
contravention	تنازعہ	0.344	0.627	0.593
contribute	شراکت	0.806	0.350	0.795
contribution	شراکت	0.854	0.452	0.760
contributor	شراکت دار	0.844	0.510	0.760
contrite	مقناطیسی	0.347	0.363	0.473
contrition	contrition	0.347	0.583	0.463
contrived	متفق	0.408	0.530	0.458
control	اختیار	0.729	0.352	0.808
controller	کنٹرولر	0.469	0.712	0.868
controlling	کنٹرول کرنا	0.490	0.441	0.885
controversial	متنازعہ	0.271	0.858	0.538
controversy	تنازعات	0.250	0.819	0.600
contusion	الجھن	0.167	0.565	0.509
conundrum	کونسل	0.354	0.524	0.408
convalescent	قابلیت	0.458	0.480	0.269
convection	کنکشن	0.521	0.494	0.526
convene	ملاقات	0.583	0.676	0.636
convenience	سہولت	0.781	0.448	0.613
conveniences	سہولت	0.802	0.412	0.693
convenient	آسان	0.846	0.491	0.574
convent	کنووینٹ	0.480	0.217	0.594
convention	کنونشن	0.622	0.622	0.704
conventional	روایتی	0.594	0.292	0.634
converge	متفق	0.635	0.471	0.539
convergence	ہمدردی	0.551	0.491	0.625
convergent	متغیر	0.781	0.490	0.696
conversant	بات چیت	0.724	0.360	0.542
conversation	بات چیت	0.750	0.510	0.609
conversational	بات چیت	0.719	0.431	0.596
conversationalist	بات چیت	0.719	0.467	0.667
converse	بات چیت	0.594	0.406	0.598
conversing	بات چیت	0.755	0.409	0.442
conversion	تبادلوں	0.480	0.605	0.736
convert	تبدیل کریں	0.551	0.538	0.704
converted	تبدیل	0.663	0.418	0.686
convertible	بدلنا	0.542	0.529	0.717
convex	شنک	0.438	0.427	0.445
convexity	ہمدردی	0.449	0.354	0.484
convey	پہنچانا	0.719	0.633	0.708
conveyance	conveyance	0.615	0.520	0.455
conveyancing	ترسیل	0.375	0.479	0.663
convict	سزا	0.177	0.840	0.477
conviction	سزا	0.615	0.704	0.826
convince	قائل کرنا	0.708	0.539	0.763
convinced	یقینا	0.750	0.500	0.630
convincing	قائل کرنا	0.760	0.527	0.900
convocation	قونصلت	0.538	0.611	0.663
convoluted	قائل	0.323	0.614	0.433
convolution	قائل	0.417	0.559	0.527
convoy	قافلے	0.500	0.671	0.639
coo	کیو	0.490	0.439	0.500
cook	کھانا پکانا	0.847	0.500	0.412
cookbook	کاک بک	0.602	0.346	0.398
cooker	ککر	0.592	0.373	0.407
cookery	ککری	0.633	0.368	0.345
cookie	کوکی	0.792	0.306	0.250
cookies	کوکیز	0.823	0.451	0.316
cooking	کھانا پکانے	0.694	0.510	0.434
cookout	کھانا پکانا	0.680	0.406	0.482
cool	ٹھنڈی	0.885	0.540	0.781
coolant	ٹھنڈا	0.720	0.412	0.456
cooler	کولر	0.664	0.375	0.460
cooling	کولنگ	0.469	0.324	0.392
coolness	ٹھنڈا	0.490	0.307	0.548
coon	سکون	0.490	0.460	0.400
coop	کیپ	0.612	0.445	0.650
cooperate	تعاون کریں	0.898	0.451	0.582
cooperating	تعاون	0.760	0.390	0.693
cooperation	تعاون	0.847	0.473	0.686
cooperative	تعاون	0.816	0.461	0.670
coordinate	ہم آہنگی	0.698	0.429	0.694
coordination	ہم آہنگی	0.677	0.454	0.789
coordinator	کوآرڈینیٹر	0.750	0.510	0.850
cop	پولیس	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	نمٹنے	0.592	0.647	0.709
copier	کاپیئر	0.459	0.345	0.390
copilot	کاپیلوٹ	0.640	0.538	0.573
coping	کاپی کرنا	0.562	0.630	0.613
copious	پرکشش	0.427	0.462	0.527
copper	تانبے	0.580	0.260	0.500
copter	کاپیٹر	0.571	0.704	0.569
copy	کاپی	0.460	0.240	0.263
copycat	copycat	0.449	0.580	0.443
copying	کاپی	0.448	0.315	0.404
copyright	کاپی رائٹ	0.458	0.402	0.663
coral	مرجان	0.802	0.231	0.425
coral snake	مرجان سانپ	0.276	0.712	0.607
cord	ہڈی	0.388	0.378	0.358
cordial	سنڈرل	0.823	0.312	0.482
cordless	بے ترتیب	0.667	0.441	0.528
cordon	سنڈرن	0.469	0.317	0.380
corduroy	کورڈوریا	0.570	0.324	0.357
core	کور	0.721	0.378	0.540
cork	کارک	0.347	0.250	0.281
corkscrew	کارکسوچ	0.427	0.443	0.445
corn	مکئی	0.594	0.196	0.292
cornball	کارنبال	0.479	0.378	0.325
cornbread	کنواری	0.643	0.304	0.302
cornea	کارنیا	0.521	0.346	0.443
corned	کنواری	0.459	0.441	0.425
corner	کونے	0.400	0.296	0.366
cornerstone	کنارے	0.550	0.388	0.596
cornet	کونے	0.507	0.520	0.415
cornfield	کارن فیلڈ	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	کارن	0.458	0.441	0.295
cornstarch	کارن اسٹار	0.643	0.299	0.337
corny	کونی	0.448	0.370	0.221
corollary	ارتباط	0.458	0.469	0.366
corona	کورونا	0.818	0.439	0.745
coronary	کورونری	0.567	0.613	0.509
coronation	ورزش	0.792	0.592	0.836
coroner	کورونر	0.323	0.558	0.526
corporal	کارپوریٹ	0.582	0.490	0.596
corporate	کارپوریٹ	0.592	0.454	0.745
corporation	کارپوریشن	0.429	0.332	0.873
corporeal	کارپوریٹ	0.520	0.350	0.461
corps	کور	0.551	0.453	0.483
corpse	لاشیں	0.094	0.657	0.232
corpsman	کورپس	0.439	0.469	0.651
corpus	کورپس	0.543	0.340	0.490
corral	کورلر	0.606	0.662	0.422
correct	درست	0.857	0.306	0.723
correction	اصلاح	0.448	0.485	0.558
correctional	اصلاحی	0.292	0.713	0.602
corrective	اصلاحی	0.448	0.528	0.613
correctness	درستی	0.796	0.450	0.649
correlation	باہمی تعلقات	0.596	0.462	0.571
correlative	ہم آہنگی	0.510	0.402	0.571
correspond	متعلقہ	0.710	0.452	0.545
correspondence	خطوط	0.663	0.423	0.491
correspondent	صحافی	0.573	0.565	0.712
corresponding	متعلقہ	0.740	0.423	0.618
corridor	راہداری	0.604	0.589	0.592
corroborate	تصدیق کرو	0.671	0.471	0.616
corroboration	سنبھالنے	0.625	0.431	0.733
corrosion	سنکنرن	0.156	0.610	0.348
corrosive	corrosive	0.140	0.618	0.570
corrupt	بدعنوانی	0.020	0.806	0.500
corrupting	خرابی	0.062	0.804	0.380
corruption	فساد	0.052	0.830	0.549
corsage	سرکشی	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	کارسیٹ	0.490	0.520	0.381
cortex	کارٹیکس	0.594	0.439	0.529
cortical	cortical	0.380	0.423	0.536
cortisone	Cortisone	0.427	0.395	0.456
corvette	کورویٹ	0.551	0.520	0.598
cosmetic	کاسمیٹک	0.625	0.304	0.308
cosmetics	کاسمیٹکس	0.765	0.464	0.472
cosmic	برہمانڈیی	0.663	0.538	0.692
cosmology	cosmology	0.651	0.438	0.637
cosmopolitan	برہمانڈیی	0.823	0.510	0.760
cosmos	برہمانڈ	0.860	0.478	0.664
cost	لاگت	0.365	0.420	0.439
costly	مہنگی	0.316	0.650	0.642
costume	کپڑے	0.548	0.510	0.374
cosy	آرام دہ	0.847	0.255	0.518
cot	کٹ	0.625	0.230	0.278
cote	کوٹ	0.439	0.344	0.324
cottage	کاٹیج	0.600	0.279	0.361
cotton	کپاس	0.639	0.071	0.240
couch	سوفی	0.594	0.082	0.198
cougar	کوگر	0.438	0.588	0.538
cough	کھانسی	0.255	0.627	0.241
council	کونسل	0.875	0.279	0.635
councilman	کونسلر	0.531	0.367	0.793
counsel	مشورہ	0.594	0.519	0.730
counseling	مشاورت	0.667	0.480	0.704
counsellor	مشیر	0.823	0.327	0.740
counselor	مشیر	0.873	0.365	0.706
count	شمار	0.594	0.389	0.492
countdown	الٹی گنتی	0.438	0.692	0.490
countenance	غلطی	0.635	0.440	0.690
counter	انسداد	0.439	0.478	0.750
counteract	مقابلہ	0.378	0.542	0.688
counterattack	جوابی حملہ	0.281	0.951	0.764
counterbalance	توازن	0.520	0.480	0.627
counterclaim	کا اعلان	0.398	0.760	0.651
counterfeit	جعلی	0.094	0.694	0.451
counterpart	ہم منصب	0.448	0.608	0.577
counterpoint	انسداد پوائنٹ	0.438	0.509	0.538
countess	شمار	0.562	0.440	0.670
countless	بے شمار	0.520	0.566	0.534
country	ملک	0.698	0.394	0.693
countryman	ملکہ	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	دیہی علاقوں	0.732	0.288	0.327
counts	شمار	0.343	0.373	0.500
county	کاؤنٹی	0.479	0.368	0.545
coup	بغاوت	0.275	0.815	0.607
coupe	کوپ	0.479	0.460	0.482
couple	جوڑے	0.806	0.605	0.607
coupled	مل کر	0.612	0.286	0.650
coupling	جوڑی	0.594	0.479	0.555
coupon	کوپن	0.704	0.300	0.421
courage	جرئت	0.830	0.728	0.849
courageous	بہادر	0.918	0.587	0.879
courier	کورئیر	0.551	0.383	0.441
courses	کورسز	0.735	0.412	0.534
coursing	تدریس	0.542	0.472	0.546
court	عدالت	0.479	0.769	0.827
courteous	شائستہ	0.937	0.396	0.529
courtesy	ستارہ	0.927	0.287	0.431
courthouse	عدالت	0.571	0.503	0.818
courtroom	عدالت کے کمرے	0.385	0.670	0.887
courts	عدالتیں	0.367	0.710	0.816
courtship	عدالت	0.667	0.490	0.654
courtside	عدالتوں کو	0.592	0.391	0.434
courtyard	صحن	0.503	0.365	0.355
cousin	کزن	0.675	0.394	0.427
cousins	کزن	0.760	0.409	0.464
cove	کوو	0.500	0.304	0.370
coven	بنے ہوئے	0.458	0.578	0.591
covenant	عہد	0.594	0.462	0.667
cover	کور	0.365	0.240	0.471
coverage	کوریج	0.767	0.413	0.629
covered	احاطہ کرتا ہے	0.562	0.340	0.644
covering	ڈھکنے	0.615	0.382	0.583
covert	پوشیدہ	0.500	0.570	0.508
covet	کویوٹ	0.302	0.779	0.524
coveted	بحالی	0.661	0.730	0.625
cow	گائے	0.449	0.230	0.300
coward	ساتھی	0.102	0.490	0.149
cowardice	ساتھی	0.133	0.621	0.167
cowardly	غدار	0.102	0.385	0.127
cowboy	چرواہا	0.594	0.625	0.695
cowgirl	cowgirl	0.541	0.566	0.554
cowhand	کنوانڈ	0.438	0.480	0.596
cowhide	گہرا	0.458	0.324	0.333
cowl	گلہری	0.427	0.450	0.232
coworker	ساتھی کارکن	0.667	0.490	0.625
coy	coy	0.347	0.330	0.213
coyote	کویوٹ	0.459	0.471	0.387
cozy	آرام دہ	0.910	0.356	0.545
crab	کیکڑے	0.421	0.396	0.330
crabby	کیکڑے	0.198	0.812	0.370
crack	کریک	0.302	0.625	0.400
cracked	پھٹے	0.224	0.520	0.228
cracker	کریکر	0.604	0.343	0.346
crackerjack	کریکرجیک	0.567	0.509	0.426
cracking	کریکنگ	0.327	0.557	0.286
crackle	کچھی	0.327	0.643	0.481
crackpot	کریک پوٹ	0.260	0.602	0.245
cradle	پادری	0.776	0.194	0.333
craft	کرافٹ	0.760	0.321	0.539
crafts	دستکاری	0.667	0.380	0.391
craftsman	دستکاری	0.719	0.310	0.583
craftsmanship	دستکاری	0.823	0.373	0.571
crafty	کشش	0.589	0.679	0.783
craig	کریگ	0.448	0.449	0.490
cram	کرم	0.354	0.730	0.598
crammed	crammed	0.406	0.740	0.466
cramp	چراغ	0.194	0.796	0.340
cramped	کچلنا	0.240	0.567	0.360
cranberry	کرینبیری	0.793	0.330	0.363
cranberry juice	کرینبیری کا رس	0.622	0.321	0.281
crane	کرین	0.396	0.417	0.589
cranial	کرینل	0.354	0.510	0.583
cranium	کرینیم	0.439	0.491	0.725
crank	کرینک	0.448	0.275	0.417
cranky	کرینکی	0.194	0.776	0.396
cranny	کریننی	0.194	0.471	0.250
crap	پٹا	0.083	0.644	0.167
crappy	گندا	0.039	0.582	0.208
craps	کیپس	0.375	0.420	0.273
crash	حادثہ	0.194	0.906	0.355
crass	کچا	0.223	0.490	0.466
crate	کریٹ	0.427	0.173	0.274
crater	crater	0.450	0.647	0.529
crave	دھوکہ	0.625	0.510	0.731
craving	کشش	0.510	0.755	0.636
crawfish	کراوفش	0.510	0.427	0.342
crawl	کرال	0.479	0.519	0.467
crayon	کرایون	0.604	0.260	0.185
crayons	crayons	0.684	0.366	0.405
craze	سنجیدگی	0.255	0.657	0.435
crazed	پاگل	0.153	0.877	0.417
craziness	عظمت	0.238	0.908	0.255
crazy	پاگل	0.156	0.843	0.321
creak	تخلیق	0.344	0.670	0.411
creaking	تخلیق	0.302	0.743	0.415
cream	کریم	0.688	0.259	0.220
creamed	پریشان	0.723	0.273	0.288
creamer	کریمر	0.594	0.192	0.269
creamy	کریمی	0.823	0.337	0.345
crease	تخلیق	0.440	0.286	0.300
create	بنانا	0.786	0.588	0.789
creation	تخلیق	0.927	0.575	0.868
creative	تخلیقی	0.917	0.518	0.788
creativity	تخلیقی	0.938	0.684	0.815
creator	خالق	0.865	0.592	0.856
creature	مخلوق	0.669	0.625	0.620
credence	تصدیق	0.760	0.460	0.737
credential	تصدیق	0.735	0.337	0.597
credentials	اسناد	0.708	0.373	0.675
credibility	اعتبار	0.875	0.427	0.809
credible	معتبر	0.917	0.441	0.750
credit	کریڈٹ	0.673	0.549	0.648
credit card	کریڈٹ کارڈ	0.670	0.550	0.640
creditable	کریڈٹ	0.802	0.510	0.742
credited	کریڈٹ	0.781	0.390	0.691
crediting	کریڈٹنگ	0.673	0.550	0.741
creditor	کریڈٹ	0.479	0.594	0.689
creed	عقیدہ	0.573	0.245	0.544
creek	تخلیق	0.552	0.392	0.330
creep	ریںگنا	0.354	0.647	0.361
creeper	تخلیق	0.429	0.558	0.366
creeping	جھاڑو	0.292	0.613	0.282
creepy	ڈراونا	0.125	0.861	0.373
cremation	ظلم	0.084	0.620	0.420
creole	creole	0.667	0.357	0.523
crepe	کریپ	0.562	0.224	0.349
crescendo	crescendo	0.760	0.575	0.594
crescent	چوتھائی	0.698	0.382	0.407
crest	crest	0.458	0.333	0.333
crestfallen	crestfallen	0.235	0.346	0.175
cretin	cretin	0.265	0.583	0.312
cretins	تخلیق	0.094	0.741	0.328
crevice	کروی	0.361	0.471	0.275
crew	عملے	0.604	0.598	0.735
crewman	عملہ	0.602	0.580	0.548
crib	پکار	0.653	0.240	0.407
cricket	کرکٹ	0.423	0.539	0.370
cried	پکارا	0.167	0.612	0.254
crime	جرم	0.071	0.943	0.630
criminal	مجرمانہ	0.021	0.830	0.529
criminality	جرمانہ	0.122	0.863	0.580
crimp	crimp	0.260	0.557	0.396
crimson	کرمسن	0.667	0.385	0.370
cringe	cringe	0.245	0.840	0.377
cripple	جھنڈا	0.094	0.392	0.161
crippled	خراب	0.035	0.358	0.236
crippling	خرابی	0.156	0.598	0.391
crisis	بحران	0.208	0.811	0.431
crisp	کرکرا	0.776	0.692	0.508
crispy	ہراساں کرنا	0.656	0.550	0.509
criterion	معیار	0.396	0.410	0.736
critic	تنقید	0.264	0.604	0.686
critical	اہم	0.312	0.802	0.545
criticise	تنقید	0.073	0.700	0.452
criticism	تنقید	0.115	0.563	0.505
criticize	تنقید	0.143	0.708	0.473
criticized	تنقید	0.240	0.600	0.311
critique	تنقید	0.302	0.760	0.537
critter	critter	0.542	0.539	0.482
croak	کرک	0.337	0.346	0.298
croc	croc	0.327	0.452	0.451
crock	کرک	0.385	0.412	0.421
crockery	کراکری	0.552	0.216	0.327
crocodile	مگرمچھ	0.344	0.708	0.610
croft	کرغیز	0.531	0.429	0.421
croissant	کریسنٹنٹ	0.745	0.330	0.430
crook	بھوک	0.171	0.765	0.550
crooked	پھنسے ہوئے	0.146	0.594	0.305
crop	فصل	0.615	0.260	0.500
croquet	کرکٹ	0.551	0.519	0.407
cross	کراس	0.448	0.321	0.569
cross country	ملک کے ما بین	0.531	0.441	0.529
crossbow	کراسبو	0.344	0.598	0.560
crossed	کراس	0.431	0.490	0.508
crossfire	کراس فائر	0.316	0.896	0.722
crossing	کراسنگ	0.549	0.349	0.451
crossover	گردش	0.559	0.550	0.500
crosswalk	کراسکاک	0.557	0.441	0.380
crossword	پہیلی	0.611	0.423	0.455
crotch	crotch	0.521	0.637	0.447
crouch	کیچچ	0.281	0.606	0.312
crouched	crouched	0.333	0.363	0.279
crouching	crouching	0.261	0.429	0.345
croupier	croupier	0.531	0.519	0.404
crow	کلو	0.224	0.439	0.363
crowbar	crowbar	0.406	0.531	0.386
crowd	بھیڑ	0.350	0.827	0.731
crowded	ہجوم	0.694	0.286	0.585
crowds	بھیڑ	0.469	0.723	0.806
crown	تاج	0.708	0.572	0.737
crowning	کنواری	0.773	0.594	0.831
crucial	اہم	0.541	0.657	0.777
cruciate	cruciate	0.429	0.435	0.585
crucifix	crucifix	0.469	0.480	0.510
crucifixion	مصیبت	0.135	0.857	0.541
crucify	مصیبت	0.146	0.878	0.573
crud	کرود	0.312	0.330	0.444
crude	خامہ	0.198	0.402	0.357
cruel	ظالمانہ	0.122	0.866	0.391
cruelly	ظالمانہ	0.146	0.790	0.471
cruelty	ظلم	0.092	0.836	0.536
cruise	کروز	0.740	0.442	0.683
cruise ship	کروز جہاز	0.878	0.650	0.500
cruiser	کروزر	0.737	0.490	0.608
cruising	پریشان	0.886	0.580	0.560
crumb	کچلنے	0.417	0.255	0.216
crumble	crumble	0.333	0.480	0.423
crumbling	کچلنے	0.167	0.696	0.308
crummy	کچھی	0.125	0.531	0.224
crunch	بحران	0.292	0.630	0.406
crunchy	کشتی	0.625	0.560	0.539
crusade	صلیب	0.592	0.720	0.709
crusader	صلی اللہ علیہ وسلم	0.439	0.588	0.548
crush	کچلنے	0.271	0.676	0.582
crushed	کچلنے	0.167	0.647	0.300
crusher	کولہو	0.271	0.709	0.598
crushing	کرشنگ	0.219	0.755	0.411
crust	کرسٹ	0.542	0.337	0.456
crusty	crusty	0.625	0.531	0.473
crutch	کرچ	0.302	0.294	0.302
crux	کرک	0.469	0.558	0.519
cry	رونا	0.133	0.627	0.255
crybaby	روتا ہوا بچا	0.375	0.702	0.311
crying	رو رہی ہے	0.153	0.704	0.208
crypt	کرپٹ	0.156	0.431	0.386
cryptic	کرپٹ	0.296	0.516	0.474
cryptography	کرپٹپٹ	0.490	0.415	0.650
crystal	کرسٹل	0.618	0.270	0.508
crystalline	کرسٹلل	0.765	0.235	0.534
crystallization	کرسٹسٹائل	0.600	0.449	0.565
cub	کب	0.646	0.382	0.284
cubby	کیوب	0.354	0.385	0.360
cube	کیوب	0.469	0.226	0.274
cubic	کیوبک	0.458	0.306	0.407
cubicle	کمرہ	0.479	0.343	0.417
cuckold	cuckold	0.210	0.573	0.230
cuckoo	کیک	0.420	0.459	0.284
cucumber	کھیرا	0.490	0.235	0.237
cuddle	کڑھائی	0.885	0.559	0.475
cuddled	cuddled	0.906	0.547	0.567
cuddles	cuddles	0.847	0.382	0.500
cuddling	کڑھائی	0.917	0.562	0.433
cue	اشارہ	0.521	0.433	0.484
cuff	کف	0.469	0.453	0.387
cuisine	کھانا	0.714	0.365	0.390
culinary	پاک	0.654	0.443	0.519
cull	بیل	0.365	0.702	0.464
culminate	ختم	0.667	0.550	0.602
culmination	سزا	0.656	0.586	0.695
culpability	غلطی	0.112	0.745	0.368
culpable	مجرم	0.140	0.700	0.319
culprit	مجرم	0.062	0.676	0.333
cult	مذہب	0.448	0.535	0.648
cultivate	پودے لگانا	0.708	0.410	0.598
cultivated	زراعت	0.837	0.343	0.564
cultivation	پودے	0.625	0.324	0.462
cultural	ثقافتی	0.802	0.390	0.623
culture	ثقافت	0.753	0.304	0.675
cultured	ثقافتی	0.635	0.429	0.625
culvert	پلٹائیں	0.337	0.324	0.343
cumbersome	سنجیدہ	0.259	0.623	0.292
cumulus	سہولس	0.570	0.433	0.432
cunning	ہوشیار	0.604	0.685	0.683
cunt	کینٹ	0.135	0.673	0.377
cup	کپ	0.615	0.167	0.231
cupboard	الماری	0.553	0.200	0.304
cupcake	کیکیک	0.656	0.333	0.344
cupping	کپڑا	0.490	0.610	0.402
cur	کعبہ	0.440	0.519	0.460
curable	قابل عمل	0.823	0.292	0.574
curate	جڑنا	0.726	0.418	0.526
curative	curative	0.667	0.318	0.613
curator	کیریٹر	0.688	0.389	0.688
curb	بند کرو	0.472	0.371	0.402
curd	دباؤ	0.542	0.442	0.278
cure	علاج	0.719	0.377	0.623
curfew	کرفیو	0.219	0.618	0.623
curiosity	تجسس	0.750	0.755	0.463
curious	شوقین	0.635	0.600	0.483
curl	کرول	0.385	0.452	0.351
curling	کرلنگ	0.583	0.592	0.400
currency	کرنسی	0.583	0.418	0.592
current	موجودہ	0.625	0.312	0.612
curriculum	نصاب	0.708	0.306	0.620
curry	کری	0.633	0.345	0.302
curse	لعنت	0.033	0.720	0.375
cursed	لعنت	0.083	0.783	0.393
cursing	لعنت	0.112	0.860	0.446
cursory	کرسر	0.423	0.451	0.431
curt	کچھی	0.245	0.610	0.452
curtail	مختصر	0.306	0.439	0.497
curtailment	زوال	0.230	0.578	0.431
curtain	پردے	0.698	0.278	0.304
curtains	پردے	0.615	0.123	0.342
curtsy	کرسی	0.635	0.412	0.598
curvature	ورزش	0.417	0.367	0.447
curve	وکر	0.480	0.375	0.307
curved	مڑے ہوئے	0.542	0.407	0.337
curvilinear	curvilinear	0.480	0.575	0.411
cushion	کشن	0.653	0.221	0.292
cushy	کشی	0.823	0.283	0.395
cusp	cusp	0.667	0.710	0.700
cuss	cuss	0.354	0.538	0.443
cussed	cussed	0.156	0.625	0.454
custard	قارئین	0.618	0.260	0.293
custodial	احترام	0.418	0.462	0.718
custodian	نگران	0.594	0.625	0.528
custody	حراستی	0.494	0.472	0.675
custom	اپنی مرضی کے مطابق	0.552	0.382	0.688
customary	روایتی	0.700	0.253	0.561
customer	کسٹمر	0.562	0.430	0.673
customized	اپنی مرضی کے مطابق	0.625	0.504	0.590
cut	کٹ	0.490	0.490	0.393
cutaneous	ہلکا پھلکا	0.365	0.370	0.328
cute	پیارا	0.920	0.528	0.579
cuticle	کٹیکل	0.340	0.320	0.377
cutie	پیاری	0.638	0.528	0.464
cutlass	کاش	0.173	0.648	0.528
cutlery	کٹلری	0.552	0.300	0.345
cutoff	منقطع	0.432	0.510	0.518
cutter	کٹر	0.427	0.731	0.583
cutters	کٹر	0.197	0.653	0.491
cutthroat	حلق کاٹنا	0.110	0.823	0.663
cutting	کاٹنے	0.448	0.375	0.536
cutting board	بورڈ کاٹنے	0.337	0.540	0.342
cuttings	کاٹنے	0.479	0.392	0.433
cwt	cwt	0.500	0.410	0.384
cyanide	سنانایڈ	0.229	0.667	0.545
cyberspace	سائبر اسپیس	0.677	0.594	0.611
cycle	سائیکل	0.635	0.400	0.533
cyclical	چاکلیٹ	0.380	0.450	0.554
cyclist	سائیکل سائیکل	0.684	0.582	0.576
cyclone	سائیکل	0.416	0.796	0.673
cylinder	سلنڈر	0.459	0.324	0.447
cylindrical	سلنڈر	0.458	0.294	0.414
cymbal	جھگڑا	0.542	0.363	0.362
cynic	سنک	0.135	0.632	0.473
cynical	سنک	0.156	0.760	0.474
cynicism	سنجیدگی	0.104	0.780	0.454
cyst	سیست	0.173	0.578	0.312
cystic	سستک	0.314	0.481	0.400
cytomegalovirus	cytomegalovirus	0.186	0.657	0.443
cytoplasm	سیوٹپلاسم	0.378	0.442	0.474
czar	جار	0.480	0.348	0.643
dab	ڈب	0.510	0.337	0.340
dabble	ڈوببل	0.550	0.530	0.491
dabbling	ڈوبنگ	0.562	0.726	0.676
dad	والد صاحب	0.857	0.412	0.786
daddy	والد صاحب	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	ڈیمون	0.333	0.490	0.500
daft	ڈافٹ	0.255	0.436	0.157
dagger	خنجر	0.224	0.797	0.613
daily	روزانہ	0.653	0.347	0.473
dainty	ہمت	0.604	0.284	0.424
daiquiri	ڈائیوری	0.670	0.519	0.400
dairy	ڈیری	0.633	0.255	0.462
daisy	گلابی	0.562	0.367	0.333
dak	NO TRANSLATION	0.510	0.417	0.424
dale	ڈیل	0.622	0.270	0.365
dam	ڈیم	0.250	0.553	0.394
damage	نقصان	0.059	0.726	0.403
damaged	نقصان پہنچا	0.104	0.635	0.182
damages	نقصانات	0.082	0.760	0.310
dame	ڈیم	0.694	0.480	0.500
damn	لامحدود	0.073	0.784	0.431
damnation	بدمعاش	0.135	0.750	0.416
damned	نقصان دہ	0.100	0.760	0.465
damp	نم	0.360	0.279	0.210
dampened	جھکا ہوا	0.271	0.422	0.336
damper	نقصان	0.459	0.378	0.473
damsel	بستر	0.719	0.475	0.400
dance	رقص	0.894	0.840	0.551
dancer	رقاصہ	0.740	0.768	0.545
dancing	رقص	0.885	0.868	0.444
dandruff	دیوار	0.398	0.298	0.293
dandy	ڈینڈی	0.673	0.520	0.630
danger	خطرہ	0.115	0.923	0.673
dangerous	خطرناک	0.020	0.941	0.658
dangerously	خطرناک	0.082	0.930	0.564
dangit	NO TRANSLATION	0.396	0.606	0.358
dangle	خطرناک	0.362	0.469	0.375
dank	NO TRANSLATION	0.390	0.381	0.383
dapper	ڈپرپر	0.770	0.560	0.698
dare	ہمت	0.677	0.788	0.684
daredevil	نڈر	0.429	0.714	0.653
daresay	ڈیریے	0.540	0.451	0.490
daring	بہادر	0.583	0.840	0.711
dark	اندھیرے	0.198	0.398	0.426
darken	اندھیرے	0.250	0.471	0.382
darkened	اندھیرے	0.135	0.440	0.452
darkly	اندھیرے میں	0.219	0.548	0.443
darkness	اندھیرے	0.102	0.602	0.418
darkroom	اندھیرا کمرہ	0.188	0.627	0.423
darkside	تاریک پہلو	0.102	0.690	0.365
darling	عزیز	0.885	0.370	0.608
darn	ڈار	0.115	0.765	0.418
dart	ڈارٹ	0.417	0.608	0.500
dash	ڈیش	0.574	0.312	0.324
dashboard	ڈیش بورڈ	0.510	0.371	0.595
dashed	ڈرا ہوا	0.276	0.393	0.338
dashing	ڈشنگ	0.612	0.627	0.799
dastardly	بدقسمتی سے	0.208	0.688	0.270
data	ڈیٹا	0.500	0.250	0.426
database	ڈیٹا بیس	0.604	0.286	0.644
date	تاریخ	0.604	0.231	0.400
datenight	NO TRANSLATION	0.708	0.637	0.518
daughter	بیٹی	0.908	0.415	0.455
