Word	Maori-mi	Valence	Arousal	Dominance
bees	pi	0.562	0.635	0.412
beeswax	beeswax	0.583	0.402	0.375
beetle	pupuhi	0.323	0.356	0.295
befall	Tuhinga ka whai mai	0.520	0.663	0.585
befitting	e tika ana	0.708	0.333	0.394
befriend	aroha	0.930	0.624	0.471
befuddled	Tuhinga o mua	0.156	0.714	0.269
beg	tono	0.292	0.608	0.328
beggar	rawakore	0.240	0.402	0.116
begging	ka tono	0.292	0.461	0.202
begin	timata	0.677	0.569	0.763
beginner	tīmata	0.490	0.480	0.387
beginning	tīmata	0.816	0.528	0.558
beginnings	tīmatanga	0.837	0.527	0.600
begrudge	Tuhinga o mua	0.177	0.731	0.377
begun	tīmata	0.677	0.500	0.404
behappy	NO TRANSLATION	0.875	0.557	0.562
behave	whanonga	0.677	0.363	0.747
behavior	whanonga	0.594	0.442	0.813
behavioral	whanonga	0.612	0.440	0.708
behemoth	ko Pehemoto	0.583	0.781	0.853
behest	Tuhinga o mua	0.602	0.350	0.720
behold	nana	0.610	0.284	0.449
beholden	tirohia	0.296	0.555	0.212
beholder	kaitirotiro	0.714	0.491	0.520
beige	putea	0.490	0.222	0.224
belated	ka hari	0.240	0.400	0.214
belay	Tuhinga	0.500	0.472	0.702
belch	whitiki	0.194	0.562	0.240
belief	whakapono	0.896	0.375	0.656
believable	whakapono	0.866	0.390	0.676
believe	whakapono	0.781	0.370	0.682
believed	whakapono	0.500	0.562	0.547
believer	whakapono	0.725	0.445	0.564
believing	whakapono	0.870	0.418	0.833
belittle	Tuhinga o mua	0.122	0.417	0.250
belittled	whakahinu	0.177	0.392	0.226
bell	pere	0.552	0.510	0.505
bellboy	bellboy	0.542	0.363	0.302
bellhop	bellhop	0.500	0.287	0.318
belligerent	Tuhinga o mua	0.344	0.680	0.594
bellman	Tuhinga o mua	0.540	0.250	0.371
bellow	Tuhinga o mua	0.248	0.337	0.212
bellows	Tuhinga	0.458	0.515	0.429
belly	kopu	0.510	0.388	0.387
bellybutton	taatene	0.531	0.283	0.360
bellyful	kopu	0.347	0.806	0.519
belong	kei roto	0.643	0.405	0.569
belongings	taonga	0.592	0.380	0.750
beloved	e arohaina ana	0.969	0.613	0.708
belt	whitiki	0.541	0.322	0.445
beluga	Tuhinga o mua	0.510	0.333	0.482
bemused	Tuhinga o mua	0.281	0.490	0.278
bench	Tuhinga	0.571	0.289	0.544
bend	piko	0.571	0.324	0.368
bender	Tuhinga o mua	0.490	0.510	0.466
bending	piko	0.448	0.565	0.455
beneath	kei raro	0.354	0.173	0.233
benedictory	Tuhinga o mua	0.677	0.438	0.481
benefactor	kaiawhina	0.833	0.578	0.755
beneficial	painga	0.820	0.579	0.703
beneficiary	kaiwhiwhi	0.776	0.399	0.616
benefit	painga	0.906	0.422	0.806
benevolence	Tuhinga o mua	0.786	0.340	0.717
benevolent	pai	0.786	0.407	0.651
benign	he pai	0.694	0.440	0.509
bent	piko	0.375	0.453	0.298
benzene	benzene	0.439	0.459	0.403
bequeath	Tuhinga o mua	0.743	0.500	0.741
bequest	Tuhinga	0.661	0.398	0.882
bereaved	ka mate	0.104	0.479	0.221
bereavement	Tuhinga o mua	0.265	0.677	0.500
bereft	Tuhinga o mua	0.229	0.490	0.336
beret	Tuhinga	0.542	0.240	0.327
bergamot	bergamot	0.510	0.365	0.339
berlin	potae	0.592	0.423	0.571
berserk	Tuhinga o mua	0.398	0.556	0.480
berth	papa	0.295	0.337	0.596
beryllium	beryllium	0.417	0.412	0.425
beseech	inoi	0.330	0.441	0.600
beset	takahi	0.385	0.717	0.317
bestdayever	bestdayever	0.760	0.646	0.593
bestfeeling	Tuhinga	0.806	0.509	0.625
bestfriends	hoa pai	0.934	0.662	0.647
bestial	Tuhinga o mua	0.260	0.761	0.674
besties	pai rawa	0.888	0.509	0.614
bestow	hoatu	0.656	0.560	0.642
bestseller	bestseller	0.771	0.643	0.700
bet	pene	0.385	0.698	0.432
beta	beta	0.710	0.370	0.439
betray	tinihanga	0.042	0.870	0.536
betrayal	tinihanga	0.083	0.719	0.418
betrayed	tukuna	0.122	0.769	0.308
betrothed	marena	0.833	0.630	0.667
betterment	te pai	0.898	0.536	0.769
betting	peti	0.237	0.804	0.411
betty	Tuhinga o mua	0.542	0.358	0.381
bevel	pene	0.757	0.406	0.454
beverage	inu	0.635	0.490	0.389
bevy	Tuhinga o mua	0.429	0.460	0.541
beware	kia tupato	0.151	0.596	0.518
bewilder	kapi	0.306	0.571	0.289
bewildered	ka poipoia	0.230	0.630	0.300
bewilderment	haumaru	0.312	0.716	0.216
bias	Tuhinga	0.400	0.370	0.541
biased	Tuhinga	0.271	0.302	0.368
bib	tahua	0.385	0.396	0.339
bible	pukapuka	0.719	0.225	0.726
biblical	Paipera	0.635	0.304	0.712
bibliography	bibliography	0.622	0.204	0.528
bicarbonate	bicarbonate	0.479	0.337	0.438
bicentennial	bicentennial	0.541	0.423	0.507
biceps	biceps	0.592	0.588	0.602
bicker	Tuhinga o mua	0.143	0.643	0.552
bickering	Tuhinga o mua	0.122	0.800	0.536
bicolor	Tuhinga o mua	0.580	0.327	0.404
bicycle	keke	0.708	0.519	0.425
bid	tono	0.760	0.530	0.655
bidder	kaituku	0.465	0.474	0.433
bidding	tono	0.586	0.644	0.509
bide	NO TRANSLATION	0.368	0.407	0.282
biennial	Tuhinga o mua	0.531	0.309	0.353
bier	NO TRANSLATION	0.497	0.448	0.407
bifurcation	Tuhinga o mua	0.385	0.625	0.352
big	nui	0.802	0.588	0.812
bigamy	Tuhinga o mua	0.327	0.696	0.482
bigday	nui	0.796	0.689	0.596
biggestfear	NO TRANSLATION	0.062	0.730	0.480
biggie	nui	0.531	0.481	0.500
bighorn	whanui	0.480	0.547	0.580
bigmouth	nui	0.417	0.577	0.430
bigot	nui	0.479	0.745	0.517
bigoted	nui	0.153	0.760	0.462
bigotry	nui	0.356	0.737	0.481
bike	pahikara	0.708	0.500	0.333
biker	biker	0.604	0.710	0.567
bikini	bikini	0.730	0.639	0.353
bilateral	Tuhinga	0.633	0.343	0.491
bilayer	bilayer	0.438	0.398	0.388
bile	bile	0.157	0.461	0.324
bilge	Tuhinga	0.316	0.392	0.412
bilingual	reo rua	0.735	0.490	0.606
bill	pire	0.396	0.402	0.535
billboard	panuku	0.594	0.317	0.481
billet	Tuhinga	0.479	0.583	0.500
billiard	piriti	0.719	0.616	0.543
billiards	piriti	0.643	0.559	0.387
billing	putea	0.406	0.481	0.670
billion	piriona	0.719	0.564	0.782
billionaire	piriona	0.806	0.667	0.923
billy	nama	0.490	0.397	0.375
bimbo	bimbo	0.396	0.370	0.300
bimonthly	bimonthly	0.408	0.298	0.471
bin	pene	0.422	0.304	0.327
binary	Tuhinga	0.490	0.356	0.420
bind	herea	0.398	0.462	0.448
binder	kaipupuri	0.438	0.250	0.308
bindery	herea	0.548	0.388	0.482
binding	herea	0.438	0.425	0.640
bing	bing	0.573	0.453	0.415
binge	Tuhinga o mua	0.304	0.650	0.500
bingo	bingo	0.735	0.667	0.429
binocular	binocular	0.531	0.344	0.426
binoculars	Tuhinga o mua	0.490	0.309	0.411
binomial	Tuhinga	0.600	0.406	0.426
bio	koiora	0.612	0.225	0.490
biochemical	koiora	0.367	0.481	0.618
biochemist	biochemist	0.471	0.449	0.717
biochemistry	biochemistry	0.552	0.531	0.596
biogenesis	te koiora	0.594	0.442	0.697
biographer	kaituhi	0.708	0.427	0.617
biography	koiora	0.698	0.229	0.718
biological	koiora	0.590	0.410	0.615
biologist	kairangahau	0.625	0.453	0.693
biology	koiora	0.479	0.274	0.546
bionic	bionic	0.571	0.570	0.788
biopsy	koiora	0.323	0.657	0.481
biosphere	koiora	0.684	0.351	0.579
bipartite	Tuhinga o mua	0.365	0.480	0.464
bipolar	Tuhinga o mua	0.208	0.685	0.426
birch	birch	0.562	0.346	0.382
bird	manu	0.729	0.357	0.364
birdcage	manu	0.480	0.398	0.318
birdie	manuie	0.594	0.394	0.407
birdman	manu	0.490	0.567	0.604
birth	whanau	0.896	0.655	0.536
birthday	rā whānau	0.969	0.844	0.575
birthing	Tuhinga	0.796	0.877	0.519
birthmark	whanau whanau	0.630	0.461	0.500
birthplace	wahi whanau	0.781	0.290	0.491
birthright	whanau whanau	0.684	0.417	0.714
bis	NO TRANSLATION	0.440	0.420	0.345
biscuit	keke	0.888	0.260	0.231
bisexual	bisexual	0.438	0.765	0.459
bishop	pīhopa	0.594	0.184	0.725
bison	bison	0.573	0.433	0.557
bisque	bisiki	0.693	0.443	0.312
bistro	bistro	0.594	0.472	0.396
bit	bit	0.427	0.310	0.225
bitch	tohua	0.276	0.740	0.343
bitchy	paku	0.188	0.700	0.373
bite	ngau	0.219	0.796	0.510
biter	NO TRANSLATION	0.260	0.598	0.500
bitsy	bitsy	0.510	0.388	0.382
bitter	kawa	0.218	0.627	0.411
bitterly	kawa	0.194	0.685	0.362
bitterness	kawa	0.115	0.633	0.270
bittersweet	Tuhinga o mua	0.469	0.569	0.474
bitty	bitty	0.469	0.271	0.257
bitumen	bitumen	0.375	0.235	0.307
biweekly	Tuhinga	0.581	0.337	0.455
biz	biz	0.500	0.473	0.473
bizarre	haumaru	0.379	0.620	0.392
blab	papa	0.438	0.425	0.353
blabbermouth	karapeti	0.323	0.640	0.422
black	pango	0.326	0.339	0.390
black snake	paraoa pango	0.104	0.860	0.612
blackberry	parakipere	0.667	0.413	0.453
blackbird	pango	0.520	0.340	0.405
blackboard	papa pango	0.469	0.255	0.287
blacken	pango	0.208	0.500	0.228
blackface	pango	0.302	0.490	0.441
blackjack	pango	0.419	0.679	0.452
blacklist	pango pango	0.133	0.750	0.396
blackmail	panui	0.094	0.802	0.482
blackmailer	panuku	0.092	0.780	0.472
blackness	pango	0.260	0.480	0.406
blackout	pango	0.126	0.530	0.349
blacksmith	parakene	0.480	0.531	0.702
bladder	potae	0.406	0.412	0.330
blade	kau	0.378	0.602	0.594
blame	hara	0.115	0.640	0.309
blameless	harakore	0.759	0.196	0.343
bland	Tuhinga o mua	0.300	0.226	0.157
blank	tuwhera	0.531	0.229	0.250
blanket	paraikete	0.740	0.132	0.391
blare	Tuhinga o mua	0.439	0.561	0.519
blase	NO TRANSLATION	0.420	0.310	0.412
blasphemous	kohukohu	0.210	0.755	0.491
blasphemy	kohukohu	0.146	0.794	0.406
blast	pupuhi	0.167	0.929	0.777
blaster	whero	0.459	0.538	0.554
blastoff	Tuhinga o mua	0.357	0.865	0.736
blatant	Tuhinga	0.327	0.677	0.675
blather	tetahi atu	0.344	0.481	0.382
blaze	wera	0.698	0.467	0.658
blazer	paraka	0.635	0.385	0.417
blazing	wera	0.594	0.896	0.735
bleach	te horoi	0.336	0.282	0.337
bleak	pouri	0.204	0.427	0.272
bleed	ka pupuhi	0.041	0.843	0.346
bleeder	kaiwhakahau	0.260	0.852	0.356
bleeding	toto	0.135	0.817	0.408
bleep	pupuhi	0.479	0.667	0.345
blemish	he koha	0.219	0.558	0.272
blemished	he kino	0.173	0.469	0.370
blend	whakakotahi	0.469	0.452	0.463
blender	Tuhinga o mua	0.602	0.534	0.351
blending	whakakotahi	0.560	0.418	0.637
bless	manaakitia	0.929	0.269	0.588
blessed	manaakitia	0.910	0.279	0.696
blessing	manaaki	0.929	0.264	0.800
blessings	manaaki	0.929	0.361	0.623
bleu	parauri	0.460	0.354	0.379
blight	pupuhi	0.271	0.771	0.429
blighted	ka pakaru	0.146	0.615	0.296
blimp	blimp	0.600	0.410	0.532
blind	matapo	0.156	0.360	0.184
blinded	matapo	0.245	0.471	0.231
blindfold	matapihi	0.448	0.684	0.337
blindfolded	he mea hipoki	0.208	0.564	0.209
blinding	matapo	0.304	0.596	0.406
blindly	maata	0.439	0.598	0.278
blindness	matapo	0.245	0.480	0.196
blink	pupuhi	0.552	0.316	0.324
blip	pupuhi	0.529	0.461	0.418
bliss	Tuhinga o mua	0.816	0.500	0.782
blissful	koa	0.885	0.639	0.676
blister	panuku	0.407	0.538	0.402
blistering	pupuhi	0.344	0.569	0.390
blitz	blitz	0.417	0.722	0.789
blizzard	Tuhinga o mua	0.375	0.726	0.417
bloat	parauri	0.229	0.694	0.298
bloated	ka maama	0.167	0.593	0.424
blob	pakaru	0.500	0.376	0.298
block	poraka	0.286	0.350	0.402
blockade	whakapae	0.380	0.519	0.510
blockage	whakataka	0.250	0.608	0.444
blockbuster	pakaru	0.730	0.676	0.883
blockhead	poraka	0.163	0.333	0.148
blog	rangitaki	0.639	0.390	0.432
bloke	parake	0.450	0.479	0.545
blond	parauri	0.590	0.490	0.490
blonde	parauri	0.698	0.545	0.412
blood	toto	0.219	0.684	0.585
bloodbath	toto toto	0.060	0.971	0.475
bloodhound	toto toto	0.327	0.462	0.538
bloodless	kore toto	0.292	0.390	0.212
bloodline	te toto	0.510	0.657	0.604
bloodshed	te toto	0.048	0.942	0.525
bloodshot	whakaheke toto	0.188	0.810	0.482
bloodstream	te toto	0.552	0.530	0.528
bloodthirsty	te toto	0.052	0.804	0.644
bloody	toto	0.031	0.910	0.518
bloom	puawai	0.816	0.453	0.587
bloomers	pupuhi	0.521	0.587	0.395
blooming	pupuhi	0.860	0.452	0.593
blossom	puawai	0.792	0.275	0.309
blot	horoia	0.365	0.304	0.223
blotched	horoia	0.133	0.562	0.264
blotter	horoia	0.360	0.298	0.280
blouse	koti	0.580	0.190	0.302
blow	pupuhi	0.316	0.750	0.570
blower	pupuhi	0.564	0.550	0.536
blowfish	pupuhi	0.344	0.420	0.389
blowing	pupuhi	0.521	0.472	0.434
blowjob	pupuhi	0.460	0.784	0.387
blown	pupuhi	0.333	0.548	0.412
blowout	Tuhinga	0.398	0.792	0.616
blowtorch	Tuhinga o mua	0.520	0.730	0.510
blubber	pupuhi	0.388	0.260	0.360
bluddy	Tuhinga o mua	0.312	0.528	0.442
blue	puru	0.646	0.137	0.291
blue spruce	pururangi puru	0.559	0.335	0.364
blueberry	puruhi	0.656	0.185	0.365
bluebird	bluebird	0.573	0.350	0.450
bluegrass	pururangi	0.573	0.441	0.395
bluejay	bluejay	0.635	0.520	0.310
blueprint	mahere	0.490	0.173	0.425
blues	Tuhinga	0.469	0.220	0.287
bluff	bluff	0.418	0.286	0.377
bluish	pupuhi	0.604	0.245	0.382
blunder	pakaru	0.135	0.635	0.145
blunt	tangi	0.551	0.680	0.925
blur	kopiri	0.268	0.471	0.205
blurred	ka pouri	0.320	0.367	0.231
blurry	pupuhi	0.059	0.385	0.218
blurt	pupuhi	0.408	0.439	0.441
blush	whakakore	0.698	0.610	0.445
blushing	pupuhi	0.510	0.789	0.288
boa	NO TRANSLATION	0.255	0.569	0.542
boa constrictor	NO TRANSLATION	0.198	0.784	0.609
boar	Tuhinga o mua	0.406	0.500	0.351
board	poari	0.592	0.255	0.385
board game	poari poari	0.711	0.490	0.349
boarder	NO TRANSLATION	0.604	0.440	0.475
boarding	te poari	0.531	0.402	0.534
boardroom	te poari	0.555	0.566	0.661
boards	papa	0.469	0.270	0.524
boardwalk	Tuhinga o mua	0.643	0.481	0.549
boast	whakapehapeha	0.520	0.586	0.569
boastful	whakapehapeha	0.490	0.806	0.695
boasting	whakapehapeha	0.417	0.620	0.602
boat	poti	0.516	0.420	0.554
boathouse	poti	0.592	0.380	0.404
boating	Tuhinga o mua	0.638	0.613	0.557
boatload	pati waka	0.365	0.415	0.485
boatman	Tuhinga o mua	0.592	0.573	0.562
bobbin	bobbin	0.429	0.472	0.353
bobcat	bobcat	0.562	0.490	0.529
bobsled	whakahekehia	0.667	0.613	0.325
bode	putea	0.344	0.406	0.411
bodega	Tuhinga o mua	0.573	0.307	0.398
bodice	tinana	0.390	0.471	0.386
bodily	tinana	0.594	0.481	0.557
body	tinana	0.694	0.461	0.571
bodyguard	kaitiaki	0.510	0.710	0.754
bog	Tuhinga o mua	0.302	0.361	0.365
bogey	bogey	0.380	0.519	0.368
bogeyman	bogeyman	0.388	0.708	0.517
bogus	pupuhi	0.219	0.353	0.144
bohemian	bohemian	0.622	0.500	0.407
boil	kohuatia	0.417	0.684	0.433
boiler	waahi	0.561	0.590	0.509
boilerplate	Tuhinga o mua	0.398	0.519	0.387
boiling	kohua	0.302	0.690	0.526
boisterous	haurangi	0.385	0.806	0.565
bold	maia	0.490	0.271	0.483
boldness	maia	0.806	0.684	0.814
bollocks	poraka	0.448	0.471	0.327
bolster	whakatairanga	0.708	0.471	0.569
bolt	potae	0.354	0.363	0.426
bolus	bolus	0.426	0.491	0.352
bomb	poma	0.167	0.912	0.750
bombard	pakaru	0.156	0.961	0.777
bombardier	Tuhinga o mua	0.240	0.863	0.787
bombardment	Tuhinga o mua	0.146	0.959	0.742
bombed	pakaru	0.051	0.851	0.627
bomber	pupuhi	0.125	0.837	0.810
bombers	potae	0.173	0.920	0.787
bombing	pakaru	0.167	0.963	0.732
bombshell	Tuhinga o mua	0.327	0.868	0.693
bonanza	bonanza	0.875	0.410	0.683
bonbon	NO TRANSLATION	0.865	0.551	0.446
bond	here	0.667	0.519	0.630
bondage	nohohere	0.146	0.705	0.355
bonding	herea	0.594	0.442	0.509
bonds	here	0.740	0.472	0.583
bondsman	Tuhinga o mua	0.469	0.497	0.675
bone	wheua	0.337	0.370	0.413
bonehead	wheua	0.337	0.521	0.518
boner	pai	0.344	0.612	0.393
bones	wheua	0.281	0.343	0.358
bonfire	te rama	0.480	0.719	0.473
bong	Tuhinga o mua	0.333	0.566	0.375
bonkers	Tuhinga o mua	0.306	0.847	0.278
bonne	NO TRANSLATION	0.448	0.395	0.362
bonnet	bonnet	0.406	0.509	0.473
bonny	Tuhinga o mua	0.561	0.404	0.444
bonsai	Tuhinga o mua	0.714	0.235	0.375
bonus	bonus	0.857	0.620	0.682
bony	Tuhinga o mua	0.445	0.462	0.330
boo	Tuhinga	0.153	0.676	0.309
boob	boob	0.694	0.600	0.392
booby	Tuhinga	0.396	0.423	0.185
booger	Tuhinga o mua	0.399	0.537	0.427
boogeyman	boogeyman	0.292	0.559	0.567
boogie	boogie	0.590	0.543	0.400
book	pukapuka	0.802	0.210	0.606
bookcase	pukapuka	0.553	0.221	0.490
bookie	pukapuka	0.344	0.633	0.618
booking	te tuhi	0.708	0.503	0.583
bookish	pukapuka	0.604	0.236	0.430
bookkeeper	kaitiaki pukapuka	0.480	0.363	0.468
bookkeeping	pukapuka	0.520	0.214	0.592
booklet	pukapuka	0.510	0.270	0.351
bookmaker	kaituhi	0.583	0.804	0.633
bookmark	tohu tohu	0.543	0.441	0.415
books	pukapuka	0.729	0.115	0.430
bookseller	kaihoko pukapuka	0.583	0.317	0.456
bookshop	pukapuka pukapuka	0.688	0.291	0.389
bookstore	whare pukapuka	0.771	0.180	0.503
bookworm	pukapuka pukapuka	0.563	0.337	0.316
boom	Tuhinga o mua	0.604	0.655	0.731
boomer	boomer	0.480	0.539	0.441
boomerang	boomerang	0.531	0.625	0.500
booming	Tuhinga	0.688	0.554	0.661
boon	Tuhinga o mua	0.878	0.294	0.642
boooo	NO TRANSLATION	0.271	0.549	0.255
boost	whakanui	0.865	0.730	0.750
booster	Tuhinga o mua	0.755	0.600	0.800
boot	te whawhai	0.438	0.650	0.625
booth	potae	0.531	0.400	0.310
bootleg	bootleg	0.357	0.519	0.466
bootlegger	bootlegger	0.354	0.649	0.541
boots	potae	0.602	0.255	0.350
booty	taonga	0.663	0.587	0.784
booze	Tuhinga	0.265	0.745	0.431
bop	Tuhinga	0.429	0.490	0.426
bopper	bopper	0.398	0.530	0.385
border	rohe	0.406	0.382	0.424
bordering	tata	0.643	0.382	0.438
borderline	raina	0.449	0.520	0.490
bore	whanau	0.417	0.440	0.455
boreal	koha	0.582	0.348	0.400
bored	pakaru	0.153	0.167	0.196
boredom	Tuhinga o mua	0.167	0.139	0.255
borer	Tuhinga o mua	0.302	0.549	0.578
boring	maaka	0.194	0.217	0.125
born	whanau	0.865	0.509	0.591
boron	boron	0.441	0.370	0.375
borough	rohe	0.429	0.343	0.380
borrow	nama	0.398	0.573	0.282
borrower	kaihoko	0.439	0.423	0.763
bosom	Tuhinga o mua	0.612	0.588	0.404
boss	rangatira	0.310	0.627	0.954
bossy	rangatira	0.240	0.824	0.750
boston	boston	0.643	0.380	0.580
botanical	huawhenua	0.660	0.259	0.491
botanist	kaipupuri	0.651	0.240	0.456
botany	botany	0.604	0.201	0.500
bother	whakataka	0.208	0.780	0.370
bothering	Tuhinga o mua	0.208	0.764	0.449
bottle	pounamu	0.469	0.236	0.336
bottleneck	putea	0.284	0.471	0.287
bottling	Tuhinga o mua	0.365	0.333	0.370
bottom	raro	0.417	0.370	0.291
bottomless	korekore	0.310	0.470	0.368
botulism	Tuhinga	0.292	0.575	0.386
boulder	toka	0.461	0.309	0.531
bounce	pounamu	0.375	0.633	0.386
bouncer	Tuhinga o mua	0.490	0.653	0.655
bouncy	bouncy	0.562	0.565	0.429
bound	herea	0.417	0.667	0.310
boundary	rohe	0.561	0.427	0.518
boundless	kore	0.684	0.642	0.652
bounds	Tuhinga	0.378	0.426	0.604
bountiful	pounamu	0.854	0.596	0.759
bounty	Tuhinga	0.760	0.755	0.833
bouquet	te poro	0.724	0.352	0.306
bourbon	pounamu	0.602	0.490	0.517
bourgeois	bourgeois	0.439	0.593	0.682
bourgeoisie	bourgeoisie	0.357	0.417	0.767
bourse	Tuhinga	0.530	0.230	0.336
bout	pupuhi	0.208	0.808	0.679
boutique	toa	0.745	0.490	0.441
bouttime	te tukinga	0.588	0.373	0.410
bovine	bovine	0.449	0.255	0.353
bow	kopere	0.530	0.306	0.408
bowed	piko	0.410	0.418	0.368
bowel	te kiri	0.306	0.417	0.391
bowels	whekau	0.194	0.448	0.362
bowl	peihana	0.625	0.377	0.358
bowler	kaituku	0.552	0.633	0.481
bowling	peti	0.656	0.431	0.309
bowls	nga peihana	0.551	0.280	0.277
box	pouaka	0.500	0.179	0.312
boxcar	pouaka	0.420	0.469	0.421
boxer	kaikemeke	0.490	0.810	0.802
boxers	kaitakakemeke	0.375	0.880	0.654
boxing	kokemeke	0.427	0.854	0.645
boy	tama	0.646	0.392	0.445
boycott	whakaheke	0.112	0.690	0.505
boyfriend	hoa	0.781	0.604	0.547
boyhood	te tamaiti	0.729	0.745	0.500
boyish	pakuhi	0.698	0.562	0.462
boysenberry	boysenberry	0.646	0.409	0.475
bozo	bozo	0.388	0.364	0.298
bra	papa	0.672	0.529	0.509
brace	tohua	0.610	0.385	0.364
bracelet	poroporo	0.776	0.340	0.322
braces	Tuhinga o mua	0.500	0.337	0.568
brachial	Tuhinga o mua	0.388	0.363	0.464
bracket	papanga	0.490	0.350	0.682
brackets	nga tohu	0.573	0.281	0.435
brackish	whakahirahira	0.469	0.368	0.421
brad	Tuhinga o mua	0.490	0.385	0.402
brag	whakapehapeha	0.347	0.545	0.578
braid	pakari	0.427	0.222	0.216
brain	roro	0.667	0.441	0.823
brainless	matekore	0.138	0.310	0.224
brains	whakaaro	0.663	0.557	0.722
brainstorm	whakawhitiwhiti whakaaro	0.794	0.784	0.636
brainwash	Tuhinga o mua	0.198	0.647	0.481
brainy	Tuhinga	0.708	0.520	0.648
brake	whati	0.312	0.481	0.310
bran	harani	0.688	0.433	0.483
branch	peka	0.538	0.206	0.250
branching	whakawhitinga	0.520	0.422	0.472
brand	waitohu	0.562	0.284	0.547
brandy	tohu	0.600	0.590	0.487
brash	paraka	0.360	0.814	0.552
brass	parahi	0.500	0.320	0.490
brass knuckle	parahi	0.406	0.449	0.518
brassiere	brassiere	0.510	0.469	0.336
brat	Tuhinga	0.312	0.440	0.231
bratwurst	bratwurst	0.510	0.490	0.464
bravado	bravado	0.479	0.510	0.527
brave	toa	0.837	0.750	0.917
bravery	toa	0.898	0.745	0.868
brawl	Tuhinga o mua	0.104	0.938	0.603
brawn	aukati	0.438	0.402	0.544
brazen	maroke	0.292	0.640	0.518
breach	pakaru	0.177	0.745	0.423
bread	taro	0.660	0.314	0.342
breadth	whānui	0.667	0.490	0.644
break	pakaru	0.610	0.265	0.370
breakable	ka taea	0.194	0.667	0.408
breakaway	breakaway	0.479	0.802	0.519
breakdown	Tuhinga o mua	0.365	0.423	0.361
breaker	kaihoe	0.323	0.527	0.520
breakers	Tuhinga o mua	0.469	0.588	0.439
breakfast	parakuihi	0.885	0.330	0.429
breaking and entering	pakaru me te tomo	0.418	0.729	0.500
breakingnews	pakaruhanga	0.500	0.552	0.607
breakneck	takahia	0.254	0.833	0.604
breakthrough	Tuhinga o mua	0.680	0.525	0.718
breakup	pakaru	0.250	0.720	0.357
breast	te u	0.753	0.429	0.500
breath	hau	0.684	0.392	0.451
breathe	hau	0.833	0.373	0.518
breather	hemo	0.624	0.471	0.388
breathless	korekore	0.323	0.490	0.222
breathtaking	whakahihi	0.936	0.792	0.921
breech	Tuhinga o mua	0.500	0.637	0.422
breeches	Tuhinga o mua	0.365	0.457	0.333
breed	whanau	0.490	0.441	0.578
breeder	kaihoko	0.645	0.481	0.605
breeding	whakatipu	0.667	0.481	0.610
breeze	hau	0.837	0.284	0.370
breezy	haurangi	0.531	0.472	0.482
brethren	teina	0.917	0.380	0.641
breve	NO TRANSLATION	0.535	0.365	0.191
brevity	Tuhinga o mua	0.459	0.434	0.375
brew	Tuhinga o mua	0.740	0.538	0.758
brewery	Tuhinga o mua	0.710	0.622	0.510
brewing	te hanga	0.740	0.593	0.609
briar	pakari	0.493	0.375	0.407
bribe	putea	0.112	0.690	0.472
bribery	hokohoko	0.135	0.775	0.585
brick	pereki	0.217	0.418	0.368
bridal	marena	0.823	0.655	0.596
bride	wahine marena hou	0.840	0.708	0.579
bridegroom	marena hou	0.809	0.736	0.527
bridesmaid	wahine wahine	0.748	0.519	0.618
bridge	piriti	0.625	0.324	0.519
bridle	paraire	0.427	0.367	0.386
brief	poto	0.469	0.300	0.279
briefcase	putea	0.542	0.206	0.442
briefing	korero poto	0.612	0.333	0.702
briefly	poto	0.686	0.314	0.330
brig	paraihe	0.573	0.539	0.500
brigade	piripi	0.604	0.710	0.828
bright	marama	0.890	0.527	0.812
brighten	kanapa	0.760	0.547	0.649
brightens	kanapa	0.771	0.611	0.613
brighter	maama	0.918	0.698	0.833
brightness	marama	0.938	0.623	0.660
brilliance	marama	0.990	0.673	0.830
brilliant	maama	0.939	0.575	0.923
brim	Tuhinga o mua	0.469	0.333	0.330
brimming	Tuhinga o mua	0.656	0.690	0.758
brimstone	te whanariki	0.357	0.520	0.440
brine	paraoa	0.333	0.481	0.361
bring	kawe	0.635	0.460	0.462
brink	Tuhinga o mua	0.375	0.413	0.356
brisk	Tuhinga o mua	0.719	0.745	0.742
brisket	Tuhinga o mua	0.552	0.378	0.222
bristle	Tuhinga o mua	0.375	0.375	0.326
brittle	Tuhinga o mua	0.276	0.490	0.272
bro	bro	0.794	0.349	0.684
broach	pakaru	0.438	0.439	0.675
broad	whānui	0.762	0.365	0.637
broadcast	whakawhitinga	0.615	0.587	0.355
broadcasting	päpäho	0.542	0.700	0.706
broaden	whakawhānui	0.678	0.602	0.610
broadside	whānui	0.459	0.316	0.462
broadsword	kupuhipa	0.469	0.573	0.615
brocade	poroporo	0.500	0.327	0.464
broccoli	broccoli	0.469	0.200	0.283
brochure	panui	0.552	0.226	0.391
broil	kohua	0.510	0.404	0.330
broke	takahia	0.245	0.590	0.370
broken	pakaru	0.062	0.500	0.293
brokenheart	NO TRANSLATION	0.115	0.577	0.343
brokenhearted	te ngakau pouri	0.130	0.598	0.227
broker	kaihokohoko	0.582	0.462	0.600
brokerage	Tuhinga o mua	0.479	0.500	0.500
bromide	pupuhi	0.347	0.425	0.411
bronco	bronco	0.500	0.510	0.473
bronze	parahi	0.622	0.333	0.526
brooch	Tuhinga o mua	0.531	0.260	0.380
brood	Tuhinga	0.633	0.519	0.434
