Word	Thai-th	Valence	Arousal	Dominance
childbirth	การคลอดบุตร	0.604	0.861	0.673
childhood	วัยเด็ก	0.865	0.413	0.307
childish	หน่อมแน้ม	0.573	0.442	0.230
childless	ไม่มีบุตร	0.310	0.400	0.396
childlike	ไร้เดียงสา	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	เด็ก ๆ	0.857	0.538	0.435
chili	พริก	0.592	0.566	0.433
chill	เย็น	0.837	0.206	0.482
chilled	แช่เย็น	0.521	0.340	0.482
chilling	หนาวเหน็บ	0.208	0.850	0.358
chilly	เย็น	0.329	0.459	0.408
chime	ความคล้องจอง	0.573	0.541	0.464
chimera	ความเพ้อฝัน	0.292	0.582	0.372
chimes	เสียงกังวาน	0.625	0.490	0.402
chimney	ปล่องไฟ	0.583	0.286	0.225
chimp	ชิมแปนซี	0.394	0.588	0.345
chimpanzee	ลิงชิมแปนซี	0.500	0.633	0.387
chin	คาง	0.571	0.310	0.269
china	ประเทศจีน	0.561	0.443	0.556
chinchilla	สัตว์ชนิดหนึ่ง	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	Chinook	0.408	0.497	0.491
chip	ชิป	0.479	0.382	0.452
chipmunk	กระรอกชนิดหนึ่ง	0.573	0.562	0.409
chipper	ย่อย	0.418	0.588	0.500
chipping	การแกะ	0.354	0.452	0.353
chiropractor	หมอนวด	0.420	0.549	0.651
chirp	เจี๊ยบ	0.469	0.602	0.365
chirping	เจี๊ยบ	0.500	0.463	0.360
chisel	สิ่ว	0.469	0.404	0.452
chiseler	chiseler	0.429	0.606	0.464
chit	โพย	0.490	0.352	0.321
chitchat	การคุยกันเล่น	0.673	0.455	0.403
chivalry	อัศวิน	0.857	0.380	0.848
chloride	คลอไรด์	0.265	0.387	0.474
chlorine	คลอรีน	0.306	0.327	0.332
chloroform	คลอโรฟอร์ม	0.281	0.370	0.393
chocolate	ช็อคโกแลต	0.885	0.480	0.418
choice	ทางเลือก	0.745	0.520	0.664
choir	คายกคณะ	0.704	0.298	0.473
choke	ตัน	0.167	0.788	0.676
cholera	อหิวาตกโรค	0.020	0.867	0.507
cholesterol	คอเลสเตอรอล	0.198	0.583	0.398
choose	เลือก	0.615	0.542	0.648
choosing	เลือก	0.719	0.529	0.689
choosy	จู้จี้จุกจิก	0.280	0.760	0.712
chop	สับ	0.250	0.655	0.467
chopper	มีด	0.594	0.560	0.509
choppers	สับ	0.469	0.745	0.691
chopping	การสับ	0.560	0.625	0.362
chops	สับ	0.612	0.420	0.269
choral	ร้องเพลง	0.852	0.290	0.421
chord	คอร์ด	0.729	0.394	0.539
chords	คอร์ด	0.639	0.406	0.388
chore	งานบ้าน	0.406	0.462	0.500
choreographer	นักออกแบบท่าเต้น	0.646	0.639	0.625
choreography	การออกแบบท่าเต้น	0.812	0.750	0.547
chorus	การร้องพร้อมกัน	0.620	0.417	0.500
chosen	ได้รับการแต่งตั้ง	0.865	0.449	0.833
chow	หม้าจู	0.573	0.490	0.390
chowder	ปลาและหอยต้มกับหมูและผัก	0.510	0.324	0.241
christ	คริสต์	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	การขนานนาม	0.725	0.382	0.650
christian	คริสเตียน	0.760	0.241	0.591
christmas	คริสต์มาส	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	เกี่ยวกับวันคริสต์มาส	0.875	0.698	0.602
christmastime	เทศกาลคริสต์มาส	0.837	0.588	0.515
chromatic	รงค์	0.407	0.413	0.435
chromatography	โค	0.480	0.537	0.535
chrome	โครเมียม	0.582	0.373	0.421
chromium	โครเมียม	0.458	0.404	0.447
chromosome	โครโมโซม	0.500	0.296	0.548
chronic	เรื้อรัง	0.255	0.615	0.464
chronicle	ประวัติการณ์	0.427	0.571	0.586
chronograph	โครโนกราฟ	0.500	0.392	0.529
chronological	ตามลำดับเหตุการณ์	0.594	0.445	0.600
chubby	อ้วน	0.531	0.427	0.304
chuck	เชย	0.542	0.509	0.413
chuckle	ซิกซี้	0.844	0.736	0.481
chug	ซัก	0.401	0.413	0.358
chum	เสี่ยว	0.911	0.347	0.518
chummy	สนิทสนม	0.760	0.420	0.610
chump	คนโง่	0.375	0.451	0.304
chunk	ก้อน	0.365	0.287	0.214
chunky	อ้วน	0.520	0.517	0.509
church	โบสถ์	0.708	0.198	0.610
churchyard	สุสาน	0.296	0.444	0.347
churn	ปั่น	0.316	0.491	0.407
chute	ราง	0.580	0.745	0.455
chutney	ชัทนี่	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	ไซเดอร์	0.530	0.346	0.398
cigar	ซิการ์	0.306	0.463	0.346
cigarette	บุหรี่	0.219	0.528	0.304
cilantro	ผักชี	0.469	0.260	0.208
cinch	ของแน่นอน	0.450	0.490	0.387
cinder	ถ่าน	0.350	0.260	0.157
cinema	โรงภาพยนตร์	0.698	0.538	0.500
cinematic	ในโรงภาพยนตร์	0.663	0.490	0.600
cinematographer	การถ่ายทำภาพยนตร์	0.792	0.455	0.711
cinematography	ภาพยนตร์	0.781	0.571	0.625
cinnamon	อบเชย	0.600	0.250	0.292
cipher	ตัวเลข	0.490	0.414	0.500
circle	วงกลม	0.480	0.290	0.343
circling	การเดินทางรอบ	0.510	0.654	0.336
circuit	วงจรไฟฟ้า	0.586	0.461	0.707
circuitry	วงจร	0.596	0.615	0.536
circular	กลม	0.562	0.342	0.417
circulate	หมุนเวียน	0.612	0.388	0.320
circulation	การไหลเวียน	0.735	0.520	0.657
circulatory	ไหลเวียน	0.592	0.575	0.545
circumcision	ขลิบ	0.327	0.657	0.528
circumference	เส้นรอบวง	0.458	0.255	0.488
circumferential	เส้นรอบวง	0.551	0.422	0.509
circumscribed	circumscribed	0.365	0.539	0.569
circumstance	กรณี	0.520	0.565	0.596
circumstances	พฤติการณ์	0.562	0.527	0.464
circumstantial	ตามสถานการณ์	0.500	0.538	0.519
circumvent	ใช้อุบายดัก	0.316	0.642	0.383
circumvention	การใช้อุบายกำจัด	0.531	0.571	0.473
circus	ละครสัตว์	0.724	0.637	0.432
cirque	ที่มีภูเขาล้อมรอบ	0.604	0.647	0.467
cirrhosis	โรคตับแข็ง	0.079	0.602	0.370
cirrus	ขน	0.470	0.451	0.348
cistern	ถังน้ำ	0.541	0.413	0.432
citadel	ป้อมปราการ	0.585	0.464	0.602
citation	การอ้างอิง	0.570	0.549	0.508
cite	อ้างอิง	0.625	0.454	0.532
citizen	พลเมือง	0.631	0.250	0.586
citizenship	พลเมือง	0.786	0.404	0.723
citrine	ซิทริน	0.375	0.400	0.420
citrus	ไม้เช่นมะนาว	0.469	0.368	0.375
city	เมือง	0.847	0.531	0.508
citywide	โครงข่าย	0.592	0.509	0.707
civic	ของเทศบาล	0.653	0.240	0.573
civics	กฎหมายแพ่ง	0.700	0.279	0.720
civil	พลเรือน	0.521	0.281	0.517
civilian	พลเรือน	0.700	0.229	0.598
civilians	พลเรือน	0.490	0.448	0.525
civility	ความสุภาพ	0.760	0.306	0.679
civilization	อารยธรรม	0.823	0.452	0.839
civilized	อารยะ	0.792	0.231	0.796
clad	เกราะ	0.583	0.373	0.481
claim	ข้อเรียกร้อง	0.255	0.760	0.473
claimant	โจทก์	0.271	0.690	0.779
clairvoyant	ผู้มีญาณทิพย์	0.765	0.531	0.897
clam	หอย	0.442	0.302	0.272
clambake	การชุมนุมกินหอยริมชายทะเล	0.542	0.540	0.429
clammy	ชื้น	0.354	0.440	0.236
clamor	เสียงโห่ร้อง	0.438	0.643	0.360
clamp	ที่หนีบ	0.541	0.388	0.454
clan	ตระกูล	0.562	0.491	0.686
clandestine	ลับ	0.425	0.677	0.469
clang	เสียงดังกราว	0.459	0.520	0.510
clap	ตบมือ	0.779	0.731	0.529
clapper	ลูกตุ้มระฆัง	0.500	0.229	0.420
clapping	การตบมือ	0.823	0.894	0.686
clarification	การอธิบาย	0.802	0.461	0.613
clarify	อธิบาย	0.652	0.535	0.625
clarinet	ปี่ชวา	0.592	0.453	0.411
clarion	มีเสียงดัง	0.500	0.443	0.422
clarity	ความชัดเจน	0.796	0.310	0.631
clash	ปะทะกัน	0.293	0.918	0.453
clashing	การปะทะกัน	0.177	0.764	0.575
clasp	เข็มกลัด	0.448	0.375	0.241
class	ชั้น	0.656	0.314	0.522
classic	คลาสสิก	0.690	0.260	0.611
classic rock	ร็อคคลาสสิค	0.729	0.571	0.588
classical	คลาสสิก	0.643	0.198	0.536
classics	คลาสสิก	0.750	0.333	0.510
classification	การจัดหมวดหมู่	0.583	0.423	0.613
classified	จัด	0.571	0.460	0.663
classify	แยกประเภท	0.646	0.411	0.720
classmate	เพื่อนร่วมชั้น	0.781	0.400	0.593
classroom	ห้องเรียน	0.539	0.292	0.363
classy	ดีงาม	0.917	0.410	0.649
clatter	เสียงดัง	0.418	0.820	0.387
clause	ประโยค	0.480	0.409	0.528
clauses	เบ็ดเตล็ด	0.449	0.429	0.545
claustrophobia	ทึบ	0.125	0.840	0.333
claustrophobic	อึดอัด	0.092	0.755	0.400
clavicle	กระดูกไหปลาร้า	0.398	0.400	0.452
claw	กรงเล็บ	0.260	0.600	0.598
claws	กรงเล็บ	0.281	0.698	0.562
clay	ดินเหนียว	0.542	0.250	0.267
clean	สะอาด	0.827	0.170	0.500
cleaner	ทำความสะอาด	0.604	0.556	0.375
cleaning	การทำความสะอาด	0.595	0.396	0.427
cleanliness	การรักษาความสะอาด	0.816	0.363	0.609
cleanly	หมดจด	0.823	0.352	0.583
cleanse	ชำระล้าง	0.625	0.310	0.660
cleanser	น้ำยาทำความสะอาด	0.604	0.353	0.433
cleansing	การชำระล้าง	0.729	0.298	0.472
cleanup	ทำความสะอาด	0.729	0.314	0.451
clear	ชัดเจน	0.857	0.327	0.573
clearance	การกวาดล้าง	0.542	0.459	0.473
clearing	การหักบัญชี	0.680	0.333	0.509
clearness	ความชัดเจน	0.875	0.316	0.689
cleat	พุก	0.486	0.260	0.361
cleavage	ความแตกแยก	0.542	0.602	0.454
cleave	แล่ง	0.296	0.545	0.389
cleaver	NO TRANSLATION	0.240	0.627	0.434
clef	กุญแจเสียง	0.615	0.360	0.595
cleft	แหว่ง	0.306	0.442	0.360
clemency	ความเมตตากรุณา	0.594	0.417	0.397
clench	ย้ำ	0.438	0.618	0.580
clergy	พระสงฆ์	0.531	0.312	0.575
clergyman	นักบวช	0.594	0.330	0.556
cleric	พระ	0.521	0.324	0.589
clerical	เกี่ยวกับพระ	0.520	0.396	0.491
clerk	เสมียน	0.500	0.579	0.509
clerkship	เสมียน	0.582	0.380	0.596
clever	ฉลาด	0.896	0.353	0.729
cleverness	ความฉลาด	0.878	0.509	0.921
click	คลิก	0.536	0.365	0.268
clicker	clicker	0.418	0.490	0.463
client	ลูกค้า	0.583	0.450	0.618
clientele	ลูกค้า	0.625	0.577	0.508
cliff	หน้าผา	0.361	0.620	0.509
climate	ภูมิอากาศ	0.635	0.240	0.483
climatology	อุตุนิยมวิทยา	0.531	0.367	0.541
climax	จุดสำคัญ	0.735	0.853	0.667
climb	ไต่	0.615	0.660	0.604
climber	ไม้เลื้อย	0.573	0.716	0.735
clinch	การกอดกัน	0.469	0.538	0.430
cling	ยึด	0.417	0.620	0.588
clingy	clingy	0.224	0.460	0.370
clinic	คลินิก	0.469	0.439	0.600
clinical	ทางคลินิก	0.337	0.412	0.640
clink	เสียงกริ๊ก	0.458	0.462	0.319
clip	คลิป	0.438	0.310	0.381
clipboard	คลิปบอร์ด	0.594	0.255	0.423
clipper	ปัตตาเลี่ยน	0.293	0.422	0.383
clipping	การตัด	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	อวัยวะเพศหญิง	0.625	0.844	0.464
cloak	ปิดบัง	0.469	0.188	0.333
cloaking	การปิดบัง	0.521	0.595	0.389
cloakroom	ห้องรับฝากของ	0.690	0.254	0.397
clobber	ทุบ	0.396	0.578	0.464
clock	นาฬิกา	0.677	0.173	0.407
clockwork	เครื่องจักร	0.490	0.373	0.528
clod	ก้อนดิน	0.375	0.404	0.365
clog	ตัน	0.104	0.618	0.454
cloister	กุฏิ	0.438	0.413	0.475
clone	โคลน	0.406	0.471	0.524
cloning	โคลน	0.216	0.696	0.679
close	ปิด	0.292	0.260	0.263
closed	ปิด	0.240	0.164	0.318
closeness	ความสนิทสนม	0.796	0.237	0.450
closet	ตู้	0.531	0.204	0.330
closure	การปิด	0.229	0.220	0.412
clot	ก้อน	0.150	0.558	0.275
cloth	ผ้า	0.510	0.190	0.287
clothe	ตกแต่ง	0.797	0.330	0.481
clothes	เสื้อผ้า	0.833	0.270	0.414
clothesline	ราวตากผ้า	0.582	0.324	0.366
clothing	เสื้อผ้า	0.750	0.343	0.407
cloud	เมฆ	0.740	0.133	0.342
clouded	ฟุ้ง	0.240	0.213	0.302
cloudiness	ความหมอง	0.469	0.250	0.343
clouds	เมฆ	0.735	0.195	0.324
cloudy	มีเมฆมาก	0.281	0.280	0.202
clout	อิทธิพล	0.584	0.636	0.704
clove	กานพูล	0.439	0.296	0.315
clover	ไม้จำพวกถั่ว	0.605	0.340	0.364
cloves	กานพลู	0.427	0.218	0.396
clown	ตุ๊ย	0.650	0.598	0.300
clowns	ตัวตลก	0.600	0.673	0.391
club	สโมสร	0.646	0.618	0.393
clubhouse	ตึกสโมสร	0.694	0.571	0.493
clubs	สโมสร	0.723	0.530	0.591
cluck	ส่งเสียงกระต๊าก	0.390	0.490	0.353
clue	เงื่อนงำ	0.653	0.380	0.412
clueless	ไม่รู้เรื่องรู้ราว	0.350	0.333	0.161
clump	กอ	0.551	0.480	0.582
clumsy	ซุ่มซ่าม	0.125	0.420	0.144
clunk	clunk	0.448	0.472	0.407
cluster	กลุ่ม	0.490	0.458	0.446
clutch	คลัตช์	0.383	0.500	0.491
clutches	เงื้อมมือ	0.542	0.373	0.528
clutter	ถ่วง	0.135	0.598	0.400
coach	โค้ช	0.633	0.823	0.735
coachman	คนขับรถม้า	0.479	0.394	0.509
coagulation	การแข็งตัว	0.381	0.558	0.436
coal	ถ่านหิน	0.360	0.241	0.340
coalesce	เชื่อมต่อกัน	0.479	0.434	0.529
coalition	รัฐบาลผสม	0.490	0.730	0.673
coarse	หยาบ	0.333	0.481	0.481
coast	ชายฝั่ง	0.719	0.396	0.458
coastal	ใกล้ชายฝั่ง	0.604	0.370	0.510
coaster	เรือยามฝั่ง	0.612	0.788	0.627
coastline	ฝั่งทะเล	0.745	0.282	0.441
coat	เสื้อโค้ท	0.677	0.256	0.464
coating	การเคลือบผิว	0.620	0.440	0.596
coax	เกลี้ยกล่อม	0.367	0.400	0.447
cobalt	โคบอลต์	0.408	0.325	0.441
cobble	ซ่อมแซม	0.448	0.385	0.368
cobbler	พายผลไม้	0.510	0.415	0.318
cobra	งูเห่า	0.312	0.712	0.600
cocaine	โคเคน	0.156	0.840	0.373
cock	ไก่	0.418	0.562	0.392
cockamamie	cockamamie	0.450	0.500	0.382
cockeyed	ตาเข	0.459	0.460	0.423
cockpit	ห้องคนขับ	0.520	0.424	0.343
cockroach	แมลงสาบ	0.188	0.667	0.196
cocksucker	cocksucker	0.083	0.764	0.339
cocktail	ค็อกเทล	0.740	0.480	0.381
cocky	อวดดี	0.260	0.784	0.519
cocoa	โกโก้	0.776	0.255	0.322
coconut	มะพร้าว	0.622	0.265	0.227
cocoon	รังไหมดิบ	0.470	0.280	0.290
cod	หลอกล่อ	0.510	0.321	0.304
code	รหัส	0.583	0.308	0.491
codeine	โคดีน	0.375	0.582	0.436
codex	Codex	0.531	0.488	0.524
codfish	ปลาคอด	0.490	0.245	0.300
codification	การเข้ารหัส	0.448	0.400	0.698
codify	ประมวล	0.448	0.410	0.679
coding	การเข้ารหัส	0.442	0.344	0.667
coed	นิสิต	0.469	0.531	0.481
coefficient	ค่าสัมประสิทธิ์	0.677	0.415	0.702
coerce	บีบบังคับ	0.260	0.741	0.517
coercion	การบังคับ	0.330	0.708	0.577
coercive	ซึ่งบังคับ	0.479	0.670	0.506
coexist	อยู่ร่วมกัน	0.708	0.460	0.536
coexistence	การอยู่ร่วมกัน	0.588	0.472	0.638
coexisting	อยู่ร่วมกัน	0.551	0.349	0.648
coffee	กาแฟ	0.823	0.418	0.309
coffee table	โต๊ะกาแฟ	0.720	0.339	0.295
coffeehouse	บ้านกาแฟ	0.694	0.357	0.307
coffeepot	หม้อกาแฟ	0.760	0.333	0.312
coffin	โลง	0.073	0.432	0.343
cog	ฟันเฟือง	0.427	0.343	0.363
cogent	ตรงจุด	0.765	0.479	0.836
cognac	คอนยัค	0.615	0.510	0.430
cognate	คล้ายคลึงกัน	0.615	0.350	0.398
cognition	ความรู้ความเข้าใจ	0.635	0.344	0.706
cognitive	องค์ความรู้	0.513	0.401	0.634
cohabitation	การอยู่ร่วมกัน	0.646	0.526	0.598
coherence	การเชื่อมโยงกัน	0.720	0.406	0.788
coherent	เชื่อมโยงกัน	0.698	0.281	0.500
cohesion	การติดต่อกัน	0.604	0.536	0.555
cohesive	เหนียว	0.531	0.470	0.603
cohort	หมู่คน	0.459	0.551	0.566
coil	ม้วน	0.448	0.343	0.298
coiled	ขด	0.378	0.518	0.389
coin	เหรียญ	0.677	0.574	0.445
coinage	การสร้าง	0.500	0.400	0.545
coincide	เหมือนกัน	0.635	0.490	0.593
coincidence	ความซ้ำซ้อน	0.612	0.450	0.518
coincident	เหมือนกัน	0.562	0.385	0.602
coincidental	บังเอิญ	0.646	0.481	0.337
coinciding	ประจวบ	0.673	0.373	0.623
coke	โคก	0.404	0.461	0.397
cola	โคล่า	0.469	0.325	0.240
cold	หนาว	0.398	0.538	0.348
coldly	หนาว	0.365	0.358	0.407
coldness	ความเย็น	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	โคลสลอว์	0.707	0.312	0.336
colic	อาการจุกเสียด	0.135	0.736	0.361
coliseum	โคลีเซียม	0.612	0.663	0.704
collaborate	ร่วมมือ	0.816	0.449	0.559
collaboration	การร่วมมือ	0.885	0.628	0.741
collaborator	ผู้ประสานงาน	0.729	0.320	0.769
collage	การจับแพะชนแกะ	0.680	0.321	0.375
collagen	คอลลาเจน	0.541	0.245	0.450
collapse	ล่มสลาย	0.208	0.689	0.342
collar	ปก	0.656	0.442	0.446
collarbone	กระดูกไหปลาร้า	0.420	0.427	0.306
collate	ตรวจทาน	0.438	0.448	0.580
collateral	ประกอบ	0.531	0.422	0.717
collation	การตรวจทาน	0.520	0.333	0.508
colleague	เพื่อนร่วมงาน	0.740	0.413	0.600
collect	เก็บ	0.635	0.481	0.491
collected	เก็บรวบรวม	0.570	0.402	0.588
collection	ชุด	0.725	0.311	0.588
collective	โดยรวม	0.583	0.458	0.698
collectively	รวม	0.817	0.573	0.533
collector	สะสม	0.552	0.481	0.648
college	วิทยาลัย	0.700	0.467	0.746
collegiate	เกี่ยวกับวิทยาลัย	0.592	0.461	0.678
collide	ชนกัน	0.271	0.892	0.557
collie	สุนัขเฝ้าแกะ	0.562	0.308	0.328
collision	การปะทะกัน	0.245	0.848	0.585
collocation	การจัดระเบียบ	0.637	0.360	0.594
colloquial	เกี่ยวกับภาษาพูด	0.604	0.363	0.368
collusion	สมรู้ร่วมคิด	0.365	0.510	0.400
cologne	โคโลญจ์	0.677	0.413	0.552
colon	ปลายลำไส้ใหญ่	0.449	0.394	0.384
colonel	พันเอก	0.459	0.592	0.890
colonial	โคโลเนียล	0.553	0.327	0.613
colonic	ลำไส้ใหญ่	0.333	0.420	0.430
colonoscopy	ลำไส้	0.208	0.524	0.466
colony	อาณานิคม	0.716	0.353	0.593
colophon	colophon	0.500	0.408	0.385
color	สี	0.786	0.280	0.402
coloration	การย้อมสี	0.541	0.520	0.443
colored	มีสี	0.806	0.317	0.275
colorful	มีสีสัน	0.850	0.520	0.519
coloring	การระบายสี	0.781	0.469	0.353
colorless	ไม่มีสี	0.354	0.340	0.250
colors	สี	0.875	0.349	0.340
colossal	ใหญ่โต	0.698	0.692	0.900
colt	เด็กผู้ชายที่อ่อนหัด	0.561	0.587	0.543
columbine	ดอกไม้ชนิดหนึ่ง	0.520	0.521	0.407
column	คอลัมน์	0.480	0.250	0.670
columnar	คอลัมน์	0.448	0.340	0.491
columnist	คอลัม	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	อาการโคม่า	0.219	0.255	0.302
comatose	ไม่รู้สึกตัว	0.143	0.438	0.433
comb	หวี	0.490	0.123	0.268
combat	การต่อสู้	0.302	0.846	0.833
combatant	ทหาร	0.531	0.853	0.780
combative	พร้อมรบ	0.381	0.690	0.816
combination	การรวมกัน	0.708	0.480	0.726
combinatorial	combinatorial	0.561	0.436	0.428
combine	รวมกัน	0.663	0.442	0.533
combined	รวม	0.622	0.370	0.500
combo	วงดนตรีผสม	0.698	0.439	0.453
combustible	ติดไฟได้	0.386	0.650	0.750
combustion	สันดาป	0.457	0.807	0.591
come	มา	0.529	0.269	0.558
comeback	กลับมา	0.580	0.409	0.555
comedian	ตัวตลก	0.812	0.735	0.598
comedy	ความขบขัน	0.918	0.555	0.490
comet	ดาวหาง	0.704	0.679	0.471
comfort	ความสะดวกสบาย	0.863	0.231	0.670
comfortable	สบาย	0.927	0.163	0.473
comforter	ผ้าพันคอ	0.618	0.275	0.302
comforting	ปลอบโยน	0.906	0.337	0.620
comfy	อุ่นหนาฝาคั่ง	0.930	0.241	0.625
comic	ตลก	0.917	0.459	0.387
comical	ตลก	0.844	0.737	0.327
comics	ภาพการ์ตูน	0.690	0.556	0.384
coming	มา	0.653	0.417	0.500
comma	จุลภาค	0.344	0.269	0.242
command	คำสั่ง	0.427	0.790	0.849
commandant	ผู้บัญชาการ	0.622	0.700	0.943
commandeer	เกณฑ์	0.552	0.639	0.931
commander	ผู้บังคับบัญชา	0.531	0.615	0.906
commanding	ผู้บังคับบัญชา	0.562	0.664	0.925
commandment	ศีล	0.656	0.490	0.876
commando	คอมมานโด	0.323	0.710	0.817
commemorate	เป็นอนุสรณ์	0.812	0.602	0.636
commemoration	ที่ระลึก	0.719	0.615	0.754
commemorative	ระลึก	0.750	0.438	0.754
commence	เริม	0.760	0.585	0.741
commend	ยกย่อง	0.906	0.694	0.711
commendable	น่ายกย่อง	0.786	0.570	0.555
commendation	การยกย่อง	0.911	0.500	0.639
commensurate	พอสมน้ำสมเนื้อ	0.610	0.304	0.550
comment	คิดเห็น	0.667	0.417	0.379
commentary	ความเห็น	0.602	0.402	0.446
commentator	ผู้บรรยาย	0.492	0.510	0.607
commerce	พาณิชย์	0.646	0.500	0.788
commercial	เชิงพาณิชย์	0.806	0.490	0.528
commie	คอมมิวนิสต์	0.385	0.519	0.454
commissary	นายทหารฝ่ายพลาธิการ	0.385	0.500	0.788
commission	คณะกรรมาธิการ	0.677	0.480	0.571
commissioner	กรรมาธิการ	0.602	0.449	0.949
commit	ผูกมัด	0.365	0.529	0.491
commitment	ความมุ่งมั่น	0.714	0.710	0.843
committal	การกระทำผิด	0.472	0.519	0.582
committed	มุ่งมั่น	0.710	0.542	0.712
committee	กรรมการ	0.592	0.392	0.721
commodity	สินค้า	0.615	0.394	0.537
commodore	ผู้บังคับการเรือ	0.427	0.530	0.636
common	ร่วมกัน	0.600	0.127	0.318
commoner	ปุถุชน	0.448	0.365	0.327
commonly	อย่างธรรมดา	0.604	0.170	0.574
commonplace	ธรรมดา	0.520	0.337	0.442
commons	สภาสามัญ	0.633	0.396	0.623
commonwealth	เครือจักรภพ	0.630	0.406	0.702
commotion	ความปั่นป่วน	0.490	0.700	0.646
communal	ชุมชน	0.592	0.321	0.556
commune	จังหวัด	0.500	0.488	0.655
communicable	ติดต่อ	0.796	0.491	0.623
communicate	สื่อสาร	0.823	0.410	0.696
communication	การสื่อสาร	0.837	0.400	0.649
communicative	การสื่อสาร	0.847	0.560	0.637
communicator	สื่อสาร	0.573	0.509	0.796
communion	การสนทนา	0.765	0.357	0.607
communism	คอมมิวนิสต์	0.264	0.570	0.623
communist	คอมมิวนิสต์	0.265	0.702	0.632
community	ชุมชน	0.750	0.350	0.659
commutation	การลดโทษ	0.469	0.431	0.652
commutative	สับเปลี่ยน	0.667	0.442	0.569
commute	ทด	0.622	0.582	0.565
commuter	เครื่องเปลี่ยนกระแสไฟฟ้า	0.646	0.520	0.512
comp	คอมพ์	0.573	0.450	0.371
compact	กะทัดรัด	0.458	0.417	0.673
compaction	การบดอัด	0.531	0.471	0.582
compactness	ความเป็นปึกแผ่น	0.582	0.352	0.454
companion	สหาย	0.770	0.377	0.618
companionless	companionless	0.271	0.259	0.200
companionship	มิตรภาพ	0.833	0.438	0.792
company	บริษัท	0.906	0.425	0.798
comparable	เทียบเคียง	0.562	0.443	0.458
comparative	เปรียบเทียบ	0.470	0.273	0.562
comparatively	ติดจะ	0.604	0.391	0.538
compare	เปรียบเทียบ	0.552	0.408	0.524
comparison	การเปรียบเทียบ	0.583	0.456	0.492
compartment	ช่องว่าง	0.500	0.389	0.607
compass	เข็มทิศ	0.541	0.307	0.529
compassion	ความเห็นอกเห็นใจ	0.735	0.258	0.509
compassionate	มีความสงสาร	0.857	0.404	0.411
compatibility	ความเข้ากันได้	0.816	0.450	0.673
compatible	เข้ากันได้	0.892	0.387	0.638
compel	บังคับ	0.200	0.847	0.625
compelled	บังคับ	0.333	0.654	0.347
compelling	จับใจ	0.698	0.570	0.870
compendium	หัวข้อ	0.610	0.461	0.537
compensate	ทดแทน	0.612	0.429	0.762
compensation	ค่าตอบแทน	0.775	0.469	0.598
compensatory	ชดเชย	0.589	0.490	0.700
compete	แข่งขัน	0.573	0.745	0.786
competence	ความสามารถ	0.615	0.802	0.823
competency	ความสามารถ	0.768	0.775	0.764
competent	มีอำนาจ	0.865	0.560	0.904
competition	การแข่งขัน	0.580	0.790	0.798
competitive	การแข่งขัน	0.447	0.718	0.908
competitor	คู่แข่ง	0.612	0.959	0.861
compilation	การรวบรวม	0.530	0.512	0.606
compile	รวบรวม	0.600	0.413	0.519
complacency	ความพึงพอใจ	0.604	0.503	0.519
complacent	อิ่มเอมใจ	0.625	0.452	0.518
complain	บ่น	0.143	0.682	0.360
complaint	การร้องเรียน	0.143	0.606	0.281
complement	ส่วนประกอบ	0.760	0.277	0.600
complementary	ประกอบ	0.714	0.320	0.586
complete	สมบูรณ์	0.750	0.414	0.809
completed	เสร็จ	0.823	0.357	0.777
completely	อย่างสมบูรณ์	0.730	0.370	0.690
completeness	ความสมบูรณ์	0.823	0.433	0.769
completing	เสร็จสิ้น	0.614	0.500	0.769
completion	เสร็จสิ้น	0.656	0.470	0.525
complex	ซับซ้อน	0.388	0.608	0.550
complexed	complexed	0.312	0.577	0.612
complexion	ผิว	0.521	0.520	0.380
complexity	ความซับซ้อน	0.479	0.620	0.595
compliance	การปฏิบัติตาม	0.750	0.462	0.750
compliant	ไม่ขัดขืน	0.677	0.310	0.519
complicate	ซับซ้อน	0.210	0.657	0.404
complicated	ซับซ้อน	0.211	0.660	0.455
complication	โรคแทรกซ้อน	0.365	0.726	0.330
complicity	การสมรู้ร่วมคิด	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	ฟรี	0.823	0.413	0.435
comply	ปฏิบัติตาม	0.806	0.370	0.638
complying	การปฏิบัติตาม	0.729	0.423	0.590
compo	Compo	0.500	0.346	0.390
component	ส่วนประกอบ	0.531	0.382	0.525
compose	แต่ง	0.639	0.432	0.694
composed	ใจเย็น	0.684	0.385	0.682
composer	นักแต่งเพลง	0.822	0.588	0.691
composite	ประกอบด้วย	0.591	0.459	0.620
