Word	Chinese (Traditional)-zh-TW	Valence	Arousal	Dominance
drama	戲劇	0.430	0.755	0.481
dramaqueen	NO TRANSLATION	0.337	0.682	0.482
dramatic	戲劇性	0.367	0.780	0.443
drape	懸垂	0.417	0.439	0.404
drapery	布料	0.479	0.220	0.223
drastic	激烈	0.194	0.839	0.657
drat	NO TRANSLATION	0.302	0.516	0.409
draught	草案	0.465	0.245	0.316
draw	畫	0.704	0.449	0.481
drawback	退稅	0.302	0.422	0.148
drawbridge	吊橋	0.551	0.557	0.438
drawer	抽屜	0.429	0.196	0.292
drawers	抽屜	0.539	0.260	0.236
drawing	畫畫	0.698	0.216	0.333
dread	恐懼	0.153	0.792	0.368
dreaded	可怕的	0.122	0.706	0.460
dreadful	可怕	0.092	0.786	0.348
dreadfully	可怕	0.246	0.806	0.306
dreading	害怕	0.125	0.760	0.377
dream	夢想	0.844	0.157	0.328
dreamboat	夢中情人	0.776	0.491	0.458
dreamer	夢想家	0.820	0.394	0.455
dreaming	做夢	0.854	0.320	0.336
dreamland	夢境	0.844	0.471	0.566
dreams	夢	0.865	0.415	0.530
dreamt	夢見	0.812	0.380	0.518
dreamy	夢想的	0.837	0.350	0.500
dreary	淒涼	0.260	0.490	0.324
dredge	疏通	0.427	0.445	0.444
drenched	濕透	0.302	0.361	0.388
dress	連衣裙	0.760	0.300	0.345
dresser	梳妝台	0.604	0.398	0.473
dressmaker	裁縫	0.698	0.460	0.483
dressy	考究	0.800	0.570	0.696
dribble	NO TRANSLATION	0.417	0.551	0.465
dried	幹	0.427	0.260	0.385
drier	乾燥劑	0.306	0.347	0.392
drift	漂移	0.316	0.520	0.375
drifted	漂流	0.312	0.542	0.310
drifter	漂泊	0.449	0.512	0.391
driftwood	浮木	0.321	0.283	0.439
drill	鑽頭	0.250	0.602	0.573
drink	喝	0.650	0.552	0.474
drinker	酒徒	0.365	0.735	0.441
drinking	喝	0.562	0.459	0.317
drinks	飲料	0.729	0.656	0.412
drip	滴	0.392	0.193	0.175
dripping	滴水	0.302	0.257	0.267
drive	駕駛	0.625	0.689	0.713
drivel	胡說	0.398	0.469	0.463
driver	司機	0.553	0.538	0.637
driveway	車道	0.612	0.392	0.689
drizzle	細雨	0.521	0.353	0.319
droll	滑稽	0.459	0.573	0.422
drone	無人駕駛飛機	0.429	0.686	0.596
drones	無人駕駛飛機	0.398	0.577	0.588
drool	流口水	0.385	0.398	0.204
drooping	下垂	0.245	0.558	0.353
droopy	下垂	0.438	0.350	0.297
drop	下降	0.479	0.321	0.291
droplet	水滴	0.625	0.208	0.194
dropout	退出	0.253	0.550	0.481
dropper	滴管	0.333	0.216	0.236
drought	乾旱	0.133	0.353	0.267
drove	NO TRANSLATION	0.541	0.528	0.623
drown	淹	0.071	0.860	0.270
drowsiness	睡意	0.260	0.194	0.303
drowsy	昏昏欲睡	0.375	0.180	0.240
drudgery	苦差事	0.094	0.522	0.241
drug	藥物	0.214	0.790	0.453
drug dealing	毒品交易	0.042	0.843	0.500
drugged	迷藥	0.102	0.750	0.321
druggist	藥劑師	0.240	0.561	0.417
drugs	毒品	0.167	0.750	0.368
drugstore	藥店	0.490	0.343	0.518
druid	德魯伊	0.517	0.445	0.481
drum	鼓	0.615	0.679	0.339
drummer	鼓手	0.646	0.700	0.564
drumming	鼓聲	0.594	0.750	0.426
drunk	醉	0.194	0.800	0.250
drunk driving	酒後駕車	0.073	0.900	0.306
drunkard	酒鬼	0.240	0.873	0.250
drunken	醉	0.155	0.849	0.250
drunkenness	酒醉	0.214	0.774	0.336
dry	幹	0.363	0.169	0.311
dryer	烘乾機	0.479	0.343	0.277
dryness	乾燥	0.292	0.296	0.263
dual	雙	0.573	0.330	0.384
dualism	二元論	0.490	0.406	0.536
duality	二元性	0.438	0.520	0.503
dub	配音	0.510	0.480	0.387
dubious	可疑	0.414	0.480	0.198
duchess	公爵夫人	0.656	0.548	0.711
duck	鴨	0.594	0.337	0.236
ducking	迴避	0.344	0.573	0.294
duckling	小鴨	0.602	0.353	0.263
ducky	鴨子	0.520	0.430	0.368
duct	管	0.449	0.435	0.430
ductile	韌性	0.508	0.420	0.433
dud	無用的人	0.167	0.455	0.246
dude	花花公子	0.809	0.356	0.615
duds	服飾	0.347	0.311	0.339
due	應有	0.562	0.340	0.467
duel	決鬥	0.271	0.696	0.589
dues	稅	0.367	0.461	0.288
duet	雙人	0.694	0.693	0.527
duffel	一種粗呢	0.500	0.400	0.384
dugout	獨木舟	0.490	0.370	0.463
duh	咄	0.357	0.461	0.364
duke	公爵	0.667	0.440	0.669
dull	平淡	0.194	0.120	0.185
dullard	笨蛋	0.450	0.480	0.365
dumb	啞	0.188	0.330	0.151
dumbasses	dumbasses	0.316	0.590	0.363
dumbbell	啞鈴	0.302	0.469	0.364
dumbbitch	NO TRANSLATION	0.281	0.636	0.393
dumfound	dumfound	0.271	0.551	0.295
dumfounder	NO TRANSLATION	0.406	0.481	0.400
dummy	假	0.440	0.144	0.250
dump	傾倒	0.345	0.500	0.370
dumpling	餃	0.580	0.321	0.360
dumps	轉儲	0.302	0.583	0.365
dumpster	垃圾箱	0.229	0.418	0.101
dun	逼債	0.458	0.431	0.339
dunce	蠢貨	0.188	0.327	0.146
dune	沙丘	0.459	0.173	0.414
dung	NO TRANSLATION	0.104	0.549	0.149
dungeon	地牢	0.276	0.608	0.440
dunk	泡	0.406	0.333	0.475
duo	二人	0.510	0.500	0.447
dupe	欺騙	0.184	0.760	0.327
duplex	雙工	0.592	0.452	0.467
duplicate	重複	0.521	0.490	0.338
duplication	複製	0.480	0.564	0.577
duplicity	表裡不一	0.406	0.500	0.578
durability	耐久力	0.750	0.398	0.813
durable	耐用	0.740	0.294	0.688
duration	持續時間	0.656	0.370	0.536
duress	脅迫	0.302	0.569	0.612
dusk	黃昏	0.532	0.276	0.519
dusky	昏暗	0.229	0.528	0.324
dust	灰塵	0.344	0.246	0.241
duster	撣	0.408	0.265	0.296
dustpan	簸箕	0.609	0.466	0.371
dusty	塵土飛揚	0.406	0.294	0.255
dutiful	忠實的	0.724	0.245	0.585
duty	義務	0.583	0.579	0.651
dwarf	矮人	0.370	0.340	0.288
dwarfed	所繪	0.365	0.265	0.293
dweeb	呆子	0.354	0.446	0.327
dwell	住	0.698	0.245	0.611
dweller	居住者	0.615	0.304	0.500
dwelling	住宅	0.765	0.330	0.481
dye	染料	0.479	0.314	0.371
dying	垂死	0.040	0.664	0.422
dyke	堤防	0.438	0.396	0.566
dynamic	動態	0.724	0.750	0.836
dynamical	動力	0.786	0.730	0.827
dynamics	動力學	0.745	0.682	0.774
dynamite	炸藥	0.344	0.860	0.783
dynamo	發電機	0.531	0.650	0.593
dynasty	王朝	0.725	0.588	0.936
dysentery	痢	0.260	0.528	0.345
dysfunction	功能障礙	0.156	0.410	0.386
dysfunctional	功能失調	0.125	0.558	0.307
dyspepsia	消化不良	0.212	0.470	0.460
eager	急於	0.521	0.812	0.306
eagerness	熱心	0.406	0.621	0.443
eagle	鷹	0.604	0.594	0.679
ear	耳	0.469	0.216	0.231
earful	大發牢騷	0.533	0.462	0.443
earl	伯爵	0.582	0.461	0.794
earlier	前	0.562	0.352	0.339
early	早	0.633	0.373	0.426
earn	賺	0.865	0.769	0.817
earnest	認真	0.653	0.380	0.670
earnestly	切實	0.847	0.490	0.717
earnestness	語重心長	0.812	0.373	0.615
earnings	收益	0.938	0.650	0.875
earpiece	聽筒	0.583	0.286	0.452
earring	耳環	0.583	0.520	0.500
earrings	耳環	0.676	0.346	0.517
earshot	聽不到	0.552	0.332	0.408
earth	地球	0.750	0.225	0.614
earthenware	陶器	0.552	0.210	0.320
earthling	世人	0.531	0.412	0.570
earthly	俗世的	0.625	0.318	0.518
earthquake	地震	0.073	0.930	0.812
earthy	泥土的	0.375	0.413	0.404
ease	緩解	0.796	0.385	0.491
easel	畫架	0.694	0.340	0.527
easement	緩和	0.479	0.345	0.302
easily	容易	0.885	0.279	0.453
east	東	0.510	0.250	0.317
eastbound	東行	0.541	0.408	0.402
eastern	東	0.521	0.420	0.480
easy	簡單	0.865	0.194	0.373
easygoing	隨和	0.823	0.276	0.538
eat	吃	0.731	0.500	0.464
eater	吃	0.459	0.337	0.510
eating	吃	0.847	0.491	0.615
eatingdisorders	NO TRANSLATION	0.365	0.608	0.508
eavesdrop	竊聽	0.375	0.710	0.368
eavesdropping	竊聽	0.490	0.380	0.441
ebb	落潮	0.354	0.451	0.404
ebony	烏木	0.490	0.317	0.400
ebullient	熱情洋溢	0.659	0.856	0.746
eccentric	偏心	0.531	0.806	0.721
eccentricity	怪癖	0.408	0.735	0.745
ecclesiastical	教會	0.673	0.270	0.660
echelon	梯隊	0.490	0.404	0.425
echinacea	松果	0.592	0.418	0.454
echo	迴聲	0.573	0.373	0.345
eclectic	不拘一格	0.646	0.542	0.508
eclipse	蝕	0.541	0.469	0.616
ecliptic	黃道	0.531	0.520	0.556
ecological	生態	0.885	0.290	0.607
economic	經濟	0.561	0.408	0.639
economical	經濟	0.667	0.564	0.673
economics	經濟學	0.625	0.481	0.632
economy	經濟	0.583	0.434	0.771
ecosystem	生態系統	0.729	0.259	0.633
ecstasy	狂喜	0.796	0.922	0.655
ecstatic	欣喜若狂	0.875	0.769	0.742
ecumenical	大公	0.561	0.450	0.547
eddy	渦流	0.500	0.394	0.350
edema	浮腫	0.250	0.519	0.318
edge	邊緣	0.439	0.470	0.468
edging	邊緣	0.479	0.394	0.370
edgy	前衛	0.281	0.895	0.306
edible	食用	0.750	0.425	0.497
edict	法令	0.316	0.547	0.560
edification	熏陶	0.625	0.481	0.697
edifice	大廈	0.551	0.403	0.610
edit	編輯	0.510	0.410	0.544
editing	編輯	0.604	0.404	0.493
edition	版	0.542	0.455	0.564
editor	編輯	0.772	0.431	0.673
editorial	社論	0.583	0.330	0.570
educate	教育	0.760	0.380	0.728
educated	博學	0.816	0.297	0.625
education	教育	0.896	0.275	0.840
educational	教育性	0.745	0.457	0.764
educator	教育家	0.827	0.317	0.845
eeeek	NO TRANSLATION	0.367	0.540	0.349
eeek	NO TRANSLATION	0.333	0.490	0.302
eek	伊克	0.292	0.529	0.343
eel	鰻魚	0.292	0.564	0.487
eerie	怪異	0.265	0.771	0.442
effect	影響	0.570	0.518	0.608
effective	有效	0.844	0.632	0.891
effectiveness	效用	0.640	0.654	0.812
effects	效果	0.470	0.578	0.379
effectual	有效的	0.776	0.559	0.820
effectually	有效地	0.724	0.500	0.594
effectuate	招致	0.510	0.602	0.679
effeminate	柔弱的	0.337	0.619	0.291
efficacious	有效的	0.823	0.698	0.845
efficacy	功效	0.802	0.490	0.906
efficiency	效率	0.802	0.509	0.892
efficient	高效	0.959	0.604	0.830
effigy	肖像	0.510	0.440	0.401
effort	功夫	0.698	0.778	0.858
effortless	毫不費力	0.626	0.090	0.352
effusion	積液	0.344	0.730	0.472
effyou	NO TRANSLATION	0.354	0.529	0.490
egg	蛋	0.684	0.241	0.293
egghead	理論家	0.316	0.492	0.284
eggnog	蛋酒	0.635	0.360	0.259
eggplant	茄子	0.592	0.152	0.323
eggshell	蛋殼	0.408	0.269	0.212
ego	自我	0.328	0.576	0.593
egomaniac	自大狂	0.133	0.708	0.596
egotistical	自負	0.156	0.667	0.363
egregious	過分的	0.150	0.716	0.442
egress	出口	0.490	0.429	0.287
eight	八	0.540	0.199	0.315
eighteen	十八	0.523	0.340	0.404
eighth	第八	0.531	0.226	0.380
eighty	八十	0.500	0.300	0.453
ejaculate	射出	0.604	0.896	0.604
ejaculation	射精	0.615	0.893	0.547
eject	噴射	0.434	0.656	0.559
ejection	噴出	0.188	0.836	0.554
elaborate	闡述	0.561	0.367	0.680
elaboration	闡述	0.708	0.500	0.598
elan	NO TRANSLATION	0.562	0.367	0.500
elapse	過去	0.514	0.440	0.455
elapsed	過去	0.583	0.451	0.493
elastic	彈	0.656	0.518	0.385
elasticity	彈性	0.635	0.452	0.582
elated	高昂	0.792	0.960	0.725
elation	高昂	0.740	0.853	0.623
elbow	彎頭	0.448	0.133	0.254
eld	高齡	0.471	0.292	0.451
elder	長老	0.448	0.153	0.462
elderly	老年	0.615	0.212	0.283
elders	長老	0.602	0.260	0.441
eldest	最年長	0.625	0.471	0.741
elect	選	0.667	0.554	0.661
election	選舉	0.625	0.519	0.651
elective	選修	0.612	0.380	0.623
elector	選民	0.479	0.520	0.766
electoral	選	0.490	0.631	0.602
electorate	選民	0.560	0.380	0.696
electric	電動	0.458	0.708	0.512
electric slide	電動滑梯	0.542	0.660	0.536
electrical	電動	0.531	0.620	0.688
electrician	電工	0.449	0.590	0.620
electricity	電力	0.698	0.810	0.733
electrify	通電	0.520	0.769	0.737
electrocute	觸電	0.271	0.731	0.555
electrocution	電刑	0.177	0.844	0.692
electromagnetic	電磁	0.531	0.632	0.683
electron	電子	0.520	0.455	0.560
electronic	電子	0.571	0.490	0.704
electronics	電子產品	0.708	0.545	0.574
elegance	優雅	0.918	0.396	0.824
elegant	優雅	0.865	0.500	0.685
element	元件	0.531	0.259	0.481
elemental	元素	0.627	0.306	0.711
elementary	初級	0.594	0.286	0.686
elements	分子	0.510	0.312	0.462
elephant	象	0.531	0.510	0.615
elevate	提升	0.812	0.500	0.804
elevated	提高的	0.704	0.594	0.620
elevation	海拔	0.760	0.759	0.711
elevator	電梯	0.562	0.604	0.676
eleven	十一	0.449	0.250	0.430
eleventh	第十一	0.594	0.329	0.357
elf	小精靈	0.460	0.457	0.315
elicit	引出	0.406	0.594	0.658
eligible	合格	0.750	0.400	0.518
eliminate	消除	0.265	0.670	0.324
elimination	消除	0.052	0.667	0.431
elite	原種	0.688	0.704	0.737
elitist	精英	0.500	0.606	0.656
elixir	酏	0.708	0.587	0.604
elk	麋鹿	0.439	0.337	0.340
ell	埃爾	0.469	0.418	0.373
ellipse	橢圓	0.531	0.410	0.479
ellipsis	省略	0.653	0.358	0.314
ellipsoid	橢球	0.500	0.440	0.419
elliptic	橢圓的	0.500	0.431	0.528
elliptical	橢圓的	0.338	0.385	0.490
elm	榆樹	0.510	0.345	0.321
elongate	拉長	0.583	0.385	0.540
elongation	伸長	0.561	0.500	0.500
elope	私奔	0.396	0.694	0.528
eloquence	口才	0.729	0.490	0.804
eloquent	雄辯	0.870	0.680	0.741
elucidate	闡發	0.583	0.509	0.518
elucidation	澄清	0.650	0.574	0.586
elude	躲避	0.438	0.521	0.464
elusive	難以捉摸	0.229	0.615	0.466
emaciated	瘦弱	0.103	0.541	0.151
email	電子郵件	0.698	0.230	0.456
emanate	發出	0.653	0.464	0.554
emancipation	解放	0.704	0.684	0.763
embankment	堤	0.677	0.438	0.436
embargo	NO TRANSLATION	0.229	0.564	0.443
embark	從事	0.541	0.550	0.619
embarrass	阻礙	0.082	0.667	0.364
embarrassed	尷尬	0.184	0.560	0.246
embarrassing	尷尬	0.226	0.809	0.225
embarrassment	困窘	0.143	0.685	0.226
embassy	大使館	0.622	0.333	0.758
embattled	四面楚歌	0.235	0.724	0.421
embed	嵌	0.417	0.554	0.670
embellish	潤	0.842	0.500	0.769
embellishment	點綴	0.673	0.449	0.405
embers	餘燼	0.490	0.481	0.508
embezzlement	侵占	0.143	0.827	0.435
embezzler	貪污分子	0.146	0.823	0.491
emblem	徽	0.640	0.330	0.754
emblematic	象徵	0.771	0.459	0.798
embodiment	實施例	0.562	0.690	0.663
embolism	栓塞	0.104	0.660	0.302
embossed	壓花	0.531	0.481	0.500
embrace	擁抱	0.949	0.490	0.452
embroidered	繡花	0.677	0.279	0.407
embroidery	刺繡	0.781	0.358	0.280
embroiled	捲入	0.337	0.721	0.420
embryo	胎	0.673	0.469	0.453
embryonic	胚胎	0.573	0.453	0.598
emcee	司儀	0.694	0.577	0.691
emerald	翠	0.740	0.363	0.726
emerge	出現	0.602	0.594	0.731
emergence	緊急情況	0.276	0.857	0.676
emergency	急	0.200	0.900	0.571
emeritus	退休	0.633	0.402	0.735
emery	砂	0.469	0.583	0.472
emetophobia	emetophobia	0.243	0.620	0.403
emigrate	移民	0.356	0.812	0.508
emigration	移民	0.564	0.664	0.432
eminence	隆起	0.816	0.644	0.837
eminent	傑出	0.740	0.620	0.830
eminently	突出地	0.694	0.607	0.773
emir	NO TRANSLATION	0.510	0.396	0.621
emissary	使者	0.562	0.462	0.636
emission	排放	0.510	0.453	0.591
emit	發射	0.638	0.445	0.510
emo	EMO	0.354	0.314	0.226
emotion	情感	0.693	0.873	0.696
emotional	情緒化	0.779	0.714	0.526
emotive	感情的	0.917	0.741	0.525
empathic	感情移入的	0.760	0.570	0.558
empathize	同情	0.802	0.591	0.660
empathy	同情	0.729	0.349	0.545
emperor	皇帝	0.651	0.704	0.962
emphasis	重點	0.653	0.745	0.816
emphasize	注重	0.510	0.605	0.769
emphatic	語調強的	0.615	0.707	0.732
emphysema	氣腫	0.156	0.556	0.336
empire	帝國	0.688	0.730	0.944
empirical	經驗	0.500	0.510	0.574
empiricism	經驗主義	0.583	0.460	0.547
employ	採用	0.729	0.481	0.702
employee	僱員	0.582	0.361	0.481
employer	雇主	0.663	0.518	0.767
employment	僱用	0.750	0.594	0.611
emporium	商場	0.622	0.556	0.724
empower	授權	0.694	0.779	0.891
empress	皇后	0.716	0.669	0.855
emptiness	空虛	0.177	0.173	0.184
emption	優先購買權	0.570	0.406	0.458
empty	空	0.188	0.183	0.081
emu	鴯	0.420	0.358	0.330
emulate	仿真	0.438	0.340	0.549
emulsion	乳膠	0.562	0.431	0.453
enable	啟用	0.760	0.491	0.782
enablement	啟用	0.600	0.451	0.750
enact	制定	0.680	0.564	0.598
enactment	設定	0.667	0.612	0.769
enamel	搪瓷	0.594	0.280	0.306
encampment	紮營	0.677	0.573	0.605
enchant	蠱惑	0.873	0.650	0.643
enchanted	入迷	0.917	0.633	0.687
enchanting	妖嬈	0.917	0.681	0.708
enchantment	魅力	0.816	0.775	0.647
enchantress	女巫	0.398	0.663	0.479
enchilada	安吉拉卷	0.542	0.553	0.371
encircle	包圍	0.460	0.500	0.519
encircling	包圍	0.510	0.368	0.557
enclave	飛地	0.531	0.333	0.580
enclose	括	0.531	0.477	0.473
enclosure	附件	0.417	0.375	0.490
encode	編碼	0.490	0.500	0.734
encomiastic	NO TRANSLATION	0.541	0.500	0.670
encomium	encomium	0.541	0.451	0.519
encompass	環繞	0.520	0.298	0.661
encore	NO TRANSLATION	0.510	0.423	0.500
encounter	遭遇	0.865	0.702	0.689
encourage	鼓勵	0.896	0.580	0.704
encouraged	鼓勵	0.953	0.702	0.657
encouragement	鼓勵	0.865	0.700	0.759
encouraging	鼓舞人心的	0.823	0.583	0.755
encroach	侵犯	0.302	0.742	0.702
encroachment	侵犯	0.255	0.736	0.620
encrypt	加密	0.500	0.387	0.500
encryption	加密	0.547	0.415	0.474
encumbrance	累贅	0.300	0.521	0.480
encyclopedia	百科全書	0.679	0.320	0.645
end	結束	0.198	0.349	0.298
end table	茶几	0.541	0.480	0.482
endanger	危害	0.115	0.885	0.404
endangered	瀕危	0.083	0.885	0.430
endangerment	危害	0.167	0.873	0.519
endearing	優勝	0.663	0.434	0.604
endeavor	努力	0.677	0.755	0.765
ended	結束	0.302	0.500	0.500
endemic	流行	0.406	0.480	0.483
endgame	結束遊戲	0.449	0.538	0.526
ending	結尾	0.344	0.365	0.492
endless	無窮	0.347	0.462	0.472
endocarditis	心內膜炎	0.235	0.587	0.412
endorse	擁護	0.592	0.392	0.472
endorsement	背書	0.834	0.360	0.611
endow	賦予	0.684	0.398	0.609
endowed	天賦	0.755	0.510	0.769
endowment	天賦	0.685	0.578	0.647
endpapers	扉頁	0.542	0.400	0.339
endpoint	端點	0.311	0.410	0.448
endurance	耐力	0.592	0.745	0.760
endure	忍受	0.320	0.610	0.574
enduring	持久	0.633	0.459	0.768
enema	灌腸劑	0.281	0.673	0.268
enemy	敵人	0.135	0.794	0.591
energetic	有活力	0.847	0.868	0.902
energize	通電	0.792	0.810	0.875
energy	能源	0.944	0.725	0.868
enforce	執行	0.583	0.644	0.836
enforcement	強制	0.594	0.571	0.736
enforcer	實施者	0.398	0.612	0.639
engage	從事	0.771	0.796	0.713
engaged	訂婚	0.837	0.596	0.849
engagement	訂婚	0.906	0.587	0.807
engaging	卡	0.948	0.612	0.862
engender	產生	0.561	0.741	0.688
engine	發動機	0.615	0.644	0.676
engineer	工程師	0.719	0.500	0.875
engineering	工程	0.735	0.471	0.836
engrave	雕刻	0.486	0.442	0.517
engraved	刻	0.542	0.375	0.473
engraver	雕刻機	0.552	0.417	0.500
engraving	雕刻	0.604	0.430	0.442
engrossed	全神貫注	0.541	0.471	0.304
engrossing	引人入勝	0.698	0.702	0.750
engulf	吞噬	0.398	0.573	0.500
enhance	提高	0.802	0.578	0.814
enhancement	增強	0.877	0.490	0.741
enigma	謎	0.513	0.700	0.500
enigmatic	神秘	0.469	0.589	0.679
enjoin	責成	0.594	0.454	0.732
enjoy	請享用	0.959	0.725	0.750
enjoyable	其樂融融	1.000	0.481	0.605
enjoying	享受	0.908	0.759	0.759
enjoyment	享受	0.930	0.612	0.716
enlarge	放大	0.735	0.606	0.688
enlarged	放大	0.673	0.490	0.518
enlargement	放大	0.677	0.577	0.616
enlighten	開導	0.729	0.549	0.667
enlightened	開明	0.956	0.566	0.700
enlightening	啟發	0.825	0.729	0.727
enlightenment	啟示	0.837	0.549	0.619
enlist	招募	0.510	0.370	0.483
enliven	活躍	0.833	0.683	0.702
enmity	敵意	0.094	0.706	0.382
ennui	無聊	0.406	0.461	0.316
enormity	艱鉅	0.594	0.648	0.848
enormous	巨大	0.677	0.665	0.886
enormously	巨大	0.760	0.694	0.872
enraged	生氣	0.083	0.962	0.636
enrich	豐富	0.896	0.731	0.705
enroll	註冊	0.696	0.530	0.611
enrollment	註冊	0.667	0.391	0.698
ensemble	合奏	0.697	0.418	0.586
ensign	軍旗	0.663	0.270	0.545
enslave	奴役	0.073	0.800	0.481
enslaved	奴役	0.104	0.720	0.321
enslavement	奴役	0.086	0.635	0.302
ensue	接踵而至	0.698	0.363	0.332
ensure	確保	0.737	0.406	0.759
entail	意味著	0.484	0.630	0.645
entangled	糾纏	0.319	0.578	0.357
entanglement	糾葛	0.302	0.765	0.248
enter	輸入	0.708	0.470	0.500
enterprise	企業	0.760	0.392	0.754
enterprising	進取	0.865	0.784	0.875
entertain	招待	0.918	0.684	0.598
entertained	封盤	0.902	0.644	0.712
entertainer	藝人	0.888	0.709	0.759
entertaining	娛樂	0.833	0.658	0.660
entertainment	娛樂	0.847	0.750	0.569
enthralled	如醉如痴	0.745	0.602	0.615
enthusiasm	熱情	0.938	0.816	0.798
enthusiast	愛好者	0.867	0.810	0.875
enthusiastic	熱情	0.885	0.868	0.848
entice	誘惑	0.521	0.887	0.518
entire	整個	0.689	0.462	0.698
entirety	整體	0.854	0.460	0.804
entitle	有權	0.729	0.333	0.827
entity	實體	0.542	0.402	0.670
entomology	昆蟲學	0.438	0.396	0.545
entourage	隨行人員	0.491	0.567	0.467
entrails	腑臟	0.365	0.538	0.387
entrance	入口	0.698	0.393	0.526
entrapment	滯留	0.177	0.604	0.441
entreat	懇求	0.304	0.560	0.462
entree	主菜	0.615	0.477	0.624
entrepreneur	企業家	0.885	0.704	0.920
entrust	委託	0.693	0.310	0.630
entry	條目	0.552	0.353	0.602
enumerate	枚舉	0.521	0.390	0.491
enumeration	列舉	0.548	0.327	0.534
envelope	信封	0.604	0.275	0.377
envious	羨慕	0.110	0.754	0.341
environ	NO TRANSLATION	0.724	0.221	0.433
environment	環境	0.646	0.194	0.528
environmental	環境的	0.633	0.313	0.664
environs	周圍	0.561	0.288	0.345
envision	預見	0.625	0.449	0.483
envoy	使者	0.531	0.375	0.586
envy	羨慕	0.240	0.704	0.427
enzyme	酶	0.562	0.277	0.481
ephemeral	短暫的	0.500	0.312	0.377
ephemeris	歷書	0.640	0.380	0.528
epic	史詩	0.857	0.713	0.830
epidemic	疫情	0.092	0.830	0.611
epidermis	表皮	0.418	0.490	0.426
epidural	硬膜外	0.347	0.452	0.525
epilepsy	癲癇	0.061	0.854	0.250
epileptic	癲癇	0.146	0.794	0.340
epilogue	結語	0.582	0.353	0.466
epiphany	頓悟	0.625	0.596	0.526
episcopal	主教	0.542	0.314	0.750
episode	插曲	0.719	0.367	0.509
episodic	情節	0.531	0.542	0.462
epistle	書信	0.604	0.417	0.535
epitaph	墓誌銘	0.276	0.323	0.442
epithet	稱號	0.530	0.394	0.524
epitome	縮影	0.510	0.500	0.667
epoch	時代	0.553	0.343	0.797
equal	等於	0.781	0.178	0.407
equality	平等	0.898	0.305	0.716
equalization	均衡	0.625	0.422	0.423
equalize	均衡	0.738	0.281	0.574
equalizer	均衡器	0.604	0.451	0.586
equally	一樣	0.625	0.264	0.436
equate	等同	0.724	0.382	0.624
equation	方程	0.479	0.384	0.608
equator	赤道	0.550	0.302	0.462
equatorial	赤道	0.550	0.271	0.593
equestrian	騎馬的	0.633	0.519	0.417
equidistant	等距離	0.375	0.406	0.509
equilibration	平衡	0.724	0.317	0.593
equilibrium	平衡	0.676	0.235	0.620
equip	裝備	0.650	0.519	0.713
equipment	設備	0.745	0.495	0.700
equitable	公平	0.714	0.286	0.750
equity	公平	0.792	0.304	0.614
equivalence	等價	0.663	0.250	0.582
equivalent	當量	0.646	0.347	0.500
equivocal	曖昧	0.327	0.482	0.257
era	時代	0.615	0.407	0.449
eradicate	根除	0.260	0.690	0.686
eradication	根除	0.208	0.788	0.685
erase	抹去	0.240	0.260	0.321
eraser	橡皮	0.458	0.209	0.311
erasure	擦除	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	直立	0.643	0.885	0.627
erectile	勃起	0.542	0.796	0.625
erection	勃起	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	侵蝕	0.208	0.643	0.580
erosion	侵蝕	0.312	0.770	0.465
erotic	好色之徒	0.625	0.946	0.683
erotica	黃色書刊	0.781	0.870	0.579
err	呃	0.146	0.660	0.236
errand	使命	0.385	0.519	0.482
errant	對不按	0.205	0.602	0.375
erratic	不穩定的	0.271	0.503	0.217
erratum	誤排	0.327	0.528	0.436
erroneous	錯誤	0.057	0.561	0.245
error	錯誤	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	博學	0.719	0.434	0.774
erupt	爆發	0.188	0.820	0.818
eruption	噴發	0.156	0.913	0.733
escalade	凱雷德	0.480	0.724	0.442
escalate	升級	0.653	0.714	0.728
escalating	不斷升級	0.646	0.724	0.518
escalation	升級	0.571	0.807	0.582
escalator	自動樓梯	0.500	0.530	0.518
escape	逃逸	0.367	0.765	0.448
escaped	逃脫	0.365	0.755	0.518
escarpment	斷崖	0.406	0.553	0.470
eschew	避	0.184	0.438	0.370
escort	護送	0.729	0.480	0.608
escrow	第三方託管	0.449	0.520	0.613
esophagus	食管	0.429	0.454	0.464
esoteric	深奧	0.500	0.676	0.545
especial	NO TRANSLATION	0.827	0.419	0.794
espionage	間諜	0.312	0.750	0.620
espouse	擁護	0.802	0.529	0.598
espresso	濃咖啡	0.677	0.620	0.508
esprit	ESPRIT	0.552	0.431	0.407
esquire	男性尊稱	0.604	0.542	0.518
essay	文章	0.559	0.411	0.530
essayist	散文家	0.656	0.460	0.462
essence	本質	0.663	0.369	0.575
essential	必要	0.812	0.405	0.759
essentially	實質上	0.750	0.373	0.802
establish	建立	0.708	0.500	0.688
established	既定	0.796	0.394	0.694
establishment	編制	0.690	0.398	0.631
estate	房地產	0.653	0.385	0.647
esteem	尊重	0.745	0.380	0.679
esteemed	尊敬	0.694	0.418	0.531
esthetic	審美的	0.635	0.360	0.558
estimable	難能可貴	0.796	0.408	0.630
estimate	估計	0.719	0.469	0.517
estimation	估計	0.740	0.480	0.589
