Word	Malay-ms	Valence	Arousal	Dominance
coup	rampasan kuasa	0.275	0.815	0.607
coupe	coupe	0.479	0.460	0.482
couple	pasangan	0.806	0.605	0.607
coupled	ditambah pula	0.612	0.286	0.650
coupling	gandingan	0.594	0.479	0.555
coupon	kupon	0.704	0.300	0.421
courage	keberanian	0.830	0.728	0.849
courageous	berani	0.918	0.587	0.879
courier	kurier	0.551	0.383	0.441
courses	kursus	0.735	0.412	0.534
coursing	pengantar	0.542	0.472	0.546
court	mahkamah	0.479	0.769	0.827
courteous	sopan	0.937	0.396	0.529
courtesy	ihsan	0.927	0.287	0.431
courthouse	mahkamah	0.571	0.503	0.818
courtroom	bilik mahkamah	0.385	0.670	0.887
courts	mahkamah	0.367	0.710	0.816
courtship	pacaran	0.667	0.490	0.654
courtside	di luar mahkamah	0.592	0.391	0.434
courtyard	halaman	0.503	0.365	0.355
cousin	sepupu	0.675	0.394	0.427
cousins	sepupu	0.760	0.409	0.464
cove	cove	0.500	0.304	0.370
coven	perjanjian	0.458	0.578	0.591
covenant	perjanjian	0.594	0.462	0.667
cover	penutup	0.365	0.240	0.471
coverage	liputan	0.767	0.413	0.629
covered	dilindungi	0.562	0.340	0.644
covering	meliputi	0.615	0.382	0.583
covert	rahsia	0.500	0.570	0.508
covet	covet	0.302	0.779	0.524
coveted	didambakan	0.661	0.730	0.625
cow	lembu	0.449	0.230	0.300
coward	pengecut	0.102	0.490	0.149
cowardice	pengecut	0.133	0.621	0.167
cowardly	pengecut	0.102	0.385	0.127
cowboy	koboi	0.594	0.625	0.695
cowgirl	cowgirl	0.541	0.566	0.554
cowhand	cowhand	0.438	0.480	0.596
cowhide	kulit lembu	0.458	0.324	0.333
cowl	cowl	0.427	0.450	0.232
coworker	rakan sekerja	0.667	0.490	0.625
coy	coy	0.347	0.330	0.213
coyote	coyote	0.459	0.471	0.387
cozy	selesa	0.910	0.356	0.545
crab	ketam	0.421	0.396	0.330
crabby	crabby	0.198	0.812	0.370
crack	retak	0.302	0.625	0.400
cracked	retak	0.224	0.520	0.228
cracker	keropok	0.604	0.343	0.346
crackerjack	crackerjack	0.567	0.509	0.426
cracking	retak	0.327	0.557	0.286
crackle	retak	0.327	0.643	0.481
crackpot	retak	0.260	0.602	0.245
cradle	buaian	0.776	0.194	0.333
craft	kraf	0.760	0.321	0.539
crafts	kraf	0.667	0.380	0.391
craftsman	tukang	0.719	0.310	0.583
craftsmanship	ketukangan	0.823	0.373	0.571
crafty	licik	0.589	0.679	0.783
craig	craig	0.448	0.449	0.490
cram	engkol	0.354	0.730	0.598
crammed	penuh	0.406	0.740	0.466
cramp	kejang	0.194	0.796	0.340
cramped	sempit	0.240	0.567	0.360
cranberry	kranberi	0.793	0.330	0.363
cranberry juice	jus kranberi	0.622	0.321	0.281
crane	kren	0.396	0.417	0.589
cranial	tengkorak	0.354	0.510	0.583
cranium	tengkorak	0.439	0.491	0.725
crank	engkol	0.448	0.275	0.417
cranky	kentut	0.194	0.776	0.396
cranny	ceri	0.194	0.471	0.250
crap	omong kosong	0.083	0.644	0.167
crappy	jelek	0.039	0.582	0.208
craps	craps	0.375	0.420	0.273
crash	kemalangan	0.194	0.906	0.355
crass	crass	0.223	0.490	0.466
crate	peti	0.427	0.173	0.274
crater	kawah	0.450	0.647	0.529
crave	mengidam	0.625	0.510	0.731
craving	keinginan	0.510	0.755	0.636
crawfish	crawfish	0.510	0.427	0.342
crawl	merangkak	0.479	0.519	0.467
crayon	krayon	0.604	0.260	0.185
crayons	krayon	0.684	0.366	0.405
craze	kegilaan	0.255	0.657	0.435
crazed	gila	0.153	0.877	0.417
craziness	kegilaan	0.238	0.908	0.255
crazy	gila	0.156	0.843	0.321
creak	berderai	0.344	0.670	0.411
creaking	berderai	0.302	0.743	0.415
cream	krim	0.688	0.259	0.220
creamed	creamed	0.723	0.273	0.288
creamer	creamer	0.594	0.192	0.269
creamy	berkrim	0.823	0.337	0.345
crease	lipatan	0.440	0.286	0.300
create	buat	0.786	0.588	0.789
creation	ciptaan	0.927	0.575	0.868
creative	kreatif	0.917	0.518	0.788
creativity	kreativiti	0.938	0.684	0.815
creator	pencipta	0.865	0.592	0.856
creature	makhluk	0.669	0.625	0.620
credence	kepercayaan	0.760	0.460	0.737
credential	tauliah	0.735	0.337	0.597
credentials	kelayakan	0.708	0.373	0.675
credibility	kredibiliti	0.875	0.427	0.809
credible	boleh dipercayai	0.917	0.441	0.750
credit	kredit	0.673	0.549	0.648
credit card	kad kredit	0.670	0.550	0.640
creditable	boleh dipuji	0.802	0.510	0.742
credited	dikreditkan	0.781	0.390	0.691
crediting	mengkreditkan	0.673	0.550	0.741
creditor	pemiutang	0.479	0.594	0.689
creed	kepercayaan	0.573	0.245	0.544
creek	sungai	0.552	0.392	0.330
creep	merayap	0.354	0.647	0.361
creeper	menjalar	0.429	0.558	0.366
creeping	merangkak	0.292	0.613	0.282
creepy	menyeramkan	0.125	0.861	0.373
cremation	pembakaran mayat	0.084	0.620	0.420
creole	creole	0.667	0.357	0.523
crepe	krep	0.562	0.224	0.349
crescendo	crescendo	0.760	0.575	0.594
crescent	bulan sabit	0.698	0.382	0.407
crest	puncak	0.458	0.333	0.333
crestfallen	crestfallen	0.235	0.346	0.175
cretin	cretin	0.265	0.583	0.312
cretins	cretin	0.094	0.741	0.328
crevice	celah	0.361	0.471	0.275
crew	krew	0.604	0.598	0.735
crewman	anak kapal	0.602	0.580	0.548
crib	buaian	0.653	0.240	0.407
cricket	kriket	0.423	0.539	0.370
cried	menangis	0.167	0.612	0.254
crime	jenayah	0.071	0.943	0.630
criminal	jenayah	0.021	0.830	0.529
criminality	jenayah	0.122	0.863	0.580
crimp	kelim	0.260	0.557	0.396
crimson	lembab	0.667	0.385	0.370
cringe	merosot	0.245	0.840	0.377
cripple	cacat	0.094	0.392	0.161
crippled	lumpuh	0.035	0.358	0.236
crippling	melumpuhkan	0.156	0.598	0.391
crisis	krisis	0.208	0.811	0.431
crisp	segar	0.776	0.692	0.508
crispy	rangup	0.656	0.550	0.509
criterion	kriteria	0.396	0.410	0.736
critic	pengkritik	0.264	0.604	0.686
critical	kritikal	0.312	0.802	0.545
criticise	mengkritik	0.073	0.700	0.452
criticism	kritikan	0.115	0.563	0.505
criticize	mengkritik	0.143	0.708	0.473
criticized	dikritik	0.240	0.600	0.311
critique	kritikan	0.302	0.760	0.537
critter	kejang	0.542	0.539	0.482
croak	croak	0.337	0.346	0.298
croc	buaya	0.327	0.452	0.451
crock	crock	0.385	0.412	0.421
crockery	pinggan mangkuk	0.552	0.216	0.327
crocodile	buaya	0.344	0.708	0.610
croft	croft	0.531	0.429	0.421
croissant	croissant	0.745	0.330	0.430
crook	crook	0.171	0.765	0.550
crooked	bengkok	0.146	0.594	0.305
crop	potong	0.615	0.260	0.500
croquet	kroket	0.551	0.519	0.407
cross	menyeberang	0.448	0.321	0.569
cross country	negara salib	0.531	0.441	0.529
crossbow	silang	0.344	0.598	0.560
crossed	menyeberang	0.431	0.490	0.508
crossfire	silang	0.316	0.896	0.722
crossing	menyeberang	0.549	0.349	0.451
crossover	crossover	0.559	0.550	0.500
crosswalk	melintang	0.557	0.441	0.380
crossword	silang kata	0.611	0.423	0.455
crotch	kelengkungan	0.521	0.637	0.447
crouch	crouch	0.281	0.606	0.312
crouched	crouched	0.333	0.363	0.279
crouching	berjongkok	0.261	0.429	0.345
croupier	croupier	0.531	0.519	0.404
crow	gagak	0.224	0.439	0.363
crowbar	lekap	0.406	0.531	0.386
crowd	orang ramai	0.350	0.827	0.731
crowded	sesak	0.694	0.286	0.585
crowds	orang ramai	0.469	0.723	0.806
crown	mahkota	0.708	0.572	0.737
crowning	puncak	0.773	0.594	0.831
crucial	penting	0.541	0.657	0.777
cruciate	cruciate	0.429	0.435	0.585
crucifix	salib	0.469	0.480	0.510
crucifixion	penyaliban	0.135	0.857	0.541
crucify	salibkan	0.146	0.878	0.573
crud	crud	0.312	0.330	0.444
crude	mentah	0.198	0.402	0.357
cruel	kejam	0.122	0.866	0.391
cruelly	kejam	0.146	0.790	0.471
cruelty	kekejaman	0.092	0.836	0.536
cruise	pelayaran	0.740	0.442	0.683
cruise ship	kapal pesiar	0.878	0.650	0.500
cruiser	kapal penjelajah	0.737	0.490	0.608
cruising	pelayaran	0.886	0.580	0.560
crumb	remah	0.417	0.255	0.216
crumble	runtuh	0.333	0.480	0.423
crumbling	runtuh	0.167	0.696	0.308
crummy	kasar	0.125	0.531	0.224
crunch	kesakitan	0.292	0.630	0.406
crunchy	renyah	0.625	0.560	0.539
crusade	perang salib	0.592	0.720	0.709
crusader	tentera salib	0.439	0.588	0.548
crush	hancur	0.271	0.676	0.582
crushed	dihancurkan	0.167	0.647	0.300
crusher	penghancur	0.271	0.709	0.598
crushing	menghancurkan	0.219	0.755	0.411
crust	kerak	0.542	0.337	0.456
crusty	rangup	0.625	0.531	0.473
crutch	kruk	0.302	0.294	0.302
crux	crux	0.469	0.558	0.519
cry	menangis	0.133	0.627	0.255
crybaby	crybaby	0.375	0.702	0.311
crying	menangis	0.153	0.704	0.208
crypt	crypt	0.156	0.431	0.386
cryptic	misteri	0.296	0.516	0.474
cryptography	kriptografi	0.490	0.415	0.650
crystal	kristal	0.618	0.270	0.508
crystalline	kristal	0.765	0.235	0.534
crystallization	penghabluran	0.600	0.449	0.565
cub	cub	0.646	0.382	0.284
cubby	cubby	0.354	0.385	0.360
cube	kubus	0.469	0.226	0.274
cubic	kubik	0.458	0.306	0.407
cubicle	bilik kecil	0.479	0.343	0.417
cuckold	Cuckold	0.210	0.573	0.230
cuckoo	cuckoo	0.420	0.459	0.284
cucumber	timun	0.490	0.235	0.237
cuddle	berpelukan	0.885	0.559	0.475
cuddled	berpelukan	0.906	0.547	0.567
cuddles	memeluk	0.847	0.382	0.500
cuddling	memeluk	0.917	0.562	0.433
cue	isyarat	0.521	0.433	0.484
cuff	cuff	0.469	0.453	0.387
cuisine	masakan	0.714	0.365	0.390
culinary	masakan	0.654	0.443	0.519
cull	pemusnah	0.365	0.702	0.464
culminate	memuncak	0.667	0.550	0.602
culmination	kemuncak	0.656	0.586	0.695
culpability	kesakitan	0.112	0.745	0.368
culpable	bersalah	0.140	0.700	0.319
culprit	pelakunya	0.062	0.676	0.333
cult	kultus	0.448	0.535	0.648
cultivate	memupuk	0.708	0.410	0.598
cultivated	ditanam	0.837	0.343	0.564
cultivation	penanaman	0.625	0.324	0.462
cultural	budaya	0.802	0.390	0.623
culture	budaya	0.753	0.304	0.675
cultured	berbudaya	0.635	0.429	0.625
culvert	pembetung	0.337	0.324	0.343
cumbersome	rumit	0.259	0.623	0.292
cumulus	cumulus	0.570	0.433	0.432
cunning	licik	0.604	0.685	0.683
cunt	kemaluan wanita	0.135	0.673	0.377
cup	cawan	0.615	0.167	0.231
cupboard	almari	0.553	0.200	0.304
cupcake	cupcake	0.656	0.333	0.344
cupping	cupping	0.490	0.610	0.402
cur	cur	0.440	0.519	0.460
curable	boleh dirawat	0.823	0.292	0.574
curate	kurate	0.726	0.418	0.526
curative	kuratif	0.667	0.318	0.613
curator	kurator	0.688	0.389	0.688
curb	membendung	0.472	0.371	0.402
curd	curd	0.542	0.442	0.278
cure	penawar	0.719	0.377	0.623
curfew	perintah berkurung	0.219	0.618	0.623
curiosity	rasa ingin tahu	0.750	0.755	0.463
curious	ingin tahu	0.635	0.600	0.483
curl	curl	0.385	0.452	0.351
curling	keriting	0.583	0.592	0.400
currency	mata wang	0.583	0.418	0.592
current	semasa	0.625	0.312	0.612
curriculum	kurikulum	0.708	0.306	0.620
curry	kari	0.633	0.345	0.302
curse	kutukan	0.033	0.720	0.375
cursed	sumpah	0.083	0.783	0.393
cursing	kutuk	0.112	0.860	0.446
cursory	sepintas lalu	0.423	0.451	0.431
curt	kurang upaya	0.245	0.610	0.452
curtail	kencang	0.306	0.439	0.497
curtailment	pengurangan	0.230	0.578	0.431
curtain	tirai	0.698	0.278	0.304
curtains	langsir	0.615	0.123	0.342
curtsy	singkat	0.635	0.412	0.598
curvature	kelengkungan	0.417	0.367	0.447
curve	lengkung	0.480	0.375	0.307
curved	melengkung	0.542	0.407	0.337
curvilinear	curvilinear	0.480	0.575	0.411
cushion	kusyen	0.653	0.221	0.292
cushy	selesa	0.823	0.283	0.395
cusp	cusp	0.667	0.710	0.700
cuss	cuss	0.354	0.538	0.443
cussed	cussed	0.156	0.625	0.454
custard	kustard	0.618	0.260	0.293
custodial	penjaga	0.418	0.462	0.718
custodian	penjaga	0.594	0.625	0.528
custody	jagaan	0.494	0.472	0.675
custom	adat	0.552	0.382	0.688
customary	adat	0.700	0.253	0.561
customer	pelanggan	0.562	0.430	0.673
customized	disesuaikan	0.625	0.504	0.590
cut	potong	0.490	0.490	0.393
cutaneous	kulit kutan	0.365	0.370	0.328
cute	comel	0.920	0.528	0.579
cuticle	kutikula	0.340	0.320	0.377
cutie	cutie	0.638	0.528	0.464
cutlass	cutlass	0.173	0.648	0.528
cutlery	peralatan makan	0.552	0.300	0.345
cutoff	potong	0.432	0.510	0.518
cutter	pemotong	0.427	0.731	0.583
cutters	pemotong	0.197	0.653	0.491
cutthroat	cutthroat	0.110	0.823	0.663
cutting	memotong	0.448	0.375	0.536
cutting board	papan pemotong	0.337	0.540	0.342
cuttings	keratan	0.479	0.392	0.433
cwt	cwt	0.500	0.410	0.384
cyanide	sianida	0.229	0.667	0.545
cyberspace	ruang siber	0.677	0.594	0.611
cycle	kitaran	0.635	0.400	0.533
cyclical	kitaran	0.380	0.450	0.554
cyclist	pelumba	0.684	0.582	0.576
cyclone	siklon	0.416	0.796	0.673
cylinder	silinder	0.459	0.324	0.447
cylindrical	silinder	0.458	0.294	0.414
cymbal	cymbal	0.542	0.363	0.362
cynic	sinis	0.135	0.632	0.473
cynical	sinis	0.156	0.760	0.474
cynicism	sinis	0.104	0.780	0.454
cyst	sista	0.173	0.578	0.312
cystic	cystic	0.314	0.481	0.400
cytomegalovirus	cytomegalovirus	0.186	0.657	0.443
cytoplasm	sitoplasma	0.378	0.442	0.474
czar	czar	0.480	0.348	0.643
dab	dab	0.510	0.337	0.340
dabble	dabble	0.550	0.530	0.491
dabbling	dabbling	0.562	0.726	0.676
dad	ayah	0.857	0.412	0.786
daddy	ayah	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	daemon	0.333	0.490	0.500
daft	daft	0.255	0.436	0.157
dagger	pisau	0.224	0.797	0.613
daily	setiap hari	0.653	0.347	0.473
dainty	cantik	0.604	0.284	0.424
daiquiri	daiquiri	0.670	0.519	0.400
dairy	tenusu	0.633	0.255	0.462
daisy	daisy	0.562	0.367	0.333
dak	NO TRANSLATION	0.510	0.417	0.424
dale	dale	0.622	0.270	0.365
dam	empangan	0.250	0.553	0.394
damage	kerosakan	0.059	0.726	0.403
damaged	rosak	0.104	0.635	0.182
damages	ganti rugi	0.082	0.760	0.310
dame	kemasyhuran	0.694	0.480	0.500
damn	sialan	0.073	0.784	0.431
damnation	kutukan	0.135	0.750	0.416
damned	terkutuk	0.100	0.760	0.465
damp	lembap	0.360	0.279	0.210
dampened	lembap	0.271	0.422	0.336
damper	peredam	0.459	0.378	0.473
damsel	damsel	0.719	0.475	0.400
dance	tarian	0.894	0.840	0.551
dancer	penari	0.740	0.768	0.545
dancing	menari	0.885	0.868	0.444
dandruff	kelemumur	0.398	0.298	0.293
dandy	sangat bagus	0.673	0.520	0.630
danger	bahaya	0.115	0.923	0.673
dangerous	berbahaya	0.020	0.941	0.658
dangerously	berbahaya	0.082	0.930	0.564
dangit	NO TRANSLATION	0.396	0.606	0.358
dangle	menggegarkan	0.362	0.469	0.375
dank	NO TRANSLATION	0.390	0.381	0.383
dapper	penipu	0.770	0.560	0.698
dare	berani	0.677	0.788	0.684
daredevil	daredevil	0.429	0.714	0.653
daresay	daresay	0.540	0.451	0.490
daring	berani	0.583	0.840	0.711
dark	gelap	0.198	0.398	0.426
darken	gelap	0.250	0.471	0.382
darkened	gelap	0.135	0.440	0.452
darkly	gelap	0.219	0.548	0.443
darkness	kegelapan	0.102	0.602	0.418
darkroom	bilik gelap	0.188	0.627	0.423
darkside	gelap	0.102	0.690	0.365
darling	sayang	0.885	0.370	0.608
darn	darn	0.115	0.765	0.418
dart	dart	0.417	0.608	0.500
dash	dash	0.574	0.312	0.324
dashboard	papan pemuka	0.510	0.371	0.595
dashed	putus asa	0.276	0.393	0.338
dashing	dashing	0.612	0.627	0.799
dastardly	sangat buruk	0.208	0.688	0.270
data	data	0.500	0.250	0.426
database	pangkalan data	0.604	0.286	0.644
date	Tarikh	0.604	0.231	0.400
datenight	NO TRANSLATION	0.708	0.637	0.518
daughter	anak perempuan	0.908	0.415	0.455
dawdle	dawdle	0.479	0.464	0.357
dawn	subuh	0.827	0.235	0.519
dawned	terbit	0.694	0.471	0.473
day	hari	0.719	0.269	0.389
daybreak	petang hari	0.802	0.358	0.474
daycare	penjagaan anak	0.776	0.481	0.360
daydream	daydream	0.750	0.337	0.456
daydreaming	melamun	0.776	0.360	0.479
daylight	siang hari	0.865	0.420	0.545
daymade	NO TRANSLATION	0.646	0.450	0.417
dayoff	NO TRANSLATION	0.760	0.368	0.377
daytime	siang hari	0.750	0.324	0.454
daze	hampa	0.245	0.735	0.329
dazed	tercengang	0.300	0.697	0.277
dazzle	dazzle	0.730	0.782	0.683
dazzling	mempesonakan	0.854	0.880	0.767
deacon	deacon	0.531	0.430	0.736
deactivate	menyahaktifkan	0.235	0.447	0.392
dead	mati	0.052	0.454	0.194
deadbeat	deadbeat	0.229	0.453	0.368
deadline	tarikh akhir	0.214	0.615	0.460
deadlines	tarikh akhir	0.406	0.769	0.411
deadlock	kebuntuan	0.170	0.418	0.323
deadly	maut	0.143	0.849	0.554
deaf	pekak	0.186	0.324	0.161
deafening	memekakkan	0.281	0.835	0.482
deafness	pekak	0.125	0.413	0.219
deal	berurusan	0.719	0.599	0.543
dealer	peniaga	0.799	0.615	0.683
dealership	pengedar	0.541	0.430	0.629
dealing	berurusan	0.724	0.415	0.598
dealings	urusan	0.600	0.491	0.480
dean	dekan	0.612	0.469	0.723
dear	sayang	0.880	0.434	0.629
dearest	sayang	0.902	0.427	0.508
dearth	kekurangan	0.156	0.539	0.255
death	kematian	0.031	0.720	0.472
deathbed	kematian	0.051	0.652	0.311
deathly	maut	0.073	0.771	0.682
debacle	kebingungan	0.156	0.606	0.266
debased	terdesak	0.219	0.529	0.170
debatable	boleh dibahaskan	0.181	0.610	0.474
debate	perbahasan	0.408	0.691	0.683
debauchery	perbuatan jahat	0.354	0.901	0.500
debenture	debentur	0.417	0.500	0.466
debilitating	melemahkan	0.125	0.490	0.308
debit	debit	0.333	0.400	0.474
debrief	debat	0.247	0.343	0.549
debriefing	tanya jawab	0.427	0.580	0.456
debris	serpihan	0.135	0.396	0.327
debt	hutang	0.204	0.598	0.336
debtor	penghutang	0.219	0.546	0.160
debut	debutnya	0.806	0.606	0.629
debutante	debutante	0.771	0.627	0.454
decade	dekad	0.531	0.402	0.665
decadence	dekaden	0.237	0.455	0.291
decadent	dekaden	0.290	0.559	0.324
decaf	decaf	0.480	0.324	0.353
decanter	decanter	0.438	0.567	0.510
decathlon	decathlon	0.573	0.753	0.620
decay	kerosakan	0.143	0.312	0.170
decayed	busuk	0.017	0.375	0.169
decaying	merosot	0.073	0.510	0.214
deceased	mati	0.021	0.538	0.188
decedent	dendam	0.423	0.481	0.415
deceit	penipuan	0.020	0.696	0.343
deceitful	penipu	0.071	0.788	0.371
deceive	memperdaya	0.094	0.775	0.414
deceived	tertipu	0.059	0.673	0.302
deceiving	menipu	0.099	0.636	0.426
december	Disember	0.740	0.540	0.464
decency	kesopanan	0.750	0.235	0.634
decent	baik	0.823	0.296	0.653
deception	penipuan	0.090	0.745	0.370
deceptive	menipu	0.027	0.605	0.294
decide	membuat keputusan	0.656	0.540	0.855
decidedly	dengan jelas	0.750	0.480	0.843
deciduous	daun luruh	0.385	0.353	0.282
decimal	perpuluhan	0.507	0.259	0.305
decimeter	decimeter	0.520	0.292	0.377
decipher	mentafsirkan	0.417	0.630	0.652
decision	keputusan	0.646	0.510	0.839
decisive	tegas	0.740	0.509	0.935
deck	dek	0.420	0.333	0.394
declaration	pengisytiharan	0.551	0.590	0.714
declaratory	pengisytiharan	0.635	0.582	0.673
declare	mengisytiharkan	0.677	0.623	0.668
declination	deklinasi	0.250	0.549	0.311
decline	penurunan	0.173	0.491	0.240
declining	menurun	0.328	0.400	0.264
deco	deco	0.625	0.274	0.356
decode	menyahkod	0.551	0.510	0.640
decoder	penyahkod	0.562	0.340	0.686
decompose	terurai	0.194	0.596	0.241
decomposed	terurai	0.073	0.442	0.231
decomposition	penguraian	0.133	0.600	0.263
decompress	dekompresi	0.438	0.430	0.509
decompression	penyahmampatan	0.208	0.520	0.311
decontamination	dekontaminasi	0.611	0.538	0.573
decor	hiasan	0.734	0.311	0.573
decorate	menghiasi	0.954	0.370	0.404
decorating	menghias	0.863	0.548	0.462
decoration	hiasan	0.878	0.553	0.526
decorative	hiasan	0.908	0.460	0.381
decorator	penghias	0.840	0.471	0.455
decorum	kesopanan	0.802	0.327	0.462
decoy	menipu	0.149	0.460	0.330
decrease	pengurangan	0.125	0.360	0.267
decreased	menurun	0.224	0.271	0.170
decreasing	berkurangan	0.320	0.346	0.224
decree	dekri	0.552	0.478	0.746
decrement	pengurangan	0.255	0.427	0.373
decrepit	kejang	0.156	0.490	0.225
decry	decry	0.400	0.814	0.548
decryption	penyahsulitan	0.459	0.445	0.600
dedicate	mendedikasikan	0.823	0.431	0.588
dedication	dedikasi	0.867	0.471	0.682
deduce	deduce	0.490	0.510	0.466
deduct	memotong	0.355	0.330	0.412
deductible	boleh ditolak	0.375	0.286	0.455
deduction	potongan	0.438	0.462	0.527
deed	surat ikatan	0.520	0.320	0.592
deejay	deejay	0.551	0.630	0.473
deem	anggap	0.594	0.529	0.690
deep	mendalam	0.490	0.473	0.657
deepen	mendalam	0.625	0.530	0.776
deer	rusa	0.583	0.375	0.292
defamation	fitnah	0.110	0.670	0.481
defamatory	memfitnah	0.143	0.688	0.402
default	lalai	0.459	0.343	0.712
defeat	kekalahan	0.092	0.500	0.224
defeated	dikalahkan	0.104	0.582	0.145
defeatist	kekalahan	0.163	0.567	0.315
defect	kecacatan	0.135	0.561	0.185
defection	pembelotan	0.146	0.594	0.330
defective	cacat	0.122	0.580	0.274
defector	defector	0.163	0.696	0.286
defend	bertahan	0.698	0.722	0.670
defendant	defendan	0.250	0.710	0.491
defended	bertahan	0.663	0.451	0.582
defender	pertahanan	0.639	0.708	0.750
defending	mempertahankan diri	0.604	0.871	0.812
defense	pertahanan	0.652	0.698	0.802
defenseless	tanpa pertahanan	0.143	0.357	0.105
defensible	boleh dipertahankan	0.740	0.509	0.593
defensive	pertahanan	0.542	0.640	0.678
defer	menunda	0.245	0.459	0.317
deference	penghormatan	0.510	0.396	0.447
deferral	penangguhan	0.765	0.542	0.327
deferring	menunda	0.343	0.500	0.413
defiance	bantahan	0.333	0.780	0.760
defiant	bertentangan	0.250	0.792	0.769
defibrillator	defibrillator	0.398	0.663	0.431
deficiency	kekurangan	0.073	0.373	0.179
deficient	kekurangan	0.240	0.464	0.132
deficit	defisit	0.358	0.500	0.269
define	mentakrifkan	0.688	0.415	0.632
defined	ditakrifkan	0.670	0.214	0.646
definite	pasti	0.708	0.292	0.741
definition	definisi	0.573	0.375	0.579
definitive	muktamad	0.583	0.479	0.787
deflate	mengempiskan	0.148	0.404	0.237
deflation	deflasi	0.287	0.536	0.407
deflect	memesongkan	0.133	0.491	0.482
deflection	pesongan	0.188	0.500	0.382
defloration	pemetikan	0.188	0.690	0.434
deform	ubah bentuk	0.112	0.654	0.284
deformed	cacat	0.198	0.435	0.308
deformity	kecacatan	0.160	0.569	0.241
defraud	menipu	0.175	0.635	0.314
defray	bayaran	0.375	0.598	0.653
defrost	defrost	0.427	0.317	0.389
deft	deft	0.719	0.575	0.849
defunct	tidak berfungsi lagi	0.112	0.491	0.272
defuse	merosakkan	0.167	0.480	0.430
defy	menentang	0.353	0.884	0.657
degeneracy	degenerasi	0.143	0.720	0.298
degenerate	merosot	0.069	0.724	0.264
degeneration	degenerasi	0.245	0.578	0.371
degradation	degradasi	0.160	0.608	0.315
degrade	merosot	0.083	0.500	0.184
degraded	terdegradasi	0.167	0.433	0.205
degrading	merendahkan diri	0.031	0.583	0.232
degree	ijazah	0.724	0.365	0.663
dehydrated	dehidrasi	0.310	0.685	0.212
dehydration	dehidrasi	0.188	0.472	0.259
dejected	dendam	0.104	0.654	0.347
delay	kelewatan	0.204	0.510	0.162
delayed	ditangguhkan	0.188	0.490	0.216
delectable	lazat	0.781	0.642	0.718
delegate	mewakilkan	0.612	0.491	0.658
delegation	delegasi	0.562	0.431	0.609
delete	padam	0.292	0.298	0.409
deleterious	merosakkan	0.297	0.725	0.440
deletion	penghapusan	0.062	0.506	0.462
deli	deli	0.561	0.448	0.447
deliberate	sengaja	0.551	0.654	0.682
deliberation	perbincangan	0.561	0.678	0.596
deliberative	sengaja	0.392	0.552	0.573
delicacy	makanan istimewa	0.812	0.279	0.336
delicate	halus	0.583	0.294	0.366
delicatessen	delicatessen	0.656	0.474	0.400
delicious	lazat	0.927	0.650	0.589
delight	gembira	0.949	0.666	0.647
delighted	gembira	0.938	0.664	0.685
delightful	menarik	0.918	0.735	0.644
delineate	nyatakan	0.448	0.430	0.445
delineation	penerangan	0.521	0.402	0.314
delinquency	kenakalan	0.135	0.860	0.508
delinquent	bertentangan	0.051	0.904	0.500
delirious	gila	0.219	0.774	0.538
delirium	kecelaruan	0.233	0.694	0.484
deliver	menyampaikan	0.583	0.370	0.582
deliverance	pembebasan	0.750	0.520	0.658
delivery	penghantaran	0.704	0.461	0.786
dell	dell	0.458	0.380	0.453
delta	delta	0.551	0.343	0.509
delude	delude	0.143	0.627	0.353
deluge	banjir	0.245	0.714	0.612
delusion	khayalan	0.344	0.647	0.400
delusional	delusi	0.219	0.745	0.327
deluxe	mewah	0.792	0.612	0.755
delve	menyelidiki	0.469	0.529	0.684
demand	permintaan	0.292	0.673	0.500
demanding	menuntut	0.396	0.750	0.828
demeaned	demean	0.271	0.520	0.212
demeaning	merendahkan diri	0.104	0.645	0.308
demeanor	sikap	0.633	0.433	0.657
demented	demented	0.088	0.787	0.309
dementia	demensia	0.092	0.779	0.337
demise	mati	0.104	0.596	0.456
demo	demo	0.510	0.314	0.423
democracy	demokrasi	0.680	0.500	0.840
democrat	demokrat	0.582	0.400	0.755
democratic	demokratik	0.802	0.519	0.798
demographic	demografik	0.459	0.356	0.594
demolish	merobohkan	0.125	0.632	0.700
demolished	dirobohkan	0.271	0.647	0.353
demolition	perobohan	0.133	0.827	0.541
demon	setan	0.037	0.908	0.509
demonic	syaitan	0.146	0.875	0.600
demonstrable	boleh dibuktikan	0.735	0.471	0.749
demonstrate	tunjukkan	0.771	0.552	0.839
demonstrated	ditunjukkan	0.617	0.500	0.649
demonstrating	menunjukkan	0.698	0.571	0.693
demonstration	demonstrasi	0.551	0.676	0.679
demonstrative	demonstrasi	0.656	0.528	0.736
demonstrator	penunjuk perasaan	0.520	0.598	0.733
demoralized	demoralisasi	0.082	0.590	0.149
demos	demo	0.418	0.370	0.368
demure	demure	0.690	0.315	0.417
den	NO TRANSLATION	0.510	0.347	0.398
deniability	kebolehpercayaan	0.230	0.509	0.417
denial	penafian	0.194	0.435	0.318
denied	ditolak	0.188	0.604	0.333
denim	denim	0.520	0.382	0.327
denomination	denominasi	0.490	0.363	0.429
denominational	denominasi	0.458	0.375	0.679
denominator	penyebut	0.450	0.410	0.613
denote	menunjukkan	0.448	0.471	0.534
