Word	Shona-sn	Valence	Arousal	Dominance
eeek	NO TRANSLATION	0.333	0.490	0.302
eek	eek	0.292	0.529	0.343
eel	eel	0.292	0.564	0.487
eerie	eerie	0.265	0.771	0.442
effect	kuitika	0.570	0.518	0.608
effective	kubudirira	0.844	0.632	0.891
effectiveness	kubudirira	0.640	0.654	0.812
effects	migumisiro	0.470	0.578	0.379
effectual	effectual	0.776	0.559	0.820
effectually	effectually	0.724	0.500	0.594
effectuate	effectuate	0.510	0.602	0.679
effeminate	effeminate	0.337	0.619	0.291
efficacious	anobatsira	0.823	0.698	0.845
efficacy	efficacy	0.802	0.490	0.906
efficiency	kubudirira	0.802	0.509	0.892
efficient	inoshanda	0.959	0.604	0.830
effigy	effigy	0.510	0.440	0.401
effort	kuedza	0.698	0.778	0.858
effortless	kushanda nesimba	0.626	0.090	0.352
effusion	effusion	0.344	0.730	0.472
effyou	NO TRANSLATION	0.354	0.529	0.490
egg	yai	0.684	0.241	0.293
egghead	egghead	0.316	0.492	0.284
eggnog	eggnog	0.635	0.360	0.259
eggplant	eggplant	0.592	0.152	0.323
eggshell	eggshell	0.408	0.269	0.212
ego	ego	0.328	0.576	0.593
egomaniac	egomaniac	0.133	0.708	0.596
egotistical	egotistical	0.156	0.667	0.363
egregious	zvinoshamisa	0.150	0.716	0.442
egress	egress	0.490	0.429	0.287
eight	sere	0.540	0.199	0.315
eighteen	gumi nesere	0.523	0.340	0.404
eighth	chesere	0.531	0.226	0.380
eighty	makumi masere	0.500	0.300	0.453
ejaculate	ejaculate	0.604	0.896	0.604
ejaculation	ejaculation	0.615	0.893	0.547
eject	siya	0.434	0.656	0.559
ejection	ejection	0.188	0.836	0.554
elaborate	Tsanangura	0.561	0.367	0.680
elaboration	elaboration	0.708	0.500	0.598
elan	NO TRANSLATION	0.562	0.367	0.500
elapse	elapse	0.514	0.440	0.455
elapsed	yakapera	0.583	0.451	0.493
elastic	elastic	0.656	0.518	0.385
elasticity	elasticity	0.635	0.452	0.582
elated	vakafara	0.792	0.960	0.725
elation	chikamu	0.740	0.853	0.623
elbow	gokora	0.448	0.133	0.254
eld	eld	0.471	0.292	0.451
elder	mukoma	0.448	0.153	0.462
elderly	vakwegura	0.615	0.212	0.283
elders	vakuru	0.602	0.260	0.441
eldest	eldest	0.625	0.471	0.741
elect	vakasarudzwa	0.667	0.554	0.661
election	sarudzo	0.625	0.519	0.651
elective	kusarudza	0.612	0.380	0.623
elector	vasarudzo	0.479	0.520	0.766
electoral	sarudzo	0.490	0.631	0.602
electorate	electorate	0.560	0.380	0.696
electric	magetsi	0.458	0.708	0.512
electric slide	magetsi slide	0.542	0.660	0.536
electrical	magetsi	0.531	0.620	0.688
electrician	magetsi	0.449	0.590	0.620
electricity	magetsi	0.698	0.810	0.733
electrify	electrify	0.520	0.769	0.737
electrocute	electrocute	0.271	0.731	0.555
electrocution	electrocution	0.177	0.844	0.692
electromagnetic	electromagnetic	0.531	0.632	0.683
electron	electron	0.520	0.455	0.560
electronic	electronic	0.571	0.490	0.704
electronics	electronics	0.708	0.545	0.574
elegance	elegance	0.918	0.396	0.824
elegant	elegant	0.865	0.500	0.685
element	element	0.531	0.259	0.481
elemental	elemental	0.627	0.306	0.711
elementary	elementary	0.594	0.286	0.686
elements	zvikamu	0.510	0.312	0.462
elephant	nzou	0.531	0.510	0.615
elevate	kukwidziridza	0.812	0.500	0.804
elevated	yakakwirira	0.704	0.594	0.620
elevation	elevation	0.760	0.759	0.711
elevator	elevator	0.562	0.604	0.676
eleven	gumi neimwe	0.449	0.250	0.430
eleventh	chegumi neimwe	0.594	0.329	0.357
elf	elf	0.460	0.457	0.315
elicit	inokumbira	0.406	0.594	0.658
eligible	akakodzera	0.750	0.400	0.518
eliminate	kubvisa	0.265	0.670	0.324
elimination	kubviswa	0.052	0.667	0.431
elite	elite	0.688	0.704	0.737
elitist	elitist	0.500	0.606	0.656
elixir	elixir	0.708	0.587	0.604
elk	elk	0.439	0.337	0.340
ell	ell	0.469	0.418	0.373
ellipse	ellipse	0.531	0.410	0.479
ellipsis	ellipsis	0.653	0.358	0.314
ellipsoid	ellipsoid	0.500	0.440	0.419
elliptic	elliptic	0.500	0.431	0.528
elliptical	elliptical	0.338	0.385	0.490
elm	elm	0.510	0.345	0.321
elongate	elongate	0.583	0.385	0.540
elongation	elongation	0.561	0.500	0.500
elope	elope	0.396	0.694	0.528
eloquence	rakananga	0.729	0.490	0.804
eloquent	nyanzvi	0.870	0.680	0.741
elucidate	elucidate	0.583	0.509	0.518
elucidation	elucidation	0.650	0.574	0.586
elude	elude	0.438	0.521	0.464
elusive	zvisingaiti	0.229	0.615	0.466
emaciated	emaciated	0.103	0.541	0.151
email	email	0.698	0.230	0.456
emanate	emanate	0.653	0.464	0.554
emancipation	kusunungurwa	0.704	0.684	0.763
embankment	kubatwa	0.677	0.438	0.436
embargo	NO TRANSLATION	0.229	0.564	0.443
embark	kutanga	0.541	0.550	0.619
embarrass	kunyara	0.082	0.667	0.364
embarrassed	kunyara	0.184	0.560	0.246
embarrassing	kunyadzisa	0.226	0.809	0.225
embarrassment	kunyara	0.143	0.685	0.226
embassy	embassy	0.622	0.333	0.758
embattled	embattled	0.235	0.724	0.421
embed	kuvhara	0.417	0.554	0.670
embellish	embellish	0.842	0.500	0.769
embellishment	embellishment	0.673	0.449	0.405
embers	embels	0.490	0.481	0.508
embezzlement	kunyengera	0.143	0.827	0.435
embezzler	embezzler	0.146	0.823	0.491
emblem	chiratidzo	0.640	0.330	0.754
emblematic	emblematic	0.771	0.459	0.798
embodiment	mufananidzo	0.562	0.690	0.663
embolism	embolism	0.104	0.660	0.302
embossed	embossed	0.531	0.481	0.500
embrace	embrace	0.949	0.490	0.452
embroidered	akavezwa	0.677	0.279	0.407
embroidery	embroidery	0.781	0.358	0.280
embroiled	embroiled	0.337	0.721	0.420
embryo	embryo	0.673	0.469	0.453
embryonic	embryonic	0.573	0.453	0.598
emcee	emcee	0.694	0.577	0.691
emerald	emerald	0.740	0.363	0.726
emerge	kubuda	0.602	0.594	0.731
emergence	emergence	0.276	0.857	0.676
emergency	dambudziko	0.200	0.900	0.571
emeritus	emeritus	0.633	0.402	0.735
emery	emery	0.469	0.583	0.472
emetophobia	emetophobia	0.243	0.620	0.403
emigrate	emigrate	0.356	0.812	0.508
emigration	emigration	0.564	0.664	0.432
eminence	eminence	0.816	0.644	0.837
eminent	zvikuru	0.740	0.620	0.830
eminently	eminently	0.694	0.607	0.773
emir	NO TRANSLATION	0.510	0.396	0.621
emissary	nhume	0.562	0.462	0.636
emission	emission	0.510	0.453	0.591
emit	emit	0.638	0.445	0.510
emo	emo	0.354	0.314	0.226
emotion	manzwiro	0.693	0.873	0.696
emotional	manzwiro	0.779	0.714	0.526
emotive	emotive	0.917	0.741	0.525
empathic	empathic	0.760	0.570	0.558
empathize	empathize	0.802	0.591	0.660
empathy	kunzwira tsitsi	0.729	0.349	0.545
emperor	mambo	0.651	0.704	0.962
emphasis	kusimbiswa	0.653	0.745	0.816
emphasize	kusimbisa	0.510	0.605	0.769
emphatic	emphatic	0.615	0.707	0.732
emphysema	emphysema	0.156	0.556	0.336
empire	empire	0.688	0.730	0.944
empirical	empirical	0.500	0.510	0.574
empiricism	empiricism	0.583	0.460	0.547
employ	shandisa	0.729	0.481	0.702
employee	mushandi	0.582	0.361	0.481
employer	mushandirwi	0.663	0.518	0.767
employment	basa	0.750	0.594	0.611
emporium	emporium	0.622	0.556	0.724
empower	simba	0.694	0.779	0.891
empress	empress	0.716	0.669	0.855
emptiness	chisina	0.177	0.173	0.184
emption	emption	0.570	0.406	0.458
empty	zvisina chinhu	0.188	0.183	0.081
emu	emu	0.420	0.358	0.330
emulate	emulate	0.438	0.340	0.549
emulsion	emulsion	0.562	0.431	0.453
enable	simba	0.760	0.491	0.782
enablement	enablement	0.600	0.451	0.750
enact	ita	0.680	0.564	0.598
enactment	kugadziriswa	0.667	0.612	0.769
enamel	enamel	0.594	0.280	0.306
encampment	encampment	0.677	0.573	0.605
enchant	enchant	0.873	0.650	0.643
enchanted	enchanted	0.917	0.633	0.687
enchanting	enchanting	0.917	0.681	0.708
enchantment	enchantment	0.816	0.775	0.647
enchantress	enchantress	0.398	0.663	0.479
enchilada	enchilada	0.542	0.553	0.371
encircle	akapoteredza	0.460	0.500	0.519
encircling	akapoteredza	0.510	0.368	0.557
enclave	enclave	0.531	0.333	0.580
enclose	enclose	0.531	0.477	0.473
enclosure	yakavharwa	0.417	0.375	0.490
encode	encode	0.490	0.500	0.734
encomiastic	NO TRANSLATION	0.541	0.500	0.670
encomium	encomium	0.541	0.451	0.519
encompass	inopoteredza	0.520	0.298	0.661
encore	NO TRANSLATION	0.510	0.423	0.500
encounter	kusangana	0.865	0.702	0.689
encourage	kukurudzira	0.896	0.580	0.704
encouraged	akakurudzirwa	0.953	0.702	0.657
encouragement	kukurudzira	0.865	0.700	0.759
encouraging	kukurudzira	0.823	0.583	0.755
encroach	inopinza	0.302	0.742	0.702
encroachment	kukanganisa	0.255	0.736	0.620
encrypt	encrypt	0.500	0.387	0.500
encryption	encryption	0.547	0.415	0.474
encumbrance	encumbrance	0.300	0.521	0.480
encyclopedia	encyclopedia	0.679	0.320	0.645
end	kuguma	0.198	0.349	0.298
end table	tafura yekupedzisira	0.541	0.480	0.482
endanger	pangozi	0.115	0.885	0.404
endangered	pangozi	0.083	0.885	0.430
endangerment	kuisa mungozi	0.167	0.873	0.519
endearing	endearing	0.663	0.434	0.604
endeavor	endeavor	0.677	0.755	0.765
ended	rakaguma	0.302	0.500	0.500
endemic	endemic	0.406	0.480	0.483
endgame	endgame	0.449	0.538	0.526
ending	kuguma	0.344	0.365	0.492
endless	kusingaperi	0.347	0.462	0.472
endocarditis	endocarditis	0.235	0.587	0.412
endorse	kutsigira	0.592	0.392	0.472
endorsement	endorsement	0.834	0.360	0.611
endow	endow	0.684	0.398	0.609
endowed	rakapiwa	0.755	0.510	0.769
endowment	chipo	0.685	0.578	0.647
endpapers	mapepanhau	0.542	0.400	0.339
endpoint	endpoint	0.311	0.410	0.448
endurance	kutsungirira	0.592	0.745	0.760
endure	kutsungirira	0.320	0.610	0.574
enduring	kutsungirira	0.633	0.459	0.768
enema	enema	0.281	0.673	0.268
enemy	muvengi	0.135	0.794	0.591
energetic	energetic	0.847	0.868	0.902
energize	energize	0.792	0.810	0.875
energy	simba	0.944	0.725	0.868
enforce	kutevedzera	0.583	0.644	0.836
enforcement	kutevedza	0.594	0.571	0.736
enforcer	enforcer	0.398	0.612	0.639
engage	vanoita	0.771	0.796	0.713
engaged	akabatanidzwa	0.837	0.596	0.849
engagement	kubatana	0.906	0.587	0.807
engaging	kuita	0.948	0.612	0.862
engender	engender	0.561	0.741	0.688
engine	injini	0.615	0.644	0.676
engineer	engineer	0.719	0.500	0.875
engineering	engineering	0.735	0.471	0.836
engrave	engrave	0.486	0.442	0.517
engraved	engraved	0.542	0.375	0.473
engraver	engraver	0.552	0.417	0.500
engraving	engraving	0.604	0.430	0.442
engrossed	akabatanidzwa	0.541	0.471	0.304
engrossing	engrossing	0.698	0.702	0.750
engulf	engulf	0.398	0.573	0.500
enhance	kuwedzera	0.802	0.578	0.814
enhancement	kukurudzira	0.877	0.490	0.741
enigma	enigma	0.513	0.700	0.500
enigmatic	enigmatic	0.469	0.589	0.679
enjoin	enjoin	0.594	0.454	0.732
enjoy	kunakidzwa	0.959	0.725	0.750
enjoyable	inonakidza	1.000	0.481	0.605
enjoying	kunakidzwa	0.908	0.759	0.759
enjoyment	mufaro	0.930	0.612	0.716
enlarge	kuwedzera	0.735	0.606	0.688
enlarged	yakakura	0.673	0.490	0.518
enlargement	kuwedzera	0.677	0.577	0.616
enlighten	kujekesa	0.729	0.549	0.667
enlightened	kujekeswa	0.956	0.566	0.700
enlightening	kujekesa	0.825	0.729	0.727
enlightenment	kujekeswa	0.837	0.549	0.619
enlist	nyora	0.510	0.370	0.483
enliven	enliven	0.833	0.683	0.702
enmity	kuvenga	0.094	0.706	0.382
ennui	ennui	0.406	0.461	0.316
enormity	kukura	0.594	0.648	0.848
enormous	zvikuru	0.677	0.665	0.886
enormously	zvikuru	0.760	0.694	0.872
enraged	akatsamwa	0.083	0.962	0.636
enrich	kuwedzera	0.896	0.731	0.705
enroll	nyora	0.696	0.530	0.611
enrollment	kunyorwa	0.667	0.391	0.698
ensemble	ensemble	0.697	0.418	0.586
ensign	sign up	0.663	0.270	0.545
enslave	varanda	0.073	0.800	0.481
enslaved	varanda	0.104	0.720	0.321
enslavement	varanda	0.086	0.635	0.302
ensue	ensue	0.698	0.363	0.332
ensure	vimbisa	0.737	0.406	0.759
entail	inosanganisira	0.484	0.630	0.645
entangled	chinopinda	0.319	0.578	0.357
entanglement	entanglement	0.302	0.765	0.248
enter	pinda	0.708	0.470	0.500
enterprise	business	0.760	0.392	0.754
enterprising	enterprising	0.865	0.784	0.875
entertain	entertain	0.918	0.684	0.598
entertained	entertained	0.902	0.644	0.712
entertainer	entertainer	0.888	0.709	0.759
entertaining	kufara	0.833	0.658	0.660
entertainment	varaidzo	0.847	0.750	0.569
enthralled	enthralled	0.745	0.602	0.615
enthusiasm	kushingaira	0.938	0.816	0.798
enthusiast	anofarira	0.867	0.810	0.875
enthusiastic	kushingaira	0.885	0.868	0.848
entice	kunyengera	0.521	0.887	0.518
entire	zvakakwana	0.689	0.462	0.698
entirety	zvakakwana	0.854	0.460	0.804
entitle	fungidzira	0.729	0.333	0.827
entity	entity	0.542	0.402	0.670
entomology	entomology	0.438	0.396	0.545
entourage	entourage	0.491	0.567	0.467
entrails	entrails	0.365	0.538	0.387
entrance	kupinda	0.698	0.393	0.526
entrapment	entrapment	0.177	0.604	0.441
entreat	teterera	0.304	0.560	0.462
entree	entree	0.615	0.477	0.624
entrepreneur	entrepreneur	0.885	0.704	0.920
entrust	ita	0.693	0.310	0.630
entry	entry	0.552	0.353	0.602
enumerate	enumerate	0.521	0.390	0.491
enumeration	enumeration	0.548	0.327	0.534
envelope	envelope	0.604	0.275	0.377
envious	godo	0.110	0.754	0.341
environ	NO TRANSLATION	0.724	0.221	0.433
environment	nzvimbo	0.646	0.194	0.528
environmental	zvakatipoteredza	0.633	0.313	0.664
environs	environs	0.561	0.288	0.345
envision	fungidzira	0.625	0.449	0.483
envoy	nhume	0.531	0.375	0.586
envy	godo	0.240	0.704	0.427
enzyme	enzyme	0.562	0.277	0.481
ephemeral	ephemeral	0.500	0.312	0.377
ephemeris	ephemeris	0.640	0.380	0.528
epic	epic	0.857	0.713	0.830
epidemic	denda	0.092	0.830	0.611
epidermis	epidermis	0.418	0.490	0.426
epidural	epidural	0.347	0.452	0.525
epilepsy	kuora mwoyo	0.061	0.854	0.250
epileptic	kuora mwoyo	0.146	0.794	0.340
epilogue	epilogue	0.582	0.353	0.466
epiphany	epiphany	0.625	0.596	0.526
episcopal	episcopal	0.542	0.314	0.750
episode	episode	0.719	0.367	0.509
episodic	episodic	0.531	0.542	0.462
epistle	tsamba	0.604	0.417	0.535
epitaph	epitaph	0.276	0.323	0.442
epithet	epithet	0.530	0.394	0.524
epitome	epitome	0.510	0.500	0.667
epoch	epoch	0.553	0.343	0.797
equal	akaenzana	0.781	0.178	0.407
equality	kuenzana	0.898	0.305	0.716
equalization	equalization	0.625	0.422	0.423
equalize	equalize	0.738	0.281	0.574
equalizer	equalizer	0.604	0.451	0.586
equally	zvakaenzana	0.625	0.264	0.436
equate	equate	0.724	0.382	0.624
equation	equation	0.479	0.384	0.608
equator	equator	0.550	0.302	0.462
equatorial	equatorial	0.550	0.271	0.593
equestrian	equestrian	0.633	0.519	0.417
equidistant	equidistant	0.375	0.406	0.509
equilibration	kuenzana	0.724	0.317	0.593
equilibrium	equilibrium	0.676	0.235	0.620
equip	equip	0.650	0.519	0.713
equipment	midziyo	0.745	0.495	0.700
equitable	zvakaenzana	0.714	0.286	0.750
equity	kuenzana	0.792	0.304	0.614
equivalence	equivalence	0.663	0.250	0.582
equivalent	zvakaenzana	0.646	0.347	0.500
equivocal	equivocal	0.327	0.482	0.257
era	era	0.615	0.407	0.449
eradicate	kuparadza	0.260	0.690	0.686
eradication	kuparadzwa	0.208	0.788	0.685
erase	erase	0.240	0.260	0.321
eraser	eraser	0.458	0.209	0.311
erasure	erasure	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	erect	0.643	0.885	0.627
erectile	erectile	0.542	0.796	0.625
erection	erection	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	erode	0.208	0.643	0.580
erosion	kudengenyeka	0.312	0.770	0.465
erotic	kukanganisa	0.625	0.946	0.683
erotica	erotica	0.781	0.870	0.579
err	err	0.146	0.660	0.236
errand	errand	0.385	0.519	0.482
errant	inokanganisa	0.205	0.602	0.375
erratic	zvinokanganisa	0.271	0.503	0.217
erratum	erratum	0.327	0.528	0.436
erroneous	kukanganisa	0.057	0.561	0.245
error	kukanganisa	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	erudite	0.719	0.434	0.774
erupt	ruka	0.188	0.820	0.818
eruption	eruption	0.156	0.913	0.733
escalade	escalade	0.480	0.724	0.442
escalate	kuwedzera	0.653	0.714	0.728
escalating	kuwedzera	0.646	0.724	0.518
escalation	escalation	0.571	0.807	0.582
escalator	escalator	0.500	0.530	0.518
escape	pukunyuka	0.367	0.765	0.448
escaped	vakapukunyuka	0.365	0.755	0.518
escarpment	escarpment	0.406	0.553	0.470
eschew	eschew	0.184	0.438	0.370
escort	escort	0.729	0.480	0.608
escrow	escrow	0.449	0.520	0.613
esophagus	esophagus	0.429	0.454	0.464
esoteric	esoteric	0.500	0.676	0.545
especial	NO TRANSLATION	0.827	0.419	0.794
espionage	espionage	0.312	0.750	0.620
espouse	espouse	0.802	0.529	0.598
espresso	espresso	0.677	0.620	0.508
esprit	esprit	0.552	0.431	0.407
esquire	tsvaga	0.604	0.542	0.518
essay	nyaya	0.559	0.411	0.530
essayist	essayist	0.656	0.460	0.462
essence	essence	0.663	0.369	0.575
essential	zvinokosha	0.812	0.405	0.759
essentially	zvikuru	0.750	0.373	0.802
establish	simbisa	0.708	0.500	0.688
established	yakasimbiswa	0.796	0.394	0.694
establishment	kuumbwa	0.690	0.398	0.631
estate	estate	0.653	0.385	0.647
esteem	rukudzo	0.745	0.380	0.679
esteemed	anoremekedzwa	0.694	0.418	0.531
esthetic	esthetic	0.635	0.360	0.558
estimable	inokwanisika	0.796	0.408	0.630
estimate	estimate	0.719	0.469	0.517
estimation	kuenzanisa	0.740	0.480	0.589
estoppel	estoppel	0.354	0.459	0.482
estranged	isranged	0.156	0.382	0.377
estrogen	estrogen	0.580	0.500	0.425
estuary	denga	0.469	0.278	0.482
etch	etch	0.510	0.367	0.598
etching	etching	0.567	0.491	0.575
eternal	nokusingaperi	0.854	0.409	0.843
eternity	nokusingaperi	0.765	0.520	0.911
ethanol	ethanol	0.333	0.410	0.534
ether	ether	0.490	0.306	0.412
ethereal	ethereal	0.520	0.419	0.518
ethic	tsika	0.786	0.260	0.791
ethical	tsika	0.854	0.324	0.634
ethics	maitiro	0.658	0.296	0.731
ethnic	ethnic	0.583	0.373	0.555
ethnography	ethnography	0.571	0.373	0.549
etiology	etiology	0.500	0.385	0.639
etiquette	etiquette	0.604	0.350	0.421
etymology	etymology	0.531	0.370	0.529
eucalyptus	eucalyptus	0.602	0.308	0.418
euchre	euchre	0.470	0.459	0.442
eugenics	eugenics	0.448	0.530	0.518
eulogistic	eulogistic	0.740	0.623	0.694
eulogium	eulogium	0.542	0.482	0.655
eulogize	eulogize	0.850	0.518	0.679
eulogy	eulogy	0.625	0.443	0.667
euphemism	euphemism	0.418	0.453	0.491
euphoria	euphoria	0.769	0.955	0.648
euphoric	euphoric	0.745	0.904	0.588
euro	euro	0.680	0.441	0.521
euthanasia	euthanasia	0.229	0.716	0.325
evacuate	pukunyuka	0.354	0.792	0.314
evacuation	kubuda	0.160	0.755	0.582
evade	evade	0.304	0.490	0.342
evaluate	kuongorora	0.663	0.640	0.649
evaluation	kuongorora	0.542	0.667	0.764
evanescence	evanescence	0.527	0.519	0.458
evangelical	evangelical	0.602	0.389	0.602
evangelist	evangelist	0.582	0.464	0.702
evangelistic	evangelistic	0.660	0.375	0.612
evaporate	evaporate	0.357	0.469	0.402
evaporation	evaporation	0.556	0.346	0.388
evasion	evasion	0.229	0.510	0.418
evasive	evasive	0.117	0.596	0.425
eve	eve	0.612	0.378	0.440
evening	manheru	0.458	0.185	0.318
evens	NO TRANSLATION	0.592	0.430	0.457
event	chiitiko	0.745	0.673	0.664
eventful	chiitiko	0.543	0.837	0.510
eventual	pakupedzisira	0.633	0.459	0.413
eventuality	enduality	0.469	0.627	0.527
evergreen	evergreen	0.729	0.471	0.546
everlasting	nokusingaperi	0.740	0.413	0.809
evermore	nguva dzose	0.677	0.450	0.403
everyday	mazuva ese	0.740	0.392	0.472
everyman	everyman	0.522	0.333	0.535
evict	kubudisa	0.042	0.632	0.377
eviction	kubviswa	0.185	0.731	0.455
evidence	uchapupu	0.500	0.500	0.778
evident	zviri pachena	0.633	0.444	0.664
evidentiary	proofentiary	0.448	0.541	0.717
evil	zvakaipa	0.040	0.827	0.545
evoke	evoke	0.438	0.341	0.500
evolution	kushanduka	0.781	0.657	0.854
evolutionary	evolutionary	0.796	0.673	0.825
evolve	kuchinja	0.655	0.692	0.896
ewe	ewe	0.429	0.216	0.277
ex	ex	0.250	0.520	0.306
exacerbate	kuwedzera	0.323	0.776	0.580
exacerbation	kuwedzera	0.344	0.810	0.480
exact	chaiyo	0.719	0.354	0.685
exacting	kunetsa	0.448	0.673	0.767
exaggerate	kunyanyisa	0.193	0.760	0.529
exaggerated	kuwedzeredza	0.224	0.885	0.732
exaggeration	kunyanyisa	0.312	0.775	0.582
exalt	exalt	0.656	0.750	0.745
exaltation	kukudzwa	0.594	0.892	0.673
exalted	exalted	0.676	0.845	0.696
exam	kuongorora	0.479	0.663	0.577
examination	kuongorora	0.378	0.657	0.679
examine	Ongorora	0.615	0.623	0.786
examiner	muongorori	0.406	0.575	0.812
example	muenzaniso	0.542	0.337	0.510
exasperated	vakatsamwa	0.229	0.816	0.377
exasperation	kutsamwa	0.214	0.833	0.483
excavate	chengeta	0.583	0.613	0.635
excavation	kufemwa	0.540	0.644	0.527
excavator	excavator	0.427	0.673	0.649
exceed	kudarika	0.500	0.827	0.586
exceeding	kudarika	0.500	0.802	0.668
excel	zvakanakisisa	0.561	0.363	0.466
excellence	excellence	0.958	0.620	0.907
excellent	rakanaka	0.970	0.587	0.870
excelsior	excelsior	0.700	0.625	0.611
excepting	kunze kwekunge	0.408	0.413	0.526
exception	zvisinei	0.469	0.600	0.544
exceptional	zvinoshamisa	0.806	0.740	0.933
excerpt	cherechedza	0.437	0.367	0.543
excess	kudarika	0.385	0.889	0.712
excessive	kunyanya	0.417	0.731	0.601
excessively	kunyanyisa	0.449	0.882	0.716
exchange	exchange	0.740	0.569	0.491
excise	excise	0.448	0.561	0.577
excision	excision	0.260	0.480	0.519
excitability	kunakidzwa	0.906	0.910	0.724
excitable	kunakidza	0.803	0.939	0.629
excitation	kunakidzwa	0.792	0.958	0.750
excite	mufaro	0.823	0.950	0.668
excited	kufara	0.908	0.931	0.709
excitement	mufaro	0.896	0.684	0.731
exciting	zvinonakidza	0.950	0.792	0.789
exclaim	danidzira	0.635	0.711	0.639
exclamation	kudanidzira	0.612	0.745	0.598
exclude	kusanganisa	0.292	0.500	0.530
excluded	akaiswa kunze	0.061	0.540	0.134
excluding	kusabvisa	0.271	0.550	0.324
exclusion	kurega	0.240	0.530	0.389
exclusive	chete	0.792	0.630	0.653
excrement	tsvina	0.041	0.558	0.221
excretion	excretion	0.285	0.650	0.457
excruciating	zvinoshamisa	0.083	0.837	0.345
excursion	excursion	0.625	0.714	0.627
excuse	chikonzero	0.240	0.696	0.318
exec	exec	0.640	0.352	0.769
execute	execute	0.327	0.708	0.769
execution	kuurayiwa	0.160	0.811	0.713
executioner	executioner	0.235	0.816	0.676
executive	executive	0.704	0.449	0.894
executor	mutongi	0.365	0.755	0.759
exegesis	exegesis	0.458	0.472	0.491
exemplar	muenzaniso	0.844	0.537	0.625
exemplary	muenzaniso	0.833	0.343	0.729
exemplify	muenzaniso	0.735	0.506	0.783
exempt	kusunungurwa	0.588	0.455	0.664
exemption	kusunungurwa	0.531	0.578	0.627
exercise	kurovedza muviri	0.750	0.789	0.625
exert	shingaira	0.694	0.735	0.806
exertion	kushingaira	0.663	0.755	0.717
exhale	exhale	0.542	0.490	0.411
exhaust	kuneta	0.546	0.710	0.337
exhausted	vaneta	0.123	0.423	0.202
exhaustion	kuneta	0.366	0.633	0.269
exhaustive	zvakakwana	0.388	0.635	0.604
exhibit	kuratidza	0.688	0.633	0.708
exhibition	kuratidzwa	0.698	0.590	0.531
exhilarated	kufara	0.890	0.963	0.759
exhilarating	kunakidza	0.917	0.823	0.810
exhilaration	kushamisika	0.792	0.868	0.783
exhort	kurudzira	0.378	0.660	0.745
exhortation	kukurudzira	0.531	0.624	0.580
exhumation	exhumation	0.177	0.586	0.473
exhume	exhume	0.184	0.627	0.452
exigent	NO TRANSLATION	0.385	0.611	0.792
exile	kutapwa	0.184	0.630	0.483
exist	iripo	0.857	0.421	0.788
existence	kuvapo	0.760	0.513	0.771
existent	iripo	0.635	0.490	0.635
existential	existential	0.583	0.510	0.638
existing	iripo	0.802	0.344	0.750
exit	siya	0.370	0.353	0.399
exodus	exodus	0.286	0.663	0.567
exonerate	kusununguka	0.592	0.500	0.538
exorbitant	exorbitant	0.398	0.865	0.825
exorcism	exorcism	0.163	0.980	0.557
exorcist	exorcist	0.219	0.906	0.716
exotic	zvinoshamisa	0.840	0.711	0.727
expand	kuwedzera	0.792	0.559	0.686
expanded	expanded	0.760	0.406	0.689
expanse	denga	0.594	0.529	0.689
expansion	kuwedzera	0.776	0.618	0.787
expansive	expansive	0.708	0.650	0.778
expatriate	expatriate	0.265	0.764	0.391
expect	tarisira	0.469	0.327	0.377
expectance	kutarisira	0.552	0.724	0.660
expectancy	kutarisira	0.581	0.622	0.558
expectant	kutarisira	0.708	0.650	0.474
expectation	kutarisira	0.771	0.690	0.707
expected	inotarisirwa	0.729	0.412	0.545
expecting	kutarisira	0.561	0.450	0.302
expediency	expediency	0.604	0.443	0.703
expedient	zvinobatsira	0.885	0.461	0.454
expedite	famba	0.571	0.858	0.798
expedition	expedition	0.735	0.802	0.620
expeditious	kunonoka	0.602	0.645	0.773
expel	tsvaga	0.281	0.725	0.452
expendable	kushandiswa	0.479	0.490	0.423
expenditure	kushandiswa	0.250	0.608	0.603
expense	mari	0.317	0.451	0.377
expenses	mari	0.240	0.633	0.396
expensive	inodhura	0.323	0.540	0.530
experience	chiitiko	0.827	0.618	0.905
experienced	vane ruzivo	0.771	0.613	0.914
experiences	zviitiko	0.793	0.647	0.795
experiment	kuedza	0.479	0.720	0.675
experimental	experimental	0.417	0.764	0.396
experimentation	kuedza	0.637	0.769	0.767
experimenter	experimenter	0.708	0.710	0.700
expert	nyanzvi	0.776	0.646	0.911
expertise	hunyanzvi	0.792	0.589	0.925
expiration	kupera	0.265	0.539	0.463
expire	expire	0.573	0.745	0.702
expired	yapera	0.198	0.394	0.200
expiry	kupera	0.194	0.434	0.382
explain	tsanangura	0.719	0.517	0.736
explanation	tsanangudzo	0.615	0.610	0.825
explanatory	tsanangudzo	0.573	0.433	0.688
expletive	expletive	0.357	0.567	0.536
explication	tsanangudzo	0.510	0.445	0.602
explicit	tsanangudzo	0.562	0.694	0.734
explode	kuputika	0.277	0.885	0.773
exploit	kushandisa	0.312	0.878	0.660
