Word	Ukrainian-uk	Valence	Arousal	Dominance
dissuade	відмовлятися	0.482	0.500	0.350
distal	дистальний	0.410	0.401	0.438
distance	відстань	0.233	0.317	0.418
distant	далекий	0.229	0.324	0.269
distaste	відчай	0.184	0.625	0.370
distasteful	неприємно	0.264	0.676	0.222
distillate	дистилят	0.500	0.347	0.382
distillation	перегонка	0.396	0.436	0.575
distilled	дистильований	0.427	0.573	0.500
distinct	чіткий	0.542	0.578	0.509
distinction	відмінність	0.584	0.571	0.750
distinctive	відмінний	0.885	0.520	0.604
distinguish	відрізнити	0.675	0.471	0.600
distinguishable	помітний	0.635	0.530	0.727
distinguished	відрізнявся	0.823	0.593	0.759
distinguishing	відрізняти	0.622	0.363	0.640
distort	спотворювати	0.100	0.740	0.366
distorted	спотворене	0.250	0.521	0.280
distortion	спотворення	0.299	0.570	0.380
distract	відволікати	0.241	0.609	0.336
distracted	відволікся	0.194	0.392	0.213
distracting	відволікає	0.445	0.583	0.400
distraction	відволікання	0.402	0.557	0.390
distraught	розгніваний	0.115	0.903	0.264
distress	страждання	0.073	0.840	0.396
distressed	стурбований	0.143	0.771	0.324
distressing	турботливий	0.075	0.750	0.375
distribute	поширювати	0.643	0.596	0.709
distribution	розповсюдження	0.635	0.548	0.788
distributor	дистриб'ютор	0.702	0.447	0.718
district	районний	0.438	0.327	0.660
distrust	недовіра	0.060	0.670	0.276
disturb	турбувати	0.175	0.760	0.481
disturbance	обурення	0.146	0.907	0.404
disturbed	засмучений	0.125	0.870	0.305
disturbing	тривожна	0.146	0.792	0.439
disuse	утилізувати	0.229	0.229	0.202
disused	звільнений	0.250	0.302	0.186
ditch	ров	0.357	0.364	0.322
ditto	подібне	0.449	0.418	0.411
ditty	капризний	0.470	0.433	0.334
diurnal	добовий	0.714	0.296	0.443
diva	дива	0.660	0.657	0.596
divan	NO TRANSLATION	0.750	0.202	0.262
dive	пірнати	0.583	0.531	0.500
diver	дайвер	0.594	0.520	0.564
diverge	розходитися	0.375	0.657	0.520
divergence	розбіжність	0.429	0.615	0.687
divergent	розходяться	0.449	0.660	0.587
diverging	розходяться	0.417	0.613	0.573
divers	дайвери	0.583	0.580	0.602
diverse	різноманітний	0.562	0.519	0.604
diversified	диверсифікований	0.602	0.538	0.549
diversify	диверсифікувати	0.656	0.588	0.464
diversion	відволікання	0.740	0.821	0.714
diversionary	диверсійний	0.551	0.587	0.300
diversity	різноманітність	0.806	0.472	0.711
divert	переадресація	0.344	0.622	0.407
diverting	переадресація	0.396	0.571	0.537
divest	позбавитись	0.365	0.547	0.424
divested	звільнений	0.333	0.449	0.311
divestment	відчуження	0.302	0.509	0.382
divide	розділити	0.333	0.520	0.417
divided	розділений	0.271	0.623	0.391
dividend	дивіденд	0.583	0.491	0.566
divination	ворожіння	0.500	0.650	0.545
divine	божественний	0.918	0.571	0.885
divinity	божество	0.896	0.559	0.774
divisible	ділиться	0.323	0.462	0.411
division	поділ	0.370	0.481	0.472
divisor	дільник	0.344	0.517	0.455
divorce	розлучення	0.042	0.700	0.385
divorcee	розлучення	0.153	0.610	0.481
divulge	розголошувати	0.531	0.718	0.467
divvy	розвага	0.351	0.462	0.429
dizziness	запаморочення	0.229	0.555	0.254
dizzy	запаморочення	0.199	0.582	0.193
do	робити	0.670	0.548	0.536
doable	допустимий	0.760	0.404	0.675
doc	док	0.458	0.317	0.392
docile	Послушний	0.604	0.259	0.264
dock	док	0.490	0.409	0.481
docked	прикріплений	0.281	0.754	0.398
docket	реєстр	0.505	0.509	0.607
docking	стикування	0.354	0.596	0.587
doctor	лікар	0.700	0.531	0.861
doctorate	докторська ступінь	0.776	0.479	0.841
doctrinal	доктринальний	0.510	0.373	0.673
doctrine	вчення	0.500	0.394	0.769
document	документ	0.594	0.240	0.667
documentary	документальний фільм	0.622	0.213	0.596
documentation	документація	0.719	0.290	0.667
documents	документи	0.530	0.250	0.587
dodge	ухилятися	0.333	0.760	0.509
dodger	ухильник	0.427	0.454	0.490
dodging	ухилення	0.396	0.654	0.382
dodgy	хитрий	0.281	0.510	0.254
dodo	Додо	0.438	0.306	0.353
doe	доу	0.550	0.336	0.336
doer	виконавець	0.724	0.550	0.728
dog	пес	0.704	0.500	0.407
dogface	догмата	0.219	0.470	0.264
dogged	стримано	0.255	0.750	0.594
doggy	собачка	0.646	0.491	0.404
doghouse	будиночок	0.438	0.417	0.340
dogma	догма	0.530	0.460	0.719
dogmatic	догматичний	0.448	0.520	0.654
dogsick	NO TRANSLATION	0.571	0.490	0.377
doings	вчинки	0.604	0.491	0.705
doit	NO TRANSLATION	0.500	0.519	0.392
dojo	додзьо	0.500	0.435	0.455
doldrums	занепад	0.229	0.425	0.266
dole	доле	0.448	0.402	0.348
doll	лялька	0.729	0.321	0.330
dollar	долар	0.755	0.632	0.694
dollhouse	ляльковий будиночок	0.643	0.245	0.363
dolor	NO TRANSLATION	0.167	0.635	0.375
dolphin	дельфін	0.776	0.350	0.414
domain	домен	0.573	0.549	0.828
dome	купол	0.620	0.398	0.509
domestic	вітчизняний	0.729	0.327	0.500
domesticated	одомашнені	0.635	0.360	0.294
domestication	одомашнення	0.594	0.390	0.435
domicile	доміциль	0.604	0.292	0.529
domiciled	доміцильована	0.542	0.340	0.516
dominance	панування	0.542	0.775	0.839
dominant	домінуючий	0.406	0.854	0.893
dominate	домінувати	0.439	0.814	0.953
dominating	домінуючий	0.427	0.769	0.902
domination	панування	0.505	0.786	0.959
dominatrix	dominatrix	0.390	0.727	0.709
dominion	панування	0.542	0.704	0.890
domino	доміно	0.594	0.510	0.473
don	дон	0.646	0.454	0.702
donate	пожертвувати	0.774	0.462	0.577
donation	пожертвування	0.792	0.398	0.602
donkey	осел	0.406	0.367	0.245
donor	донор	0.714	0.490	0.653
dontlikeyou	NO TRANSLATION	0.055	0.500	0.282
dontmess	NO TRANSLATION	0.396	0.482	0.440
dontmesswithme	dontmesswithme	0.312	0.635	0.440
dontpanic	dontpanic	0.469	0.465	0.425
dontunderstand	NO TRANSLATION	0.219	0.357	0.271
doodle	каракули	0.604	0.402	0.376
doom	смерть	0.073	0.750	0.442
doomed	приречений	0.041	0.755	0.301
doomsday	кінець світу	0.125	0.861	0.670
door	двері	0.549	0.189	0.421
doorbell	дверний дзвінок	0.564	0.500	0.307
doorknob	дверна ручка	0.406	0.553	0.462
doorman	швейцар	0.570	0.371	0.491
doormat	дверна коробка	0.458	0.269	0.267
doornail	Дорноліс	0.459	0.370	0.423
doorstep	порозі	0.531	0.274	0.391
doorway	двері	0.573	0.304	0.496
dopamine	допамін	0.548	0.469	0.426
dope	допінг	0.295	0.855	0.425
dopey	дурний	0.320	0.380	0.365
dork	Дорк	0.272	0.519	0.361
dorky	доркі	0.302	0.480	0.390
dorm	гуртожиток	0.719	0.194	0.327
dormant	сплячий	0.385	0.245	0.245
dormitory	гуртожиток	0.633	0.204	0.382
dorsal	спинний	0.449	0.360	0.445
dosage	дозування	0.344	0.450	0.490
dose	доза	0.458	0.490	0.427
dossier	досьє	0.357	0.380	0.544
dot	крапка	0.434	0.290	0.391
doting	крапка	0.888	0.415	0.426
dotted	пунктирний	0.480	0.347	0.426
dotty	точка	0.375	0.402	0.393
double	подвійний	0.677	0.378	0.569
doubled	подвоєно	0.427	0.536	0.560
doublet	дублет	0.420	0.431	0.500
doubling	подвоєння	0.459	0.452	0.464
doubt	сумнів	0.395	0.351	0.231
doubtful	сумнівний	0.250	0.465	0.241
doubting	сумніваюся	0.224	0.560	0.189
doubtless	безсумнівно	0.688	0.415	0.689
doubts	сумніви	0.306	0.448	0.305
douche	душ	0.490	0.413	0.397
douchebags	душечки	0.327	0.587	0.366
dough	тісто	0.588	0.229	0.391
doughboy	дегтя	0.365	0.443	0.396
doughnut	пончик	0.663	0.380	0.279
dour	дурний	0.360	0.404	0.325
douse	обсипати	0.365	0.453	0.412
dove	голубка	0.729	0.235	0.437
down	вниз	0.208	0.330	0.264
downcast	понижений	0.071	0.500	0.222
downer	ловець	0.120	0.594	0.226
downfall	падіння	0.200	0.717	0.182
downfield	внизу	0.521	0.330	0.380
downhearted	занепокоєний	0.119	0.461	0.255
downhill	під гору	0.292	0.573	0.279
download	скачати	0.602	0.490	0.503
downpour	зливи	0.328	0.602	0.481
downright	прямо	0.625	0.454	0.679
downriver	низхідний	0.542	0.469	0.279
downside	недоліки	0.190	0.400	0.246
downtime	час простою	0.240	0.226	0.324
downward	вниз	0.188	0.347	0.255
downy	пухнастий	0.630	0.170	0.255
dowry	придане	0.604	0.453	0.544
doze	доз	0.592	0.200	0.405
dozen	дюжина	0.583	0.343	0.425
drab	драб	0.327	0.300	0.242
draft	чернетка	0.438	0.360	0.351
drafty	суворий	0.458	0.500	0.518
drag	перетягніть	0.388	0.606	0.348
dragon	дракон	0.541	0.821	0.712
dragonfly	стрекоза	0.571	0.373	0.357
drain	стікати	0.277	0.470	0.222
drainage	дренаж	0.219	0.354	0.307
drained	осушена	0.310	0.441	0.352
draining	зливу	0.337	0.396	0.304
drainpipe	дренажна труба	0.417	0.413	0.277
drake	перетягнути	0.467	0.411	0.452
drama	драма	0.430	0.755	0.481
dramaqueen	Королева драми	0.337	0.682	0.482
dramatic	драматичний	0.367	0.780	0.443
drape	драпірувати	0.417	0.439	0.404
drapery	драпірування	0.479	0.220	0.223
drastic	різке	0.194	0.839	0.657
drat	NO TRANSLATION	0.302	0.516	0.409
draught	чернетка	0.465	0.245	0.316
draw	малювати	0.704	0.449	0.481
drawback	недолік	0.302	0.422	0.148
drawbridge	підйомний міст	0.551	0.557	0.438
drawer	ящик	0.429	0.196	0.292
drawers	ящики	0.539	0.260	0.236
drawing	малюнок	0.698	0.216	0.333
dread	страшно	0.153	0.792	0.368
dreaded	страшно	0.122	0.706	0.460
dreadful	страшний	0.092	0.786	0.348
dreadfully	страшно	0.246	0.806	0.306
dreading	боїться	0.125	0.760	0.377
dream	мрія	0.844	0.157	0.328
dreamboat	мрійник	0.776	0.491	0.458
dreamer	мрійник	0.820	0.394	0.455
dreaming	мріяти	0.854	0.320	0.336
dreamland	мрій країни	0.844	0.471	0.566
dreams	мрії	0.865	0.415	0.530
dreamt	мріяв	0.812	0.380	0.518
dreamy	мрійливий	0.837	0.350	0.500
dreary	мріє	0.260	0.490	0.324
dredge	екскаватор	0.427	0.445	0.444
drenched	засохлий	0.302	0.361	0.388
dress	плаття	0.760	0.300	0.345
dresser	комод	0.604	0.398	0.473
dressmaker	одягалка	0.698	0.460	0.483
dressy	одягнений	0.800	0.570	0.696
dribble	NO TRANSLATION	0.417	0.551	0.465
dried	висушений	0.427	0.260	0.385
drier	сушарка	0.306	0.347	0.392
drift	дрейф	0.316	0.520	0.375
drifted	дрейфував	0.312	0.542	0.310
drifter	дрифтер	0.449	0.512	0.391
driftwood	дріфтвуд	0.321	0.283	0.439
drill	свердлити	0.250	0.602	0.573
drink	пити	0.650	0.552	0.474
drinker	пити	0.365	0.735	0.441
drinking	пити	0.562	0.459	0.317
drinks	напої	0.729	0.656	0.412
drip	капати	0.392	0.193	0.175
dripping	капає	0.302	0.257	0.267
drive	їхати	0.625	0.689	0.713
drivel	дихати	0.398	0.469	0.463
driver	водій	0.553	0.538	0.637
driveway	під'їзд	0.612	0.392	0.689
drizzle	мряка	0.521	0.353	0.319
droll	задирати	0.459	0.573	0.422
drone	дурень	0.429	0.686	0.596
drones	дрони	0.398	0.577	0.588
drool	падати	0.385	0.398	0.204
drooping	падіння	0.245	0.558	0.353
droopy	занурення	0.438	0.350	0.297
drop	падіння	0.479	0.321	0.291
droplet	крапелька	0.625	0.208	0.194
dropout	Викинути	0.253	0.550	0.481
dropper	піпетка	0.333	0.216	0.236
drought	посуха	0.133	0.353	0.267
drove	NO TRANSLATION	0.541	0.528	0.623
drown	топити	0.071	0.860	0.270
drowsiness	сонливість	0.260	0.194	0.303
drowsy	сонний	0.375	0.180	0.240
drudgery	жорстокість	0.094	0.522	0.241
drug	наркотик	0.214	0.790	0.453
drug dealing	торгівля наркотиками	0.042	0.843	0.500
drugged	наркотик	0.102	0.750	0.321
druggist	аптека	0.240	0.561	0.417
drugs	наркотики	0.167	0.750	0.368
drugstore	аптека	0.490	0.343	0.518
druid	друїд	0.517	0.445	0.481
drum	барабан	0.615	0.679	0.339
drummer	барабанщик	0.646	0.700	0.564
drumming	барабан	0.594	0.750	0.426
drunk	п'яний	0.194	0.800	0.250
drunk driving	п'яне водіння	0.073	0.900	0.306
drunkard	п'яниця	0.240	0.873	0.250
drunken	п'яний	0.155	0.849	0.250
drunkenness	пияцтво	0.214	0.774	0.336
dry	сухий	0.363	0.169	0.311
dryer	сушарка	0.479	0.343	0.277
dryness	сухість	0.292	0.296	0.263
dual	подвійний	0.573	0.330	0.384
dualism	дуалізм	0.490	0.406	0.536
duality	подвійність	0.438	0.520	0.503
dub	дуб	0.510	0.480	0.387
dubious	сумнівний	0.414	0.480	0.198
duchess	герцогиня	0.656	0.548	0.711
duck	качка	0.594	0.337	0.236
ducking	занурення	0.344	0.573	0.294
duckling	каченя	0.602	0.353	0.263
ducky	дурний	0.520	0.430	0.368
duct	протока	0.449	0.435	0.430
ductile	пластичний	0.508	0.420	0.433
dud	Дуд	0.167	0.455	0.246
dude	чувак	0.809	0.356	0.615
duds	дудс	0.347	0.311	0.339
due	за рахунок	0.562	0.340	0.467
duel	поєдинок	0.271	0.696	0.589
dues	збори	0.367	0.461	0.288
duet	дует	0.694	0.693	0.527
duffel	душ	0.500	0.400	0.384
dugout	землянка	0.490	0.370	0.463
duh	Дух	0.357	0.461	0.364
duke	герцог	0.667	0.440	0.669
dull	нудний	0.194	0.120	0.185
dullard	пухнастий	0.450	0.480	0.365
dumb	німий	0.188	0.330	0.151
dumbasses	бездумні	0.316	0.590	0.363
dumbbell	гантель	0.302	0.469	0.364
dumbbitch	NO TRANSLATION	0.281	0.636	0.393
dumfound	подумав	0.271	0.551	0.295
dumfounder	NO TRANSLATION	0.406	0.481	0.400
dummy	манекен	0.440	0.144	0.250
dump	звалище	0.345	0.500	0.370
dumpling	пельмені	0.580	0.321	0.360
dumps	звалища	0.302	0.583	0.365
dumpster	контейнер для сміття	0.229	0.418	0.101
dun	дун	0.458	0.431	0.339
dunce	дунці	0.188	0.327	0.146
dune	дюни	0.459	0.173	0.414
dung	NO TRANSLATION	0.104	0.549	0.149
dungeon	підземелля	0.276	0.608	0.440
dunk	гниє	0.406	0.333	0.475
duo	дует	0.510	0.500	0.447
dupe	Дюп	0.184	0.760	0.327
duplex	дуплекс	0.592	0.452	0.467
duplicate	дубльований	0.521	0.490	0.338
duplication	дублювання	0.480	0.564	0.577
duplicity	двоякость	0.406	0.500	0.578
durability	довговічність	0.750	0.398	0.813
durable	міцний	0.740	0.294	0.688
duration	тривалість	0.656	0.370	0.536
duress	примус	0.302	0.569	0.612
dusk	сутінки	0.532	0.276	0.519
dusky	пухкий	0.229	0.528	0.324
dust	пил	0.344	0.246	0.241
duster	шум	0.408	0.265	0.296
dustpan	сміття	0.609	0.466	0.371
dusty	пильний	0.406	0.294	0.255
dutiful	слухняний	0.724	0.245	0.585
duty	обов'язок	0.583	0.579	0.651
dwarf	карлик	0.370	0.340	0.288
dwarfed	карлик	0.365	0.265	0.293
dweeb	dweeb	0.354	0.446	0.327
dwell	зупинитися	0.698	0.245	0.611
dweller	мешканець	0.615	0.304	0.500
dwelling	житло	0.765	0.330	0.481
dye	барвник	0.479	0.314	0.371
dying	вмирає	0.040	0.664	0.422
dyke	пилу	0.438	0.396	0.566
dynamic	динамічний	0.724	0.750	0.836
dynamical	динамічний	0.786	0.730	0.827
dynamics	динаміка	0.745	0.682	0.774
dynamite	динаміт	0.344	0.860	0.783
dynamo	динамо	0.531	0.650	0.593
dynasty	династія	0.725	0.588	0.936
dysentery	дизентерія	0.260	0.528	0.345
dysfunction	дисфункція	0.156	0.410	0.386
dysfunctional	дисфункціональний	0.125	0.558	0.307
dyspepsia	диспепсія	0.212	0.470	0.460
eager	нетерпляче	0.521	0.812	0.306
eagerness	прагнення	0.406	0.621	0.443
eagle	орел	0.604	0.594	0.679
ear	вухо	0.469	0.216	0.231
earful	вухо	0.533	0.462	0.443
earl	граф	0.582	0.461	0.794
earlier	раніше	0.562	0.352	0.339
early	рано	0.633	0.373	0.426
earn	заробляти	0.865	0.769	0.817
earnest	серйозно	0.653	0.380	0.670
earnestly	щиро	0.847	0.490	0.717
earnestness	щирість	0.812	0.373	0.615
earnings	заробіток	0.938	0.650	0.875
earpiece	динамік	0.583	0.286	0.452
earring	сережка	0.583	0.520	0.500
earrings	сережки	0.676	0.346	0.517
earshot	слух	0.552	0.332	0.408
earth	земля	0.750	0.225	0.614
earthenware	глиняний посуд	0.552	0.210	0.320
earthling	землянин	0.531	0.412	0.570
earthly	земний	0.625	0.318	0.518
earthquake	землетрус	0.073	0.930	0.812
earthy	земний	0.375	0.413	0.404
ease	легкість	0.796	0.385	0.491
easel	станковий	0.694	0.340	0.527
easement	сервітут	0.479	0.345	0.302
easily	легко	0.885	0.279	0.453
east	схід	0.510	0.250	0.317
eastbound	eastbound	0.541	0.408	0.402
eastern	східний	0.521	0.420	0.480
easy	легко	0.865	0.194	0.373
easygoing	спокійний	0.823	0.276	0.538
eat	їсти	0.731	0.500	0.464
eater	їдець	0.459	0.337	0.510
eating	їсти	0.847	0.491	0.615
eatingdisorders	NO TRANSLATION	0.365	0.608	0.508
eavesdrop	підслуховують	0.375	0.710	0.368
eavesdropping	підслуховування	0.490	0.380	0.441
ebb	відлив	0.354	0.451	0.404
ebony	чорне дерево	0.490	0.317	0.400
ebullient	буйний	0.659	0.856	0.746
eccentric	ексцентричний	0.531	0.806	0.721
eccentricity	ексцентриситет	0.408	0.735	0.745
ecclesiastical	церковний	0.673	0.270	0.660
echelon	ешелон	0.490	0.404	0.425
echinacea	ехінацея	0.592	0.418	0.454
echo	ехо	0.573	0.373	0.345
eclectic	еклектичний	0.646	0.542	0.508
eclipse	затемнення	0.541	0.469	0.616
ecliptic	екліптика	0.531	0.520	0.556
ecological	екологічний	0.885	0.290	0.607
economic	економічний	0.561	0.408	0.639
economical	економічний	0.667	0.564	0.673
economics	економіка	0.625	0.481	0.632
economy	економіка	0.583	0.434	0.771
ecosystem	екосистема	0.729	0.259	0.633
ecstasy	екстаз	0.796	0.922	0.655
ecstatic	екстатичний	0.875	0.769	0.742
ecumenical	екуменічний	0.561	0.450	0.547
eddy	вихор	0.500	0.394	0.350
edema	набряк	0.250	0.519	0.318
edge	краю	0.439	0.470	0.468
edging	окантовка	0.479	0.394	0.370
edgy	гострий	0.281	0.895	0.306
edible	їстівний	0.750	0.425	0.497
edict	указ	0.316	0.547	0.560
edification	виховання	0.625	0.481	0.697
edifice	будівля	0.551	0.403	0.610
edit	редагувати	0.510	0.410	0.544
editing	редагування	0.604	0.404	0.493
edition	видання	0.542	0.455	0.564
editor	редактор	0.772	0.431	0.673
editorial	редакційна стаття	0.583	0.330	0.570
educate	виховувати	0.760	0.380	0.728
educated	освічений	0.816	0.297	0.625
education	освіта	0.896	0.275	0.840
educational	освітній	0.745	0.457	0.764
educator	педагог	0.827	0.317	0.845
eeeek	NO TRANSLATION	0.367	0.540	0.349
eeek	NO TRANSLATION	0.333	0.490	0.302
eek	eek	0.292	0.529	0.343
eel	вугор	0.292	0.564	0.487
eerie	жуткий	0.265	0.771	0.442
effect	ефект	0.570	0.518	0.608
effective	ефективний	0.844	0.632	0.891
effectiveness	ефективність	0.640	0.654	0.812
effects	ефекти	0.470	0.578	0.379
effectual	ефективний	0.776	0.559	0.820
effectually	ефективно	0.724	0.500	0.594
effectuate	здійснювати	0.510	0.602	0.679
effeminate	жіночий	0.337	0.619	0.291
efficacious	ефективний	0.823	0.698	0.845
efficacy	ефективність	0.802	0.490	0.906
efficiency	ефективність	0.802	0.509	0.892
efficient	ефективний	0.959	0.604	0.830
effigy	зображення	0.510	0.440	0.401
effort	зусилля	0.698	0.778	0.858
effortless	легкий	0.626	0.090	0.352
effusion	випоту	0.344	0.730	0.472
effyou	NO TRANSLATION	0.354	0.529	0.490
egg	яйце	0.684	0.241	0.293
egghead	яєчний гол	0.316	0.492	0.284
eggnog	eggnog	0.635	0.360	0.259
eggplant	баклажан	0.592	0.152	0.323
eggshell	яєчна шкаралупа	0.408	0.269	0.212
ego	Его	0.328	0.576	0.593
egomaniac	egomaniac	0.133	0.708	0.596
egotistical	егоїстичний	0.156	0.667	0.363
egregious	кричущий	0.150	0.716	0.442
egress	виїзд	0.490	0.429	0.287
eight	вісім	0.540	0.199	0.315
eighteen	вісімнадцять	0.523	0.340	0.404
eighth	восьмий	0.531	0.226	0.380
eighty	вісімдесят	0.500	0.300	0.453
ejaculate	еякуляція	0.604	0.896	0.604
ejaculation	еякуляція	0.615	0.893	0.547
eject	вийняти	0.434	0.656	0.559
ejection	викид	0.188	0.836	0.554
elaborate	розробити	0.561	0.367	0.680
elaboration	розробка	0.708	0.500	0.598
elan	NO TRANSLATION	0.562	0.367	0.500
elapse	пройти	0.514	0.440	0.455
elapsed	минув	0.583	0.451	0.493
elastic	пружна	0.656	0.518	0.385
elasticity	пружність	0.635	0.452	0.582
elated	піднесений	0.792	0.960	0.725
elation	піднесення	0.740	0.853	0.623
elbow	ліктем	0.448	0.133	0.254
eld	елд	0.471	0.292	0.451
elder	старший	0.448	0.153	0.462
elderly	літні люди	0.615	0.212	0.283
elders	старійшини	0.602	0.260	0.441
eldest	старший	0.625	0.471	0.741
elect	вибрати	0.667	0.554	0.661
election	вибори	0.625	0.519	0.651
elective	виборний	0.612	0.380	0.623
elector	виборник	0.479	0.520	0.766
electoral	виборчий	0.490	0.631	0.602
electorate	електорат	0.560	0.380	0.696
electric	електричний	0.458	0.708	0.512
electric slide	електричний слайд	0.542	0.660	0.536
electrical	електричний	0.531	0.620	0.688
electrician	електрик	0.449	0.590	0.620
electricity	електрика	0.698	0.810	0.733
electrify	електрифікувати	0.520	0.769	0.737
electrocute	електромобілі	0.271	0.731	0.555
electrocution	удар електричним струмом	0.177	0.844	0.692
electromagnetic	електромагнітний	0.531	0.632	0.683
electron	електронний	0.520	0.455	0.560
electronic	електронний	0.571	0.490	0.704
electronics	електроніка	0.708	0.545	0.574
elegance	елегантність	0.918	0.396	0.824
elegant	елегантний	0.865	0.500	0.685
element	елемент	0.531	0.259	0.481
elemental	елементальний	0.627	0.306	0.711
elementary	елементарний	0.594	0.286	0.686
elements	елементи	0.510	0.312	0.462
elephant	слон	0.531	0.510	0.615
elevate	піднімати	0.812	0.500	0.804
elevated	підвищений	0.704	0.594	0.620
elevation	висота	0.760	0.759	0.711
elevator	ліфт	0.562	0.604	0.676
eleven	одинадцять	0.449	0.250	0.430
eleventh	одинадцятий	0.594	0.329	0.357
elf	ельф	0.460	0.457	0.315
elicit	викликати	0.406	0.594	0.658
eligible	правомочний	0.750	0.400	0.518
eliminate	усунути	0.265	0.670	0.324
elimination	ліквідація	0.052	0.667	0.431
elite	еліта	0.688	0.704	0.737
elitist	елітарний	0.500	0.606	0.656
elixir	еліксир	0.708	0.587	0.604
elk	лося	0.439	0.337	0.340
ell	ел	0.469	0.418	0.373
ellipse	еліпс	0.531	0.410	0.479
ellipsis	еліпсіс	0.653	0.358	0.314
ellipsoid	еліпсоїд	0.500	0.440	0.419
elliptic	еліптичні	0.500	0.431	0.528
elliptical	еліптичний	0.338	0.385	0.490
elm	в'яз	0.510	0.345	0.321
elongate	подовжений	0.583	0.385	0.540
elongation	подовження	0.561	0.500	0.500
elope	впасти	0.396	0.694	0.528
eloquence	красномовство	0.729	0.490	0.804
eloquent	красномовний	0.870	0.680	0.741
elucidate	з'ясувати	0.583	0.509	0.518
elucidation	вияснення	0.650	0.574	0.586
elude	зникнути	0.438	0.521	0.464
elusive	невловимий	0.229	0.615	0.466
emaciated	виснажений	0.103	0.541	0.151
email	електронна пошта	0.698	0.230	0.456
emanate	випромінювати	0.653	0.464	0.554
emancipation	емансипація	0.704	0.684	0.763
embankment	набережна	0.677	0.438	0.436
embargo	NO TRANSLATION	0.229	0.564	0.443
embark	встати	0.541	0.550	0.619
embarrass	збентежити	0.082	0.667	0.364
embarrassed	збентежений	0.184	0.560	0.246
embarrassing	неприємно	0.226	0.809	0.225
embarrassment	збентеження	0.143	0.685	0.226
embassy	посольство	0.622	0.333	0.758
embattled	стріляли	0.235	0.724	0.421
embed	Вставити	0.417	0.554	0.670
embellish	прикрашати	0.842	0.500	0.769
embellishment	прикраса	0.673	0.449	0.405
embers	вугілля	0.490	0.481	0.508
embezzlement	розкрадання	0.143	0.827	0.435
embezzler	викрадач	0.146	0.823	0.491
emblem	герб	0.640	0.330	0.754
emblematic	символічний	0.771	0.459	0.798
embodiment	втілення	0.562	0.690	0.663
embolism	емболія	0.104	0.660	0.302
embossed	тисненням	0.531	0.481	0.500
embrace	обійми	0.949	0.490	0.452
embroidered	вишитих	0.677	0.279	0.407
embroidery	вишивка	0.781	0.358	0.280
embroiled	втягнутий	0.337	0.721	0.420
embryo	ембріон	0.673	0.469	0.453
embryonic	ембріональний	0.573	0.453	0.598
emcee	Emcee	0.694	0.577	0.691
emerald	смарагд	0.740	0.363	0.726
emerge	з'являються	0.602	0.594	0.731
emergence	поява	0.276	0.857	0.676
emergency	надзвичайна ситуація	0.200	0.900	0.571
emeritus	емерит	0.633	0.402	0.735
emery	наждак	0.469	0.583	0.472
emetophobia	NO TRANSLATION	0.243	0.620	0.403
emigrate	емігрувати	0.356	0.812	0.508
emigration	еміграція	0.564	0.664	0.432
eminence	превосходительство	0.816	0.644	0.837
eminent	видатний	0.740	0.620	0.830
eminently	головним чином	0.694	0.607	0.773
emir	NO TRANSLATION	0.510	0.396	0.621
emissary	емісар	0.562	0.462	0.636
emission	емісія	0.510	0.453	0.591
emit	випускати	0.638	0.445	0.510
emo	емо	0.354	0.314	0.226
emotion	емоція	0.693	0.873	0.696
emotional	емоційний	0.779	0.714	0.526
emotive	емоційний	0.917	0.741	0.525
empathic	емпатичний	0.760	0.570	0.558
empathize	співпереживати	0.802	0.591	0.660
empathy	співпереживання	0.729	0.349	0.545
emperor	імператор	0.651	0.704	0.962
emphasis	акцент	0.653	0.745	0.816
emphasize	підкреслити	0.510	0.605	0.769
emphatic	виразний	0.615	0.707	0.732
emphysema	емфізема	0.156	0.556	0.336
empire	імперія	0.688	0.730	0.944
empirical	емпіричний	0.500	0.510	0.574
empiricism	емпіризм	0.583	0.460	0.547
employ	працювати	0.729	0.481	0.702
employee	працівник	0.582	0.361	0.481
employer	роботодавець	0.663	0.518	0.767
employment	зайнятість	0.750	0.594	0.611
emporium	торговий дім	0.622	0.556	0.724
empower	розширювати можливості	0.694	0.779	0.891
empress	імператриця	0.716	0.669	0.855
emptiness	порожнеча	0.177	0.173	0.184
emption	поглинання	0.570	0.406	0.458
empty	порожній	0.188	0.183	0.081
emu	emu	0.420	0.358	0.330
emulate	наслідувати	0.438	0.340	0.549
emulsion	емульсія	0.562	0.431	0.453
enable	увімкнути	0.760	0.491	0.782
enablement	впровадження	0.600	0.451	0.750
enact	прийняти	0.680	0.564	0.598
enactment	введення в дію	0.667	0.612	0.769
enamel	емаль	0.594	0.280	0.306
encampment	лагерне	0.677	0.573	0.605
enchant	зачарувати	0.873	0.650	0.643
enchanted	зачарований	0.917	0.633	0.687
enchanting	чарівні	0.917	0.681	0.708
enchantment	чарівність	0.816	0.775	0.647
enchantress	чарівниця	0.398	0.663	0.479
enchilada	enchilada	0.542	0.553	0.371
encircle	оточити	0.460	0.500	0.519
encircling	оточення	0.510	0.368	0.557
enclave	анклав	0.531	0.333	0.580
enclose	вкласти	0.531	0.477	0.473
enclosure	корпус	0.417	0.375	0.490
encode	кодувати	0.490	0.500	0.734
