Word	Polish-pl	Valence	Arousal	Dominance
condemn	potępiać	0.102	0.793	0.625
condemnation	potępienie	0.133	0.725	0.449
condensation	kondensacja	0.510	0.316	0.538
condensed	skondensowany	0.598	0.415	0.623
condescending	protekcjonalny	0.583	0.363	0.593
condescension	łaskawość	0.521	0.377	0.565
condiment	przyprawa	0.520	0.333	0.433
condition	stan	0.500	0.469	0.519
conditional	warunkowy	0.521	0.343	0.556
conditionally	warunkowo	0.396	0.419	0.617
conditioned	zastrzeżony	0.490	0.417	0.616
conditioner	odżywka	0.781	0.360	0.538
conditioning	kondycjonowanie	0.440	0.468	0.617
conditions	warunki	0.551	0.441	0.593
condo	mieszkanie	0.439	0.288	0.607
condolence	kondolencje	0.260	0.443	0.404
condolences	kondolencje	0.198	0.480	0.288
condom	prezerwatywa	0.406	0.637	0.500
condone	przebaczyć winę	0.571	0.441	0.619
condor	kondor	0.573	0.388	0.519
conducive	sprzyjający	0.775	0.479	0.679
conduct	postępek	0.453	0.510	0.750
conduction	przewodzenie	0.530	0.557	0.717
conductivity	przewodność	0.583	0.575	0.642
conductor	konduktor	0.677	0.663	0.621
conduit	przewód	0.470	0.302	0.413
cone	stożek	0.417	0.208	0.343
confederacy	konfederacja	0.590	0.541	0.736
confederate	konfederat	0.551	0.546	0.792
confederation	konfederacja	0.663	0.404	0.830
confer	przyznać	0.573	0.482	0.583
conference	konferencja	0.688	0.615	0.606
confess	wyznać	0.360	0.712	0.431
confession	wyznanie	0.469	0.642	0.460
confessional	konfesjonał	0.458	0.392	0.629
confessions	spowiedź	0.325	0.538	0.658
confetti	konfetti	0.781	0.573	0.250
confidant	powiernik	0.837	0.633	0.631
confide	zwierzać	0.669	0.472	0.595
confidence	pewność siebie	0.959	0.276	0.943
confident	pewni	0.765	0.324	0.723
confidential	poufny	0.643	0.471	0.761
confidentiality	poufność	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	konfiguracja	0.540	0.443	0.591
confine	ograniczać	0.327	0.551	0.538
confined	ograniczony	0.286	0.472	0.444
confinement	uwięzienie	0.333	0.656	0.520
confines	granice	0.396	0.386	0.542
confirm	potwierdzać	0.802	0.439	0.806
confirmation	potwierdzenie	0.812	0.480	0.692
confirmatory	potwierdzający	0.656	0.500	0.683
confirmed	zatwardziały	0.760	0.490	0.764
confiscate	konfiskować	0.250	0.625	0.482
confiscation	konfiskata	0.208	0.706	0.586
conflagration	pożar	0.344	0.721	0.594
conflict	konflikt	0.335	0.906	0.471
conflicting	sprzeczny	0.173	0.738	0.553
confluence	zbieg	0.677	0.598	0.565
conform	odpowiadać	0.479	0.380	0.375
conformance	zgodność	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	konformizm	0.645	0.363	0.579
confound	zawieść	0.347	0.529	0.333
confounded	zakłopotany	0.333	0.528	0.264
confront	konfrontować	0.281	0.760	0.746
confrontation	konfrontacja	0.177	0.870	0.658
confuse	dezorientować	0.100	0.580	0.270
confused	zmieszany	0.220	0.650	0.179
confusing	mylące	0.229	0.690	0.222
confusion	zamieszanie	0.255	0.667	0.277
conga	conga	0.469	0.529	0.440
congenial	pokrewny	0.820	0.412	0.620
congenital	wrodzony	0.448	0.434	0.427
congestion	przekrwienie	0.271	0.654	0.491
conglomerate	konglomerat	0.500	0.500	0.838
conglomeration	konglomerat	0.541	0.720	0.670
congrats	gratulacje	0.930	0.726	0.775
congratulate	pogratulować	0.927	0.724	0.784
congratulation	gratulacja	0.948	0.780	0.717
congratulations	Gratulacje	0.960	0.755	0.719
congratulatory	gratulacyjny	0.959	0.616	0.689
congregate	zgromadzić się	0.653	0.530	0.733
congregation	kongregacja	0.561	0.490	0.700
congress	kongres	0.449	0.444	0.857
congressional	kongresowy	0.552	0.491	0.848
congressman	kongresman	0.438	0.471	0.877
congruence	stosowność	0.656	0.472	0.577
conic	stożkowy	0.510	0.368	0.379
conical	stożkowy	0.490	0.422	0.471
conjecture	przypuszczenie	0.396	0.398	0.534
conjugal	małżeński	0.698	0.510	0.688
conjugate	sprzężony	0.583	0.420	0.467
conjugation	koniugacja	0.479	0.429	0.582
conjunction	spójnik	0.520	0.472	0.509
conjunctive	łączący	0.487	0.444	0.639
conjure	czarować	0.385	0.679	0.645
conjuring	czary	0.224	0.653	0.694
conk	nochal	0.340	0.469	0.404
connect	połączyć	0.724	0.299	0.536
connected	połączony	0.816	0.550	0.612
connection	połączenie	0.729	0.560	0.655
connective	łączący	0.719	0.491	0.764
connoisseur	znawca	0.760	0.461	0.769
conquer	podbić	0.694	0.873	0.971
conquering	zdobywanie	0.760	0.873	0.936
conqueror	zdobywca	0.604	0.809	0.930
conquest	podbój	0.710	0.702	0.833
conscience	sumienie	0.663	0.375	0.721
conscientious	sumienny	0.688	0.404	0.688
conscious	przytomny	0.740	0.333	0.705
consciousness	świadomość	0.840	0.483	0.755
conscription	pobór do wojska	0.396	0.775	0.642
consecrated	konsekrowany	0.663	0.500	0.800
consecration	poświęcenie	0.771	0.418	0.804
consecutive	kolejny	0.663	0.418	0.643
consensual	zgodni	0.663	0.417	0.655
consensus	zgoda	0.627	0.358	0.625
consent	zgoda	0.750	0.500	0.620
consenting	wyrażając zgodę	0.727	0.406	0.693
consequence	konsekwencja	0.240	0.721	0.593
consequent	następnik	0.663	0.471	0.625
conservation	ochrona	0.832	0.401	0.606
conservatism	konserwatyzm	0.406	0.369	0.633
conservative	konserwatywny	0.615	0.316	0.788
conservatory	konserwatorium	0.635	0.240	0.729
conserve	chronić	0.690	0.347	0.573
consider	rozważać	0.677	0.368	0.579
considerable	znaczny	0.653	0.314	0.683
considerate	taktowny	0.781	0.380	0.633
consideration	wynagrodzenie	0.589	0.380	0.687
consignee	konsygnatariusz	0.635	0.385	0.602
consignment	Przesyłka	0.490	0.440	0.500
consist	składać się	0.823	0.386	0.580
consistency	konsystencja	0.714	0.500	0.887
consistent	zgodny	0.786	0.431	0.726
consolation	pocieszenie	0.408	0.250	0.304
console	konsola	0.625	0.398	0.415
consoled	pocieszony	0.700	0.343	0.452
consolidate	konsolidować	0.880	0.440	0.870
consolidated	skonsolidowany	0.700	0.366	0.784
consolidation	konsolidacja	0.604	0.445	0.776
consonant	spółgłoska	0.500	0.347	0.417
consort	małżonek	0.632	0.509	0.630
conspicuous	wyraźny	0.479	0.520	0.596
conspiracy	spisek	0.125	0.787	0.652
conspirator	spiskowiec	0.271	0.786	0.707
conspire	konspirować	0.206	0.740	0.520
constable	policjant	0.573	0.667	0.764
constancy	stałość	0.786	0.443	0.763
constant	stały	0.740	0.296	0.686
constantly	stale	0.663	0.561	0.700
constellation	Konstelacja	0.719	0.533	0.775
consternation	konsternacja	0.167	0.680	0.469
constipation	zaparcie	0.079	0.612	0.231
constituency	okręg wyborczy	0.500	0.480	0.696
constituent	składnik	0.573	0.500	0.827
constituents	składników	0.573	0.414	0.833
constitute	stanowić	0.812	0.349	0.906
constitution	konstytucja	0.590	0.380	0.889
constitutional	konstytucyjny	0.633	0.418	0.827
constitutionality	konstytucyjność	0.612	0.439	0.853
constrain	wymusić	0.261	0.500	0.500
constrained	ograniczony	0.135	0.537	0.357
constraint	przymus	0.323	0.550	0.481
construct	zbudować	0.750	0.648	0.792
construction	budowa	0.848	0.612	0.759
constructive	konstruktywny	0.860	0.570	0.812
construe	interpretować	0.602	0.519	0.553
consul	konsul	0.573	0.354	0.688
consulate	konsulat	0.561	0.453	0.694
consult	konsultować	0.755	0.370	0.441
consultant	konsultant	0.770	0.344	0.808
consultation	konsultacja	0.660	0.463	0.625
consume	konsumować	0.427	0.620	0.509
consumer	konsument	0.507	0.551	0.677
consuming	trawiący	0.573	0.541	0.536
consummate	wytrawny	0.551	0.540	0.558
consummation	spełnienie	0.583	0.676	0.661
consumption	konsumpcja	0.390	0.531	0.538
contact	kontakt	0.719	0.424	0.526
contagion	zakażenie	0.208	0.630	0.535
contagious	zaraźliwy	0.184	0.725	0.400
contain	zawierać	0.542	0.490	0.658
container	pojemnik	0.551	0.396	0.561
containment	powstrzymywanie	0.411	0.491	0.618
contaminate	zanieczyścić	0.140	0.611	0.426
contaminated	zanieczyszczone	0.040	0.500	0.368
contamination	zanieczyszczenie	0.125	0.610	0.375
contemplate	rozważać	0.740	0.347	0.642
contemplation	kontemplacja	0.552	0.324	0.627
contemplative	kontemplacyjny	0.729	0.308	0.739
contemporaneous	współczesny	0.640	0.373	0.591
contemporary	współczesny	0.720	0.365	0.569
contempt	pogarda	0.206	0.635	0.396
contemptible	podły	0.146	0.657	0.471
contemptuous	pogardliwy	0.204	0.500	0.375
contend	walczyć	0.510	0.657	0.731
contender	zawodnik	0.480	0.790	0.681
contending	rywalizujący	0.490	0.698	0.716
content	zadowolony	0.764	0.296	0.559
contented	zadowolony	0.857	0.612	0.746
contention	twierdzenie	0.375	0.510	0.738
contentious	sporny	0.422	0.573	0.637
contentment	zadowolenie	0.875	0.610	0.782
contents	zawartość	0.656	0.375	0.550
contest	zawody	0.667	0.698	0.717
contestant	zawodnik	0.760	0.530	0.602
context	kontekst	0.531	0.300	0.553
contiguous	przyległy	0.375	0.450	0.500
continence	powściągliwość	0.450	0.396	0.469
continent	kontynent	0.551	0.373	0.833
continental	kontynentalny	0.486	0.350	0.755
contingency	przypadkowość	0.396	0.500	0.670
contingent	kontyngent	0.470	0.531	0.659
continual	nieustanny	0.500	0.423	0.685
continually	nieustannie	0.646	0.438	0.698
continuance	trwanie	0.729	0.510	0.652
continuation	kontynuacja	0.615	0.470	0.566
continue	dalej	0.630	0.427	0.612
continued	nieprzerwany	0.635	0.440	0.500
continuing	ciąg dalszy	0.667	0.500	0.520
continuity	ciągłość	0.781	0.439	0.684
continuous	ciągły	0.625	0.509	0.580
continuously	bez przerwy	0.719	0.417	0.702
continuum	kontinuum	0.677	0.390	0.491
contour	kontur	0.589	0.265	0.414
contraband	kontrabanda	0.177	0.875	0.670
contraception	zapobieganie ciąży	0.296	0.518	0.525
contract	kontrakt	0.594	0.412	0.636
contracted	zakontraktowany	0.344	0.557	0.449
contractile	skurczony	0.480	0.586	0.569
contracting	kontraktowanie	0.594	0.490	0.769
contraction	skurcz	0.292	0.755	0.603
contractor	kontrahent	0.592	0.479	0.727
contradict	zaprzeczać	0.160	0.598	0.482
contradiction	sprzeczność	0.250	0.660	0.377
contradictory	sprzeczny	0.365	0.651	0.421
contraption	przyrząd	0.448	0.590	0.491
contrary	przeciwnie	0.327	0.449	0.338
contrast	kontrast	0.480	0.406	0.520
contrasted	skontrastowane	0.521	0.538	0.491
contravene	naruszać	0.357	0.618	0.472
contravention	naruszenie przepisów	0.344	0.627	0.593
contribute	przyczynić się	0.806	0.350	0.795
contribution	wkład	0.854	0.452	0.760
contributor	współpracownik	0.844	0.510	0.760
contrite	skruszony	0.347	0.363	0.473
contrition	skrucha	0.347	0.583	0.463
contrived	wymyślony	0.408	0.530	0.458
control	kontrola	0.729	0.352	0.808
controller	kontroler	0.469	0.712	0.868
controlling	kontrolowanie	0.490	0.441	0.885
controversial	kontrowersyjny	0.271	0.858	0.538
controversy	spór	0.250	0.819	0.600
contusion	stłuczenie	0.167	0.565	0.509
conundrum	zagadka	0.354	0.524	0.408
convalescent	rekonwalescent	0.458	0.480	0.269
convection	konwekcja	0.521	0.494	0.526
convene	zwołać	0.583	0.676	0.636
convenience	wygoda	0.781	0.448	0.613
conveniences	komfort	0.802	0.412	0.693
convenient	wygodna	0.846	0.491	0.574
convent	klasztor	0.480	0.217	0.594
convention	Konwencja	0.622	0.622	0.704
conventional	standardowy	0.594	0.292	0.634
converge	skupiać	0.635	0.471	0.539
convergence	konwergencja	0.551	0.491	0.625
convergent	zbieżny	0.781	0.490	0.696
conversant	biegły	0.724	0.360	0.542
conversation	rozmowa	0.750	0.510	0.609
conversational	konwersacyjny	0.719	0.431	0.596
conversationalist	rozmówca	0.719	0.467	0.667
converse	rozmawiać	0.594	0.406	0.598
conversing	rozmawiając	0.755	0.409	0.442
conversion	konwersja	0.480	0.605	0.736
convert	konwertować	0.551	0.538	0.704
converted	przekonwertowany	0.663	0.418	0.686
convertible	zamienny	0.542	0.529	0.717
convex	wypukły	0.438	0.427	0.445
convexity	wypukłość	0.449	0.354	0.484
convey	przenieść	0.719	0.633	0.708
conveyance	przewóz	0.615	0.520	0.455
conveyancing	przenoszenie	0.375	0.479	0.663
convict	skazać	0.177	0.840	0.477
conviction	przekonanie	0.615	0.704	0.826
convince	przekonać	0.708	0.539	0.763
convinced	przekonany	0.750	0.500	0.630
convincing	przekonujący	0.760	0.527	0.900
convocation	zwołanie	0.538	0.611	0.663
convoluted	zwinięty	0.323	0.614	0.433
convolution	skręt	0.417	0.559	0.527
convoy	konwój	0.500	0.671	0.639
coo	gruchać	0.490	0.439	0.500
cook	gotować	0.847	0.500	0.412
cookbook	książka kucharska	0.602	0.346	0.398
cooker	kuchenka	0.592	0.373	0.407
cookery	sztuka kulinarna	0.633	0.368	0.345
cookie	ciastko	0.792	0.306	0.250
cookies	ciasteczka	0.823	0.451	0.316
cooking	gotowanie	0.694	0.510	0.434
cookout	cookout	0.680	0.406	0.482
cool	chłodny	0.885	0.540	0.781
coolant	płyn chłodzący	0.720	0.412	0.456
cooler	chłodnica	0.664	0.375	0.460
cooling	chłodzenie	0.469	0.324	0.392
coolness	chłód	0.490	0.307	0.548
coon	szop	0.490	0.460	0.400
coop	kooperacja	0.612	0.445	0.650
cooperate	współpracować	0.898	0.451	0.582
cooperating	współpracujący	0.760	0.390	0.693
cooperation	współpraca	0.847	0.473	0.686
cooperative	spółdzielnia	0.816	0.461	0.670
coordinate	koordynować	0.698	0.429	0.694
coordination	koordynacja	0.677	0.454	0.789
coordinator	koordynator	0.750	0.510	0.850
cop	policjant	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	sprostać	0.592	0.647	0.709
copier	fotokopiarka	0.459	0.345	0.390
copilot	drugi pilot	0.640	0.538	0.573
coping	korona	0.562	0.630	0.613
copious	rzęsisty	0.427	0.462	0.527
copper	miedź	0.580	0.260	0.500
copter	helikopter	0.571	0.704	0.569
copy	Kopiuj	0.460	0.240	0.263
copycat	naśladowca	0.449	0.580	0.443
copying	biurowy	0.448	0.315	0.404
copyright	Prawo autorskie	0.458	0.402	0.663
coral	koral	0.802	0.231	0.425
coral snake	wąż koralowy	0.276	0.712	0.607
cord	sznur	0.388	0.378	0.358
cordial	serdeczny	0.823	0.312	0.482
cordless	bezprzewodowy	0.667	0.441	0.528
cordon	kordon	0.469	0.317	0.380
corduroy	spodnie sztruksowe	0.570	0.324	0.357
core	rdzeń	0.721	0.378	0.540
cork	korek	0.347	0.250	0.281
corkscrew	korkociąg	0.427	0.443	0.445
corn	kukurydza	0.594	0.196	0.292
cornball	Kukurydza	0.479	0.378	0.325
cornbread	chleb kukurydziany	0.643	0.304	0.302
cornea	rogówka	0.521	0.346	0.443
corned	drastyczny	0.459	0.441	0.425
corner	kąt	0.400	0.296	0.366
cornerstone	kamień węgielny	0.550	0.388	0.596
cornet	kornet	0.507	0.520	0.415
cornfield	niwa	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	gzyms	0.458	0.441	0.295
cornstarch	skrobia kukurydziana	0.643	0.299	0.337
corny	staromodny	0.448	0.370	0.221
corollary	następstwo	0.458	0.469	0.366
corona	korona	0.818	0.439	0.745
coronary	wieńcowy	0.567	0.613	0.509
coronation	koronacja	0.792	0.592	0.836
coroner	koroner	0.323	0.558	0.526
corporal	kapral	0.582	0.490	0.596
corporate	zbiorowy	0.592	0.454	0.745
corporation	Korporacja	0.429	0.332	0.873
corporeal	cielesny	0.520	0.350	0.461
corps	korpus	0.551	0.453	0.483
corpse	zwłoki	0.094	0.657	0.232
corpsman	sanitariusz	0.439	0.469	0.651
corpus	ciało	0.543	0.340	0.490
corral	dziedziniec	0.606	0.662	0.422
correct	poprawny	0.857	0.306	0.723
correction	korekta	0.448	0.485	0.558
correctional	poprawczy	0.292	0.713	0.602
corrective	poprawczy	0.448	0.528	0.613
correctness	poprawność	0.796	0.450	0.649
correlation	korelacja	0.596	0.462	0.571
correlative	współzależny	0.510	0.402	0.571
correspond	korespondować	0.710	0.452	0.545
correspondence	korespondencja	0.663	0.423	0.491
correspondent	korespondent	0.573	0.565	0.712
corresponding	odpowiedni	0.740	0.423	0.618
corridor	korytarz	0.604	0.589	0.592
corroborate	potwierdzać	0.671	0.471	0.616
corroboration	potwierdzenie	0.625	0.431	0.733
corrosion	korozja	0.156	0.610	0.348
corrosive	żrący	0.140	0.618	0.570
corrupt	skorumpowany	0.020	0.806	0.500
corrupting	korumpujący	0.062	0.804	0.380
corruption	korupcja	0.052	0.830	0.549
corsage	stanik	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	gorset	0.490	0.520	0.381
cortex	kora	0.594	0.439	0.529
cortical	korową	0.380	0.423	0.536
cortisone	kortyzon	0.427	0.395	0.456
corvette	korweta	0.551	0.520	0.598
cosmetic	kosmetyk	0.625	0.304	0.308
cosmetics	kosmetyki	0.765	0.464	0.472
cosmic	kosmiczny	0.663	0.538	0.692
cosmology	kosmologia	0.651	0.438	0.637
cosmopolitan	kosmopolityczny	0.823	0.510	0.760
cosmos	kosmos	0.860	0.478	0.664
cost	koszt	0.365	0.420	0.439
costly	kosztowny	0.316	0.650	0.642
costume	kostium	0.548	0.510	0.374
cosy	przytulny	0.847	0.255	0.518
cot	łóżko składane	0.625	0.230	0.278
cote	szopa	0.439	0.344	0.324
cottage	Chata	0.600	0.279	0.361
cotton	bawełna	0.639	0.071	0.240
couch	sofa	0.594	0.082	0.198
cougar	puma	0.438	0.588	0.538
cough	kaszel	0.255	0.627	0.241
council	rada	0.875	0.279	0.635
councilman	radny	0.531	0.367	0.793
counsel	rada	0.594	0.519	0.730
counseling	doradztwo	0.667	0.480	0.704
counsellor	doradca	0.823	0.327	0.740
counselor	doradca	0.873	0.365	0.706
count	liczyć	0.594	0.389	0.492
countdown	odliczanie	0.438	0.692	0.490
countenance	oblicze	0.635	0.440	0.690
counter	licznik	0.439	0.478	0.750
counteract	przeciwdziałać	0.378	0.542	0.688
counterattack	kontratak	0.281	0.951	0.764
counterbalance	przeciwwaga	0.520	0.480	0.627
counterclaim	wzajemne roszczenie wzajemne	0.398	0.760	0.651
counterfeit	podrobić	0.094	0.694	0.451
counterpart	odpowiednik	0.448	0.608	0.577
counterpoint	kontrapunkt	0.438	0.509	0.538
countess	hrabina	0.562	0.440	0.670
countless	niezliczony	0.520	0.566	0.534
country	kraj	0.698	0.394	0.693
countryman	rodak	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	Wieś	0.732	0.288	0.327
counts	liczy	0.343	0.373	0.500
county	Hrabstwo	0.479	0.368	0.545
coup	pucz	0.275	0.815	0.607
coupe	coupe	0.479	0.460	0.482
couple	para	0.806	0.605	0.607
coupled	sprzężony	0.612	0.286	0.650
coupling	sprzęganie	0.594	0.479	0.555
coupon	kupon	0.704	0.300	0.421
courage	odwaga	0.830	0.728	0.849
courageous	odważny	0.918	0.587	0.879
courier	kurier	0.551	0.383	0.441
courses	kursy	0.735	0.412	0.534
coursing	pościg	0.542	0.472	0.546
court	Sąd	0.479	0.769	0.827
courteous	uprzejmy	0.937	0.396	0.529
courtesy	kurtuazja	0.927	0.287	0.431
courthouse	Sąd	0.571	0.503	0.818
courtroom	sala sądowa	0.385	0.670	0.887
courts	sądy	0.367	0.710	0.816
courtship	zaloty	0.667	0.490	0.654
courtside	sądy	0.592	0.391	0.434
courtyard	dziedziniec	0.503	0.365	0.355
cousin	kuzyn	0.675	0.394	0.427
cousins	kuzyni	0.760	0.409	0.464
cove	zatoczka	0.500	0.304	0.370
coven	coven	0.458	0.578	0.591
covenant	przymierze	0.594	0.462	0.667
cover	pokrywa	0.365	0.240	0.471
coverage	pokrycie	0.767	0.413	0.629
covered	pokryty	0.562	0.340	0.644
covering	pokrycie	0.615	0.382	0.583
covert	ukryty	0.500	0.570	0.508
covet	pożądać czegoś	0.302	0.779	0.524
coveted	pożądane	0.661	0.730	0.625
cow	krowa	0.449	0.230	0.300
coward	tchórz	0.102	0.490	0.149
cowardice	tchórzostwo	0.133	0.621	0.167
cowardly	tchórzliwy	0.102	0.385	0.127
cowboy	kowboj	0.594	0.625	0.695
cowgirl	kowbojka	0.541	0.566	0.554
cowhand	cowhand	0.438	0.480	0.596
cowhide	skóra bydlęca	0.458	0.324	0.333
cowl	kaptur	0.427	0.450	0.232
coworker	współpracownik	0.667	0.490	0.625
coy	skromny	0.347	0.330	0.213
coyote	kojot	0.459	0.471	0.387
cozy	przytulny	0.910	0.356	0.545
crab	Krab	0.421	0.396	0.330
crabby	crabby	0.198	0.812	0.370
crack	pęknięcie	0.302	0.625	0.400
cracked	pęknięty	0.224	0.520	0.228
cracker	krakers	0.604	0.343	0.346
crackerjack	coś świetnego	0.567	0.509	0.426
cracking	Pękanie	0.327	0.557	0.286
crackle	trzask	0.327	0.643	0.481
crackpot	głupek	0.260	0.602	0.245
cradle	kolebka	0.776	0.194	0.333
craft	rzemiosło	0.760	0.321	0.539
crafts	rzemieślnictwo	0.667	0.380	0.391
craftsman	rzemieślnik	0.719	0.310	0.583
craftsmanship	rzemiosło	0.823	0.373	0.571
crafty	podstępny	0.589	0.679	0.783
craig	Craig	0.448	0.449	0.490
cram	dopchać	0.354	0.730	0.598
crammed	napchany	0.406	0.740	0.466
cramp	skurcz	0.194	0.796	0.340
cramped	zbity	0.240	0.567	0.360
cranberry	żurawina	0.793	0.330	0.363
cranberry juice	sok żurawinowy	0.622	0.321	0.281
crane	dźwig	0.396	0.417	0.589
cranial	czaszkowy	0.354	0.510	0.583
cranium	czaszka	0.439	0.491	0.725
crank	korba	0.448	0.275	0.417
cranky	zepsuty	0.194	0.776	0.396
cranny	rysa	0.194	0.471	0.250
crap	bzdury	0.083	0.644	0.167
crappy	bzdury	0.039	0.582	0.208
craps	Craps	0.375	0.420	0.273
crash	wypadek	0.194	0.906	0.355
crass	tępy	0.223	0.490	0.466
crate	skrzynia	0.427	0.173	0.274
crater	krater	0.450	0.647	0.529
crave	pragnąć	0.625	0.510	0.731
craving	pragnienie	0.510	0.755	0.636
crawfish	langusta	0.510	0.427	0.342
crawl	czołgać się	0.479	0.519	0.467
crayon	pastel	0.604	0.260	0.185
crayons	kredki	0.684	0.366	0.405
craze	szał	0.255	0.657	0.435
crazed	zwariowany	0.153	0.877	0.417
craziness	szaleństwo	0.238	0.908	0.255
crazy	zwariowany	0.156	0.843	0.321
creak	skrzypienie	0.344	0.670	0.411
creaking	skrzypienie	0.302	0.743	0.415
cream	krem	0.688	0.259	0.220
creamed	kremowe	0.723	0.273	0.288
creamer	wirówka	0.594	0.192	0.269
creamy	kremowy	0.823	0.337	0.345
crease	marszczyć	0.440	0.286	0.300
create	Stwórz	0.786	0.588	0.789
creation	kreacja	0.927	0.575	0.868
creative	twórczy	0.917	0.518	0.788
creativity	kreatywność	0.938	0.684	0.815
creator	twórca	0.865	0.592	0.856
creature	kreatura	0.669	0.625	0.620
credence	wiara	0.760	0.460	0.737
credential	poświadczenie	0.735	0.337	0.597
credentials	kwalifikacje	0.708	0.373	0.675
credibility	wiarygodność	0.875	0.427	0.809
credible	wiarygodny	0.917	0.441	0.750
credit	kredyt	0.673	0.549	0.648
credit card	karta kredytowa	0.670	0.550	0.640
creditable	chlubny	0.802	0.510	0.742
credited	zaksięgowane	0.781	0.390	0.691
crediting	kredytowanie	0.673	0.550	0.741
creditor	wierzyciel	0.479	0.594	0.689
creed	kredo	0.573	0.245	0.544
creek	zatoczka	0.552	0.392	0.330
creep	pełzanie	0.354	0.647	0.361
creeper	pnącze	0.429	0.558	0.366
creeping	pnący	0.292	0.613	0.282
creepy	przerażający	0.125	0.861	0.373
cremation	kremacja	0.084	0.620	0.420
creole	kreolski	0.667	0.357	0.523
crepe	krepa	0.562	0.224	0.349
crescendo	crescendo	0.760	0.575	0.594
crescent	półksiężyc	0.698	0.382	0.407
crest	herb	0.458	0.333	0.333
crestfallen	zbity z tropu	0.235	0.346	0.175
cretin	kretyn	0.265	0.583	0.312
cretins	kretyni	0.094	0.741	0.328
crevice	szpara	0.361	0.471	0.275
crew	załoga	0.604	0.598	0.735
crewman	członek załogi	0.602	0.580	0.548
crib	łóżeczko	0.653	0.240	0.407
cricket	krykiet	0.423	0.539	0.370
cried	płakał	0.167	0.612	0.254
crime	przestępstwo	0.071	0.943	0.630
criminal	kryminalista	0.021	0.830	0.529
criminality	przestępczość	0.122	0.863	0.580
crimp	fałda	0.260	0.557	0.396
crimson	karmazynowy	0.667	0.385	0.370
cringe	warować	0.245	0.840	0.377
cripple	kaleka	0.094	0.392	0.161
crippled	kaleki	0.035	0.358	0.236
crippling	paraliżujący	0.156	0.598	0.391
crisis	kryzys	0.208	0.811	0.431
crisp	chrupiący	0.776	0.692	0.508
crispy	chrupiący	0.656	0.550	0.509
criterion	kryterium	0.396	0.410	0.736
critic	krytyk	0.264	0.604	0.686
critical	krytyczny	0.312	0.802	0.545
criticise	krytykować	0.073	0.700	0.452
criticism	krytyka	0.115	0.563	0.505
criticize	krytykować	0.143	0.708	0.473
criticized	krytykowane	0.240	0.600	0.311
critique	krytyka	0.302	0.760	0.537
critter	critter	0.542	0.539	0.482
croak	rechot	0.337	0.346	0.298
croc	croc	0.327	0.452	0.451
crock	zdechlak	0.385	0.412	0.421
crockery	porcelana	0.552	0.216	0.327
crocodile	krokodyl	0.344	0.708	0.610
croft	zagroda	0.531	0.429	0.421
croissant	rogalik	0.745	0.330	0.430
crook	oszust	0.171	0.765	0.550
crooked	krzywy	0.146	0.594	0.305
crop	przyciąć	0.615	0.260	0.500
croquet	krokiet	0.551	0.519	0.407
cross	krzyż	0.448	0.321	0.569
cross country	biegowy	0.531	0.441	0.529
crossbow	kusza	0.344	0.598	0.560
crossed	skrzyżowany	0.431	0.490	0.508
crossfire	ogień krzyżowy	0.316	0.896	0.722
crossing	przejście	0.549	0.349	0.451
crossover	crossover	0.559	0.550	0.500
crosswalk	przejście dla pieszych	0.557	0.441	0.380
crossword	krzyżówka	0.611	0.423	0.455
crotch	krocze	0.521	0.637	0.447
crouch	kucanie	0.281	0.606	0.312
crouched	przykucnął	0.333	0.363	0.279
crouching	przyczajony	0.261	0.429	0.345
croupier	krupier	0.531	0.519	0.404
crow	wrona	0.224	0.439	0.363
crowbar	łom	0.406	0.531	0.386
crowd	tłum	0.350	0.827	0.731
crowded	zatłoczony	0.694	0.286	0.585
crowds	tłumy	0.469	0.723	0.806
crown	korona	0.708	0.572	0.737
crowning	koronny	0.773	0.594	0.831
crucial	istotny	0.541	0.657	0.777
cruciate	krzyżowy	0.429	0.435	0.585
crucifix	krucyfiks	0.469	0.480	0.510
crucifixion	ukrzyżowanie	0.135	0.857	0.541
crucify	ukrzyżować	0.146	0.878	0.573
crud	crud	0.312	0.330	0.444
crude	surowy	0.198	0.402	0.357
cruel	okrutny	0.122	0.866	0.391
cruelly	okrutnie	0.146	0.790	0.471
cruelty	okrucieństwo	0.092	0.836	0.536
cruise	rejs	0.740	0.442	0.683
cruise ship	statek wycieczkowy	0.878	0.650	0.500
cruiser	krążownik	0.737	0.490	0.608
cruising	przelot	0.886	0.580	0.560
crumb	miękisz	0.417	0.255	0.216
crumble	kruszyć się	0.333	0.480	0.423
crumbling	kruszenie	0.167	0.696	0.308
crummy	z forsą	0.125	0.531	0.224
crunch	schrupać	0.292	0.630	0.406
crunchy	chrupki	0.625	0.560	0.539
crusade	krucjata	0.592	0.720	0.709
crusader	krzyżowiec	0.439	0.588	0.548
crush	zmiażdżyć	0.271	0.676	0.582
