Word	Icelandic-is	Valence	Arousal	Dominance
brainless	heilalaust	0.138	0.310	0.224
brains	heila	0.663	0.557	0.722
brainstorm	brainstorm	0.794	0.784	0.636
brainwash	brainwash	0.198	0.647	0.481
brainy	brainy	0.708	0.520	0.648
brake	bremsa	0.312	0.481	0.310
bran	kli	0.688	0.433	0.483
branch	útibú	0.538	0.206	0.250
branching	útibú	0.520	0.422	0.472
brand	merki	0.562	0.284	0.547
brandy	brandy	0.600	0.590	0.487
brash	Brash	0.360	0.814	0.552
brass	kopar	0.500	0.320	0.490
brass knuckle	koparhnúði	0.406	0.449	0.518
brassiere	brassiere	0.510	0.469	0.336
brat	brat	0.312	0.440	0.231
bratwurst	bratwurst	0.510	0.490	0.464
bravado	bravado	0.479	0.510	0.527
brave	hugrakkur	0.837	0.750	0.917
bravery	hugrekki	0.898	0.745	0.868
brawl	brawl	0.104	0.938	0.603
brawn	brawn	0.438	0.402	0.544
brazen	brazen	0.292	0.640	0.518
breach	brot	0.177	0.745	0.423
bread	brauð	0.660	0.314	0.342
breadth	breidd	0.667	0.490	0.644
break	brjóta	0.610	0.265	0.370
breakable	breakable	0.194	0.667	0.408
breakaway	losna undan	0.479	0.802	0.519
breakdown	brotna niður	0.365	0.423	0.361
breaker	brotsjór	0.323	0.527	0.520
breakers	brotsjór	0.469	0.588	0.439
breakfast	morgunmat	0.885	0.330	0.429
breaking and entering	brjóta og slá inn	0.418	0.729	0.500
breakingnews	stórfréttir	0.500	0.552	0.607
breakneck	breakneck	0.254	0.833	0.604
breakthrough	bylting	0.680	0.525	0.718
breakup	brot	0.250	0.720	0.357
breast	brjóst	0.753	0.429	0.500
breath	andardráttur	0.684	0.392	0.451
breathe	andaðu	0.833	0.373	0.518
breather	breather	0.624	0.471	0.388
breathless	andardráttur	0.323	0.490	0.222
breathtaking	hrífandi	0.936	0.792	0.921
breech	breech	0.500	0.637	0.422
breeches	breeches	0.365	0.457	0.333
breed	kyn	0.490	0.441	0.578
breeder	ræktanda	0.645	0.481	0.605
breeding	ræktun	0.667	0.481	0.610
breeze	gola	0.837	0.284	0.370
breezy	breezy	0.531	0.472	0.482
brethren	bræður	0.917	0.380	0.641
breve	NO TRANSLATION	0.535	0.365	0.191
brevity	brevity	0.459	0.434	0.375
brew	brugga	0.740	0.538	0.758
brewery	Brewery	0.710	0.622	0.510
brewing	bruggun	0.740	0.593	0.609
briar	briar	0.493	0.375	0.407
bribe	mútur	0.112	0.690	0.472
bribery	sektir	0.135	0.775	0.585
brick	múrsteinn	0.217	0.418	0.368
bridal	brúðar	0.823	0.655	0.596
bride	brúður	0.840	0.708	0.579
bridegroom	brúðguminn	0.809	0.736	0.527
bridesmaid	bridesmaid	0.748	0.519	0.618
bridge	brú	0.625	0.324	0.519
bridle	hálsi	0.427	0.367	0.386
brief	stutt	0.469	0.300	0.279
briefcase	skjalataska	0.542	0.206	0.442
briefing	samantekt	0.612	0.333	0.702
briefly	stuttlega	0.686	0.314	0.330
brig	brig	0.573	0.539	0.500
brigade	Stórfylki	0.604	0.710	0.828
bright	björt	0.890	0.527	0.812
brighten	bjartari	0.760	0.547	0.649
brightens	bjartar	0.771	0.611	0.613
brighter	bjartari	0.918	0.698	0.833
brightness	birtustig	0.938	0.623	0.660
brilliance	ljómi	0.990	0.673	0.830
brilliant	ljómandi	0.939	0.575	0.923
brim	brún	0.469	0.333	0.330
brimming	brimming	0.656	0.690	0.758
brimstone	brennisteini	0.357	0.520	0.440
brine	saltvatn	0.333	0.481	0.361
bring	koma með	0.635	0.460	0.462
brink	brink	0.375	0.413	0.356
brisk	bjartur	0.719	0.745	0.742
brisket	brisket	0.552	0.378	0.222
bristle	bristle	0.375	0.375	0.326
brittle	brothætt	0.276	0.490	0.272
bro	bro	0.794	0.349	0.684
broach	broach	0.438	0.439	0.675
broad	breið	0.762	0.365	0.637
broadcast	útsending	0.615	0.587	0.355
broadcasting	útsendingar	0.542	0.700	0.706
broaden	víkka	0.678	0.602	0.610
broadside	brúður	0.459	0.316	0.462
broadsword	broadsword	0.469	0.573	0.615
brocade	brocade	0.500	0.327	0.464
broccoli	spergilkál	0.469	0.200	0.283
brochure	bækling	0.552	0.226	0.391
broil	broil	0.510	0.404	0.330
broke	braut	0.245	0.590	0.370
broken	brotið	0.062	0.500	0.293
brokenheart	NO TRANSLATION	0.115	0.577	0.343
brokenhearted	brotinn í hjartað	0.130	0.598	0.227
broker	miðlari	0.582	0.462	0.600
brokerage	miðlun	0.479	0.500	0.500
bromide	brómíð	0.347	0.425	0.411
bronco	bronco	0.500	0.510	0.473
bronze	brons	0.622	0.333	0.526
brooch	brooch	0.531	0.260	0.380
brood	ungbarn	0.633	0.519	0.434
brooding	brooding	0.327	0.367	0.333
brook	læk	0.594	0.347	0.412
broom	broom	0.385	0.154	0.302
broomstick	broomstick	0.410	0.265	0.227
broth	seyði	0.500	0.245	0.168
brothel	brothel	0.255	0.886	0.418
brother	bróðir	0.823	0.361	0.546
brotherhood	bræðralag	0.990	0.471	0.760
brotherly	bróðir	0.865	0.306	0.596
brow	brow	0.562	0.311	0.481
brown	brúnn	0.396	0.202	0.293
brownstone	Brownstone	0.559	0.423	0.439
browse	flettu	0.635	0.750	0.592
brrr	brrr	0.373	0.540	0.282
bruise	marblettur	0.133	0.640	0.474
bruising	marbletti	0.084	0.520	0.422
brunch	brunch	0.406	0.363	0.343
brunette	brunette	0.802	0.528	0.529
brunt	brunt	0.204	0.750	0.349
brush	bursta	0.490	0.265	0.186
brutal	grimmur	0.122	0.882	0.643
brutality	grimmd	0.122	0.832	0.571
brute	brute	0.115	0.547	0.379
brutish	grimmur	0.270	0.837	0.588
bubble	kúla	0.774	0.213	0.364
bubbling	kúla	0.500	0.438	0.384
bubbly	bubbly	0.698	0.608	0.462
bubonic	bubonic	0.280	0.530	0.394
buck	peningur	0.677	0.577	0.720
buckaroo	buckaroo	0.448	0.469	0.479
bucket	fötu	0.408	0.167	0.336
buckle	sylgja	0.416	0.373	0.361
buckled	buckled	0.427	0.358	0.439
bucko	bucko	0.439	0.455	0.465
buckshot	buckshot	0.255	0.740	0.322
buckwheat	bókhveiti	0.490	0.471	0.434
bud	bud	0.460	0.402	0.333
buddha	Búdda	0.690	0.198	0.604
buddhism	búddismi	0.510	0.115	0.673
buddhist	buddhist	0.570	0.182	0.481
budding	verðandi	0.490	0.500	0.355
buddy	félagi	0.884	0.585	0.655
budge	budge	0.719	0.755	0.543
budget	fjárhagsáætlun	0.643	0.396	0.731
buff	Buff	0.561	0.425	0.361
buffalo	Buffalo	0.469	0.528	0.527
buffer	biðminni	0.520	0.474	0.350
buffering	biðminni	0.479	0.468	0.381
buffet	hlaðborð	0.656	0.546	0.519
buffoon	buffoon	0.344	0.651	0.290
bug	galla	0.286	0.500	0.246
bugaboo	bugaboo	0.439	0.491	0.441
bugged	bugged	0.561	0.439	0.500
bugger	bugger	0.312	0.627	0.474
buggy	þrjótur	0.500	0.509	0.327
bugle	bugle	0.479	0.588	0.391
bugler	bugler	0.542	0.540	0.393
build	byggja	0.771	0.546	0.806
builder	byggir	0.660	0.642	0.701
building	bygging	0.705	0.288	0.673
buildings	byggingar	0.582	0.380	0.552
buildup	byggja upp	0.490	0.509	0.623
bulb	peru	0.562	0.208	0.300
bulbous	bulbous	0.390	0.442	0.430
bulge	bulge	0.260	0.487	0.400
bulimic	bulimic	0.092	0.570	0.373
bulk	magn	0.469	0.413	0.509
bulkhead	þilfari	0.312	0.425	0.402
bulky	fyrirferðarmikill	0.427	0.591	0.750
bull	naut	0.521	0.640	0.644
bulldog	Bulldog	0.494	0.650	0.530
bulldozer	bulldozer	0.459	0.549	0.643
bullet	bullet	0.408	0.794	0.634
bulletin	bulletin	0.573	0.294	0.361
bulletproof	bulletproof	0.750	0.721	0.779
bullfighter	Bullfighter	0.448	0.794	0.664
bullfrog	bullfrog	0.344	0.481	0.422
bullheaded	bullheaded	0.229	0.740	0.516
bullhorn	bullhorn	0.510	0.653	0.736
bullion	bullion	0.693	0.558	0.729
bullock	bullock	0.281	0.402	0.375
bullpen	bullpen	0.480	0.549	0.500
bullshit	bullshit	0.042	0.676	0.183
bully	bölvun	0.257	0.755	0.564
bulwark	bulwark	0.551	0.552	0.675
bum	bum	0.281	0.451	0.155
bumblebee	bumblebee	0.469	0.493	0.321
bummed	bummed	0.296	0.430	0.227
bummer	bummer	0.163	0.500	0.267
bump	högg	0.286	0.458	0.368
bumper	stuðara	0.385	0.573	0.518
bumpy	ójafnvægi	0.306	0.683	0.419
bun	NO TRANSLATION	0.424	0.306	0.268
bunch	fullt	0.552	0.358	0.473
bundle	búnt	0.510	0.343	0.434
bungalow	Bungalow	0.562	0.352	0.406
bungee	bungee	0.637	0.545	0.327
bunghole	bunghole	0.286	0.426	0.396
bunion	bunion	0.276	0.340	0.290
bunk	bunk	0.438	0.332	0.339
bunker	bunker	0.375	0.673	0.773
bunkhouse	bunkhouse	0.470	0.414	0.407
bunny	kanína	0.740	0.325	0.194
bunt	bunt	0.417	0.422	0.349
buoy	boga	0.562	0.280	0.284
buoyancy	uppi	0.625	0.373	0.538
buoyant	fljótandi	0.625	0.441	0.497
bur	bur	0.385	0.353	0.314
burden	byrði	0.367	0.583	0.697
burdened	byrði	0.429	0.519	0.565
burdensome	þungt	0.229	0.696	0.419
bureau	Skrifstofa	0.562	0.373	0.618
bureaucracy	skrifræði	0.380	0.578	0.740
bureaucrat	embættismaður	0.208	0.519	0.598
bureaucratic	bureaucratic	0.280	0.630	0.573
burger	hamborgari	0.688	0.568	0.398
burglar	burglar	0.050	0.769	0.404
burglary	innbrot	0.146	0.918	0.543
burial	greftrun	0.203	0.577	0.333
buried	grafinn	0.133	0.530	0.370
burke	burke	0.466	0.441	0.451
burlap	burlap	0.429	0.462	0.411
burlesque	burlesque	0.327	0.615	0.343
burly	burly	0.562	0.650	0.750
burn	brenna	0.219	0.783	0.509
burned	brennt	0.163	0.603	0.347
burner	brennari	0.296	0.816	0.446
burning	brennandi	0.229	0.760	0.412
burnished	brennt	0.520	0.580	0.464
burnout	brenna út	0.219	0.445	0.240
burnt	brenndur	0.082	0.713	0.356
burp	burp	0.219	0.594	0.432
burr	burr	0.390	0.426	0.308
burrito	burrito	0.688	0.294	0.166
burro	NO TRANSLATION	0.400	0.356	0.318
burrow	burrow	0.438	0.280	0.355
bursary	verðlaun	0.729	0.462	0.571
burst	springa	0.156	0.894	0.845
bury	jarða	0.077	0.571	0.346
bus	rútu	0.407	0.411	0.400
busboy	busboy	0.510	0.453	0.441
bush	Bush	0.413	0.220	0.315
bushel	bushel	0.417	0.387	0.368
bushy	bushy	0.562	0.321	0.427
business	viðskipti	0.688	0.569	0.755
business man	NO TRANSLATION	0.530	0.598	0.933
businessman	kaupsýslumaður	0.653	0.510	0.802
businesswoman	viðskiptakona	0.719	0.500	0.764
busload	busload	0.561	0.481	0.492
buss	rútu	0.469	0.500	0.391
bust	brjóstmynd	0.520	0.500	0.420
busted	gómaður	0.204	0.676	0.345
buster	buster	0.469	0.491	0.483
bustle	bustle	0.347	0.814	0.445
bustling	bustling	0.490	0.850	0.528
busy	upptekinn	0.402	0.500	0.474
busybody	busybody	0.255	0.634	0.472
butane	bútan	0.442	0.483	0.380
butcher	slátrari	0.500	0.575	0.608
butler	butler	0.469	0.225	0.438
butt	rassinn	0.347	0.725	0.336
butter	smjör	0.650	0.292	0.202
buttercup	buttercup	0.562	0.482	0.422
butterfly	fiðrildi	0.892	0.327	0.314
buttermilk	kjötmjólk	0.633	0.311	0.304
butterscotch	butterscotch	0.708	0.510	0.356
buttery	buttery	0.625	0.318	0.303
buttock	rass	0.429	0.600	0.288
buttocks	sitjandi	0.458	0.677	0.365
button	takki	0.520	0.220	0.343
buttress	buttress	0.438	0.684	0.721
buxom	buxom	0.562	0.719	0.547
buy	kaupa	0.771	0.769	0.612
buyer	kaupandi	0.613	0.519	0.649
buying	kaupa	0.665	0.784	0.589
buzz	suð	0.333	0.686	0.375
buzzard	buzzard	0.350	0.500	0.225
buzzed	buzzed	0.583	0.549	0.448
buzzer	svalir	0.549	0.716	0.480
buzzing	summandi	0.430	0.588	0.370
bye	bless	0.375	0.398	0.321
bygone	svipt	0.229	0.310	0.315
bylaw	vígsla	0.469	0.373	0.725
byline	byline	0.469	0.450	0.435
bypass	framhjá	0.429	0.418	0.353
bystander	andstæðingur	0.480	0.462	0.491
byte	bæti	0.490	0.380	0.407
byzantine	Byzantine	0.546	0.443	0.492
cab	leigubíll	0.438	0.490	0.421
cabal	cabal	0.500	0.406	0.573
cabana	cabana	0.698	0.296	0.407
cabaret	cabaret	0.677	0.656	0.482
cabbage	hvítkál	0.398	0.225	0.264
cabbie	cabbie	0.521	0.417	0.429
cabernet	cabernet	0.543	0.420	0.480
cabin	skála	0.643	0.292	0.430
cabinet	skáp	0.552	0.306	0.465
cable	kaðall	0.583	0.245	0.434
caboodle	caboodle	0.529	0.521	0.325
caboose	Caboose	0.440	0.453	0.438
cabriolet	cabriolet	0.667	0.525	0.472
cache	skyndiminni	0.552	0.348	0.389
cacophony	cacophony	0.408	0.562	0.440
cactus	kaktus	0.439	0.412	0.284
cad	cad	0.447	0.406	0.404
cadaver	cadaver	0.030	0.690	0.260
caddie	NO TRANSLATION	0.521	0.435	0.259
caddy	caddy	0.580	0.470	0.380
cadence	cadence	0.427	0.473	0.355
cadet	kadett	0.504	0.393	0.664
cafe	kaffihús	0.781	0.392	0.358
cafeteria	mötuneyti	0.757	0.400	0.382
caffeine	koffein	0.562	0.759	0.500
cage	búr	0.316	0.333	0.352
cagey	cagey	0.542	0.363	0.582
cahoots	cahoots	0.312	0.696	0.474
cairn	cairn	0.260	0.435	0.254
cake	kaka	0.810	0.375	0.287
cakewalk	cakewalk	0.719	0.510	0.447
calamari	calamari	0.521	0.312	0.406
calamitous	calamitous	0.219	0.685	0.500
calamity	ógæfu	0.122	0.795	0.343
calcareous	kalk	0.490	0.368	0.462
calcium	kalsíum	0.600	0.346	0.479
calculate	reikna	0.490	0.452	0.440
calculated	reiknað	0.633	0.425	0.683
calculating	útreikningur	0.458	0.430	0.625
calculation	útreikningur	0.646	0.453	0.606
calculator	reiknivél	0.513	0.283	0.588
calculus	reikningur	0.360	0.360	0.562
calendar	dagatal	0.480	0.212	0.473
calender	NO TRANSLATION	0.531	0.275	0.451
calf	kálfur	0.531	0.366	0.336
caliber	gæðum	0.429	0.551	0.606
calibrate	kvörðu	0.552	0.460	0.623
calico	calico	0.406	0.338	0.491
calipers	þvermál	0.480	0.510	0.481
calisthenics	calisthenics	0.562	0.663	0.545
call	hringja	0.594	0.627	0.558
callback	svarhringingu	0.524	0.529	0.434
caller	hringir	0.646	0.615	0.472
calligraphy	skrautskrift	0.620	0.216	0.500
calling	hringja	0.646	0.590	0.483
callous	kallaous	0.245	0.500	0.386
calls	símtöl	0.608	0.431	0.551
calm	rólegur	0.875	0.100	0.282
calming	róandi	0.885	0.105	0.360
calmness	calmness	0.934	0.105	0.394
caloric	caloric	0.327	0.483	0.448
calorie	kaloría	0.333	0.540	0.427
calorimeter	kalorimeter	0.406	0.560	0.414
cam	kambur	0.448	0.363	0.355
camaraderie	félagsskapur	0.833	0.510	0.648
camber	camber	0.430	0.382	0.439
camcorder	upptökuvél	0.556	0.422	0.454
camel	úlfalda	0.540	0.282	0.314
cameo	cameo	0.573	0.457	0.509
camera	myndavél	0.640	0.288	0.379
cameraman	myndavél	0.542	0.452	0.542
camisole	Camisole	0.497	0.250	0.375
camouflage	felulitur	0.438	0.585	0.450
camouflaged	NO TRANSLATION	0.350	0.422	0.562
camp	Tjaldvagnar	0.622	0.617	0.594
campaign	herferð	0.602	0.730	0.823
campaigner	herferðarmaður	0.592	0.698	0.821
campaigning	berjast	0.531	0.663	0.741
camper	hjólhýsi	0.573	0.529	0.482
campfire	varðeldur	0.677	0.509	0.436
camping	tjaldsvæði	0.653	0.529	0.480
campsite	tjaldsvæði	0.680	0.490	0.547
campus	háskólasvæðinu	0.604	0.388	0.519
can	dós	0.662	0.360	0.454
can opener	dósaopnari	0.444	0.491	0.308
canal	skurður	0.673	0.259	0.321
canary	canary	0.582	0.276	0.265
cancel	hætta við	0.214	0.306	0.368
canceling	hætta	0.229	0.470	0.349
cancellation	afpöntun	0.224	0.431	0.389
cancer	krabbamein	0.052	0.694	0.529
candid	einlægur	0.667	0.349	0.458
candidacy	framboð	0.490	0.657	0.696
candidate	frambjóðandi	0.596	0.490	0.804
candied	candied	0.713	0.330	0.360
candle	kerti	0.602	0.221	0.344
candlelight	kertaljós	0.789	0.294	0.417
candles	kerti	0.615	0.206	0.268
candlestick	ljósastiku	0.448	0.531	0.534
candor	kjarni	0.740	0.389	0.607
candy	nammi	0.930	0.425	0.384
cane	reyr	0.459	0.298	0.398
canine	hunda	0.573	0.569	0.425
canister	dósir	0.553	0.271	0.403
canker	canker	0.262	0.469	0.427
cannabis	kannabis	0.271	0.500	0.564
canned	niðursoðinn	0.398	0.357	0.298
cannibal	cannibal	0.122	0.824	0.480
cannibalism	kannibalismi	0.094	0.890	0.583
canning	niðursoðinn	0.490	0.392	0.259
cannon	fallbyssu	0.529	0.676	0.811
cannonball	Cannonball	0.344	0.840	0.759
canoe	kanó	0.542	0.300	0.418
canon	Canon	0.385	0.519	0.541
canonical	Canonical	0.542	0.410	0.620
canons	canons	0.385	0.588	0.593
canopy	tjaldhiminn	0.615	0.264	0.398
cantaloupe	kantalóp	0.592	0.212	0.276
cantbreathe	NO TRANSLATION	0.284	0.667	0.375
canteen	matsal	0.688	0.600	0.514
canterbury	canterbury	0.582	0.438	0.510
canthandleit	NO TRANSLATION	0.354	0.613	0.354
cantilever	cantilever	0.357	0.618	0.421
cantina	cantina	0.646	0.612	0.380
canto	NO TRANSLATION	0.776	0.461	0.554
canton	kantóna	0.542	0.472	0.536
cantstandit	NO TRANSLATION	0.418	0.546	0.343
cantwin	Cantwin	0.260	0.509	0.298
canvas	striga	0.719	0.090	0.364
canvass	NO TRANSLATION	0.675	0.356	0.397
canyon	gljúfur	0.468	0.731	0.634
cap	loki	0.612	0.240	0.375
capability	getu	0.833	0.571	0.730
capable	fær	0.765	0.587	0.547
capacity	getu	0.719	0.411	0.806
cape	cape	0.531	0.235	0.357
caper	caper	0.510	0.370	0.326
capillary	háræð	0.469	0.365	0.395
capital	höfuðborg	0.520	0.500	0.798
capitalism	kapítalismi	0.448	0.686	0.848
capitalist	kapítalisti	0.352	0.577	0.821
capitalize	eignast	0.771	0.601	0.885
capitals	höfuðborgir	0.755	0.500	0.655
capitation	yfirráð	0.479	0.529	0.589
capitol	höfuðborg	0.535	0.375	0.705
capitulation	höfuðborg	0.375	0.546	0.615
cappuccino	kaffi	0.792	0.279	0.384
caprice	caprice	0.333	0.640	0.430
capricious	stórkostleg	0.221	0.650	0.500
caps	húfur	0.510	0.221	0.368
capslock	capslock	0.330	0.394	0.398
capsule	hylki	0.583	0.290	0.570
captain	fyrirliði	0.552	0.653	0.966
caption	yfirskrift	0.814	0.292	0.379
captivate	fanga	0.698	0.604	0.723
captivating	töfrandi	0.895	0.594	0.816
captive	fanga	0.235	0.558	0.411
captivity	fangelsi	0.225	0.493	0.387
captor	captor	0.347	0.625	0.612
capture	Handsama	0.357	0.650	0.537
car	bíll	0.776	0.540	0.500
caramel	karamellu	0.901	0.363	0.400
carat	karat	0.823	0.604	0.676
caravan	hjólhýsi	0.635	0.559	0.455
carbon	kolefni	0.604	0.360	0.350
carburetor	carburetor	0.469	0.612	0.555
carcass	skrokknum	0.115	0.529	0.309
carcinoma	krabbamein	0.153	0.692	0.440
card	kort	0.531	0.269	0.436
cardboard	pappa	0.500	0.173	0.309
cardiac	hjarta	0.344	0.765	0.615
cardigan	vesti	0.599	0.324	0.264
cardinal	kardinal	0.583	0.358	0.712
cardiologist	hjartalæknis	0.458	0.630	0.814
cardiology	hjartavöðva	0.203	0.545	0.605
cardiomyopathy	hjartavöðvakvilla	0.177	0.645	0.537
cards	spil	0.568	0.317	0.320
care	umönnun	0.729	0.370	0.500
career	feril	0.740	0.712	0.606
carefree	áhyggjulaus	0.755	0.220	0.500
careful	varlega	0.625	0.538	0.530
carefully	vandlega	0.698	0.330	0.544
careless	kærulaus	0.255	0.431	0.125
carelessness	kæruleysi	0.245	0.482	0.330
caress	strjúka	0.833	0.418	0.509
caret	caret	0.656	0.402	0.527
caretaker	umsjónarmaður	0.714	0.531	0.759
cargo	farm	0.408	0.444	0.455
caribou	Caribou	0.562	0.452	0.342
caricature	karikatur	0.604	0.373	0.383
caries	karies	0.115	0.569	0.283
caring	umhyggju	0.635	0.469	0.500
carjack	Carjack	0.438	0.682	0.439
carnage	særindi	0.406	0.600	0.558
carnal	líkamlega	0.417	0.679	0.421
carnation	Carnation	0.653	0.357	0.431
carnival	karnival	0.927	0.888	0.555
carnivorous	kjötætur	0.224	0.613	0.651
carol	Carol	0.673	0.412	0.436
carols	kveðjur	0.847	0.420	0.491
carousel	karrusel	0.704	0.500	0.412
carp	karp	0.531	0.324	0.375
carpal	úlnliðsbein	0.449	0.327	0.420
carpenter	smiður	0.521	0.550	0.519
carpentry	trésmíði	0.561	0.459	0.518
carpet	teppi	0.520	0.170	0.339
carpeting	teppi	0.542	0.312	0.444
carpool	Carpool	0.625	0.509	0.500
carriage	flutningur	0.650	0.538	0.491
carried	fara	0.490	0.382	0.534
carrier	flytjandi	0.533	0.588	0.638
carrot	gulrót	0.500	0.235	0.279
carry	bera	0.635	0.380	0.500
carrying	flytja	0.656	0.557	0.443
carsick	bíllinn	0.224	0.574	0.255
cart	körfu	0.520	0.344	0.388
carte	NO TRANSLATION	0.592	0.320	0.274
cartel	kartel	0.438	0.394	0.602
carter	Carter	0.312	0.480	0.431
cartilage	brjósk	0.438	0.370	0.407
cartographic	kortfræðilegur	0.490	0.348	0.424
cartography	kortagerð	0.520	0.300	0.579
carton	öskju	0.286	0.186	0.241
cartoon	teiknimynd	0.867	0.471	0.387
cartouche	NO TRANSLATION	0.427	0.458	0.450
cartridge	skothylki	0.458	0.500	0.407
carve	rista	0.469	0.443	0.598
carver	carver	0.418	0.500	0.500
carving	útskorið	0.541	0.444	0.368
cascade	Cascade	0.735	0.509	0.395
case	Málið	0.427	0.275	0.441
casein	kasein	0.470	0.436	0.415
cash	reiðufé	0.867	0.552	0.714
cashier	gjaldkeri	0.615	0.413	0.484
cashmere	Cashmere	0.653	0.452	0.439
casing	hlíf	0.458	0.327	0.328
casino	spilavíti	0.542	0.684	0.568
cask	cask	0.490	0.398	0.444
casket	kistu	0.125	0.490	0.346
casserole	grillpottur	0.570	0.360	0.328
cassette	snælda	0.490	0.334	0.355
cast	kastað	0.558	0.620	0.517
castaway	castaway	0.208	0.646	0.422
caste	caste	0.510	0.333	0.374
caster	caster	0.604	0.670	0.647
castle	kastala	0.680	0.396	0.718
castor	hjólum	0.583	0.337	0.368
castrate	castrate	0.177	0.485	0.519
castration	castration	0.198	0.735	0.381
casual	frjálslegur	0.643	0.224	0.385
casually	frjálslegur	0.658	0.290	0.333
casualty	slys	0.235	0.274	0.132
cat	köttur	0.667	0.260	0.370
catabolism	fyrirbæri	0.265	0.573	0.605
catalog	verslun	0.561	0.221	0.573
catalogue	verslun	0.647	0.327	0.533
catalysis	katalysis	0.385	0.559	0.531
catalyst	hvati	0.604	0.509	0.585
catalytic	hvata	0.562	0.519	0.563
catamaran	katamaran	0.571	0.566	0.526
catapult	catapult	0.480	0.830	0.649
cataract	drer	0.406	0.545	0.549
catastrophe	stórslys	0.146	0.952	0.670
catastrophic	skelfilegar	0.071	0.934	0.598
catatonic	catatonic	0.255	0.500	0.509
catch	grípa	0.531	0.437	0.552
catcher	grípari	0.653	0.413	0.540
catching	smitandi	0.490	0.788	0.644
catchphrase	catchphrase	0.698	0.423	0.433
catchy	grípandi	0.677	0.441	0.462
catechism	catechism	0.656	0.236	0.613
categorical	categorical	0.615	0.442	0.760
category	flokki	0.571	0.264	0.521
cater	koma til móts við	0.802	0.500	0.509
caterer	veitingamaður	0.550	0.557	0.644
caterpillar	Caterpillar	0.461	0.286	0.330
cates	cates	0.370	0.394	0.407
catfish	steinbít	0.458	0.337	0.296
cathartic	cathartic	0.450	0.510	0.604
cathedral	dómkirkjan	0.598	0.330	0.643
catheter	hollegg	0.336	0.491	0.373
catholic	kaþólskur	0.646	0.240	0.575
cathouse	cathouse	0.327	0.375	0.363
catnip	catnip	0.439	0.381	0.296
cattle	nautgripir	0.622	0.340	0.445
catwalk	catwalk	0.698	0.436	0.464
caucus	caucus	0.418	0.311	0.491
caudal	caudal	0.500	0.425	0.583
cauldron	ketill	0.510	0.486	0.418
cauliflower	blómkál	0.448	0.255	0.231
caulk	caulk	0.367	0.500	0.418
causal	orsakasamband	0.562	0.367	0.491
causality	orsakasamband	0.500	0.378	0.336
causation	orsök	0.562	0.480	0.567
cause	orsök	0.469	0.373	0.486
caused	valdið	0.344	0.520	0.382
causeway	Causeway	0.453	0.382	0.422
caution	Varúð	0.552	0.712	0.547
cautionary	varúð	0.510	0.541	0.519
cautious	varkár	0.470	0.445	0.517
cautiously	varlega	0.510	0.388	0.525
cavalier	cavalier	0.735	0.462	0.713
cavalry	riddaralið	0.667	0.727	0.794
cave	hellinum	0.459	0.333	0.380
caveat	hellir	0.344	0.629	0.484
caveman	Caveman	0.235	0.644	0.482
cavern	hellir	0.323	0.360	0.365
cavernous	cavernous	0.354	0.548	0.462
caviar	kavíar	0.906	0.394	0.481
caving	hellir	0.378	0.491	0.551
cavity	hola	0.466	0.385	0.379
cayenne	cayenne	0.615	0.306	0.355
cease	hætta	0.388	0.250	0.420
ceasefire	vopnahlé	0.542	0.594	0.567
ceaseless	endalaust	0.378	0.704	0.658
cedar	sedrusvif	0.560	0.267	0.577
cede	cede	0.275	0.327	0.402
ceiling	loft	0.520	0.224	0.366
celebrant	celebrant	0.865	0.656	0.643
celebrate	fagna	0.917	0.857	0.859
celebrated	haldin	0.875	0.690	0.763
celebrating	fagna	0.927	0.860	0.773
celebration	hátíð	0.939	0.824	0.880
celebrations	hátíðahöld	0.958	0.794	0.714
celebratory	hátíðlegur	0.857	0.653	0.845
celebrity	orðstír	0.760	0.619	0.855
celery	sellerí	0.396	0.147	0.223
celestial	himneskur	0.817	0.360	0.731
celibacy	celibacy	0.302	0.276	0.509
celibate	celibate	0.419	0.387	0.391
cell	klefi	0.541	0.375	0.465
cellar	kjallari	0.510	0.277	0.406
cellblock	cellblock	0.186	0.570	0.500
cellist	cellist	0.667	0.500	0.486
cellmate	cellmate	0.167	0.684	0.349
cello	selló	0.635	0.324	0.528
cellophane	sellófan	0.648	0.282	0.289
cellular	frumu	0.643	0.398	0.517
cellulite	frumu	0.200	0.384	0.256
celluloid	celluloid	0.469	0.440	0.425
cement	sement	0.544	0.265	0.527
cemented	sementað	0.429	0.382	0.537
cemetery	kirkjugarður	0.051	0.630	0.417
censor	ritskoða	0.344	0.276	0.538
censorship	ritskoðun	0.219	0.698	0.421
censure	ritskoðun	0.219	0.653	0.417
census	manntal	0.449	0.289	0.553
cent	sent	0.439	0.367	0.402
centenary	öldungadeild	0.604	0.440	0.642
centennial	hundrað ára aldur	0.583	0.394	0.700
center	miðstöð	0.643	0.231	0.431
centerfold	miðstétt	0.571	0.407	0.485
centerpiece	miðpunktur	0.594	0.208	0.520
centimeter	sentimetra	0.427	0.280	0.380
centipede	centipede	0.296	0.399	0.361
central	Mið	0.640	0.356	0.621
centrality	miðlægni	0.571	0.312	0.709
centralization	miðstýringu	0.521	0.440	0.702
centralize	miðlæga	0.684	0.427	0.802
centrally	miðlægt	0.729	0.280	0.700
centrifugal	miðflótta	0.306	0.651	0.480
centrifuge	skilvindu	0.495	0.622	0.527
