Word	Hebrew-iw	Valence	Arousal	Dominance
develop	לְפַתֵחַ	0.771	0.670	0.821
developer	מפתח	0.844	0.653	0.864
developing	מתפתח	0.833	0.587	0.714
development	התפתחות	0.827	0.500	0.796
deviant	סוֹטֶה	0.094	0.589	0.398
deviate	לִסְטוֹת	0.173	0.562	0.269
deviating	סוטה	0.354	0.634	0.536
deviation	חֲרִיגָה	0.105	0.513	0.336
device	התקן	0.562	0.404	0.627
devil	שָׂטָן	0.161	0.900	0.611
deviled	דוויל	0.347	0.559	0.358
devilish	שְׂטָנִי	0.073	0.865	0.490
devious	עַרמוּמִי	0.250	0.519	0.259
devise	לִהַמצִיא	0.551	0.557	0.670
devoid	נָטוּל	0.219	0.436	0.300
devolution	אֲצִילָה	0.345	0.434	0.425
devolve	להתמוסס	0.367	0.427	0.596
devote	להקדיש	0.802	0.490	0.642
devoted	מסור	0.867	0.320	0.698
devotee	חָסִיד	0.816	0.461	0.577
devotion	מְסִירוּת	0.802	0.561	0.673
devotional	דבקות	0.740	0.394	0.655
devour	לטרוף	0.344	0.888	0.574
devout	אָדוּק	0.620	0.357	0.464
dew	טַל	0.604	0.225	0.464
dexter	דקסטר	0.458	0.473	0.444
dexterity	מְיוּמָנוּת	0.771	0.673	0.864
dextrose	דקסטרוז	0.333	0.402	0.323
diabetes	סוכרת	0.051	0.472	0.279
diabetic	סוכרת	0.125	0.269	0.237
diabolical	שטני	0.102	0.912	0.456
diagnose	לְאַבחֵן	0.378	0.520	0.714
diagnosis	אִבחוּן	0.571	0.500	0.819
diagnostic	אבחון	0.417	0.483	0.635
diagnostics	אבחון	0.540	0.440	0.750
diagonal	אֲלַכסוֹנִי	0.500	0.343	0.410
diagram	תרשים	0.562	0.357	0.445
dial	חוּגָה	0.620	0.427	0.596
dialect	נִיב	0.635	0.422	0.526
dialectic	דיאלקטית	0.510	0.540	0.638
dialogue	דו שיח	0.599	0.441	0.625
dialysis	דיאליזה	0.194	0.567	0.407
diameter	קוֹטֶר	0.427	0.298	0.483
diamond	יהלום	0.910	0.606	0.769
diamonds	יהלומים	0.927	0.684	0.917
diaper	לְחַתֵל	0.409	0.274	0.155
diaphragm	דִיאָפרַגמָה	0.459	0.337	0.517
diarrhea	שִׁלשׁוּל	0.092	0.684	0.143
diarrhoea	שִׁלשׁוּל	0.038	0.692	0.250
diary	יְוֹמָן	0.698	0.292	0.464
diatribe	הַתקָפָה חֲרִיפָה	0.354	0.569	0.409
dib	NO TRANSLATION	0.479	0.370	0.344
dibs	dibs	0.510	0.410	0.391
dice	קוביות	0.458	0.441	0.264
dicey	קובייה	0.290	0.833	0.727
dichotomous	דיכוטומי	0.365	0.452	0.538
dichotomy	דיכוטומיה	0.323	0.482	0.483
dick	זַיִן	0.208	0.500	0.462
dickhead	זין	0.115	0.608	0.284
dicks	זין	0.310	0.694	0.358
dictate	לְהַכתִיב	0.480	0.423	0.668
dictation	הַכתָבָה	0.255	0.378	0.627
dictator	דִיקטָטוֹר	0.073	0.760	0.862
dictatorial	רוֹדָנִי	0.204	0.770	0.840
dictatorship	רוֹדָנוּת	0.082	0.806	0.784
diction	דִיקצִיָה	0.439	0.373	0.679
dictionary	מילון	0.620	0.250	0.598
dictum	NO TRANSLATION	0.385	0.510	0.528
didactic	דִידַקטִי	0.645	0.480	0.673
diddle	דידל	0.429	0.566	0.393
die	NO TRANSLATION	0.031	0.765	0.259
died	מת	0.021	0.650	0.327
diesel	דִיזֶל	0.490	0.327	0.448
diet	דִיאֵטָה	0.429	0.235	0.398
dietary	שֶׁל דִיאֵטָה	0.551	0.220	0.261
differ	לִהיוֹת שׁוֹנֶה	0.230	0.398	0.396
difference	הֶבדֵל	0.474	0.560	0.483
differences	הבדלים	0.365	0.582	0.342
different	שונה	0.612	0.394	0.473
differential	דִיפֵרֶנציִאָלִי	0.520	0.378	0.535
differentiation	בידול	0.367	0.561	0.535
differently	באופן שונה	0.480	0.431	0.506
differing	שונה	0.418	0.410	0.455
difficult	קָשֶׁה	0.235	0.700	0.508
difficulties	קשיים	0.082	0.784	0.357
difficulty	קושי	0.079	0.740	0.368
diffuse	מְפוּזָר	0.430	0.431	0.321
diffusion	פִּעַפּוּעַ	0.356	0.615	0.517
dig	NO TRANSLATION	0.367	0.585	0.637
digest	לְעַכֵּל	0.720	0.413	0.483
digestion	אִכּוּל	0.531	0.410	0.455
digestive	עיכול	0.542	0.413	0.434
digit	סִפְרָה	0.447	0.286	0.333
digital	דִיגִיטָלי	0.740	0.382	0.529
dignified	מְכוּבָּד	0.766	0.481	0.635
dignify	לְכַבֵּד	0.854	0.588	0.735
dignity	כָּבוֹד	0.844	0.391	0.873
digress	לִסְטוֹת	0.271	0.625	0.411
digs	NO TRANSLATION	0.448	0.670	0.635
dike	סוֹלְלָה	0.360	0.384	0.490
dilapidated	רָעוּעַ	0.229	0.618	0.286
dilatation	הִתרַחֲבוּת	0.385	0.574	0.368
dilation	הַרחָבָה	0.347	0.490	0.578
dildo	דִילדוֹ	0.536	0.587	0.491
dilemma	דִילֶמָה	0.153	0.590	0.430
diligence	חָרִיצוּת	0.688	0.423	0.700
diligent	חָרוּץ	0.760	0.426	0.759
dill	שָׁמִיר	0.427	0.360	0.373
diluent	diluent	0.417	0.344	0.332
dilute	לְדַלֵל	0.275	0.192	0.349
diluted	דָלִיל	0.469	0.310	0.229
dilution	מְהִילָה	0.445	0.337	0.352
dim	עָמוּם	0.398	0.321	0.273
dime	דַיִם	0.653	0.317	0.345
dimension	מֵמַד	0.592	0.415	0.627
dimensional	מְמַדִי	0.561	0.484	0.596
diminish	לְהַפחִית	0.240	0.357	0.167
diminished	מְמוּעָט	0.156	0.269	0.196
diminution	הַפחָתָה	0.316	0.296	0.245
diminutive	צוּרַת הַקטָנָה	0.323	0.200	0.109
dimwit	דימוויט	0.255	0.459	0.175
din	NO TRANSLATION	0.440	0.417	0.398
dine	לִסעוֹד	0.821	0.519	0.478
diner	מסעדה	0.643	0.302	0.538
dinghy	דוּגִית	0.510	0.269	0.325
dingo	דינגו	0.608	0.472	0.346
dingy	מְלוּכלָך וְאַפֵל	0.156	0.483	0.343
dining	האוכל	0.724	0.350	0.459
dinky	דינקי	0.357	0.451	0.358
dinner	אֲרוּחַת עֶרֶב	0.823	0.392	0.379
dinnertime	ארוחת ערב	0.796	0.406	0.341
dinosaur	דינוזאור	0.448	0.630	0.596
dint	Dint	0.378	0.480	0.492
diocesan	מבושל	0.520	0.283	0.518
diocese	מָחוֹז הַבִּשׁוֹף	0.510	0.288	0.575
diorama	דיורמה	0.592	0.441	0.462
dioxide	דוּ תַחמוֹצֶת	0.354	0.433	0.456
dip	לִטבּוֹל	0.516	0.583	0.397
diploma	דיפלומה	0.750	0.462	0.731
diplomacy	דִיפּלוֹמָטִיָה	0.740	0.396	0.774
diplomat	דִיפּלוֹמָט	0.563	0.262	0.868
diplomatic	דִיפּלוֹמָטִי	0.653	0.363	0.918
dipper	עַיִשׁ	0.548	0.361	0.348
dippy	מטומטם	0.430	0.402	0.340
dipstick	דיפסטיק	0.365	0.312	0.316
dire	NO TRANSLATION	0.214	0.660	0.259
direct	ישיר	0.793	0.403	0.650
directed	מְכוּוָן	0.542	0.490	0.541
direction	כיוון	0.719	0.330	0.684
directive	הוֹרָאָה	0.604	0.530	0.918
directly	באופן ישיר	0.747	0.400	0.702
director	מְנַהֵל	0.688	0.580	0.912
directory	מַדרִיך	0.439	0.413	0.538
dirt	עפר	0.112	0.500	0.236
dirty	מְלוּכלָך	0.153	0.460	0.170
disability	נָכוּת	0.073	0.482	0.173
disable	להשבית	0.115	0.430	0.269
disabled	נָכֶה	0.308	0.443	0.235
disadvantage	חִסָרוֹן	0.150	0.377	0.282
disaffected	לא מרוצה	0.176	0.410	0.291
disagree	לא מסכים	0.133	0.590	0.345
disagreeable	לֹא נָעִים	0.042	0.643	0.178
disagreeing	מחלוקת	0.255	0.643	0.350
disagreement	מחלוקת	0.104	0.618	0.236
disallow	איסור	0.156	0.519	0.424
disallowed	אסור	0.135	0.500	0.328
disapointment	NO TRANSLATION	0.104	0.418	0.231
disappear	לְהֵעָלֵם	0.143	0.441	0.350
disappearance	הֵעָלְמוּת	0.214	0.698	0.367
disappearing	נעלם	0.167	0.427	0.379
disappoint	לְאַכזֵב	0.150	0.633	0.288
disappointed	מְאוּכזָב	0.071	0.472	0.241
disappointing	מְאַכזֵב	0.073	0.640	0.200
disappointment	אַכזָבָה	0.115	0.490	0.336
disapproval	מורת רוח	0.085	0.551	0.367
disapprove	לא לאשר	0.160	0.594	0.445
disapproved	לא אושרה	0.104	0.550	0.114
disapproving	שביעות רצון	0.245	0.625	0.452
disarm	להתפרק מנשקו	0.292	0.528	0.613
disarray	אִי סֶדֵר	0.198	0.657	0.223
disaster	אסון	0.082	0.892	0.433
disastrous	אסון	0.071	0.741	0.439
disband	לְפַרֵק	0.302	0.491	0.417
disbelief	חוֹסֶר אֵמוּן	0.188	0.409	0.373
disbelieve	לֹא לְהֶאֱמִין	0.188	0.441	0.352
disburse	לתשלום	0.418	0.473	0.353
disbursement	תַשְׁלוּם	0.240	0.443	0.435
disc	דיסק	0.622	0.410	0.426
discard	להשליך	0.240	0.343	0.337
discarded	מוּשׁלָך	0.229	0.460	0.308
discards	מתעלם	0.240	0.464	0.391
discern	לְהַבחִין	0.459	0.566	0.518
discernible	מורגש	0.427	0.441	0.481
discerning	נָבוֹן	0.542	0.584	0.780
discernment	הַבחָנָה	0.408	0.471	0.694
discharge	פְּרִיקָה	0.427	0.538	0.578
disciple	תַלמִיד	0.765	0.385	0.462
disciplinary	מִשְׁמַעתִי	0.562	0.593	0.796
discipline	משמעת	0.615	0.471	0.806
disciplined	מְמוּשׁמָע	0.728	0.450	0.750
disclaim	להתכחש	0.235	0.509	0.321
disclaimer	כתב ויתור	0.367	0.571	0.542
disclose	לחשוף	0.490	0.570	0.545
disclosed	גילה	0.271	0.575	0.546
disclosure	גילוי	0.500	0.615	0.710
disco	דִיסקוֹ	0.710	0.806	0.575
discoloration	דִהוּי	0.224	0.373	0.414
discolored	דהוי	0.204	0.340	0.269
discomfort	אִי נוֹחוּת	0.153	0.719	0.272
disconcerted	מבולבל	0.100	0.612	0.288
disconcerting	מביך	0.106	0.549	0.269
disconnect	לְנַתֵק	0.438	0.292	0.191
disconnected	מְנוּתָק	0.292	0.276	0.173
disconnection	ניתוק	0.167	0.283	0.277
disconnects	מתנתק	0.256	0.357	0.241
discontent	אִי שְׂבִיעוּת רָצוֹן	0.240	0.530	0.263
discontinuance	הפסקה	0.123	0.741	0.337
discontinue	לְהַפְסִיק	0.354	0.396	0.349
discontinuity	אִי רְצִיפוּת	0.303	0.439	0.250
discontinuous	רציף	0.233	0.409	0.316
discord	מַחֲלוֹקֶת	0.115	0.882	0.465
discount	הנחה	0.724	0.530	0.302
discounted	בהנחה	0.677	0.471	0.430
discourage	לדכא	0.184	0.443	0.267
discouraged	מיואש	0.220	0.304	0.090
discouragement	רִפיוֹן רוּחַ	0.112	0.319	0.206
discouraging	מייאש	0.167	0.469	0.281
discourse	שִׂיחַ	0.410	0.550	0.803
discover	לְגַלוֹת	0.771	0.793	0.673
discovery	תַגלִית	0.823	0.627	0.814
discredit	לִפְגוֹעַ בְּאֲמִינוּת	0.075	0.529	0.355
discredited	לא ייאמן	0.112	0.491	0.182
discreet	NO TRANSLATION	0.552	0.216	0.532
discrepancy	אִי הַתְאָמָה	0.260	0.643	0.417
discrete	נִבדָל	0.585	0.231	0.429
discretion	שיקול דעת	0.552	0.320	0.685
discretionary	שיקול דעת	0.520	0.365	0.446
discriminate	לְהָפלוֹת	0.125	0.761	0.366
discriminating	מפלה	0.160	0.783	0.462
discrimination	אַפלָיָה	0.051	0.724	0.379
discus	דִיסקוּס	0.542	0.423	0.343
discuss	לָדוּן	0.396	0.769	0.509
discussion	דִיוּן	0.333	0.842	0.536
disdain	בּוּז	0.153	0.446	0.441
disdainful	בַּז	0.097	0.480	0.263
disease	מַחֲלָה	0.041	0.539	0.333
diseased	נָגוּעַ	0.123	0.510	0.134
disembodied	חֲסַר גוּף	0.167	0.620	0.412
disengage	לְנַתֵק	0.406	0.529	0.304
disengagement	ההתנתקות	0.327	0.373	0.395
disfigured	מעוות	0.153	0.613	0.336
disgrace	חרפה	0.061	0.531	0.331
disgraced	חרפה	0.071	0.661	0.250
disgraceful	מַחְפִּיר	0.082	0.702	0.240
disgruntled	מְמוּרמָר	0.104	0.658	0.442
disguise	לְהַסווֹת	0.573	0.694	0.431
disguised	מְחוּפָּשׂ	0.500	0.615	0.326
disgust	גועל	0.052	0.775	0.317
disgusted	נגעל	0.051	0.773	0.274
disgusting	מגעיל	0.031	0.796	0.245
dish	צַלַחַת	0.552	0.255	0.264
disheartened	מדוכדך	0.153	0.343	0.238
disheartening	מייאש	0.010	0.353	0.224
dishonest	לֹא יָשָׁר	0.191	0.491	0.163
dishonesty	אִי יִוֹשֶׁר	0.094	0.592	0.348
dishonor	חֶרפָּה	0.104	0.620	0.185
dishonorable	חסר כבוד	0.112	0.641	0.280
dishwasher	מדיח כלים	0.480	0.296	0.324
disillusionment	הִתפַּכְּחוּת	0.051	0.519	0.190
disinclination	אי-רצון	0.125	0.491	0.330
disincline	disincline	0.458	0.454	0.278
disinclined	לא נכונות	0.385	0.442	0.364
disinfect	לְחַטֵא	0.448	0.388	0.648
disinfectant	מְחַטֵא	0.531	0.429	0.460
disinfection	חיטוי	0.517	0.556	0.473
disinformation	מֵידָע מַטעֶה	0.230	0.577	0.260
disingenuous	מזויף	0.194	0.509	0.204
disintegrate	לְהִתְפּוֹרֵר	0.143	0.660	0.364
disintegration	הִתפּוֹרְרוּת	0.094	0.551	0.381
disinterested	חֲסַר עִניָן	0.398	0.284	0.392
disjoint	פרוק	0.351	0.385	0.322
disjointed	קָטוּעַ	0.323	0.518	0.365
disjunctive	מַפרִיד	0.286	0.481	0.400
disk	דִיסק	0.573	0.423	0.412
diskette	תַקלִיטוֹן	0.531	0.255	0.391
dislike	לִשְׂנוֹא	0.156	0.406	0.321
disliked	לא אהב	0.062	0.510	0.221
disliking	לא אוהב	0.163	0.637	0.366
dislocated	נקע	0.125	0.625	0.200
dislocation	נקע	0.229	0.565	0.373
dislodge	לְנַשֵׁל	0.214	0.769	0.356
disloyal	לֹא נֶאֱמָן	0.062	0.582	0.245
disloyalty	בְּגִידָה	0.187	0.716	0.267
dismal	עָגוּם	0.194	0.450	0.192
dismantle	לְפַרֵק	0.347	0.644	0.462
dismay	תַדְהֵמָה	0.314	0.681	0.459
dismayed	מבוהל	0.165	0.735	0.389
dismemberment	פירוק	0.104	0.860	0.470
dismiss	לשחרר	0.167	0.541	0.509
dismissal	הֲדָחָה	0.153	0.723	0.271
dismissive	דוחה	0.188	0.541	0.430
dismount	לָרֶדֶת	0.361	0.423	0.391
disobedience	אי ציות	0.051	0.868	0.369
disobedient	סָרְבָנִי	0.276	0.706	0.353
disobey	לְהַמרוֹת	0.143	0.556	0.491
disorder	הפרעה	0.115	0.816	0.218
disordered	מסולף	0.210	0.714	0.288
disorderly	פָּרוּעַ	0.188	0.748	0.385
disorganized	לא מאורגנים	0.052	0.507	0.184
disorientation	אִי הִתמַצְאוּת	0.163	0.472	0.212
disoriented	מבולבלת	0.227	0.643	0.227
disown	להתכחש	0.153	0.637	0.368
disparage	לִזַלזֵל	0.092	0.663	0.336
disparaging	מזלזל	0.102	0.626	0.411
disparate	מְפוּרָד	0.438	0.500	0.368
disparity	פַּעַר	0.208	0.482	0.361
dispassionate	קַר רוּחַ	0.199	0.217	0.218
dispatch	לְשַׁגֵר	0.317	0.417	0.555
dispatcher	משגר	0.365	0.704	0.652
dispel	לְפַזֵר	0.388	0.402	0.411
dispensary	בֵּית מִרקַחַת	0.406	0.380	0.606
dispensation	-	0.388	0.462	0.490
dispense	לְחַלֵק	0.561	0.520	0.518
dispenser	מַנפֵּק	0.583	0.392	0.470
dispersal	הִתפַּזְרוּת	0.388	0.507	0.421
disperse	לְפַזֵר	0.375	0.569	0.434
dispersed	מְפוּזָר	0.344	0.490	0.274
dispersion	פְּזִירָה	0.270	0.604	0.350
dispirited	סַר	0.204	0.280	0.142
displace	לַעֲקוֹר	0.424	0.541	0.454
displaced	עָקוּר	0.281	0.472	0.291
displacement	תְזוּזָה	0.276	0.531	0.481
displacency	דחיפות	0.500	0.528	0.642
display	לְהַצִיג	0.677	0.325	0.400
displease	לְהַרְגִיז	0.021	0.702	0.286
displeased	לא מרוצה	0.135	0.690	0.400
displeasure	אִי שְׂבִיעוּת רָצוֹן	0.115	0.559	0.250
disposable	חַד פַּעֲמִי	0.271	0.439	0.250
disposal	רְשׁוּת	0.135	0.608	0.396
dispose	להיפטר	0.548	0.538	0.559
disposed	מסולקת	0.688	0.441	0.625
disposition	מֶזֶג	0.663	0.542	0.734
dispossessed	מנושל	0.354	0.577	0.331
disprove	לְהַפְרִיך	0.375	0.625	0.613
dispute	מַחֲלוֹקֶת	0.219	0.750	0.585
disqualification	פְּסִילָה	0.066	0.677	0.330
disqualified	פָּסוּל	0.129	0.464	0.232
disqualify	לִפְסוֹל	0.208	0.595	0.267
disquieted	מודאג	0.229	0.850	0.290
disregard	הִתעַלְמוּת	0.177	0.647	0.308
disregarded	מתעלמים	0.260	0.458	0.283
disrelish	מזויף	0.375	0.471	0.304
disreputable	לֹא מְכוּבָּד	0.104	0.688	0.353
disrepute	שֵׁם רַע	0.208	0.630	0.292
disrespect	זִלזוּל	0.062	0.637	0.302
disrespectful	חסר כבוד	0.031	0.694	0.273
disrupt	לְשַׁבֵּשׁ	0.265	0.640	0.349
disrupting	משבש	0.186	0.557	0.339
disruption	הפרעה	0.235	0.735	0.436
disruptive	מְשַׁבֵּשׁ	0.255	0.755	0.575
dissatisfaction	חוסר שביעות רצון	0.115	0.663	0.202
dissatisfied	לא מרוצה	0.042	0.561	0.291
dissect	לְנַתֵחַ	0.367	0.750	0.595
dissection	דיסקציה	0.276	0.632	0.462
disseminate	לְהָפִיץ	0.562	0.608	0.750
dissemination	הֲפָצָה	0.476	0.551	0.583
dissension	מַחֲלוֹקֶת	0.250	0.618	0.414
dissent	התנגדות	0.300	0.655	0.407
dissenting	מתנגד	0.208	0.552	0.366
dissertation	מַסָה	0.312	0.575	0.575
disservice	שֵׁרוּת דוֹב	0.250	0.794	0.480
dissident	פּוֹרֵשׁ	0.350	0.582	0.413
dissimilar	שׁוֹנֶה	0.276	0.461	0.472
dissipate	לְפַזֵר	0.385	0.368	0.355
dissipated	מפוזר	0.281	0.421	0.231
dissociation	דיסוציאציה	0.135	0.555	0.471
dissociative	דיסוציאטיבי	0.281	0.615	0.397
dissolution	התפרקות	0.204	0.464	0.349
dissolve	לְהִתְמוֹסֵס	0.271	0.490	0.410
dissonance	דִיסוֹנַנס	0.173	0.471	0.336
dissuade	לְהַנִיאַ	0.482	0.500	0.350
distal	דיסטלי	0.410	0.401	0.438
distance	מֶרְחָק	0.233	0.317	0.418
distant	רָחוֹק	0.229	0.324	0.269
distaste	סְלִידָה	0.184	0.625	0.370
distasteful	לֹא נָעִים	0.264	0.676	0.222
distillate	תַזקִיק	0.500	0.347	0.382
distillation	זִקוּק	0.396	0.436	0.575
distilled	מזוקקים	0.427	0.573	0.500
distinct	מוּבהָק	0.542	0.578	0.509
distinction	הבחנה	0.584	0.571	0.750
distinctive	מְיוּחָד	0.885	0.520	0.604
distinguish	לְהַבחִין	0.675	0.471	0.600
distinguishable	נבדל	0.635	0.530	0.727
distinguished	נִכבָּד	0.823	0.593	0.759
distinguishing	מַבדִיל	0.622	0.363	0.640
distort	לְסַלֵף	0.100	0.740	0.366
distorted	מְעוּוָת	0.250	0.521	0.280
distortion	עיוות	0.299	0.570	0.380
distract	להסיח את הדעה	0.241	0.609	0.336
distracted	מְפוּזָר	0.194	0.392	0.213
distracting	מסיח דעת	0.445	0.583	0.400
distraction	הַסָחַת הַדַעַת	0.402	0.557	0.390
distraught	מְפוּזָר	0.115	0.903	0.264
distress	מְצוּקָה	0.073	0.840	0.396
distressed	מצוקה	0.143	0.771	0.324
distressing	מְצַעֵר	0.075	0.750	0.375
distribute	לְהָפִיץ	0.643	0.596	0.709
distribution	הפצה	0.635	0.548	0.788
distributor	מֵפִיץ	0.702	0.447	0.718
district	מָחוֹז	0.438	0.327	0.660
distrust	חוסר אמון	0.060	0.670	0.276
disturb	לְהַפְרִיעַ	0.175	0.760	0.481
disturbance	הפרעה	0.146	0.907	0.404
disturbed	מוטרד	0.125	0.870	0.305
disturbing	מטריד	0.146	0.792	0.439
disuse	אִי שִׁמוּשׁ	0.229	0.229	0.202
disused	מבולבל	0.250	0.302	0.186
ditch	לִנְטוֹשׁ	0.357	0.364	0.322
ditto	כנ"ל	0.449	0.418	0.411
ditty	פִּזמוֹן	0.470	0.433	0.334
diurnal	יוֹמִי	0.714	0.296	0.443
diva	פְּרִימָדוֹנָה	0.660	0.657	0.596
divan	NO TRANSLATION	0.750	0.202	0.262
dive	לִצְלוֹל	0.583	0.531	0.500
diver	צוֹלְלָן	0.594	0.520	0.564
diverge	לִסְטוֹת	0.375	0.657	0.520
divergence	הִסתַעֲפוּת	0.429	0.615	0.687
divergent	מִסתַעֵף	0.449	0.660	0.587
diverging	סוטה	0.417	0.613	0.573
divers	צוללנים	0.583	0.580	0.602
diverse	מְגוּוָן	0.562	0.519	0.604
diversified	מְגוּוָן	0.602	0.538	0.549
diversify	לְנַמֵר	0.656	0.588	0.464
diversion	הַסָחָה	0.740	0.821	0.714
diversionary	הסחה	0.551	0.587	0.300
diversity	גיוון	0.806	0.472	0.711
divert	להפנות	0.344	0.622	0.407
diverting	מסיר	0.396	0.571	0.537
divest	לְהוֹקִיעַ	0.365	0.547	0.424
divested	מושקע	0.333	0.449	0.311
divestment	-	0.302	0.509	0.382
divide	לחלק	0.333	0.520	0.417
divided	מחולק	0.271	0.623	0.391
dividend	דיבידנד	0.583	0.491	0.566
divination	קֶסֶם	0.500	0.650	0.545
divine	אלוהי	0.918	0.571	0.885
divinity	אֱלוֹהוּת	0.896	0.559	0.774
divisible	מִתחַלֵק	0.323	0.462	0.411
division	חֲלוּקָה	0.370	0.481	0.472
divisor	מְחַלֵק	0.344	0.517	0.455
divorce	לְהִתְגַרֵשׁ	0.042	0.700	0.385
divorcee	גְרוּשָׁה	0.153	0.610	0.481
divulge	לְגַלוֹת סוֹד	0.531	0.718	0.467
divvy	-	0.351	0.462	0.429
dizziness	סְחַרחוֹרֶת	0.229	0.555	0.254
dizzy	סְחַרחַר	0.199	0.582	0.193
do	לַעֲשׂוֹת	0.670	0.548	0.536
doable	נִתַן לְבִצוּעַ	0.760	0.404	0.675
doc	דוק	0.458	0.317	0.392
docile	כָּנוּעַ	0.604	0.259	0.264
dock	לַעֲגוֹן	0.490	0.409	0.481
docked	עגנה	0.281	0.754	0.398
docket	תָוִית	0.505	0.509	0.607
docking	עגינה	0.354	0.596	0.587
doctor	דוֹקטוֹר	0.700	0.531	0.861
doctorate	דוֹקטוֹרָט	0.776	0.479	0.841
doctrinal	דוקטרינרי	0.510	0.373	0.673
doctrine	דוֹקטרִינָה	0.500	0.394	0.769
document	מסמך	0.594	0.240	0.667
documentary	דוקומנטרי	0.622	0.213	0.596
documentation	תיעוד	0.719	0.290	0.667
documents	מסמכים	0.530	0.250	0.587
dodge	להתחמק	0.333	0.760	0.509
dodger	מִשׁתַמֵט	0.427	0.454	0.490
dodging	חֲמִיקָה	0.396	0.654	0.382
dodgy	מְסוּכָּן	0.281	0.510	0.254
dodo	דודו	0.438	0.306	0.353
doe	צְבִיָה	0.550	0.336	0.336
doer	רַמַאִי	0.724	0.550	0.728
dog	כֶּלֶב	0.704	0.500	0.407
dogface	פני כלב	0.219	0.470	0.264
dogged	עַקשָׁן	0.255	0.750	0.594
doggy	כלבלב	0.646	0.491	0.404
doghouse	מלונה	0.438	0.417	0.340
dogma	דוֹגמָה	0.530	0.460	0.719
dogmatic	דוֹגמָטִי	0.448	0.520	0.654
dogsick	NO TRANSLATION	0.571	0.490	0.377
doings	מעלליו	0.604	0.491	0.705
doit	NO TRANSLATION	0.500	0.519	0.392
dojo	דוג'ו	0.500	0.435	0.455
doldrums	מַצַב רוּחַ עָגוּם	0.229	0.425	0.266
dole	קִצבָּה	0.448	0.402	0.348
doll	בּוּבָּה	0.729	0.321	0.330
dollar	דוֹלָר	0.755	0.632	0.694
dollhouse	בֵּית בּוּבּוֹת	0.643	0.245	0.363
dolor	NO TRANSLATION	0.167	0.635	0.375
dolphin	דולפין	0.776	0.350	0.414
domain	תְחוּם	0.573	0.549	0.828
dome	כיפה	0.620	0.398	0.509
domestic	בֵּיתִי	0.729	0.327	0.500
domesticated	מְבוּיָת	0.635	0.360	0.294
domestication	בִּיוּת	0.594	0.390	0.435
domicile	מָקוֹם מוֹשָׁב	0.604	0.292	0.529
domiciled	מְשׁוּכָּן	0.542	0.340	0.516
dominance	שְׁלִיטָה	0.542	0.775	0.839
dominant	דוֹמִינָנטִי	0.406	0.854	0.893
dominate	לִשְׁלוֹט	0.439	0.814	0.953
dominating	שולט	0.427	0.769	0.902
domination	שְׁלִיטָה	0.505	0.786	0.959
dominatrix	סאדו	0.390	0.727	0.709
dominion	שְׁלִיטָה	0.542	0.704	0.890
domino	דומינו	0.594	0.510	0.473
don	דוֹן	0.646	0.454	0.702
donate	לִתְרוֹם	0.774	0.462	0.577
donation	תרומה	0.792	0.398	0.602
donkey	חמור	0.406	0.367	0.245
donor	תוֹרֵם	0.714	0.490	0.653
dontlikeyou	NO TRANSLATION	0.055	0.500	0.282
dontmess	NO TRANSLATION	0.396	0.482	0.440
dontmesswithme	לא	0.312	0.635	0.440
dontpanic	dontpanic	0.469	0.465	0.425
dontunderstand	NO TRANSLATION	0.219	0.357	0.271
doodle	לְשַׁרבֵּט	0.604	0.402	0.376
doom	אֲבַדוֹן	0.073	0.750	0.442
doomed	נחרץ	0.041	0.755	0.301
doomsday	יום הדין	0.125	0.861	0.670
door	דלת	0.549	0.189	0.421
doorbell	פעמון הדלת	0.564	0.500	0.307
doorknob	ידית של דלת	0.406	0.553	0.462
doorman	שׁוֹעֵר	0.570	0.371	0.491
doormat	מַחצֶלֶת	0.458	0.269	0.267
doornail	דורנאיל	0.459	0.370	0.423
doorstep	מִפתָן הַדֶלֶת	0.531	0.274	0.391
doorway	פֶּתַח	0.573	0.304	0.496
dopamine	דופמין	0.548	0.469	0.426
dope	מטומטם	0.295	0.855	0.425
dopey	מְטוּמטָם	0.320	0.380	0.365
dork	דביל	0.272	0.519	0.361
dorky	מטומטם	0.302	0.480	0.390
dorm	חֲדַר שֵׁנָה	0.719	0.194	0.327
dormant	רָדוּם	0.385	0.245	0.245
dormitory	פְּנִימִיָה	0.633	0.204	0.382
dorsal	גב	0.449	0.360	0.445
dosage	מִנוּן	0.344	0.450	0.490
dose	מָנָה	0.458	0.490	0.427
dossier	תִיק	0.357	0.380	0.544
dot	נְקוּדָה	0.434	0.290	0.391
doting	הצבעה	0.888	0.415	0.426
dotted	מְנוּקָד	0.480	0.347	0.426
dotty	מסובך	0.375	0.402	0.393
double	לְהַכפִּיל	0.677	0.378	0.569
doubled	מוּכפָּל	0.427	0.536	0.560
doublet	כָּפִיל	0.420	0.431	0.500
doubling	כְּפִילָה	0.459	0.452	0.464
doubt	ספק	0.395	0.351	0.231
doubtful	מוטל בספק	0.250	0.465	0.241
doubting	מֵטִיל סָפֵק	0.224	0.560	0.189
doubtless	בְּלִי סָפֵק	0.688	0.415	0.689
doubts	ספקות	0.306	0.448	0.305
douche	שְׁטִיפָה	0.490	0.413	0.397
douchebags	douchebags	0.327	0.587	0.366
dough	בצק	0.588	0.229	0.391
