Word	Mongolian-mn	Valence	Arousal	Dominance
disorganized	зохион байгуулалтгүй	0.052	0.507	0.184
disorientation	ялгаварлах	0.163	0.472	0.212
disoriented	төөрөлдсөн	0.227	0.643	0.227
disown	үгүйсгэх	0.153	0.637	0.368
disparage	эмзэглэл	0.092	0.663	0.336
disparaging	эмзэглэв	0.102	0.626	0.411
disparate	ялгаатай	0.438	0.500	0.368
disparity	ялгаатай байдал	0.208	0.482	0.361
dispassionate	харамсалтай	0.199	0.217	0.218
dispatch	илгээлт	0.317	0.417	0.555
dispatcher	диспетчер	0.365	0.704	0.652
dispel	хасах	0.388	0.402	0.411
dispensary	диспансер	0.406	0.380	0.606
dispensation	эрин үе	0.388	0.462	0.490
dispense	тараах	0.561	0.520	0.518
dispenser	эм бэлдмэл	0.583	0.392	0.470
dispersal	тараах	0.388	0.507	0.421
disperse	тараах	0.375	0.569	0.434
dispersed	тархсан	0.344	0.490	0.274
dispersion	тархалт	0.270	0.604	0.350
dispirited	Ачааллаа	0.204	0.280	0.142
displace	оруул	0.424	0.541	0.454
displaced	нүүлгэн шилжүүлэлт	0.281	0.472	0.291
displacement	шилжилт	0.276	0.531	0.481
displacency	шилжилт	0.500	0.528	0.642
display	дэлгэц	0.677	0.325	0.400
displease	татгалзсан	0.021	0.702	0.286
displeased	дургүйцэн	0.135	0.690	0.400
displeasure	Сэтгэл ханамжгүй байна	0.115	0.559	0.250
disposable	нэг удаагийн	0.271	0.439	0.250
disposal	хаях	0.135	0.608	0.396
dispose	устгах	0.548	0.538	0.559
disposed	устгасан	0.688	0.441	0.625
disposition	disposition	0.663	0.542	0.734
dispossessed	устгасан	0.354	0.577	0.331
disprove	санал зөрөлдөж байна	0.375	0.625	0.613
dispute	маргаан	0.219	0.750	0.585
disqualification	хасагдах	0.066	0.677	0.330
disqualified	хасагдсан	0.129	0.464	0.232
disqualify	хасагдана	0.208	0.595	0.267
disquieted	Сэтгэл санаагаар унах	0.229	0.850	0.290
disregard	үл тоомсорлох	0.177	0.647	0.308
disregarded	үл тоомсорлосон	0.260	0.458	0.283
disrelish	эрх чөлөөгүй	0.375	0.471	0.304
disreputable	Гайхалтай	0.104	0.688	0.353
disrepute	нэр төр гутаасан	0.208	0.630	0.292
disrespect	үл хүндэтгэсэн	0.062	0.637	0.302
disrespectful	үл хүндэтгэсэн	0.031	0.694	0.273
disrupt	тасалдсан	0.265	0.640	0.349
disrupting	сүйрэл	0.186	0.557	0.339
disruption	тасалдсан	0.235	0.735	0.436
disruptive	тасалдсан	0.255	0.755	0.575
dissatisfaction	сэтгэл ханамжгүй байна	0.115	0.663	0.202
dissatisfied	сэтгэл хангалуун бус	0.042	0.561	0.291
dissect	dissect	0.367	0.750	0.595
dissection	dissection	0.276	0.632	0.462
disseminate	түгээх	0.562	0.608	0.750
dissemination	түгээх	0.476	0.551	0.583
dissension	зөрчилдөөн	0.250	0.618	0.414
dissent	зөрчил	0.300	0.655	0.407
dissenting	dissenting	0.208	0.552	0.366
dissertation	диссертаци	0.312	0.575	0.575
disservice	дампуурал	0.250	0.794	0.480
dissident	зөрчигчдөд	0.350	0.582	0.413
dissimilar	ялгаатай	0.276	0.461	0.472
dissipate	алга болно	0.385	0.368	0.355
dissipated	төөрсөн	0.281	0.421	0.231
dissociation	диссоциаци	0.135	0.555	0.471
dissociative	dissociative	0.281	0.615	0.397
dissolution	татан буулгах	0.204	0.464	0.349
dissolve	татан буугдсан	0.271	0.490	0.410
dissonance	донтолт	0.173	0.471	0.336
dissuade	татгалзах	0.482	0.500	0.350
distal	distal	0.410	0.401	0.438
distance	зай	0.233	0.317	0.418
distant	алс холын	0.229	0.324	0.269
distaste	хоцрогдсон	0.184	0.625	0.370
distasteful	садар самуун	0.264	0.676	0.222
distillate	нэрэх	0.500	0.347	0.382
distillation	нэрэх	0.396	0.436	0.575
distilled	нэрсэн	0.427	0.573	0.500
distinct	ялгаатай	0.542	0.578	0.509
distinction	ялгаа	0.584	0.571	0.750
distinctive	ялгаатай	0.885	0.520	0.604
distinguish	ялгах	0.675	0.471	0.600
distinguishable	ялгах боломжтой	0.635	0.530	0.727
distinguished	ялгаатай	0.823	0.593	0.759
distinguishing	ялгах	0.622	0.363	0.640
distort	гажуудал	0.100	0.740	0.366
distorted	гажуудсан	0.250	0.521	0.280
distortion	гажуудал	0.299	0.570	0.380
distract	саад бол	0.241	0.609	0.336
distracted	саад болсон	0.194	0.392	0.213
distracting	анхаарал хандуулах	0.445	0.583	0.400
distraction	эмзэг байдал	0.402	0.557	0.390
distraught	гунигтай байна	0.115	0.903	0.264
distress	зовлон зүдгүүр	0.073	0.840	0.396
distressed	зовсон	0.143	0.771	0.324
distressing	зовж шаналж байна	0.075	0.750	0.375
distribute	тараах	0.643	0.596	0.709
distribution	түгээлт	0.635	0.548	0.788
distributor	борлуулагч	0.702	0.447	0.718
district	дүүрэг	0.438	0.327	0.660
distrust	итгэлгүй байдал	0.060	0.670	0.276
disturb	саад болсон	0.175	0.760	0.481
disturbance	эвдрэл	0.146	0.907	0.404
disturbed	эвдэрсэн	0.125	0.870	0.305
disturbing	саад болж байна	0.146	0.792	0.439
disuse	ашиглахгүй	0.229	0.229	0.202
disused	татгалзсан	0.250	0.302	0.186
ditch	суваг	0.357	0.364	0.322
ditto	Дуу	0.449	0.418	0.411
ditty	ditty	0.470	0.433	0.334
diurnal	өдөр	0.714	0.296	0.443
diva	бурхан	0.660	0.657	0.596
divan	NO TRANSLATION	0.750	0.202	0.262
dive	шумбах	0.583	0.531	0.500
diver	шумбагч	0.594	0.520	0.564
diverge	diverge	0.375	0.657	0.520
divergence	ялгаатай байдал	0.429	0.615	0.687
divergent	өөр өөр байна	0.449	0.660	0.587
diverging	хуваагдана	0.417	0.613	0.573
divers	төрөл бүрийн	0.583	0.580	0.602
diverse	олон янзын	0.562	0.519	0.604
diversified	төрөлжсөн	0.602	0.538	0.549
diversify	төрөлжүүлэх	0.656	0.588	0.464
diversion	голдирол өөрчлөх	0.740	0.821	0.714
diversionary	голдирол өөрчлөх	0.551	0.587	0.300
diversity	олон янз байдал	0.806	0.472	0.711
divert	шилжүүлэх	0.344	0.622	0.407
diverting	шилжүүлэх	0.396	0.571	0.537
divest	задалдаг	0.365	0.547	0.424
divested	тусгаарлагдсан	0.333	0.449	0.311
divestment	Хуваарилалт	0.302	0.509	0.382
divide	хуваа	0.333	0.520	0.417
divided	хуваагдсан	0.271	0.623	0.391
dividend	ногдол ашиг	0.583	0.491	0.566
divination	мэргэ төлөг	0.500	0.650	0.545
divine	бурхан	0.918	0.571	0.885
divinity	бурханлаг чанар	0.896	0.559	0.774
divisible	хуваагдана	0.323	0.462	0.411
division	хуваах	0.370	0.481	0.472
divisor	хуваагч	0.344	0.517	0.455
divorce	салалт	0.042	0.700	0.385
divorcee	салах	0.153	0.610	0.481
divulge	тунхаглах	0.531	0.718	0.467
divvy	хуваагдмал	0.351	0.462	0.429
dizziness	толгой эргэх	0.229	0.555	0.254
dizzy	толгой эргэх	0.199	0.582	0.193
do	хийх	0.670	0.548	0.536
doable	хийх боломжтой	0.760	0.404	0.675
doc	doc	0.458	0.317	0.392
docile	docile	0.604	0.259	0.264
dock	боомт	0.490	0.409	0.481
docked	боомт	0.281	0.754	0.398
docket	Детектив	0.505	0.509	0.607
docking	залгах	0.354	0.596	0.587
doctor	эмч	0.700	0.531	0.861
doctorate	эмч нар	0.776	0.479	0.841
doctrinal	сургаал	0.510	0.373	0.673
doctrine	сургаал	0.500	0.394	0.769
document	баримт бичиг	0.594	0.240	0.667
documentary	баримтат кино	0.622	0.213	0.596
documentation	баримтжуулалт	0.719	0.290	0.667
documents	баримтууд	0.530	0.250	0.587
dodge	Dodge	0.333	0.760	0.509
dodger	могой	0.427	0.454	0.490
dodging	дохиж байна	0.396	0.654	0.382
dodgy	дүлий	0.281	0.510	0.254
dodo	dodo	0.438	0.306	0.353
doe	doe	0.550	0.336	0.336
doer	Дуучин	0.724	0.550	0.728
dog	нохой	0.704	0.500	0.407
dogface	dogface	0.219	0.470	0.264
dogged	нохойтой	0.255	0.750	0.594
doggy	doggy	0.646	0.491	0.404
doghouse	doghouse	0.438	0.417	0.340
dogma	dogma	0.530	0.460	0.719
dogmatic	dogmatic	0.448	0.520	0.654
dogsick	NO TRANSLATION	0.571	0.490	0.377
doings	үйл ажиллагаа	0.604	0.491	0.705
doit	NO TRANSLATION	0.500	0.519	0.392
dojo	dojo	0.500	0.435	0.455
doldrums	долдрум	0.229	0.425	0.266
dole	dole	0.448	0.402	0.348
doll	хүүхэлдэй	0.729	0.321	0.330
dollar	доллар	0.755	0.632	0.694
dollhouse	dollhouse	0.643	0.245	0.363
dolor	NO TRANSLATION	0.167	0.635	0.375
dolphin	далайн гахай	0.776	0.350	0.414
domain	домэйн	0.573	0.549	0.828
dome	Dome	0.620	0.398	0.509
domestic	дотоодын	0.729	0.327	0.500
domesticated	гэрийн тэжээвэр амьтан	0.635	0.360	0.294
domestication	гэр бүл	0.594	0.390	0.435
domicile	орон байр	0.604	0.292	0.529
domiciled	domiciled	0.542	0.340	0.516
dominance	давамгайлал	0.542	0.775	0.839
dominant	давамгайлах	0.406	0.854	0.893
dominate	давамгайлж байна	0.439	0.814	0.953
dominating	давамгайлж байна	0.427	0.769	0.902
domination	давамгайлал	0.505	0.786	0.959
dominatrix	давамгайлал	0.390	0.727	0.709
dominion	эзэнт гүрэн	0.542	0.704	0.890
domino	domino	0.594	0.510	0.473
don	Дон	0.646	0.454	0.702
donate	хандивлах	0.774	0.462	0.577
donation	хандив	0.792	0.398	0.602
donkey	илжиг	0.406	0.367	0.245
donor	хандивлагч	0.714	0.490	0.653
dontlikeyou	NO TRANSLATION	0.055	0.500	0.282
dontmess	NO TRANSLATION	0.396	0.482	0.440
dontmesswithme	dontmesswithme	0.312	0.635	0.440
dontpanic	dontpanic	0.469	0.465	0.425
dontunderstand	NO TRANSLATION	0.219	0.357	0.271
doodle	doodle	0.604	0.402	0.376
doom	Зорилго	0.073	0.750	0.442
doomed	золгүй явдал	0.041	0.755	0.301
doomsday	Дараа нь	0.125	0.861	0.670
door	хаалга	0.549	0.189	0.421
doorbell	хаалганы хонх	0.564	0.500	0.307
doorknob	хаалганы бариул	0.406	0.553	0.462
doorman	Хаалгач	0.570	0.371	0.491
doormat	Зорилго	0.458	0.269	0.267
doornail	doornail	0.459	0.370	0.423
doorstep	хаалганы цаана	0.531	0.274	0.391
doorway	хаалга	0.573	0.304	0.496
dopamine	dopamine	0.548	0.469	0.426
dope	харанхуй	0.295	0.855	0.425
dopey	dopey	0.320	0.380	0.365
dork	dork	0.272	0.519	0.361
dorky	Дорки	0.302	0.480	0.390
dorm	дотуур байр	0.719	0.194	0.327
dormant	унтаа	0.385	0.245	0.245
dormitory	дотуур байр	0.633	0.204	0.382
dorsal	нуруу	0.449	0.360	0.445
dosage	тун	0.344	0.450	0.490
dose	тун	0.458	0.490	0.427
dossier	dossier	0.357	0.380	0.544
dot	цэг	0.434	0.290	0.391
doting	дох	0.888	0.415	0.426
dotted	тасархай	0.480	0.347	0.426
dotty	dotty	0.375	0.402	0.393
double	давхар	0.677	0.378	0.569
doubled	хоёр дахин нэмэгдсэн	0.427	0.536	0.560
doublet	doublet	0.420	0.431	0.500
doubling	хоёр дахин нэмэгдэнэ	0.459	0.452	0.464
doubt	эргэлзэж байна	0.395	0.351	0.231
doubtful	эргэлзээтэй	0.250	0.465	0.241
doubting	эргэлзэж байна	0.224	0.560	0.189
doubtless	эргэлзээгүй	0.688	0.415	0.689
doubts	эргэлзээ төрүүлж байна	0.306	0.448	0.305
douche	Гүйцээ	0.490	0.413	0.397
douchebags	douchebags	0.327	0.587	0.366
dough	зуурсан гурил	0.588	0.229	0.391
doughboy	doughboy	0.365	0.443	0.396
doughnut	хандив	0.663	0.380	0.279
dour	dour	0.360	0.404	0.325
douse	Хоолны газар	0.365	0.453	0.412
dove	тагтаа	0.729	0.235	0.437
down	доошоо	0.208	0.330	0.264
downcast	доошоо унах	0.071	0.500	0.222
downer	down	0.120	0.594	0.226
downfall	уналт	0.200	0.717	0.182
downfield	downfield	0.521	0.330	0.380
downhearted	доошоо унах	0.119	0.461	0.255
downhill	уруудаж байна	0.292	0.573	0.279
download	татаж авах	0.602	0.490	0.503
downpour	Урсгал	0.328	0.602	0.481
downright	босоо	0.625	0.454	0.679
downriver	downriver	0.542	0.469	0.279
downside	сул тал	0.190	0.400	0.246
downtime	цаг хугацаа	0.240	0.226	0.324
downward	доошоо бууна	0.188	0.347	0.255
downy	унасан	0.630	0.170	0.255
dowry	инж	0.604	0.453	0.544
doze	doze	0.592	0.200	0.405
dozen	арван хоёр	0.583	0.343	0.425
drab	муухай	0.327	0.300	0.242
draft	ноорог	0.438	0.360	0.351
drafty	Дизайныг	0.458	0.500	0.518
drag	татах	0.388	0.606	0.348
dragon	луу	0.541	0.821	0.712
dragonfly	Соно	0.571	0.373	0.357
drain	ус зайлуулах	0.277	0.470	0.222
drainage	ус зайлуулах хоолой	0.219	0.354	0.307
drained	хатсан	0.310	0.441	0.352
draining	цутгах	0.337	0.396	0.304
drainpipe	ус зайлуулах хоолой	0.417	0.413	0.277
drake	Drake	0.467	0.411	0.452
drama	жүжиг	0.430	0.755	0.481
dramaqueen	NO TRANSLATION	0.337	0.682	0.482
dramatic	dramatic	0.367	0.780	0.443
drape	drape	0.417	0.439	0.404
drapery	даавуу	0.479	0.220	0.223
drastic	эрс тэс байдал	0.194	0.839	0.657
drat	NO TRANSLATION	0.302	0.516	0.409
draught	ноорог	0.465	0.245	0.316
draw	зурах	0.704	0.449	0.481
drawback	сул тал	0.302	0.422	0.148
drawbridge	drawbridge	0.551	0.557	0.438
drawer	шургуулга	0.429	0.196	0.292
drawers	шүүгчид	0.539	0.260	0.236
drawing	зурах	0.698	0.216	0.333
dread	айдас	0.153	0.792	0.368
dreaded	айдас төрүүлж байна	0.122	0.706	0.460
dreadful	аймшигтай	0.092	0.786	0.348
dreadfully	аймшигтай	0.246	0.806	0.306
dreading	айдас	0.125	0.760	0.377
dream	мөрөөдөл	0.844	0.157	0.328
dreamboat	dreamboat	0.776	0.491	0.458
dreamer	мөрөөдөгч	0.820	0.394	0.455
dreaming	Зүүдлэх	0.854	0.320	0.336
dreamland	мөрөөдлийн газар	0.844	0.471	0.566
dreams	мөрөөдөл	0.865	0.415	0.530
dreamt	зүүдлэв	0.812	0.380	0.518
dreamy	мөрөөдөл	0.837	0.350	0.500
dreary	доройтсон	0.260	0.490	0.324
dredge	ёроолд	0.427	0.445	0.444
drenched	Усанд унасан	0.302	0.361	0.388
dress	даашинз	0.760	0.300	0.345
dresser	хувцасны шүүгээ	0.604	0.398	0.473
dressmaker	dressmaker	0.698	0.460	0.483
dressy	dressy	0.800	0.570	0.696
dribble	NO TRANSLATION	0.417	0.551	0.465
dried	хатаасан	0.427	0.260	0.385
drier	хуурай	0.306	0.347	0.392
drift	шилжилт	0.316	0.520	0.375
drifted	замбараагүй	0.312	0.542	0.310
drifter	drifter	0.449	0.512	0.391
driftwood	driftwood	0.321	0.283	0.439
drill	өрөм	0.250	0.602	0.573
drink	уух	0.650	0.552	0.474
drinker	архи уух	0.365	0.735	0.441
drinking	архи ууж байна	0.562	0.459	0.317
drinks	ундаа	0.729	0.656	0.412
drip	дуслаарай	0.392	0.193	0.175
dripping	дуслууд	0.302	0.257	0.267
drive	хөтөч	0.625	0.689	0.713
drivel	робот	0.398	0.469	0.463
driver	драйвер	0.553	0.538	0.637
driveway	зам	0.612	0.392	0.689
drizzle	шиврээ бороо	0.521	0.353	0.319
droll	Др	0.459	0.573	0.422
drone	дельсон	0.429	0.686	0.596
drones	drones	0.398	0.577	0.588
drool	drool	0.385	0.398	0.204
drooping	унасан	0.245	0.558	0.353
droopy	гөлгөр	0.438	0.350	0.297
drop	уналт	0.479	0.321	0.291
droplet	дусал	0.625	0.208	0.194
dropout	сургууль завсардах	0.253	0.550	0.481
dropper	дусаагуур	0.333	0.216	0.236
drought	ган гачиг	0.133	0.353	0.267
drove	NO TRANSLATION	0.541	0.528	0.623
drown	живэх	0.071	0.860	0.270
drowsiness	нойрмог	0.260	0.194	0.303
drowsy	нойрмог байна	0.375	0.180	0.240
drudgery	завхайрал	0.094	0.522	0.241
drug	эм	0.214	0.790	0.453
drug dealing	мансууруулах бодисын наймаа	0.042	0.843	0.500
drugged	мансууруулах бодис	0.102	0.750	0.321
druggist	druggist	0.240	0.561	0.417
drugs	эм	0.167	0.750	0.368
drugstore	эмийн сан	0.490	0.343	0.518
druid	druid	0.517	0.445	0.481
drum	бөмбөр	0.615	0.679	0.339
drummer	бөмбөрчин	0.646	0.700	0.564
drumming	бөмбөр	0.594	0.750	0.426
drunk	согтуу	0.194	0.800	0.250
drunk driving	согтуугаар машин жолоодох	0.073	0.900	0.306
drunkard	согтуу байна	0.240	0.873	0.250
drunken	согтуу	0.155	0.849	0.250
drunkenness	согтуу	0.214	0.774	0.336
dry	хуурай байна	0.363	0.169	0.311
dryer	хатаагч	0.479	0.343	0.277
dryness	хуурайшилт	0.292	0.296	0.263
dual	хос	0.573	0.330	0.384
dualism	давхаризм	0.490	0.406	0.536
duality	хоёр чанар	0.438	0.520	0.503
dub	dub	0.510	0.480	0.387
dubious	эргэлзээтэй байна	0.414	0.480	0.198
duchess	Эмэгтэйчvvд	0.656	0.548	0.711
duck	нугас	0.594	0.337	0.236
ducking	Унтах	0.344	0.573	0.294
duckling	дэгдээхэй	0.602	0.353	0.263
ducky	ducky	0.520	0.430	0.368
duct	Суваг	0.449	0.435	0.430
ductile	цахлай	0.508	0.420	0.433
dud	dud	0.167	0.455	0.246
dude	ганган	0.809	0.356	0.615
duds	duds	0.347	0.311	0.339
due	учир нь	0.562	0.340	0.467
duel	Дуай	0.271	0.696	0.589
dues	татвар	0.367	0.461	0.288
duet	дуэт	0.694	0.693	0.527
duffel	duffel	0.500	0.400	0.384
dugout	хогийн сав	0.490	0.370	0.463
duh	duh	0.357	0.461	0.364
duke	гүн	0.667	0.440	0.669
dull	уйтгартай	0.194	0.120	0.185
dullard	dullard	0.450	0.480	0.365
dumb	дүлий	0.188	0.330	0.151
dumbasses	dumbasses	0.316	0.590	0.363
dumbbell	Dumbbell	0.302	0.469	0.364
dumbbitch	NO TRANSLATION	0.281	0.636	0.393
dumfound	dumfound	0.271	0.551	0.295
dumfounder	NO TRANSLATION	0.406	0.481	0.400
dummy	дамми	0.440	0.144	0.250
dump	dump	0.345	0.500	0.370
dumpling	банш	0.580	0.321	0.360
dumps	овоолго	0.302	0.583	0.365
dumpster	овоолго	0.229	0.418	0.101
dun	dun	0.458	0.431	0.339
dunce	др	0.188	0.327	0.146
dune	нуруу	0.459	0.173	0.414
dung	NO TRANSLATION	0.104	0.549	0.149
dungeon	dungeon	0.276	0.608	0.440
dunk	дун	0.406	0.333	0.475
duo	Duo	0.510	0.500	0.447
dupe	хуурамч байна	0.184	0.760	0.327
duplex	дуплекс	0.592	0.452	0.467
duplicate	Давхардсан	0.521	0.490	0.338
duplication	Давхардал	0.480	0.564	0.577
duplicity	Давуу тал	0.406	0.500	0.578
durability	бат бөх	0.750	0.398	0.813
durable	бат бөх	0.740	0.294	0.688
duration	үргэлжлэх хугацаа	0.656	0.370	0.536
duress	дарамт	0.302	0.569	0.612
dusk	Үдээс хойш	0.532	0.276	0.519
dusky	dusky	0.229	0.528	0.324
dust	тоос шороо	0.344	0.246	0.241
duster	duster	0.408	0.265	0.296
dustpan	dustpan	0.609	0.466	0.371
dusty	тоостой	0.406	0.294	0.255
dutiful	эрхэм дээд	0.724	0.245	0.585
duty	үүрэг	0.583	0.579	0.651
dwarf	одой хүн	0.370	0.340	0.288
dwarfed	одой хүн	0.365	0.265	0.293
dweeb	dweeb	0.354	0.446	0.327
dwell	орших	0.698	0.245	0.611
dweller	оршин суугч	0.615	0.304	0.500
dwelling	орон сууц	0.765	0.330	0.481
dye	будаг	0.479	0.314	0.371
dying	үхэж байна	0.040	0.664	0.422
dyke	далан	0.438	0.396	0.566
dynamic	динамик	0.724	0.750	0.836
dynamical	динамик	0.786	0.730	0.827
dynamics	динамик	0.745	0.682	0.774
dynamite	Динамит	0.344	0.860	0.783
dynamo	Динамо	0.531	0.650	0.593
dynasty	гүрэн	0.725	0.588	0.936
dysentery	цусан суулга	0.260	0.528	0.345
dysfunction	Үйл ажиллагааны алдагдал	0.156	0.410	0.386
dysfunctional	Үйл ажиллагааны доголдол	0.125	0.558	0.307
dyspepsia	Диспепси	0.212	0.470	0.460
eager	сонирхолтой	0.521	0.812	0.306
eagerness	сайхан сэтгэлтэй	0.406	0.621	0.443
eagle	бүргэд	0.604	0.594	0.679
ear	чих	0.469	0.216	0.231
earful	олигтой юм	0.533	0.462	0.443
earl	earl	0.582	0.461	0.794
earlier	Өмнө нь	0.562	0.352	0.339
early	эрт	0.633	0.373	0.426
earn	олох	0.865	0.769	0.817
earnest	чин сэтгэлээсээ	0.653	0.380	0.670
earnestly	чин сэтгэлээсээ	0.847	0.490	0.717
earnestness	чин сэтгэлээсээ	0.812	0.373	0.615
earnings	орлого	0.938	0.650	0.875
earpiece	сонсгол	0.583	0.286	0.452
earring	ээмэг	0.583	0.520	0.500
earrings	ээмэг	0.676	0.346	0.517
earshot	сонсох	0.552	0.332	0.408
earth	дэлхий	0.750	0.225	0.614
earthenware	шавар эдлэл	0.552	0.210	0.320
earthling	газар дэлхий	0.531	0.412	0.570
earthly	дэлхий дээрх	0.625	0.318	0.518
earthquake	газар хөдлөлт	0.073	0.930	0.812
earthy	дэлхий	0.375	0.413	0.404
ease	амарлингуй	0.796	0.385	0.491
easel	easel	0.694	0.340	0.527
easement	хялбаршуулсан	0.479	0.345	0.302
easily	амархан	0.885	0.279	0.453
east	зүүн	0.510	0.250	0.317
eastbound	зүүн чиглэлд	0.541	0.408	0.402
eastern	зүүн хэсэг	0.521	0.420	0.480
easy	хялбар	0.865	0.194	0.373
easygoing	хялбархан	0.823	0.276	0.538
eat	идэх	0.731	0.500	0.464
eater	идэш тэжээл	0.459	0.337	0.510
eating	идэх	0.847	0.491	0.615
eatingdisorders	NO TRANSLATION	0.365	0.608	0.508
eavesdrop	сэм чагнах	0.375	0.710	0.368
eavesdropping	чагнах	0.490	0.380	0.441
ebb	ebb	0.354	0.451	0.404
ebony	ebony	0.490	0.317	0.400
ebullient	Тэнцүү	0.659	0.856	0.746
eccentric	хазайлт	0.531	0.806	0.721
eccentricity	хазайлт	0.408	0.735	0.745
ecclesiastical	сүм хийд	0.673	0.270	0.660
echelon	echelon	0.490	0.404	0.425
echinacea	echinacea	0.592	0.418	0.454
echo	echo	0.573	0.373	0.345
eclectic	эклам	0.646	0.542	0.508
eclipse	хиртэлт	0.541	0.469	0.616
ecliptic	Эклиптик	0.531	0.520	0.556
ecological	экологи	0.885	0.290	0.607
economic	эдийн засгийн	0.561	0.408	0.639
economical	эдийн засгийн хувьд	0.667	0.564	0.673
economics	эдийн засаг	0.625	0.481	0.632
economy	эдийн засаг	0.583	0.434	0.771
ecosystem	экосистем	0.729	0.259	0.633
ecstasy	тайван байдал	0.796	0.922	0.655
ecstatic	хөгжилтэй	0.875	0.769	0.742
ecumenical	ecumenical	0.561	0.450	0.547
eddy	eddy	0.500	0.394	0.350
edema	хаван	0.250	0.519	0.318
edge	зах	0.439	0.470	0.468
edging	ойртож байна	0.479	0.394	0.370
edgy	Сэлбэ	0.281	0.895	0.306
edible	идэж болно	0.750	0.425	0.497
edict	Захирамж	0.316	0.547	0.560
edification	сэнхрүүлэл	0.625	0.481	0.697
edifice	бүтэц	0.551	0.403	0.610
edit	засварлах	0.510	0.410	0.544
editing	засварлах	0.604	0.404	0.493
edition	хэвлэл	0.542	0.455	0.564
editor	редактор	0.772	0.431	0.673
editorial	редактив	0.583	0.330	0.570
educate	Боловсрол	0.760	0.380	0.728
educated	боловсролтой	0.816	0.297	0.625
education	боловсрол	0.896	0.275	0.840
educational	Боловсрол	0.745	0.457	0.764
educator	сургагч	0.827	0.317	0.845
eeeek	NO TRANSLATION	0.367	0.540	0.349
eeek	NO TRANSLATION	0.333	0.490	0.302
eek	eek	0.292	0.529	0.343
eel	могой	0.292	0.564	0.487
eerie	eerie	0.265	0.771	0.442
effect	үр нөлөө	0.570	0.518	0.608
effective	үр дүнтэй	0.844	0.632	0.891
effectiveness	үр дүнтэй байдал	0.640	0.654	0.812
effects	үр нөлөө	0.470	0.578	0.379
effectual	үр нөлөөтэй	0.776	0.559	0.820
effectually	үр дүнтэй	0.724	0.500	0.594
effectuate	үйлчлэх	0.510	0.602	0.679
effeminate	үймээнтэй	0.337	0.619	0.291
efficacious	үр нөлөөтэй	0.823	0.698	0.845
efficacy	үр дүнтэй	0.802	0.490	0.906
efficiency	үр ашиг	0.802	0.509	0.892
efficient	үр ашигтай	0.959	0.604	0.830
effigy	effigy	0.510	0.440	0.401
effort	хүчин чармайлт	0.698	0.778	0.858
effortless	хүчин чармайлтгүй	0.626	0.090	0.352
effusion	шүүдэсжилт	0.344	0.730	0.472
effyou	NO TRANSLATION	0.354	0.529	0.490
egg	өндөг	0.684	0.241	0.293
egghead	egghead	0.316	0.492	0.284
eggnog	eggnog	0.635	0.360	0.259
eggplant	хаш	0.592	0.152	0.323
eggshell	өндөг	0.408	0.269	0.212
ego	ego	0.328	0.576	0.593
egomaniac	egomaniac	0.133	0.708	0.596
egotistical	Эсрэг статик	0.156	0.667	0.363
egregious	Хэцүү юм	0.150	0.716	0.442
egress	egress	0.490	0.429	0.287
eight	найман	0.540	0.199	0.315
eighteen	арван найм	0.523	0.340	0.404
eighth	наймдугаарт	0.531	0.226	0.380
eighty	наян	0.500	0.300	0.453
ejaculate	ялгаруулах	0.604	0.896	0.604
ejaculation	Ejaculation	0.615	0.893	0.547
eject	зайлуулах	0.434	0.656	0.559
ejection	Илгээх	0.188	0.836	0.554
elaborate	дэлгэрэнгүй	0.561	0.367	0.680
elaboration	боловсронгуй болгох	0.708	0.500	0.598
elan	NO TRANSLATION	0.562	0.367	0.500
elapse	Алдагдсан	0.514	0.440	0.455
elapsed	өнгөрсөний	0.583	0.451	0.493
elastic	уян хатан	0.656	0.518	0.385
elasticity	мэдрэмж	0.635	0.452	0.582
elated	баярлалаа	0.792	0.960	0.725
elation	дур булаам	0.740	0.853	0.623
elbow	тохой	0.448	0.133	0.254
eld	хуучин байна	0.471	0.292	0.451
elder	ахлагч	0.448	0.153	0.462
elderly	ахмад настан	0.615	0.212	0.283
elders	ахлагч нар	0.602	0.260	0.441
eldest	хамгийн том нь	0.625	0.471	0.741
elect	сонгох	0.667	0.554	0.661
election	сонгууль	0.625	0.519	0.651
elective	сонгох	0.612	0.380	0.623
elector	сонгогч	0.479	0.520	0.766
electoral	сонгууль	0.490	0.631	0.602
electorate	сонгогч	0.560	0.380	0.696
electric	цахилгаан	0.458	0.708	0.512
electric slide	цахилгаан слайд	0.542	0.660	0.536
electrical	цахилгаан	0.531	0.620	0.688
electrician	цахилгаанчин	0.449	0.590	0.620
electricity	цахилгаан	0.698	0.810	0.733
electrify	цахилгаанаар	0.520	0.769	0.737
electrocute	цахилгааны утас	0.271	0.731	0.555
electrocution	цахилгаанд цохиулах	0.177	0.844	0.692
electromagnetic	цахилгаан соронзон	0.531	0.632	0.683
electron	электрон	0.520	0.455	0.560
electronic	электрон	0.571	0.490	0.704
electronics	электроник	0.708	0.545	0.574
elegance	дэгжин	0.918	0.396	0.824
elegant	дэгжин	0.865	0.500	0.685
element	бүрэлдэхүүн	0.531	0.259	0.481
elemental	элемент	0.627	0.306	0.711
elementary	бага	0.594	0.286	0.686
elements	элемент	0.510	0.312	0.462
elephant	заан	0.531	0.510	0.615
