Word	Romanian-ro	Valence	Arousal	Dominance
diddle	căptuși	0.429	0.566	0.393
die	NO TRANSLATION	0.031	0.765	0.259
died	decedat	0.021	0.650	0.327
diesel	diesel	0.490	0.327	0.448
diet	cura de slabire	0.429	0.235	0.398
dietary	dietetic	0.551	0.220	0.261
differ	diferi	0.230	0.398	0.396
difference	diferență	0.474	0.560	0.483
differences	diferențele	0.365	0.582	0.342
different	diferit	0.612	0.394	0.473
differential	diferenţial	0.520	0.378	0.535
differentiation	diferenţiere	0.367	0.561	0.535
differently	diferit	0.480	0.431	0.506
differing	diferite	0.418	0.410	0.455
difficult	dificil	0.235	0.700	0.508
difficulties	dificultăți	0.082	0.784	0.357
difficulty	dificultate	0.079	0.740	0.368
diffuse	difuz	0.430	0.431	0.321
diffusion	difuziune	0.356	0.615	0.517
dig	NO TRANSLATION	0.367	0.585	0.637
digest	digera	0.720	0.413	0.483
digestion	digestie	0.531	0.410	0.455
digestive	digestiv	0.542	0.413	0.434
digit	cifră	0.447	0.286	0.333
digital	digital	0.740	0.382	0.529
dignified	demn	0.766	0.481	0.635
dignify	conferi o demnitate	0.854	0.588	0.735
dignity	demnitate	0.844	0.391	0.873
digress	face o digresiune	0.271	0.625	0.411
digs	NO TRANSLATION	0.448	0.670	0.635
dike	dig	0.360	0.384	0.490
dilapidated	dărăpănat	0.229	0.618	0.286
dilatation	dilatare	0.385	0.574	0.368
dilation	dilatare	0.347	0.490	0.578
dildo	vibrator	0.536	0.587	0.491
dilemma	dilemă	0.153	0.590	0.430
diligence	diligență	0.688	0.423	0.700
diligent	harnic	0.760	0.426	0.759
dill	mărar	0.427	0.360	0.373
diluent	diluant	0.417	0.344	0.332
dilute	dilua	0.275	0.192	0.349
diluted	diluat	0.469	0.310	0.229
dilution	diluare	0.445	0.337	0.352
dim	întunecos	0.398	0.321	0.273
dime	monedă de 10 cenți	0.653	0.317	0.345
dimension	dimensiune	0.592	0.415	0.627
dimensional	dimensională	0.561	0.484	0.596
diminish	diminua	0.240	0.357	0.167
diminished	diminuat	0.156	0.269	0.196
diminution	diminuare	0.316	0.296	0.245
diminutive	diminutiv	0.323	0.200	0.109
dimwit	nătâng	0.255	0.459	0.175
din	NO TRANSLATION	0.440	0.417	0.398
dine	luați masa	0.821	0.519	0.478
diner	cantină	0.643	0.302	0.538
dinghy	dinghy	0.510	0.269	0.325
dingo	Dingo	0.608	0.472	0.346
dingy	murdar	0.156	0.483	0.343
dining	mese	0.724	0.350	0.459
dinky	frumușel	0.357	0.451	0.358
dinner	cină	0.823	0.392	0.379
dinnertime	ora cinei	0.796	0.406	0.341
dinosaur	dinozaur	0.448	0.630	0.596
dint	ieșitură	0.378	0.480	0.492
diocesan	eparhială	0.520	0.283	0.518
diocese	eparhie	0.510	0.288	0.575
diorama	dioramă	0.592	0.441	0.462
dioxide	bioxid	0.354	0.433	0.456
dip	cufundare	0.516	0.583	0.397
diploma	diplomă	0.750	0.462	0.731
diplomacy	diplomaţie	0.740	0.396	0.774
diplomat	diplomat	0.563	0.262	0.868
diplomatic	diplomatic	0.653	0.363	0.918
dipper	căuș	0.548	0.361	0.348
dippy	Dippy	0.430	0.402	0.340
dipstick	joja de ulei	0.365	0.312	0.316
dire	NO TRANSLATION	0.214	0.660	0.259
direct	direct	0.793	0.403	0.650
directed	dirijat	0.542	0.490	0.541
direction	direcţie	0.719	0.330	0.684
directive	directivă	0.604	0.530	0.918
directly	direct	0.747	0.400	0.702
director	director	0.688	0.580	0.912
directory	director	0.439	0.413	0.538
dirt	murdărie	0.112	0.500	0.236
dirty	murdar	0.153	0.460	0.170
disability	incapacitate	0.073	0.482	0.173
disable	dezactivați	0.115	0.430	0.269
disabled	invalid	0.308	0.443	0.235
disadvantage	dezavantaj	0.150	0.377	0.282
disaffected	nemulţumit	0.176	0.410	0.291
disagree	dezacord	0.133	0.590	0.345
disagreeable	dezagreabil	0.042	0.643	0.178
disagreeing	dezacord	0.255	0.643	0.350
disagreement	dezacord	0.104	0.618	0.236
disallow	dezaproba	0.156	0.519	0.424
disallowed	nepermis	0.135	0.500	0.328
disapointment	NO TRANSLATION	0.104	0.418	0.231
disappear	dispărea	0.143	0.441	0.350
disappearance	dispariție	0.214	0.698	0.367
disappearing	dispărând	0.167	0.427	0.379
disappoint	dezamăgi	0.150	0.633	0.288
disappointed	dezamăgit	0.071	0.472	0.241
disappointing	dezamăgitor	0.073	0.640	0.200
disappointment	dezamăgire	0.115	0.490	0.336
disapproval	dezaprobare	0.085	0.551	0.367
disapprove	dezaproba	0.160	0.594	0.445
disapproved	respins	0.104	0.550	0.114
disapproving	dezaprobator	0.245	0.625	0.452
disarm	dezarma	0.292	0.528	0.613
disarray	dezordine	0.198	0.657	0.223
disaster	dezastru	0.082	0.892	0.433
disastrous	dezastruos	0.071	0.741	0.439
disband	dizolva	0.302	0.491	0.417
disbelief	neîncredere	0.188	0.409	0.373
disbelieve	nu crede	0.188	0.441	0.352
disburse	plăti	0.418	0.473	0.353
disbursement	plată	0.240	0.443	0.435
disc	disc	0.622	0.410	0.426
discard	renunța	0.240	0.343	0.337
discarded	aruncată	0.229	0.460	0.308
discards	aruncate înapoi în mare	0.240	0.464	0.391
discern	discerne	0.459	0.566	0.518
discernible	perceptibil	0.427	0.441	0.481
discerning	discernământ	0.542	0.584	0.780
discernment	discernământ	0.408	0.471	0.694
discharge	descărcare	0.427	0.538	0.578
disciple	discipol	0.765	0.385	0.462
disciplinary	disciplinar	0.562	0.593	0.796
discipline	disciplina	0.615	0.471	0.806
disciplined	disciplinat	0.728	0.450	0.750
disclaim	repudia	0.235	0.509	0.321
disclaimer	act de renunțare	0.367	0.571	0.542
disclose	dezvălui	0.490	0.570	0.545
disclosed	dezvăluite	0.271	0.575	0.546
disclosure	dezvăluire	0.500	0.615	0.710
disco	discotecă	0.710	0.806	0.575
discoloration	modificări de culoare	0.224	0.373	0.414
discolored	decolorat	0.204	0.340	0.269
discomfort	disconfort	0.153	0.719	0.272
disconcerted	deconcertat	0.100	0.612	0.288
disconcerting	deconcertant	0.106	0.549	0.269
disconnect	deconecta	0.438	0.292	0.191
disconnected	decuplat	0.292	0.276	0.173
disconnection	deconectare	0.167	0.283	0.277
disconnects	întrerupătoarele	0.256	0.357	0.241
discontent	nemulţumire	0.240	0.530	0.263
discontinuance	întrerupere	0.123	0.741	0.337
discontinue	întrerupe	0.354	0.396	0.349
discontinuity	discontinuitate	0.303	0.439	0.250
discontinuous	discontinuu	0.233	0.409	0.316
discord	discordie	0.115	0.882	0.465
discount	reducere	0.724	0.530	0.302
discounted	promoție	0.677	0.471	0.430
discourage	descuraja	0.184	0.443	0.267
discouraged	descurajat	0.220	0.304	0.090
discouragement	descurajare	0.112	0.319	0.206
discouraging	descurajator	0.167	0.469	0.281
discourse	discuție	0.410	0.550	0.803
discover	descoperi	0.771	0.793	0.673
discovery	descoperire	0.823	0.627	0.814
discredit	discredita	0.075	0.529	0.355
discredited	discreditat	0.112	0.491	0.182
discreet	NO TRANSLATION	0.552	0.216	0.532
discrepancy	discrepanţă	0.260	0.643	0.417
discrete	distinct	0.585	0.231	0.429
discretion	discreție	0.552	0.320	0.685
discretionary	discreționar	0.520	0.365	0.446
discriminate	deosebi	0.125	0.761	0.366
discriminating	discriminatoriu	0.160	0.783	0.462
discrimination	discriminare	0.051	0.724	0.379
discus	disc	0.542	0.423	0.343
discuss	discuta	0.396	0.769	0.509
discussion	discuţie	0.333	0.842	0.536
disdain	dispreț	0.153	0.446	0.441
disdainful	disprețuitor	0.097	0.480	0.263
disease	boală	0.041	0.539	0.333
diseased	bolnav	0.123	0.510	0.134
disembodied	fără trup	0.167	0.620	0.412
disengage	decupla	0.406	0.529	0.304
disengagement	eliberare	0.327	0.373	0.395
disfigured	desfigurat	0.153	0.613	0.336
disgrace	ruşine	0.061	0.531	0.331
disgraced	compromis	0.071	0.661	0.250
disgraceful	ruşinos	0.082	0.702	0.240
disgruntled	nemulţumit	0.104	0.658	0.442
disguise	deghizare	0.573	0.694	0.431
disguised	camuflat	0.500	0.615	0.326
disgust	dezgust	0.052	0.775	0.317
disgusted	dezgustat	0.051	0.773	0.274
disgusting	dezgustător	0.031	0.796	0.245
dish	farfurie	0.552	0.255	0.264
disheartened	abătut	0.153	0.343	0.238
disheartening	deprimant	0.010	0.353	0.224
dishonest	necinstit	0.191	0.491	0.163
dishonesty	necinste	0.094	0.592	0.348
dishonor	dezonoare	0.104	0.620	0.185
dishonorable	dezonorant	0.112	0.641	0.280
dishwasher	spalator de vase	0.480	0.296	0.324
disillusionment	deziluzie	0.051	0.519	0.190
disinclination	antipatie	0.125	0.491	0.330
disincline	îndepărta de la	0.458	0.454	0.278
disinclined	disinclined	0.385	0.442	0.364
disinfect	dezinfecta	0.448	0.388	0.648
disinfectant	dezinfectant	0.531	0.429	0.460
disinfection	dezinfectare	0.517	0.556	0.473
disinformation	dezinformare	0.230	0.577	0.260
disingenuous	necinstit	0.194	0.509	0.204
disintegrate	dezintegra	0.143	0.660	0.364
disintegration	dezintegrare	0.094	0.551	0.381
disinterested	dezinteresat	0.398	0.284	0.392
disjoint	dezarticula	0.351	0.385	0.322
disjointed	incoerent	0.323	0.518	0.365
disjunctive	disjunctiv	0.286	0.481	0.400
disk	disc	0.573	0.423	0.412
diskette	dischetă	0.531	0.255	0.391
dislike	nu-i plăcea	0.156	0.406	0.321
disliked	disliked	0.062	0.510	0.221
disliking	neplăcerea	0.163	0.637	0.366
dislocated	dislocat	0.125	0.625	0.200
dislocation	dislocare	0.229	0.565	0.373
dislodge	deplasa	0.214	0.769	0.356
disloyal	neloial	0.062	0.582	0.245
disloyalty	lipsă de loialitate	0.187	0.716	0.267
dismal	sumbru	0.194	0.450	0.192
dismantle	demonta	0.347	0.644	0.462
dismay	spaimă	0.314	0.681	0.459
dismayed	consternat	0.165	0.735	0.389
dismemberment	dezmembrare	0.104	0.860	0.470
dismiss	destitui	0.167	0.541	0.509
dismissal	concediere	0.153	0.723	0.271
dismissive	desconsiderare	0.188	0.541	0.430
dismount	demonta	0.361	0.423	0.391
disobedience	nesupunere	0.051	0.868	0.369
disobedient	neascultător	0.276	0.706	0.353
disobey	nu se supune	0.143	0.556	0.491
disorder	tulburare	0.115	0.816	0.218
disordered	dezordonate	0.210	0.714	0.288
disorderly	dezordonat	0.188	0.748	0.385
disorganized	dezorganizat	0.052	0.507	0.184
disorientation	dezorientare	0.163	0.472	0.212
disoriented	dezorientat	0.227	0.643	0.227
disown	renega	0.153	0.637	0.368
disparage	discredita	0.092	0.663	0.336
disparaging	peiorativ	0.102	0.626	0.411
disparate	disparat	0.438	0.500	0.368
disparity	disparitate	0.208	0.482	0.361
dispassionate	imparțial	0.199	0.217	0.218
dispatch	expediere	0.317	0.417	0.555
dispatcher	dispecer	0.365	0.704	0.652
dispel	risipi	0.388	0.402	0.411
dispensary	dispensar	0.406	0.380	0.606
dispensation	dispensă	0.388	0.462	0.490
dispense	distribui	0.561	0.520	0.518
dispenser	distribuitor	0.583	0.392	0.470
dispersal	împrăștiere	0.388	0.507	0.421
disperse	dispersa	0.375	0.569	0.434
dispersed	dispersat	0.344	0.490	0.274
dispersion	dispersare	0.270	0.604	0.350
dispirited	abătut	0.204	0.280	0.142
displace	deplasa	0.424	0.541	0.454
displaced	strămutate	0.281	0.472	0.291
displacement	deplasare	0.276	0.531	0.481
displacency	displacency	0.500	0.528	0.642
display	afişa	0.677	0.325	0.400
displease	nemulțumi	0.021	0.702	0.286
displeased	nemulțumit	0.135	0.690	0.400
displeasure	neplăcere	0.115	0.559	0.250
disposable	disponibil	0.271	0.439	0.250
disposal	dispoziție	0.135	0.608	0.396
dispose	dispune	0.548	0.538	0.559
disposed	dispuse	0.688	0.441	0.625
disposition	dispoziţie	0.663	0.542	0.734
dispossessed	deposedați	0.354	0.577	0.331
disprove	demonstra falsitatea	0.375	0.625	0.613
dispute	disputa	0.219	0.750	0.585
disqualification	descalificare	0.066	0.677	0.330
disqualified	descalificat	0.129	0.464	0.232
disqualify	descalifica	0.208	0.595	0.267
disquieted	alarmat	0.229	0.850	0.290
disregard	nepăsare	0.177	0.647	0.308
disregarded	ignorate	0.260	0.458	0.283
disrelish	dezgust	0.375	0.471	0.304
disreputable	infamant	0.104	0.688	0.353
disrepute	dezonoare	0.208	0.630	0.292
disrespect	lipsă de respect	0.062	0.637	0.302
disrespectful	nerespectuos	0.031	0.694	0.273
disrupt	distruge	0.265	0.640	0.349
disrupting	dislocare	0.186	0.557	0.339
disruption	perturbare	0.235	0.735	0.436
disruptive	brizant	0.255	0.755	0.575
dissatisfaction	nemulţumire	0.115	0.663	0.202
dissatisfied	nemulţumit	0.042	0.561	0.291
dissect	diseca	0.367	0.750	0.595
dissection	disecţie	0.276	0.632	0.462
disseminate	difuza	0.562	0.608	0.750
dissemination	diseminare	0.476	0.551	0.583
dissension	disensiune	0.250	0.618	0.414
dissent	disidență	0.300	0.655	0.407
dissenting	disident	0.208	0.552	0.366
dissertation	disertație	0.312	0.575	0.575
disservice	deserviciu	0.250	0.794	0.480
dissident	disident	0.350	0.582	0.413
dissimilar	diferit	0.276	0.461	0.472
dissipate	risipi	0.385	0.368	0.355
dissipated	risipit	0.281	0.421	0.231
dissociation	disociere	0.135	0.555	0.471
dissociative	disociativă	0.281	0.615	0.397
dissolution	dizolvare	0.204	0.464	0.349
dissolve	dizolva	0.271	0.490	0.410
dissonance	disonanţă	0.173	0.471	0.336
dissuade	descuraja	0.482	0.500	0.350
distal	distală	0.410	0.401	0.438
distance	distanţă	0.233	0.317	0.418
distant	îndepărtat	0.229	0.324	0.269
distaste	dezgust	0.184	0.625	0.370
distasteful	dezagreabil	0.264	0.676	0.222
distillate	distilat	0.500	0.347	0.382
distillation	distilare	0.396	0.436	0.575
distilled	distilat	0.427	0.573	0.500
distinct	distinct	0.542	0.578	0.509
distinction	distincţie	0.584	0.571	0.750
distinctive	distinctiv	0.885	0.520	0.604
distinguish	distinge	0.675	0.471	0.600
distinguishable	perceptibil	0.635	0.530	0.727
distinguished	distins	0.823	0.593	0.759
distinguishing	distinctiv	0.622	0.363	0.640
distort	denatura	0.100	0.740	0.366
distorted	deformat	0.250	0.521	0.280
distortion	deformare	0.299	0.570	0.380
distract	distrage	0.241	0.609	0.336
distracted	zăpăcit	0.194	0.392	0.213
distracting	distrage atenția	0.445	0.583	0.400
distraction	distracție	0.402	0.557	0.390
distraught	aiurit	0.115	0.903	0.264
distress	suferință	0.073	0.840	0.396
distressed	distressed	0.143	0.771	0.324
distressing	dureros	0.075	0.750	0.375
distribute	distribui	0.643	0.596	0.709
distribution	distribuire	0.635	0.548	0.788
distributor	distribuitor	0.702	0.447	0.718
district	district	0.438	0.327	0.660
distrust	neîncredere	0.060	0.670	0.276
disturb	perturba	0.175	0.760	0.481
disturbance	tulburare	0.146	0.907	0.404
disturbed	deranjat	0.125	0.870	0.305
disturbing	deranjant	0.146	0.792	0.439
disuse	neîntrebuințare	0.229	0.229	0.202
disused	deșucheat	0.250	0.302	0.186
ditch	şanţ	0.357	0.364	0.322
ditto	idem	0.449	0.418	0.411
ditty	cântec	0.470	0.433	0.334
diurnal	diurn	0.714	0.296	0.443
diva	divă	0.660	0.657	0.596
divan	NO TRANSLATION	0.750	0.202	0.262
dive	picaj	0.583	0.531	0.500
diver	scafandru	0.594	0.520	0.564
diverge	diverge	0.375	0.657	0.520
divergence	divergenţă	0.429	0.615	0.687
divergent	divergent	0.449	0.660	0.587
diverging	divergent	0.417	0.613	0.573
divers	divers	0.583	0.580	0.602
diverse	divers	0.562	0.519	0.604
diversified	diversificat	0.602	0.538	0.549
diversify	diversifica	0.656	0.588	0.464
diversion	deviere	0.740	0.821	0.714
diversionary	diversionistă	0.551	0.587	0.300
diversity	diversitate	0.806	0.472	0.711
divert	distrage	0.344	0.622	0.407
diverting	distractiv	0.396	0.571	0.537
divest	priva de	0.365	0.547	0.424
divested	cesionat	0.333	0.449	0.311
divestment	dezgolire	0.302	0.509	0.382
divide	divide	0.333	0.520	0.417
divided	împărțit	0.271	0.623	0.391
dividend	dividend	0.583	0.491	0.566
divination	divinaţie	0.500	0.650	0.545
divine	divin	0.918	0.571	0.885
divinity	divinitate	0.896	0.559	0.774
divisible	divizibil	0.323	0.462	0.411
division	diviziune	0.370	0.481	0.472
divisor	divizor	0.344	0.517	0.455
divorce	divorț	0.042	0.700	0.385
divorcee	femeie divorțată	0.153	0.610	0.481
divulge	divulga	0.531	0.718	0.467
divvy	divvy	0.351	0.462	0.429
dizziness	ameţeală	0.229	0.555	0.254
dizzy	ameţit	0.199	0.582	0.193
do	do	0.670	0.548	0.536
doable	realizabil	0.760	0.404	0.675
doc	medic	0.458	0.317	0.392
docile	docil	0.604	0.259	0.264
dock	doc	0.490	0.409	0.481
docked	andocat	0.281	0.754	0.398
docket	registru de procese	0.505	0.509	0.607
docking	andocare	0.354	0.596	0.587
doctor	doctor	0.700	0.531	0.861
doctorate	doctorat	0.776	0.479	0.841
doctrinal	doctrinal	0.510	0.373	0.673
doctrine	doctrină	0.500	0.394	0.769
document	document	0.594	0.240	0.667
documentary	film documentar	0.622	0.213	0.596
documentation	documentație	0.719	0.290	0.667
documents	documente	0.530	0.250	0.587
dodge	se eschiva	0.333	0.760	0.509
dodger	ambuscat	0.427	0.454	0.490
dodging	dodging	0.396	0.654	0.382
dodgy	dodgy	0.281	0.510	0.254
dodo	dodo	0.438	0.306	0.353
doe	căprioară	0.550	0.336	0.336
doer	făcător	0.724	0.550	0.728
dog	câine	0.704	0.500	0.407
dogface	față de câine	0.219	0.470	0.264
dogged	perseverent	0.255	0.750	0.594
doggy	căţeluş	0.646	0.491	0.404
doghouse	cusca cainelui	0.438	0.417	0.340
dogma	dogmă	0.530	0.460	0.719
dogmatic	dogmatic	0.448	0.520	0.654
dogsick	NO TRANSLATION	0.571	0.490	0.377
doings	fapte	0.604	0.491	0.705
doit	NO TRANSLATION	0.500	0.519	0.392
dojo	dojo	0.500	0.435	0.455
doldrums	demoralizare	0.229	0.425	0.266
dole	ajutor de șomaj	0.448	0.402	0.348
doll	păpuşă	0.729	0.321	0.330
dollar	dolar	0.755	0.632	0.694
dollhouse	casă de păpuși	0.643	0.245	0.363
dolor	NO TRANSLATION	0.167	0.635	0.375
dolphin	delfin	0.776	0.350	0.414
domain	domeniu	0.573	0.549	0.828
dome	dom	0.620	0.398	0.509
domestic	intern	0.729	0.327	0.500
domesticated	domesticit	0.635	0.360	0.294
domestication	domesticire	0.594	0.390	0.435
domicile	domiciliu	0.604	0.292	0.529
domiciled	domiciliul	0.542	0.340	0.516
dominance	dominanță	0.542	0.775	0.839
dominant	dominant	0.406	0.854	0.893
dominate	domina	0.439	0.814	0.953
dominating	dominator	0.427	0.769	0.902
domination	dominaţie	0.505	0.786	0.959
dominatrix	dominatrix	0.390	0.727	0.709
dominion	stăpânire	0.542	0.704	0.890
domino	domino	0.594	0.510	0.473
don	don	0.646	0.454	0.702
donate	dona	0.774	0.462	0.577
donation	donare	0.792	0.398	0.602
donkey	măgar	0.406	0.367	0.245
donor	donator	0.714	0.490	0.653
dontlikeyou	NO TRANSLATION	0.055	0.500	0.282
dontmess	NO TRANSLATION	0.396	0.482	0.440
dontmesswithme	dontmesswithme	0.312	0.635	0.440
dontpanic	dontpanic	0.469	0.465	0.425
dontunderstand	NO TRANSLATION	0.219	0.357	0.271
doodle	mâzgălitură	0.604	0.402	0.376
doom	osândă	0.073	0.750	0.442
doomed	osândit	0.041	0.755	0.301
doomsday	judecata de apoi	0.125	0.861	0.670
door	uşă	0.549	0.189	0.421
doorbell	soneria de la intrare	0.564	0.500	0.307
doorknob	clanță	0.406	0.553	0.462
doorman	portar	0.570	0.371	0.491
doormat	rogojină	0.458	0.269	0.267
doornail	doornail	0.459	0.370	0.423
doorstep	ușa	0.531	0.274	0.391
doorway	intrare	0.573	0.304	0.496
dopamine	dopamina	0.548	0.469	0.426
dope	narcotic	0.295	0.855	0.425
dopey	narcotizant	0.320	0.380	0.365
dork	dork	0.272	0.519	0.361
dorky	dorky	0.302	0.480	0.390
dorm	dormitor	0.719	0.194	0.327
dormant	inactiv	0.385	0.245	0.245
dormitory	dormitor	0.633	0.204	0.382
dorsal	dorsal	0.449	0.360	0.445
dosage	dozare	0.344	0.450	0.490
dose	doza	0.458	0.490	0.427
dossier	dosar	0.357	0.380	0.544
dot	punct	0.434	0.290	0.391
doting	senil	0.888	0.415	0.426
dotted	punctat	0.480	0.347	0.426
dotty	țicnit	0.375	0.402	0.393
double	dubla	0.677	0.378	0.569
doubled	dublat	0.427	0.536	0.560
doublet	dublet	0.420	0.431	0.500
doubling	dublare	0.459	0.452	0.464
doubt	îndoială	0.395	0.351	0.231
doubtful	îndoielnic	0.250	0.465	0.241
doubting	îndoielii	0.224	0.560	0.189
doubtless	fără îndoială	0.688	0.415	0.689
doubts	îndoieli	0.306	0.448	0.305
douche	duş	0.490	0.413	0.397
douchebags	fraieri	0.327	0.587	0.366
dough	aluat	0.588	0.229	0.391
doughboy	infanteristul	0.365	0.443	0.396
doughnut	gogoașă	0.663	0.380	0.279
dour	aspru	0.360	0.404	0.325
douse	stinge lumina	0.365	0.453	0.412
dove	porumbel	0.729	0.235	0.437
down	jos	0.208	0.330	0.264
downcast	opărit	0.071	0.500	0.222
downer	Downer	0.120	0.594	0.226
downfall	aversă	0.200	0.717	0.182
downfield	downfield	0.521	0.330	0.380
downhearted	dezamagita	0.119	0.461	0.255
downhill	la vale	0.292	0.573	0.279
download	Descarca	0.602	0.490	0.503
downpour	ploaie torenţială	0.328	0.602	0.481
downright	de-a dreptul	0.625	0.454	0.679
downriver	downriver	0.542	0.469	0.279
downside	dezavantaj	0.190	0.400	0.246
downtime	nefuncționare	0.240	0.226	0.324
downward	în jos	0.188	0.347	0.255
downy	pufos	0.630	0.170	0.255
dowry	zestre	0.604	0.453	0.544
doze	moțăi	0.592	0.200	0.405
dozen	duzină	0.583	0.343	0.425
drab	monotonie	0.327	0.300	0.242
draft	proiect	0.438	0.360	0.351
drafty	drafty	0.458	0.500	0.518
drag	trage	0.388	0.606	0.348
dragon	balaur	0.541	0.821	0.712
dragonfly	libelulă	0.571	0.373	0.357
drain	scurgere	0.277	0.470	0.222
drainage	drenaj	0.219	0.354	0.307
drained	stors	0.310	0.441	0.352
draining	drenaj	0.337	0.396	0.304
drainpipe	teava de scurgere	0.417	0.413	0.277
drake	gâscan	0.467	0.411	0.452
drama	dramă	0.430	0.755	0.481
dramaqueen	NO TRANSLATION	0.337	0.682	0.482
dramatic	dramatic	0.367	0.780	0.443
drape	decora	0.417	0.439	0.404
drapery	draperie	0.479	0.220	0.223
drastic	drastic	0.194	0.839	0.657
drat	NO TRANSLATION	0.302	0.516	0.409
draught	proiect	0.465	0.245	0.316
draw	a desena	0.704	0.449	0.481
drawback	dezavantaj	0.302	0.422	0.148
drawbridge	pod mobil	0.551	0.557	0.438
drawer	sertar	0.429	0.196	0.292
drawers	sertare	0.539	0.260	0.236
drawing	desen	0.698	0.216	0.333
dread	temut	0.153	0.792	0.368
dreaded	temut	0.122	0.706	0.460
dreadful	îngrozitor	0.092	0.786	0.348
dreadfully	respingător	0.246	0.806	0.306
dreading	dreading	0.125	0.760	0.377
dream	vis	0.844	0.157	0.328
dreamboat	dreamboat	0.776	0.491	0.458
dreamer	visător	0.820	0.394	0.455
dreaming	visare	0.854	0.320	0.336
dreamland	lumea viselor	0.844	0.471	0.566
dreams	vise	0.865	0.415	0.530
dreamt	visat	0.812	0.380	0.518
dreamy	plin de vise	0.837	0.350	0.500
dreary	mohorât	0.260	0.490	0.324
dredge	presăra	0.427	0.445	0.444
drenched	îmbibat cu apă	0.302	0.361	0.388
dress	rochie	0.760	0.300	0.345
dresser	dulap	0.604	0.398	0.473
dressmaker	croitoreasă	0.698	0.460	0.483
dressy	elegant	0.800	0.570	0.696
dribble	NO TRANSLATION	0.417	0.551	0.465
dried	uscat	0.427	0.260	0.385
drier	uscător	0.306	0.347	0.392
drift	derivă	0.316	0.520	0.375
drifted	plutit în derivă	0.312	0.542	0.310
drifter	rătăcitor	0.449	0.512	0.391
driftwood	Driftwood	0.321	0.283	0.439
drill	burghiu	0.250	0.602	0.573
drink	băutură	0.650	0.552	0.474
drinker	băutor	0.365	0.735	0.441
drinking	băut	0.562	0.459	0.317
drinks	băuturi	0.729	0.656	0.412
drip	picatură	0.392	0.193	0.175
dripping	picurare	0.302	0.257	0.267
drive	conduce	0.625	0.689	0.713
drivel	prostii	0.398	0.469	0.463
driver	conducător auto	0.553	0.538	0.637
driveway	șosea	0.612	0.392	0.689
drizzle	burniță	0.521	0.353	0.319
droll	năzdrăvan	0.459	0.573	0.422
drone	trântor	0.429	0.686	0.596
drones	drone	0.398	0.577	0.588
drool	Bale	0.385	0.398	0.204
drooping	moleşit	0.245	0.558	0.353
droopy	Droopy	0.438	0.350	0.297
drop	cădere brusca	0.479	0.321	0.291
droplet	picăturii	0.625	0.208	0.194
dropout	renunța	0.253	0.550	0.481
dropper	setter	0.333	0.216	0.236
drought	secetă	0.133	0.353	0.267
drove	NO TRANSLATION	0.541	0.528	0.623
drown	îneca	0.071	0.860	0.270
drowsiness	somnolenţă	0.260	0.194	0.303
drowsy	somnolent	0.375	0.180	0.240
drudgery	corvoadă	0.094	0.522	0.241
drug	medicament	0.214	0.790	0.453
drug dealing	trafic de droguri	0.042	0.843	0.500
drugged	drogată	0.102	0.750	0.321
druggist	farmacist	0.240	0.561	0.417
drugs	droguri	0.167	0.750	0.368
drugstore	farmacie	0.490	0.343	0.518
druid	druid	0.517	0.445	0.481
drum	Tobă	0.615	0.679	0.339
drummer	toboșar	0.646	0.700	0.564
drumming	tobele	0.594	0.750	0.426
drunk	beat	0.194	0.800	0.250
drunk driving	a conduce in stare de ebrietate	0.073	0.900	0.306
drunkard	beţiv	0.240	0.873	0.250
drunken	beat	0.155	0.849	0.250
drunkenness	beţie	0.214	0.774	0.336
dry	uscat	0.363	0.169	0.311
dryer	uscător	0.479	0.343	0.277
dryness	uscăciune	0.292	0.296	0.263
dual	dual	0.573	0.330	0.384
dualism	dualism	0.490	0.406	0.536
duality	dualitate	0.438	0.520	0.503
dub	porecli	0.510	0.480	0.387
dubious	dubios	0.414	0.480	0.198
duchess	ducesă	0.656	0.548	0.711
duck	rață	0.594	0.337	0.236
ducking	scufundare	0.344	0.573	0.294
duckling	rățușcă	0.602	0.353	0.263
ducky	bobocel	0.520	0.430	0.368
duct	conductă	0.449	0.435	0.430
ductile	ductil	0.508	0.420	0.433
dud	zdrențe	0.167	0.455	0.246
dude	Omule	0.809	0.356	0.615
duds	duds	0.347	0.311	0.339
due	datorat	0.562	0.340	0.467
duel	duel	0.271	0.696	0.589
dues	taxe	0.367	0.461	0.288
duet	duet	0.694	0.693	0.527
duffel	Duffel	0.500	0.400	0.384
dugout	pirogă	0.490	0.370	0.463
duh	zău	0.357	0.461	0.364
duke	duce	0.667	0.440	0.669
dull	plictisitor	0.194	0.120	0.185
dullard	neghiob	0.450	0.480	0.365
dumb	prost	0.188	0.330	0.151
dumbasses	dumbasses	0.316	0.590	0.363
dumbbell	halteră	0.302	0.469	0.364
dumbbitch	NO TRANSLATION	0.281	0.636	0.393
dumfound	dumfound	0.271	0.551	0.295
dumfounder	NO TRANSLATION	0.406	0.481	0.400
dummy	fictiv	0.440	0.144	0.250
dump	depozit	0.345	0.500	0.370
dumpling	găluşcă	0.580	0.321	0.360
dumps	splin	0.302	0.583	0.365
dumpster	tomberon	0.229	0.418	0.101
dun	mohorât	0.458	0.431	0.339
dunce	prost	0.188	0.327	0.146
dune	dună	0.459	0.173	0.414
dung	NO TRANSLATION	0.104	0.549	0.149
