Word	Sinhala (Sinhalese)-si	Valence	Arousal	Dominance
committal	කැපවීම	0.472	0.519	0.582
committed	කැපවී ඇත	0.710	0.542	0.712
committee	කමිටු	0.592	0.392	0.721
commodity	වෙළඳ භාණ්ඩයක්	0.615	0.394	0.537
commodore	කොමඩෝර්	0.427	0.530	0.636
common	පොදු	0.600	0.127	0.318
commoner	සාමාන්යය	0.448	0.365	0.327
commonly	බහුලව දක්නට ලැබේ	0.604	0.170	0.574
commonplace	පොදු තැනක්	0.520	0.337	0.442
commons	පොදුවේ	0.633	0.396	0.623
commonwealth	පොදුරාජ්ය මණ්ඩලයීය	0.630	0.406	0.702
commotion	ඝෝෂාවයි	0.490	0.700	0.646
communal	ජාතිවාදී	0.592	0.321	0.556
commune	කොමියුනයේ	0.500	0.488	0.655
communicable	සන්නිවේදනය කරයි	0.796	0.491	0.623
communicate	සන්නිවේදනය කරන්න	0.823	0.410	0.696
communication	සන්නිවේදන	0.837	0.400	0.649
communicative	සන්නිවේදනයයි	0.847	0.560	0.637
communicator	සන්නිවේදකයා	0.573	0.509	0.796
communion	හවුල් වීමයි	0.765	0.357	0.607
communism	කොමියුනිස්ට්වාදයයි	0.264	0.570	0.623
communist	කොමියුනිස්ට්	0.265	0.702	0.632
community	ප්රජාව	0.750	0.350	0.659
commutation	කොමියුෂාවයි	0.469	0.431	0.652
commutative	කොමියුටේෂන්	0.667	0.442	0.569
commute	ගමන් කරනවා	0.622	0.582	0.565
commuter	මගී	0.646	0.520	0.512
comp	අනු	0.573	0.450	0.371
compact	සංගත	0.458	0.417	0.673
compaction	සංයුක්තය	0.531	0.471	0.582
compactness	සංයුක්තතාව	0.582	0.352	0.454
companion	සහකාරිය	0.770	0.377	0.618
companionless	මිත්රයා	0.271	0.259	0.200
companionship	මිත්රත්වය	0.833	0.438	0.792
company	සමාගම	0.906	0.425	0.798
comparable	සංසන්දනාත්මකයි	0.562	0.443	0.458
comparative	සංසන්දනාත්මකව	0.470	0.273	0.562
comparatively	සාපේක්ෂ වශයෙන්	0.604	0.391	0.538
compare	සංසන්දනය කරන්න	0.552	0.408	0.524
comparison	සැසඳීමකි	0.583	0.456	0.492
compartment	මැදිරි	0.500	0.389	0.607
compass	මාලය	0.541	0.307	0.529
compassion	දයානුකම්පාව	0.735	0.258	0.509
compassionate	දයානුකම්පිත ය	0.857	0.404	0.411
compatibility	අනුකූල වේ	0.816	0.450	0.673
compatible	අනුකූල වේ	0.892	0.387	0.638
compel	බල කරති	0.200	0.847	0.625
compelled	බල කෙරෙයි	0.333	0.654	0.347
compelling	බල කරති	0.698	0.570	0.870
compendium	සංග්රහය	0.610	0.461	0.537
compensate	වන්දි ගෙවන්න	0.612	0.429	0.762
compensation	වන්දි	0.775	0.469	0.598
compensatory	වන්දි	0.589	0.490	0.700
compete	තරග කරනවා	0.573	0.745	0.786
competence	හැකියාවන්	0.615	0.802	0.823
competency	ප්රවීණතාවය	0.768	0.775	0.764
competent	දක්ෂයි	0.865	0.560	0.904
competition	තරඟ	0.580	0.790	0.798
competitive	තරඟකාරී	0.447	0.718	0.908
competitor	තරඟකරුවා	0.612	0.959	0.861
compilation	සම්පාදනය	0.530	0.512	0.606
compile	සම්පාදනය කරයි	0.600	0.413	0.519
complacency	උදාසීනතාවය	0.604	0.503	0.519
complacent	උදාසීනයි	0.625	0.452	0.518
complain	පැමිණිලි	0.143	0.682	0.360
complaint	පැමිණිල්ලක්	0.143	0.606	0.281
complement	අනුපූරකය වේ	0.760	0.277	0.600
complementary	අනුපූරක	0.714	0.320	0.586
complete	සම්පූර්ණයි	0.750	0.414	0.809
completed	අවසන් කර ඇත	0.823	0.357	0.777
completely	සම්පූර්ණයෙන්ම	0.730	0.370	0.690
completeness	සම්පූර්ණත්වයයි	0.823	0.433	0.769
completing	සම්පූර්ණ වේ	0.614	0.500	0.769
completion	සම්පූර්ණවීම	0.656	0.470	0.525
complex	සංකීර්ණ	0.388	0.608	0.550
complexed	සංකීර්ණ විය	0.312	0.577	0.612
complexion	පෙනුම	0.521	0.520	0.380
complexity	සංකීර්ණත්වයයි	0.479	0.620	0.595
compliance	අනුකූල	0.750	0.462	0.750
compliant	අනුකූල වේ	0.677	0.310	0.519
complicate	සංකීර්ණ වේ	0.210	0.657	0.404
complicated	සංකීර්ණයි	0.211	0.660	0.455
complication	සංකූලතාව	0.365	0.726	0.330
complicity	සැසඳුමකි	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	ප්රණාමය වේ	0.823	0.413	0.435
comply	අනුකූල වේ	0.806	0.370	0.638
complying	අනුකූල වේ	0.729	0.423	0.590
compo	කොම්පෝ	0.500	0.346	0.390
component	සංරචකයකි	0.531	0.382	0.525
compose	ලියන්න	0.639	0.432	0.694
composed	සමන්විතය	0.684	0.385	0.682
composer	නිර්මාපකයෙකු විය	0.822	0.588	0.691
composite	සංයුක්තයි	0.591	0.459	0.620
composition	සංයුතිය	0.765	0.408	0.652
compost	කොම්පෝස්ට්	0.480	0.404	0.441
composure	සංහිඳියාව	0.802	0.354	0.717
compound	සංයෝගයකි	0.635	0.385	0.735
comprehend	තේරුම් ගන්න	0.875	0.365	0.689
comprehension	තේරුම් ගැනීම	0.908	0.387	0.688
comprehensive	පුළුල්යි	0.796	0.385	0.644
compress	සම්පීඩනය කරන්න	0.406	0.412	0.460
compressed	සම්පීඩිත වේ	0.323	0.396	0.388
compressible	සංකෝචනය විය හැකිය	0.622	0.392	0.585
compression	සම්පීඩනය	0.646	0.521	0.579
compressor	කොම්ප්රෙෂරය	0.418	0.481	0.630
comprise	සමන්විත විය	0.839	0.373	0.669
compromise	සම්මුතියක්	0.677	0.520	0.805
comptroller	කර්තෘ	0.402	0.481	0.866
compulsion	බල කිරීමයි	0.118	0.760	0.604
compulsive	අව්යාජ ය	0.347	0.871	0.573
compulsory	අනිවාර්ය	0.343	0.541	0.791
computable	ගණනය කළ හැක	0.570	0.402	0.545
computation	ගණනය කිරීමකි	0.583	0.429	0.697
compute	ගණනය කරන්න	0.531	0.408	0.564
computer	පරිගණක	0.802	0.356	0.639
computerized	පරිගණක ගත කර ඇත	0.677	0.450	0.657
computing	පරිගණකකරණය	0.745	0.398	0.695
comrade	සහෝදරයා	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	සංකෝචනය	0.480	0.593	0.539
concave	අවතලයකි	0.441	0.349	0.349
conceal	වසං කිරීමට	0.312	0.436	0.306
concealed	සැඟවී තිබේ	0.344	0.363	0.352
concealment	සැඟවීමයි	0.302	0.570	0.390
concede	පිලිගනියි	0.670	0.324	0.473
conceit	කථාවයි	0.354	0.625	0.309
conceited	කල්පසු වී ඇත	0.194	0.667	0.473
conceivable	සිතා ගත හැකිය	0.730	0.350	0.613
conceive	පිළිසිඳුනේය	0.708	0.538	0.700
concentrate	සාන්ද්රණය	0.750	0.439	0.743
concentration	සාන්ද්රණය	0.735	0.500	0.722
concentric	සංකේන්ද්රීය වේ	0.730	0.479	0.635
concept	සංකල්පය	0.573	0.265	0.632
conception	සංකල්පයකි	0.694	0.490	0.614
concern	කනස්සල්ලෙනි	0.250	0.734	0.463
concerned	උත්සුක ය	0.292	0.698	0.350
concert	ප්රසංගය	0.938	0.867	0.718
concerto	concerto	0.613	0.759	0.679
concession	සහනයකි	0.588	0.423	0.615
concessional	සහනදායී	0.770	0.493	0.657
conch	කොච්	0.583	0.306	0.339
concierge	සම්මේලනය	0.480	0.343	0.343
conciliation	සමාදානයයි	0.792	0.475	0.726
concise	සංක්ෂිප්ත ය	0.583	0.298	0.620
conclave	conclave	0.573	0.440	0.611
conclude	නිගමනය කරයි	0.530	0.267	0.679
concluding	නිගමනය වේ	0.531	0.382	0.603
conclusion	නිගමනය විය	0.615	0.377	0.659
conclusive	තීරණාත්මකයි	0.500	0.427	0.745
concoction	උකහා ගන්න	0.448	0.459	0.417
concomitant	සංසන්ධනාත්මකව	0.427	0.482	0.727
concord	එකඟව	0.677	0.320	0.586
concordance	එකඟතාවයක්	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	සමපාත වේ	0.740	0.657	0.528
concrete	කොන්ක්රීට්	0.633	0.420	0.547
concubine	උපුටා ගැනීමකි	0.388	0.594	0.476
concur	එකඟ විය	0.459	0.394	0.429
concurrence	එකඟතාවය	0.764	0.627	0.613
concurrent	සමගාමී වේ	0.573	0.547	0.741
concurring	සමගාමී වේ	0.573	0.600	0.681
concussion	කැක්කුමයි	0.072	0.708	0.482
condemn	හෙලා දකිනවා	0.102	0.793	0.625
condemnation	හෙළා දකිනවා	0.133	0.725	0.449
condensation	ඝනීභවනය	0.510	0.316	0.538
condensed	සංවෘත විය	0.598	0.415	0.623
condescending	සද්කාර්යය	0.583	0.363	0.593
condescension	අඩුපාඩුකම්	0.521	0.377	0.565
condiment	පිළිකුල	0.520	0.333	0.433
condition	තත්වය	0.500	0.469	0.519
conditional	කොන්දේසි සහිතව	0.521	0.343	0.556
conditionally	කොන්දේසි සහිතව	0.396	0.419	0.617
conditioned	කොන්දේසියි	0.490	0.417	0.616
conditioner	කන්ඩිෂනර්	0.781	0.360	0.538
conditioning	කන්ඩිෂන් කිරීම	0.440	0.468	0.617
conditions	කොන්දේසි	0.551	0.441	0.593
condo	නිවැරදියි	0.439	0.288	0.607
condolence	ශෝකය පළ කරයි	0.260	0.443	0.404
condolences	ශෝකය පළ	0.198	0.480	0.288
condom	සකානඩමය	0.406	0.637	0.500
condone	දොස් පවරති	0.571	0.441	0.619
condor	කොන්ඩර්	0.573	0.388	0.519
conducive	හිතකරයි	0.775	0.479	0.679
conduct	හැසිරීම	0.453	0.510	0.750
conduction	සන්නයනයයි	0.530	0.557	0.717
conductivity	සන්නායකතාවය	0.583	0.575	0.642
conductor	කොන්දොස්තර	0.677	0.663	0.621
conduit	සන්නායකයකි	0.470	0.302	0.413
cone	කේතුවක්	0.417	0.208	0.343
confederacy	කන්ඬායම්	0.590	0.541	0.736
confederate	කොන්ෆෙඩරේෂන්	0.551	0.546	0.792
confederation	සම්මේලනය යි	0.663	0.404	0.830
confer	ඉදිරිපත් කරන්න	0.573	0.482	0.583
conference	සම්මන්ත්රණය	0.688	0.615	0.606
confess	පාපොච්චාරණය කරයි	0.360	0.712	0.431
confession	පාපොච්චාරණයකි	0.469	0.642	0.460
confessional	පාපොච්චාරණයකි	0.458	0.392	0.629
confessions	පාපෝච්චාරන	0.325	0.538	0.658
confetti	කොන්ෆෙට්ටි	0.781	0.573	0.250
confidant	විශ්වාසවන්තයි	0.837	0.633	0.631
confide	විශ්වාස කරන්න	0.669	0.472	0.595
confidence	විශ්වාසය	0.959	0.276	0.943
confident	විශ්වාසයි	0.765	0.324	0.723
confidential	රහස්ය	0.643	0.471	0.761
confidentiality	රහස්යභාවය	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	වින්යාසය	0.540	0.443	0.591
confine	සීමා කරන්න	0.327	0.551	0.538
confined	පමනක් සීමා විය	0.286	0.472	0.444
confinement	සිරගත කිරීමයි	0.333	0.656	0.520
confines	සීමාවයි	0.396	0.386	0.542
confirm	තහවුරු කරන්න	0.802	0.439	0.806
confirmation	තහවුරු කිරීම	0.812	0.480	0.692
confirmatory	සනාථනයකි	0.656	0.500	0.683
confirmed	තහවුරු කර ඇත	0.760	0.490	0.764
confiscate	රාජසන්තක කරයි	0.250	0.625	0.482
confiscation	රාජසන්තක වේ	0.208	0.706	0.586
conflagration	ගිනි තැබීමයි	0.344	0.721	0.594
conflict	ගැටුම	0.335	0.906	0.471
conflicting	ගැටුම්කාරී	0.173	0.738	0.553
confluence	බැඳී ඇත	0.677	0.598	0.565
conform	අනුකූල වේ	0.479	0.380	0.375
conformance	අනුකූලතාවය	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	අනුකූල වේ	0.645	0.363	0.579
confound	අසංගත වෙයි	0.347	0.529	0.333
confounded	කම්පා විය	0.333	0.528	0.264
confront	මුහුන දෙනු ඇත	0.281	0.760	0.746
confrontation	ගැටුමයි	0.177	0.870	0.658
confuse	ව්යාකූලයි	0.100	0.580	0.270
confused	ව්යාකූලයි	0.220	0.650	0.179
confusing	අවුල්සහගතයි	0.229	0.690	0.222
confusion	ව්යාකූලත්වය	0.255	0.667	0.277
conga	කොංගා	0.469	0.529	0.440
congenial	ප්රශංසනීයයි	0.820	0.412	0.620
congenital	සංජානනීයයි	0.448	0.434	0.427
congestion	තදබදයකි	0.271	0.654	0.491
conglomerate	සමුහයක්	0.500	0.500	0.838
conglomeration	සමූපාකාරය	0.541	0.720	0.670
congrats	සුභ පැතුම්	0.930	0.726	0.775
congratulate	සුබපැතුම්	0.927	0.724	0.784
congratulation	සුබ පැතුම්	0.948	0.780	0.717
congratulations	සුබ පැතුම්	0.960	0.755	0.719
congratulatory	ප්රශංසනීයයි	0.959	0.616	0.689
congregate	රැස්වෙලා	0.653	0.530	0.733
congregation	සභාව	0.561	0.490	0.700
congress	සම්මේලනය	0.449	0.444	0.857
congressional	කොංග්රස් මණ්ඩලයකි	0.552	0.491	0.848
congressman	කොංග්රස් මන්ඩලය	0.438	0.471	0.877
congruence	එකඟතාවයක් ඇත	0.656	0.472	0.577
conic	කොනික්	0.510	0.368	0.379
conical	කේතුකාකාර ය	0.490	0.422	0.471
conjecture	අනුමානය	0.396	0.398	0.534
conjugal	බිරිඳයි	0.698	0.510	0.688
conjugate	සංයුක්ත වේ	0.583	0.420	0.467
conjugation	සංයුජතාව	0.479	0.429	0.582
conjunction	ඒකාබද්ධයි	0.520	0.472	0.509
conjunctive	සංජානනයයි	0.487	0.444	0.639
conjure	ව්යාජය	0.385	0.679	0.645
conjuring	ව්යාජය	0.224	0.653	0.694
conk	කොන්ක්	0.340	0.469	0.404
connect	සම්බන්ධ කරන්න	0.724	0.299	0.536
connected	සම්බන්ධයි	0.816	0.550	0.612
connection	සම්බන්ධතාවය	0.729	0.560	0.655
connective	සමමුහුර්ත වේ	0.719	0.491	0.764
connoisseur	රසඥයා	0.760	0.461	0.769
conquer	ජයගන්නෙමි	0.694	0.873	0.971
conquering	ජය ගැනීම	0.760	0.873	0.936
conqueror	ජයග්රාහකයෙකි	0.604	0.809	0.930
conquest	ජය ගැනීම	0.710	0.702	0.833
conscience	හෘදය සාක්ෂිය	0.663	0.375	0.721
conscientious	හෘද සාක්ෂියකි	0.688	0.404	0.688
conscious	දැනුවත්	0.740	0.333	0.705
consciousness	විඤ්ඤාණයයි	0.840	0.483	0.755
conscription	බඳවා ගැනීමයි	0.396	0.775	0.642
consecrated	කැපකර ඇත	0.663	0.500	0.800
consecration	කැපවීම	0.771	0.418	0.804
consecutive	අනුයාත	0.663	0.418	0.643
consensual	සම්මුතික	0.663	0.417	0.655
consensus	එකඟතාවයක් ඇත	0.627	0.358	0.625
consent	කැමැත්ත පළ කරයි	0.750	0.500	0.620
consenting	කැමැත්ත පළ කරනවා	0.727	0.406	0.693
consequence	ප්රතිඵලය	0.240	0.721	0.593
consequent	ප්රතිඵලයයි	0.663	0.471	0.625
conservation	සංරක්ෂණ	0.832	0.401	0.606
conservatism	සංරක්ෂණවාදය	0.406	0.369	0.633
conservative	කොන්සර්වටිව්	0.615	0.316	0.788
conservatory	සංරක්ෂණාගාරයයි	0.635	0.240	0.729
conserve	සංරක්ෂණය	0.690	0.347	0.573
consider	සලකා බලමු	0.677	0.368	0.579
considerable	සැලකිය යුතු ප්රමාණයකි	0.653	0.314	0.683
considerate	සැලකිල්ලක් දක්වයි	0.781	0.380	0.633
consideration	සැලකිල්ලක් දක්වයි	0.589	0.380	0.687
consignee	ලබන්නා ය	0.635	0.385	0.602
consignment	තොගයක්	0.490	0.440	0.500
consist	සමන්විත විය	0.823	0.386	0.580
consistency	අනුකූලතාව	0.714	0.500	0.887
consistent	ස්ථාවරයි	0.786	0.431	0.726
consolation	සැනසීමක්	0.408	0.250	0.304
console	කොන්සෝලය	0.625	0.398	0.415
consoled	සැනසුවේය	0.700	0.343	0.452
consolidate	තහවුරු වේ	0.880	0.440	0.870
consolidated	ඒකාබද්ධයි	0.700	0.366	0.784
consolidation	ඒකාබද්ධ කිරීමයි	0.604	0.445	0.776
consonant	ව්යාංජනාක්ෂර	0.500	0.347	0.417
consort	සයිප්රසයක්	0.632	0.509	0.630
conspicuous	කැපී පෙනේ	0.479	0.520	0.596
conspiracy	කුමන්ත්රණයකි	0.125	0.787	0.652
conspirator	කුමන්ත්රණකරුවෙකි	0.271	0.786	0.707
conspire	කුමන්ත්රණය කරයි	0.206	0.740	0.520
constable	කොස්තාපල්වරයෙක්	0.573	0.667	0.764
constancy	අඛණ්ඩතාව	0.786	0.443	0.763
constant	නියතය	0.740	0.296	0.686
constantly	නිරන්තරයෙන්	0.663	0.561	0.700
constellation	තාරකා මණ්ඩලය	0.719	0.533	0.775
consternation	තැතිගැන්මකි	0.167	0.680	0.469
constipation	බද්ධය	0.079	0.612	0.231
constituency	ඡන්ද කොට්ඨාසයකි	0.500	0.480	0.696
constituent	සංඝටකය	0.573	0.500	0.827
constituents	සංඝටක	0.573	0.414	0.833
constitute	සෑදේ	0.812	0.349	0.906
constitution	ව්යවස්ථාවයි	0.590	0.380	0.889
constitutional	ව්යවස්ථාදායකය	0.633	0.418	0.827
constitutionality	ව්යවස්ථානුකූලභාවය	0.612	0.439	0.853
constrain	සීමා සහිතයි	0.261	0.500	0.500
constrained	බලපාන ලද	0.135	0.537	0.357
constraint	බාධකය	0.323	0.550	0.481
construct	ඉදිකිරීම	0.750	0.648	0.792
construction	ඉදිකිරීම	0.848	0.612	0.759
constructive	ඵලදායී	0.860	0.570	0.812
construe	තේරුම් ගන්න	0.602	0.519	0.553
consul	කොන්සල්	0.573	0.354	0.688
consulate	කොන්සියුලේට් කාර්යාලය	0.561	0.453	0.694
consult	විමසන්න	0.755	0.370	0.441
consultant	උපදේශකයෙකි	0.770	0.344	0.808
consultation	උපදේශනය	0.660	0.463	0.625
consume	පරිභෝජනය කරයි	0.427	0.620	0.509
consumer	පාරිභෝගික	0.507	0.551	0.677
consuming	පරිභෝජනය කරයි	0.573	0.541	0.536
consummate	අද්විතීයයි	0.551	0.540	0.558
consummation	අවාසනාවකි	0.583	0.676	0.661
consumption	පරිභෝජනය	0.390	0.531	0.538
contact	අමතන්න	0.719	0.424	0.526
contagion	වසංගතය	0.208	0.630	0.535
contagious	වසංගතයකි	0.184	0.725	0.400
contain	අඩංගු	0.542	0.490	0.658
container	කන්ටේනර්	0.551	0.396	0.561
containment	සීමා කිරීමයි	0.411	0.491	0.618
contaminate	අපිරිසිදු ය	0.140	0.611	0.426
contaminated	දූෂිතයි	0.040	0.500	0.368
contamination	දූෂණය	0.125	0.610	0.375
contemplate	සිතා බලන්න	0.740	0.347	0.642
contemplation	සිතුවිල්ලකි	0.552	0.324	0.627
contemplative	ඒ	0.729	0.308	0.739
contemporaneous	සමකාලීනව	0.640	0.373	0.591
contemporary	සමකාලීන	0.720	0.365	0.569
contempt	පිලිකුලකි	0.206	0.635	0.396
contemptible	පිලිකුලකි	0.146	0.657	0.471
contemptuous	අවඥාව	0.204	0.500	0.375
contend	තර්ක කරන්න	0.510	0.657	0.731
contender	තරඟකරුවා	0.480	0.790	0.681
contending	තර්ක කරයි	0.490	0.698	0.716
content	අන්තර්ගතය	0.764	0.296	0.559
contented	සෑහීමකට පත් විය	0.857	0.612	0.746
contention	තර්කයකි	0.375	0.510	0.738
contentious	විවාදශීලීයි	0.422	0.573	0.637
contentment	සෑහීමකට පත්වේ	0.875	0.610	0.782
contents	අන්තර්ගතය	0.656	0.375	0.550
contest	තරගයයි	0.667	0.698	0.717
contestant	තරගකරුවෙකි	0.760	0.530	0.602
context	සන්දර්භය	0.531	0.300	0.553
contiguous	අසීරුයි	0.375	0.450	0.500
continence	මහද්වීපයකි	0.450	0.396	0.469
continent	මහාද්වීපයයි	0.551	0.373	0.833
continental	මහද්වීපික	0.486	0.350	0.755
contingency	අහඹු සිදුවීමකි	0.396	0.500	0.670
contingent	බලසම්පන්නය	0.470	0.531	0.659
continual	අඛණ්ඩව	0.500	0.423	0.685
continually	අඛණ්ඩව	0.646	0.438	0.698
continuance	අඛණ්ඩව	0.729	0.510	0.652
continuation	අඛණ්ඩව	0.615	0.470	0.566
continue	ඉදිරියට යන්න	0.630	0.427	0.612
continued	අඛණ්ඩව	0.635	0.440	0.500
continuing	අඛන්ඩව පවතී	0.667	0.500	0.520
continuity	අඛන්ඩතාවය	0.781	0.439	0.684
continuous	අඛණ්ඩව	0.625	0.509	0.580
continuously	අඛණ්ඩව	0.719	0.417	0.702
continuum	අඛණ්ඩව	0.677	0.390	0.491
contour	සමෝච්ඡයකි	0.589	0.265	0.414
contraband	ගංවතුර	0.177	0.875	0.670
contraception	ප්රතිංධිසරාේධයකි	0.296	0.518	0.525
contract	කොන්ත්රාත්තුව	0.594	0.412	0.636
contracted	හැකිලී ගියේය	0.344	0.557	0.449
contractile	හැකිලී පවතී	0.480	0.586	0.569
contracting	හැකිලීම	0.594	0.490	0.769
contraction	හැකිලීම	0.292	0.755	0.603
contractor	ෙකොන්තාත්කරු	0.592	0.479	0.727
contradict	පරස්පරයි	0.160	0.598	0.482
contradiction	ප්රතිවිරෝධතාවක්	0.250	0.660	0.377
contradictory	පරස්පරයි	0.365	0.651	0.421
contraption	කථාව	0.448	0.590	0.491
contrary	පටහැනි ය	0.327	0.449	0.338
contrast	ප්රතිවිරුද්ධයයි	0.480	0.406	0.520
contrasted	පරස්පරයි	0.521	0.538	0.491
contravene	පටහැනි ය	0.357	0.618	0.472
contravention	උල්ලංඝනය කිරීමකි	0.344	0.627	0.593
contribute	දායකත්වයක් සපයයි	0.806	0.350	0.795
contribution	දායකත්වය	0.854	0.452	0.760
contributor	දායකයාය	0.844	0.510	0.760
contrite	සමබර විය	0.347	0.363	0.473
contrition	හැඬීමයි	0.347	0.583	0.463
contrived	උපකාරී වේ	0.408	0.530	0.458
control	පාලනය කිරීම	0.729	0.352	0.808
controller	පාලකයයි	0.469	0.712	0.868
controlling	පාලනය කිරීම	0.490	0.441	0.885
controversial	මතභේදාත්මකයි	0.271	0.858	0.538
controversy	මතභේදය	0.250	0.819	0.600
contusion	ව්යාජය	0.167	0.565	0.509
conundrum	හිසරදයකි	0.354	0.524	0.408
convalescent	පුනරුත්ථාපනය වේ	0.458	0.480	0.269
convection	සංවහනයයි	0.521	0.494	0.526
convene	කැඳවයි	0.583	0.676	0.636
convenience	පහසුව	0.781	0.448	0.613
conveniences	පහසුව	0.802	0.412	0.693
convenient	පහසුය	0.846	0.491	0.574
convent	කන්යාරාමය	0.480	0.217	0.594
convention	සම්මුතිය	0.622	0.622	0.704
conventional	සාම්ප්රදායික	0.594	0.292	0.634
converge	අභිසාරී වේ	0.635	0.471	0.539
convergence	අභිසරණය කිරීම	0.551	0.491	0.625
convergent	අභිසාරී වේ	0.781	0.490	0.696
conversant	සංවාද කරන්නා	0.724	0.360	0.542
conversation	සාකච්ඡාව	0.750	0.510	0.609
conversational	සංවාදයකි	0.719	0.431	0.596
conversationalist	සංවාදය	0.719	0.467	0.667
converse	සංවාදය	0.594	0.406	0.598
conversing	සංවාදය	0.755	0.409	0.442
conversion	පරිවර්තනයයි	0.480	0.605	0.736
convert	පරිවර්තනය කරන්න	0.551	0.538	0.704
converted	බවට පරිවර්තනය විය	0.663	0.418	0.686
convertible	පරිවර්තනය කළ හැකිය	0.542	0.529	0.717
convex	උත්තල	0.438	0.427	0.445
convexity	උත්තල	0.449	0.354	0.484
convey	කථාව	0.719	0.633	0.708
conveyance	පැවරීම	0.615	0.520	0.455
conveyancing	උකහා ගැනීම	0.375	0.479	0.663
convict	වරදකරු වෙයි	0.177	0.840	0.477
conviction	ඒත්තු ගැන්වීමයි	0.615	0.704	0.826
convince	ඒත්තු ගැන්වීමට	0.708	0.539	0.763
convinced	ඒත්තු	0.750	0.500	0.630
convincing	ඒත්තු ගැන්වීමයි	0.760	0.527	0.900
convocation	කැඳවයි	0.538	0.611	0.663
convoluted	සංවේදීයි	0.323	0.614	0.433
convolution	සංයුතියයි	0.417	0.559	0.527
convoy	රැදවුම් රැලියකි	0.500	0.671	0.639
coo	ප්රධාන මෙහෙයුම් නිලධාරී	0.490	0.439	0.500
cook	උයන්න	0.847	0.500	0.412
cookbook	පිසිනුයි	0.602	0.346	0.398
cooker	කුකර්	0.592	0.373	0.407
cookery	උයන්න	0.633	0.368	0.345
cookie	කුකීස්	0.792	0.306	0.250
cookies	කුකීස්	0.823	0.451	0.316
cooking	පිසින	0.694	0.510	0.434
cookout	පිස්සන්	0.680	0.406	0.482
cool	හොඳයි	0.885	0.540	0.781
coolant	සිසිලනය	0.720	0.412	0.456
cooler	සිසිල්	0.664	0.375	0.460
cooling	සිසිලස	0.469	0.324	0.392
coolness	කමක් නැහැ	0.490	0.307	0.548
coon	යන්නේ ය	0.490	0.460	0.400
coop	කොකෝවා	0.612	0.445	0.650
cooperate	සහයෝගී වේ	0.898	0.451	0.582
cooperating	සහයෝගී වේ	0.760	0.390	0.693
cooperation	සහයෝගිතාවයි	0.847	0.473	0.686
cooperative	සමුපකාරය	0.816	0.461	0.670
coordinate	සම්බන්ධීකරණය කිරීම	0.698	0.429	0.694
coordination	සම්බන්ධීකරණය කිරීම	0.677	0.454	0.789
coordinator	සම්බන්ධීකාරක	0.750	0.510	0.850
cop	පොලිස්කාරයා	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	නරකයි	0.592	0.647	0.709
copier	කොපියර්	0.459	0.345	0.390
copilot	කොපිලෝට්	0.640	0.538	0.573
coping	හැසිරීම	0.562	0.630	0.613
copious	බහුලයි	0.427	0.462	0.527
copper	තඹ	0.580	0.260	0.500
copter	කොපර්	0.571	0.704	0.569
copy	පිටපත	0.460	0.240	0.263
copycat	අනුලකුණු	0.449	0.580	0.443
copying	පිටපත් කිරීම	0.448	0.315	0.404
copyright	කතුහිමිකම	0.458	0.402	0.663
coral	කොරල්පර	0.802	0.231	0.425
coral snake	කොරල් සර්පයා	0.276	0.712	0.607
cord	ලණුව	0.388	0.378	0.358
cordial	සුහදශීලීයි	0.823	0.312	0.482
cordless	රැහැන් රහිතයි	0.667	0.441	0.528
cordon	කෝඩෝන	0.469	0.317	0.380
corduroy	වෙඩි	0.570	0.324	0.357
core	හරය	0.721	0.378	0.540
cork	කිරළ	0.347	0.250	0.281
corkscrew	සර්පයා	0.427	0.443	0.445
corn	ඉරිඟු	0.594	0.196	0.292
cornball	කෝන්බෝල්	0.479	0.378	0.325
cornbread	බඩ ඉරිඟු	0.643	0.304	0.302
cornea	රෝසයි	0.521	0.346	0.443
corned	කූටප්රාප්තිය	0.459	0.441	0.425
corner	කෙළවරක	0.400	0.296	0.366
cornerstone	කොන්ස්ටන්ටයි	0.550	0.388	0.596
cornet	කෝනට්	0.507	0.520	0.415
cornfield	කෙටිය	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	කොන්නිකීස්	0.458	0.441	0.295
cornstarch	ඉරිඟු	0.643	0.299	0.337
corny	රළුයි	0.448	0.370	0.221
corollary	බලපාන්නකි	0.458	0.469	0.366
corona	කොරෝනා	0.818	0.439	0.745
coronary	කිරීටක	0.567	0.613	0.509
coronation	කිරීටයට	0.792	0.592	0.836
coroner	මල්ලී	0.323	0.558	0.526
corporal	කෝල්	0.582	0.490	0.596
corporate	සංස්ථාපිතයි	0.592	0.454	0.745
corporation	සංස්ථා	0.429	0.332	0.873
corporeal	කාණඩය	0.520	0.350	0.461
corps	සේනාංක	0.551	0.453	0.483
corpse	මළ සිරුර	0.094	0.657	0.232
