Word	Zulu-zu	Valence	Arousal	Dominance
disconnection	ukuxhumeka	0.167	0.283	0.277
disconnects	unqamula	0.256	0.357	0.241
discontent	ukunganeliseki	0.240	0.530	0.263
discontinuance	ukuyeka	0.123	0.741	0.337
discontinue	yeka	0.354	0.396	0.349
discontinuity	ukuyeka	0.303	0.439	0.250
discontinuous	ukuyeka	0.233	0.409	0.316
discord	ukungavumelani	0.115	0.882	0.465
discount	Isaphulelo	0.724	0.530	0.302
discounted	Isaphulelo	0.677	0.471	0.430
discourage	khuthaza	0.184	0.443	0.267
discouraged	udangele	0.220	0.304	0.090
discouragement	ukudangala	0.112	0.319	0.206
discouraging	ukudikibala	0.167	0.469	0.281
discourse	inkulumo	0.410	0.550	0.803
discover	thola	0.771	0.793	0.673
discovery	ukutholakala	0.823	0.627	0.814
discredit	ukuhlambalaza	0.075	0.529	0.355
discredited	ikhanseliwe	0.112	0.491	0.182
discreet	NO TRANSLATION	0.552	0.216	0.532
discrepancy	ukungafani	0.260	0.643	0.417
discrete	i-discrete	0.585	0.231	0.429
discretion	ukuqonda	0.552	0.320	0.685
discretionary	discretionary	0.520	0.365	0.446
discriminate	ukubandlulula	0.125	0.761	0.366
discriminating	ukubandlulula	0.160	0.783	0.462
discrimination	ukubandlululwa	0.051	0.724	0.379
discus	i-discus	0.542	0.423	0.343
discuss	xoxisana	0.396	0.769	0.509
discussion	ingxoxo	0.333	0.842	0.536
disdain	zidelele	0.153	0.446	0.441
disdainful	ukunganaki	0.097	0.480	0.263
disease	izifo	0.041	0.539	0.333
diseased	isifo	0.123	0.510	0.134
disembodied	ehlanjululwe	0.167	0.620	0.412
disengage	khubaza	0.406	0.529	0.304
disengagement	ukuxoshwa	0.327	0.373	0.395
disfigured	ukuphazamiseka	0.153	0.613	0.336
disgrace	ukuhlazeka	0.061	0.531	0.331
disgraced	behlazekile	0.071	0.661	0.250
disgraceful	ihlazo	0.082	0.702	0.240
disgruntled	adidekile	0.104	0.658	0.442
disguise	zifihla	0.573	0.694	0.431
disguised	zifihliwe	0.500	0.615	0.326
disgust	ukudeka	0.052	0.775	0.317
disgusted	edakiwe	0.051	0.773	0.274
disgusting	ezinengekayo	0.031	0.796	0.245
dish	isidlo	0.552	0.255	0.264
disheartened	edangele	0.153	0.343	0.238
disheartening	ukuphazamisa	0.010	0.353	0.224
dishonest	ukungathembeki	0.191	0.491	0.163
dishonesty	ukungathembeki	0.094	0.592	0.348
dishonor	ukuhlazeka	0.104	0.620	0.185
dishonorable	ihlazo	0.112	0.641	0.280
dishwasher	i-dishwasher	0.480	0.296	0.324
disillusionment	ukudumazeka	0.051	0.519	0.190
disinclination	ukungcola	0.125	0.491	0.330
disincline	ukungafuni	0.458	0.454	0.278
disinclined	azinqatshelwe	0.385	0.442	0.364
disinfect	ukukhipha amagciwane	0.448	0.388	0.648
disinfectant	i-disinfectant	0.531	0.429	0.460
disinfection	ukuchithwa kwe-disinfection	0.517	0.556	0.473
disinformation	i-disinformation	0.230	0.577	0.260
disingenuous	ukunganaki	0.194	0.509	0.204
disintegrate	ukuhlukana	0.143	0.660	0.364
disintegration	ukuhlukana	0.094	0.551	0.381
disinterested	engathandeki	0.398	0.284	0.392
disjoint	disjoint	0.351	0.385	0.322
disjointed	disjointed	0.323	0.518	0.365
disjunctive	ukuxuba	0.286	0.481	0.400
disk	disk	0.573	0.423	0.412
diskette	diskette	0.531	0.255	0.391
dislike	ungathandi	0.156	0.406	0.321
disliked	ayithandi	0.062	0.510	0.221
disliking	ukuphazamiseka	0.163	0.637	0.366
dislocated	ukuxoshwa	0.125	0.625	0.200
dislocation	ukuhlukanisa	0.229	0.565	0.373
dislodge	khipha	0.214	0.769	0.356
disloyal	ukungathembeki	0.062	0.582	0.245
disloyalty	ukungathembeki	0.187	0.716	0.267
dismal	kuphazamisekile	0.194	0.450	0.192
dismantle	ukuqeda	0.347	0.644	0.462
dismay	ukuphazamiseka	0.314	0.681	0.459
dismayed	behluzekile	0.165	0.735	0.389
dismemberment	ukuqedwa	0.104	0.860	0.470
dismiss	vula	0.167	0.541	0.509
dismissal	ukuxoshwa	0.153	0.723	0.271
dismissive	ukulahla	0.188	0.541	0.430
dismount	dismount	0.361	0.423	0.391
disobedience	ukungalaleli	0.051	0.868	0.369
disobedient	abangalaleli	0.276	0.706	0.353
disobey	ungamlaleli	0.143	0.556	0.491
disorder	ukuphazamiseka	0.115	0.816	0.218
disordered	ukuphazamiseka	0.210	0.714	0.288
disorderly	ngokungahlelekile	0.188	0.748	0.385
disorganized	ukungahlehlisi kahle	0.052	0.507	0.184
disorientation	ukukhathazeka	0.163	0.472	0.212
disoriented	ukuphazamiseka	0.227	0.643	0.227
disown	ukuphika	0.153	0.637	0.368
disparage	ukuphazamiseka	0.092	0.663	0.336
disparaging	ukuphazamisa	0.102	0.626	0.411
disparate	hlukanisa	0.438	0.500	0.368
disparity	ukungafani	0.208	0.482	0.361
dispassionate	abanesibindi	0.199	0.217	0.218
dispatch	ukuthumela	0.317	0.417	0.555
dispatcher	dispatcher	0.365	0.704	0.652
dispel	qeda	0.388	0.402	0.411
dispensary	i-dispensary	0.406	0.380	0.606
dispensation	ukuphelelwa isikhathi	0.388	0.462	0.490
dispense	vula	0.561	0.520	0.518
dispenser	dispenser	0.583	0.392	0.470
dispersal	ukuhlakazeka	0.388	0.507	0.421
disperse	ukusabalalisa	0.375	0.569	0.434
dispersed	zahlakazeka	0.344	0.490	0.274
dispersion	ukuhlakazeka	0.270	0.604	0.350
dispirited	baphambene	0.204	0.280	0.142
displace	susa	0.424	0.541	0.454
displaced	ababalekile	0.281	0.472	0.291
displacement	ukufuduka	0.276	0.531	0.481
displacency	ukuhlukumezeka	0.500	0.528	0.642
display	ukubonisa	0.677	0.325	0.400
displease	ungajabulisi	0.021	0.702	0.286
displeased	ungathandeki	0.135	0.690	0.400
displeasure	ukungajabuli	0.115	0.559	0.250
disposable	ilahlwa	0.271	0.439	0.250
disposal	ukulahla	0.135	0.608	0.396
dispose	lahla	0.548	0.538	0.559
disposed	zilahlwa	0.688	0.441	0.625
disposition	isimo sengqondo	0.663	0.542	0.734
dispossessed	ukuxoshwa	0.354	0.577	0.331
disprove	phikisa	0.375	0.625	0.613
dispute	impikiswano	0.219	0.750	0.585
disqualification	ukungafanelekile	0.066	0.677	0.330
disqualified	ukungafanelekile	0.129	0.464	0.232
disqualify	ukungafanelekile	0.208	0.595	0.267
disquieted	ukukhathazeka	0.229	0.850	0.290
disregard	unganaki	0.177	0.647	0.308
disregarded	ukunganakwa	0.260	0.458	0.283
disrelish	hlekisa	0.375	0.471	0.304
disreputable	okungahlonishwa	0.104	0.688	0.353
disrepute	hlekisa	0.208	0.630	0.292
disrespect	ukungahloniphi	0.062	0.637	0.302
disrespectful	ukungabi nhlonipho	0.031	0.694	0.273
disrupt	ukuphazamisa	0.265	0.640	0.349
disrupting	ukuphazamisa	0.186	0.557	0.339
disruption	ukuphazamiseka	0.235	0.735	0.436
disruptive	ukuphazamisa	0.255	0.755	0.575
dissatisfaction	ukunganeliseki	0.115	0.663	0.202
dissatisfied	enganelisekile	0.042	0.561	0.291
dissect	dissect	0.367	0.750	0.595
dissection	dissection	0.276	0.632	0.462
disseminate	ukusabalalisa	0.562	0.608	0.750
dissemination	ukusakaza	0.476	0.551	0.583
dissension	ukungezwani	0.250	0.618	0.414
dissent	ukuphikisana	0.300	0.655	0.407
dissenting	ukuphikisana	0.208	0.552	0.366
dissertation	i-dissertation	0.312	0.575	0.575
disservice	hlela	0.250	0.794	0.480
dissident	abahlali	0.350	0.582	0.413
dissimilar	ahlukanise	0.276	0.461	0.472
dissipate	shiya	0.385	0.368	0.355
dissipated	zihlakazekile	0.281	0.421	0.231
dissociation	ukuhlukaniswa	0.135	0.555	0.471
dissociative	dissociative	0.281	0.615	0.397
dissolution	ukuchithwa	0.204	0.464	0.349
dissolve	qhafaza	0.271	0.490	0.410
dissonance	dissonance	0.173	0.471	0.336
dissuade	vala	0.482	0.500	0.350
distal	distal	0.410	0.401	0.438
distance	ibanga	0.233	0.317	0.418
distant	kude	0.229	0.324	0.269
distaste	ukuphazamisa	0.184	0.625	0.370
distasteful	ukuphazamiseka	0.264	0.676	0.222
distillate	distillate	0.500	0.347	0.382
distillation	iziphuzo zazihluzwayo	0.396	0.436	0.575
distilled	distilled	0.427	0.573	0.500
distinct	okuhlukile	0.542	0.578	0.509
distinction	ukuhlukaniswa	0.584	0.571	0.750
distinctive	okuhlukile	0.885	0.520	0.604
distinguish	hlukanisa	0.675	0.471	0.600
distinguishable	ukuhlukaniswa	0.635	0.530	0.727
distinguished	ehlukile	0.823	0.593	0.759
distinguishing	ukuhlukanisa	0.622	0.363	0.640
distort	ukuhlanekezela	0.100	0.740	0.366
distorted	iphikisiwe	0.250	0.521	0.280
distortion	ukuhlanekezela	0.299	0.570	0.380
distract	ukuphazamisa	0.241	0.609	0.336
distracted	ukuphazamiseka	0.194	0.392	0.213
distracting	ukuphazamisa	0.445	0.583	0.400
distraction	ukuphazamisa	0.402	0.557	0.390
distraught	ukuphazamiseka	0.115	0.903	0.264
distress	ukucindezeleka	0.073	0.840	0.396
distressed	ukucindezeleka	0.143	0.771	0.324
distressing	ukucindezeleka	0.075	0.750	0.375
distribute	ukusabalalisa	0.643	0.596	0.709
distribution	ukusatshalaliswa	0.635	0.548	0.788
distributor	umsabalalisi	0.702	0.447	0.718
district	isifunda	0.438	0.327	0.660
distrust	ukungathembeki	0.060	0.670	0.276
disturb	ukuphazamisa	0.175	0.760	0.481
disturbance	ukuphazamiseka	0.146	0.907	0.404
disturbed	ukuphazamiseka	0.125	0.870	0.305
disturbing	ukuphazamisa	0.146	0.792	0.439
disuse	ungasebenzisi	0.229	0.229	0.202
disused	ukuxoshwa	0.250	0.302	0.186
ditch	umgodi	0.357	0.364	0.322
ditto	kusho	0.449	0.418	0.411
ditty	imithi	0.470	0.433	0.334
diurnal	i-diurnal	0.714	0.296	0.443
diva	diva	0.660	0.657	0.596
divan	NO TRANSLATION	0.750	0.202	0.262
dive	dive	0.583	0.531	0.500
diver	diver	0.594	0.520	0.564
diverge	hlukana	0.375	0.657	0.520
divergence	ukuhlukana	0.429	0.615	0.687
divergent	ukuhlukana	0.449	0.660	0.587
diverging	ehlukanisa	0.417	0.613	0.573
divers	abahlukahlukene	0.583	0.580	0.602
diverse	ahlukene	0.562	0.519	0.604
diversified	ezihlukahlukene	0.602	0.538	0.549
diversify	ukuhlukanisa	0.656	0.588	0.464
diversion	ukuphambukisa	0.740	0.821	0.714
diversionary	ukuhlukahluka	0.551	0.587	0.300
diversity	ukuhlukahluka	0.806	0.472	0.711
divert	shintsha	0.344	0.622	0.407
diverting	ukuphambukisa	0.396	0.571	0.537
divest	hlukana	0.365	0.547	0.424
divested	ihlukanisiwe	0.333	0.449	0.311
divestment	ukuhlukana	0.302	0.509	0.382
divide	hlukana	0.333	0.520	0.417
divided	ihlukaniswe	0.271	0.623	0.391
dividend	i-dividend	0.583	0.491	0.566
divination	ukubhula	0.500	0.650	0.545
divine	ophezulu	0.918	0.571	0.885
divinity	ubuNkulunkulu	0.896	0.559	0.774
divisible	ukuhlukaniswa	0.323	0.462	0.411
division	ukuhlukana	0.370	0.481	0.472
divisor	hlukanisa	0.344	0.517	0.455
divorce	isehlukaniso	0.042	0.700	0.385
divorcee	isihlukaniso	0.153	0.610	0.481
divulge	vula	0.531	0.718	0.467
divvy	hlukana	0.351	0.462	0.429
dizziness	isiyezi	0.229	0.555	0.254
dizzy	udizizi	0.199	0.582	0.193
do	yenza	0.670	0.548	0.536
doable	kudingeke	0.760	0.404	0.675
doc	i-doc	0.458	0.317	0.392
docile	ukuphoqa	0.604	0.259	0.264
dock	idokodo	0.490	0.409	0.481
docked	i-docked	0.281	0.754	0.398
docket	idokhumenti	0.505	0.509	0.607
docking	i-docking	0.354	0.596	0.587
doctor	udokotela	0.700	0.531	0.861
doctorate	udokotela	0.776	0.479	0.841
doctrinal	izimfundiso	0.510	0.373	0.673
doctrine	imfundiso	0.500	0.394	0.769
document	umbhalo	0.594	0.240	0.667
documentary	i-documentary	0.622	0.213	0.596
documentation	imibhalo	0.719	0.290	0.667
documents	imibhalo	0.530	0.250	0.587
dodge	dodge	0.333	0.760	0.509
dodger	i-dodger	0.427	0.454	0.490
dodging	ukudida	0.396	0.654	0.382
dodgy	dodgy	0.281	0.510	0.254
dodo	dodo	0.438	0.306	0.353
doe	doe	0.550	0.336	0.336
doer	umenzi	0.724	0.550	0.728
dog	inja	0.704	0.500	0.407
dogface	i-dogface	0.219	0.470	0.264
dogged	ifakiwe	0.255	0.750	0.594
doggy	i-doggy	0.646	0.491	0.404
doghouse	i-doghouse	0.438	0.417	0.340
dogma	imfundiso	0.530	0.460	0.719
dogmatic	i-dogmatic	0.448	0.520	0.654
dogsick	NO TRANSLATION	0.571	0.490	0.377
doings	izenzo	0.604	0.491	0.705
doit	NO TRANSLATION	0.500	0.519	0.392
dojo	dojo	0.500	0.435	0.455
doldrums	izibhamu	0.229	0.425	0.266
dole	dole	0.448	0.402	0.348
doll	idoli	0.729	0.321	0.330
dollar	idola	0.755	0.632	0.694
dollhouse	udokotela	0.643	0.245	0.363
dolor	NO TRANSLATION	0.167	0.635	0.375
dolphin	ihlengethwa	0.776	0.350	0.414
domain	isizinda	0.573	0.549	0.828
dome	dome	0.620	0.398	0.509
domestic	ezifuywayo	0.729	0.327	0.500
domesticated	ezifuywayo	0.635	0.360	0.294
domestication	ukufuya	0.594	0.390	0.435
domicile	domicile	0.604	0.292	0.529
domiciled	domiciled	0.542	0.340	0.516
dominance	ukubusa	0.542	0.775	0.839
dominant	ephezulu	0.406	0.854	0.893
dominate	lawula	0.439	0.814	0.953
dominating	ukubusa	0.427	0.769	0.902
domination	ukubusa	0.505	0.786	0.959
dominatrix	dominatrix	0.390	0.727	0.709
dominion	umbuso	0.542	0.704	0.890
domino	domino	0.594	0.510	0.473
don	don	0.646	0.454	0.702
donate	banikele	0.774	0.462	0.577
donation	umnikelo	0.792	0.398	0.602
donkey	imbongolo	0.406	0.367	0.245
donor	umnikeli	0.714	0.490	0.653
dontlikeyou	NO TRANSLATION	0.055	0.500	0.282
dontmess	NO TRANSLATION	0.396	0.482	0.440
dontmesswithme	dontmesswithme	0.312	0.635	0.440
dontpanic	i-dontpanic	0.469	0.465	0.425
dontunderstand	NO TRANSLATION	0.219	0.357	0.271
doodle	i-doodle	0.604	0.402	0.376
doom	inhlekelele	0.073	0.750	0.442
doomed	ukubhujiswa	0.041	0.755	0.301
doomsday	inhlekelele	0.125	0.861	0.670
door	umnyango	0.549	0.189	0.421
doorbell	umnyango	0.564	0.500	0.307
doorknob	ibhokisi lokusebenzela	0.406	0.553	0.462
doorman	umnyango womnyango	0.570	0.371	0.491
doormat	doormat	0.458	0.269	0.267
doornail	umnyango	0.459	0.370	0.423
doorstep	umnyango	0.531	0.274	0.391
doorway	umnyango	0.573	0.304	0.496
dopamine	i-dopamine	0.548	0.469	0.426
dope	dope	0.295	0.855	0.425
dopey	dopey	0.320	0.380	0.365
dork	udoki	0.272	0.519	0.361
dorky	dorky	0.302	0.480	0.390
dorm	dorm	0.719	0.194	0.327
dormant	ihlezi	0.385	0.245	0.245
dormitory	indawo yokulala	0.633	0.204	0.382
dorsal	ukuhlehlisa	0.449	0.360	0.445
dosage	isilinganiso	0.344	0.450	0.490
dose	umthamo	0.458	0.490	0.427
dossier	i-dossier	0.357	0.380	0.544
dot	ichashazi	0.434	0.290	0.391
doting	ukuphanga	0.888	0.415	0.426
dotted	i-dotted	0.480	0.347	0.426
dotty	i-dotty	0.375	0.402	0.393
double	kabili	0.677	0.378	0.569
doubled	kabili	0.427	0.536	0.560
doublet	i-doublet	0.420	0.431	0.500
doubling	kuphinda kabili	0.459	0.452	0.464
doubt	ukungabaza	0.395	0.351	0.231
doubtful	ngokungangabazi	0.250	0.465	0.241
doubting	ukungabaza	0.224	0.560	0.189
doubtless	ngokungangabazi	0.688	0.415	0.689
doubts	ukungabaza	0.306	0.448	0.305
douche	i-douche	0.490	0.413	0.397
douchebags	ama-douchebags	0.327	0.587	0.366
dough	inhlama	0.588	0.229	0.391
doughboy	i-doughboy	0.365	0.443	0.396
doughnut	donut	0.663	0.380	0.279
dour	dour	0.360	0.404	0.325
douse	vula	0.365	0.453	0.412
dove	ijuba	0.729	0.235	0.437
down	phansi	0.208	0.330	0.264
downcast	phansi	0.071	0.500	0.222
downer	phansi	0.120	0.594	0.226
downfall	ukuwa	0.200	0.717	0.182
downfield	phansi	0.521	0.330	0.380
downhearted	udangele	0.119	0.461	0.255
downhill	wehla	0.292	0.573	0.279
download	ukulanda	0.602	0.490	0.503
downpour	imvula	0.328	0.602	0.481
downright	kulungile	0.625	0.454	0.679
downriver	phansi	0.542	0.469	0.279
downside	phansi	0.190	0.400	0.246
downtime	isikhathi sokuphumula	0.240	0.226	0.324
downward	phansi	0.188	0.347	0.255
downy	phansi	0.630	0.170	0.255
dowry	dowry	0.604	0.453	0.544
doze	doze	0.592	0.200	0.405
dozen	iningi	0.583	0.343	0.425
drab	udonsa	0.327	0.300	0.242
draft	uhlaka	0.438	0.360	0.351
drafty	ukudweba	0.458	0.500	0.518
drag	donsela	0.388	0.606	0.348
dragon	idrako	0.541	0.821	0.712
dragonfly	i-dragonfly	0.571	0.373	0.357
drain	vula	0.277	0.470	0.222
drainage	amanzi	0.219	0.354	0.307
drained	idliwe	0.310	0.441	0.352
draining	ukukhipha	0.337	0.396	0.304
drainpipe	khipha	0.417	0.413	0.277
drake	idrake	0.467	0.411	0.452
drama	umdlalo	0.430	0.755	0.481
dramaqueen	dramaqueen	0.337	0.682	0.482
dramatic	okumangalisayo	0.367	0.780	0.443
drape	ukudweba	0.417	0.439	0.404
drapery	ukuphefumula	0.479	0.220	0.223
drastic	ekulu kakhulu	0.194	0.839	0.657
drat	NO TRANSLATION	0.302	0.516	0.409
draught	uhlaka	0.465	0.245	0.316
draw	draw	0.704	0.449	0.481
drawback	impendulo	0.302	0.422	0.148
drawbridge	i-drawbridge	0.551	0.557	0.438
drawer	idayi	0.429	0.196	0.292
drawers	abadwebi	0.539	0.260	0.236
drawing	umdwebo	0.698	0.216	0.333
dread	ukwesaba	0.153	0.792	0.368
dreaded	wesaba	0.122	0.706	0.460
dreadful	esabekayo	0.092	0.786	0.348
dreadfully	ngesabekayo	0.246	0.806	0.306
dreading	ukwesaba	0.125	0.760	0.377
dream	iphupho	0.844	0.157	0.328
dreamboat	dreamboat	0.776	0.491	0.458
dreamer	iphupho	0.820	0.394	0.455
dreaming	iphupha	0.854	0.320	0.336
dreamland	dreamland	0.844	0.471	0.566
dreams	amaphupho	0.865	0.415	0.530
dreamt	waphupha	0.812	0.380	0.518
dreamy	iphupho	0.837	0.350	0.500
dreary	dreary	0.260	0.490	0.324
dredge	i-dredge	0.427	0.445	0.444
drenched	ziboshwe	0.302	0.361	0.388
dress	sigqoke	0.760	0.300	0.345
dresser	umdayisi	0.604	0.398	0.473
dressmaker	umgqoki	0.698	0.460	0.483
dressy	ukugqoka	0.800	0.570	0.696
dribble	NO TRANSLATION	0.417	0.551	0.465
dried	omisiwe	0.427	0.260	0.385
drier	egolile	0.306	0.347	0.392
drift	ukushayela	0.316	0.520	0.375
drifted	ikhuphukile	0.312	0.542	0.310
drifter	i-drifter	0.449	0.512	0.391
driftwood	driftwood	0.321	0.283	0.439
drill	ukubamba	0.250	0.602	0.573
drink	ukuphuza	0.650	0.552	0.474
drinker	isiphuzo	0.365	0.735	0.441
drinking	ukuphuza	0.562	0.459	0.317
drinks	iziphuzo	0.729	0.656	0.412
drip	ukuvuza	0.392	0.193	0.175
dripping	ukushayela	0.302	0.257	0.267
drive	ukushayela	0.625	0.689	0.713
drivel	ukushayela	0.398	0.469	0.463
driver	umshayeli	0.553	0.538	0.637
driveway	umzila	0.612	0.392	0.689
drizzle	ukubhoboza	0.521	0.353	0.319
droll	i-droll	0.459	0.573	0.422
drone	drone	0.429	0.686	0.596
drones	i-drones	0.398	0.577	0.588
drool	i-drool	0.385	0.398	0.204
drooping	ukuxosha	0.245	0.558	0.353
droopy	droopy	0.438	0.350	0.297
drop	uphonsa	0.479	0.321	0.291
droplet	i-droplet	0.625	0.208	0.194
dropout	shiya phansi	0.253	0.550	0.481
dropper	i-dropper	0.333	0.216	0.236
drought	isomiso	0.133	0.353	0.267
drove	NO TRANSLATION	0.541	0.528	0.623
drown	umile	0.071	0.860	0.270
drowsiness	ukulala	0.260	0.194	0.303
drowsy	belele	0.375	0.180	0.240
drudgery	ududuzi	0.094	0.522	0.241
drug	izidakamizwa	0.214	0.790	0.453
drug dealing	ukuphathwa kwezidakamizwa	0.042	0.843	0.500
drugged	izidakamizwa	0.102	0.750	0.321
druggist	i-druggist	0.240	0.561	0.417
drugs	izidakamizwa	0.167	0.750	0.368
drugstore	izidakamizwa	0.490	0.343	0.518
druid	i-druid	0.517	0.445	0.481
drum	isigubhu	0.615	0.679	0.339
drummer	i-drummer	0.646	0.700	0.564
drumming	ukugubha	0.594	0.750	0.426
drunk	udakiwe	0.194	0.800	0.250
drunk driving	ukushayela edakiwe	0.073	0.900	0.306
drunkard	udakwa	0.240	0.873	0.250
drunken	udakiwe	0.155	0.849	0.250
drunkenness	ukudakwa	0.214	0.774	0.336
dry	eyomile	0.363	0.169	0.311
dryer	dryer	0.479	0.343	0.277
dryness	ukoma	0.292	0.296	0.263
dual	okubili	0.573	0.330	0.384
dualism	ubuqili	0.490	0.406	0.536
duality	okubili	0.438	0.520	0.503
dub	dub	0.510	0.480	0.387
dubious	okubuhlungu	0.414	0.480	0.198
duchess	i-duchess	0.656	0.548	0.711
duck	idada	0.594	0.337	0.236
ducking	ducking	0.344	0.573	0.294
duckling	duckling	0.602	0.353	0.263
ducky	ducky	0.520	0.430	0.368
duct	ukuhamba	0.449	0.435	0.430
ductile	i-ductile	0.508	0.420	0.433
dud	dud	0.167	0.455	0.246
dude	dude	0.809	0.356	0.615
duds	duds	0.347	0.311	0.339
due	efanele	0.562	0.340	0.467
duel	i-duel	0.271	0.696	0.589
dues	izinkokhelo	0.367	0.461	0.288
duet	i-duet	0.694	0.693	0.527
duffel	i-duffel	0.500	0.400	0.384
dugout	ukumba	0.490	0.370	0.463
duh	i-duh	0.357	0.461	0.364
duke	umbusi	0.667	0.440	0.669
dull	buthaka	0.194	0.120	0.185
dullard	ukuthutha	0.450	0.480	0.365
dumb	uyisimungulu	0.188	0.330	0.151
dumbasses	ama-dumbasses	0.316	0.590	0.363
dumbbell	dumbbell	0.302	0.469	0.364
dumbbitch	NO TRANSLATION	0.281	0.636	0.393
dumfound	ihlaselwe	0.271	0.551	0.295
dumfounder	NO TRANSLATION	0.406	0.481	0.400
dummy	dummy	0.440	0.144	0.250
dump	ukulahla	0.345	0.500	0.370
dumpling	ukulahla	0.580	0.321	0.360
dumps	ukulahla	0.302	0.583	0.365
dumpster	i-dumpster	0.229	0.418	0.101
dun	dun	0.458	0.431	0.339
dunce	dunce	0.188	0.327	0.146
dune	dune	0.459	0.173	0.414
dung	NO TRANSLATION	0.104	0.549	0.149
dungeon	ejele	0.276	0.608	0.440
dunk	i-dunk	0.406	0.333	0.475
duo	i-duo	0.510	0.500	0.447
dupe	ukuphoqa	0.184	0.760	0.327
duplex	i-duplex	0.592	0.452	0.467
duplicate	kuphinda	0.521	0.490	0.338
duplication	ukuphindaphindiwe	0.480	0.564	0.577
duplicity	okuphindiwe	0.406	0.500	0.578
durability	ukuqina	0.750	0.398	0.813
durable	ehlala njalo	0.740	0.294	0.688
duration	isikhathi	0.656	0.370	0.536
duress	ukucindezela	0.302	0.569	0.612
dusk	kusihlwa	0.532	0.276	0.519
dusky	dusky	0.229	0.528	0.324
dust	uthuli	0.344	0.246	0.241
duster	i-duster	0.408	0.265	0.296
dustpan	isikhulu somhlabathi	0.609	0.466	0.371
dusty	uthuli	0.406	0.294	0.255
dutiful	okuyiqiniso	0.724	0.245	0.585
duty	umsebenzi	0.583	0.579	0.651
dwarf	esincane	0.370	0.340	0.288
dwarfed	i-dwarfed	0.365	0.265	0.293
dweeb	dweeb	0.354	0.446	0.327
dwell	hlala	0.698	0.245	0.611
dweller	umhlali	0.615	0.304	0.500
dwelling	yokuhlala	0.765	0.330	0.481
dye	idayi	0.479	0.314	0.371
dying	ukufa	0.040	0.664	0.422
dyke	dyke	0.438	0.396	0.566
dynamic	enamandla	0.724	0.750	0.836
dynamical	i-dynamical	0.786	0.730	0.827
dynamics	dynamics	0.745	0.682	0.774
dynamite	i-dynamite	0.344	0.860	0.783
dynamo	i-dynamo	0.531	0.650	0.593
dynasty	ubukhosi	0.725	0.588	0.936
dysentery	isisu	0.260	0.528	0.345
dysfunction	ukungasebenzi	0.156	0.410	0.386
dysfunctional	ayisebenzi	0.125	0.558	0.307
dyspepsia	i-dyspepsia	0.212	0.470	0.460
eager	ukulangazelela	0.521	0.812	0.306
eagerness	ukulangazela	0.406	0.621	0.443
eagle	ukhozi	0.604	0.594	0.679
ear	indlebe	0.469	0.216	0.231
earful	okutholile	0.533	0.462	0.443
earl	i-earl	0.582	0.461	0.794
earlier	ekuqaleni	0.562	0.352	0.339
early	ekuqaleni	0.633	0.373	0.426
earn	uthole	0.865	0.769	0.817
earnest	ngobuqotho	0.653	0.380	0.670
earnestly	ngobuqotho	0.847	0.490	0.717
earnestness	ukuthembeka	0.812	0.373	0.615
earnings	amaholo	0.938	0.650	0.875
earpiece	uhlamvu lwama-earpiece	0.583	0.286	0.452
earring	indlebe	0.583	0.520	0.500
earrings	namacici	0.676	0.346	0.517
earshot	izindlebe	0.552	0.332	0.408
earth	umhlaba	0.750	0.225	0.614
earthenware	udonga	0.552	0.210	0.320
earthling	emhlabeni	0.531	0.412	0.570
earthly	emhlabeni	0.625	0.318	0.518
earthquake	ukuzamazama komhlaba	0.073	0.930	0.812
earthy	umhlaba	0.375	0.413	0.404
ease	lula	0.796	0.385	0.491
easel	i-easel	0.694	0.340	0.527
easement	i-easement	0.479	0.345	0.302
easily	kalula	0.885	0.279	0.453
east	empumalanga	0.510	0.250	0.317
eastbound	empumalanga	0.541	0.408	0.402
eastern	empumalanga	0.521	0.420	0.480
easy	kulula	0.865	0.194	0.373
easygoing	kulula	0.823	0.276	0.538
eat	udle	0.731	0.500	0.464
eater	udle	0.459	0.337	0.510
eating	ukudla	0.847	0.491	0.615
eatingdisorders	NO TRANSLATION	0.365	0.608	0.508
eavesdrop	evesdrop	0.375	0.710	0.368
eavesdropping	i-evesdropping	0.490	0.380	0.441
ebb	ibb	0.354	0.451	0.404
ebony	ebony	0.490	0.317	0.400
ebullient	ibullient	0.659	0.856	0.746
eccentric	i-eccentric	0.531	0.806	0.721
eccentricity	ukuzimisela	0.408	0.735	0.745
ecclesiastical	i-ecclesiastical	0.673	0.270	0.660
echelon	i-echelon	0.490	0.404	0.425
echinacea	echinacea	0.592	0.418	0.454
echo	qhafaza	0.573	0.373	0.345
eclectic	i-eclectic	0.646	0.542	0.508
eclipse	ukucwiliswa	0.541	0.469	0.616
ecliptic	ecliptic	0.531	0.520	0.556
ecological	ezemvelo	0.885	0.290	0.607
economic	ezomnotho	0.561	0.408	0.639
economical	ukonga	0.667	0.564	0.673
economics	ezomnotho	0.625	0.481	0.632
economy	umnotho	0.583	0.434	0.771
ecosystem	imvelo	0.729	0.259	0.633
ecstasy	ecstasy	0.796	0.922	0.655
ecstatic	ecstatic	0.875	0.769	0.742
ecumenical	i-ecumenical	0.561	0.450	0.547
eddy	eddy	0.500	0.394	0.350
edema	i-edema	0.250	0.519	0.318
edge	emaphethelweni	0.439	0.470	0.468
edging	ukuhlela	0.479	0.394	0.370
