Word	Kannada-kn	Valence	Arousal	Dominance
drown	ಮುಳುಗಿಸಿ	0.071	0.860	0.270
drowsiness	ಮೃದುತ್ವ	0.260	0.194	0.303
drowsy	ನಿದ್ರಾಜನಕ	0.375	0.180	0.240
drudgery	ಚಮತ್ಕಾರ	0.094	0.522	0.241
drug	ಔಷಧ	0.214	0.790	0.453
drug dealing	ಔಷಧಿ ವ್ಯವಹರಿಸುವುದು	0.042	0.843	0.500
drugged	ಮಾದಕವಸ್ತುಗಳ	0.102	0.750	0.321
druggist	ಡ್ರಗ್ಗಿಸ್ಟ್	0.240	0.561	0.417
drugs	ಔಷಧಗಳು	0.167	0.750	0.368
drugstore	ಡ್ರಗ್ಸ್ಟೋರ್	0.490	0.343	0.518
druid	ಮಾಂತ್ರಿಕ	0.517	0.445	0.481
drum	ಡ್ರಮ್	0.615	0.679	0.339
drummer	ಡ್ರಮ್ಮರ್	0.646	0.700	0.564
drumming	ಡ್ರಮ್ಮಿಂಗ್	0.594	0.750	0.426
drunk	ಕುಡಿದು	0.194	0.800	0.250
drunk driving	ಕುಡಿದು ಚಾಲನೆ	0.073	0.900	0.306
drunkard	ಕುಡುಕ	0.240	0.873	0.250
drunken	ಕುಡುಕ	0.155	0.849	0.250
drunkenness	ಕುಡುಕತೆ	0.214	0.774	0.336
dry	ಶುಷ್ಕ	0.363	0.169	0.311
dryer	ಶುಷ್ಕಕಾರಿಯ	0.479	0.343	0.277
dryness	ಶುಷ್ಕತೆ	0.292	0.296	0.263
dual	ಉಭಯ	0.573	0.330	0.384
dualism	ದ್ವಿರೂಪತೆ	0.490	0.406	0.536
duality	ಉಭಯತ್ವ	0.438	0.520	0.503
dub	ಡಬ್	0.510	0.480	0.387
dubious	ಸಂಶಯಾಸ್ಪದ	0.414	0.480	0.198
duchess	ಡಚೆಸ್	0.656	0.548	0.711
duck	ಬಾತುಕೋಳಿ	0.594	0.337	0.236
ducking	ಬಾತುಕೋಳಿ	0.344	0.573	0.294
duckling	ಡಕ್ಲಿಂಗ್	0.602	0.353	0.263
ducky	ಡಕಿ	0.520	0.430	0.368
duct	ನಾಳ	0.449	0.435	0.430
ductile	ಮೆತುವಾದ	0.508	0.420	0.433
dud	ಮಂಕು	0.167	0.455	0.246
dude	ಸೊಗಸುಗಾರ	0.809	0.356	0.615
duds	duds	0.347	0.311	0.339
due	ಕಾರಣ	0.562	0.340	0.467
duel	ದ್ವಂದ್ವಯುದ್ಧ	0.271	0.696	0.589
dues	ಬಾಕಿ	0.367	0.461	0.288
duet	ಯುಗಳ	0.694	0.693	0.527
duffel	ಡಫೆಲ್	0.500	0.400	0.384
dugout	ನೆಲಮಾಳಿಗೆ	0.490	0.370	0.463
duh	duh	0.357	0.461	0.364
duke	ಡ್ಯೂಕ್	0.667	0.440	0.669
dull	ಮಂದ	0.194	0.120	0.185
dullard	ದಲ್ಲರ್ಡ್	0.450	0.480	0.365
dumb	ಮೂಕ	0.188	0.330	0.151
dumbasses	ಡಂಬಾಸಸ್	0.316	0.590	0.363
dumbbell	ಡಂಬ್ಬೆಲ್	0.302	0.469	0.364
dumbbitch	NO TRANSLATION	0.281	0.636	0.393
dumfound	dumfound	0.271	0.551	0.295
dumfounder	NO TRANSLATION	0.406	0.481	0.400
dummy	ನಕಲಿ	0.440	0.144	0.250
dump	ಡಂಪ್	0.345	0.500	0.370
dumpling	ಡಂಪ್ಲಿಂಗ್	0.580	0.321	0.360
dumps	ಡಂಪ್ಗಳು	0.302	0.583	0.365
dumpster	ಡಂಪ್ಸ್ಟರ್	0.229	0.418	0.101
dun	ಡನ್	0.458	0.431	0.339
dunce	ಡನ್ಸೆ	0.188	0.327	0.146
dune	ದಿಬ್ಬ	0.459	0.173	0.414
dung	NO TRANSLATION	0.104	0.549	0.149
dungeon	ಕತ್ತಲಕೋಣೆಯಲ್ಲಿ	0.276	0.608	0.440
dunk	ಡಂಕ್	0.406	0.333	0.475
duo	ಜೋಡಿ	0.510	0.500	0.447
dupe	ದುಪ್ಪೆ	0.184	0.760	0.327
duplex	ಡ್ಯುಪ್ಲೆಕ್ಸ್	0.592	0.452	0.467
duplicate	ನಕಲಿ	0.521	0.490	0.338
duplication	ನಕಲು	0.480	0.564	0.577
duplicity	ದ್ವಿಗುಣ	0.406	0.500	0.578
durability	ಬಾಳಿಕೆ	0.750	0.398	0.813
durable	ಬಾಳಿಕೆ ಬರುವ	0.740	0.294	0.688
duration	ಅವಧಿ	0.656	0.370	0.536
duress	ದುಃಖ	0.302	0.569	0.612
dusk	ಮುಸ್ಸಂಜೆಯ	0.532	0.276	0.519
dusky	ಮಂಕಾದ	0.229	0.528	0.324
dust	ಧೂಳು	0.344	0.246	0.241
duster	ಧೂಳು ಹಾಕುವವನು	0.408	0.265	0.296
dustpan	ಧೂಳು	0.609	0.466	0.371
dusty	ಧೂಳಿನ	0.406	0.294	0.255
dutiful	ಕರ್ತವ್ಯ	0.724	0.245	0.585
duty	ಕರ್ತವ್ಯ	0.583	0.579	0.651
dwarf	ಕುಬ್ಜ	0.370	0.340	0.288
dwarfed	ಕುಬ್ಜ	0.365	0.265	0.293
dweeb	ಡ್ವೀಬ್	0.354	0.446	0.327
dwell	ವಾಸಿಸು	0.698	0.245	0.611
dweller	ನಿವಾಸಿ	0.615	0.304	0.500
dwelling	ವಾಸಿಸುವ	0.765	0.330	0.481
dye	ಬಣ್ಣ	0.479	0.314	0.371
dying	ಸಾಯುತ್ತಿರುವುದು	0.040	0.664	0.422
dyke	ಡೈಕ್	0.438	0.396	0.566
dynamic	ಕ್ರಿಯಾತ್ಮಕ	0.724	0.750	0.836
dynamical	ಕ್ರಿಯಾತ್ಮಕ	0.786	0.730	0.827
dynamics	ಡೈನಾಮಿಕ್ಸ್	0.745	0.682	0.774
dynamite	ಡೈನಾಮೈಟ್	0.344	0.860	0.783
dynamo	ಡೈನಮೋ	0.531	0.650	0.593
dynasty	ರಾಜವಂಶ	0.725	0.588	0.936
dysentery	ಭೇದಿ	0.260	0.528	0.345
dysfunction	ಅಪಸಾಮಾನ್ಯ	0.156	0.410	0.386
dysfunctional	ನಿಷ್ಕ್ರಿಯ	0.125	0.558	0.307
dyspepsia	ಡಿಸ್ಪೆಪ್ಸಿಯಾ	0.212	0.470	0.460
eager	ಉತ್ಸಾಹಿ	0.521	0.812	0.306
eagerness	ಉತ್ಸಾಹಿ	0.406	0.621	0.443
eagle	ಹದ್ದು	0.604	0.594	0.679
ear	ಕಿವಿ	0.469	0.216	0.231
earful	ಕಿವಿ	0.533	0.462	0.443
earl	ಅರ್ಲ್	0.582	0.461	0.794
earlier	ಹಿಂದಿನ	0.562	0.352	0.339
early	ಬೇಗ	0.633	0.373	0.426
earn	ಗಳಿಸಿ	0.865	0.769	0.817
earnest	ಶ್ರದ್ಧೆಯಿಂದ	0.653	0.380	0.670
earnestly	ಶ್ರದ್ಧೆಯಿಂದ	0.847	0.490	0.717
earnestness	ಶ್ರದ್ಧೆ	0.812	0.373	0.615
earnings	ಗಳಿಕೆಗಳು	0.938	0.650	0.875
earpiece	ಇಯರ್ಪೀಸ್	0.583	0.286	0.452
earring	ಕಿವಿ	0.583	0.520	0.500
earrings	ಕಿವಿಯೋಲೆಗಳು	0.676	0.346	0.517
earshot	ಕಿವಿ ಹೊಡೆತ	0.552	0.332	0.408
earth	ಭೂಮಿ	0.750	0.225	0.614
earthenware	ಜೇಡಿಮಣ್ಣಿನಿಂದ	0.552	0.210	0.320
earthling	ಭೂಮಿ	0.531	0.412	0.570
earthly	ಭೂಮಿ	0.625	0.318	0.518
earthquake	ಭೂಕಂಪ	0.073	0.930	0.812
earthy	ಮಣ್ಣಿನ	0.375	0.413	0.404
ease	ಸರಾಗವಾಗಿ	0.796	0.385	0.491
easel	ಚಿತ್ರ	0.694	0.340	0.527
easement	ಪರಿಹಾರ	0.479	0.345	0.302
easily	ಸುಲಭವಾಗಿ	0.885	0.279	0.453
east	ಪೂರ್ವ	0.510	0.250	0.317
eastbound	ಪೂರ್ವಬೌಂಡ್	0.541	0.408	0.402
eastern	ಪೂರ್ವದ	0.521	0.420	0.480
easy	ಸುಲಭ	0.865	0.194	0.373
easygoing	ಸುಲಭವಾಗುತ್ತಿದೆ	0.823	0.276	0.538
eat	ತಿನ್ನಿರಿ	0.731	0.500	0.464
eater	ಭಕ್ಷಕ	0.459	0.337	0.510
eating	ತಿನ್ನುವುದು	0.847	0.491	0.615
eatingdisorders	NO TRANSLATION	0.365	0.608	0.508
eavesdrop	ಕದ್ದಾಲಿಕೆ	0.375	0.710	0.368
eavesdropping	ಕದ್ದಾಲಿಕೆ	0.490	0.380	0.441
ebb	ಎಬ್ಬಿ	0.354	0.451	0.404
ebony	ಕಸೂತಿ	0.490	0.317	0.400
ebullient	ಹಠಾತ್	0.659	0.856	0.746
eccentric	ವಿಲಕ್ಷಣ	0.531	0.806	0.721
eccentricity	ವಿಕೇಂದ್ರೀಯತೆ	0.408	0.735	0.745
ecclesiastical	ಚರ್ಚಿನ	0.673	0.270	0.660
echelon	ಎಚೆಲಿನ್	0.490	0.404	0.425
echinacea	ಎಕಿನೇಶಿಯ	0.592	0.418	0.454
echo	ಪ್ರತಿಧ್ವನಿ	0.573	0.373	0.345
eclectic	ಸಾರಸಂಗ್ರಹಿ	0.646	0.542	0.508
eclipse	ಗ್ರಹಣ	0.541	0.469	0.616
ecliptic	ಎಕ್ಲಿಪ್ಟಿಕ್	0.531	0.520	0.556
ecological	ಪರಿಸರ	0.885	0.290	0.607
economic	ಆರ್ಥಿಕ	0.561	0.408	0.639
economical	ಆರ್ಥಿಕ	0.667	0.564	0.673
economics	ಅರ್ಥಶಾಸ್ತ್ರ	0.625	0.481	0.632
economy	ಆರ್ಥಿಕತೆ	0.583	0.434	0.771
ecosystem	ಪರಿಸರ ವ್ಯವಸ್ಥೆ	0.729	0.259	0.633
ecstasy	ಭಾವಪರವಶತೆ	0.796	0.922	0.655
ecstatic	ಭಾವಪರವಶ	0.875	0.769	0.742
ecumenical	ಇಕ್ಯೂಮಿನಿಕಲ್	0.561	0.450	0.547
eddy	ಸುಳಿ	0.500	0.394	0.350
edema	ಎಡಿಮಾ	0.250	0.519	0.318
edge	ತುದಿ	0.439	0.470	0.468
edging	ಅಂಚು	0.479	0.394	0.370
edgy	ಹರಿತವಾದ	0.281	0.895	0.306
edible	ಖಾದ್ಯ	0.750	0.425	0.497
edict	ಶಾಸನ	0.316	0.547	0.560
edification	ಎಡಿಫಿಕೇಶನ್	0.625	0.481	0.697
edifice	ಕಟ್ಟಡ	0.551	0.403	0.610
edit	ಸಂಪಾದಿಸು	0.510	0.410	0.544
editing	ಸಂಪಾದನೆ	0.604	0.404	0.493
edition	ಆವೃತ್ತಿ	0.542	0.455	0.564
editor	ಸಂಪಾದಕ	0.772	0.431	0.673
editorial	ಸಂಪಾದಕೀಯ	0.583	0.330	0.570
educate	ಶಿಕ್ಷಣ	0.760	0.380	0.728
educated	ವಿದ್ಯಾವಂತ	0.816	0.297	0.625
education	ಶಿಕ್ಷಣ	0.896	0.275	0.840
educational	ಶೈಕ್ಷಣಿಕ	0.745	0.457	0.764
educator	ಶಿಕ್ಷಕ	0.827	0.317	0.845
eeeek	NO TRANSLATION	0.367	0.540	0.349
eeek	NO TRANSLATION	0.333	0.490	0.302
eek	eek	0.292	0.529	0.343
eel	ಈಲ್	0.292	0.564	0.487
eerie	ವಿಲಕ್ಷಣ	0.265	0.771	0.442
effect	ಪರಿಣಾಮ	0.570	0.518	0.608
effective	ಪರಿಣಾಮಕಾರಿ	0.844	0.632	0.891
effectiveness	ಪರಿಣಾಮಕಾರಿತ್ವ	0.640	0.654	0.812
effects	ಪರಿಣಾಮಗಳು	0.470	0.578	0.379
effectual	ಪರಿಣಾಮಕಾರಿ	0.776	0.559	0.820
effectually	ಪರಿಣಾಮಕಾರಿಯಾಗಿ	0.724	0.500	0.594
effectuate	ಪರಿಣಾಮಕಾರಿ	0.510	0.602	0.679
effeminate	ದುರ್ಬಲ	0.337	0.619	0.291
efficacious	ಪರಿಣಾಮಕಾರಿ	0.823	0.698	0.845
efficacy	ಪರಿಣಾಮಕಾರಿತ್ವ	0.802	0.490	0.906
efficiency	ದಕ್ಷತೆ	0.802	0.509	0.892
efficient	ದಕ್ಷ	0.959	0.604	0.830
effigy	ಎಫಿಜಿ	0.510	0.440	0.401
effort	ಪ್ರಯತ್ನ	0.698	0.778	0.858
effortless	ಪ್ರಯತ್ನವಿಲ್ಲದ	0.626	0.090	0.352
effusion	ಎಫ್ಯೂಷನ್	0.344	0.730	0.472
effyou	NO TRANSLATION	0.354	0.529	0.490
egg	ಮೊಟ್ಟೆ	0.684	0.241	0.293
egghead	ಎಗ್ ಹೆಡ್	0.316	0.492	0.284
eggnog	ಮೊಟ್ಟೆ ನೋಗ್	0.635	0.360	0.259
eggplant	ಬದನೆ ಕಾಯಿ	0.592	0.152	0.323
eggshell	ಮೊಟ್ಟೆ ಚಿಪ್ಪು	0.408	0.269	0.212
ego	ಅಹಂ	0.328	0.576	0.593
egomaniac	ಉದಾಮನಿಯಾಕ್	0.133	0.708	0.596
egotistical	ಉದಾರವಾದಿ	0.156	0.667	0.363
egregious	ಅಹಂಕಾರ	0.150	0.716	0.442
egress	ನಿರ್ಗಮನ	0.490	0.429	0.287
eight	ಎಂಟು	0.540	0.199	0.315
eighteen	ಹದಿನೆಂಟು	0.523	0.340	0.404
eighth	ಎಂಟನೇ	0.531	0.226	0.380
eighty	ಎಂಬತ್ತು	0.500	0.300	0.453
ejaculate	ಹೊರಹೊಮ್ಮಿಸು	0.604	0.896	0.604
ejaculation	ಉದ್ಗಾರ	0.615	0.893	0.547
eject	ಹೊರಹಾಕು	0.434	0.656	0.559
ejection	ಎಜೆಕ್ಷನ್	0.188	0.836	0.554
elaborate	ವಿಸ್ತಾರವಾದ	0.561	0.367	0.680
elaboration	ವಿಸ್ತರಣೆ	0.708	0.500	0.598
elan	NO TRANSLATION	0.562	0.367	0.500
elapse	ಎಲಾಪ್ಸ್	0.514	0.440	0.455
elapsed	ಮುಗಿದಿದೆ	0.583	0.451	0.493
elastic	ಸ್ಥಿತಿಸ್ಥಾಪಕ	0.656	0.518	0.385
elasticity	ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ	0.635	0.452	0.582
elated	ಉತ್ಸಾಹದಿಂದ	0.792	0.960	0.725
elation	ಉತ್ಸಾಹ	0.740	0.853	0.623
elbow	ಮೊಣಕೈ	0.448	0.133	0.254
eld	ಹಿರಿಯ	0.471	0.292	0.451
elder	ಹಿರಿಯ	0.448	0.153	0.462
elderly	ವೃದ್ಧರು	0.615	0.212	0.283
elders	ಹಿರಿಯರು	0.602	0.260	0.441
eldest	ಹಿರಿಯರು	0.625	0.471	0.741
elect	ಚುನಾಯಿತ	0.667	0.554	0.661
election	ಚುನಾವಣೆ	0.625	0.519	0.651
elective	ಚುನಾಯಿತ	0.612	0.380	0.623
elector	ಮತದಾರರು	0.479	0.520	0.766
electoral	ಚುನಾವಣಾಧಿಕಾರಿ	0.490	0.631	0.602
electorate	ಮತದಾರರು	0.560	0.380	0.696
electric	ವಿದ್ಯುತ್	0.458	0.708	0.512
electric slide	ವಿದ್ಯುತ್ ಸ್ಲೈಡ್	0.542	0.660	0.536
electrical	ವಿದ್ಯುತ್	0.531	0.620	0.688
electrician	ಎಲೆಕ್ಟ್ರಿಷಿಯನ್	0.449	0.590	0.620
electricity	ವಿದ್ಯುತ್	0.698	0.810	0.733
electrify	ವಿದ್ಯುಜ್ಜನಕ	0.520	0.769	0.737
electrocute	ವಿದ್ಯುನ್ಮಂಡಲ	0.271	0.731	0.555
electrocution	ವಿದ್ಯುತ್ಕಾರಣ	0.177	0.844	0.692
electromagnetic	ವಿದ್ಯುತ್ಕಾಂತೀಯ	0.531	0.632	0.683
electron	ಎಲೆಕ್ಟ್ರಾನ್	0.520	0.455	0.560
electronic	ಎಲೆಕ್ಟ್ರಾನಿಕ್	0.571	0.490	0.704
electronics	ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್	0.708	0.545	0.574
elegance	ಸೊಬಗು	0.918	0.396	0.824
elegant	ಸೊಗಸಾದ	0.865	0.500	0.685
element	ಅಂಶ	0.531	0.259	0.481
elemental	ಧಾತುರೂಪದ	0.627	0.306	0.711
elementary	ಪ್ರಾಥಮಿಕ	0.594	0.286	0.686
elements	ಅಂಶಗಳು	0.510	0.312	0.462
elephant	ಆನೆ	0.531	0.510	0.615
elevate	ಎತ್ತರಿಸಿ	0.812	0.500	0.804
elevated	ಎತ್ತರಿಸಿದ	0.704	0.594	0.620
elevation	ಎತ್ತರ	0.760	0.759	0.711
elevator	ಎಲಿವೇಟರ್	0.562	0.604	0.676
eleven	ಹನ್ನೊಂದು	0.449	0.250	0.430
eleventh	ಹನ್ನೊಂದನೇ	0.594	0.329	0.357
elf	ಯಕ್ಷಿಣಿ	0.460	0.457	0.315
elicit	ಹೊರಹೊಮ್ಮಿಸು	0.406	0.594	0.658
eligible	ಅರ್ಹತೆ	0.750	0.400	0.518
eliminate	ತೊಡೆದುಹಾಕು	0.265	0.670	0.324
elimination	ಹೊರಹಾಕುವಿಕೆ	0.052	0.667	0.431
elite	ಗಣ್ಯರು	0.688	0.704	0.737
elitist	ಉನ್ನತವಾದಿ	0.500	0.606	0.656
elixir	ಅಮಿಕ್ಸಿರ್	0.708	0.587	0.604
elk	ಎಲ್ಕ್	0.439	0.337	0.340
ell	ಎಲ್	0.469	0.418	0.373
ellipse	ದೀರ್ಘವೃತ್ತ	0.531	0.410	0.479
ellipsis	ಎಲಿಪ್ಸಿಸ್	0.653	0.358	0.314
ellipsoid	ಅಂಡಾಕಾರ	0.500	0.440	0.419
elliptic	ಅಂಡಾಕಾರದ	0.500	0.431	0.528
elliptical	ಅಂಡಾಕಾರದ	0.338	0.385	0.490
elm	ಎಲ್ಮ್	0.510	0.345	0.321
elongate	ಉದ್ದವಾಗಿಸು	0.583	0.385	0.540
elongation	ಉದ್ದತೆ	0.561	0.500	0.500
elope	ಇಳಿಜಾರು	0.396	0.694	0.528
eloquence	ಮಾತುಗಾರಿಕೆ	0.729	0.490	0.804
eloquent	ನಿರರ್ಗಳ	0.870	0.680	0.741
elucidate	ವಿವರಿಸು	0.583	0.509	0.518
elucidation	ಸ್ಪಷ್ಟೀಕರಣ	0.650	0.574	0.586
elude	ತಪ್ಪಿಸು	0.438	0.521	0.464
elusive	ಸಿಕ್ಕದಿದ್ದರೂ	0.229	0.615	0.466
emaciated	ಕೆಡವಲಾಯಿತು	0.103	0.541	0.151
email	ಇಮೇಲ್	0.698	0.230	0.456
emanate	ಹೊರಹೊಮ್ಮಿಸು	0.653	0.464	0.554
emancipation	ವಿಮೋಚನೆ	0.704	0.684	0.763
embankment	ಒಡ್ಡು	0.677	0.438	0.436
embargo	NO TRANSLATION	0.229	0.564	0.443
embark	ಕೈಗೊಳ್ಳುವುದು	0.541	0.550	0.619
embarrass	ಮುಜುಗರ	0.082	0.667	0.364
embarrassed	ಮುಜುಗರದ	0.184	0.560	0.246
embarrassing	ಮುಜುಗರದ	0.226	0.809	0.225
embarrassment	ಮುಜುಗರ	0.143	0.685	0.226
embassy	ದೂತಾವಾಸ	0.622	0.333	0.758
embattled	ಒಳಸೇರಿಸಿದ	0.235	0.724	0.421
embed	ಎಂಬೆಡ್ ಮಾಡಿ	0.417	0.554	0.670
embellish	ಅಲಂಕರಿಸಿ	0.842	0.500	0.769
embellishment	ಅಲಂಕರಣ	0.673	0.449	0.405
embers	ಎಬರ್ಸ್	0.490	0.481	0.508
embezzlement	ದುಷ್ಕೃತ್ಯ	0.143	0.827	0.435
embezzler	ದುಷ್ಕರ್ಮಿ	0.146	0.823	0.491
emblem	ಲಾಂಛನ	0.640	0.330	0.754
emblematic	ಸಾಂಕೇತಿಕ	0.771	0.459	0.798
embodiment	ಸಾಕಾರ	0.562	0.690	0.663
embolism	ಎಂಬಾಲಿಸಮ್	0.104	0.660	0.302
embossed	ಕೆತ್ತಲಾಗಿದೆ	0.531	0.481	0.500
embrace	ಅಪ್ಪಿಕೊಳ್ಳಿ	0.949	0.490	0.452
embroidered	ಕಸೂತಿ	0.677	0.279	0.407
embroidery	ಕಸೂತಿ	0.781	0.358	0.280
embroiled	ಸಿಕ್ಕಿಕೊಂಡಿರುವ	0.337	0.721	0.420
embryo	ಭ್ರೂಣ	0.673	0.469	0.453
embryonic	ಭ್ರೂಣದ	0.573	0.453	0.598
emcee	ಎಮ್ಸೆ	0.694	0.577	0.691
emerald	ಪಚ್ಚೆ	0.740	0.363	0.726
emerge	ಹೊರಹೊಮ್ಮಿ	0.602	0.594	0.731
emergence	ಹೊರಹೊಮ್ಮುವಿಕೆ	0.276	0.857	0.676
emergency	ತುರ್ತು ಪರಿಸ್ಥಿತಿ	0.200	0.900	0.571
emeritus	ಹೊರಹೊಮ್ಮುವಿಕೆ	0.633	0.402	0.735
emery	ಎಮಿ	0.469	0.583	0.472
emetophobia	ಎಮೆಟೋಫೋಬಿಯಾ	0.243	0.620	0.403
emigrate	ವಲಸೆ	0.356	0.812	0.508
emigration	ವಲಸೆ	0.564	0.664	0.432
eminence	ಶ್ರೇಷ್ಠತೆ	0.816	0.644	0.837
eminent	ಶ್ರೇಷ್ಠ	0.740	0.620	0.830
eminently	ಮಹತ್ತರವಾಗಿ	0.694	0.607	0.773
emir	NO TRANSLATION	0.510	0.396	0.621
emissary	ದೂತಾವಾಸ	0.562	0.462	0.636
emission	ಹೊರಸೂಸುವಿಕೆ	0.510	0.453	0.591
emit	ಹೊರಸೂಸುತ್ತವೆ	0.638	0.445	0.510
emo	ಎಮೋ	0.354	0.314	0.226
emotion	ಭಾವನೆ	0.693	0.873	0.696
emotional	ಭಾವನಾತ್ಮಕ	0.779	0.714	0.526
emotive	ಭಾವನಾತ್ಮಕ	0.917	0.741	0.525
empathic	ಅನುಭೂತಿ	0.760	0.570	0.558
empathize	ಅನುಕರಿಸು	0.802	0.591	0.660
empathy	ಅನುಭೂತಿ	0.729	0.349	0.545
emperor	ಚಕ್ರವರ್ತಿ	0.651	0.704	0.962
emphasis	ಒತ್ತು	0.653	0.745	0.816
emphasize	ಒತ್ತಿ	0.510	0.605	0.769
emphatic	ಎದ್ದುಕಾಣುವ	0.615	0.707	0.732
emphysema	ಎಂಪಿಸೆಮಾ	0.156	0.556	0.336
empire	ಸಾಮ್ರಾಜ್ಯ	0.688	0.730	0.944
empirical	ಪ್ರಾಯೋಗಿಕ	0.500	0.510	0.574
empiricism	ಪ್ರಾಯೋಗಿಕತೆ	0.583	0.460	0.547
employ	ಉದ್ಯೋಗ	0.729	0.481	0.702
employee	ಉದ್ಯೋಗಿ	0.582	0.361	0.481
employer	ಉದ್ಯೋಗದಾತ	0.663	0.518	0.767
employment	ಉದ್ಯೋಗ	0.750	0.594	0.611
emporium	ಎಂಪೋರಿಯಮ್	0.622	0.556	0.724
empower	ಅಧಿಕಾರ	0.694	0.779	0.891
empress	ಸಾಮ್ರಾಜ್ಞಿ	0.716	0.669	0.855
emptiness	ಶೂನ್ಯತೆ	0.177	0.173	0.184
emption	ಎಂಪ್ಷನ್	0.570	0.406	0.458
empty	ಖಾಲಿ	0.188	0.183	0.081
emu	ಎಮು	0.420	0.358	0.330
emulate	ಅನುಕರಿಸು	0.438	0.340	0.549
emulsion	ಎಮಲ್ಷನ್	0.562	0.431	0.453
enable	ಸಕ್ರಿಯಗೊಳಿಸಿ	0.760	0.491	0.782
enablement	ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ	0.600	0.451	0.750
enact	ಜಾರಿಗೊಳಿಸು	0.680	0.564	0.598
enactment	ಜಾರಿಗೊಳಿಸುವಿಕೆ	0.667	0.612	0.769
enamel	ದಂತಕವಚ	0.594	0.280	0.306
encampment	ಶಿಬಿರ	0.677	0.573	0.605
enchant	ಮೋಡಿಹಾಕು	0.873	0.650	0.643
enchanted	ಮಂತ್ರಿಸಿದ	0.917	0.633	0.687
enchanting	ಮೋಡಿಮಾಡುವ	0.917	0.681	0.708
enchantment	ಮಾಟ	0.816	0.775	0.647
enchantress	ಮೋಹಿನಿ	0.398	0.663	0.479
enchilada	ಎನ್ಕಿಲಾಡಾ	0.542	0.553	0.371
encircle	ಸುತ್ತುವರೆಯಿರಿ	0.460	0.500	0.519
encircling	ಸುತ್ತುವರೆದಿರುವ	0.510	0.368	0.557
enclave	ಎನ್ಕ್ಲೇವ್	0.531	0.333	0.580
enclose	ಸುತ್ತುಗಟ್ಟಬೇಕು	0.531	0.477	0.473
enclosure	ಆವರಣ	0.417	0.375	0.490
encode	ಎನ್ಕೋಡ್	0.490	0.500	0.734
encomiastic	NO TRANSLATION	0.541	0.500	0.670
encomium	encomium	0.541	0.451	0.519
encompass	ಒಳಗೊಳ್ಳುತ್ತದೆ	0.520	0.298	0.661
encore	NO TRANSLATION	0.510	0.423	0.500
encounter	ಎದುರಿಸು	0.865	0.702	0.689
encourage	ಪ್ರೋತ್ಸಾಹಿಸಲು	0.896	0.580	0.704
encouraged	ಪ್ರೋತ್ಸಾಹಿಸಲಾಯಿತು	0.953	0.702	0.657
encouragement	ಪ್ರೋತ್ಸಾಹ	0.865	0.700	0.759
encouraging	ಪ್ರೋತ್ಸಾಹಿಸುವುದು	0.823	0.583	0.755
encroach	ಅತಿಕ್ರಮಣ	0.302	0.742	0.702
encroachment	ಅತಿಕ್ರಮಣ	0.255	0.736	0.620
encrypt	ಗೂಢಲಿಪೀಕರಿಸು	0.500	0.387	0.500
encryption	ಗೂಢಲಿಪೀಕರಣ	0.547	0.415	0.474
encumbrance	ಎನ್ಕಂಪ್ರನ್ಸ್	0.300	0.521	0.480
encyclopedia	ಎನ್ಸೈಕ್ಲೋಪೀಡಿಯಾ	0.679	0.320	0.645
end	ಕೊನೆ	0.198	0.349	0.298
end table	ಅಂತಿಮ ಕೋಷ್ಟಕ	0.541	0.480	0.482
endanger	ಅಪಾಯಕಾರಿ	0.115	0.885	0.404
endangered	ಅಳಿವಿನಂಚಿನಲ್ಲಿರುವ	0.083	0.885	0.430
endangerment	ಅಪಾಯ	0.167	0.873	0.519
endearing	ಪ್ರೀತಿಯಿಂದ	0.663	0.434	0.604
endeavor	ಪ್ರಯತ್ನಿಸು	0.677	0.755	0.765
ended	ಕೊನೆಗೊಂಡಿತು	0.302	0.500	0.500
endemic	ಸ್ಥಳೀಯ	0.406	0.480	0.483
endgame	ಎಂಡ್ಗೇಮ್	0.449	0.538	0.526
ending	ಕೊನೆಗೊಳ್ಳುತ್ತದೆ	0.344	0.365	0.492
endless	ಅಂತ್ಯವಿಲ್ಲದ	0.347	0.462	0.472
endocarditis	ಎಂಡೊಕಾರ್ಡಿಟಿಸ್	0.235	0.587	0.412
endorse	ಒಪ್ಪಿ	0.592	0.392	0.472
endorsement	ಅನುಮೋದನೆ	0.834	0.360	0.611
endow	ಎಂಡೋವ್	0.684	0.398	0.609
endowed	ಕೊಡುವುದು	0.755	0.510	0.769
endowment	ದತ್ತಿ	0.685	0.578	0.647
endpapers	ಅಂತಿಮ ಪತ್ರಿಕೆಗಳು	0.542	0.400	0.339
endpoint	ಎಂಡ್ಪೋಯಿಂಟ್	0.311	0.410	0.448
endurance	ಸಹಿಷ್ಣುತೆ	0.592	0.745	0.760
endure	ಅಸ್ತಿತ್ವದಲ್ಲಿರುವಂತೆ	0.320	0.610	0.574
enduring	ನಿರಂತರ	0.633	0.459	0.768
enema	ಎನಿಮಾ	0.281	0.673	0.268
enemy	ಶತ್ರು	0.135	0.794	0.591
energetic	ಶಕ್ತಿಯುತ	0.847	0.868	0.902
energize	ಶಕ್ತಿ ತುಂಬು	0.792	0.810	0.875
