Word	Tagalog (Filipino)-tl	Valence	Arousal	Dominance
coolant	coolant	0.720	0.412	0.456
cooler	palamigan	0.664	0.375	0.460
cooling	paglamig	0.469	0.324	0.392
coolness	lamig	0.490	0.307	0.548
coon	coon	0.490	0.460	0.400
coop	panukala	0.612	0.445	0.650
cooperate	makipagtulungan	0.898	0.451	0.582
cooperating	nakikipagtulungan	0.760	0.390	0.693
cooperation	pakikipagtulungan	0.847	0.473	0.686
cooperative	kooperatiba	0.816	0.461	0.670
coordinate	coordinate	0.698	0.429	0.694
coordination	koordinasyon	0.677	0.454	0.789
coordinator	coordinator	0.750	0.510	0.850
cop	pulis	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	makaya	0.592	0.647	0.709
copier	copier	0.459	0.345	0.390
copilot	copilot	0.640	0.538	0.573
coping	pagkaya	0.562	0.630	0.613
copious	napakarami	0.427	0.462	0.527
copper	tanso	0.580	0.260	0.500
copter	copter	0.571	0.704	0.569
copy	kopya	0.460	0.240	0.263
copycat	copycat	0.449	0.580	0.443
copying	pagkopya	0.448	0.315	0.404
copyright	copyright	0.458	0.402	0.663
coral	coral	0.802	0.231	0.425
coral snake	coral snake	0.276	0.712	0.607
cord	kurdon	0.388	0.378	0.358
cordial	magiliw	0.823	0.312	0.482
cordless	cordless	0.667	0.441	0.528
cordon	cordon	0.469	0.317	0.380
corduroy	corduroy	0.570	0.324	0.357
core	core	0.721	0.378	0.540
cork	siksik	0.347	0.250	0.281
corkscrew	corkscrew	0.427	0.443	0.445
corn	mais	0.594	0.196	0.292
cornball	cornball	0.479	0.378	0.325
cornbread	cornbread	0.643	0.304	0.302
cornea	kornea	0.521	0.346	0.443
corned	corned	0.459	0.441	0.425
corner	sulok	0.400	0.296	0.366
cornerstone	batong panulok	0.550	0.388	0.596
cornet	kornet	0.507	0.520	0.415
cornfield	cornfield	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	cornice	0.458	0.441	0.295
cornstarch	gawgaw	0.643	0.299	0.337
corny	corny	0.448	0.370	0.221
corollary	corollary	0.458	0.469	0.366
corona	korona	0.818	0.439	0.745
coronary	coronary	0.567	0.613	0.509
coronation	koronasyon	0.792	0.592	0.836
coroner	koroner	0.323	0.558	0.526
corporal	korporal	0.582	0.490	0.596
corporate	korporasyon	0.592	0.454	0.745
corporation	korporasyon	0.429	0.332	0.873
corporeal	corporeal	0.520	0.350	0.461
corps	mga pulutong	0.551	0.453	0.483
corpse	bangkay	0.094	0.657	0.232
corpsman	corpsman	0.439	0.469	0.651
corpus	corpus	0.543	0.340	0.490
corral	kural	0.606	0.662	0.422
correct	tama	0.857	0.306	0.723
correction	pagwawasto	0.448	0.485	0.558
correctional	correctional	0.292	0.713	0.602
corrective	pagwawasto	0.448	0.528	0.613
correctness	katumpakan	0.796	0.450	0.649
correlation	ugnayan	0.596	0.462	0.571
correlative	nauugnay	0.510	0.402	0.571
correspond	tumutugma	0.710	0.452	0.545
correspondence	liham	0.663	0.423	0.491
correspondent	kasulatan	0.573	0.565	0.712
corresponding	nararapat	0.740	0.423	0.618
corridor	koridor	0.604	0.589	0.592
corroborate	patunayan	0.671	0.471	0.616
corroboration	pagsang-ayon	0.625	0.431	0.733
corrosion	kaagnasan	0.156	0.610	0.348
corrosive	kinakaing unti-unti	0.140	0.618	0.570
corrupt	sira	0.020	0.806	0.500
corrupting	corrupting	0.062	0.804	0.380
corruption	Korapsyon	0.052	0.830	0.549
corsage	corsage	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	korset	0.490	0.520	0.381
cortex	cortex	0.594	0.439	0.529
cortical	cortical	0.380	0.423	0.536
cortisone	cortisone	0.427	0.395	0.456
corvette	corvette	0.551	0.520	0.598
cosmetic	kosmetiko	0.625	0.304	0.308
cosmetics	mga pampaganda	0.765	0.464	0.472
cosmic	cosmic	0.663	0.538	0.692
cosmology	kosmolohiya	0.651	0.438	0.637
cosmopolitan	kosmopolita	0.823	0.510	0.760
cosmos	kosmos	0.860	0.478	0.664
cost	gastos	0.365	0.420	0.439
costly	mahal	0.316	0.650	0.642
costume	kasuutan	0.548	0.510	0.374
cosy	maginhawa	0.847	0.255	0.518
cot	cot	0.625	0.230	0.278
cote	cote	0.439	0.344	0.324
cottage	cottage	0.600	0.279	0.361
cotton	bulak	0.639	0.071	0.240
couch	sopa	0.594	0.082	0.198
cougar	cougar	0.438	0.588	0.538
cough	ubo	0.255	0.627	0.241
council	konseho	0.875	0.279	0.635
councilman	tagapangasiwa	0.531	0.367	0.793
counsel	payo	0.594	0.519	0.730
counseling	pagpapayo	0.667	0.480	0.704
counsellor	tagapayo	0.823	0.327	0.740
counselor	tagapayo	0.873	0.365	0.706
count	bilangin	0.594	0.389	0.492
countdown	countdown	0.438	0.692	0.490
countenance	mukha	0.635	0.440	0.690
counter	counter	0.439	0.478	0.750
counteract	humadlang	0.378	0.542	0.688
counterattack	gantimpala	0.281	0.951	0.764
counterbalance	pagbabalanse	0.520	0.480	0.627
counterclaim	counterclaim	0.398	0.760	0.651
counterfeit	huwad	0.094	0.694	0.451
counterpart	katapat	0.448	0.608	0.577
counterpoint	counterpoint	0.438	0.509	0.538
countess	countess	0.562	0.440	0.670
countless	hindi mabilang	0.520	0.566	0.534
country	bansa	0.698	0.394	0.693
countryman	kababayan	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	kanayunan	0.732	0.288	0.327
counts	binibilang	0.343	0.373	0.500
county	county	0.479	0.368	0.545
coup	kudeta	0.275	0.815	0.607
coupe	coupe	0.479	0.460	0.482
couple	mag asawa	0.806	0.605	0.607
coupled	kaisa	0.612	0.286	0.650
coupling	pagkabit	0.594	0.479	0.555
coupon	kupon	0.704	0.300	0.421
courage	lakas ng loob	0.830	0.728	0.849
courageous	matapang	0.918	0.587	0.879
courier	courier	0.551	0.383	0.441
courses	kurso	0.735	0.412	0.534
coursing	coursing	0.542	0.472	0.546
court	hukuman	0.479	0.769	0.827
courteous	magalang	0.937	0.396	0.529
courtesy	kagandahang-loob	0.927	0.287	0.431
courthouse	courthouse	0.571	0.503	0.818
courtroom	courtroom	0.385	0.670	0.887
courts	mga korte	0.367	0.710	0.816
courtship	panliligaw	0.667	0.490	0.654
courtside	courtside	0.592	0.391	0.434
courtyard	patyo	0.503	0.365	0.355
cousin	pinsan	0.675	0.394	0.427
cousins	pinsan	0.760	0.409	0.464
cove	cove	0.500	0.304	0.370
coven	coven	0.458	0.578	0.591
covenant	tipan	0.594	0.462	0.667
cover	takip	0.365	0.240	0.471
coverage	coverage	0.767	0.413	0.629
covered	sakop	0.562	0.340	0.644
covering	takip	0.615	0.382	0.583
covert	tago	0.500	0.570	0.508
covet	magnanakaw	0.302	0.779	0.524
coveted	coveted	0.661	0.730	0.625
cow	baka	0.449	0.230	0.300
coward	duwag	0.102	0.490	0.149
cowardice	katatakutan	0.133	0.621	0.167
cowardly	duwag	0.102	0.385	0.127
cowboy	koboy	0.594	0.625	0.695
cowgirl	cowgirl	0.541	0.566	0.554
cowhand	cowhand	0.438	0.480	0.596
cowhide	katad	0.458	0.324	0.333
cowl	baka	0.427	0.450	0.232
coworker	katrabaho	0.667	0.490	0.625
coy	coy	0.347	0.330	0.213
coyote	koyote	0.459	0.471	0.387
cozy	maginhawa	0.910	0.356	0.545
crab	alimango	0.421	0.396	0.330
crabby	alimango	0.198	0.812	0.370
crack	pumutok	0.302	0.625	0.400
cracked	basag	0.224	0.520	0.228
cracker	cracker	0.604	0.343	0.346
crackerjack	crackerjack	0.567	0.509	0.426
cracking	crack	0.327	0.557	0.286
crackle	kaluskos	0.327	0.643	0.481
crackpot	crackpot	0.260	0.602	0.245
cradle	duyan	0.776	0.194	0.333
craft	bapor	0.760	0.321	0.539
crafts	crafts	0.667	0.380	0.391
craftsman	craftsman	0.719	0.310	0.583
craftsmanship	craftsmanship	0.823	0.373	0.571
crafty	tuso	0.589	0.679	0.783
craig	craig	0.448	0.449	0.490
cram	cram	0.354	0.730	0.598
crammed	crammed	0.406	0.740	0.466
cramp	kram	0.194	0.796	0.340
cramped	masikip	0.240	0.567	0.360
cranberry	Cranberry	0.793	0.330	0.363
cranberry juice	cranberry juice	0.622	0.321	0.281
crane	kreyn	0.396	0.417	0.589
cranial	cranial	0.354	0.510	0.583
cranium	krusum	0.439	0.491	0.725
crank	kakatuwang tao	0.448	0.275	0.417
cranky	mainit ang ulo	0.194	0.776	0.396
cranny	cranny	0.194	0.471	0.250
crap	crap	0.083	0.644	0.167
crappy	crappy	0.039	0.582	0.208
craps	craps	0.375	0.420	0.273
crash	bumagsak	0.194	0.906	0.355
crass	crass	0.223	0.490	0.466
crate	kahon	0.427	0.173	0.274
crater	bunganga	0.450	0.647	0.529
crave	manabik nang labis	0.625	0.510	0.731
craving	labis na pananabik	0.510	0.755	0.636
crawfish	crawfish	0.510	0.427	0.342
crawl	pag-crawl	0.479	0.519	0.467
crayon	krayola	0.604	0.260	0.185
crayons	krayola	0.684	0.366	0.405
craze	pagkahumaling	0.255	0.657	0.435
crazed	ulol	0.153	0.877	0.417
craziness	kabiguan	0.238	0.908	0.255
crazy	mabaliw	0.156	0.843	0.321
creak	creak	0.344	0.670	0.411
creaking	creaking	0.302	0.743	0.415
cream	cream	0.688	0.259	0.220
creamed	creamed	0.723	0.273	0.288
creamer	creamer	0.594	0.192	0.269
creamy	mag-atas	0.823	0.337	0.345
crease	tupi	0.440	0.286	0.300
create	lumikha	0.786	0.588	0.789
creation	paglikha	0.927	0.575	0.868
creative	creative	0.917	0.518	0.788
creativity	pagkamalikhain	0.938	0.684	0.815
creator	tagalikha	0.865	0.592	0.856
creature	nilalang	0.669	0.625	0.620
credence	tiwala	0.760	0.460	0.737
credential	kredensyal	0.735	0.337	0.597
credentials	mga kredensyal	0.708	0.373	0.675
credibility	kredibilidad	0.875	0.427	0.809
credible	kapani-paniwala	0.917	0.441	0.750
credit	credit	0.673	0.549	0.648
credit card	credit card	0.670	0.550	0.640
creditable	na pinapahintulutan	0.802	0.510	0.742
credited	kredito	0.781	0.390	0.691
crediting	kredito	0.673	0.550	0.741
creditor	pinagkakautangan	0.479	0.594	0.689
creed	pananampalataya	0.573	0.245	0.544
creek	creek	0.552	0.392	0.330
creep	kilabot	0.354	0.647	0.361
creeper	creeper	0.429	0.558	0.366
creeping	gumagapang	0.292	0.613	0.282
creepy	katakut-takot	0.125	0.861	0.373
cremation	pagsusunog ng bangkay	0.084	0.620	0.420
creole	creole	0.667	0.357	0.523
crepe	crepe	0.562	0.224	0.349
crescendo	crescendo	0.760	0.575	0.594
crescent	gasuklay	0.698	0.382	0.407
crest	tagaytay	0.458	0.333	0.333
crestfallen	crestfallen	0.235	0.346	0.175
cretin	cretin	0.265	0.583	0.312
cretins	cretins	0.094	0.741	0.328
crevice	tulog	0.361	0.471	0.275
crew	crew	0.604	0.598	0.735
crewman	crewman	0.602	0.580	0.548
crib	kuna	0.653	0.240	0.407
cricket	kuliglig	0.423	0.539	0.370
cried	sumigaw	0.167	0.612	0.254
crime	krimen	0.071	0.943	0.630
criminal	kriminal	0.021	0.830	0.529
criminality	krimen	0.122	0.863	0.580
crimp	gumupit	0.260	0.557	0.396
crimson	krimson	0.667	0.385	0.370
cringe	sumukot	0.245	0.840	0.377
cripple	lumpo	0.094	0.392	0.161
crippled	lumpo	0.035	0.358	0.236
crippling	baldado	0.156	0.598	0.391
crisis	krisis	0.208	0.811	0.431
crisp	malutong	0.776	0.692	0.508
crispy	crispy	0.656	0.550	0.509
criterion	kriterya	0.396	0.410	0.736
critic	kritiko	0.264	0.604	0.686
critical	mapanganib	0.312	0.802	0.545
criticise	pumuna	0.073	0.700	0.452
criticism	kritika	0.115	0.563	0.505
criticize	pumuna	0.143	0.708	0.473
criticized	criticized	0.240	0.600	0.311
critique	kritika	0.302	0.760	0.537
critter	critter	0.542	0.539	0.482
croak	croak	0.337	0.346	0.298
croc	croc	0.327	0.452	0.451
crock	crock	0.385	0.412	0.421
crockery	babasagin	0.552	0.216	0.327
crocodile	buwaya	0.344	0.708	0.610
croft	croft	0.531	0.429	0.421
croissant	croissant	0.745	0.330	0.430
crook	crook	0.171	0.765	0.550
crooked	baluktot	0.146	0.594	0.305
crop	i-crop	0.615	0.260	0.500
croquet	kroket	0.551	0.519	0.407
cross	krus	0.448	0.321	0.569
cross country	cross country	0.531	0.441	0.529
crossbow	pana	0.344	0.598	0.560
crossed	tumawid	0.431	0.490	0.508
crossfire	kislap	0.316	0.896	0.722
crossing	tawiran	0.549	0.349	0.451
crossover	crossover	0.559	0.550	0.500
crosswalk	crosswalk	0.557	0.441	0.380
crossword	krosword	0.611	0.423	0.455
crotch	pundya	0.521	0.637	0.447
crouch	sumukot	0.281	0.606	0.312
crouched	crouched	0.333	0.363	0.279
crouching	yumuko	0.261	0.429	0.345
croupier	croupier	0.531	0.519	0.404
crow	uwak	0.224	0.439	0.363
crowbar	crowbar	0.406	0.531	0.386
crowd	karamihan ng tao	0.350	0.827	0.731
crowded	masikip	0.694	0.286	0.585
crowds	mga pulutong	0.469	0.723	0.806
crown	korona	0.708	0.572	0.737
crowning	pagpaparangal	0.773	0.594	0.831
crucial	mahalaga	0.541	0.657	0.777
cruciate	cruciate	0.429	0.435	0.585
crucifix	krusipiho	0.469	0.480	0.510
crucifixion	pagpapako sa krus	0.135	0.857	0.541
crucify	ipako sa krus	0.146	0.878	0.573
crud	crud	0.312	0.330	0.444
crude	krudo	0.198	0.402	0.357
cruel	malupit	0.122	0.866	0.391
cruelly	malupit	0.146	0.790	0.471
cruelty	kalupitan	0.092	0.836	0.536
cruise	cruise	0.740	0.442	0.683
cruise ship	cruise ship	0.878	0.650	0.500
cruiser	cruiser	0.737	0.490	0.608
cruising	cruising	0.886	0.580	0.560
crumb	mumo	0.417	0.255	0.216
crumble	gumuho	0.333	0.480	0.423
crumbling	crumbling	0.167	0.696	0.308
crummy	crummy	0.125	0.531	0.224
crunch	langutngot	0.292	0.630	0.406
crunchy	malutong	0.625	0.560	0.539
crusade	krusada	0.592	0.720	0.709
crusader	crusader	0.439	0.588	0.548
crush	crush	0.271	0.676	0.582
crushed	durog	0.167	0.647	0.300
crusher	pandurog	0.271	0.709	0.598
crushing	pagdurog	0.219	0.755	0.411
crust	tinapay	0.542	0.337	0.456
crusty	magaspang	0.625	0.531	0.473
crutch	saklay	0.302	0.294	0.302
crux	crux	0.469	0.558	0.519
cry	umiyak	0.133	0.627	0.255
crybaby	iyaking sanggol	0.375	0.702	0.311
crying	umiiyak	0.153	0.704	0.208
crypt	crypt	0.156	0.431	0.386
cryptic	misteriyoso	0.296	0.516	0.474
cryptography	cryptography	0.490	0.415	0.650
crystal	kristal	0.618	0.270	0.508
crystalline	mala-kristal	0.765	0.235	0.534
crystallization	pagkikristal	0.600	0.449	0.565
cub	batang lalaki	0.646	0.382	0.284
cubby	cubby	0.354	0.385	0.360
cube	kubo	0.469	0.226	0.274
cubic	kubiko	0.458	0.306	0.407
cubicle	cubicle	0.479	0.343	0.417
cuckold	pindutin ang	0.210	0.573	0.230
cuckoo	kuku	0.420	0.459	0.284
cucumber	pipino	0.490	0.235	0.237
cuddle	yakap	0.885	0.559	0.475
cuddled	cuddled	0.906	0.547	0.567
cuddles	cuddles	0.847	0.382	0.500
cuddling	cuddling	0.917	0.562	0.433
cue	cue	0.521	0.433	0.484
cuff	sampal	0.469	0.453	0.387
cuisine	lutuin	0.714	0.365	0.390
culinary	sa pagluluto	0.654	0.443	0.519
cull	cull	0.365	0.702	0.464
culminate	humantong	0.667	0.550	0.602
culmination	paghantong	0.656	0.586	0.695
culpability	kasalanan	0.112	0.745	0.368
culpable	may sala	0.140	0.700	0.319
culprit	salarin	0.062	0.676	0.333
cult	kulto	0.448	0.535	0.648
cultivate	linangin	0.708	0.410	0.598
cultivated	nilinang	0.837	0.343	0.564
cultivation	paglilinang	0.625	0.324	0.462
cultural	kultura	0.802	0.390	0.623
culture	kultura	0.753	0.304	0.675
cultured	pinag-aralan	0.635	0.429	0.625
culvert	tubo	0.337	0.324	0.343
cumbersome	masalimuot	0.259	0.623	0.292
cumulus	cumulus	0.570	0.433	0.432
cunning	tuso	0.604	0.685	0.683
cunt	pusa	0.135	0.673	0.377
cup	tasa	0.615	0.167	0.231
cupboard	aparador	0.553	0.200	0.304
cupcake	cupcake	0.656	0.333	0.344
cupping	tasa	0.490	0.610	0.402
cur	cur	0.440	0.519	0.460
curable	malulunasan	0.823	0.292	0.574
curate	curate	0.726	0.418	0.526
curative	nakakagamot	0.667	0.318	0.613
curator	tagapangasiwa	0.688	0.389	0.688
curb	gilid ng gilid	0.472	0.371	0.402
curd	curd	0.542	0.442	0.278
cure	lunas	0.719	0.377	0.623
curfew	curfew	0.219	0.618	0.623
curiosity	pagkamausisa	0.750	0.755	0.463
curious	mausisa	0.635	0.600	0.483
curl	kulutin	0.385	0.452	0.351
curling	pagkukulot	0.583	0.592	0.400
currency	pera	0.583	0.418	0.592
current	kasalukuyang	0.625	0.312	0.612
curriculum	kurikulum	0.708	0.306	0.620
curry	kari	0.633	0.345	0.302
curse	sumpa	0.033	0.720	0.375
cursed	sinumpa	0.083	0.783	0.393
cursing	pagmumura	0.112	0.860	0.446
cursory	matalo	0.423	0.451	0.431
curt	kurtina	0.245	0.610	0.452
curtail	bawasan	0.306	0.439	0.497
curtailment	pagbabawas	0.230	0.578	0.431
curtain	kurtina	0.698	0.278	0.304
curtains	mga kurtina	0.615	0.123	0.342
curtsy	curtsy	0.635	0.412	0.598
curvature	kurbada	0.417	0.367	0.447
curve	kurba	0.480	0.375	0.307
curved	hubog	0.542	0.407	0.337
curvilinear	curvilinear	0.480	0.575	0.411
cushion	unan	0.653	0.221	0.292
cushy	malambot	0.823	0.283	0.395
cusp	cusp	0.667	0.710	0.700
cuss	mura	0.354	0.538	0.443
cussed	cussed	0.156	0.625	0.454
custard	custard	0.618	0.260	0.293
custodial	custodial	0.418	0.462	0.718
custodian	tagapag-alaga	0.594	0.625	0.528
custody	pag-iingat	0.494	0.472	0.675
custom	pasadya	0.552	0.382	0.688
customary	kaugalian	0.700	0.253	0.561
customer	customer	0.562	0.430	0.673
customized	na-customize	0.625	0.504	0.590
cut	gupitin	0.490	0.490	0.393
cutaneous	balat	0.365	0.370	0.328
cute	cute	0.920	0.528	0.579
cuticle	kutikyol	0.340	0.320	0.377
cutie	cutie	0.638	0.528	0.464
cutlass	cutlass	0.173	0.648	0.528
cutlery	kubyertos	0.552	0.300	0.345
cutoff	putulin	0.432	0.510	0.518
cutter	pamutol	0.427	0.731	0.583
cutters	cutter	0.197	0.653	0.491
cutthroat	cutthroat	0.110	0.823	0.663
cutting	pagputol	0.448	0.375	0.536
cutting board	sangkalan	0.337	0.540	0.342
cuttings	pinagputulan	0.479	0.392	0.433
cwt	cwt	0.500	0.410	0.384
cyanide	syanuro	0.229	0.667	0.545
cyberspace	cyberspace	0.677	0.594	0.611
cycle	cycle	0.635	0.400	0.533
cyclical	cyclical	0.380	0.450	0.554
cyclist	siklista	0.684	0.582	0.576
cyclone	bagyo	0.416	0.796	0.673
cylinder	silindro	0.459	0.324	0.447
cylindrical	cylindrical	0.458	0.294	0.414
cymbal	cymbal	0.542	0.363	0.362
cynic	cynic	0.135	0.632	0.473
cynical	mapang-uyam	0.156	0.760	0.474
cynicism	sinisismo	0.104	0.780	0.454
cyst	kato	0.173	0.578	0.312
cystic	cystic	0.314	0.481	0.400
cytomegalovirus	cytomegalovirus	0.186	0.657	0.443
cytoplasm	cytoplasm	0.378	0.442	0.474
czar	czar	0.480	0.348	0.643
dab	dab	0.510	0.337	0.340
dabble	kumislap	0.550	0.530	0.491
dabbling	dabbling	0.562	0.726	0.676
dad	ama	0.857	0.412	0.786
daddy	tatay	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	demonyo	0.333	0.490	0.500
daft	daft	0.255	0.436	0.157
dagger	sabaw	0.224	0.797	0.613
daily	araw-araw	0.653	0.347	0.473
dainty	marikit	0.604	0.284	0.424
daiquiri	daiquiri	0.670	0.519	0.400
dairy	pagawaan ng gatas	0.633	0.255	0.462
daisy	daisy	0.562	0.367	0.333
dak	NO TRANSLATION	0.510	0.417	0.424
dale	Dale	0.622	0.270	0.365
dam	dam	0.250	0.553	0.394
damage	pinsala	0.059	0.726	0.403
damaged	nasira	0.104	0.635	0.182
damages	pinsala	0.082	0.760	0.310
dame	dame	0.694	0.480	0.500
damn	sumpain	0.073	0.784	0.431
damnation	pagsumpa	0.135	0.750	0.416
damned	sinumpa	0.100	0.760	0.465
damp	mamasa-masa	0.360	0.279	0.210
dampened	dampened	0.271	0.422	0.336
damper	taong sumisira	0.459	0.378	0.473
damsel	damsel	0.719	0.475	0.400
dance	sayaw	0.894	0.840	0.551
dancer	mananayaw	0.740	0.768	0.545
dancing	sayawan	0.885	0.868	0.444
dandruff	balakubak	0.398	0.298	0.293
dandy	napakainam	0.673	0.520	0.630
danger	panganib	0.115	0.923	0.673
dangerous	mapanganib	0.020	0.941	0.658
dangerously	dangerously	0.082	0.930	0.564
dangit	NO TRANSLATION	0.396	0.606	0.358
dangle	baluktot	0.362	0.469	0.375
dank	NO TRANSLATION	0.390	0.381	0.383
dapper	dapper	0.770	0.560	0.698
dare	maglakas-loob	0.677	0.788	0.684
daredevil	daredevil	0.429	0.714	0.653
daresay	daresay	0.540	0.451	0.490
daring	walang takot	0.583	0.840	0.711
dark	madilim	0.198	0.398	0.426
darken	magpapadilim	0.250	0.471	0.382
darkened	darkened	0.135	0.440	0.452
darkly	madilim	0.219	0.548	0.443
darkness	kadiliman	0.102	0.602	0.418
darkroom	madilim na kwarto	0.188	0.627	0.423
darkside	darkside	0.102	0.690	0.365
darling	sinta	0.885	0.370	0.608
darn	darn	0.115	0.765	0.418
dart	dart	0.417	0.608	0.500
dash	gitling	0.574	0.312	0.324
dashboard	dashboard	0.510	0.371	0.595
dashed	dashed	0.276	0.393	0.338
dashing	magmadali	0.612	0.627	0.799
dastardly	parang tuso	0.208	0.688	0.270
data	data	0.500	0.250	0.426
database	database	0.604	0.286	0.644
date	petsa	0.604	0.231	0.400
datenight	NO TRANSLATION	0.708	0.637	0.518
daughter	anak na babae	0.908	0.415	0.455
dawdle	yumuko	0.479	0.464	0.357
dawn	madaling araw	0.827	0.235	0.519
dawned	dawned	0.694	0.471	0.473
day	araw	0.719	0.269	0.389
daybreak	bukang-liwayway	0.802	0.358	0.474
daycare	daycare	0.776	0.481	0.360
daydream	mangarap ng gising	0.750	0.337	0.456
daydreaming	daydreaming	0.776	0.360	0.479
daylight	liwanag ng araw	0.865	0.420	0.545
daymade	NO TRANSLATION	0.646	0.450	0.417
dayoff	NO TRANSLATION	0.760	0.368	0.377
daytime	araw na araw	0.750	0.324	0.454
daze	malungkot	0.245	0.735	0.329
dazed	dazed	0.300	0.697	0.277
dazzle	magaling	0.730	0.782	0.683
dazzling	nakasisindak	0.854	0.880	0.767
deacon	deacon	0.531	0.430	0.736
deactivate	deactivate	0.235	0.447	0.392
dead	patay	0.052	0.454	0.194
deadbeat	patayin	0.229	0.453	0.368
deadline	deadline	0.214	0.615	0.460
deadlines	deadline	0.406	0.769	0.411
deadlock	deadlock	0.170	0.418	0.323
deadly	nakamamatay	0.143	0.849	0.554
deaf	bingi	0.186	0.324	0.161
deafening	nakakatawa	0.281	0.835	0.482
deafness	pagkabingi	0.125	0.413	0.219
deal	pakikitungo	0.719	0.599	0.543
dealer	dealer	0.799	0.615	0.683
dealership	dealership	0.541	0.430	0.629
dealing	pakikitungo	0.724	0.415	0.598
dealings	pakikitungo	0.600	0.491	0.480
dean	dean	0.612	0.469	0.723
dear	mahal ko	0.880	0.434	0.629
dearest	pinakamamahal	0.902	0.427	0.508
dearth	kakulangan	0.156	0.539	0.255
death	kamatayan	0.031	0.720	0.472
deathbed	kamatayan	0.051	0.652	0.311
deathly	nakamamatay	0.073	0.771	0.682
debacle	debacle	0.156	0.606	0.266
debased	masama	0.219	0.529	0.170
debatable	debatable	0.181	0.610	0.474
debate	debate	0.408	0.691	0.683
debauchery	pagkalupig	0.354	0.901	0.500
debenture	debenture	0.417	0.500	0.466
debilitating	nagpapabagal	0.125	0.490	0.308
debit	utang	0.333	0.400	0.474
debrief	debrief	0.247	0.343	0.549
debriefing	debriefing	0.427	0.580	0.456
debris	mga labi	0.135	0.396	0.327
debt	utang	0.204	0.598	0.336
debtor	may utang	0.219	0.546	0.160
debut	debu	0.806	0.606	0.629
debutante	debutante	0.771	0.627	0.454
decade	dekada	0.531	0.402	0.665
decadence	pagkawasak	0.237	0.455	0.291
decadent	duwag	0.290	0.559	0.324
decaf	decaf	0.480	0.324	0.353
decanter	decanter	0.438	0.567	0.510
decathlon	decathlon	0.573	0.753	0.620
decay	pagkabulok	0.143	0.312	0.170
decayed	nabulok	0.017	0.375	0.169
decaying	pagkawasak	0.073	0.510	0.214
deceased	namatay	0.021	0.538	0.188
decedent	decedent	0.423	0.481	0.415
deceit	panlilinlang	0.020	0.696	0.343
deceitful	mapanlinlang	0.071	0.788	0.371
deceive	linlangin	0.094	0.775	0.414
deceived	nalinlang	0.059	0.673	0.302
deceiving	pagdaraya	0.099	0.636	0.426
december	Disyembre	0.740	0.540	0.464
decency	kabaitan	0.750	0.235	0.634
decent	disente	0.823	0.296	0.653
deception	panlilinlang	0.090	0.745	0.370
deceptive	mapanlinlang	0.027	0.605	0.294
decide	magpasya	0.656	0.540	0.855
decidedly	talaga	0.750	0.480	0.843
deciduous	nangungulag	0.385	0.353	0.282
decimal	decimal	0.507	0.259	0.305
decimeter	desimetro	0.520	0.292	0.377
decipher	maintindihan	0.417	0.630	0.652
decision	desisyon	0.646	0.510	0.839
decisive	mapagpasyahan	0.740	0.509	0.935
deck	kubyerta	0.420	0.333	0.394
declaration	deklarasyon	0.551	0.590	0.714
declaratory	deklaratory	0.635	0.582	0.673
declare	magpahayag	0.677	0.623	0.668
declination	pagtanggi	0.250	0.549	0.311
decline	tanggihan	0.173	0.491	0.240
declining	pagtanggi	0.328	0.400	0.264
deco	deco	0.625	0.274	0.356
decode	mabasa	0.551	0.510	0.640
decoder	decoder	0.562	0.340	0.686
decompose	mabulok	0.194	0.596	0.241
decomposed	decomposed	0.073	0.442	0.231
decomposition	agnas	0.133	0.600	0.263
decompress	magbawas ng timbang	0.438	0.430	0.509
decompression	decompression	0.208	0.520	0.311
decontamination	paglilinis sa gas	0.611	0.538	0.573
decor	palamuti	0.734	0.311	0.573
decorate	palamutihan	0.954	0.370	0.404
decorating	dekorasyon	0.863	0.548	0.462
decoration	palamuti	0.878	0.553	0.526
decorative	pandekorasyon	0.908	0.460	0.381
decorator	dekorador	0.840	0.471	0.455
decorum	kagandahan	0.802	0.327	0.462
decoy	tulog	0.149	0.460	0.330
decrease	bumaba	0.125	0.360	0.267
decreased	nabawasan	0.224	0.271	0.170
decreasing	nagpapababa	0.320	0.346	0.224
decree	mag-atas	0.552	0.478	0.746
decrement	pagbawas	0.255	0.427	0.373
decrepit	hukluban	0.156	0.490	0.225
decry	mag-decry	0.400	0.814	0.548
decryption	decryption	0.459	0.445	0.600
dedicate	maglaan	0.823	0.431	0.588
dedication	dedikasyon	0.867	0.471	0.682
deduce	pagbigkas	0.490	0.510	0.466
deduct	ibawas	0.355	0.330	0.412
deductible	mababawas	0.375	0.286	0.455
deduction	pagbawas	0.438	0.462	0.527
deed	gawa	0.520	0.320	0.592
deejay	deejay	0.551	0.630	0.473
deem	itinuturing	0.594	0.529	0.690
deep	malalim	0.490	0.473	0.657
deepen	palalimin	0.625	0.530	0.776
deer	usa	0.583	0.375	0.292
