Word	Azeerbaijani-az	Valence	Arousal	Dominance
chatty	söhbət	0.594	0.548	0.345
chauffeur	şofer	0.500	0.353	0.471
chauvinist	şovinist	0.310	0.539	0.527
cheap	ucuz	0.612	0.471	0.272
cheapened	ucuzlaşdı	0.471	0.611	0.282
cheapskate	cheapskate	0.148	0.482	0.327
cheat	aldatmaq	0.125	0.776	0.400
cheater	xəyanətkar	0.104	0.920	0.333
check	yoxlayın	0.523	0.552	0.602
checkbook	Çek defteri	0.552	0.284	0.364
checker	nəzarətçi	0.330	0.417	0.553
checkered	damalı	0.459	0.316	0.336
checkers	dama	0.676	0.451	0.437
checklist	yoxlama siyahısı	0.561	0.521	0.552
checkmate	şahmat	0.667	0.708	0.750
checkout	yoxla	0.597	0.510	0.670
checkpoint	nəzarət nöqtəsi	0.571	0.323	0.812
checkup	yoxlamaq	0.500	0.435	0.491
cheek	Yanaq	0.670	0.314	0.421
cheeks	yanaqlar	0.708	0.324	0.282
cheeky	yoxsulluq	0.434	0.679	0.410
cheep	çaşqınlıq	0.367	0.380	0.373
cheer	şən	0.938	0.784	0.845
cheered	təəccübləndi	0.875	0.648	0.790
cheerful	şən	0.990	0.720	0.696
cheerfulness	şənlik	0.969	0.802	0.675
cheering	təzahürat	0.815	0.824	0.642
cheerleader	çərşənbə axşamı	0.923	0.746	0.657
cheerleading	çiçəklənmə	0.698	0.769	0.404
cheerless	təəccüblü deyil	0.204	0.373	0.167
cheers	sevindirir	0.948	0.770	0.702
cheery	xoşbəxtlik	0.949	0.657	0.486
cheese	Pendir	0.740	0.280	0.281
cheeseburger	cheeseburger	0.802	0.529	0.336
cheesecake	cheesecake	0.860	0.276	0.238
cheesy	pendirsiz	0.470	0.471	0.179
cheetah	Çita	0.469	0.770	0.667
chef	şef	0.854	0.411	0.570
chemical	kimyəvi	0.337	0.560	0.508
chemise	NO TRANSLATION	0.530	0.275	0.364
chemist	kimyaçı	0.408	0.575	0.610
chemistry	kimya	0.625	0.520	0.694
chemo	chemo	0.214	0.686	0.444
chemotherapy	kemoterapi	0.163	0.689	0.517
cheque	yoxlayın	0.698	0.529	0.660
cherish	bəsləmək	0.896	0.491	0.652
cherishing	həsrətdir	0.836	0.380	0.625
cherry	albalı	0.688	0.186	0.250
cherub	keruv	0.663	0.340	0.455
chess	şahmat	0.656	0.363	0.518
chest	sinə	0.520	0.429	0.481
chestnut	şabalıd	0.714	0.210	0.294
chevron	chevron	0.469	0.469	0.598
chew	çeynəmək	0.520	0.490	0.404
chewy	chewy	0.625	0.418	0.390
chic	qəşəng	0.870	0.624	0.380
chicane	çikan	0.357	0.460	0.481
chick	cücə	0.771	0.602	0.387
chicken	toyuq	0.594	0.306	0.394
chicken pox	Suçiçəyi xəstəliyi, suçiçəyi	0.194	0.510	0.415
chickenpox	Suçiçəyi xəstəliyi, suçiçəyi	0.173	0.562	0.357
chief	şef	0.520	0.544	0.869
chiefly	əsasən	0.600	0.587	0.764
chieftain	qapıçı	0.343	0.529	0.860
chiffon	şifon	0.406	0.230	0.250
child	uşaq	0.912	0.460	0.413
childbirth	doğuş	0.604	0.861	0.673
childhood	uşaqlıq	0.865	0.413	0.307
childish	uşaqlıq	0.573	0.442	0.230
childless	uşaqsız	0.310	0.400	0.396
childlike	uşaqlıq	0.656	0.372	0.293
childloss	NO TRANSLATION	0.240	0.571	0.421
children	uşaqlar	0.857	0.538	0.435
chili	çili	0.592	0.566	0.433
chill	soyuq	0.837	0.206	0.482
chilled	soyudulmuşdur	0.521	0.340	0.482
chilling	dondurma	0.208	0.850	0.358
chilly	soyuq	0.329	0.459	0.408
chime	zəng	0.573	0.541	0.464
chimera	chimera	0.292	0.582	0.372
chimes	səslənir	0.625	0.490	0.402
chimney	baca	0.583	0.286	0.225
chimp	şimp	0.394	0.588	0.345
chimpanzee	şempanze	0.500	0.633	0.387
chin	buxaq	0.571	0.310	0.269
china	çin	0.561	0.443	0.556
chinchilla	şinşillə	0.480	0.450	0.286
chine	NO TRANSLATION	0.561	0.360	0.352
chinook	çinook	0.408	0.497	0.491
chip	çip	0.479	0.382	0.452
chipmunk	çimdik	0.573	0.562	0.409
chipper	çipper	0.418	0.588	0.500
chipping	çipləmə	0.354	0.452	0.353
chiropractor	şiroterapi	0.420	0.549	0.651
chirp	çıraq	0.469	0.602	0.365
chirping	cazibə	0.500	0.463	0.360
chisel	kəsik	0.469	0.404	0.452
chiseler	kiseler	0.429	0.606	0.464
chit	çit	0.490	0.352	0.321
chitchat	çıtırt	0.673	0.455	0.403
chivalry	şövq	0.857	0.380	0.848
chloride	xlorid	0.265	0.387	0.474
chlorine	xlor	0.306	0.327	0.332
chloroform	xloroform	0.281	0.370	0.393
chocolate	şokolad	0.885	0.480	0.418
choice	seçim	0.745	0.520	0.664
choir	xor	0.704	0.298	0.473
choke	boğmaq	0.167	0.788	0.676
cholera	xolera	0.020	0.867	0.507
cholesterol	xolesterol	0.198	0.583	0.398
choose	seçin	0.615	0.542	0.648
choosing	seçmək	0.719	0.529	0.689
choosy	seçici	0.280	0.760	0.712
chop	doğramaq	0.250	0.655	0.467
chopper	chopper	0.594	0.560	0.509
choppers	choppers	0.469	0.745	0.691
chopping	doğramaq	0.560	0.625	0.362
chops	kəsilməkdədir	0.612	0.420	0.269
choral	xor	0.852	0.290	0.421
chord	akort	0.729	0.394	0.539
chords	ağlar	0.639	0.406	0.388
chore	xore	0.406	0.462	0.500
choreographer	xoreoqraf	0.646	0.639	0.625
choreography	xoreoqrafiya	0.812	0.750	0.547
chorus	xor	0.620	0.417	0.500
chosen	seçildi	0.865	0.449	0.833
chow	chow	0.573	0.490	0.390
chowder	Çörək	0.510	0.324	0.241
christ	christ	0.781	0.510	0.750
christen	NO TRANSLATION	0.673	0.356	0.588
christening	xristianlıq	0.725	0.382	0.650
christian	xristian	0.760	0.241	0.591
christmas	xristianlar	0.959	0.520	0.741
christmasbreak	NO TRANSLATION	0.842	0.640	0.548
christmaseve	NO TRANSLATION	0.812	0.491	0.463
christmasspirit	NO TRANSLATION	0.867	0.602	0.575
christmassy	xristmassy	0.875	0.698	0.602
christmastime	Milad zamanı	0.837	0.588	0.515
chromatic	xromatik	0.407	0.413	0.435
chromatography	kromatoqrafiya	0.480	0.537	0.535
chrome	xrom	0.582	0.373	0.421
chromium	krom	0.458	0.404	0.447
chromosome	xromosom	0.500	0.296	0.548
chronic	xroniki	0.255	0.615	0.464
chronicle	xronika	0.427	0.571	0.586
chronograph	kronograf	0.500	0.392	0.529
chronological	xronoloji	0.594	0.445	0.600
chubby	dolu	0.531	0.427	0.304
chuck	Çək	0.542	0.509	0.413
chuckle	kıkırdama	0.844	0.736	0.481
chug	chug	0.401	0.413	0.358
chum	Çum	0.911	0.347	0.518
chummy	çənə	0.760	0.420	0.610
chump	çarpma	0.375	0.451	0.304
chunk	yığın	0.365	0.287	0.214
chunky	çirkin	0.520	0.517	0.509
church	kilsə	0.708	0.198	0.610
churchyard	kilsə bağı	0.296	0.444	0.347
churn	buraxmaq	0.316	0.491	0.407
chute	haşiyə	0.580	0.745	0.455
chutney	chutney	0.459	0.370	0.400
ciao	ciao	0.542	0.426	0.409
cider	suyu	0.530	0.346	0.398
cigar	siqar	0.306	0.463	0.346
cigarette	siqaret	0.219	0.528	0.304
cilantro	cilantro	0.469	0.260	0.208
cinch	cinch	0.450	0.490	0.387
cinder	zərif	0.350	0.260	0.157
cinema	kinoteatr	0.698	0.538	0.500
cinematic	kinematik	0.663	0.490	0.600
cinematographer	sinematoqraf	0.792	0.455	0.711
cinematography	kinematoqrafiya	0.781	0.571	0.625
cinnamon	darçın	0.600	0.250	0.292
cipher	şifrə	0.490	0.414	0.500
circle	dairə	0.480	0.290	0.343
circling	dairə	0.510	0.654	0.336
circuit	circuit	0.586	0.461	0.707
circuitry	dövrə	0.596	0.615	0.536
circular	dairəvi	0.562	0.342	0.417
circulate	dolaşmaq	0.612	0.388	0.320
circulation	Dövriyyə	0.735	0.520	0.657
circulatory	dolaşım	0.592	0.575	0.545
circumcision	sünnətdir	0.327	0.657	0.528
circumference	dövrə	0.458	0.255	0.488
circumferential	çevik	0.551	0.422	0.509
circumscribed	məhdudlaşdırılıb	0.365	0.539	0.569
circumstance	Hal	0.520	0.565	0.596
circumstances	şərtlər	0.562	0.527	0.464
circumstantial	əsasən	0.500	0.538	0.519
circumvent	fırıldaq	0.316	0.642	0.383
circumvention	əxlaqsızlıq	0.531	0.571	0.473
circus	sirk	0.724	0.637	0.432
cirque	cirque	0.604	0.647	0.467
cirrhosis	sirroz	0.079	0.602	0.370
cirrus	cirrus	0.470	0.451	0.348
cistern	sarnıç	0.541	0.413	0.432
citadel	qalası	0.585	0.464	0.602
citation	Sitat gətir	0.570	0.549	0.508
cite	cite	0.625	0.454	0.532
citizen	vətəndaş	0.631	0.250	0.586
citizenship	vətəndaşlıq	0.786	0.404	0.723
citrine	citrine	0.375	0.400	0.420
citrus	sitrus	0.469	0.368	0.375
city	şəhər	0.847	0.531	0.508
citywide	şəhərdə	0.592	0.509	0.707
civic	vətəndaşlıq	0.653	0.240	0.573
civics	vətəndaşlıq	0.700	0.279	0.720
civil	mülki	0.521	0.281	0.517
civilian	mülki	0.700	0.229	0.598
civilians	vətəndaşlar	0.490	0.448	0.525
civility	sivillik	0.760	0.306	0.679
civilization	mədəniyyət	0.823	0.452	0.839
civilized	mədəni	0.792	0.231	0.796
clad	örtülmüşdür	0.583	0.373	0.481
claim	iddia	0.255	0.760	0.473
claimant	iddiaçı	0.271	0.690	0.779
clairvoyant	clairvoyant	0.765	0.531	0.897
clam	clam	0.442	0.302	0.272
clambake	clambake	0.542	0.540	0.429
clammy	clammy	0.354	0.440	0.236
clamor	camaat	0.438	0.643	0.360
clamp	clamp	0.541	0.388	0.454
clan	klan	0.562	0.491	0.686
clandestine	gizli	0.425	0.677	0.469
clang	clang	0.459	0.520	0.510
clap	alqış	0.779	0.731	0.529
clapper	clapper	0.500	0.229	0.420
clapping	clapping	0.823	0.894	0.686
clarification	aydınlaşdırılması	0.802	0.461	0.613
clarify	aydınlaşdırmaq	0.652	0.535	0.625
clarinet	klarnet	0.592	0.453	0.411
clarion	aydınlıq	0.500	0.443	0.422
clarity	aydınlıq	0.796	0.310	0.631
clash	qarşıdurma	0.293	0.918	0.453
clashing	clashing	0.177	0.764	0.575
clasp	qapaq	0.448	0.375	0.241
class	sinif	0.656	0.314	0.522
classic	klassik	0.690	0.260	0.611
classic rock	klassik rok	0.729	0.571	0.588
classical	klassik	0.643	0.198	0.536
classics	klassiklər	0.750	0.333	0.510
classification	təsnifat	0.583	0.423	0.613
classified	təsnif edilmişdir	0.571	0.460	0.663
classify	təsnifləşdirmək	0.646	0.411	0.720
classmate	sinif yoldaşı	0.781	0.400	0.593
classroom	sinif otağı	0.539	0.292	0.363
classy	klassik	0.917	0.410	0.649
clatter	çaşqınlıq	0.418	0.820	0.387
clause	bənd	0.480	0.409	0.528
clauses	maddələr	0.449	0.429	0.545
claustrophobia	klostrofobiya	0.125	0.840	0.333
claustrophobic	klostrofobik	0.092	0.755	0.400
clavicle	clavicle	0.398	0.400	0.452
claw	cəza	0.260	0.600	0.598
claws	claws	0.281	0.698	0.562
clay	gil	0.542	0.250	0.267
clean	təmiz	0.827	0.170	0.500
cleaner	təmiz	0.604	0.556	0.375
cleaning	təmizləmə	0.595	0.396	0.427
cleanliness	təmizlik	0.816	0.363	0.609
cleanly	təmizləyin	0.823	0.352	0.583
cleanse	təmizləmək	0.625	0.310	0.660
cleanser	təmizləyici	0.604	0.353	0.433
cleansing	təmizlənmə	0.729	0.298	0.472
cleanup	təmizləmək	0.729	0.314	0.451
clear	aydındır	0.857	0.327	0.573
clearance	boşluq	0.542	0.459	0.473
clearing	klirinq	0.680	0.333	0.509
clearness	aydınlıq	0.875	0.316	0.689
cleat	kəpək	0.486	0.260	0.361
cleavage	bölünmə	0.542	0.602	0.454
cleave	yandırın	0.296	0.545	0.389
cleaver	təmizləyici	0.240	0.627	0.434
clef	boşluq	0.615	0.360	0.595
cleft	yarıq	0.306	0.442	0.360
clemency	əxlaqsızlıq	0.594	0.417	0.397
clench	sıxışdırmaq	0.438	0.618	0.580
clergy	ruhanilər	0.531	0.312	0.575
clergyman	din xadimi	0.594	0.330	0.556
cleric	din xadimi	0.521	0.324	0.589
clerical	işəgötürən	0.520	0.396	0.491
clerk	katib	0.500	0.579	0.509
clerkship	sənətkarlıq	0.582	0.380	0.596
clever	ağıllı	0.896	0.353	0.729
cleverness	ağıllılıq	0.878	0.509	0.921
click	klikləyin	0.536	0.365	0.268
clicker	clicker	0.418	0.490	0.463
client	müştəri	0.583	0.450	0.618
clientele	müştəri	0.625	0.577	0.508
cliff	uçurum	0.361	0.620	0.509
climate	iqlim	0.635	0.240	0.483
climatology	iklimologiya	0.531	0.367	0.541
climax	dırmaşma	0.735	0.853	0.667
climb	dırmaşmaq	0.615	0.660	0.604
climber	alpinist	0.573	0.716	0.735
clinch	clinch	0.469	0.538	0.430
cling	yapışmaq	0.417	0.620	0.588
clingy	yapışqan	0.224	0.460	0.370
clinic	Klinika	0.469	0.439	0.600
clinical	klinikası	0.337	0.412	0.640
clink	klinkə	0.458	0.462	0.319
clip	klip	0.438	0.310	0.381
clipboard	panoya	0.594	0.255	0.423
clipper	klipper	0.293	0.422	0.383
clipping	kəsmə	0.460	0.500	0.405
clique	NO TRANSLATION	0.427	0.430	0.391
clitoris	klitoris	0.625	0.844	0.464
cloak	plağı	0.469	0.188	0.333
cloaking	gizlətmə	0.521	0.595	0.389
cloakroom	qarderob	0.690	0.254	0.397
clobber	qarmaqarışıq	0.396	0.578	0.464
clock	saat	0.677	0.173	0.407
clockwork	saat işi	0.490	0.373	0.528
clod	çıraq	0.375	0.404	0.365
clog	tıxanma	0.104	0.618	0.454
cloister	cloister	0.438	0.413	0.475
clone	klon	0.406	0.471	0.524
cloning	klonlama	0.216	0.696	0.679
close	yaxın	0.292	0.260	0.263
closed	Bağlı	0.240	0.164	0.318
closeness	yaxınlıq	0.796	0.237	0.450
closet	örtük	0.531	0.204	0.330
closure	bağlanma	0.229	0.220	0.412
clot	laxtalanma	0.150	0.558	0.275
cloth	parça	0.510	0.190	0.287
clothe	paltar	0.797	0.330	0.481
clothes	geyimlər	0.833	0.270	0.414
clothesline	clothesline	0.582	0.324	0.366
clothing	geyimlər	0.750	0.343	0.407
cloud	bulud	0.740	0.133	0.342
clouded	buludlu	0.240	0.213	0.302
cloudiness	buludluq	0.469	0.250	0.343
clouds	buludlar	0.735	0.195	0.324
cloudy	buludlu	0.281	0.280	0.202
clout	çubuq	0.584	0.636	0.704
clove	qaranlıq	0.439	0.296	0.315
clover	yonca	0.605	0.340	0.364
cloves	qarışqalar	0.427	0.218	0.396
clown	palyaço	0.650	0.598	0.300
clowns	klounlar	0.600	0.673	0.391
club	klub	0.646	0.618	0.393
clubhouse	klub binası	0.694	0.571	0.493
clubs	klubları	0.723	0.530	0.591
cluck	cluck	0.390	0.490	0.353
clue	ipucu	0.653	0.380	0.412
clueless	clueless	0.350	0.333	0.161
clump	yığışdırmaq	0.551	0.480	0.582
clumsy	bacarıqsız	0.125	0.420	0.144
clunk	clunk	0.448	0.472	0.407
cluster	klaster	0.490	0.458	0.446
clutch	clutch	0.383	0.500	0.491
clutches	debriyajlar	0.542	0.373	0.528
clutter	qarışıqlıq	0.135	0.598	0.400
coach	məşqçi	0.633	0.823	0.735
coachman	məşqçi	0.479	0.394	0.509
coagulation	koagülasyon	0.381	0.558	0.436
coal	kömür	0.360	0.241	0.340
coalesce	birləşmək	0.479	0.434	0.529
coalition	koalisiya	0.490	0.730	0.673
coarse	kobud	0.333	0.481	0.481
coast	sahil	0.719	0.396	0.458
coastal	sahil	0.604	0.370	0.510
coaster	sahil gəmisi	0.612	0.788	0.627
coastline	sahil xətti	0.745	0.282	0.441
coat	palto	0.677	0.256	0.464
coating	örtmə	0.620	0.440	0.596
coax	coax	0.367	0.400	0.447
cobalt	kobalt	0.408	0.325	0.441
cobble	cobble	0.448	0.385	0.368
cobbler	göyərçin	0.510	0.415	0.318
cobra	kobra	0.312	0.712	0.600
cocaine	kokain	0.156	0.840	0.373
cock	xoruz	0.418	0.562	0.392
cockamamie	kokamamie	0.450	0.500	0.382
cockeyed	kokeydi	0.459	0.460	0.423
cockpit	kokpit	0.520	0.424	0.343
cockroach	hamam böceği	0.188	0.667	0.196
cocksucker	cocksucker	0.083	0.764	0.339
cocktail	kokteyl	0.740	0.480	0.381
cocky	kobud	0.260	0.784	0.519
cocoa	kakao	0.776	0.255	0.322
coconut	hindistan cevizi	0.622	0.265	0.227
cocoon	koza	0.470	0.280	0.290
cod	cod	0.510	0.321	0.304
code	kodu	0.583	0.308	0.491
codeine	kodein	0.375	0.582	0.436
codex	kodeks	0.531	0.488	0.524
codfish	codfish	0.490	0.245	0.300
codification	kodlaşdırma	0.448	0.400	0.698
codify	codify	0.448	0.410	0.679
coding	kodlaşdırma	0.442	0.344	0.667
coed	coed	0.469	0.531	0.481
coefficient	əmsal	0.677	0.415	0.702
coerce	zorla	0.260	0.741	0.517
coercion	zorla	0.330	0.708	0.577
coercive	məcburi	0.479	0.670	0.506
coexist	birləşmək	0.708	0.460	0.536
coexistence	birləşmə	0.588	0.472	0.638
coexisting	mövcuddur	0.551	0.349	0.648
coffee	qəhvə	0.823	0.418	0.309
coffee table	sehpa	0.720	0.339	0.295
coffeehouse	kofe evi	0.694	0.357	0.307
coffeepot	qəhrəman	0.760	0.333	0.312
coffin	tabut	0.073	0.432	0.343
cog	cog	0.427	0.343	0.363
cogent	cazibədar	0.765	0.479	0.836
cognac	konyak	0.615	0.510	0.430
cognate	cognate	0.615	0.350	0.398
cognition	idrak	0.635	0.344	0.706
cognitive	bilişsel	0.513	0.401	0.634
cohabitation	birləşmə	0.646	0.526	0.598
coherence	əlaqəli	0.720	0.406	0.788
coherent	əlaqəli	0.698	0.281	0.500
cohesion	birləşmə	0.604	0.536	0.555
cohesive	əlaqəli	0.531	0.470	0.603
cohort	kohort	0.459	0.551	0.566
coil	coil	0.448	0.343	0.298
coiled	coiled	0.378	0.518	0.389
coin	sikkə	0.677	0.574	0.445
coinage	sikkə	0.500	0.400	0.545
coincide	üst-üstə düşür	0.635	0.490	0.593
coincidence	təsadüf	0.612	0.450	0.518
coincident	təsadüf	0.562	0.385	0.602
coincidental	təsadüf	0.646	0.481	0.337
coinciding	uyğunsuzluq	0.673	0.373	0.623
coke	kola	0.404	0.461	0.397
cola	kola	0.469	0.325	0.240
cold	soyuq	0.398	0.538	0.348
coldly	soyuq bir şəkildə	0.365	0.358	0.407
coldness	soyuqluq	0.093	0.470	0.427
coldsweat	NO TRANSLATION	0.427	0.491	0.327
coleslaw	lələsi	0.707	0.312	0.336
colic	kolik	0.135	0.736	0.361
coliseum	coliseum	0.612	0.663	0.704
collaborate	əməkdaşlıq	0.816	0.449	0.559
collaboration	əməkdaşlıq	0.885	0.628	0.741
collaborator	əməkdaşdır	0.729	0.320	0.769
collage	kolaj	0.680	0.321	0.375
collagen	kollagen	0.541	0.245	0.450
collapse	dağılmaq	0.208	0.689	0.342
collar	yaxası	0.656	0.442	0.446
collarbone	yaxası	0.420	0.427	0.306
collate	yığışdırın	0.438	0.448	0.580
collateral	girov	0.531	0.422	0.717
collation	harmanlama	0.520	0.333	0.508
colleague	həmkarı	0.740	0.413	0.600
collect	toplamaq	0.635	0.481	0.491
collected	toplanmış	0.570	0.402	0.588
collection	toplama	0.725	0.311	0.588
collective	kollektiv	0.583	0.458	0.698
collectively	kollektiv olaraq	0.817	0.573	0.533
collector	kollektor	0.552	0.481	0.648
college	kollec	0.700	0.467	0.746
collegiate	kollegiya	0.592	0.461	0.678
collide	toqquşmaq	0.271	0.892	0.557
collie	Collie	0.562	0.308	0.328
collision	toqquşma	0.245	0.848	0.585
collocation	birləşmə	0.637	0.360	0.594
colloquial	söhbət	0.604	0.363	0.368
collusion	söhbət	0.365	0.510	0.400
cologne	odekolon	0.677	0.413	0.552
colon	kolon	0.449	0.394	0.384
colonel	polkovnik	0.459	0.592	0.890
colonial	müstəmləkə	0.553	0.327	0.613
colonic	kolonik	0.333	0.420	0.430
colonoscopy	kolonoskopiya	0.208	0.524	0.466
colony	koloniya	0.716	0.353	0.593
colophon	kolofon	0.500	0.408	0.385
color	rəng	0.786	0.280	0.402
coloration	rəngləmə	0.541	0.520	0.443
colored	rəngli	0.806	0.317	0.275
colorful	rəngli	0.850	0.520	0.519
coloring	boyayıcı	0.781	0.469	0.353
colorless	rəngsiz	0.354	0.340	0.250
colors	rənglər	0.875	0.349	0.340
colossal	möhtəşəm	0.698	0.692	0.900
colt	koltuk	0.561	0.587	0.543
columbine	kolumbin	0.520	0.521	0.407
column	sütun	0.480	0.250	0.670
columnar	columnar	0.448	0.340	0.491
columnist	köşe yazarı	0.646	0.365	0.648
com	NO TRANSLATION	0.396	0.382	0.382
coma	koma	0.219	0.255	0.302
comatose	koma	0.143	0.438	0.433
comb	tarak	0.490	0.123	0.268
combat	döyüş	0.302	0.846	0.833
combatant	döyüşçü	0.531	0.853	0.780
combative	məşqçi	0.381	0.690	0.816
combination	birləşmə	0.708	0.480	0.726
combinatorial	kombinatoryal	0.561	0.436	0.428
combine	birləşdirin	0.663	0.442	0.533
combined	birləşdirilmişdir	0.622	0.370	0.500
combo	combo	0.698	0.439	0.453
combustible	yanacaqlı	0.386	0.650	0.750
combustion	yanma	0.457	0.807	0.591
come	gəl	0.529	0.269	0.558
comeback	geri dönmək	0.580	0.409	0.555
comedian	komediyaçı	0.812	0.735	0.598
comedy	komediya	0.918	0.555	0.490
comet	kometa	0.704	0.679	0.471
comfort	rahatlıq	0.863	0.231	0.670
comfortable	rahatdır	0.927	0.163	0.473
comforter	yorucu	0.618	0.275	0.302
comforting	təsəlliverici	0.906	0.337	0.620
comfy	rahatdır	0.930	0.241	0.625
comic	komik	0.917	0.459	0.387
comical	komik	0.844	0.737	0.327
comics	komik	0.690	0.556	0.384
coming	gələndə	0.653	0.417	0.500
comma	vergül	0.344	0.269	0.242
command	komanda	0.427	0.790	0.849
commandant	komandir	0.622	0.700	0.943
commandeer	komandir	0.552	0.639	0.931
commander	komandir	0.531	0.615	0.906
commanding	əmr edir	0.562	0.664	0.925
commandment	əmr	0.656	0.490	0.876
commando	komando	0.323	0.710	0.817
commemorate	xatırlamaq	0.812	0.602	0.636
commemoration	anma	0.719	0.615	0.754
commemorative	xatirə	0.750	0.438	0.754
commence	başlayın	0.760	0.585	0.741
commend	təriflə	0.906	0.694	0.711
commendable	təqdirəlayiqdir	0.786	0.570	0.555
commendation	Mükəmməllik	0.911	0.500	0.639
commensurate	mütənasibdir	0.610	0.304	0.550
comment	Şərh	0.667	0.417	0.379
commentary	şərh	0.602	0.402	0.446
commentator	şərhçi	0.492	0.510	0.607
commerce	ticarət	0.646	0.500	0.788
commercial	kommersiya	0.806	0.490	0.528
commie	commie	0.385	0.519	0.454
commissary	komissar	0.385	0.500	0.788
commission	komissiya	0.677	0.480	0.571
commissioner	komissar	0.602	0.449	0.949
commit	törətmək	0.365	0.529	0.491
commitment	öhdəliyi	0.714	0.710	0.843
committal	törətmək	0.472	0.519	0.582
committed	törədilmişdir	0.710	0.542	0.712
committee	komitə	0.592	0.392	0.721
commodity	əmtəə	0.615	0.394	0.537
commodore	commodore	0.427	0.530	0.636
common	ümumi	0.600	0.127	0.318
commoner	ümumi	0.448	0.365	0.327
commonly	ümumi olaraq	0.604	0.170	0.574
commonplace	adi bir yer	0.520	0.337	0.442
commons	commons	0.633	0.396	0.623
commonwealth	birləşmə	0.630	0.406	0.702
commotion	qarışıqlıq	0.490	0.700	0.646
communal	kommunal	0.592	0.321	0.556
commune	komün	0.500	0.488	0.655
communicable	bulaşıcı	0.796	0.491	0.623
communicate	ünsiyyət	0.823	0.410	0.696
communication	kommunikasiya	0.837	0.400	0.649
communicative	kommunikativ	0.847	0.560	0.637
communicator	kommunikator	0.573	0.509	0.796
communion	birlik	0.765	0.357	0.607
communism	kommunizm	0.264	0.570	0.623
communist	kommunist	0.265	0.702	0.632
community	icma	0.750	0.350	0.659
commutation	kommutasiya	0.469	0.431	0.652
commutative	komutativ	0.667	0.442	0.569
commute	gedin	0.622	0.582	0.565
commuter	şəhərətrafı	0.646	0.520	0.512
comp	komp	0.573	0.450	0.371
compact	yığcam	0.458	0.417	0.673
compaction	sıxılma	0.531	0.471	0.582
compactness	kompaktlıq	0.582	0.352	0.454
companion	yoldaş	0.770	0.377	0.618
companionless	kompasiz	0.271	0.259	0.200
companionship	yoldaşlıq	0.833	0.438	0.792
company	şirkətdir	0.906	0.425	0.798
comparable	müqayisəli	0.562	0.443	0.458
comparative	müqayisəli	0.470	0.273	0.562
comparatively	nisbətən	0.604	0.391	0.538
compare	müqayisə et	0.552	0.408	0.524
comparison	müqayisə	0.583	0.456	0.492
compartment	bölmə	0.500	0.389	0.607
compass	kompas	0.541	0.307	0.529
compassion	şəfqət	0.735	0.258	0.509
compassionate	şəfqətli	0.857	0.404	0.411
compatibility	Uyğunluq	0.816	0.450	0.673
compatible	uyğun	0.892	0.387	0.638
compel	məcbur etmək	0.200	0.847	0.625
compelled	məcbur etdi	0.333	0.654	0.347
compelling	məcburi	0.698	0.570	0.870
compendium	kompendium	0.610	0.461	0.537
compensate	kompensasiya	0.612	0.429	0.762
compensation	kompensasiya	0.775	0.469	0.598
compensatory	kompensasiyaçı	0.589	0.490	0.700
compete	rəqabət	0.573	0.745	0.786
competence	yetkinlik	0.615	0.802	0.823
competency	yetkinlik	0.768	0.775	0.764
competent	səlahiyyətli	0.865	0.560	0.904
competition	rəqabət	0.580	0.790	0.798
competitive	rəqabət	0.447	0.718	0.908
competitor	rəqib	0.612	0.959	0.861
compilation	yığma	0.530	0.512	0.606
compile	tərtib etmək	0.600	0.413	0.519
complacency	könülsüzlük	0.604	0.503	0.519
complacent	qüsursuz	0.625	0.452	0.518
complain	şikayət	0.143	0.682	0.360
complaint	şikayət	0.143	0.606	0.281
complement	tamamlayır	0.760	0.277	0.600
complementary	tamamlayıcı	0.714	0.320	0.586
complete	tamamlandı	0.750	0.414	0.809
completed	tamamlandı	0.823	0.357	0.777
completely	tamamilə	0.730	0.370	0.690
completeness	tamlığı	0.823	0.433	0.769
completing	tamamlayır	0.614	0.500	0.769
completion	tamamlama	0.656	0.470	0.525
complex	kompleks	0.388	0.608	0.550
complexed	kompleksləşdirilmişdir	0.312	0.577	0.612
complexion	dəri	0.521	0.520	0.380
complexity	mürəkkəbliyi	0.479	0.620	0.595
compliance	uyğunluq	0.750	0.462	0.750
compliant	uyğun	0.677	0.310	0.519
complicate	çətinləşdirir	0.210	0.657	0.404
complicated	mürəkkəbdir	0.211	0.660	0.455
complication	komplikasiya	0.365	0.726	0.330
complicity	Qardaşlıq	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	pulsuz	0.823	0.413	0.435
comply	uyğunlaşmaq	0.806	0.370	0.638
complying	uyğunluq	0.729	0.423	0.590
compo	kompo	0.500	0.346	0.390
component	komponent	0.531	0.382	0.525
compose	kompozisiya	0.639	0.432	0.694
composed	ibarətdir	0.684	0.385	0.682
composer	bəstəkar	0.822	0.588	0.691
composite	kompozit	0.591	0.459	0.620
composition	tərkibi	0.765	0.408	0.652
compost	kompost	0.480	0.404	0.441
composure	qarışıqlıq	0.802	0.354	0.717
compound	mürəkkəb	0.635	0.385	0.735
comprehend	anlamaq	0.875	0.365	0.689
comprehension	anlama	0.908	0.387	0.688
comprehensive	hərtərəfli	0.796	0.385	0.644
compress	sıxmaq	0.406	0.412	0.460
compressed	sıxılmışdır	0.323	0.396	0.388
