Word	Hungarian-hu	Valence	Arousal	Dominance
delayed	késleltetett	0.188	0.490	0.216
delectable	kellemes	0.781	0.642	0.718
delegate	delegált	0.612	0.491	0.658
delegation	delegáció	0.562	0.431	0.609
delete	töröl	0.292	0.298	0.409
deleterious	káros	0.297	0.725	0.440
deletion	törlés	0.062	0.506	0.462
deli	csemege	0.561	0.448	0.447
deliberate	szándékos	0.551	0.654	0.682
deliberation	mérlegelés	0.561	0.678	0.596
deliberative	tanácskozó	0.392	0.552	0.573
delicacy	finomság	0.812	0.279	0.336
delicate	finom	0.583	0.294	0.366
delicatessen	csemege	0.656	0.474	0.400
delicious	finom	0.927	0.650	0.589
delight	élvezet	0.949	0.666	0.647
delighted	elragadtatva	0.938	0.664	0.685
delightful	bűbájos	0.918	0.735	0.644
delineate	vázol	0.448	0.430	0.445
delineation	vázlat	0.521	0.402	0.314
delinquency	bűnözés	0.135	0.860	0.508
delinquent	vétkes	0.051	0.904	0.500
delirious	eszelős	0.219	0.774	0.538
delirium	delírium	0.233	0.694	0.484
deliver	szállít	0.583	0.370	0.582
deliverance	megszabadítás	0.750	0.520	0.658
delivery	kézbesítés	0.704	0.461	0.786
dell	kis erdős völgy	0.458	0.380	0.453
delta	delta	0.551	0.343	0.509
delude	becsap	0.143	0.627	0.353
deluge	özönvíz	0.245	0.714	0.612
delusion	csalódás	0.344	0.647	0.400
delusional	téveszmés	0.219	0.745	0.327
deluxe	luxus	0.792	0.612	0.755
delve	ás	0.469	0.529	0.684
demand	igény	0.292	0.673	0.500
demanding	igényes	0.396	0.750	0.828
demeaned	megalázva	0.271	0.520	0.212
demeaning	megalázó	0.104	0.645	0.308
demeanor	viselkedés	0.633	0.433	0.657
demented	háborodott	0.088	0.787	0.309
dementia	elmebaj	0.092	0.779	0.337
demise	kimúlását	0.104	0.596	0.456
demo	demó	0.510	0.314	0.423
democracy	demokrácia	0.680	0.500	0.840
democrat	demokrata	0.582	0.400	0.755
democratic	demokratikus	0.802	0.519	0.798
demographic	demográfiai	0.459	0.356	0.594
demolish	lerombol	0.125	0.632	0.700
demolished	bontott	0.271	0.647	0.353
demolition	bontási	0.133	0.827	0.541
demon	démon	0.037	0.908	0.509
demonic	démoni	0.146	0.875	0.600
demonstrable	bizonyítható	0.735	0.471	0.749
demonstrate	igazolni	0.771	0.552	0.839
demonstrated	igazolták	0.617	0.500	0.649
demonstrating	bemutatását,	0.698	0.571	0.693
demonstration	demonstráció	0.551	0.676	0.679
demonstrative	meggyőző	0.656	0.528	0.736
demonstrator	tüntető	0.520	0.598	0.733
demoralized	demoralizált	0.082	0.590	0.149
demos	demók	0.418	0.370	0.368
demure	kiegyensúlyozott	0.690	0.315	0.417
den	NO TRANSLATION	0.510	0.347	0.398
deniability	tagadhatóság	0.230	0.509	0.417
denial	tagadás	0.194	0.435	0.318
denied	tiltott	0.188	0.604	0.333
denim	farmer	0.520	0.382	0.327
denomination	megnevezés	0.490	0.363	0.429
denominational	felekezeti	0.458	0.375	0.679
denominator	névadó	0.450	0.410	0.613
denote	jelöli	0.448	0.471	0.534
denounce	felmondja	0.083	0.780	0.426
dense	sűrű	0.354	0.343	0.536
density	sűrűség	0.602	0.471	0.561
dent	horpadás	0.306	0.606	0.325
dental	fog	0.573	0.404	0.463
dentist	fogorvos	0.479	0.620	0.642
dentistry	fogászat	0.429	0.570	0.569
dentists	fogorvosok	0.364	0.600	0.582
denunciation	feljelentés	0.146	0.830	0.561
deny	tagadni	0.316	0.667	0.321
denying	megtagadják	0.080	0.542	0.272
deodorant	dezodor	0.480	0.265	0.269
depart	indul	0.398	0.480	0.444
departed	elhunyt	0.245	0.536	0.391
department	osztály	0.708	0.358	0.642
departmental	megyei	0.612	0.422	0.446
departure	indulás	0.573	0.500	0.426
depend	függ	0.388	0.429	0.358
dependable	megbízható	0.880	0.357	0.741
dependant	függő	0.357	0.404	0.451
dependence	függőség	0.250	0.451	0.433
dependency	függőség	0.429	0.365	0.356
dependent	függő	0.354	0.455	0.404
depict	ábrázol	0.663	0.529	0.723
depicting	ábrázoló	0.490	0.566	0.602
depletion	kimerülés	0.153	0.370	0.236
deplorable	siralmas	0.135	0.657	0.230
deplore	sajnál	0.135	0.575	0.373
deploy	telepíteni	0.500	0.520	0.585
deployment	bevetés	0.510	0.520	0.612
deport	deportál	0.167	0.667	0.546
deportation	kitoloncolás	0.104	0.786	0.450
depose	tanúsít	0.286	0.420	0.451
deposit	letét	0.540	0.379	0.483
depositary	letéteményes	0.604	0.431	0.500
deposition	lerakódás	0.394	0.510	0.471
depository	raktár	0.551	0.373	0.481
depot	raktár	0.635	0.255	0.471
depraved	romlott	0.031	0.837	0.395
depravity	romlottság	0.115	0.854	0.453
depreciate	becsmérel	0.270	0.623	0.445
depreciated	leértékelődött	0.135	0.672	0.250
depreciation	értékcsökkenés	0.143	0.571	0.386
depress	nyomja	0.219	0.635	0.528
depressed	nyomott	0.024	0.445	0.136
depressing	nyomasztó	0.146	0.559	0.216
depression	depresszió	0.031	0.520	0.232
depressive	depresszív	0.143	0.434	0.202
depresson	NO TRANSLATION	0.135	0.400	0.308
deprivation	megfosztás	0.194	0.610	0.413
deprive	megfoszt	0.271	0.591	0.340
deprived	megfosztott	0.354	0.506	0.536
depth	mélység	0.708	0.561	0.759
deputy	helyettes	0.429	0.530	0.787
derail	kisiklat	0.108	0.802	0.375
deranged	rendetlen	0.376	0.868	0.357
derelict	elhagyott	0.208	0.470	0.237
derision	kicsúfolás	0.265	0.670	0.292
derivation	származtatás	0.521	0.519	0.644
derivative	derivált	0.541	0.491	0.508
derive	származik	0.396	0.324	0.360
dermal	bőr-	0.385	0.406	0.443
dermatologist	bőrgyógyász	0.531	0.358	0.528
dermatology	bőrgyógyászat	0.422	0.500	0.556
derogation	eltérés	0.208	0.460	0.327
derogatory	méltatlan	0.122	0.580	0.404
descend	leszáll	0.385	0.535	0.231
descendant	leszármazott	0.684	0.420	0.625
descendent	NO TRANSLATION	0.391	0.480	0.565
descending	csökkenő	0.219	0.493	0.250
descent	Származás	0.300	0.402	0.158
describe	leírni	0.542	0.472	0.555
description	leírás	0.582	0.425	0.596
descriptive	leíró	0.667	0.352	0.570
desecrate	meggyaláz	0.255	0.806	0.509
desecration	meggyalázás	0.125	0.833	0.564
desert	sivatag	0.469	0.279	0.389
deserted	elhagyatott	0.156	0.480	0.214
deserter	katonaszökevény	0.122	0.710	0.366
desertion	dezertálás	0.122	0.630	0.289
deserve	megérdemel	0.802	0.436	0.613
deserved	megérdemelt	0.781	0.582	0.689
deserving	érdemes	0.802	0.596	0.858
design	tervezés	0.796	0.327	0.632
designate	kijelöl	0.531	0.538	0.683
designated	kijelölt	0.500	0.412	0.616
designation	kijelölés	0.612	0.571	0.675
designed	tervezett	0.745	0.380	0.595
designer	tervező	0.875	0.519	0.670
designing	tervezés	0.792	0.355	0.552
desirability	kívánatosság	0.684	0.550	0.675
desirable	kívánatos	0.740	0.735	0.750
desire	vágy	0.896	0.692	0.647
desiring	azzal az óhajjal,	0.814	0.821	0.632
desirous	sóvárgó	0.719	0.824	0.562
desist	eláll	0.220	0.358	0.291
desk	asztal	0.510	0.135	0.422
desolate	elhagyatott	0.104	0.320	0.228
desolation	pusztaság	0.073	0.481	0.273
despair	kétségbeesés	0.115	0.794	0.245
despairing	kétségbeesett	0.073	0.735	0.286
despatch	feladási	0.448	0.400	0.613
desperado	orgyilkos	0.260	0.745	0.361
desperate	kétségbeesett	0.083	0.842	0.337
desperation	kétségbeesés	0.125	0.904	0.419
despicable	megvetendő	0.146	0.710	0.255
despise	megvet	0.167	0.745	0.296
despondent	csüggedt	0.133	0.378	0.221
despotic	zsarnoki	0.141	0.824	0.592
despotism	zsarnokság	0.255	0.696	0.620
dessert	desszert	0.755	0.491	0.404
destination	rendeltetési hely	0.708	0.471	0.637
destined	szánt	0.698	0.462	0.617
destiny	sors	0.781	0.413	0.611
destitute	nyomorgó	0.130	0.451	0.222
destroy	elpusztítani	0.046	0.935	0.635
destroyed	elpusztított	0.031	0.696	0.288
destroyer	romboló	0.083	0.830	0.543
destroying	pusztító	0.041	0.828	0.660
destruct	megsemmisítő	0.071	0.868	0.525
destruction	megsemmisítés	0.102	0.929	0.613
destructive	romboló	0.177	0.870	0.713
detach	le	0.357	0.625	0.450
detached	különálló	0.280	0.396	0.216
detachment	leválás	0.243	0.700	0.443
detail	Részlet	0.514	0.406	0.528
detailed	részletes	0.603	0.314	0.472
details	részletek	0.583	0.367	0.481
detain	visszatart	0.351	0.345	0.430
detainee	őrizetes	0.306	0.510	0.321
detect	felismerni	0.531	0.520	0.565
detectable	kimutatható	0.479	0.539	0.649
detection	érzékelés	0.708	0.567	0.538
detective	nyomozó	0.500	0.764	0.901
detector	detektor	0.459	0.630	0.724
detention	fogva tartás	0.265	0.698	0.562
deter	megakadályozására	0.344	0.537	0.567
detergent	mosószer	0.458	0.304	0.426
deteriorate	romlik	0.083	0.471	0.202
deteriorated	romlott	0.053	0.549	0.237
deteriorating	romló	0.104	0.459	0.112
deterioration	romló	0.130	0.512	0.283
determinable	meghatározható	0.625	0.565	0.723
determinate	meghatározó	0.630	0.314	0.772
determination	meghatározás	0.776	0.725	0.795
determine	meghatározására	0.612	0.368	0.776
determined	eltökélt	0.760	0.528	0.673
deterrent	elrettentő	0.292	0.461	0.385
detest	utál	0.083	0.800	0.492
detestation	utálat	0.177	0.637	0.412
detonate	felrobbant	0.375	0.850	0.696
detonation	robbanás	0.167	0.931	0.741
detonator	detonátor	0.207	0.875	0.750
detour	kerülőút	0.398	0.539	0.309
detract	elvesz	0.344	0.438	0.368
detriment	hátrány	0.281	0.538	0.263
detrimental	hátrányos	0.203	0.679	0.387
detritus	törmelék	0.276	0.353	0.363
deuce	balszerencse	0.479	0.338	0.425
deutschmark	márkakötvények	0.439	0.431	0.509
devalued	leértékelődött	0.321	0.462	0.212
devastate	elpusztít	0.021	0.796	0.509
devastated	elpusztított	0.120	0.544	0.264
devastating	pusztító	0.104	0.856	0.419
devastation	pusztulás	0.090	0.904	0.472
develop	fejleszt	0.771	0.670	0.821
developer	fejlesztő	0.844	0.653	0.864
developing	fejlesztés	0.833	0.587	0.714
development	fejlődés	0.827	0.500	0.796
deviant	deviáns	0.094	0.589	0.398
deviate	eltér	0.173	0.562	0.269
deviating	eltérő	0.354	0.634	0.536
deviation	eltérés	0.105	0.513	0.336
device	eszköz	0.562	0.404	0.627
devil	ördög	0.161	0.900	0.611
deviled	deviled	0.347	0.559	0.358
devilish	ördögi	0.073	0.865	0.490
devious	fondorlatos	0.250	0.519	0.259
devise	dolgozzon	0.551	0.557	0.670
devoid	mentes	0.219	0.436	0.300
devolution	decentralizáció	0.345	0.434	0.425
devolve	átruház	0.367	0.427	0.596
devote	szán	0.802	0.490	0.642
devoted	elkötelezett	0.867	0.320	0.698
devotee	híve	0.816	0.461	0.577
devotion	odaadás	0.802	0.561	0.673
devotional	vallásos	0.740	0.394	0.655
devour	felfal	0.344	0.888	0.574
devout	istenfélő	0.620	0.357	0.464
dew	harmat	0.604	0.225	0.464
dexter	jobboldali	0.458	0.473	0.444
dexterity	ügyesség	0.771	0.673	0.864
dextrose	dextróz	0.333	0.402	0.323
diabetes	cukorbetegség	0.051	0.472	0.279
diabetic	cukorbeteg	0.125	0.269	0.237
diabolical	ördögi	0.102	0.912	0.456
diagnose	diagnosztizál	0.378	0.520	0.714
diagnosis	diagnózis	0.571	0.500	0.819
diagnostic	diagnosztikai	0.417	0.483	0.635
diagnostics	diagnosztika	0.540	0.440	0.750
diagonal	átlós	0.500	0.343	0.410
diagram	diagram	0.562	0.357	0.445
dial	tárcsa	0.620	0.427	0.596
dialect	nyelvjárás	0.635	0.422	0.526
dialectic	dialektikus	0.510	0.540	0.638
dialogue	párbeszéd	0.599	0.441	0.625
dialysis	dialízis	0.194	0.567	0.407
diameter	átmérő	0.427	0.298	0.483
diamond	gyémánt	0.910	0.606	0.769
diamonds	gyémánt	0.927	0.684	0.917
diaper	pelenka	0.409	0.274	0.155
diaphragm	diafragma	0.459	0.337	0.517
diarrhea	hasmenés	0.092	0.684	0.143
diarrhoea	hasmenés	0.038	0.692	0.250
diary	napló	0.698	0.292	0.464
diatribe	gyalázkodás	0.354	0.569	0.409
dib	NO TRANSLATION	0.479	0.370	0.344
dibs	játékcsontocskák	0.510	0.410	0.391
dice	dobókocka	0.458	0.441	0.264
dicey	kétes	0.290	0.833	0.727
dichotomous	dichotóm	0.365	0.452	0.538
dichotomy	kettősség	0.323	0.482	0.483
dick	fasz	0.208	0.500	0.462
dickhead	faszfej	0.115	0.608	0.284
dicks	farkukat	0.310	0.694	0.358
dictate	diktál	0.480	0.423	0.668
dictation	diktálás	0.255	0.378	0.627
dictator	diktátor	0.073	0.760	0.862
dictatorial	diktatórikus	0.204	0.770	0.840
dictatorship	diktatúra	0.082	0.806	0.784
diction	előadásmód	0.439	0.373	0.679
dictionary	szótár	0.620	0.250	0.598
dictum	NO TRANSLATION	0.385	0.510	0.528
didactic	didaktikus	0.645	0.480	0.673
diddle	becsap	0.429	0.566	0.393
die	NO TRANSLATION	0.031	0.765	0.259
died	meghalt	0.021	0.650	0.327
diesel	dízel	0.490	0.327	0.448
diet	diéta	0.429	0.235	0.398
dietary	étrendi	0.551	0.220	0.261
differ	különbözik	0.230	0.398	0.396
difference	különbség	0.474	0.560	0.483
differences	különbségek	0.365	0.582	0.342
different	különböző	0.612	0.394	0.473
differential	differenciális	0.520	0.378	0.535
differentiation	különbségtétel	0.367	0.561	0.535
differently	eltérően	0.480	0.431	0.506
differing	eltérő	0.418	0.410	0.455
difficult	nehéz	0.235	0.700	0.508
difficulties	nehézségek	0.082	0.784	0.357
difficulty	nehézség	0.079	0.740	0.368
diffuse	szétszórt	0.430	0.431	0.321
diffusion	diffúzió	0.356	0.615	0.517
dig	NO TRANSLATION	0.367	0.585	0.637
digest	megemészteni	0.720	0.413	0.483
digestion	emésztés	0.531	0.410	0.455
digestive	emésztési	0.542	0.413	0.434
digit	számjegy	0.447	0.286	0.333
digital	digitális	0.740	0.382	0.529
dignified	méltóságteljes	0.766	0.481	0.635
dignify	megtisztel	0.854	0.588	0.735
dignity	méltóság	0.844	0.391	0.873
digress	elkalandozik	0.271	0.625	0.411
digs	NO TRANSLATION	0.448	0.670	0.635
dike	gát	0.360	0.384	0.490
dilapidated	megrongált	0.229	0.618	0.286
dilatation	tágítás	0.385	0.574	0.368
dilation	tágulás	0.347	0.490	0.578
dildo	vibrátor	0.536	0.587	0.491
dilemma	dilemma	0.153	0.590	0.430
diligence	szorgalom	0.688	0.423	0.700
diligent	szorgalmas	0.760	0.426	0.759
dill	kapor	0.427	0.360	0.373
diluent	hígító	0.417	0.344	0.332
dilute	hígított	0.275	0.192	0.349
diluted	hígított	0.469	0.310	0.229
dilution	hígítás	0.445	0.337	0.352
dim	homályos	0.398	0.321	0.273
dime	tízcentes	0.653	0.317	0.345
dimension	dimenzió	0.592	0.415	0.627
dimensional	dimenziós	0.561	0.484	0.596
diminish	csökkent	0.240	0.357	0.167
diminished	csökkentett	0.156	0.269	0.196
diminution	csökkenés	0.316	0.296	0.245
diminutive	kicsinyítő	0.323	0.200	0.109
dimwit	seggfej	0.255	0.459	0.175
din	NO TRANSLATION	0.440	0.417	0.398
dine	étkezik	0.821	0.519	0.478
diner	étkező	0.643	0.302	0.538
dinghy	lélekvesztő	0.510	0.269	0.325
dingo	dingó	0.608	0.472	0.346
dingy	kopott	0.156	0.483	0.343
dining	étkező	0.724	0.350	0.459
dinky	jelentéktelen	0.357	0.451	0.358
dinner	vacsora	0.823	0.392	0.379
dinnertime	vacsoraidő	0.796	0.406	0.341
dinosaur	dinoszaurusz	0.448	0.630	0.596
dint	erőfeszítés	0.378	0.480	0.492
diocesan	egyházkerületi	0.520	0.283	0.518
diocese	egyházmegye	0.510	0.288	0.575
diorama	dioráma	0.592	0.441	0.462
dioxide	dioxid	0.354	0.433	0.456
dip	BEMÁRT	0.516	0.583	0.397
diploma	oklevél	0.750	0.462	0.731
diplomacy	diplomácia	0.740	0.396	0.774
diplomat	diplomata	0.563	0.262	0.868
diplomatic	diplomáciai	0.653	0.363	0.918
dipper	áztató munkás	0.548	0.361	0.348
dippy	bolond	0.430	0.402	0.340
dipstick	nívópálca	0.365	0.312	0.316
dire	NO TRANSLATION	0.214	0.660	0.259
direct	közvetlen	0.793	0.403	0.650
directed	irányított	0.542	0.490	0.541
direction	irány	0.719	0.330	0.684
directive	irányelv	0.604	0.530	0.918
directly	közvetlenül	0.747	0.400	0.702
director	rendező	0.688	0.580	0.912
directory	Könyvtár	0.439	0.413	0.538
dirt	piszok	0.112	0.500	0.236
dirty	piszkos	0.153	0.460	0.170
disability	fogyatékosság	0.073	0.482	0.173
disable	letiltása	0.115	0.430	0.269
disabled	Tiltva	0.308	0.443	0.235
disadvantage	hátrány	0.150	0.377	0.282
disaffected	elégedetlen	0.176	0.410	0.291
disagree	nem ért egyet	0.133	0.590	0.345
disagreeable	kellemetlen	0.042	0.643	0.178
disagreeing	értett egyet	0.255	0.643	0.350
disagreement	nézeteltérés	0.104	0.618	0.236
disallow	helytelenít	0.156	0.519	0.424
disallowed	nem engedélyezett	0.135	0.500	0.328
disapointment	NO TRANSLATION	0.104	0.418	0.231
disappear	eltűnik	0.143	0.441	0.350
disappearance	eltűnés	0.214	0.698	0.367
disappearing	eltűnő	0.167	0.427	0.379
disappoint	csalódást okoz	0.150	0.633	0.288
disappointed	csalódott	0.071	0.472	0.241
disappointing	kiábrándító	0.073	0.640	0.200
disappointment	csalódás	0.115	0.490	0.336
disapproval	rosszallás	0.085	0.551	0.367
disapprove	elítél	0.160	0.594	0.445
disapproved	elutasítva	0.104	0.550	0.114
disapproving	rosszalló	0.245	0.625	0.452
disarm	hatástalanítására	0.292	0.528	0.613
disarray	rendetlenség	0.198	0.657	0.223
disaster	katasztrófa	0.082	0.892	0.433
disastrous	katasztrofális	0.071	0.741	0.439
disband	elbocsát	0.302	0.491	0.417
disbelief	hitetlenség	0.188	0.409	0.373
disbelieve	nem hisz	0.188	0.441	0.352
disburse	kifizet	0.418	0.473	0.353
disbursement	kifizetés	0.240	0.443	0.435
disc	lemez	0.622	0.410	0.426
discard	megválni	0.240	0.343	0.337
discarded	eldobott	0.229	0.460	0.308
discards	visszaengedett	0.240	0.464	0.391
discern	megkülönböztet	0.459	0.566	0.518
discernible	megfigyelhető	0.427	0.441	0.481
discerning	kifinomult	0.542	0.584	0.780
discernment	megkülönböztetés	0.408	0.471	0.694
discharge	mentesítés	0.427	0.538	0.578
disciple	tanítvány	0.765	0.385	0.462
disciplinary	fegyelmi	0.562	0.593	0.796
discipline	fegyelem	0.615	0.471	0.806
disciplined	fegyelmezett	0.728	0.450	0.750
disclaim	elutasít	0.235	0.509	0.321
disclaimer	lemondás	0.367	0.571	0.542
disclose	nyilvánosságra	0.490	0.570	0.545
disclosed	nyilvánosságra	0.271	0.575	0.546
disclosure	közzététel	0.500	0.615	0.710
disco	disco	0.710	0.806	0.575
discoloration	elszíneződés	0.224	0.373	0.414
discolored	kifakult	0.204	0.340	0.269
discomfort	kényelmetlenség	0.153	0.719	0.272
disconcerted	meghiúsult	0.100	0.612	0.288
disconcerting	nyugtalanító	0.106	0.549	0.269
disconnect	szétkapcsol	0.438	0.292	0.191
disconnected	szétkapcsolt	0.292	0.276	0.173
disconnection	lekapcsolás	0.167	0.283	0.277
disconnects	szétkapcsol	0.256	0.357	0.241
discontent	elégedetlenség	0.240	0.530	0.263
discontinuance	megszakítás	0.123	0.741	0.337
discontinue	abba	0.354	0.396	0.349
discontinuity	megszakítás	0.303	0.439	0.250
discontinuous	szakaszos	0.233	0.409	0.316
discord	viszály	0.115	0.882	0.465
discount	kedvezmény	0.724	0.530	0.302
discounted	kedvezményes	0.677	0.471	0.430
discourage	elbátortalanít	0.184	0.443	0.267
discouraged	kedvét	0.220	0.304	0.090
discouragement	elbátortalanítás	0.112	0.319	0.206
discouraging	elcsüggesztő	0.167	0.469	0.281
discourse	társalgás	0.410	0.550	0.803
discover	felfedez	0.771	0.793	0.673
discovery	felfedezés	0.823	0.627	0.814
discredit	lejáratni	0.075	0.529	0.355
discredited	hitelét	0.112	0.491	0.182
discreet	NO TRANSLATION	0.552	0.216	0.532
discrepancy	eltérés	0.260	0.643	0.417
discrete	diszkrét	0.585	0.231	0.429
discretion	belátása	0.552	0.320	0.685
discretionary	diszkrecionális	0.520	0.365	0.446
discriminate	megkülönböztetést	0.125	0.761	0.366
discriminating	megkülönböztető	0.160	0.783	0.462
discrimination	megkülönböztetés	0.051	0.724	0.379
discus	diszkosz	0.542	0.423	0.343
discuss	megvitatása	0.396	0.769	0.509
discussion	vita	0.333	0.842	0.536
disdain	megvetés	0.153	0.446	0.441
disdainful	megvető	0.097	0.480	0.263
disease	betegség	0.041	0.539	0.333
diseased	beteg	0.123	0.510	0.134
disembodied	elválasztott	0.167	0.620	0.412
disengage	felold	0.406	0.529	0.304
disengagement	elszakadás	0.327	0.373	0.395
disfigured	eltorzított	0.153	0.613	0.336
disgrace	szégyen	0.061	0.531	0.331
disgraced	kegyvesztett	0.071	0.661	0.250
disgraceful	szégyenletes	0.082	0.702	0.240
disgruntled	elégedetlen	0.104	0.658	0.442
disguise	elrejt	0.573	0.694	0.431
disguised	rejtett	0.500	0.615	0.326
disgust	undor	0.052	0.775	0.317
disgusted	felháborodott	0.051	0.773	0.274
disgusting	undorító	0.031	0.796	0.245
dish	tál	0.552	0.255	0.264
disheartened	csüggedt	0.153	0.343	0.238
disheartening	elszomorító	0.010	0.353	0.224
dishonest	tisztességtelen	0.191	0.491	0.163
dishonesty	tisztességtelenség	0.094	0.592	0.348
dishonor	becstelenség	0.104	0.620	0.185
dishonorable	becstelen	0.112	0.641	0.280
dishwasher	mosogatógép	0.480	0.296	0.324
disillusionment	kiábrándulás	0.051	0.519	0.190
disinclination	ellenszenv	0.125	0.491	0.330
disincline	elkedvetlenít	0.458	0.454	0.278
disinclined	kedvük	0.385	0.442	0.364
disinfect	fertőtlenít	0.448	0.388	0.648
disinfectant	fertőtlenítő	0.531	0.429	0.460
disinfection	fertőtlenítés	0.517	0.556	0.473
disinformation	hamis információ	0.230	0.577	0.260
disingenuous	hamis	0.194	0.509	0.204
disintegrate	szétesik	0.143	0.660	0.364
disintegration	szétesés	0.094	0.551	0.381
disinterested	önzetlen	0.398	0.284	0.392
disjoint	különálló	0.351	0.385	0.322
disjointed	összefüggéstelen	0.323	0.518	0.365
disjunctive	szétválasztó	0.286	0.481	0.400
disk	korong	0.573	0.423	0.412
diskette	hajlékonylemez	0.531	0.255	0.391
dislike	ellenszenv	0.156	0.406	0.321
disliked	Nem kedvelt	0.062	0.510	0.221
disliking	nem tetszik tevékenységgel	0.163	0.637	0.366
dislocated	kificamodott	0.125	0.625	0.200
dislocation	eltolódás	0.229	0.565	0.373
dislodge	eltávolít	0.214	0.769	0.356
disloyal	hűtlen	0.062	0.582	0.245
disloyalty	hűtlenség	0.187	0.716	0.267
dismal	komor	0.194	0.450	0.192
dismantle	szétszedni	0.347	0.644	0.462
dismay	döbbenet	0.314	0.681	0.459
dismayed	megdöbbent	0.165	0.735	0.389
dismemberment	feldarabolás	0.104	0.860	0.470
dismiss	utasítsa	0.167	0.541	0.509
dismissal	elbocsátás	0.153	0.723	0.271
dismissive	elutasító	0.188	0.541	0.430
dismount	leszerel	0.361	0.423	0.391
disobedience	engedetlenség	0.051	0.868	0.369
disobedient	engedetlen	0.276	0.706	0.353
disobey	nem fogad szót	0.143	0.556	0.491
disorder	rendellenesség	0.115	0.816	0.218
disordered	rendezetlen	0.210	0.714	0.288
disorderly	rendetlen	0.188	0.748	0.385
disorganized	szervezetlen	0.052	0.507	0.184
disorientation	tájékozódási zavar	0.163	0.472	0.212
disoriented	eltévedt	0.227	0.643	0.227
disown	megtagad	0.153	0.637	0.368
disparage	becsmérel	0.092	0.663	0.336
disparaging	becsmérlő	0.102	0.626	0.411
disparate	eltérő	0.438	0.500	0.368
disparity	különbség	0.208	0.482	0.361
dispassionate	szenvtelen	0.199	0.217	0.218
dispatch	Elküldés	0.317	0.417	0.555
dispatcher	diszpécser	0.365	0.704	0.652
dispel	eloszlatni	0.388	0.402	0.411
dispensary	gyógyszertár	0.406	0.380	0.606
dispensation	felmentés	0.388	0.462	0.490
dispense	mellőzését	0.561	0.520	0.518
dispenser	elosztó	0.583	0.392	0.470
dispersal	szétszórtság	0.388	0.507	0.421
disperse	eloszlassa	0.375	0.569	0.434
dispersed	szétszórt	0.344	0.490	0.274
dispersion	szórás	0.270	0.604	0.350
dispirited	csüggedt	0.204	0.280	0.142
displace	kiszorítják	0.424	0.541	0.454
displaced	kényszerült	0.281	0.472	0.291
displacement	elmozdulás	0.276	0.531	0.481
displacency	displacency	0.500	0.528	0.642
display	kijelző	0.677	0.325	0.400
displease	bosszant vkit	0.021	0.702	0.286
displeased	elégedetlen	0.135	0.690	0.400
displeasure	nemtetszés	0.115	0.559	0.250
disposable	egyszer használatos	0.271	0.439	0.250
disposal	ártalmatlanítása	0.135	0.608	0.396
dispose	rendelkezik	0.548	0.538	0.559
disposed	elhelyezve	0.688	0.441	0.625
disposition	diszpozíció	0.663	0.542	0.734
dispossessed	kisemmizett	0.354	0.577	0.331
disprove	megcáfol	0.375	0.625	0.613
dispute	vita	0.219	0.750	0.585
disqualification	diszkvalifikáció	0.066	0.677	0.330
disqualified	diszkvalifikált	0.129	0.464	0.232
disqualify	kizár	0.208	0.595	0.267
disquieted	nyugtalanította	0.229	0.850	0.290
disregard	figyelmen kívül hagyása	0.177	0.647	0.308
disregarded	figyelmen kívül hagyta	0.260	0.458	0.283
disrelish	irtózás	0.375	0.471	0.304
disreputable	rosszhírű	0.104	0.688	0.353
disrepute	rossz hírnév	0.208	0.630	0.292
disrespect	tiszteletlenség	0.062	0.637	0.302
disrespectful	tiszteletlen	0.031	0.694	0.273
disrupt	megzavarhatja	0.265	0.640	0.349
disrupting	megbontó	0.186	0.557	0.339
disruption	zavar	0.235	0.735	0.436
disruptive	bomlasztó	0.255	0.755	0.575
dissatisfaction	elégedetlenség	0.115	0.663	0.202
dissatisfied	elégedetlen	0.042	0.561	0.291
dissect	elemez	0.367	0.750	0.595
dissection	boncolás	0.276	0.632	0.462
disseminate	terjesztése	0.562	0.608	0.750
dissemination	elterjesztés	0.476	0.551	0.583
dissension	széthúzás	0.250	0.618	0.414
dissent	nézeteltérés	0.300	0.655	0.407
dissenting	nemleges	0.208	0.552	0.366
dissertation	értekezés	0.312	0.575	0.575
disservice	rossz szolgálat	0.250	0.794	0.480
dissident	szakadár	0.350	0.582	0.413
dissimilar	különböző	0.276	0.461	0.472
dissipate	elherdál	0.385	0.368	0.355
dissipated	kicsapongó	0.281	0.421	0.231
dissociation	disszociáció	0.135	0.555	0.471
dissociative	szétválasztó	0.281	0.615	0.397
dissolution	oldódás	0.204	0.464	0.349
dissolve	feloldódik	0.271	0.490	0.410
dissonance	disszonancia	0.173	0.471	0.336
dissuade	lebeszél	0.482	0.500	0.350
distal	disztális	0.410	0.401	0.438
distance	távolság	0.233	0.317	0.418
distant	távoli	0.229	0.324	0.269
distaste	ellenszenv	0.184	0.625	0.370
distasteful	undorító	0.264	0.676	0.222
distillate	párlat	0.500	0.347	0.382
distillation	lepárlás	0.396	0.436	0.575
distilled	desztillált	0.427	0.573	0.500
distinct	különböző	0.542	0.578	0.509
distinction	megkülönböztetés	0.584	0.571	0.750
distinctive	megkülönböztető	0.885	0.520	0.604
distinguish	különbséget tesz	0.675	0.471	0.600
distinguishable	megkülönböztethető	0.635	0.530	0.727
distinguished	kiváló	0.823	0.593	0.759
