Word	Russian-ru	Valence	Arousal	Dominance
bacon	бекон	0.698	0.406	0.295
bacteria	бактерии	0.177	0.553	0.570
bacterial	бактериальный	0.156	0.500	0.473
bacterium	бактерия	0.194	0.545	0.345
bad	Плохо	0.125	0.625	0.373
badass	задира	0.255	0.775	0.745
badday	NO TRANSLATION	0.327	0.449	0.373
badfeeling	NO TRANSLATION	0.250	0.559	0.365
badge	значок	0.567	0.488	0.691
badger	барсук	0.344	0.429	0.357
badhabit	NO TRANSLATION	0.184	0.594	0.311
badly	плохо	0.073	0.509	0.286
badness	негодность	0.094	0.823	0.463
baffle	дефлектор	0.344	0.442	0.482
baffled	дефлекторы	0.151	0.600	0.339
bag	мешок	0.500	0.250	0.314
bagel	рогалик	0.531	0.363	0.340
baggage	Багаж	0.610	0.363	0.427
baggie	пакетик	0.367	0.427	0.366
baggy	мешковатый	0.521	0.278	0.452
bagman	странствующий торговец	0.506	0.500	0.394
bagpipes	волынка	0.541	0.556	0.412
bail	порука	0.373	0.520	0.561
bailiff	судебный пристав	0.347	0.519	0.759
bait	приманка	0.276	0.327	0.296
bake	выпекать	0.867	0.418	0.519
bakery	пекарня	0.802	0.500	0.380
baking	выпечка	0.549	0.455	0.451
bal	NO TRANSLATION	0.490	0.412	0.432
balance	баланс	0.684	0.265	0.735
balanced	сбалансированный	0.806	0.255	0.745
balcony	балкон	0.562	0.392	0.380
bald	плешивый	0.306	0.184	0.268
balding	лысеющий	0.302	0.363	0.368
baldy	Лысый	0.398	0.385	0.396
bale	тюк	0.437	0.363	0.412
balk	брус	0.229	0.451	0.415
ball	мяч	0.740	0.427	0.317
ballad	баллада	0.792	0.284	0.424
ballast	балласт	0.354	0.423	0.287
ballerina	балерина	0.802	0.660	0.475
ballet	балет	0.656	0.480	0.358
ballgame	игра в мяч	0.781	0.790	0.407
ballistic	баллистический	0.260	0.806	0.685
ballistics	баллистика	0.271	0.787	0.610
balloon	воздушный шар	0.729	0.245	0.315
ballot	голосование	0.521	0.361	0.358
ballpark	стадион	0.724	0.694	0.529
ballplayer	бейсболист	0.719	0.764	0.566
ballpoint	шариковая ручка	0.596	0.337	0.318
ballroom	бальный	0.847	0.635	0.448
ballsy	напористая	0.531	0.491	0.414
balm	бальзам	0.625	0.275	0.414
balmy	бальзамический	0.684	0.327	0.545
balsam	бальзам	0.663	0.250	0.385
balsamic	бальзамического	0.582	0.283	0.447
bam	бам	0.427	0.472	0.390
bamboo	бамбук	0.646	0.222	0.356
ban	NO TRANSLATION	0.146	0.689	0.587
banana	банан	0.612	0.230	0.241
band	группа	0.648	0.552	0.525
bandage	повязка	0.220	0.327	0.286
bandanna	NO TRANSLATION	0.562	0.276	0.277
bandit	бандит	0.094	0.796	0.567
bandstand	эстрада для оркестра	0.735	0.536	0.520
bandwagon	повальное увлечение	0.625	0.651	0.509
bandwidth	пропускная способность	0.714	0.337	0.548
bane	отрава	0.265	0.694	0.366
bang	бах	0.265	0.951	0.740
banger	сосиска	0.378	0.540	0.538
banish	отгонять	0.163	0.677	0.543
banished	изгнанный	0.052	0.713	0.370
banishment	высылка	0.160	0.775	0.298
banister	перила	0.418	0.410	0.332
banjo	банджо	0.469	0.400	0.370
bank	банка	0.562	0.327	0.675
banker	банкир	0.586	0.588	0.792
banking	банковское дело	0.510	0.327	0.500
bankroll	денежные средства	0.469	0.570	0.509
bankrupt	банкрот	0.163	0.673	0.337
bankruptcy	банкротство	0.010	0.696	0.209
banner	баннер	0.521	0.408	0.474
banquet	банкет	0.765	0.571	0.600
banshee	сирена воздушной тревоги	0.408	0.565	0.481
banter	подшучивать	0.594	0.677	0.464
banzai	NO TRANSLATION	0.550	0.510	0.443
baptism	крещение	0.844	0.384	0.566
baptismal	крестильный	0.646	0.343	0.625
baptize	крестить	0.739	0.426	0.594
bar	бар	0.500	0.531	0.481
barb	бородка	0.448	0.365	0.417
barbarian	варвар	0.323	0.896	0.713
barbaric	варварский	0.235	0.798	0.738
barbarism	варварство	0.190	0.815	0.614
barbecue	барбекю	0.792	0.643	0.456
barbed	колючий	0.177	0.594	0.455
barber	цирюльник	0.543	0.459	0.356
barbershop	парикмахерская	0.597	0.441	0.382
barbie doll	Кукла Барби	0.729	0.370	0.330
bard	бард	0.470	0.410	0.439
bare	голый	0.333	0.717	0.296
bareback	неоседланный	0.500	0.356	0.373
barefoot	босиком	0.445	0.373	0.241
barely	едва	0.448	0.183	0.268
barf	блевать	0.340	0.491	0.394
bargain	сделка	0.653	0.533	0.670
bargaining	переговоры	0.622	0.640	0.642
barge	баржа	0.469	0.388	0.465
baritone	баритон	0.592	0.529	0.500
barium	барий	0.406	0.353	0.377
bark	лай	0.360	0.602	0.395
barkeep	бармен	0.480	0.500	0.454
barks	лает	0.427	0.694	0.325
barley	ячмень	0.614	0.212	0.296
barmaid	буфетчица	0.521	0.472	0.440
barman	бармен	0.594	0.610	0.400
barn	сарай	0.510	0.452	0.425
barnacle	кляпцы	0.408	0.337	0.457
barney	гулянка	0.451	0.378	0.440
barnyard	скотный двор	0.510	0.353	0.336
barometer	барометр	0.388	0.273	0.545
baron	барон	0.520	0.358	0.709
baroness	баронесса	0.625	0.453	0.755
baroque	барокко	0.490	0.357	0.418
barrack	барак	0.378	0.500	0.455
barracuda	барракуда	0.333	0.713	0.510
barrage	заграждение	0.388	0.871	0.627
barred	запрещенный	0.143	0.741	0.535
barrel	бочка	0.429	0.298	0.474
barren	бесплодный	0.173	0.373	0.221
barricade	баррикада	0.323	0.667	0.673
barrier	барьер	0.333	0.480	0.562
barring	за исключением	0.292	0.670	0.420
barrister	барристер	0.469	0.570	0.792
barroom	Barroom	0.686	0.619	0.470
barrow	курган	0.479	0.363	0.362
bartender	бармен	0.573	0.698	0.585
barter	бартер	0.465	0.559	0.596
base	база	0.635	0.298	0.553
baseball	бейсбол	0.660	0.760	0.563
baseball bat	бейсбольная бита	0.667	0.567	0.509
baseboard	плинтус	0.396	0.198	0.405
baseless	необоснованный	0.292	0.382	0.375
baseline	базовая линия	0.483	0.367	0.509
baseman	низов	0.604	0.449	0.462
basement	подвал	0.388	0.500	0.268
bases	основы	0.569	0.236	0.591
bash	удар	0.385	0.546	0.463
bashful	робкий	0.400	0.406	0.217
basic	основной	0.643	0.102	0.395
basics	основы	0.688	0.311	0.491
basil	Бэзил	0.534	0.274	0.309
basilica	базилика	0.612	0.302	0.639
basin	бассейн	0.552	0.231	0.398
basis	основа	0.602	0.260	0.426
bask	греться	0.760	0.330	0.381
basket	корзина	0.458	0.227	0.336
basketball	баскетбол	0.814	0.764	0.435
bass	бас	0.427	0.206	0.268
bass guitar	бас-гитара	0.738	0.370	0.294
basso	NO TRANSLATION	0.417	0.420	0.439
bassoon	фагот	0.500	0.433	0.310
bastard	Ублюдок	0.094	0.692	0.289
bastarding	bastarding	0.104	0.608	0.269
bastards	ублюдки	0.082	0.680	0.422
bastion	бастион	0.531	0.500	0.596
bat	летучая мышь	0.324	0.409	0.480
batch	партия	0.560	0.357	0.357
batching	дозирующий	0.484	0.420	0.518
bate	NO TRANSLATION	0.429	0.525	0.464
bath	ванна	0.725	0.260	0.263
bathe	купать	0.677	0.294	0.371
bathhouse	баня	0.602	0.380	0.459
bathing	купание	0.740	0.276	0.361
bathrobe	банный халат	0.531	0.442	0.394
bathroom	ванная	0.561	0.283	0.345
bathtub	ванна	0.625	0.240	0.318
bathymetry	батиметрия	0.432	0.480	0.509
baton	дубинка	0.272	0.235	0.519
battalion	батальон	0.333	0.818	0.795
batter	долбить	0.561	0.245	0.373
battered	разбитый	0.080	0.790	0.306
battering	долбление	0.210	0.798	0.490
battery	аккумулятор	0.480	0.425	0.442
battle	боевой	0.365	0.945	0.868
battled	боролись	0.292	0.794	0.575
battlefield	поле битвы	0.133	0.918	0.781
battleground	поле битвы	0.156	0.958	0.812
battlements	бойницами	0.276	0.441	0.530
battleship	линкор	0.479	0.750	0.726
batty	тронутый	0.375	0.619	0.274
bauble	безделушка	0.698	0.429	0.255
bawdy	похабный	0.184	0.823	0.508
bawl	орать	0.385	0.880	0.561
bay	залив	0.719	0.365	0.569
bayonet	штыковой	0.263	0.775	0.561
bayou	старица	0.469	0.431	0.324
bazaar	восточный базар	0.604	0.340	0.500
bazooka	базука	0.302	0.824	0.634
bday	Bday	0.729	0.600	0.415
be	быть	0.670	0.240	0.554
beach	пляж	0.885	0.529	0.455
beaches	пляжи	0.865	0.500	0.538
beacon	маяк	0.580	0.407	0.537
bead	шарик	0.592	0.388	0.381
beading	развальцовка	0.542	0.320	0.398
beads	бисер	0.673	0.388	0.552
beady	покрытый капельками	0.448	0.417	0.443
beagle	гончая	0.649	0.470	0.395
beak	клюв	0.375	0.363	0.411
beaker	мерный стакан	0.420	0.410	0.391
beam	луч	0.584	0.349	0.382
beaming	лучезарный	0.892	0.654	0.587
bean	боб	0.667	0.269	0.264
beanbag	погремушка	0.450	0.380	0.340
beanie	шапочка	0.500	0.230	0.263
bear	медведь	0.448	0.570	0.475
bearable	терпимый	0.542	0.375	0.605
beard	борода	0.490	0.261	0.371
bearded	бородатый	0.439	0.337	0.391
bearer	податель	0.571	0.547	0.676
bearing	подшипник	0.571	0.367	0.474
bearings	подшипники	0.418	0.490	0.426
bearish	медвежий	0.521	0.549	0.324
bearskin	медвежья шкура	0.333	0.398	0.464
beast	зверь	0.214	0.780	0.732
beastly	зверский	0.146	0.874	0.843
beat	бить	0.279	0.647	0.492
beaten	избитый	0.083	0.846	0.265
beater	било	0.438	0.545	0.482
beating	битье	0.153	0.833	0.481
beatnik	битник	0.429	0.510	0.382
beau	кавалер	0.612	0.440	0.432
beautification	благоустройство	0.885	0.575	0.725
beautiful	красивая	0.875	0.614	0.648
beautify	украшать	0.898	0.592	0.736
beauty	красота	0.842	0.600	0.644
beaver	бобр	0.490	0.344	0.393
bebop	бибоп	0.482	0.490	0.358
beck	манить	0.580	0.375	0.418
beckon	манить	0.663	0.455	0.452
become	стали	0.641	0.583	0.643
bed	постель	0.604	0.173	0.327
bedding	постельные принадлежности	0.704	0.276	0.377
bedpan	подкладное судно	0.510	0.400	0.362
bedrock	коренная порода	0.561	0.340	0.598
bedroom	Спальня	0.744	0.296	0.491
bedside	прикроватный	0.604	0.167	0.375
bedspread	постельное покрывало	0.551	0.139	0.292
bedtime	время отхода ко сну	0.673	0.314	0.373
bee	пчела	0.520	0.509	0.309
beef	говядина	0.582	0.312	0.492
beefsteak	стейк из говядины	0.594	0.391	0.455
beehive	улей	0.541	0.700	0.422
beep	гудок	0.595	0.541	0.304
beeper	бипер	0.438	0.720	0.441
beer	пиво	0.592	0.654	0.500
bees	пчелы	0.562	0.635	0.412
beeswax	пчелиный воск	0.583	0.402	0.375
beetle	жук	0.323	0.356	0.295
befall	случаться	0.520	0.663	0.585
befitting	подходящий	0.708	0.333	0.394
befriend	помогать	0.930	0.624	0.471
befuddled	озадаченный	0.156	0.714	0.269
beg	очень прошу	0.292	0.608	0.328
beggar	нищий	0.240	0.402	0.116
begging	нищенство	0.292	0.461	0.202
begin	начать	0.677	0.569	0.763
beginner	начинающий	0.490	0.480	0.387
beginning	начало	0.816	0.528	0.558
beginnings	истоки	0.837	0.527	0.600
begrudge	завидовать	0.177	0.731	0.377
begun	начатый	0.677	0.500	0.404
behappy	NO TRANSLATION	0.875	0.557	0.562
behave	вести себя	0.677	0.363	0.747
behavior	поведение	0.594	0.442	0.813
behavioral	поведенческий	0.612	0.440	0.708
behemoth	бегемот	0.583	0.781	0.853
behest	приказание	0.602	0.350	0.720
behold	вот	0.610	0.284	0.449
beholden	признательный	0.296	0.555	0.212
beholder	очевидец	0.714	0.491	0.520
beige	бежевый	0.490	0.222	0.224
belated	запоздалый	0.240	0.400	0.214
belay	отставить	0.500	0.472	0.702
belch	отрыжка	0.194	0.562	0.240
belief	вера	0.896	0.375	0.656
believable	правдоподобно	0.866	0.390	0.676
believe	верить	0.781	0.370	0.682
believed	Считается,	0.500	0.562	0.547
believer	верующий	0.725	0.445	0.564
believing	полагая	0.870	0.418	0.833
belittle	умалить	0.122	0.417	0.250
belittled	принижается	0.177	0.392	0.226
bell	колокол	0.552	0.510	0.505
bellboy	коридорный	0.542	0.363	0.302
bellhop	посыльный	0.500	0.287	0.318
belligerent	воинственный	0.344	0.680	0.594
bellman	глашатай	0.540	0.250	0.371
bellow	рев	0.248	0.337	0.212
bellows	сильфон	0.458	0.515	0.429
belly	живот	0.510	0.388	0.387
bellybutton	пупок	0.531	0.283	0.360
bellyful	сытость	0.347	0.806	0.519
belong	принадлежать	0.643	0.405	0.569
belongings	пожитки	0.592	0.380	0.750
beloved	возлюбленная	0.969	0.613	0.708
belt	ремень	0.541	0.322	0.445
beluga	белуга	0.510	0.333	0.482
bemused	ошеломленный	0.281	0.490	0.278
bench	скамейка	0.571	0.289	0.544
bend	изгиб	0.571	0.324	0.368
bender	клещи	0.490	0.510	0.466
bending	изгиб	0.448	0.565	0.455
beneath	под	0.354	0.173	0.233
benedictory	благословляющий	0.677	0.438	0.481
benefactor	благодетель	0.833	0.578	0.755
beneficial	выгодный	0.820	0.579	0.703
beneficiary	бенефициар	0.776	0.399	0.616
benefit	выгода	0.906	0.422	0.806
benevolence	благожелательность	0.786	0.340	0.717
benevolent	благожелательный	0.786	0.407	0.651
benign	доброкачественный	0.694	0.440	0.509
bent	изогнутый	0.375	0.453	0.298
benzene	бензол	0.439	0.459	0.403
bequeath	завещать	0.743	0.500	0.741
bequest	наследство	0.661	0.398	0.882
bereaved	скорбящий	0.104	0.479	0.221
bereavement	тяжелая утрата	0.265	0.677	0.500
bereft	лишенный	0.229	0.490	0.336
beret	берет	0.542	0.240	0.327
bergamot	бергамот	0.510	0.365	0.339
berlin	Берлин	0.592	0.423	0.571
berserk	неистовый	0.398	0.556	0.480
berth	спальное место	0.295	0.337	0.596
beryllium	бериллий	0.417	0.412	0.425
beseech	умолять	0.330	0.441	0.600
beset	осаждать	0.385	0.717	0.317
bestdayever	самый лучший день	0.760	0.646	0.593
bestfeeling	bestfeeling	0.806	0.509	0.625
bestfriends	лучшие друзья	0.934	0.662	0.647
bestial	развратный	0.260	0.761	0.674
besties	Besties	0.888	0.509	0.614
bestow	даровать	0.656	0.560	0.642
bestseller	бестселлер	0.771	0.643	0.700
bet	делать ставку	0.385	0.698	0.432
beta	бета	0.710	0.370	0.439
betray	предавать	0.042	0.870	0.536
betrayal	предательство	0.083	0.719	0.418
betrayed	предала	0.122	0.769	0.308
betrothed	обручена	0.833	0.630	0.667
betterment	улучшение	0.898	0.536	0.769
betting	делать ставки	0.237	0.804	0.411
betty	Бетти	0.542	0.358	0.381
bevel	скос	0.757	0.406	0.454
beverage	напиток	0.635	0.490	0.389
bevy	стая	0.429	0.460	0.541
beware	остерегаться	0.151	0.596	0.518
bewilder	смущать	0.306	0.571	0.289
bewildered	озадаченный	0.230	0.630	0.300
bewilderment	недоумение	0.312	0.716	0.216
bias	смещение	0.400	0.370	0.541
biased	пристрастный	0.271	0.302	0.368
bib	нагрудник	0.385	0.396	0.339
bible	библия	0.719	0.225	0.726
biblical	библейский	0.635	0.304	0.712
bibliography	Библиография	0.622	0.204	0.528
bicarbonate	бикарбонат	0.479	0.337	0.438
bicentennial	двухсотлетие	0.541	0.423	0.507
biceps	бицепс	0.592	0.588	0.602
bicker	пререкаться	0.143	0.643	0.552
bickering	ссора	0.122	0.800	0.536
bicolor	двухцветный	0.580	0.327	0.404
bicycle	велосипед	0.708	0.519	0.425
bid	предложение	0.760	0.530	0.655
bidder	претендент	0.465	0.474	0.433
bidding	торги	0.586	0.644	0.509
bide	NO TRANSLATION	0.368	0.407	0.282
biennial	двухгодичный	0.531	0.309	0.353
bier	NO TRANSLATION	0.497	0.448	0.407
bifurcation	разветвление	0.385	0.625	0.352
big	большой	0.802	0.588	0.812
bigamy	двоеженство	0.327	0.696	0.482
bigday	Большой день	0.796	0.689	0.596
biggestfear	NO TRANSLATION	0.062	0.730	0.480
biggie	Biggie	0.531	0.481	0.500
bighorn	большой рог	0.480	0.547	0.580
bigmouth	большой рот	0.417	0.577	0.430
bigot	изувер	0.479	0.745	0.517
bigoted	нетерпимый	0.153	0.760	0.462
bigotry	фанатизм	0.356	0.737	0.481
bike	велосипед	0.708	0.500	0.333
biker	байкер	0.604	0.710	0.567
bikini	бикини	0.730	0.639	0.353
bilateral	двусторонний	0.633	0.343	0.491
bilayer	двойной слой	0.438	0.398	0.388
bile	желчь	0.157	0.461	0.324
bilge	днище	0.316	0.392	0.412
bilingual	двуязычный	0.735	0.490	0.606
bill	законопроект	0.396	0.402	0.535
billboard	рекламный щит	0.594	0.317	0.481
billet	болванка	0.479	0.583	0.500
billiard	бильярдный	0.719	0.616	0.543
billiards	бильярд	0.643	0.559	0.387
billing	биллинг	0.406	0.481	0.670
billion	миллиард	0.719	0.564	0.782
billionaire	миллиардер	0.806	0.667	0.923
billy	Билли	0.490	0.397	0.375
bimbo	пустышка	0.396	0.370	0.300
bimonthly	раз в два месяца	0.408	0.298	0.471
bin	бункер	0.422	0.304	0.327
binary	двоичный	0.490	0.356	0.420
bind	привязывать	0.398	0.462	0.448
binder	связующее вещество	0.438	0.250	0.308
bindery	переплетная	0.548	0.388	0.482
binding	переплет	0.438	0.425	0.640
bing	Бинг	0.573	0.453	0.415
binge	выпивка	0.304	0.650	0.500
bingo	бинго	0.735	0.667	0.429
binocular	бинокулярный	0.531	0.344	0.426
binoculars	бинокль	0.490	0.309	0.411
binomial	бином	0.600	0.406	0.426
bio	био	0.612	0.225	0.490
biochemical	биохимический	0.367	0.481	0.618
biochemist	биохимик	0.471	0.449	0.717
biochemistry	биохимия	0.552	0.531	0.596
biogenesis	биогенез	0.594	0.442	0.697
biographer	биограф	0.708	0.427	0.617
biography	биография	0.698	0.229	0.718
biological	биологический	0.590	0.410	0.615
biologist	биолог	0.625	0.453	0.693
biology	биология	0.479	0.274	0.546
bionic	бионический	0.571	0.570	0.788
biopsy	биопсия	0.323	0.657	0.481
biosphere	биосфера	0.684	0.351	0.579
bipartite	двураздельный	0.365	0.480	0.464
bipolar	биполярный	0.208	0.685	0.426
birch	береза	0.562	0.346	0.382
bird	птица	0.729	0.357	0.364
birdcage	клетка	0.480	0.398	0.318
birdie	птичка	0.594	0.394	0.407
birdman	орнитолог	0.490	0.567	0.604
birth	рождение	0.896	0.655	0.536
birthday	день рождения	0.969	0.844	0.575
birthing	родильный	0.796	0.877	0.519
birthmark	родинка	0.630	0.461	0.500
birthplace	место рождения	0.781	0.290	0.491
birthright	право по рождению	0.684	0.417	0.714
bis	NO TRANSLATION	0.440	0.420	0.345
biscuit	бисквит	0.888	0.260	0.231
bisexual	бисексуал	0.438	0.765	0.459
bishop	епископ	0.594	0.184	0.725
bison	бизон	0.573	0.433	0.557
bisque	фора	0.693	0.443	0.312
bistro	бистро	0.594	0.472	0.396
bit	немного	0.427	0.310	0.225
bitch	сука	0.276	0.740	0.343
bitchy	озлобленный	0.188	0.700	0.373
bite	укусить	0.219	0.796	0.510
biter	NO TRANSLATION	0.260	0.598	0.500
bitsy	Крохотный	0.510	0.388	0.382
bitter	горький	0.218	0.627	0.411
bitterly	горько	0.194	0.685	0.362
bitterness	горечь	0.115	0.633	0.270
bittersweet	горьковато-сладкий	0.469	0.569	0.474
bitty	разношерстный	0.469	0.271	0.257
bitumen	битум	0.375	0.235	0.307
biweekly	раз в две недели	0.581	0.337	0.455
biz	бизнес	0.500	0.473	0.473
bizarre	эксцентричный	0.379	0.620	0.392
blab	болтун	0.438	0.425	0.353
blabbermouth	болтун	0.323	0.640	0.422
black	черный	0.326	0.339	0.390
black snake	черная змея	0.104	0.860	0.612
blackberry	ежевика	0.667	0.413	0.453
blackbird	дрозд черный	0.520	0.340	0.405
blackboard	классная доска	0.469	0.255	0.287
blacken	чернить	0.208	0.500	0.228
blackface	черное лицо	0.302	0.490	0.441
blackjack	Блэк Джек	0.419	0.679	0.452
blacklist	черный список	0.133	0.750	0.396
blackmail	шантажировать	0.094	0.802	0.482
blackmailer	шантажист	0.092	0.780	0.472
blackness	чернота	0.260	0.480	0.406
blackout	затемнение	0.126	0.530	0.349
blacksmith	кузнец	0.480	0.531	0.702
bladder	мочевой пузырь	0.406	0.412	0.330
blade	лопасть	0.378	0.602	0.594
blame	вина	0.115	0.640	0.309
blameless	безупречный	0.759	0.196	0.343
bland	ласковый	0.300	0.226	0.157
blank	пустой	0.531	0.229	0.250
blanket	одеяло	0.740	0.132	0.391
blare	вопить	0.439	0.561	0.519
blase	NO TRANSLATION	0.420	0.310	0.412
blasphemous	богохульный	0.210	0.755	0.491
blasphemy	богохульство	0.146	0.794	0.406
blast	взрыв	0.167	0.929	0.777
blaster	взрыватель	0.459	0.538	0.554
blastoff	взлетать	0.357	0.865	0.736
blatant	вопиющий	0.327	0.677	0.675
blather	болтовня	0.344	0.481	0.382
blaze	полыхать	0.698	0.467	0.658
blazer	блейзер	0.635	0.385	0.417
blazing	полыхающий	0.594	0.896	0.735
bleach	отбеливатель	0.336	0.282	0.337
bleak	мрачный	0.204	0.427	0.272
bleed	кровоточить	0.041	0.843	0.346
bleeder	вымогатель	0.260	0.852	0.356
bleeding	кровотечение	0.135	0.817	0.408
bleep	бип	0.479	0.667	0.345
blemish	порок	0.219	0.558	0.272
blemished	портивший	0.173	0.469	0.370
blend	смесь	0.469	0.452	0.463
blender	смеситель	0.602	0.534	0.351
blending	смешивание	0.560	0.418	0.637
bless	благословить	0.929	0.269	0.588
blessed	благословенный	0.910	0.279	0.696
blessing	благословение	0.929	0.264	0.800
blessings	благословения	0.929	0.361	0.623
bleu	блю	0.460	0.354	0.379
blight	отравлять	0.271	0.771	0.429
blighted	омрачена	0.146	0.615	0.296
blimp	дирижабль	0.600	0.410	0.532
blind	слепой	0.156	0.360	0.184
blinded	ослепил	0.245	0.471	0.231
blindfold	повязка на глаза	0.448	0.684	0.337
blindfolded	с завязанными глазами	0.208	0.564	0.209
blinding	ослепление	0.304	0.596	0.406
blindly	слепо	0.439	0.598	0.278
blindness	слепота	0.245	0.480	0.196
blink	мерцать	0.552	0.316	0.324
blip	изображение на экране радара	0.529	0.461	0.418
bliss	блаженство	0.816	0.500	0.782
blissful	блаженный	0.885	0.639	0.676
blister	волдырь	0.407	0.538	0.402
blistering	образование пузырей	0.344	0.569	0.390
blitz	блицкриг	0.417	0.722	0.789
blizzard	метель	0.375	0.726	0.417
bloat	раздуваться	0.229	0.694	0.298
bloated	раздутый	0.167	0.593	0.424
blob	капля	0.500	0.376	0.298
block	блок	0.286	0.350	0.402
blockade	блокада	0.380	0.519	0.510
blockage	блокировка	0.250	0.608	0.444
blockbuster	блокбастер	0.730	0.676	0.883
blockhead	болван	0.163	0.333	0.148
blog	блог	0.639	0.390	0.432
bloke	парень	0.450	0.479	0.545
blond	блондин	0.590	0.490	0.490
blonde	блондинка	0.698	0.545	0.412
blood	кровь	0.219	0.684	0.585
bloodbath	бойня	0.060	0.971	0.475
bloodhound	ищейка	0.327	0.462	0.538
bloodless	бескровный	0.292	0.390	0.212
bloodline	родословная	0.510	0.657	0.604
bloodshed	кровопролитие	0.048	0.942	0.525
bloodshot	воспаленный	0.188	0.810	0.482
bloodstream	кровоток	0.552	0.530	0.528
bloodthirsty	кровожадный	0.052	0.804	0.644
bloody	кровавый	0.031	0.910	0.518
bloom	цветение	0.816	0.453	0.587
bloomers	шаровары	0.521	0.587	0.395
blooming	цветущий	0.860	0.452	0.593
blossom	цвести	0.792	0.275	0.309
blot	пятно	0.365	0.304	0.223
blotched	покрытый пятнами	0.133	0.562	0.264
blotter	промокашка	0.360	0.298	0.280
blouse	блузка	0.580	0.190	0.302
blow	дуть	0.316	0.750	0.570
blower	воздуходувка	0.564	0.550	0.536
blowfish	Blowfish	0.344	0.420	0.389
blowing	дующий	0.521	0.472	0.434
blowjob	минета	0.460	0.784	0.387
blown	взорван	0.333	0.548	0.412
blowout	задуть	0.398	0.792	0.616
blowtorch	паяльная лампа	0.520	0.730	0.510
blubber	выпячивающийся	0.388	0.260	0.360
bluddy	bluddy	0.312	0.528	0.442
blue	синий	0.646	0.137	0.291
blue spruce	голубая ель	0.559	0.335	0.364
blueberry	черника	0.656	0.185	0.365
bluebird	певчая птица	0.573	0.350	0.450
bluegrass	мятлик	0.573	0.441	0.395
bluejay	Bluejay	0.635	0.520	0.310
blueprint	план	0.490	0.173	0.425
blues	блюз	0.469	0.220	0.287
bluff	утес	0.418	0.286	0.377
bluish	голубоватый	0.604	0.245	0.382
blunder	просчет	0.135	0.635	0.145
blunt	тупой	0.551	0.680	0.925
blur	пятно	0.268	0.471	0.205
blurred	размытый	0.320	0.367	0.231
blurry	размыто	0.059	0.385	0.218
blurt	сболтнуть	0.408	0.439	0.441
blush	румянец	0.698	0.610	0.445
blushing	застенчивый	0.510	0.789	0.288
boa	NO TRANSLATION	0.255	0.569	0.542
boa constrictor	NO TRANSLATION	0.198	0.784	0.609
boar	боров	0.406	0.500	0.351
board	доска	0.592	0.255	0.385
board game	настольная игра	0.711	0.490	0.349
boarder	NO TRANSLATION	0.604	0.440	0.475
boarding	посадка	0.531	0.402	0.534
boardroom	зал заседаний совета директоров	0.555	0.566	0.661
boards	доски	0.469	0.270	0.524
boardwalk	дощатый настил	0.643	0.481	0.549
boast	хвастовство	0.520	0.586	0.569
boastful	хвастливый	0.490	0.806	0.695
boasting	хвастовство	0.417	0.620	0.602
boat	лодка	0.516	0.420	0.554
boathouse	навес для лодок	0.592	0.380	0.404
boating	гребля	0.638	0.613	0.557
boatload	полная нагрузка шлюпки	0.365	0.415	0.485
boatman	лодочник	0.592	0.573	0.562
bobbin	бобина	0.429	0.472	0.353
bobcat	рысь	0.562	0.490	0.529
bobsled	бобслей	0.667	0.613	0.325
bode	предвещать	0.344	0.406	0.411
bodega	винный погребок	0.573	0.307	0.398
bodice	корсаж	0.390	0.471	0.386
bodily	телесный	0.594	0.481	0.557
body	тело	0.694	0.461	0.571
bodyguard	телохранитель	0.510	0.710	0.754
bog	трясина	0.302	0.361	0.365
bogey	жупел	0.380	0.519	0.368
bogeyman	привидение	0.388	0.708	0.517
bogus	фиктивный	0.219	0.353	0.144
bohemian	богемский	0.622	0.500	0.407
boil	кипятить	0.417	0.684	0.433
boiler	котел	0.561	0.590	0.509
boilerplate	шаблонный	0.398	0.519	0.387
boiling	кипение	0.302	0.690	0.526
boisterous	неистовый	0.385	0.806	0.565
bold	жирный	0.490	0.271	0.483
boldness	смелость	0.806	0.684	0.814
bollocks	ерунда	0.448	0.471	0.327
bolster	поддерживать	0.708	0.471	0.569
bolt	болт	0.354	0.363	0.426
bolus	пилюля	0.426	0.491	0.352
bomb	бомбить	0.167	0.912	0.750
bombard	бомбардировать	0.156	0.961	0.777
bombardier	бомбардир	0.240	0.863	0.787
bombardment	бомбардировка	0.146	0.959	0.742
bombed	бомбил	0.051	0.851	0.627
bomber	бомбардировщик	0.125	0.837	0.810
bombers	бомбардировщики	0.173	0.920	0.787
bombing	бомбардировка	0.167	0.963	0.732
bombshell	гром среди ясного неба	0.327	0.868	0.693
bonanza	золотое дно	0.875	0.410	0.683
bonbon	NO TRANSLATION	0.865	0.551	0.446
bond	связь	0.667	0.519	0.630
bondage	зависимость	0.146	0.705	0.355
bonding	склеивание	0.594	0.442	0.509
bonds	облигации	0.740	0.472	0.583
bondsman	поручитель	0.469	0.497	0.675
bone	кость	0.337	0.370	0.413
bonehead	балбес	0.337	0.521	0.518
boner	глупая ошибка	0.344	0.612	0.393
bones	скелет	0.281	0.343	0.358
bonfire	костер	0.480	0.719	0.473
bong	бом	0.333	0.566	0.375
bonkers	помешанный	0.306	0.847	0.278
bonne	NO TRANSLATION	0.448	0.395	0.362
bonnet	капот	0.406	0.509	0.473
