Word	Gujarati-gu	Valence	Arousal	Dominance
assessor	એસેસર	0.551	0.538	0.764
asset	સંપત્તિ	0.797	0.765	0.788
assets	અસ્કયામતો	0.667	0.613	0.765
asshole	ગધેડો	0.133	0.582	0.263
assign	સોંપો	0.622	0.417	0.709
assignee	સોંપણી	0.510	0.462	0.510
assignment	સોંપણી	0.483	0.398	0.745
assimilate	આત્મસાત કરવું	0.559	0.391	0.683
assimilation	એકીકરણ	0.429	0.378	0.463
assist	સહાય કરો	0.833	0.435	0.629
assistance	સહાયતા	0.656	0.519	0.633
assistant	મદદનીશ	0.625	0.390	0.536
associate	સહયોગી	0.812	0.409	0.625
association	સંડોવણી	0.745	0.500	0.817
assorted	મિશ્રિત	0.602	0.460	0.472
assortment	ભાત	0.694	0.360	0.526
assuage	આનંદ કરવો	0.745	0.255	0.500
assume	ધારો	0.698	0.401	0.464
assumed	ધારી	0.612	0.247	0.454
assuming	ધારી રહ્યા છીએ	0.740	0.390	0.526
assumption	ધારણા	0.479	0.431	0.417
assurance	ખાતરી	0.675	0.442	0.704
assure	ખાતરી કરો	0.910	0.460	0.839
assured	ખાતરીપૂર્વક	0.878	0.327	0.754
assuredly	નિશ્ચિતપણે	0.786	0.396	0.833
asterisk	ફૂદડી	0.541	0.288	0.273
asteroid	એસ્ટરોઇડ	0.430	0.721	0.623
asteroids	એસ્ટરોઇડ	0.361	0.694	0.712
asthma	અસ્થમા	0.198	0.549	0.227
asthmatic	અસ્થમા	0.229	0.706	0.294
astigmatism	અસ્પષ્ટવાદ	0.214	0.490	0.429
astonish	આશ્ચર્ય પમાડવું	0.786	0.845	0.658
astonished	આશ્ચર્ય	0.510	0.775	0.574
astonishing	આશ્ચર્યકારક	0.844	0.802	0.821
astonishingly	NO TRANSLATION	0.827	0.898	0.773
astonishment	આશ્ચર્ય	0.680	0.718	0.519
astound	આશ્ચર્ય	0.729	0.675	0.474
astral	અપાર્થિવ	0.604	0.417	0.567
astray	કુમાર્ગે	0.098	0.676	0.308
astringent	બંધક	0.316	0.500	0.474
astrologer	જ્યોતિષી	0.594	0.519	0.673
astrology	જ્યોતિષવિદ્યા	0.635	0.340	0.500
astronaut	અવકાશયાત્રી	0.792	0.601	0.761
astronomer	ખગોળશાસ્ત્રી	0.750	0.509	0.735
astronomical	ખગોળશાસ્ત્રીય	0.600	0.632	0.726
astronomy	ખગોળશાસ્ત્ર	0.613	0.474	0.722
astute	ચપળ	0.776	0.658	0.827
asunder	અસ્પષ્ટતા	0.208	0.442	0.259
asylum	આશ્રય	0.407	0.330	0.445
asymmetric	અસમપ્રમાણતા	0.580	0.343	0.465
asymmetry	અસમપ્રમાણતા	0.476	0.373	0.527
asymptotic	અસાઇમ્પ્ટિક	0.479	0.451	0.472
atelier	અટેલિયરમાં	0.490	0.330	0.705
atheism	નાસ્તિકતા	0.276	0.460	0.481
atheist	નાસ્તિક	0.225	0.447	0.377
atheistic	નાસ્તિક	0.373	0.481	0.466
atherosclerosis	એથરોસ્ક્લેરોસિસ	0.250	0.480	0.343
athlete	રમતવીર	0.781	0.718	0.686
athletic	એથલેટિક	0.857	0.798	0.708
athleticism	એથ્લેટિકિઝમ	0.750	0.863	0.778
athletics	એથ્લેટિક્સ	0.831	0.691	0.740
atlas	એટલાસ	0.531	0.306	0.554
atmosphere	વાતાવરણ	0.604	0.300	0.560
atmospheric	વાતાવરણીય	0.531	0.420	0.594
atoll	એટોલ	0.480	0.408	0.472
atom	અણુ	0.510	0.500	0.433
atomic	અણુ	0.327	0.817	0.713
atone	પ્રાયશ્ચિત	0.418	0.673	0.411
atonement	પ્રાયશ્ચિત	0.550	0.602	0.683
atpeace	સ્ટેજ	0.724	0.298	0.519
atrium	કર્ણક	0.469	0.365	0.473
atrocious	ઘાતકી	0.073	0.811	0.445
atrocity	અત્યાચાર	0.115	0.844	0.593
atrophy	કૃશતા	0.177	0.540	0.208
attach	જોડો	0.520	0.363	0.559
attached	જોડાયેલ	0.562	0.350	0.439
attachment	જોડાણ	0.570	0.343	0.500
attack	હુમલો	0.286	0.948	0.670
attacker	હુમલાખોર	0.185	0.962	0.629
attacking	હુમલો	0.276	0.837	0.642
attain	પ્રાપ્તિ	0.806	0.510	0.719
attainable	પ્રાપ્ય	0.760	0.500	0.759
attainment	પ્રાપ્તિ	0.830	0.520	0.940
attempt	પ્રયાસ	0.625	0.491	0.431
attempted	પ્રયાસ કર્યો	0.594	0.580	0.567
attend	હાજર રહેવું	0.650	0.420	0.625
attendance	હાજરી	0.812	0.500	0.592
attendant	પરિચર	0.580	0.365	0.519
attention	ધ્યાન	0.740	0.599	0.774
attentionseeker	NO TRANSLATION	0.367	0.745	0.457
attentionseekers	NO TRANSLATION	0.531	0.673	0.500
attentive	સચેત	0.812	0.520	0.724
attenuate	હળવું	0.408	0.302	0.429
attenuated	એટેન્યુએટેડ	0.449	0.280	0.298
attenuation	સંશ્લેષણ	0.458	0.363	0.464
attest	પ્રમાણિત	0.439	0.710	0.685
attestation	પ્રમાણપત્ર	0.234	0.635	0.500
attic	એટિક	0.521	0.259	0.377
attire	પોશાક	0.742	0.388	0.483
attitude	વલણ	0.760	0.644	0.861
attorney	એટર્ની	0.600	0.594	0.754
attract	આકર્ષિત કરો	0.796	0.663	0.769
attraction	આકર્ષણ	0.906	0.774	0.712
attractive	આકર્ષક	0.906	0.630	0.769
attractiveness	આકર્ષણ	0.938	0.667	0.755
attributable	આભારી	0.704	0.430	0.527
attribute	લક્ષણ	0.781	0.439	0.795
attribution	એટ્રિબ્યુશન	0.646	0.467	0.658
attrition	ઘસારો	0.229	0.540	0.259
auburn	ઔબર્ન	0.510	0.240	0.411
auction	હરાજી	0.594	0.702	0.519
auctioneer	હરાજી કરનાર	0.542	0.732	0.716
audacious	નિષ્ઠુર	0.740	0.875	0.825
audacity	બેશરમી	0.760	0.755	0.916
audible	શ્રાવ્ય	0.673	0.370	0.462
audience	દર્શકો	0.698	0.610	0.613
audio	ઑડિઓ	0.709	0.425	0.370
audit	ઓડિટ	0.375	0.562	0.735
audition	ઑડિશન	0.750	0.685	0.615
auditions	ઓડિશન	0.740	0.765	0.596
auditor	ઓડિટર	0.582	0.571	0.726
auditorium	સભાગૃહ	0.529	0.490	0.538
auditory	શ્રવણ્ય	0.531	0.481	0.570
aught	કોઈ	0.418	0.135	0.217
augment	વધારો	0.650	0.683	0.645
augmentation	વર્ધન	0.714	0.613	0.850
august	ઓગસ્ટ	0.652	0.292	0.462
aunt	કાકી	0.667	0.291	0.420
auntie	આન્ટી	0.643	0.275	0.447
aura	રોગનું લક્ષણ	0.760	0.333	0.500
aurora	ઓરોરા	0.817	0.306	0.537
auspices	આશ્રય	0.542	0.500	0.634
auspicious	શુભ	0.562	0.635	0.669
austere	અસ્થિર	0.500	0.390	0.422
austerity	સાદાઈ	0.438	0.406	0.534
authentic	અધિકૃત	0.885	0.510	0.782
authenticate	પ્રમાણિત કરો	0.833	0.480	0.789
authentication	પ્રમાણીકરણ	0.724	0.491	0.750
authenticity	અધિકૃતતા	0.670	0.548	0.845
author	લેખક	0.775	0.343	0.749
authoritative	અધિકૃત	0.636	0.520	0.890
authority	સત્તા	0.592	0.592	0.934
authorization	અધિકૃતતા	0.521	0.567	0.817
authorize	અધિકૃત કરો	0.772	0.596	0.821
authorized	અધિકૃત	0.760	0.458	0.815
authorship	લેખકત્વ	0.667	0.635	0.773
autism	ઓટિઝમ	0.235	0.500	0.447
autistic	ઓટીસ્ટીક	0.367	0.337	0.404
auto	ઓટો	0.571	0.569	0.500
autobiographical	આત્મકથનાત્મક	0.909	0.462	0.582
autobiography	આત્મકથા	0.735	0.284	0.629
autocorrect	સ્વતઃસુધારો	0.551	0.439	0.616
autocratic	નિરંકુશ	0.542	0.577	0.727
autograph	ઓટોગ્રાફ	0.735	0.565	0.473
autographed	ઓટોગ્રાફ્ડ	0.781	0.620	0.625
automated	સ્વયંચાલિત	0.578	0.402	0.632
automatic	આપોઆપ	0.562	0.433	0.664
automobile	ઓટોમોબાઇલ	0.753	0.625	0.534
automotive	ઓટોમોટિવ	0.656	0.520	0.577
autonomy	સ્વાયત્તતા	0.781	0.349	0.891
autopilot	ઓટોપાયલટ	0.594	0.462	0.632
autopsy	ઓટોપ્સી	0.252	0.650	0.538
autumn	પાનખર	0.765	0.204	0.450
auxiliary	સહાયક	0.622	0.471	0.509
avail	લાભ લો	0.800	0.430	0.603
availability	ઉપલબ્ધતા	0.796	0.544	0.600
available	ઉપલબ્ધ	0.844	0.356	0.623
avalanche	હિમપ્રપાત	0.265	0.915	0.683
avarice	લાલચ	0.198	0.726	0.352
avatar	અવતાર	0.633	0.410	0.567
avenge	વેર વાળવું	0.073	0.867	0.559
avenger	બદલો લેનાર	0.337	0.865	0.670
avenging	બદલો લેવો	0.143	0.880	0.717
avenue	એવન્યુ	0.677	0.360	0.377
aver	NO TRANSLATION	0.492	0.450	0.393
average	સરેરાશ	0.684	0.280	0.455
aversation	NO TRANSLATION	0.582	0.442	0.432
averse	પ્રતિકૂળ	0.253	0.569	0.492
averseness	એકલતા	0.296	0.606	0.528
aversion	અણગમો	0.074	0.663	0.525
avert	ટાળવું	0.510	0.388	0.465
aviary	પક્ષીસંગ્રહસ્થાન	0.500	0.360	0.467
aviation	ઉડ્ડયન	0.708	0.646	0.741
aviator	વિમાનચાલક	0.615	0.700	0.644
avid	ઉત્સુક	0.582	0.459	0.593
avocado	એવોકાડો	0.677	0.255	0.287
avoid	ટાળવા	0.427	0.442	0.415
avoidance	અવગણના	0.470	0.481	0.466
avoiding	અવગણવાની	0.457	0.433	0.309
await	રાહ જોવી	0.448	0.264	0.276
awake	જાગવું	0.667	0.469	0.741
awaken	જાગવું	0.729	0.412	0.611
awakening	જાગૃતિ	0.745	0.500	0.618
award	એવોર્ડ	0.865	0.745	0.660
awards	પુરસ્કારો	0.958	0.736	0.652
aware	પરિચિત	0.656	0.340	0.770
awareness	જાગૃતિ	0.684	0.422	0.810
awe	NO TRANSLATION	0.469	0.740	0.300
awed	awed	0.364	0.774	0.361
awesome	ભયાનક	0.980	0.897	0.891
awesomeness	અદ્ભુતતા	0.917	0.647	0.927
awestruck	ભયાવહ	0.615	0.767	0.680
awful	ભીષણ	0.061	0.786	0.450
awkward	અનાડી	0.296	0.650	0.358
awkwardness	અણઆવડત	0.167	0.454	0.148
awning	ચંદરવો	0.500	0.186	0.318
awry	અવળું	0.156	0.540	0.275
axe	કુહાડી	0.296	0.690	0.536
axial	અક્ષીય	0.458	0.278	0.491
axiom	સ્વયંસેવક	0.439	0.441	0.583
axiomatic	સ્વયંસિદ્ધ	0.458	0.392	0.627
axis	ધરી	0.209	0.250	0.356
axle	એક્સલ	0.459	0.294	0.473
ay	એ	0.500	0.557	0.255
aye	હા	0.562	0.420	0.392
azimuth	અઝીમથ	0.385	0.461	0.421
azure	નીલમ	0.620	0.256	0.339
babble	બડબડાવું	0.552	0.441	0.204
babbling	બકબક	0.396	0.418	0.241
babe	બાળક	0.860	0.536	0.424
baboon	બમ્બૂન	0.357	0.410	0.429
baby	બાળક	0.837	0.365	0.455
babysit	babysit	0.719	0.587	0.398
babysitter	નેની	0.656	0.415	0.408
baccalaureate	છેલ્લી માધ્યમિક શાળાની પરીક્ષા	0.729	0.510	0.480
baccarat	ખાઉધરાપણું	0.583	0.497	0.436
bachelor	બેચલર	0.667	0.406	0.600
bachelorette	બેચલરટેટે	0.735	0.780	0.465
back	પીઠ	0.438	0.353	0.336
backboard	બેકબોર્ડ	0.480	0.259	0.436
backbone	બેકબોન	0.538	0.464	0.620
backdoor	પાછળ નો દરવાજો	0.344	0.410	0.333
backdrop	બેકડ્રોપ	0.320	0.309	0.444
backer	બેકર	0.646	0.375	0.537
backfire	બેકફાયર	0.265	0.612	0.491
backgammon	બેકગેમન	0.580	0.410	0.390
background	પૃષ્ઠભૂમિ	0.399	0.357	0.498
backhand	બેકહેન્ડ	0.427	0.449	0.390
backhoe	બેકહૉ	0.398	0.554	0.562
backoff	પાછા બંધ	0.104	0.396	0.240
backpack	બેકપેક	0.729	0.278	0.333
backpacker	બેકપેકરે	0.510	0.730	0.460
backroom	બેકરૂમ	0.406	0.500	0.387
backseat	બૅકસીટ	0.388	0.330	0.237
backside	બેકસાઇડ	0.182	0.417	0.342
backtrack	બેકટ્રેક	0.312	0.525	0.278
backup	બેકઅપ	0.520	0.510	0.553
backward	પછાત	0.309	0.367	0.250
backwardness	પછાતપણું	0.240	0.500	0.136
backwards	પાછળની તરફ	0.302	0.372	0.330
backwater	બેકવોટર	0.312	0.410	0.161
backwoods	બેકવુડ્સ	0.541	0.350	0.482
backyard	બેકયાર્ડ	0.552	0.280	0.302
bacon	બેકોન	0.698	0.406	0.295
bacteria	બેક્ટેરિયા	0.177	0.553	0.570
bacterial	બેક્ટેરીયલ	0.156	0.500	0.473
bacterium	બેક્ટેરિયમ	0.194	0.545	0.345
bad	ખરાબ	0.125	0.625	0.373
badass	બદમાશ	0.255	0.775	0.745
badday	NO TRANSLATION	0.327	0.449	0.373
badfeeling	NO TRANSLATION	0.250	0.559	0.365
badge	બેજ	0.567	0.488	0.691
badger	બેજર	0.344	0.429	0.357
badhabit	NO TRANSLATION	0.184	0.594	0.311
badly	ખરાબ રીતે	0.073	0.509	0.286
badness	દુષ્ટતા	0.094	0.823	0.463
baffle	અવરોધવું	0.344	0.442	0.482
baffled	ગૂંચવણભર્યું	0.151	0.600	0.339
bag	બેગ	0.500	0.250	0.314
bagel	બેગલ	0.531	0.363	0.340
baggage	સામાન	0.610	0.363	0.427
baggie	બેગી	0.367	0.427	0.366
baggy	ઘેરું	0.521	0.278	0.452
bagman	બેગમેન	0.506	0.500	0.394
bagpipes	બેગપાઇપ્સ	0.541	0.556	0.412
bail	જામીન	0.373	0.520	0.561
bailiff	બેલિફ	0.347	0.519	0.759
bait	લાલચ	0.276	0.327	0.296
bake	ગરમીથી પકવવું	0.867	0.418	0.519
bakery	બેકરી	0.802	0.500	0.380
baking	બાફવું	0.549	0.455	0.451
bal	NO TRANSLATION	0.490	0.412	0.432
balance	સંતુલન	0.684	0.265	0.735
balanced	સંતુલિત	0.806	0.255	0.745
balcony	બાલ્કની	0.562	0.392	0.380
bald	બાલ્ડ	0.306	0.184	0.268
balding	બાલ્ડિંગ	0.302	0.363	0.368
baldy	બાલ્ડી	0.398	0.385	0.396
bale	ગાંસડી	0.437	0.363	0.412
balk	બાલક	0.229	0.451	0.415
ball	બોલ	0.740	0.427	0.317
ballad	લોકગીત	0.792	0.284	0.424
ballast	નીરમ	0.354	0.423	0.287
ballerina	નૃત્યનર્તિકા	0.802	0.660	0.475
ballet	બેલેટ	0.656	0.480	0.358
ballgame	બોલગેમ	0.781	0.790	0.407
ballistic	બેલિસ્ટિક	0.260	0.806	0.685
ballistics	બેલિસ્ટિક્સ	0.271	0.787	0.610
balloon	બલૂન	0.729	0.245	0.315
ballot	મતદાન	0.521	0.361	0.358
ballpark	બોલપાર્ક	0.724	0.694	0.529
ballplayer	બોલપ્લેયર	0.719	0.764	0.566
ballpoint	બોલપૉઇન્ટ	0.596	0.337	0.318
ballroom	બોલરૂમ	0.847	0.635	0.448
ballsy	બોલ્સી	0.531	0.491	0.414
balm	મલમ	0.625	0.275	0.414
balmy	નમ્ર	0.684	0.327	0.545
balsam	ઉપશામક મલમ	0.663	0.250	0.385
balsamic	બબૂલ	0.582	0.283	0.447
bam	બામ	0.427	0.472	0.390
bamboo	વાંસ	0.646	0.222	0.356
ban	NO TRANSLATION	0.146	0.689	0.587
banana	બનાના	0.612	0.230	0.241
band	બેન્ડ	0.648	0.552	0.525
bandage	પાટો	0.220	0.327	0.286
bandanna	NO TRANSLATION	0.562	0.276	0.277
bandit	ડાકુ	0.094	0.796	0.567
bandstand	બેન્ડસ્ટેન્ડ	0.735	0.536	0.520
bandwagon	બૅન્ડવાગન	0.625	0.651	0.509
bandwidth	બેન્ડવિડ્થ	0.714	0.337	0.548
bane	ઝેર	0.265	0.694	0.366
bang	બેંગ	0.265	0.951	0.740
banger	બેન્જર	0.378	0.540	0.538
banish	દેશનિકાલ કરવું	0.163	0.677	0.543
banished	દેશનિકાલ કર્યો	0.052	0.713	0.370
banishment	દેશનિકાલ	0.160	0.775	0.298
banister	બેનિસ્ટર	0.418	0.410	0.332
banjo	બેન્જો	0.469	0.400	0.370
bank	બેંક	0.562	0.327	0.675
banker	બેન્કર	0.586	0.588	0.792
banking	બેંકિંગ	0.510	0.327	0.500
bankroll	બેંકોલ	0.469	0.570	0.509
bankrupt	નાદાર	0.163	0.673	0.337
bankruptcy	નાદારી	0.010	0.696	0.209
banner	બેનર	0.521	0.408	0.474
banquet	ભોજન સમારંભ	0.765	0.571	0.600
banshee	બાન્શી	0.408	0.565	0.481
banter	મશ્કરી કરવી	0.594	0.677	0.464
banzai	NO TRANSLATION	0.550	0.510	0.443
baptism	બાપ્તિસ્મા	0.844	0.384	0.566
baptismal	બાપ્તિસ્મા	0.646	0.343	0.625
baptize	બાપ્તિસ્મા	0.739	0.426	0.594
bar	બાર	0.500	0.531	0.481
barb	બાર્બ	0.448	0.365	0.417
barbarian	જંગલી	0.323	0.896	0.713
barbaric	નિષ્ઠુર	0.235	0.798	0.738
barbarism	જંગલિયત	0.190	0.815	0.614
barbecue	બરબેકયુ	0.792	0.643	0.456
barbed	કાંટાળો	0.177	0.594	0.455
barber	વાળંદ	0.543	0.459	0.356
barbershop	વાળંદ ની દુકાન	0.597	0.441	0.382
barbie doll	બાર્બી ઢીંગલી	0.729	0.370	0.330
bard	બાર્ડ	0.470	0.410	0.439
bare	એકદમ	0.333	0.717	0.296
bareback	બેંગકોક	0.500	0.356	0.373
barefoot	ઉઘાડપગું	0.445	0.373	0.241
barely	ભાગ્યે જ	0.448	0.183	0.268
barf	બાર્ફ	0.340	0.491	0.394
bargain	સોદો	0.653	0.533	0.670
bargaining	સોદાબાજી	0.622	0.640	0.642
barge	બાજ	0.469	0.388	0.465
baritone	બારિટોન	0.592	0.529	0.500
barium	બેરિયમ	0.406	0.353	0.377
bark	છાલ	0.360	0.602	0.395
barkeep	બરકીપ	0.480	0.500	0.454
barks	છાલ	0.427	0.694	0.325
barley	જવ	0.614	0.212	0.296
barmaid	દારૂખાના	0.521	0.472	0.440
barman	બર્મન	0.594	0.610	0.400
barn	કોઠાર	0.510	0.452	0.425
barnacle	બાર્નૅકલ	0.408	0.337	0.457
barney	બૅર્ને	0.451	0.378	0.440
barnyard	ખેતરમાંનું ચોગાન	0.510	0.353	0.336
barometer	બેરોમીટર	0.388	0.273	0.545
baron	બંદર	0.520	0.358	0.709
baroness	ઉમદા	0.625	0.453	0.755
baroque	બેરોક	0.490	0.357	0.418
barrack	બરાક	0.378	0.500	0.455
barracuda	બારાકુડા	0.333	0.713	0.510
barrage	બૅજ	0.388	0.871	0.627
barred	બાધિત	0.143	0.741	0.535
barrel	બેરલ	0.429	0.298	0.474
barren	ઉજ્જડ	0.173	0.373	0.221
barricade	બેરિકેડ	0.323	0.667	0.673
barrier	અવરોધ	0.333	0.480	0.562
barring	સિવાય	0.292	0.670	0.420
barrister	બૅરિસ્ટર	0.469	0.570	0.792
barroom	બારરૂમ	0.686	0.619	0.470
barrow	બેરો	0.479	0.363	0.362
bartender	દારૂ કે નાસ્તાની દુકાનની નોકરડી	0.573	0.698	0.585
barter	વિનિમય	0.465	0.559	0.596
base	પાયો	0.635	0.298	0.553
baseball	બેઝબોલ	0.660	0.760	0.563
baseball bat	બેઝબોલ બેટ	0.667	0.567	0.509
baseboard	બેઝબોર્ડ	0.396	0.198	0.405
baseless	બિનપાયાદાર	0.292	0.382	0.375
baseline	આધારરેખા	0.483	0.367	0.509
baseman	બાસમેન	0.604	0.449	0.462
basement	ભોંયરામાં	0.388	0.500	0.268
bases	પાયા	0.569	0.236	0.591
bash	બાશ	0.385	0.546	0.463
bashful	શરમાળ	0.400	0.406	0.217
basic	પાયાની	0.643	0.102	0.395
basics	મૂળભૂતો	0.688	0.311	0.491
basil	તુલસીનો છોડ	0.534	0.274	0.309
basilica	બેસિલીકા	0.612	0.302	0.639
basin	તટપ્રદેશ	0.552	0.231	0.398
basis	આધાર	0.602	0.260	0.426
bask	બાસ્ક	0.760	0.330	0.381
basket	ટોપલી	0.458	0.227	0.336
basketball	બાસ્કેટબોલ	0.814	0.764	0.435
bass	બાઝ	0.427	0.206	0.268
bass guitar	બાસ ગિતાર	0.738	0.370	0.294
basso	NO TRANSLATION	0.417	0.420	0.439
bassoon	બાસોન	0.500	0.433	0.310
bastard	અમાન્ય	0.094	0.692	0.289
bastarding	શાનદાર	0.104	0.608	0.269
bastards	bastards	0.082	0.680	0.422
bastion	ગઢ	0.531	0.500	0.596
bat	બેટ	0.324	0.409	0.480
batch	બેચ	0.560	0.357	0.357
batching	બેચિંગ	0.484	0.420	0.518
bate	NO TRANSLATION	0.429	0.525	0.464
bath	બાથ	0.725	0.260	0.263
bathe	સ્નાન કરવું	0.677	0.294	0.371
bathhouse	બાથહાઉસ	0.602	0.380	0.459
bathing	સ્નાન	0.740	0.276	0.361
bathrobe	નહાવાના કપડા	0.531	0.442	0.394
bathroom	બાથરૂમ	0.561	0.283	0.345
bathtub	બાથટબ	0.625	0.240	0.318
bathymetry	બાથાઇમેટ્રી	0.432	0.480	0.509
baton	દંડૂકો	0.272	0.235	0.519
battalion	બટાલિયન	0.333	0.818	0.795
batter	સખત મારપીટ	0.561	0.245	0.373
battered	છૂંદી	0.080	0.790	0.306
battering	બેટિંગિંગ	0.210	0.798	0.490
battery	બેટરી	0.480	0.425	0.442
battle	યુદ્ધ	0.365	0.945	0.868
battled	લડ્યા	0.292	0.794	0.575
battlefield	યુદ્ધભૂમિ	0.133	0.918	0.781
battleground	યુદ્ધભૂમિ	0.156	0.958	0.812
battlements	યુદ્ધો	0.276	0.441	0.530
battleship	યુદ્ધ	0.479	0.750	0.726
batty	બેટ્ટી	0.375	0.619	0.274
bauble	બાઉલે	0.698	0.429	0.255
bawdy	નકામી	0.184	0.823	0.508
bawl	બૉલ	0.385	0.880	0.561
bay	ખાડી	0.719	0.365	0.569
bayonet	બેયોનેટ	0.263	0.775	0.561
bayou	બાયૂ	0.469	0.431	0.324
bazaar	બઝાર	0.604	0.340	0.500
bazooka	બઝુકા	0.302	0.824	0.634
bday	બીડે	0.729	0.600	0.415
be	હોઈ	0.670	0.240	0.554
beach	બીચ	0.885	0.529	0.455
beaches	દરિયાકિનારા	0.865	0.500	0.538
beacon	દીવાદાંડી	0.580	0.407	0.537
bead	મણકો	0.592	0.388	0.381
beading	બિડિંગ	0.542	0.320	0.398
beads	માળા	0.673	0.388	0.552
beady	બેડોળ	0.448	0.417	0.443
beagle	બીગલ	0.649	0.470	0.395
beak	ચાંચ	0.375	0.363	0.411
beaker	બીકર	0.420	0.410	0.391
beam	બીમ	0.584	0.349	0.382
beaming	beaming	0.892	0.654	0.587
bean	બીન	0.667	0.269	0.264
beanbag	બીનબેગ	0.450	0.380	0.340
beanie	બેની	0.500	0.230	0.263
bear	રીંછ	0.448	0.570	0.475
bearable	સહ્ય	0.542	0.375	0.605
beard	દાઢી	0.490	0.261	0.371
bearded	દાઢીવાળું	0.439	0.337	0.391
bearer	વાહક	0.571	0.547	0.676
bearing	બેરિંગ	0.571	0.367	0.474
bearings	બેરિંગો	0.418	0.490	0.426
bearish	મંદી	0.521	0.549	0.324
bearskin	રીંછ	0.333	0.398	0.464
beast	પશુ	0.214	0.780	0.732
beastly	ઘાતકી	0.146	0.874	0.843
beat	બીટ	0.279	0.647	0.492
beaten	કોઈ રન નોંધાયો નહીં	0.083	0.846	0.265
beater	ધોકો	0.438	0.545	0.482
beating	હરાવીને	0.153	0.833	0.481
beatnik	બીટનિક	0.429	0.510	0.382
beau	પ્રેમી	0.612	0.440	0.432
beautification	સુશોભન	0.885	0.575	0.725
beautiful	સુંદર	0.875	0.614	0.648
beautify	સુંદર બનાવો	0.898	0.592	0.736
beauty	સુંદરતા	0.842	0.600	0.644
beaver	બીવર	0.490	0.344	0.393
bebop	બૉપ	0.482	0.490	0.358
beck	બેક	0.580	0.375	0.418
beckon	સંકેત	0.663	0.455	0.452
become	બની	0.641	0.583	0.643
bed	બેડ	0.604	0.173	0.327
bedding	પથારી	0.704	0.276	0.377
bedpan	પથારી	0.510	0.400	0.362
bedrock	બેડરોક	0.561	0.340	0.598
bedroom	બેડરૂમમાં	0.744	0.296	0.491
bedside	પથારી	0.604	0.167	0.375
bedspread	પથારી	0.551	0.139	0.292
bedtime	સૂવાના સમયે	0.673	0.314	0.373
bee	મધમાખી	0.520	0.509	0.309
beef	ગૌમાંસ	0.582	0.312	0.492
beefsteak	માંસ ટુકડો	0.594	0.391	0.455
beehive	મધપૂડો	0.541	0.700	0.422
beep	બીપ Comment	0.595	0.541	0.304
beeper	બીપર	0.438	0.720	0.441
beer	બીયર	0.592	0.654	0.500
bees	મધમાખીઓ	0.562	0.635	0.412
beeswax	મીણ	0.583	0.402	0.375
beetle	ભમરો	0.323	0.356	0.295
befall	બનવું	0.520	0.663	0.585
befitting	યોગ્ય	0.708	0.333	0.394
befriend	મિત્રતા	0.930	0.624	0.471
befuddled	befuddled	0.156	0.714	0.269
beg	માગવું	0.292	0.608	0.328
beggar	ભિક્ષુક	0.240	0.402	0.116
begging	ભિક્ષાવૃત્તિ	0.292	0.461	0.202
begin	શરૂઆત	0.677	0.569	0.763
beginner	શિખાઉ માણસ	0.490	0.480	0.387
beginning	શરૂઆત	0.816	0.528	0.558
beginnings	શરૂઆત	0.837	0.527	0.600
begrudge	અકળામણ	0.177	0.731	0.377
begun	શરૂ કર્યું	0.677	0.500	0.404
behappy	NO TRANSLATION	0.875	0.557	0.562
behave	વર્તે છે	0.677	0.363	0.747
behavior	વર્તન	0.594	0.442	0.813
behavioral	વર્તન	0.612	0.440	0.708
behemoth	behemoth	0.583	0.781	0.853
behest	હુકમ	0.602	0.350	0.720
behold	જોયેલું	0.610	0.284	0.449
beholden	આભારી	0.296	0.555	0.212
beholder	જોનાર	0.714	0.491	0.520
beige	ન રંગેલું ઊની કાપડ	0.490	0.222	0.224
belated	વિલંબિત	0.240	0.400	0.214
belay	વિલંબ	0.500	0.472	0.702
belch	બેચ	0.194	0.562	0.240
belief	માન્યતા	0.896	0.375	0.656
believable	ભરોસાપાત્ર	0.866	0.390	0.676
believe	માને છે	0.781	0.370	0.682
believed	માનવામાં	0.500	0.562	0.547
believer	આસ્તિક	0.725	0.445	0.564
believing	માનતા	0.870	0.418	0.833
belittle	નાનું	0.122	0.417	0.250
belittled	ધિક્કારવું	0.177	0.392	0.226
bell	ઘંટડી	0.552	0.510	0.505
bellboy	બેલ્બો બોય	0.542	0.363	0.302
bellhop	બેલહોપ	0.500	0.287	0.318
belligerent	યુદ્ધરત	0.344	0.680	0.594
bellman	બેલ્લમેન	0.540	0.250	0.371
bellow	નીચે	0.248	0.337	0.212
bellows	ધમણ	0.458	0.515	0.429
belly	પેટ	0.510	0.388	0.387
bellybutton	bellybutton	0.531	0.283	0.360
bellyful	પેટનું ફૂલવું	0.347	0.806	0.519
belong	સંબંધ	0.643	0.405	0.569
belongings	સામાન	0.592	0.380	0.750
beloved	પ્યારું	0.969	0.613	0.708
belt	બેલ્ટ	0.541	0.322	0.445
beluga	બેલુગા	0.510	0.333	0.482
bemused	માયા	0.281	0.490	0.278
bench	બેન્ચ	0.571	0.289	0.544
bend	વળાંક	0.571	0.324	0.368
bender	બેન્ડર	0.490	0.510	0.466
bending	વક્રતા	0.448	0.565	0.455
beneath	નીચે	0.354	0.173	0.233
benedictory	બેનેક્ટિકટોરી	0.677	0.438	0.481
benefactor	શુભેચ્છક	0.833	0.578	0.755
