Word	Bulgarian-bg	Valence	Arousal	Dominance
declination	деклинация	0.250	0.549	0.311
decline	упадък	0.173	0.491	0.240
declining	намаляващата	0.328	0.400	0.264
deco	деко	0.625	0.274	0.356
decode	дешифрирам	0.551	0.510	0.640
decoder	декодер	0.562	0.340	0.686
decompose	разлагам	0.194	0.596	0.241
decomposed	разложен	0.073	0.442	0.231
decomposition	разлагане	0.133	0.600	0.263
decompress	намаляване натиска на	0.438	0.430	0.509
decompression	декомпресия	0.208	0.520	0.311
decontamination	обеззаразяване	0.611	0.538	0.573
decor	декор	0.734	0.311	0.573
decorate	украсяват	0.954	0.370	0.404
decorating	декориране	0.863	0.548	0.462
decoration	украса	0.878	0.553	0.526
decorative	декоративен	0.908	0.460	0.381
decorator	декоратор	0.840	0.471	0.455
decorum	благоприличие	0.802	0.327	0.462
decoy	примамка	0.149	0.460	0.330
decrease	намаление	0.125	0.360	0.267
decreased	е намалял	0.224	0.271	0.170
decreasing	намаляваща	0.320	0.346	0.224
decree	указ	0.552	0.478	0.746
decrement	снижаване	0.255	0.427	0.373
decrepit	разнебитен	0.156	0.490	0.225
decry	омаловажавам	0.400	0.814	0.548
decryption	декриптиране	0.459	0.445	0.600
dedicate	посвещавам	0.823	0.431	0.588
dedication	всеотдайност	0.867	0.471	0.682
deduce	извод	0.490	0.510	0.466
deduct	приспадне	0.355	0.330	0.412
deductible	приспадане	0.375	0.286	0.455
deduction	удържане	0.438	0.462	0.527
deed	нотариален акт	0.520	0.320	0.592
deejay	диджеят	0.551	0.630	0.473
deem	счете	0.594	0.529	0.690
deep	Дълбок	0.490	0.473	0.657
deepen	задълбочаване	0.625	0.530	0.776
deer	елен	0.583	0.375	0.292
defamation	клевета	0.110	0.670	0.481
defamatory	клеветнически	0.143	0.688	0.402
default	по подразбиране	0.459	0.343	0.712
defeat	поражение	0.092	0.500	0.224
defeated	победен	0.104	0.582	0.145
defeatist	пораженец	0.163	0.567	0.315
defect	дефект	0.135	0.561	0.185
defection	изневяра	0.146	0.594	0.330
defective	дефектен	0.122	0.580	0.274
defector	дезертьор	0.163	0.696	0.286
defend	защитавам	0.698	0.722	0.670
defendant	ответник	0.250	0.710	0.491
defended	защити	0.663	0.451	0.582
defender	защитник	0.639	0.708	0.750
defending	защитавайки	0.604	0.871	0.812
defense	отбрана	0.652	0.698	0.802
defenseless	беззащитен	0.143	0.357	0.105
defensible	защитим	0.740	0.509	0.593
defensive	отбранителен	0.542	0.640	0.678
defer	отлага	0.245	0.459	0.317
deference	почтителност	0.510	0.396	0.447
deferral	отлагане	0.765	0.542	0.327
deferring	отлагане	0.343	0.500	0.413
defiance	явно пренебрежение	0.333	0.780	0.760
defiant	предизвикателен	0.250	0.792	0.769
defibrillator	дефибрилатор	0.398	0.663	0.431
deficiency	дефицит	0.073	0.373	0.179
deficient	недостатъчен	0.240	0.464	0.132
deficit	дефицит	0.358	0.500	0.269
define	дефинира	0.688	0.415	0.632
defined	дефинирани	0.670	0.214	0.646
definite	определен	0.708	0.292	0.741
definition	дефиниция	0.573	0.375	0.579
definitive	окончателен	0.583	0.479	0.787
deflate	опровергавам	0.148	0.404	0.237
deflation	дефлация	0.287	0.536	0.407
deflect	отклонявам	0.133	0.491	0.482
deflection	отклонение	0.188	0.500	0.382
defloration	обезчестяване	0.188	0.690	0.434
deform	разкривявам	0.112	0.654	0.284
deformed	деформиран	0.198	0.435	0.308
deformity	уродливост	0.160	0.569	0.241
defraud	измамвам	0.175	0.635	0.314
defray	поемам	0.375	0.598	0.653
defrost	размразяване	0.427	0.317	0.389
deft	пъргав	0.719	0.575	0.849
defunct	покоен	0.112	0.491	0.272
defuse	обезвреди	0.167	0.480	0.430
defy	предизвиквам	0.353	0.884	0.657
degeneracy	упадък	0.143	0.720	0.298
degenerate	дегенерат	0.069	0.724	0.264
degeneration	израждане	0.245	0.578	0.371
degradation	деградация	0.160	0.608	0.315
degrade	дегенерирам	0.083	0.500	0.184
degraded	понижен	0.167	0.433	0.205
degrading	унизителен	0.031	0.583	0.232
degree	степен	0.724	0.365	0.663
dehydrated	дехидриран	0.310	0.685	0.212
dehydration	дехидрация	0.188	0.472	0.259
dejected	мрачен	0.104	0.654	0.347
delay	закъснение	0.204	0.510	0.162
delayed	отложен	0.188	0.490	0.216
delectable	възхитителен	0.781	0.642	0.718
delegate	делегат	0.612	0.491	0.658
delegation	делегация	0.562	0.431	0.609
delete	Изтрий	0.292	0.298	0.409
deleterious	вреден	0.297	0.725	0.440
deletion	заличаване	0.062	0.506	0.462
deli	магазин за деликатеси	0.561	0.448	0.447
deliberate	преднамерен	0.551	0.654	0.682
deliberation	обсъждане	0.561	0.678	0.596
deliberative	съвещателен	0.392	0.552	0.573
delicacy	деликатес	0.812	0.279	0.336
delicate	деликатен	0.583	0.294	0.366
delicatessen	деликатеси	0.656	0.474	0.400
delicious	много вкусен	0.927	0.650	0.589
delight	наслада	0.949	0.666	0.647
delighted	удоволствието	0.938	0.664	0.685
delightful	възхитителен	0.918	0.735	0.644
delineate	очертае	0.448	0.430	0.445
delineation	очертаване	0.521	0.402	0.314
delinquency	престъпление	0.135	0.860	0.508
delinquent	който е извършил престъпление	0.051	0.904	0.500
delirious	несвързан	0.219	0.774	0.538
delirium	делир	0.233	0.694	0.484
deliver	доставям	0.583	0.370	0.582
deliverance	освобождение	0.750	0.520	0.658
delivery	доставка	0.704	0.461	0.786
dell	долчинка	0.458	0.380	0.453
delta	делта	0.551	0.343	0.509
delude	заблуждавам	0.143	0.627	0.353
deluge	потоп	0.245	0.714	0.612
delusion	илюзия	0.344	0.647	0.400
delusional	налудно	0.219	0.745	0.327
deluxe	луксозен	0.792	0.612	0.755
delve	ровя	0.469	0.529	0.684
demand	търсене	0.292	0.673	0.500
demanding	взискателни	0.396	0.750	0.828
demeaned	принизена	0.271	0.520	0.212
demeaning	унизителни	0.104	0.645	0.308
demeanor	държание	0.633	0.433	0.657
demented	побъркан	0.088	0.787	0.309
dementia	деменция	0.092	0.779	0.337
demise	смърт	0.104	0.596	0.456
demo	демонстрация	0.510	0.314	0.423
democracy	демокрация	0.680	0.500	0.840
democrat	демократ	0.582	0.400	0.755
democratic	демократичен	0.802	0.519	0.798
demographic	демографски	0.459	0.356	0.594
demolish	сривам	0.125	0.632	0.700
demolished	разрушена	0.271	0.647	0.353
demolition	събаряне	0.133	0.827	0.541
demon	демон	0.037	0.908	0.509
demonic	дяволски	0.146	0.875	0.600
demonstrable	доказуем	0.735	0.471	0.749
demonstrate	демонстрира	0.771	0.552	0.839
demonstrated	демонстрира	0.617	0.500	0.649
demonstrating	доказващо	0.698	0.571	0.693
demonstration	демонстрация	0.551	0.676	0.679
demonstrative	показателен	0.656	0.528	0.736
demonstrator	демонстрант	0.520	0.598	0.733
demoralized	деморализирани	0.082	0.590	0.149
demos	демонстрации	0.418	0.370	0.368
demure	въздържан	0.690	0.315	0.417
den	NO TRANSLATION	0.510	0.347	0.398
deniability	опровергаване	0.230	0.509	0.417
denial	отричане	0.194	0.435	0.318
denied	отказан	0.188	0.604	0.333
denim	дънков плат	0.520	0.382	0.327
denomination	вероизповедание	0.490	0.363	0.429
denominational	деноминационно	0.458	0.375	0.679
denominator	знаменател	0.450	0.410	0.613
denote	означаваме	0.448	0.471	0.534
denounce	денонсира	0.083	0.780	0.426
dense	плътен	0.354	0.343	0.536
density	плътност	0.602	0.471	0.561
dent	вдлъбнатина	0.306	0.606	0.325
dental	зъболекарски	0.573	0.404	0.463
dentist	зъболекар	0.479	0.620	0.642
dentistry	стоматология	0.429	0.570	0.569
dentists	стоматолози	0.364	0.600	0.582
denunciation	денонсиране	0.146	0.830	0.561
deny	отричам	0.316	0.667	0.321
denying	отричане	0.080	0.542	0.272
deodorant	дезодорант	0.480	0.265	0.269
depart	отклоняват	0.398	0.480	0.444
departed	отклонила	0.245	0.536	0.391
department	отдел	0.708	0.358	0.642
departmental	ведомствен	0.612	0.422	0.446
departure	тръгване	0.573	0.500	0.426
depend	зависи	0.388	0.429	0.358
dependable	надежден	0.880	0.357	0.741
dependant	зависим	0.357	0.404	0.451
dependence	зависимост	0.250	0.451	0.433
dependency	зависимостта	0.429	0.365	0.356
dependent	зависим	0.354	0.455	0.404
depict	рисувам	0.663	0.529	0.723
depicting	изобразяващи	0.490	0.566	0.602
depletion	изчерпване	0.153	0.370	0.236
deplorable	плачевен	0.135	0.657	0.230
deplore	осъждам	0.135	0.575	0.373
deploy	разгърне	0.500	0.520	0.585
deployment	разгръщане	0.510	0.520	0.612
deport	депортирам	0.167	0.667	0.546
deportation	депортиране	0.104	0.786	0.450
depose	свалям от длъжност	0.286	0.420	0.451
deposit	депозит	0.540	0.379	0.483
depositary	хранилище	0.604	0.431	0.500
deposition	отлагане	0.394	0.510	0.471
depository	хранилище	0.551	0.373	0.481
depot	депо	0.635	0.255	0.471
depraved	покварен	0.031	0.837	0.395
depravity	поквара	0.115	0.854	0.453
depreciate	обезценявам	0.270	0.623	0.445
depreciated	амортизирани	0.135	0.672	0.250
depreciation	амортизация	0.143	0.571	0.386
depress	потискам	0.219	0.635	0.528
depressed	подтиснат	0.024	0.445	0.136
depressing	гнетящ	0.146	0.559	0.216
depression	депресия	0.031	0.520	0.232
depressive	депресивно	0.143	0.434	0.202
depresson	NO TRANSLATION	0.135	0.400	0.308
deprivation	лишаване	0.194	0.610	0.413
deprive	отнемам	0.271	0.591	0.340
deprived	лишен	0.354	0.506	0.536
depth	дълбочина	0.708	0.561	0.759
deputy	депутат	0.429	0.530	0.787
derail	доведат до провал	0.108	0.802	0.375
deranged	умопомрачен	0.376	0.868	0.357
derelict	изоставен	0.208	0.470	0.237
derision	присмех	0.265	0.670	0.292
derivation	деривация	0.521	0.519	0.644
derivative	дериват	0.541	0.491	0.508
derive	извлече	0.396	0.324	0.360
dermal	кожен	0.385	0.406	0.443
dermatologist	дерматолог	0.531	0.358	0.528
dermatology	дерматология	0.422	0.500	0.556
derogation	дерогация	0.208	0.460	0.327
derogatory	пренебрежителен	0.122	0.580	0.404
descend	спускам	0.385	0.535	0.231
descendant	потомък	0.684	0.420	0.625
descendent	NO TRANSLATION	0.391	0.480	0.565
descending	низходящ	0.219	0.493	0.250
descent	слизане	0.300	0.402	0.158
describe	описвам	0.542	0.472	0.555
description	описание	0.582	0.425	0.596
descriptive	описателен	0.667	0.352	0.570
desecrate	осквернявам	0.255	0.806	0.509
desecration	оскверняване	0.125	0.833	0.564
desert	пустинен	0.469	0.279	0.389
deserted	безлюден	0.156	0.480	0.214
deserter	дезертьор	0.122	0.710	0.366
desertion	дезертьорство	0.122	0.630	0.289
deserve	заслужавам	0.802	0.436	0.613
deserved	заслужен	0.781	0.582	0.689
deserving	достоен	0.802	0.596	0.858
design	дизайн	0.796	0.327	0.632
designate	обозначаване	0.531	0.538	0.683
designated	обозначен	0.500	0.412	0.616
designation	обозначаване	0.612	0.571	0.675
designed	проектиран	0.745	0.380	0.595
designer	дизайнер	0.875	0.519	0.670
designing	проектиране	0.792	0.355	0.552
desirability	привлекателност	0.684	0.550	0.675
desirable	желателен	0.740	0.735	0.750
desire	желание	0.896	0.692	0.647
desiring	в желанието си	0.814	0.821	0.632
desirous	желаейки	0.719	0.824	0.562
desist	преставам	0.220	0.358	0.291
desk	бюро	0.510	0.135	0.422
desolate	пуст	0.104	0.320	0.228
desolation	опустошение	0.073	0.481	0.273
despair	отчаяние	0.115	0.794	0.245
despairing	отчаян	0.073	0.735	0.286
despatch	изпращане	0.448	0.400	0.613
desperado	разбойник	0.260	0.745	0.361
desperate	отчаян	0.083	0.842	0.337
desperation	отчаяние	0.125	0.904	0.419
despicable	презрян	0.146	0.710	0.255
despise	презирам	0.167	0.745	0.296
despondent	паднал духом	0.133	0.378	0.221
despotic	деспотичен	0.141	0.824	0.592
despotism	деспотство	0.255	0.696	0.620
dessert	десерт	0.755	0.491	0.404
destination	дестинация	0.708	0.471	0.637
destined	отреден	0.698	0.462	0.617
destiny	съдба	0.781	0.413	0.611
destitute	лишен	0.130	0.451	0.222
destroy	унищожи	0.046	0.935	0.635
destroyed	унищожен	0.031	0.696	0.288
destroyer	разрушител	0.083	0.830	0.543
destroying	унищожавайки	0.041	0.828	0.660
destruct	самоунищожат	0.071	0.868	0.525
destruction	унищожаване	0.102	0.929	0.613
destructive	разрушителна	0.177	0.870	0.713
detach	отвързвам	0.357	0.625	0.450
detached	откъснат	0.280	0.396	0.216
detachment	откъсване	0.243	0.700	0.443
detail	детайл	0.514	0.406	0.528
detailed	подробен	0.603	0.314	0.472
details	детайли	0.583	0.367	0.481
detain	задържам	0.351	0.345	0.430
detainee	задържания	0.306	0.510	0.321
detect	откриване	0.531	0.520	0.565
detectable	откриваем	0.479	0.539	0.649
detection	откриване	0.708	0.567	0.538
detective	детектив	0.500	0.764	0.901
detector	детектор	0.459	0.630	0.724
detention	задържане	0.265	0.698	0.562
deter	възпиране	0.344	0.537	0.567
detergent	перилен препарат	0.458	0.304	0.426
deteriorate	влошава	0.083	0.471	0.202
deteriorated	влошило	0.053	0.549	0.237
deteriorating	влошаващата	0.104	0.459	0.112
deterioration	влошаване	0.130	0.512	0.283
determinable	определима	0.625	0.565	0.723
determinate	определен	0.630	0.314	0.772
determination	решителност	0.776	0.725	0.795
determine	определи	0.612	0.368	0.776
determined	определя	0.760	0.528	0.673
deterrent	спирачка	0.292	0.461	0.385
detest	мразя	0.083	0.800	0.492
detestation	отвращение	0.177	0.637	0.412
detonate	детонирам	0.375	0.850	0.696
detonation	детонация	0.167	0.931	0.741
detonator	петарда	0.207	0.875	0.750
detour	обход	0.398	0.539	0.309
detract	злословя	0.344	0.438	0.368
detriment	вреда	0.281	0.538	0.263
detrimental	вреден	0.203	0.679	0.387
detritus	детрит	0.276	0.353	0.363
deuce	двойка	0.479	0.338	0.425
deutschmark	германската марка	0.439	0.431	0.509
devalued	обезцени	0.321	0.462	0.212
devastate	опропастявам	0.021	0.796	0.509
devastated	опустошен	0.120	0.544	0.264
devastating	опустошителен	0.104	0.856	0.419
devastation	опустошение	0.090	0.904	0.472
develop	развият	0.771	0.670	0.821
developer	разработчик	0.844	0.653	0.864
developing	разработване	0.833	0.587	0.714
development	развитие	0.827	0.500	0.796
deviant	девиантно	0.094	0.589	0.398
deviate	отклонява	0.173	0.562	0.269
deviating	отводен	0.354	0.634	0.536
deviation	отклонение	0.105	0.513	0.336
device	приспособление	0.562	0.404	0.627
devil	дявол	0.161	0.900	0.611
deviled	пикантни	0.347	0.559	0.358
devilish	дяволски	0.073	0.865	0.490
devious	нечестен	0.250	0.519	0.259
devise	разработят	0.551	0.557	0.670
devoid	лишен	0.219	0.436	0.300
devolution	израждане	0.345	0.434	0.425
devolve	тека	0.367	0.427	0.596
devote	посвещавам	0.802	0.490	0.642
devoted	предан	0.867	0.320	0.698
devotee	фанатик	0.816	0.461	0.577
devotion	преданост	0.802	0.561	0.673
devotional	набожен	0.740	0.394	0.655
devour	поглъщам	0.344	0.888	0.574
devout	благочестив	0.620	0.357	0.464
dew	роса	0.604	0.225	0.464
dexter	десен	0.458	0.473	0.444
dexterity	сръчност	0.771	0.673	0.864
dextrose	декстроза	0.333	0.402	0.323
diabetes	диабет	0.051	0.472	0.279
diabetic	диабетик	0.125	0.269	0.237
diabolical	дяволски	0.102	0.912	0.456
diagnose	поставям диагноза	0.378	0.520	0.714
diagnosis	диагноза	0.571	0.500	0.819
diagnostic	диагностичен	0.417	0.483	0.635
diagnostics	диагностика	0.540	0.440	0.750
diagonal	диагонал	0.500	0.343	0.410
diagram	диаграма	0.562	0.357	0.445
dial	циферблат	0.620	0.427	0.596
dialect	диалект	0.635	0.422	0.526
dialectic	логическа аргументация	0.510	0.540	0.638
dialogue	диалог	0.599	0.441	0.625
dialysis	диализа	0.194	0.567	0.407
diameter	диаметър	0.427	0.298	0.483
diamond	диамант	0.910	0.606	0.769
diamonds	диаманти	0.927	0.684	0.917
diaper	пелена	0.409	0.274	0.155
diaphragm	диафрагма	0.459	0.337	0.517
diarrhea	диария	0.092	0.684	0.143
diarrhoea	диария	0.038	0.692	0.250
diary	дневник	0.698	0.292	0.464
diatribe	филипика	0.354	0.569	0.409
dib	NO TRANSLATION	0.479	0.370	0.344
dibs	мангизи	0.510	0.410	0.391
dice	зарове	0.458	0.441	0.264
dicey	рисковано	0.290	0.833	0.727
dichotomous	дихотомна	0.365	0.452	0.538
dichotomy	дихотомия	0.323	0.482	0.483
dick	кур	0.208	0.500	0.462
dickhead	тъпако	0.115	0.608	0.284
dicks	пишки	0.310	0.694	0.358
dictate	диктувам	0.480	0.423	0.668
dictation	диктовка	0.255	0.378	0.627
dictator	диктатор	0.073	0.760	0.862
dictatorial	диктаторски	0.204	0.770	0.840
dictatorship	диктатура	0.082	0.806	0.784
diction	дикция	0.439	0.373	0.679
dictionary	речник	0.620	0.250	0.598
dictum	NO TRANSLATION	0.385	0.510	0.528
didactic	дидактичен	0.645	0.480	0.673
diddle	подхлъзвам	0.429	0.566	0.393
die	NO TRANSLATION	0.031	0.765	0.259
died	починал	0.021	0.650	0.327
diesel	дизел	0.490	0.327	0.448
diet	диета	0.429	0.235	0.398
dietary	диетичен	0.551	0.220	0.261
differ	различават	0.230	0.398	0.396
difference	разлика	0.474	0.560	0.483
differences	разлики	0.365	0.582	0.342
different	различен	0.612	0.394	0.473
differential	диференциал	0.520	0.378	0.535
differentiation	разграничаване	0.367	0.561	0.535
differently	различно	0.480	0.431	0.506
differing	различаващи	0.418	0.410	0.455
difficult	труден	0.235	0.700	0.508
difficulties	затруднения	0.082	0.784	0.357
difficulty	затруднение	0.079	0.740	0.368
diffuse	дифузен	0.430	0.431	0.321
diffusion	дифузия	0.356	0.615	0.517
dig	NO TRANSLATION	0.367	0.585	0.637
digest	резюме	0.720	0.413	0.483
digestion	храносмилане	0.531	0.410	0.455
digestive	храносмилателен	0.542	0.413	0.434
digit	цифра	0.447	0.286	0.333
digital	дигитален	0.740	0.382	0.529
dignified	достоен	0.766	0.481	0.635
dignify	въздигам	0.854	0.588	0.735
dignity	достойнство	0.844	0.391	0.873
digress	отклонявам се	0.271	0.625	0.411
digs	квартира	0.448	0.670	0.635
dike	дига	0.360	0.384	0.490
dilapidated	разнебитен	0.229	0.618	0.286
dilatation	дилатация	0.385	0.574	0.368
dilation	дилатация	0.347	0.490	0.578
dildo	вибратор	0.536	0.587	0.491
dilemma	дилема	0.153	0.590	0.430
diligence	усърдие	0.688	0.423	0.700
diligent	усърден	0.760	0.426	0.759
dill	копър	0.427	0.360	0.373
diluent	разредител	0.417	0.344	0.332
dilute	разреден	0.275	0.192	0.349
diluted	разреден	0.469	0.310	0.229
dilution	разреждане	0.445	0.337	0.352
dim	блед	0.398	0.321	0.273
dime	евтин	0.653	0.317	0.345
dimension	измерение	0.592	0.415	0.627
dimensional	размерите	0.561	0.484	0.596
diminish	намалява	0.240	0.357	0.167
diminished	намален	0.156	0.269	0.196
diminution	намаляване	0.316	0.296	0.245
diminutive	миниатюрен	0.323	0.200	0.109
dimwit	тъпак	0.255	0.459	0.175
din	NO TRANSLATION	0.440	0.417	0.398
dine	обядвам	0.821	0.519	0.478
diner	крайпътен ресторант	0.643	0.302	0.538
dinghy	гумена лодка	0.510	0.269	0.325
dingo	динго	0.608	0.472	0.346
dingy	мръсен	0.156	0.483	0.343
dining	трапезария	0.724	0.350	0.459
dinky	спретнат	0.357	0.451	0.358
dinner	вечеря	0.823	0.392	0.379
dinnertime	време за вечеря	0.796	0.406	0.341
dinosaur	динозавър	0.448	0.630	0.596
dint	удар	0.378	0.480	0.492
diocesan	епископ	0.520	0.283	0.518
diocese	епархия	0.510	0.288	0.575
diorama	диорама	0.592	0.441	0.462
dioxide	двуокис	0.354	0.433	0.456
dip	потапяне	0.516	0.583	0.397
diploma	диплома	0.750	0.462	0.731
diplomacy	дипломация	0.740	0.396	0.774
diplomat	дипломат	0.563	0.262	0.868
diplomatic	дипломатически	0.653	0.363	0.918
dipper	черпак	0.548	0.361	0.348
dippy	смахнат	0.430	0.402	0.340
dipstick	щека	0.365	0.312	0.316
dire	NO TRANSLATION	0.214	0.660	0.259
direct	директен	0.793	0.403	0.650
directed	насочено	0.542	0.490	0.541
direction	посока	0.719	0.330	0.684
directive	директива	0.604	0.530	0.918
directly	пряко	0.747	0.400	0.702
director	директор	0.688	0.580	0.912
directory	указател	0.439	0.413	0.538
dirt	мръсотия	0.112	0.500	0.236
dirty	мръсен	0.153	0.460	0.170
disability	инвалидност	0.073	0.482	0.173
disable	правя неспособен	0.115	0.430	0.269
disabled	хора с увреждания	0.308	0.443	0.235
disadvantage	недостатък	0.150	0.377	0.282
disaffected	недоволен	0.176	0.410	0.291
disagree	не съм съгласен	0.133	0.590	0.345
disagreeable	неприятен	0.042	0.643	0.178
disagreeing	несъгласен	0.255	0.643	0.350
disagreement	несъгласие	0.104	0.618	0.236
disallow	забраните	0.156	0.519	0.424
disallowed	забранил	0.135	0.500	0.328
disapointment	NO TRANSLATION	0.104	0.418	0.231
disappear	изчезва	0.143	0.441	0.350
disappearance	изчезване	0.214	0.698	0.367
disappearing	изчезва	0.167	0.427	0.379
disappoint	разочаровам	0.150	0.633	0.288
disappointed	разочарован	0.071	0.472	0.241
disappointing	разочароващо	0.073	0.640	0.200
disappointment	разочарование	0.115	0.490	0.336
disapproval	неодобрение	0.085	0.551	0.367
disapprove	не одобрявам	0.160	0.594	0.445
disapproved	неодобрение	0.104	0.550	0.114
disapproving	неодобрителен	0.245	0.625	0.452
disarm	обезоръжавам	0.292	0.528	0.613
disarray	безредие	0.198	0.657	0.223
disaster	бедствие	0.082	0.892	0.433
disastrous	катастрофален	0.071	0.741	0.439
disband	разпускам	0.302	0.491	0.417
disbelief	липса на вяра	0.188	0.409	0.373
disbelieve	не вярвам	0.188	0.441	0.352
disburse	изплащам	0.418	0.473	0.353
disbursement	изплащане	0.240	0.443	0.435
disc	диск	0.622	0.410	0.426
discard	изхвърлете	0.240	0.343	0.337
discarded	изхвърли	0.229	0.460	0.308
discards	изхвърлянията	0.240	0.464	0.391
discern	различавам	0.459	0.566	0.518
discernible	доловим	0.427	0.441	0.481
discerning	изискания	0.542	0.584	0.780
discernment	проницателност	0.408	0.471	0.694
discharge	изпразване	0.427	0.538	0.578
disciple	ученик	0.765	0.385	0.462
disciplinary	дисциплинарен	0.562	0.593	0.796
discipline	дисциплина	0.615	0.471	0.806
disciplined	дисциплиниран	0.728	0.450	0.750
disclaim	отказвам се от	0.235	0.509	0.321
disclaimer	опровержение	0.367	0.571	0.542
disclose	оповестява	0.490	0.570	0.545
disclosed	разкрито	0.271	0.575	0.546
disclosure	разкриване	0.500	0.615	0.710
disco	дискотека	0.710	0.806	0.575
discoloration	обезцветяване	0.224	0.373	0.414
discolored	обезцветен	0.204	0.340	0.269
discomfort	неудобство	0.153	0.719	0.272
disconcerted	объркан	0.100	0.612	0.288
disconcerting	смущаващо	0.106	0.549	0.269
disconnect	прекъсване на връзката	0.438	0.292	0.191
disconnected	изключен	0.292	0.276	0.173
disconnection	разединяване	0.167	0.283	0.277
disconnects	прекъсвачи	0.256	0.357	0.241
discontent	недоволство	0.240	0.530	0.263
discontinuance	прекратяване	0.123	0.741	0.337
discontinue	преустанови	0.354	0.396	0.349
discontinuity	прекъсване	0.303	0.439	0.250
discontinuous	непостоянен	0.233	0.409	0.316
discord	раздор	0.115	0.882	0.465
discount	отстъпка	0.724	0.530	0.302
discounted	дисконтирани	0.677	0.471	0.430
discourage	обезкуражи	0.184	0.443	0.267
discouraged	обезкуражени	0.220	0.304	0.090
discouragement	обезсърчаване	0.112	0.319	0.206
discouraging	обезсърчителен	0.167	0.469	0.281
discourse	беседа	0.410	0.550	0.803
discover	откривам	0.771	0.793	0.673
discovery	откритие	0.823	0.627	0.814
discredit	дискредитиране	0.075	0.529	0.355
discredited	дискредитирани	0.112	0.491	0.182
discreet	NO TRANSLATION	0.552	0.216	0.532
discrepancy	несъответствие	0.260	0.643	0.417
discrete	отделен	0.585	0.231	0.429
discretion	дискретност	0.552	0.320	0.685
discretionary	дискреционна	0.520	0.365	0.446
discriminate	дискриминира	0.125	0.761	0.366
discriminating	изтънчен	0.160	0.783	0.462
discrimination	дискриминация	0.051	0.724	0.379
discus	диск	0.542	0.423	0.343
discuss	обсъждам	0.396	0.769	0.509
discussion	дискусия	0.333	0.842	0.536
disdain	презрение	0.153	0.446	0.441
disdainful	надменен	0.097	0.480	0.263
disease	болест	0.041	0.539	0.333
diseased	болен	0.123	0.510	0.134
disembodied	безплътен	0.167	0.620	0.412
disengage	изключвам	0.406	0.529	0.304
disengagement	оттегляне	0.327	0.373	0.395
disfigured	обезобразен	0.153	0.613	0.336
disgrace	позор	0.061	0.531	0.331
disgraced	посрамен	0.071	0.661	0.250
disgraceful	позорен	0.082	0.702	0.240
disgruntled	недоволен	0.104	0.658	0.442
disguise	маскиране	0.573	0.694	0.431
disguised	прикрито	0.500	0.615	0.326
disgust	отвращение	0.052	0.775	0.317
disgusted	отвратен	0.051	0.773	0.274
disgusting	отвратителен	0.031	0.796	0.245
dish	чиния	0.552	0.255	0.264
disheartened	обезсърчен	0.153	0.343	0.238
disheartening	отчайваща	0.010	0.353	0.224
dishonest	нечестен	0.191	0.491	0.163
dishonesty	непочтеност	0.094	0.592	0.348
dishonor	безчестие	0.104	0.620	0.185
dishonorable	непочтен	0.112	0.641	0.280
dishwasher	съдомиялна	0.480	0.296	0.324
disillusionment	разочарование	0.051	0.519	0.190
disinclination	нежелание	0.125	0.491	0.330
disincline	отклонявам	0.458	0.454	0.278
disinclined	без охота	0.385	0.442	0.364
disinfect	дезинфекцирам	0.448	0.388	0.648
disinfectant	дезинфекционен	0.531	0.429	0.460
disinfection	дезинфекция	0.517	0.556	0.473
disinformation	дезинформация	0.230	0.577	0.260
disingenuous	неискрен	0.194	0.509	0.204
disintegrate	разпадне	0.143	0.660	0.364
disintegration	дезинтеграция	0.094	0.551	0.381
disinterested	незаинтересован	0.398	0.284	0.392
disjoint	обърквам	0.351	0.385	0.322
disjointed	изкълчен	0.323	0.518	0.365
disjunctive	дизюнктивен	0.286	0.481	0.400
disk	диск	0.573	0.423	0.412
diskette	дискета	0.531	0.255	0.391
dislike	неприязън	0.156	0.406	0.321
disliked	Не ми хареса	0.062	0.510	0.221
disliking	нехаресването	0.163	0.637	0.366
dislocated	изкълчени	0.125	0.625	0.200
dislocation	разместване	0.229	0.565	0.373
dislodge	изкарвам	0.214	0.769	0.356
disloyal	нелоялен	0.062	0.582	0.245
disloyalty	нелоялност	0.187	0.716	0.267
dismal	некадърен	0.194	0.450	0.192
dismantle	демонтаж	0.347	0.644	0.462
dismay	тревога	0.314	0.681	0.459
dismayed	Уплашиха	0.165	0.735	0.389
dismemberment	осакатяване	0.104	0.860	0.470
dismiss	отхвърли	0.167	0.541	0.509
dismissal	уволнение	0.153	0.723	0.271
dismissive	пренебрежително	0.188	0.541	0.430
dismount	слизам	0.361	0.423	0.391
disobedience	непокорство	0.051	0.868	0.369
disobedient	непокорен	0.276	0.706	0.353
disobey	подчини	0.143	0.556	0.491
disorder	смущение	0.115	0.816	0.218
disordered	разстроен	0.210	0.714	0.288
disorderly	безредно	0.188	0.748	0.385
disorganized	дезорганизиран	0.052	0.507	0.184
disorientation	дезориентация	0.163	0.472	0.212
disoriented	дезориентиран	0.227	0.643	0.227
disown	не признавам	0.153	0.637	0.368
disparage	омаловажавам	0.092	0.663	0.336
disparaging	пренебрежителен	0.102	0.626	0.411
disparate	коренно различен	0.438	0.500	0.368
disparity	несъответствие	0.208	0.482	0.361
dispassionate	безпристрастен	0.199	0.217	0.218
dispatch	изпращане	0.317	0.417	0.555
dispatcher	диспечер	0.365	0.704	0.652
