Word	Uzbek-uz	Valence	Arousal	Dominance
blender	blender	0.602	0.534	0.351
blending	aralashtirish	0.560	0.418	0.637
bless	muborak bo'l	0.929	0.269	0.588
blessed	muborak	0.910	0.279	0.696
blessing	marhamat	0.929	0.264	0.800
blessings	ne'matlar	0.929	0.361	0.623
bleu	bleu	0.460	0.354	0.379
blight	blight	0.271	0.771	0.429
blighted	blighted	0.146	0.615	0.296
blimp	blimp	0.600	0.410	0.532
blind	ko'r	0.156	0.360	0.184
blinded	ko'r	0.245	0.471	0.231
blindfold	ko'r-ko'rona	0.448	0.684	0.337
blindfolded	Ko'rinishida	0.208	0.564	0.209
blinding	ko'r-ko'rona	0.304	0.596	0.406
blindly	ko'r-ko'rona	0.439	0.598	0.278
blindness	ko'rlik	0.245	0.480	0.196
blink	sindirish	0.552	0.316	0.324
blip	blip	0.529	0.461	0.418
bliss	baxt	0.816	0.500	0.782
blissful	baxtiyor	0.885	0.639	0.676
blister	blister	0.407	0.538	0.402
blistering	blistering	0.344	0.569	0.390
blitz	blits	0.417	0.722	0.789
blizzard	bo'ron	0.375	0.726	0.417
bloat	shishasimon	0.229	0.694	0.298
bloated	shishgan	0.167	0.593	0.424
blob	blob	0.500	0.376	0.298
block	blok	0.286	0.350	0.402
blockade	blokirovka	0.380	0.519	0.510
blockage	blokirovkalash	0.250	0.608	0.444
blockbuster	blokbaster	0.730	0.676	0.883
blockhead	blokirovka qilish	0.163	0.333	0.148
blog	blog	0.639	0.390	0.432
bloke	bloklandi	0.450	0.479	0.545
blond	fotosurat	0.590	0.490	0.490
blonde	fotosintez	0.698	0.545	0.412
blood	qon	0.219	0.684	0.585
bloodbath	qon bosimi	0.060	0.971	0.475
bloodhound	qon bosimi	0.327	0.462	0.538
bloodless	qonsiz	0.292	0.390	0.212
bloodline	qon tomirlari	0.510	0.657	0.604
bloodshed	qon to'kdi	0.048	0.942	0.525
bloodshot	qon quyilishi	0.188	0.810	0.482
bloodstream	qon oqimi	0.552	0.530	0.528
bloodthirsty	qonga botgan	0.052	0.804	0.644
bloody	qonli	0.031	0.910	0.518
bloom	gullash	0.816	0.453	0.587
bloomers	bloomers	0.521	0.587	0.395
blooming	gullash	0.860	0.452	0.593
blossom	gullash	0.792	0.275	0.309
blot	blot	0.365	0.304	0.223
blotched	shishib ketgan	0.133	0.562	0.264
blotter	blotter	0.360	0.298	0.280
blouse	bluzka	0.580	0.190	0.302
blow	puflamoq	0.316	0.750	0.570
blower	ventilyator	0.564	0.550	0.536
blowfish	Blowfish	0.344	0.420	0.389
blowing	shamollash	0.521	0.472	0.434
blowjob	blowjob	0.460	0.784	0.387
blown	blown	0.333	0.548	0.412
blowout	ISHIRMOQ	0.398	0.792	0.616
blowtorch	zarba mashinasi	0.520	0.730	0.510
blubber	blubber	0.388	0.260	0.360
bluddy	bluddy	0.312	0.528	0.442
blue	ko'k	0.646	0.137	0.291
blue spruce	Moviy qoraqarag'ali	0.559	0.335	0.364
blueberry	buta mevasi	0.656	0.185	0.365
bluebird	ko'kbird	0.573	0.350	0.450
bluegrass	blugrass	0.573	0.441	0.395
bluejay	Bluejay	0.635	0.520	0.310
blueprint	rejasi	0.490	0.173	0.425
blues	blues	0.469	0.220	0.287
bluff	blf	0.418	0.286	0.377
bluish	mavimsi	0.604	0.245	0.382
blunder	noto'g'ri	0.135	0.635	0.145
blunt	to'mtoq	0.551	0.680	0.925
blur	loyqalik	0.268	0.471	0.205
blurred	bulaniq	0.320	0.367	0.231
blurry	bulaniq	0.059	0.385	0.218
blurt	bodur	0.408	0.439	0.441
blush	qizarib	0.698	0.610	0.445
blushing	blushing	0.510	0.789	0.288
boa	NO TRANSLATION	0.255	0.569	0.542
boa constrictor	NO TRANSLATION	0.198	0.784	0.609
boar	to'ng'iz	0.406	0.500	0.351
board	paneli	0.592	0.255	0.385
board game	o'yin	0.711	0.490	0.349
boarder	NO TRANSLATION	0.604	0.440	0.475
boarding	yatılıdır	0.531	0.402	0.534
boardroom	majlis binosi	0.555	0.566	0.661
boards	lövhalari	0.469	0.270	0.524
boardwalk	taxtasi	0.643	0.481	0.549
boast	maqtanchoqlik	0.520	0.586	0.569
boastful	maqtanchoq	0.490	0.806	0.695
boasting	maqtanchoqlik	0.417	0.620	0.602
boat	qayiq	0.516	0.420	0.554
boathouse	qayiqcha	0.592	0.380	0.404
boating	qayiqda	0.638	0.613	0.557
boatload	qayiq yuk	0.365	0.415	0.485
boatman	qayiqchi	0.592	0.573	0.562
bobbin	qo'pol	0.429	0.472	0.353
bobcat	bobcat	0.562	0.490	0.529
bobsled	bobsled	0.667	0.613	0.325
bode	bod	0.344	0.406	0.411
bodega	bodega	0.573	0.307	0.398
bodice	kostirib	0.390	0.471	0.386
bodily	tana	0.594	0.481	0.557
body	tanasi	0.694	0.461	0.571
bodyguard	qo'riqchi	0.510	0.710	0.754
bog	botish	0.302	0.361	0.365
bogey	bogey	0.380	0.519	0.368
bogeyman	bogeyman	0.388	0.708	0.517
bogus	soxta	0.219	0.353	0.144
bohemian	bohem	0.622	0.500	0.407
boil	qaynatiladi	0.417	0.684	0.433
boiler	qozon	0.561	0.590	0.509
boilerplate	qozonxona	0.398	0.519	0.387
boiling	qaynatiladi	0.302	0.690	0.526
boisterous	g'azablangan	0.385	0.806	0.565
bold	qalin	0.490	0.271	0.483
boldness	jasurlik	0.806	0.684	0.814
bollocks	bolloklar	0.448	0.471	0.327
bolster	quvvatlang	0.708	0.471	0.569
bolt	murvat	0.354	0.363	0.426
bolus	bolus	0.426	0.491	0.352
bomb	bomba	0.167	0.912	0.750
bombard	bombardimon	0.156	0.961	0.777
bombardier	bombardimon	0.240	0.863	0.787
bombardment	bombardimon	0.146	0.959	0.742
bombed	bombalangan	0.051	0.851	0.627
bomber	bombardimonchi	0.125	0.837	0.810
bombers	bombardimonchi	0.173	0.920	0.787
bombing	bombardimon	0.167	0.963	0.732
bombshell	bombshell	0.327	0.868	0.693
bonanza	bonanza	0.875	0.410	0.683
bonbon	NO TRANSLATION	0.865	0.551	0.446
bond	munosabatlar	0.667	0.519	0.630
bondage	qullik	0.146	0.705	0.355
bonding	bog'lanish	0.594	0.442	0.509
bonds	aloqalar	0.740	0.472	0.583
bondsman	soqchilar	0.469	0.497	0.675
bone	suyak	0.337	0.370	0.413
bonehead	suyak boshi	0.337	0.521	0.518
boner	boner	0.344	0.612	0.393
bones	suyaklar	0.281	0.343	0.358
bonfire	olov	0.480	0.719	0.473
bong	bong	0.333	0.566	0.375
bonkers	bonkers	0.306	0.847	0.278
bonne	NO TRANSLATION	0.448	0.395	0.362
bonnet	qopqoq	0.406	0.509	0.473
bonny	bonny	0.561	0.404	0.444
bonsai	bonsai	0.714	0.235	0.375
bonus	bonus	0.857	0.620	0.682
bony	suyak	0.445	0.462	0.330
boo	boo	0.153	0.676	0.309
boob	boob	0.694	0.600	0.392
booby	booby	0.396	0.423	0.185
booger	booger	0.399	0.537	0.427
boogeyman	boogeyman	0.292	0.559	0.567
boogie	boogie	0.590	0.543	0.400
book	kitob	0.802	0.210	0.606
bookcase	shkafi	0.553	0.221	0.490
bookie	kitobcha	0.344	0.633	0.618
booking	rezervasyon	0.708	0.503	0.583
bookish	kitob	0.604	0.236	0.430
bookkeeper	buxgalter	0.480	0.363	0.468
bookkeeping	buxgalteriya hisobi	0.520	0.214	0.592
booklet	kitobcha	0.510	0.270	0.351
bookmaker	buxgalter	0.583	0.804	0.633
bookmark	manzil belgisi	0.543	0.441	0.415
books	kitoblar	0.729	0.115	0.430
bookseller	kitob sotuvchisi	0.583	0.317	0.456
bookshop	kitob do'koni	0.688	0.291	0.389
bookstore	kitob do'koni	0.771	0.180	0.503
bookworm	kitob qurtlari	0.563	0.337	0.316
boom	boom	0.604	0.655	0.731
boomer	boomer	0.480	0.539	0.441
boomerang	bumerang	0.531	0.625	0.500
booming	puchga chiqadi	0.688	0.554	0.661
boon	boon	0.878	0.294	0.642
boooo	NO TRANSLATION	0.271	0.549	0.255
boost	takomillashtirish	0.865	0.730	0.750
booster	kuchaytirgich	0.755	0.600	0.800
boot	yuklash	0.438	0.650	0.625
booth	stantsiyani	0.531	0.400	0.310
bootleg	bootleg	0.357	0.519	0.466
bootlegger	bootlegger	0.354	0.649	0.541
boots	chizmalar	0.602	0.255	0.350
booty	o'lja	0.663	0.587	0.784
booze	ichish	0.265	0.745	0.431
bop	bop	0.429	0.490	0.426
bopper	bopper	0.398	0.530	0.385
border	chegara	0.406	0.382	0.424
bordering	chegaradosh	0.643	0.382	0.438
borderline	chegarasi	0.449	0.520	0.490
bore	teshik	0.417	0.440	0.455
boreal	boreal	0.582	0.348	0.400
bored	zerikdi	0.153	0.167	0.196
boredom	zerikish	0.167	0.139	0.255
borer	Borer	0.302	0.549	0.578
boring	zerikarli	0.194	0.217	0.125
born	tug'ilgan	0.865	0.509	0.591
boron	Bor	0.441	0.370	0.375
borough	shahar	0.429	0.343	0.380
borrow	qarz olish	0.398	0.573	0.282
borrower	qarz oluvchi	0.439	0.423	0.763
bosom	ko'krak	0.612	0.588	0.404
boss	xo'jayin	0.310	0.627	0.954
bossy	xo'jayin	0.240	0.824	0.750
boston	boston	0.643	0.380	0.580
botanical	botanika	0.660	0.259	0.491
botanist	botanist	0.651	0.240	0.456
botany	botanika	0.604	0.201	0.500
bother	bezovta qilmang	0.208	0.780	0.370
bothering	bezovta qilmoqda	0.208	0.764	0.449
bottle	shisha	0.469	0.236	0.336
bottleneck	darboğaz	0.284	0.471	0.287
bottling	shishani to'ldirish	0.365	0.333	0.370
bottom	pastki qismida joylashgan	0.417	0.370	0.291
bottomless	tubsiz	0.310	0.470	0.368
botulism	botulizm	0.292	0.575	0.386
boulder	qumloq	0.461	0.309	0.531
bounce	siqilish	0.375	0.633	0.386
bouncer	jodugar	0.490	0.653	0.655
bouncy	bouncy	0.562	0.565	0.429
bound	bog'langan	0.417	0.667	0.310
boundary	chegarasi	0.561	0.427	0.518
boundless	cheksizdir	0.684	0.642	0.652
bounds	chegaralar	0.378	0.426	0.604
bountiful	mo'l-ko'lchilik	0.854	0.596	0.759
bounty	bardoshlik	0.760	0.755	0.833
bouquet	guldasta	0.724	0.352	0.306
bourbon	Burbon	0.602	0.490	0.517
bourgeois	burjua	0.439	0.593	0.682
bourgeoisie	burjuvazi	0.357	0.417	0.767
bourse	kursi	0.530	0.230	0.336
bout	jang	0.208	0.808	0.679
boutique	butik	0.745	0.490	0.441
bouttime	vaqt yo'q	0.588	0.373	0.410
bovine	mol go'shti	0.449	0.255	0.353
bow	kamon	0.530	0.306	0.408
bowed	ta'zim qildilar	0.410	0.418	0.368
bowel	ichak	0.306	0.417	0.391
bowels	ichaklarda	0.194	0.448	0.362
bowl	kosa	0.625	0.377	0.358
bowler	kamon	0.552	0.633	0.481
bowling	bouling	0.656	0.431	0.309
bowls	kosa	0.551	0.280	0.277
box	quti	0.500	0.179	0.312
boxcar	boxcar	0.420	0.469	0.421
boxer	bokschi	0.490	0.810	0.802
boxers	bokschilar	0.375	0.880	0.654
boxing	boks	0.427	0.854	0.645
boy	bola	0.646	0.392	0.445
boycott	boykot qilish	0.112	0.690	0.505
boyfriend	erkak do'sti	0.781	0.604	0.547
boyhood	bolalik	0.729	0.745	0.500
boyish	bolalik	0.698	0.562	0.462
boysenberry	boysenberry	0.646	0.409	0.475
bozo	bozo	0.388	0.364	0.298
bra	sutyen	0.672	0.529	0.509
brace	brace	0.610	0.385	0.364
bracelet	bilaguzuk	0.776	0.340	0.322
braces	qalamchalar	0.500	0.337	0.568
brachial	brakiyali	0.388	0.363	0.464
bracket	braket	0.490	0.350	0.682
brackets	Qavslar	0.573	0.281	0.435
brackish	og'riqlar	0.469	0.368	0.421
brad	Brad	0.490	0.385	0.402
brag	maqtanchoqlik	0.347	0.545	0.578
braid	ortiqcha oro bermay	0.427	0.222	0.216
brain	miya	0.667	0.441	0.823
brainless	miyasiz	0.138	0.310	0.224
brains	miyalar	0.663	0.557	0.722
brainstorm	miya bo'roni	0.794	0.784	0.636
brainwash	miya yuvish	0.198	0.647	0.481
brainy	aqlli	0.708	0.520	0.648
brake	tormozlanadi	0.312	0.481	0.310
bran	kepek	0.688	0.433	0.483
branch	filiali	0.538	0.206	0.250
branching	dallanma	0.520	0.422	0.472
brand	tovar belgisi	0.562	0.284	0.547
brandy	brendi	0.600	0.590	0.487
brash	shafqatsiz	0.360	0.814	0.552
brass	guruch	0.500	0.320	0.490
brass knuckle	guruch chig'anoqlari	0.406	0.449	0.518
brassiere	brassiere	0.510	0.469	0.336
brat	brat	0.312	0.440	0.231
bratwurst	NO TRANSLATION	0.510	0.490	0.464
bravado	bravado	0.479	0.510	0.527
brave	jasur	0.837	0.750	0.917
bravery	jasurlik	0.898	0.745	0.868
brawl	janjal	0.104	0.938	0.603
brawn	qoshiq	0.438	0.402	0.544
brazen	jirkanch	0.292	0.640	0.518
breach	buzish	0.177	0.745	0.423
bread	non	0.660	0.314	0.342
breadth	kengligi	0.667	0.490	0.644
break	tanaffus	0.610	0.265	0.370
breakable	breakable	0.194	0.667	0.408
breakaway	ajralib chiqish; uzoqlashish	0.479	0.802	0.519
breakdown	buzilmoq	0.365	0.423	0.361
breaker	to'xtatuvchidir	0.323	0.527	0.520
breakers	to'siqlar	0.469	0.588	0.439
breakfast	nonushta	0.885	0.330	0.429
breaking and entering	sinishi va kirishi	0.418	0.729	0.500
breakingnews	Tezkor xabarlar	0.500	0.552	0.607
breakneck	shafqatsiz	0.254	0.833	0.604
breakthrough	kashfiyot	0.680	0.525	0.718
breakup	sindirish; ayrilish; to'xtatish	0.250	0.720	0.357
breast	ko'krak	0.753	0.429	0.500
breath	nafas olish	0.684	0.392	0.451
breathe	nafas olish	0.833	0.373	0.518
breather	nafas olish	0.624	0.471	0.388
breathless	nafas olishmaydi	0.323	0.490	0.222
breathtaking	hayratomuz	0.936	0.792	0.921
breech	makon	0.500	0.637	0.422
breeches	plashlar	0.365	0.457	0.333
breed	jinsi	0.490	0.441	0.578
breeder	ishlab chiqaruvchi	0.645	0.481	0.605
breeding	ko'paytirish	0.667	0.481	0.610
breeze	shamol	0.837	0.284	0.370
breezy	shamol	0.531	0.472	0.482
brethren	birodarlar	0.917	0.380	0.641
breve	NO TRANSLATION	0.535	0.365	0.191
brevity	qisqartirish	0.459	0.434	0.375
brew	qaymoq	0.740	0.538	0.758
brewery	pivo zavodi	0.710	0.622	0.510
brewing	pivo tayyorlash	0.740	0.593	0.609
briar	briar	0.493	0.375	0.407
bribe	pora olish	0.112	0.690	0.472
bribery	poraxo'rlik	0.135	0.775	0.585
brick	g'isht	0.217	0.418	0.368
bridal	kelin	0.823	0.655	0.596
bride	kelin	0.840	0.708	0.579
bridegroom	kuyov	0.809	0.736	0.527
bridesmaid	kelin-kuyov	0.748	0.519	0.618
bridge	ko'prik	0.625	0.324	0.519
bridle	bridle	0.427	0.367	0.386
brief	qisqacha	0.469	0.300	0.279
briefcase	portfel	0.542	0.206	0.442
briefing	brifing	0.612	0.333	0.702
briefly	qisqacha	0.686	0.314	0.330
brig	brig	0.573	0.539	0.500
brigade	brigada	0.604	0.710	0.828
bright	yorqin	0.890	0.527	0.812
brighten	yorqinroq	0.760	0.547	0.649
brightens	yoritadi	0.771	0.611	0.613
brighter	yorqinroq	0.918	0.698	0.833
brightness	yorqinligi	0.938	0.623	0.660
brilliance	yorqinlik	0.990	0.673	0.830
brilliant	porloq	0.939	0.575	0.923
brim	burun	0.469	0.333	0.330
brimming	shamollatish	0.656	0.690	0.758
brimstone	oltingugurt	0.357	0.520	0.440
brine	sho'r	0.333	0.481	0.361
bring	olib kelish	0.635	0.460	0.462
brink	brink	0.375	0.413	0.356
brisk	jonli	0.719	0.745	0.742
brisket	brisket	0.552	0.378	0.222
bristle	qasr	0.375	0.375	0.326
brittle	mo'rt	0.276	0.490	0.272
bro	Bro	0.794	0.349	0.684
broach	broshy	0.438	0.439	0.675
broad	keng	0.762	0.365	0.637
broadcast	tarqatish	0.615	0.587	0.355
broadcasting	eshittirish	0.542	0.700	0.706
broaden	kengaytirish	0.678	0.602	0.610
broadside	keng tarqalgan	0.459	0.316	0.462
broadsword	broadsword	0.469	0.573	0.615
brocade	brokadan	0.500	0.327	0.464
broccoli	brokkoli	0.469	0.200	0.283
brochure	broshyura	0.552	0.226	0.391
broil	broil	0.510	0.404	0.330
broke	buzildi	0.245	0.590	0.370
broken	singan	0.062	0.500	0.293
brokenheart	NO TRANSLATION	0.115	0.577	0.343
brokenhearted	singan	0.130	0.598	0.227
broker	broker	0.582	0.462	0.600
brokerage	brokerlik	0.479	0.500	0.500
bromide	Bromit	0.347	0.425	0.411
bronco	bronco	0.500	0.510	0.473
bronze	bronza	0.622	0.333	0.526
brooch	broshy	0.531	0.260	0.380
brood	zoti	0.633	0.519	0.434
brooding	parvarish qilish	0.327	0.367	0.333
brook	daryo	0.594	0.347	0.412
broom	supurgi	0.385	0.154	0.302
broomstick	supurgi	0.410	0.265	0.227
broth	suyuqlik	0.500	0.245	0.168
brothel	fohishaxonalar	0.255	0.886	0.418
brother	birodar	0.823	0.361	0.546
brotherhood	birodarlik	0.990	0.471	0.760
brotherly	birodarlik	0.865	0.306	0.596
brow	qosh	0.562	0.311	0.481
brown	jigarrang	0.396	0.202	0.293
brownstone	jigarrang tosh	0.559	0.423	0.439
browse	ko'rib chiqing	0.635	0.750	0.592
brrr	brrr	0.373	0.540	0.282
bruise	mo'rtlik	0.133	0.640	0.474
bruising	mo'rtlik	0.084	0.520	0.422
brunch	brunch	0.406	0.363	0.343
brunette	qoramag'iz	0.802	0.528	0.529
brunt	shafqatsiz	0.204	0.750	0.349
brush	cho'tkasi	0.490	0.265	0.186
brutal	shafqatsiz	0.122	0.882	0.643
brutality	shafqatsizlik	0.122	0.832	0.571
brute	shafqatsiz	0.115	0.547	0.379
brutish	shafqatsiz	0.270	0.837	0.588
bubble	qabariq	0.774	0.213	0.364
bubbling	pufakchalar	0.500	0.438	0.384
bubbly	bubbly	0.698	0.608	0.462
bubonic	bubonik	0.280	0.530	0.394
buck	pul	0.677	0.577	0.720
buckaroo	buckaroo	0.448	0.469	0.479
bucket	kepçe	0.408	0.167	0.336
buckle	qisqich	0.416	0.373	0.361
buckled	burkangan	0.427	0.358	0.439
bucko	bucko	0.439	0.455	0.465
buckshot	parcha	0.255	0.740	0.322
buckwheat	karabuğday	0.490	0.471	0.434
bud	bud	0.460	0.402	0.333
buddha	Budda	0.690	0.198	0.604
buddhism	buddizm	0.510	0.115	0.673
buddhist	buddist	0.570	0.182	0.481
budding	tomurcuklanma	0.490	0.500	0.355
buddy	Buddy	0.884	0.585	0.655
budge	budge	0.719	0.755	0.543
budget	Byudjet	0.643	0.396	0.731
buff	buff	0.561	0.425	0.361
buffalo	qo'tos	0.469	0.528	0.527
buffer	bufer	0.520	0.474	0.350
buffering	buferlash	0.479	0.468	0.381
buffet	bufet	0.656	0.546	0.519
buffoon	buffon	0.344	0.651	0.290
bug	xato	0.286	0.500	0.246
bugaboo	bugaboo	0.439	0.491	0.441
bugged	bugged	0.561	0.439	0.500
bugger	bugger	0.312	0.627	0.474
buggy	buggy	0.500	0.509	0.327
bugle	uchqun	0.479	0.588	0.391
bugler	bugler	0.542	0.540	0.393
build	qurmoq	0.771	0.546	0.806
builder	quruvchi	0.660	0.642	0.701
building	bino	0.705	0.288	0.673
buildings	binolar	0.582	0.380	0.552
buildup	mustahkamlamoq	0.490	0.509	0.623
bulb	Lampochka	0.562	0.208	0.300
bulbous	bulbul	0.390	0.442	0.430
bulge	bulge	0.260	0.487	0.400
bulimic	bulim	0.092	0.570	0.373
bulk	ommaviy	0.469	0.413	0.509
bulkhead	bulkhead	0.312	0.425	0.402
bulky	katta hajmli	0.427	0.591	0.750
bull	buqa	0.521	0.640	0.644
bulldog	buldog	0.494	0.650	0.530
bulldozer	buldozer	0.459	0.549	0.643
bullet	o'tilganlik	0.408	0.794	0.634
bulletin	axborot byulleteni	0.573	0.294	0.361
bulletproof	bulletproof	0.750	0.721	0.779
bullfighter	bullfighter	0.448	0.794	0.664
bullfrog	bullfrog	0.344	0.481	0.422
bullheaded	bullheaded	0.229	0.740	0.516
bullhorn	bullhorn	0.510	0.653	0.736
bullion	bullion	0.693	0.558	0.729
bullock	buqoq	0.281	0.402	0.375
bullpen	bullpen	0.480	0.549	0.500
bullshit	bullshit	0.042	0.676	0.183
bully	bully	0.257	0.755	0.564
bulwark	bulvark	0.551	0.552	0.675
bum	bum	0.281	0.451	0.155
bumblebee	yomg'ir	0.469	0.493	0.321
bummed	bummer	0.296	0.430	0.227
bummer	bummer	0.163	0.500	0.267
bump	zarba	0.286	0.458	0.368
bumper	bamper	0.385	0.573	0.518
bumpy	jirkanch	0.306	0.683	0.419
bun	NO TRANSLATION	0.424	0.306	0.268
bunch	shamlardan	0.552	0.358	0.473
bundle	to'plam	0.510	0.343	0.434
bungalow	bungalov	0.562	0.352	0.406
bungee	bungee	0.637	0.545	0.327
bunghole	bunghole	0.286	0.426	0.396
bunion	bunyon	0.276	0.340	0.290
bunk	ranza	0.438	0.332	0.339
bunker	bunker	0.375	0.673	0.773
bunkhouse	bunkhouse	0.470	0.414	0.407
bunny	bunny	0.740	0.325	0.194
bunt	tovush	0.417	0.422	0.349
buoy	buoy	0.562	0.280	0.284
buoyancy	chidamlilik	0.625	0.373	0.538
buoyant	baquvvat	0.625	0.441	0.497
bur	bur	0.385	0.353	0.314
burden	yuk	0.367	0.583	0.697
burdened	og'ir yuk	0.429	0.519	0.565
burdensome	og'ir yuk	0.229	0.696	0.419
bureau	byurosi	0.562	0.373	0.618
bureaucracy	rasmiyatchilik	0.380	0.578	0.740
bureaucrat	byurokrat	0.208	0.519	0.598
bureaucratic	byurokratik	0.280	0.630	0.573
burger	burger	0.688	0.568	0.398
burglar	o'g'ri	0.050	0.769	0.404
burglary	o'g'rilik	0.146	0.918	0.543
burial	ko'milgan	0.203	0.577	0.333
buried	ko'milgan	0.133	0.530	0.370
burke	burke	0.466	0.441	0.451
burlap	burlap	0.429	0.462	0.411
burlesque	burlesk	0.327	0.615	0.343
burly	burly	0.562	0.650	0.750
burn	kuyish	0.219	0.783	0.509
burned	yondi	0.163	0.603	0.347
burner	burner	0.296	0.816	0.446
burning	yonayotgan	0.229	0.760	0.412
burnished	ochilgan	0.520	0.580	0.464
burnout	tirqish	0.219	0.445	0.240
burnt	yondi	0.082	0.713	0.356
burp	burp	0.219	0.594	0.432
burr	burr	0.390	0.426	0.308
burrito	burrito	0.688	0.294	0.166
burro	NO TRANSLATION	0.400	0.356	0.318
burrow	burrow	0.438	0.280	0.355
bursary	stipendiya	0.729	0.462	0.571
burst	portlash	0.156	0.894	0.845
bury	dafn qilmoq	0.077	0.571	0.346
bus	avtobus	0.407	0.411	0.400
busboy	busboy	0.510	0.453	0.441
bush	buta	0.413	0.220	0.315
bushel	buxgalter	0.417	0.387	0.368
bushy	buta	0.562	0.321	0.427
business	biznes	0.688	0.569	0.755
business man	NO TRANSLATION	0.530	0.598	0.933
businessman	Tadbirkor	0.653	0.510	0.802
businesswoman	NO TRANSLATION	0.719	0.500	0.764
busload	yuk	0.561	0.481	0.492
buss	buss	0.469	0.500	0.391
bust	bust	0.520	0.500	0.420
busted	buzib tashlangan	0.204	0.676	0.345
buster	buster	0.469	0.491	0.483
bustle	shovqin	0.347	0.814	0.445
bustling	harakatlanuvchi	0.490	0.850	0.528
busy	band	0.402	0.500	0.474
busybody	busybody	0.255	0.634	0.472
butane	butan	0.442	0.483	0.380
butcher	qassob	0.500	0.575	0.608
butler	butler	0.469	0.225	0.438
butt	boshcha	0.347	0.725	0.336
butter	sariyog'	0.650	0.292	0.202
buttercup	yog'och	0.562	0.482	0.422
butterfly	kelebek	0.892	0.327	0.314
buttermilk	ayran	0.633	0.311	0.304
butterscotch	butterscotch	0.708	0.510	0.356
buttery	moyni	0.625	0.318	0.303
buttock	qovoq	0.429	0.600	0.288
buttocks	qaltirash	0.458	0.677	0.365
button	tugmasini bosing	0.520	0.220	0.343
buttress	tayanch	0.438	0.684	0.721
buxom	buxom	0.562	0.719	0.547
buy	sotib oling	0.771	0.769	0.612
buyer	xaridor	0.613	0.519	0.649
buying	sotib olish	0.665	0.784	0.589
buzz	buzz	0.333	0.686	0.375
buzzard	buzzard	0.350	0.500	0.225
buzzed	buzildi	0.583	0.549	0.448
buzzer	buzzer	0.549	0.716	0.480
buzzing	xiralashgan	0.430	0.588	0.370
bye	bye	0.375	0.398	0.321
bygone	o'tib ketdi	0.229	0.310	0.315
bylaw	qonun	0.469	0.373	0.725
byline	byline	0.469	0.450	0.435
bypass	bypass	0.429	0.418	0.353
bystander	kuzatuvchi	0.480	0.462	0.491
byte	bayt	0.490	0.380	0.407
byzantine	byzantin	0.546	0.443	0.492
cab	kabina	0.438	0.490	0.421
cabal	kabinet	0.500	0.406	0.573
cabana	cabana	0.698	0.296	0.407
cabaret	kabare	0.677	0.656	0.482
cabbage	karam	0.398	0.225	0.264
cabbie	cabbie	0.521	0.417	0.429
cabernet	cabernet	0.543	0.420	0.480
cabin	idishni	0.643	0.292	0.430
cabinet	shkafi	0.552	0.306	0.465
cable	kabel	0.583	0.245	0.434
caboodle	soxta	0.529	0.521	0.325
caboose	kemadan tushirish	0.440	0.453	0.438
cabriolet	kabriolet	0.667	0.525	0.472
cache	kesh	0.552	0.348	0.389
cacophony	kakofoni	0.408	0.562	0.440
cactus	kaktus	0.439	0.412	0.284
cad	SAPR	0.447	0.406	0.404
cadaver	kadavr	0.030	0.690	0.260
caddie	NO TRANSLATION	0.521	0.435	0.259
caddy	do'kon	0.580	0.470	0.380
cadence	kadans	0.427	0.473	0.355
cadet	kursant	0.504	0.393	0.664
cafe	kafe	0.781	0.392	0.358
cafeteria	kafeterya	0.757	0.400	0.382
caffeine	kofein	0.562	0.759	0.500
cage	qafas	0.316	0.333	0.352
cagey	kagay	0.542	0.363	0.582
cahoots	jahoots	0.312	0.696	0.474
cairn	kairn	0.260	0.435	0.254
cake	kek	0.810	0.375	0.287
cakewalk	kakevalk	0.719	0.510	0.447
calamari	kalamari	0.521	0.312	0.406
calamitous	halokatli	0.219	0.685	0.500
calamity	falokat	0.122	0.795	0.343
calcareous	kalkerli	0.490	0.368	0.462
calcium	kaltsiy	0.600	0.346	0.479
calculate	hisoblash	0.490	0.452	0.440
calculated	hisoblangan	0.633	0.425	0.683
calculating	hisoblash	0.458	0.430	0.625
calculation	hisoblash	0.646	0.453	0.606
calculator	kalkulyator	0.513	0.283	0.588
calculus	hisob	0.360	0.360	0.562
calendar	taqvim	0.480	0.212	0.473
calender	NO TRANSLATION	0.531	0.275	0.451
calf	buzoq	0.531	0.366	0.336
caliber	kalibrli	0.429	0.551	0.606
calibrate	sozlang	0.552	0.460	0.623
calico	hijob	0.406	0.338	0.491
calipers	kaliperlar	0.480	0.510	0.481
calisthenics	gimnastika	0.562	0.663	0.545
call	qo'ng'iroq qiling	0.594	0.627	0.558
callback	qayta qo'ng'iroq qilish	0.524	0.529	0.434
caller	chaqiruvchi	0.646	0.615	0.472
calligraphy	kalligrafiya	0.620	0.216	0.500
calling	qo'ng'iroq qilish	0.646	0.590	0.483
callous	shafqatsiz	0.245	0.500	0.386
calls	qo'ng'iroqlar	0.608	0.431	0.551
calm	sokin	0.875	0.100	0.282
calming	tinchlantirish	0.885	0.105	0.360
calmness	tinchlik	0.934	0.105	0.394
caloric	kaloriya	0.327	0.483	0.448
calorie	kaloriya	0.333	0.540	0.427
calorimeter	kalorometr	0.406	0.560	0.414
cam	shisha	0.448	0.363	0.355
camaraderie	qarindoshlar	0.833	0.510	0.648
camber	kambag'al	0.430	0.382	0.439
