Word	Hindi-hi	Valence	Arousal	Dominance
barnyard	बाड़े	0.510	0.353	0.336
barometer	बैरोमीटर	0.388	0.273	0.545
baron	बरोन	0.520	0.358	0.709
baroness	बरोनेस	0.625	0.453	0.755
baroque	बारोक	0.490	0.357	0.418
barrack	सेनावास	0.378	0.500	0.455
barracuda	barracuda	0.333	0.713	0.510
barrage	आड़	0.388	0.871	0.627
barred	वर्जित	0.143	0.741	0.535
barrel	बैरल	0.429	0.298	0.474
barren	बंजर	0.173	0.373	0.221
barricade	आड़	0.323	0.667	0.673
barrier	बैरियर	0.333	0.480	0.562
barring	को छोड़कर	0.292	0.670	0.420
barrister	बैरिस्टर	0.469	0.570	0.792
barroom	barroom	0.686	0.619	0.470
barrow	ठेला	0.479	0.363	0.362
bartender	भौजनशाला का नौकर	0.573	0.698	0.585
barter	वस्तु-विनिमय	0.465	0.559	0.596
base	आधार	0.635	0.298	0.553
baseball	बेसबॉल	0.660	0.760	0.563
baseball bat	बेस्बाल का बल्ला	0.667	0.567	0.509
baseboard	baseboard	0.396	0.198	0.405
baseless	निराधार	0.292	0.382	0.375
baseline	आधारभूत	0.483	0.367	0.509
baseman	baseman	0.604	0.449	0.462
basement	तहखाना	0.388	0.500	0.268
bases	अड्डों	0.569	0.236	0.591
bash	दे घुमा के	0.385	0.546	0.463
bashful	संकोची	0.400	0.406	0.217
basic	बुनियादी	0.643	0.102	0.395
basics	मूल बातें	0.688	0.311	0.491
basil	तुलसी	0.534	0.274	0.309
basilica	बासीलीक	0.612	0.302	0.639
basin	घाटी	0.552	0.231	0.398
basis	आधार	0.602	0.260	0.426
bask	गरमाना	0.760	0.330	0.381
basket	टोकरी	0.458	0.227	0.336
basketball	बास्केटबाल	0.814	0.764	0.435
bass	बास	0.427	0.206	0.268
bass guitar	बेस गिटार	0.738	0.370	0.294
basso	NO TRANSLATION	0.417	0.420	0.439
bassoon	अलगोजा	0.500	0.433	0.310
bastard	घटिया इंसान	0.094	0.692	0.289
bastarding	bastarding	0.104	0.608	0.269
bastards	कमीने	0.082	0.680	0.422
bastion	बुर्ज	0.531	0.500	0.596
bat	बल्ला	0.324	0.409	0.480
batch	जत्था	0.560	0.357	0.357
batching	बैचिंग	0.484	0.420	0.518
bate	NO TRANSLATION	0.429	0.525	0.464
bath	स्नान	0.725	0.260	0.263
bathe	स्नान	0.677	0.294	0.371
bathhouse	स्नानगृह	0.602	0.380	0.459
bathing	नहाना	0.740	0.276	0.361
bathrobe	बाथरोब	0.531	0.442	0.394
bathroom	बाथरूम	0.561	0.283	0.345
bathtub	बाथटब	0.625	0.240	0.318
bathymetry	बेथीमेट्री	0.432	0.480	0.509
baton	छड़ी	0.272	0.235	0.519
battalion	बटालियन	0.333	0.818	0.795
batter	बैटर	0.561	0.245	0.373
battered	चकनाचूर	0.080	0.790	0.306
battering	battering	0.210	0.798	0.490
battery	बैटरी	0.480	0.425	0.442
battle	लड़ाई	0.365	0.945	0.868
battled	लड़ाई लड़ी	0.292	0.794	0.575
battlefield	लड़ाई का मैदान	0.133	0.918	0.781
battleground	लड़ाई का मैदान	0.156	0.958	0.812
battlements	battlements	0.276	0.441	0.530
battleship	युद्धपोत	0.479	0.750	0.726
batty	बावला	0.375	0.619	0.274
bauble	छोटी बात	0.698	0.429	0.255
bawdy	गंदा	0.184	0.823	0.508
bawl	चिल्लाना	0.385	0.880	0.561
bay	खाड़ी	0.719	0.365	0.569
bayonet	संगीन	0.263	0.775	0.561
bayou	संगीन	0.469	0.431	0.324
bazaar	बाजार	0.604	0.340	0.500
bazooka	bazooka	0.302	0.824	0.634
bday	जन्मदिन	0.729	0.600	0.415
be	होना	0.670	0.240	0.554
beach	समुद्र तट	0.885	0.529	0.455
beaches	समुद्र तटों	0.865	0.500	0.538
beacon	प्रकाश	0.580	0.407	0.537
bead	मनका	0.592	0.388	0.381
beading	beading	0.542	0.320	0.398
beads	मनका	0.673	0.388	0.552
beady	गुरियावाला	0.448	0.417	0.443
beagle	गुप्तचर	0.649	0.470	0.395
beak	चोंच	0.375	0.363	0.411
beaker	बीकर	0.420	0.410	0.391
beam	किरण	0.584	0.349	0.382
beaming	बीम करने	0.892	0.654	0.587
bean	सेम	0.667	0.269	0.264
beanbag	फलियों का थैला	0.450	0.380	0.340
beanie	बेनी	0.500	0.230	0.263
bear	भालू	0.448	0.570	0.475
bearable	सहने योग्य	0.542	0.375	0.605
beard	दाढ़ी	0.490	0.261	0.371
bearded	दाढीवाला	0.439	0.337	0.391
bearer	ले जानेवाला	0.571	0.547	0.676
bearing	असर	0.571	0.367	0.474
bearings	बीयरिंग	0.418	0.490	0.426
bearish	मंदी	0.521	0.549	0.324
bearskin	भालू का चमड़ा	0.333	0.398	0.464
beast	जानवर	0.214	0.780	0.732
beastly	क्रूरतापूर्ण	0.146	0.874	0.843
beat	हराना	0.279	0.647	0.492
beaten	पराजित	0.083	0.846	0.265
beater	भीतर दौड़ानेवाला	0.438	0.545	0.482
beating	पिटाई	0.153	0.833	0.481
beatnik	बीटनीक	0.429	0.510	0.382
beau	बांका	0.612	0.440	0.432
beautification	सौंदर्यीकरण	0.885	0.575	0.725
beautiful	सुंदर	0.875	0.614	0.648
beautify	सुशोभित	0.898	0.592	0.736
beauty	सुंदरता	0.842	0.600	0.644
beaver	ऊदबिलाव	0.490	0.344	0.393
bebop	बिहॉप	0.482	0.490	0.358
beck	इशारा	0.580	0.375	0.418
beckon	इशारा करना	0.663	0.455	0.452
become	बनना	0.641	0.583	0.643
bed	बिस्तर	0.604	0.173	0.327
bedding	बिस्तर	0.704	0.276	0.377
bedpan	bedpan	0.510	0.400	0.362
bedrock	आधार	0.561	0.340	0.598
bedroom	शयनकक्ष	0.744	0.296	0.491
bedside	बेडसाइड	0.604	0.167	0.375
bedspread	चादर	0.551	0.139	0.292
bedtime	सोने का समय	0.673	0.314	0.373
bee	मधुमक्खी	0.520	0.509	0.309
beef	गाय का मांस	0.582	0.312	0.492
beefsteak	गोमांस का टिक्का	0.594	0.391	0.455
beehive	मधुमक्खी का छत्ता	0.541	0.700	0.422
beep	भोंपू	0.595	0.541	0.304
beeper	पेजर	0.438	0.720	0.441
beer	बीयर	0.592	0.654	0.500
bees	मधुमक्खियों	0.562	0.635	0.412
beeswax	मोम	0.583	0.402	0.375
beetle	भृंग	0.323	0.356	0.295
befall	बीतना	0.520	0.663	0.585
befitting	मुंहतोड़	0.708	0.333	0.394
befriend	मित्रवत व्यवहार करना	0.930	0.624	0.471
befuddled	befuddled	0.156	0.714	0.269
beg	निवेदन करना	0.292	0.608	0.328
beggar	याचक	0.240	0.402	0.116
begging	भीख मांगना	0.292	0.461	0.202
begin	शुरू	0.677	0.569	0.763
beginner	शुरुआत	0.490	0.480	0.387
beginning	शुरू	0.816	0.528	0.558
beginnings	शुरुआत	0.837	0.527	0.600
begrudge	डाह खाना	0.177	0.731	0.377
begun	शुरू कर दिया	0.677	0.500	0.404
behappy	NO TRANSLATION	0.875	0.557	0.562
behave	पेश आ	0.677	0.363	0.747
behavior	व्यवहार	0.594	0.442	0.813
behavioral	व्यवहार	0.612	0.440	0.708
behemoth	आबी घोड़ा	0.583	0.781	0.853
behest	आज्ञा	0.602	0.350	0.720
behold	निहारना	0.610	0.284	0.449
beholden	कृतज्ञ	0.296	0.555	0.212
beholder	सक्षय	0.714	0.491	0.520
beige	बेज	0.490	0.222	0.224
belated	देर में आया हुआ	0.240	0.400	0.214
belay	कसना	0.500	0.472	0.702
belch	डकार लेना	0.194	0.562	0.240
belief	धारणा	0.896	0.375	0.656
believable	मुमकिन	0.866	0.390	0.676
believe	मानना	0.781	0.370	0.682
believed	माना जाता है कि	0.500	0.562	0.547
believer	विश्वास करनेवाला	0.725	0.445	0.564
believing	विश्वास	0.870	0.418	0.833
belittle	कम हो जाना	0.122	0.417	0.250
belittled	belittled	0.177	0.392	0.226
bell	घंटी	0.552	0.510	0.505
bellboy	नौकर	0.542	0.363	0.302
bellhop	नौकर	0.500	0.287	0.318
belligerent	युद्धरत	0.344	0.680	0.594
bellman	bellman	0.540	0.250	0.371
bellow	bellow	0.248	0.337	0.212
bellows	धौंकनी	0.458	0.515	0.429
belly	पेट	0.510	0.388	0.387
bellybutton	बेली बटन	0.531	0.283	0.360
bellyful	दावत	0.347	0.806	0.519
belong	संबंधित	0.643	0.405	0.569
belongings	संपत्ति	0.592	0.380	0.750
beloved	जानम	0.969	0.613	0.708
belt	बेल्ट	0.541	0.322	0.445
beluga	बेलुगा	0.510	0.333	0.482
bemused	विचार शक्ति हर लिया	0.281	0.490	0.278
bench	बेंच	0.571	0.289	0.544
bend	झुकना	0.571	0.324	0.368
bender	कोलाहलपूर्ण	0.490	0.510	0.466
bending	झुकने	0.448	0.565	0.455
beneath	नीचे	0.354	0.173	0.233
benedictory	आशीर्वाद का	0.677	0.438	0.481
benefactor	दान देनेवाला	0.833	0.578	0.755
beneficial	फायदेमंद	0.820	0.579	0.703
beneficiary	लाभार्थी	0.776	0.399	0.616
benefit	लाभ	0.906	0.422	0.806
benevolence	भलाई	0.786	0.340	0.717
benevolent	भलाई करनेवाला	0.786	0.407	0.651
benign	सौम्य	0.694	0.440	0.509
bent	झुका हुआ	0.375	0.453	0.298
benzene	बेंजीन	0.439	0.459	0.403
bequeath	वसीयत में देना	0.743	0.500	0.741
bequest	वसीयत	0.661	0.398	0.882
bereaved	वंचित	0.104	0.479	0.221
bereavement	वियोग	0.265	0.677	0.500
bereft	दीवाना	0.229	0.490	0.336
beret	बेरेत	0.542	0.240	0.327
bergamot	bergamot	0.510	0.365	0.339
berlin	बर्लिन	0.592	0.423	0.571
berserk	निडर	0.398	0.556	0.480
berth	बर्थ	0.295	0.337	0.596
beryllium	फीरोज़ा	0.417	0.412	0.425
beseech	प्रार्थना करना	0.330	0.441	0.600
beset	घेर लेना	0.385	0.717	0.317
bestdayever	सबसे अच्छा दिन	0.760	0.646	0.593
bestfeeling	बहतरीन एहसास	0.806	0.509	0.625
bestfriends	सबसे अच्छा दोस्त	0.934	0.662	0.647
bestial	वहशी	0.260	0.761	0.674
besties	जिगरी	0.888	0.509	0.614
bestow	प्रदान करना	0.656	0.560	0.642
bestseller	सर्वश्रेष्ठ विक्रेता	0.771	0.643	0.700
bet	शर्त	0.385	0.698	0.432
beta	बीटा	0.710	0.370	0.439
betray	प्रकट करना	0.042	0.870	0.536
betrayal	विश्वासघात	0.083	0.719	0.418
betrayed	धोखा दिया	0.122	0.769	0.308
betrothed	मंगेतर	0.833	0.630	0.667
betterment	सुधार	0.898	0.536	0.769
betting	शर्त	0.237	0.804	0.411
betty	बेट्टी	0.542	0.358	0.381
bevel	झुकना	0.757	0.406	0.454
beverage	पेय पदार्थ	0.635	0.490	0.389
bevy	झुंड	0.429	0.460	0.541
beware	सावधान रहना	0.151	0.596	0.518
bewilder	भुलाना	0.306	0.571	0.289
bewildered	व्यग्र	0.230	0.630	0.300
bewilderment	घबराहट	0.312	0.716	0.216
bias	पक्षपात	0.400	0.370	0.541
biased	झुका हुआ	0.271	0.302	0.368
bib	अकसर पीना	0.385	0.396	0.339
bible	बाइबिल	0.719	0.225	0.726
biblical	बाइबिल का	0.635	0.304	0.712
bibliography	ग्रन्थसूची	0.622	0.204	0.528
bicarbonate	बिकारबोनिट	0.479	0.337	0.438
bicentennial	दो सौ साल का	0.541	0.423	0.507
biceps	मछलियां	0.592	0.588	0.602
bicker	कल-कल के साथ बहना	0.143	0.643	0.552
bickering	कलह	0.122	0.800	0.536
bicolor	bicolor	0.580	0.327	0.404
bicycle	साइकिल	0.708	0.519	0.425
bid	बोली	0.760	0.530	0.655
bidder	बोली लगाने वाले	0.465	0.474	0.433
bidding	बोली लगाने	0.586	0.644	0.509
bide	NO TRANSLATION	0.368	0.407	0.282
biennial	द्विवाषिक	0.531	0.309	0.353
bier	NO TRANSLATION	0.497	0.448	0.407
bifurcation	विभाजन	0.385	0.625	0.352
big	बड़े	0.802	0.588	0.812
bigamy	द्विविवाह का प्रथा	0.327	0.696	0.482
bigday	बड़ा दिन	0.796	0.689	0.596
biggestfear	NO TRANSLATION	0.062	0.730	0.480
biggie	बड़ी	0.531	0.481	0.500
bighorn	बड़े सींग	0.480	0.547	0.580
bigmouth	बड़ा मुह	0.417	0.577	0.430
bigot	कट्टर व्यक्रित	0.479	0.745	0.517
bigoted	धर्माध	0.153	0.760	0.462
bigotry	कट्टरता	0.356	0.737	0.481
bike	बाइक	0.708	0.500	0.333
biker	बाइकर	0.604	0.710	0.567
bikini	बिकिनी	0.730	0.639	0.353
bilateral	द्विपक्षीय	0.633	0.343	0.491
bilayer	दोहरी परत	0.438	0.398	0.388
bile	पित्त	0.157	0.461	0.324
bilge	तोड़ लेना	0.316	0.392	0.412
bilingual	द्विभाषिक	0.735	0.490	0.606
bill	बिल	0.396	0.402	0.535
billboard	बोर्ड	0.594	0.317	0.481
billet	फौजों को घर देना	0.479	0.583	0.500
billiard	बिलियर्ड	0.719	0.616	0.543
billiards	बिलियर्ड्स	0.643	0.559	0.387
billing	बिलिंग	0.406	0.481	0.670
billion	एक अरब	0.719	0.564	0.782
billionaire	लाखपति	0.806	0.667	0.923
billy	बील्ली	0.490	0.397	0.375
bimbo	बिम्बो	0.396	0.370	0.300
bimonthly	द्विमासिक	0.408	0.298	0.471
bin	बिन	0.422	0.304	0.327
binary	बाइनरी	0.490	0.356	0.420
bind	बाँध	0.398	0.462	0.448
binder	जिल्दसाज़	0.438	0.250	0.308
bindery	जिल्द	0.548	0.388	0.482
binding	बंधन	0.438	0.425	0.640
bing	बिंग	0.573	0.453	0.415
binge	द्वि घातुमान	0.304	0.650	0.500
bingo	बिंगो	0.735	0.667	0.429
binocular	दूरबीन	0.531	0.344	0.426
binoculars	दूरबीन	0.490	0.309	0.411
binomial	द्विपद	0.600	0.406	0.426
bio	जैव	0.612	0.225	0.490
biochemical	जैव रासायनिक	0.367	0.481	0.618
biochemist	बायोकेमीज्ञानी	0.471	0.449	0.717
biochemistry	जीव रसायन	0.552	0.531	0.596
biogenesis	जीवजनन	0.594	0.442	0.697
biographer	जीवनी लेखक	0.708	0.427	0.617
biography	जीवनी	0.698	0.229	0.718
biological	जैविक	0.590	0.410	0.615
biologist	जीवविज्ञानी	0.625	0.453	0.693
biology	जीवविज्ञान	0.479	0.274	0.546
bionic	बीओनिक	0.571	0.570	0.788
biopsy	बायोप्सी	0.323	0.657	0.481
biosphere	बीओस्फिअ	0.684	0.351	0.579
bipartite	द्विपक्षीय	0.365	0.480	0.464
bipolar	द्विध्रुवी	0.208	0.685	0.426
birch	सन्टी	0.562	0.346	0.382
bird	चिड़िया	0.729	0.357	0.364
birdcage	पिंजरा	0.480	0.398	0.318
birdie	पक्षी	0.594	0.394	0.407
birdman	बर्डमैन	0.490	0.567	0.604
birth	जन्म	0.896	0.655	0.536
birthday	जन्मदिन	0.969	0.844	0.575
birthing	प्रसव	0.796	0.877	0.519
birthmark	जन्म चिह्न	0.630	0.461	0.500
birthplace	जन्मस्थल	0.781	0.290	0.491
birthright	जन्मसिद्ध अधिकार	0.684	0.417	0.714
bis	NO TRANSLATION	0.440	0.420	0.345
biscuit	बिस्कुट	0.888	0.260	0.231
bisexual	उभयलिंगी	0.438	0.765	0.459
bishop	बिशप	0.594	0.184	0.725
bison	बिजोन	0.573	0.433	0.557
bisque	सूप	0.693	0.443	0.312
bistro	बिस्टरो	0.594	0.472	0.396
bit	बिट	0.427	0.310	0.225
bitch	कुतिया	0.276	0.740	0.343
bitchy	मादा का	0.188	0.700	0.373
bite	काटना	0.219	0.796	0.510
biter	NO TRANSLATION	0.260	0.598	0.500
bitsy	बिट्सी	0.510	0.388	0.382
bitter	कड़वा	0.218	0.627	0.411
bitterly	कटु	0.194	0.685	0.362
bitterness	अप्रसन्नता	0.115	0.633	0.270
bittersweet	भावभीनी	0.469	0.569	0.474
bitty	छोटे	0.469	0.271	0.257
bitumen	अस्फ़ाल्ट	0.375	0.235	0.307
biweekly	सप्ताह में दो बार	0.581	0.337	0.455
biz	बिज़	0.500	0.473	0.473
bizarre	विचित्र	0.379	0.620	0.392
blab	गप्पी	0.438	0.425	0.353
blabbermouth	blabbermouth	0.323	0.640	0.422
black	काली	0.326	0.339	0.390
black snake	काल सांप	0.104	0.860	0.612
blackberry	ब्लैकबेरी	0.667	0.413	0.453
blackbird	ब्लेकबेर्द	0.520	0.340	0.405
blackboard	ब्लैकबोर्ड	0.469	0.255	0.287
blacken	काला करना	0.208	0.500	0.228
blackface	काला चेहरा	0.302	0.490	0.441
blackjack	डांडा	0.419	0.679	0.452
blacklist	काला सूची में डालना	0.133	0.750	0.396
blackmail	भयादोहन	0.094	0.802	0.482
blackmailer	बयादोहन करनेवाला	0.092	0.780	0.472
blackness	तिमिर	0.260	0.480	0.406
blackout	अंधकार	0.126	0.530	0.349
blacksmith	लोहार	0.480	0.531	0.702
bladder	मूत्राशय	0.406	0.412	0.330
blade	ब्लेड	0.378	0.602	0.594
blame	दोष	0.115	0.640	0.309
blameless	बिना निंदा	0.759	0.196	0.343
bland	नरम	0.300	0.226	0.157
blank	रिक्त	0.531	0.229	0.250
blanket	कंबल	0.740	0.132	0.391
blare	तुरही बजाना	0.439	0.561	0.519
blase	NO TRANSLATION	0.420	0.310	0.412
blasphemous	तिरस्कारी	0.210	0.755	0.491
blasphemy	ईश - निंदा	0.146	0.794	0.406
blast	विस्फोट	0.167	0.929	0.777
blaster	ब्लास्टर	0.459	0.538	0.554
blastoff	नष्ट करना	0.357	0.865	0.736
blatant	ज़बरदस्त	0.327	0.677	0.675
blather	बकवास करना	0.344	0.481	0.382
blaze	ज्वाला	0.698	0.467	0.658
blazer	रंगीन जाकेट	0.635	0.385	0.417
blazing	प्रज्वलन	0.594	0.896	0.735
bleach	ब्लीच	0.336	0.282	0.337
bleak	बेरंग	0.204	0.427	0.272
bleed	खून बहाना	0.041	0.843	0.346
bleeder	धमकी देकर हासिल करने की कोशिश करनेवाला	0.260	0.852	0.356
bleeding	खून बह रहा है	0.135	0.817	0.408
bleep	आवाज़	0.479	0.667	0.345
blemish	दोष	0.219	0.558	0.272
blemished	कलुषित	0.173	0.469	0.370
blend	मिश्रण	0.469	0.452	0.463
blender	ब्लेंडर	0.602	0.534	0.351
blending	सम्मिश्रण	0.560	0.418	0.637
bless	आशीर्वाद देना	0.929	0.269	0.588
blessed	धन्य है	0.910	0.279	0.696
blessing	आशीर्वाद	0.929	0.264	0.800
blessings	आशीर्वाद का	0.929	0.361	0.623
bleu	ब्लू	0.460	0.354	0.379
blight	नुक़सान	0.271	0.771	0.429
blighted	अभिशप्त	0.146	0.615	0.296
blimp	ब्लींप	0.600	0.410	0.532
blind	अंधा	0.156	0.360	0.184
blinded	अंधा	0.245	0.471	0.231
blindfold	आंखों पर पट्टी से	0.448	0.684	0.337
blindfolded	आंखों पर पट्टी वाला	0.208	0.564	0.209
blinding	चकाचौंध	0.304	0.596	0.406
blindly	आंखों पर पट्टी से	0.439	0.598	0.278
blindness	अंधापन	0.245	0.480	0.196
blink	झपकी	0.552	0.316	0.324
blip	ब्लिप	0.529	0.461	0.418
bliss	परमानंद	0.816	0.500	0.782
blissful	आनंदमय	0.885	0.639	0.676
blister	छाला	0.407	0.538	0.402
blistering	blistering	0.344	0.569	0.390
blitz	बम बरसाना	0.417	0.722	0.789
blizzard	बर्फानी तूफान	0.375	0.726	0.417
bloat	ब्लोट	0.229	0.694	0.298
bloated	फूला हुआ	0.167	0.593	0.424
blob	बूँद	0.500	0.376	0.298
block	खंड	0.286	0.350	0.402
blockade	नाकाबंदी	0.380	0.519	0.510
blockage	रुकावट	0.250	0.608	0.444
blockbuster	फिल्म	0.730	0.676	0.883
blockhead	मूर्ख	0.163	0.333	0.148
blog	ब्लॉग	0.639	0.390	0.432
bloke	लड़का	0.450	0.479	0.545
blond	गोरा	0.590	0.490	0.490
blonde	गोरा	0.698	0.545	0.412
blood	रक्त	0.219	0.684	0.585
bloodbath	खून-खराबे	0.060	0.971	0.475
bloodhound	खोजी कुत्ता	0.327	0.462	0.538
bloodless	रक्तहिन	0.292	0.390	0.212
bloodline	खून	0.510	0.657	0.604
bloodshed	रक्तपात	0.048	0.942	0.525
bloodshot	रक्तमय	0.188	0.810	0.482
bloodstream	खून	0.552	0.530	0.528
bloodthirsty	bloodthirsty	0.052	0.804	0.644
bloody	रक्तरंजित	0.031	0.910	0.518
bloom	फूल का खिलना	0.816	0.453	0.587
bloomers	पतलून	0.521	0.587	0.395
blooming	प्रस्फुटन	0.860	0.452	0.593
blossom	खिलना	0.792	0.275	0.309
blot	धब्बा	0.365	0.304	0.223
blotched	सूजा हुआ	0.133	0.562	0.264
blotter	स्याहीचट	0.360	0.298	0.280
blouse	ब्लाउज	0.580	0.190	0.302
blow	फुंक मारा	0.316	0.750	0.570
blower	धौंकनी	0.564	0.550	0.536
blowfish	ब्लोफिश	0.344	0.420	0.389
blowing	उड़ाने	0.521	0.472	0.434
blowjob	blowjob	0.460	0.784	0.387
blown	उड़ा	0.333	0.548	0.412
blowout	बुझाना	0.398	0.792	0.616
blowtorch	टांका लगाने का यंत्र	0.520	0.730	0.510
blubber	रोना	0.388	0.260	0.360
bluddy	bluddy	0.312	0.528	0.442
blue	नीला	0.646	0.137	0.291
blue spruce	नीला स्पूस	0.559	0.335	0.364
blueberry	ब्लूबेरी	0.656	0.185	0.365
bluebird	Bluebird	0.573	0.350	0.450
bluegrass	ब्लूग्रास	0.573	0.441	0.395
bluejay	ब्लू जे	0.635	0.520	0.310
blueprint	खाका	0.490	0.173	0.425
blues	ब्लूज़	0.469	0.220	0.287
bluff	धोखा	0.418	0.286	0.377
bluish	नीला सा	0.604	0.245	0.382
blunder	बड़ी भूल	0.135	0.635	0.145
blunt	कुंद	0.551	0.680	0.925
blur	कलंक	0.268	0.471	0.205
blurred	धुंधला	0.320	0.367	0.231
blurry	धुँधली	0.059	0.385	0.218
blurt	जोर से बोलना	0.408	0.439	0.441
blush	शरमाना	0.698	0.610	0.445
blushing	लालित	0.510	0.789	0.288
boa	NO TRANSLATION	0.255	0.569	0.542
boa constrictor	NO TRANSLATION	0.198	0.784	0.609
boar	सूअर	0.406	0.500	0.351
board	मंडल	0.592	0.255	0.385
board game	विशेष प्रकार के बोर्ड या पट्टे के खेल जैसे शतरंज, साँप सीढ़ी आदि	0.711	0.490	0.349
boarder	NO TRANSLATION	0.604	0.440	0.475
boarding	बोर्डिंग	0.531	0.402	0.534
boardroom	बोर्डरूम	0.555	0.566	0.661
boards	बोर्डों	0.469	0.270	0.524
boardwalk	बोर्डवॉक	0.643	0.481	0.549
boast	डींग	0.520	0.586	0.569
boastful	डींग मारने का	0.490	0.806	0.695
boasting	पेश	0.417	0.620	0.602
boat	नाव	0.516	0.420	0.554
boathouse	boathouse	0.592	0.380	0.404
boating	नौका विहार	0.638	0.613	0.557
boatload	सारी	0.365	0.415	0.485
boatman	केवट	0.592	0.573	0.562
bobbin	अटेरन	0.429	0.472	0.353
bobcat	बनबिलाव	0.562	0.490	0.529
bobsled	बोबस्लेय	0.667	0.613	0.325
bode	भविष्यव्दाणी	0.344	0.406	0.411
bodega	Bodega	0.573	0.307	0.398
bodice	चोली	0.390	0.471	0.386
bodily	शारीरिक	0.594	0.481	0.557
body	तन	0.694	0.461	0.571
bodyguard	अंगरक्षक	0.510	0.710	0.754
bog	दलदल	0.302	0.361	0.365
bogey	दलदली	0.380	0.519	0.368
bogeyman	हौवा खड़ा	0.388	0.708	0.517
bogus	जाली	0.219	0.353	0.144
bohemian	बोहेनिया का	0.622	0.500	0.407
boil	फोड़ा	0.417	0.684	0.433
boiler	बायलर	0.561	0.590	0.509
boilerplate	बॉयलरप्लेट	0.398	0.519	0.387
boiling	उबलना	0.302	0.690	0.526
boisterous	उद्दाम	0.385	0.806	0.565
bold	साहसिक	0.490	0.271	0.483
boldness	साहस	0.806	0.684	0.814
bollocks	bollocks	0.448	0.471	0.327
bolster	सिलेंडर	0.708	0.471	0.569
bolt	पेंच	0.354	0.363	0.426
bolus	सांस	0.426	0.491	0.352
bomb	बम	0.167	0.912	0.750
bombard	बौछार करना	0.156	0.961	0.777
bombardier	बम गिरानेवाला	0.240	0.863	0.787
bombardment	बमबारी	0.146	0.959	0.742
bombed	पर बमबारी	0.051	0.851	0.627
bomber	बमवर्षक	0.125	0.837	0.810
bombers	हमलावरों	0.173	0.920	0.787
bombing	बम विस्फोट	0.167	0.963	0.732
bombshell	आकस्मिकता	0.327	0.868	0.693
bonanza	उपहार	0.875	0.410	0.683
bonbon	NO TRANSLATION	0.865	0.551	0.446
bond	बंधन	0.667	0.519	0.630
bondage	दासता	0.146	0.705	0.355
bonding	संबंध	0.594	0.442	0.509
bonds	बांड	0.740	0.472	0.583
bondsman	दासा	0.469	0.497	0.675
bone	हड्डी	0.337	0.370	0.413
bonehead	कपाल	0.337	0.521	0.518
boner	चोट	0.344	0.612	0.393
bones	हड्डियों	0.281	0.343	0.358
bonfire	होलिका	0.480	0.719	0.473
bong	बोंग	0.333	0.566	0.375
bonkers	bonkers	0.306	0.847	0.278
bonne	NO TRANSLATION	0.448	0.395	0.362
bonnet	ढक्कन	0.406	0.509	0.473
bonny	स्वास्थ	0.561	0.404	0.444
bonsai	बोन्साई	0.714	0.235	0.375
bonus	बोनस	0.857	0.620	0.682
bony	बोनी	0.445	0.462	0.330
boo	बू	0.153	0.676	0.309
boob	उल्लू	0.694	0.600	0.392
booby	मूर्ख	0.396	0.423	0.185
booger	booger	0.399	0.537	0.427
boogeyman	boogeyman	0.292	0.559	0.567
boogie	बूगी	0.590	0.543	0.400
book	किताब	0.802	0.210	0.606
bookcase	किताबों की अलमारी	0.553	0.221	0.490
bookie	सट्टेबाज	0.344	0.633	0.618
booking	बुकिंग	0.708	0.503	0.583
bookish	किताबी	0.604	0.236	0.430
bookkeeper	बहीखाता लिखनेवाला	0.480	0.363	0.468
bookkeeping	बहीखाता	0.520	0.214	0.592
booklet	पुस्तिका	0.510	0.270	0.351
bookmaker	बूक मेय्केड़	0.583	0.804	0.633
bookmark	बुकमार्क	0.543	0.441	0.415
books	पुस्तकें	0.729	0.115	0.430
bookseller	किताब बेचनेवाला	0.583	0.317	0.456
bookshop	किताबों का दुकान	0.688	0.291	0.389
bookstore	किताबों की दुकान	0.771	0.180	0.503
bookworm	पुस्ताकों का कीड़ा	0.563	0.337	0.316
boom	उछाल	0.604	0.655	0.731
boomer	बुमेर	0.480	0.539	0.441
boomerang	बुमेरांग	0.531	0.625	0.500
booming	तेजी से बढ़ता	0.688	0.554	0.661
boon	वरदान	0.878	0.294	0.642
boooo	NO TRANSLATION	0.271	0.549	0.255
boost	बढ़ावा	0.865	0.730	0.750
booster	बूस्टर	0.755	0.600	0.800
boot	बूट	0.438	0.650	0.625
booth	बूथ	0.531	0.400	0.310
bootleg	अवैध	0.357	0.519	0.466
bootlegger	मद्यतस्कर	0.354	0.649	0.541
boots	जूते	0.602	0.255	0.350
booty	लूट का माल	0.663	0.587	0.784
booze	शराब पीना	0.265	0.745	0.431
bop	बॉप	0.429	0.490	0.426
bopper	bopper	0.398	0.530	0.385
border	सीमा	0.406	0.382	0.424
bordering	सीमा से सटे	0.643	0.382	0.438
borderline	सीमा	0.449	0.520	0.490
bore	उबा देना	0.417	0.440	0.455
boreal	उदीच्य	0.582	0.348	0.400
bored	ऊब	0.153	0.167	0.196
boredom	उदासी	0.167	0.139	0.255
borer	बरमा	0.302	0.549	0.578
boring	उबाऊ	0.194	0.217	0.125
born	उत्पन्न होने वाली	0.865	0.509	0.591
boron	बोरान	0.441	0.370	0.375
borough	नगर	0.429	0.343	0.380
borrow	उधार	0.398	0.573	0.282
borrower	उधार लेने वाला	0.439	0.423	0.763
