Word	Hmong-hmn	Valence	Arousal	Dominance
critic	critic	0.264	0.604	0.686
critical	tseem ceeb heev	0.312	0.802	0.545
criticise	thuam	0.073	0.700	0.452
criticism	kev thuam	0.115	0.563	0.505
criticize	thuam	0.143	0.708	0.473
criticized	thuam	0.240	0.600	0.311
critique	Txhaum Cai	0.302	0.760	0.537
critter	khib nyiab	0.542	0.539	0.482
croak	ntoo khaub lig	0.337	0.346	0.298
croc	croc	0.327	0.452	0.451
crock	crock	0.385	0.412	0.421
crockery	cov khoom ua si	0.552	0.216	0.327
crocodile	khej	0.344	0.708	0.610
croft	pob zeb	0.531	0.429	0.421
croissant	croissant	0.745	0.330	0.430
crook	crook	0.171	0.765	0.550
crooked	nkhaus	0.146	0.594	0.305
crop	qoob loo	0.615	0.260	0.500
croquet	croquet	0.551	0.519	0.407
cross	hla	0.448	0.321	0.569
cross country	hla lub teb chaws	0.531	0.441	0.529
crossbow	hneev tua tav toj	0.344	0.598	0.560
crossed	hla	0.431	0.490	0.508
crossfire	crossfire	0.316	0.896	0.722
crossing	hla kev	0.549	0.349	0.451
crossover	crossover	0.559	0.550	0.500
crosswalk	crosswalk	0.557	0.441	0.380
crossword	crossword	0.611	0.423	0.455
crotch	khaus	0.521	0.637	0.447
crouch	khoov	0.281	0.606	0.312
crouched	crouched	0.333	0.363	0.279
crouching	crouching	0.261	0.429	0.345
croupier	croupier	0.531	0.519	0.404
crow	qaib	0.224	0.439	0.363
crowbar	crowbar	0.406	0.531	0.386
crowd	pawg neeg	0.350	0.827	0.731
crowded	crowded	0.694	0.286	0.585
crowds	coob coob	0.469	0.723	0.806
crown	crown	0.708	0.572	0.737
crowning	crowning	0.773	0.594	0.831
crucial	tseem ceeb heev	0.541	0.657	0.777
cruciate	cruciate	0.429	0.435	0.585
crucifix	Crucifix	0.469	0.480	0.510
crucifixion	raug ntsia saum ntoo khaub lig	0.135	0.857	0.541
crucify	Ntoo khaub lig	0.146	0.878	0.573
crud	crud	0.312	0.330	0.444
crude	nyoos	0.198	0.402	0.357
cruel	lim hiam	0.122	0.866	0.391
cruelly	cruelly	0.146	0.790	0.471
cruelty	kev phem	0.092	0.836	0.536
cruise	nkoj	0.740	0.442	0.683
cruise ship	nkoj nkoj	0.878	0.650	0.500
cruiser	cruiser	0.737	0.490	0.608
cruising	kev caij nkoj	0.886	0.580	0.560
crumb	crumb	0.417	0.255	0.216
crumble	crumble	0.333	0.480	0.423
crumbling	tawg	0.167	0.696	0.308
crummy	mob plab	0.125	0.531	0.224
crunch	ntxeev	0.292	0.630	0.406
crunchy	crunchy	0.625	0.560	0.539
crusade	kev sib ntaus	0.592	0.720	0.709
crusader	ntxeev siab	0.439	0.588	0.548
crush	tuav	0.271	0.676	0.582
crushed	crushed	0.167	0.647	0.300
crusher	Crusher	0.271	0.709	0.598
crushing	crushing	0.219	0.755	0.411
crust	crust	0.542	0.337	0.456
crusty	crusty	0.625	0.531	0.473
crutch	tshuab raj	0.302	0.294	0.302
crux	crux	0.469	0.558	0.519
cry	quaj	0.133	0.627	0.255
crybaby	crybaby	0.375	0.702	0.311
crying	quaj	0.153	0.704	0.208
crypt	Crypt	0.156	0.431	0.386
cryptic	cryptic	0.296	0.516	0.474
cryptography	Cryptography	0.490	0.415	0.650
crystal	siv lead ua	0.618	0.270	0.508
crystalline	Crystalline	0.765	0.235	0.534
crystallization	Crystallization	0.600	0.449	0.565
cub	cub	0.646	0.382	0.284
cubby	cubby	0.354	0.385	0.360
cube	lub voos xwmfab	0.469	0.226	0.274
cubic	cubic	0.458	0.306	0.407
cubicle	cubicle	0.479	0.343	0.417
cuckold	cuckold	0.210	0.573	0.230
cuckoo	cuckoo	0.420	0.459	0.284
cucumber	dib	0.490	0.235	0.237
cuddle	hnyuv	0.885	0.559	0.475
cuddled	cuddled	0.906	0.547	0.567
cuddles	cuddles	0.847	0.382	0.500
cuddling	cuddling	0.917	0.562	0.433
cue	cue	0.521	0.433	0.484
cuff	cuff	0.469	0.453	0.387
cuisine	cuisine	0.714	0.365	0.390
culinary	khoom noj khoom haus	0.654	0.443	0.519
cull	cull	0.365	0.702	0.464
culminate	nce siab	0.667	0.550	0.602
culmination	kev nyhav	0.656	0.586	0.695
culpability	kev ua txhaum	0.112	0.745	0.368
culpable	culpable	0.140	0.700	0.319
culprit	ua txhaum	0.062	0.676	0.333
cult	cult	0.448	0.535	0.648
cultivate	cultivate	0.708	0.410	0.598
cultivated	cultivated	0.837	0.343	0.564
cultivation	sau qoob	0.625	0.324	0.462
cultural	kab lis kev cai	0.802	0.390	0.623
culture	kab lis kev cai	0.753	0.304	0.675
cultured	cultured	0.635	0.429	0.625
culvert	nyom	0.337	0.324	0.343
cumbersome	cumbersome	0.259	0.623	0.292
cumulus	cumulus	0.570	0.433	0.432
cunning	cunning	0.604	0.685	0.683
cunt	khoom noj khoom haus	0.135	0.673	0.377
cup	khob	0.615	0.167	0.231
cupboard	lub tais	0.553	0.200	0.304
cupcake	khob haus dej	0.656	0.333	0.344
cupping	khob cij	0.490	0.610	0.402
cur	cur	0.440	0.519	0.460
curable	curable	0.823	0.292	0.574
curate	curate	0.726	0.418	0.526
curative	curative	0.667	0.318	0.613
curator	curator	0.688	0.389	0.688
curb	teeb meem	0.472	0.371	0.402
curd	curd	0.542	0.442	0.278
cure	kho	0.719	0.377	0.623
curfew	curfew	0.219	0.618	0.623
curiosity	xav paub	0.750	0.755	0.463
curious	xav paub	0.635	0.600	0.483
curl	curl	0.385	0.452	0.351
curling	curling	0.583	0.592	0.400
currency	txiaj	0.583	0.418	0.592
current	tam sim no	0.625	0.312	0.612
curriculum	cov ntawv kawm	0.708	0.306	0.620
curry	curry	0.633	0.345	0.302
curse	foom phem	0.033	0.720	0.375
cursed	cursed	0.083	0.783	0.393
cursing	cursing	0.112	0.860	0.446
cursory	cursory	0.423	0.451	0.431
curt	curt	0.245	0.610	0.452
curtail	curtail	0.306	0.439	0.497
curtailment	kev hloov	0.230	0.578	0.431
curtain	ntaub	0.698	0.278	0.304
curtains	curtains	0.615	0.123	0.342
curtsy	curtsy	0.635	0.412	0.598
curvature	curvature	0.417	0.367	0.447
curve	nkhaus	0.480	0.375	0.307
curved	nkhaus	0.542	0.407	0.337
curvilinear	curvilinear	0.480	0.575	0.411
cushion	lub ncoo	0.653	0.221	0.292
cushy	cushy	0.823	0.283	0.395
cusp	cusp	0.667	0.710	0.700
cuss	cuss	0.354	0.538	0.443
cussed	cussed	0.156	0.625	0.454
custard	custard	0.618	0.260	0.293
custodial	tu tsev	0.418	0.462	0.718
custodian	tus tu vaj tse	0.594	0.625	0.528
custody	me nyuam	0.494	0.472	0.675
custom	kev cai	0.552	0.382	0.688
customary	txoj kev cai	0.700	0.253	0.561
customer	tus neeg mob	0.562	0.430	0.673
customized	hloov	0.625	0.504	0.590
cut	txiav	0.490	0.490	0.393
cutaneous	cutaneous	0.365	0.370	0.328
cute	ntxim hlub	0.920	0.528	0.579
cuticle	cuticle	0.340	0.320	0.377
cutie	cutie	0.638	0.528	0.464
cutlass	cutlass	0.173	0.648	0.528
cutlery	cutlery	0.552	0.300	0.345
cutoff	cutoff	0.432	0.510	0.518
cutter	cutter	0.427	0.731	0.583
cutters	cutters	0.197	0.653	0.491
cutthroat	cutthroat	0.110	0.823	0.663
cutting	txiav	0.448	0.375	0.536
cutting board	txiav txiag	0.337	0.540	0.342
cuttings	cuttings	0.479	0.392	0.433
cwt	cwt	0.500	0.410	0.384
cyanide	cyanide	0.229	0.667	0.545
cyberspace	cyberspace	0.677	0.594	0.611
cycle	lub voj voog	0.635	0.400	0.533
cyclical	cyclical	0.380	0.450	0.554
cyclist	cyclist	0.684	0.582	0.576
cyclone	cyclone	0.416	0.796	0.673
cylinder	kheej kheej	0.459	0.324	0.447
cylindrical	cylindrical	0.458	0.294	0.414
cymbal	suab lus	0.542	0.363	0.362
cynic	cynic	0.135	0.632	0.473
cynical	cynical	0.156	0.760	0.474
cynicism	cynicism	0.104	0.780	0.454
cyst	cyst	0.173	0.578	0.312
cystic	cystic	0.314	0.481	0.400
cytomegalovirus	cytomegalovirus	0.186	0.657	0.443
cytoplasm	cytoplasm	0.378	0.442	0.474
czar	czar	0.480	0.348	0.643
dab	dab	0.510	0.337	0.340
dabble	dabble	0.550	0.530	0.491
dabbling	dabbling	0.562	0.726	0.676
dad	dad	0.857	0.412	0.786
daddy	txiv ntxawm	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	daemon	0.333	0.490	0.500
daft	daft	0.255	0.436	0.157
dagger	dagger	0.224	0.797	0.613
daily	txhua hnub	0.653	0.347	0.473
dainty	dainty	0.604	0.284	0.424
daiquiri	daiquiri	0.670	0.519	0.400
dairy	mis nyuj haus	0.633	0.255	0.462
daisy	Daisy	0.562	0.367	0.333
dak	NO TRANSLATION	0.510	0.417	0.424
dale	Dale	0.622	0.270	0.365
dam	lub pas dej	0.250	0.553	0.394
damage	puas tsuaj	0.059	0.726	0.403
damaged	puas	0.104	0.635	0.182
damages	puas tsuaj	0.082	0.760	0.310
dame	dame	0.694	0.480	0.500
damn	hmoov phem	0.073	0.784	0.431
damnation	damnation	0.135	0.750	0.416
damned	damned	0.100	0.760	0.465
damp	damp	0.360	0.279	0.210
dampened	dampened	0.271	0.422	0.336
damper	damper	0.459	0.378	0.473
damsel	tus ntxhais	0.719	0.475	0.400
dance	seev cev	0.894	0.840	0.551
dancer	dancer	0.740	0.768	0.545
dancing	dancing	0.885	0.868	0.444
dandruff	kiav txhab	0.398	0.298	0.293
dandy	dandy	0.673	0.520	0.630
danger	txaus ntshai	0.115	0.923	0.673
dangerous	txaus ntshai	0.020	0.941	0.658
dangerously	dangerously	0.082	0.930	0.564
dangit	NO TRANSLATION	0.396	0.606	0.358
dangle	dangle	0.362	0.469	0.375
dank	NO TRANSLATION	0.390	0.381	0.383
dapper	dapper	0.770	0.560	0.698
dare	twv	0.677	0.788	0.684
daredevil	daredevil	0.429	0.714	0.653
daresay	mob siab	0.540	0.451	0.490
daring	daring	0.583	0.840	0.711
dark	tsaus nti	0.198	0.398	0.426
darken	darken	0.250	0.471	0.382
darkened	darkened	0.135	0.440	0.452
darkly	darkly	0.219	0.548	0.443
darkness	tsaus ntuj	0.102	0.602	0.418
darkroom	tsaus nti	0.188	0.627	0.423
darkside	darkside	0.102	0.690	0.365
darling	darling	0.885	0.370	0.608
darn	Darn	0.115	0.765	0.418
dart	dart	0.417	0.608	0.500
dash	khiav ceev	0.574	0.312	0.324
dashboard	dashboard	0.510	0.371	0.595
dashed	dashed	0.276	0.393	0.338
dashing	dashing	0.612	0.627	0.799
dastardly	dastardly	0.208	0.688	0.270
data	cov ntaub ntawv	0.500	0.250	0.426
database	database	0.604	0.286	0.644
date	hnub tim	0.604	0.231	0.400
datenight	NO TRANSLATION	0.708	0.637	0.518
daughter	ntxhais	0.908	0.415	0.455
dawdle	dawdle	0.479	0.464	0.357
dawn	kaj ntug	0.827	0.235	0.519
dawned	dawned	0.694	0.471	0.473
day	hnub	0.719	0.269	0.389
daybreak	hnub nrig	0.802	0.358	0.474
daycare	chaw zov me nyuam	0.776	0.481	0.360
daydream	hnub nrig	0.750	0.337	0.456
daydreaming	hnub nrig	0.776	0.360	0.479
daylight	nruab hnub	0.865	0.420	0.545
daymade	NO TRANSLATION	0.646	0.450	0.417
dayoff	NO TRANSLATION	0.760	0.368	0.377
daytime	nruab hnub	0.750	0.324	0.454
daze	daze	0.245	0.735	0.329
dazed	dazed	0.300	0.697	0.277
dazzle	dazzle	0.730	0.782	0.683
dazzling	dazzling	0.854	0.880	0.767
deacon	deacon	0.531	0.430	0.736
deactivate	deactivate	0.235	0.447	0.392
dead	tuag	0.052	0.454	0.194
deadbeat	tuag taus	0.229	0.453	0.368
deadline	sijhawm	0.214	0.615	0.460
deadlines	sijhawm kawg	0.406	0.769	0.411
deadlock	deadlock	0.170	0.418	0.323
deadly	tuag taus	0.143	0.849	0.554
deaf	lag ntseg	0.186	0.324	0.161
deafening	deafening	0.281	0.835	0.482
deafness	lag ntseg	0.125	0.413	0.219
deal	deal	0.719	0.599	0.543
dealer	neeg muag khoom	0.799	0.615	0.683
dealership	dealership	0.541	0.430	0.629
dealing	kev soj ntsuam	0.724	0.415	0.598
dealings	kev sib tham	0.600	0.491	0.480
dean	dean	0.612	0.469	0.723
dear	Nyob zoo	0.880	0.434	0.629
dearest	dearest	0.902	0.427	0.508
dearth	dearth	0.156	0.539	0.255
death	tuag	0.031	0.720	0.472
deathbed	deathbed	0.051	0.652	0.311
deathly	tuag taus	0.073	0.771	0.682
debacle	debacle	0.156	0.606	0.266
debased	debased	0.219	0.529	0.170
debatable	debatable	0.181	0.610	0.474
debate	sib cav tswv yim	0.408	0.691	0.683
debauchery	debauchery	0.354	0.901	0.500
debenture	debenture	0.417	0.500	0.466
debilitating	debilitating	0.125	0.490	0.308
debit	debit	0.333	0.400	0.474
debrief	sib tham	0.247	0.343	0.549
debriefing	sib tham	0.427	0.580	0.456
debris	khib nyiab	0.135	0.396	0.327
debt	nqi	0.204	0.598	0.336
debtor	debtor	0.219	0.546	0.160
debut	debut	0.806	0.606	0.629
debutante	debutante	0.771	0.627	0.454
decade	kaum xyoo	0.531	0.402	0.665
decadence	decadence	0.237	0.455	0.291
decadent	decadent	0.290	0.559	0.324
decaf	decaf	0.480	0.324	0.353
decanter	decanter	0.438	0.567	0.510
decathlon	decathlon	0.573	0.753	0.620
decay	lwj	0.143	0.312	0.170
decayed	decayed	0.017	0.375	0.169
decaying	decaying	0.073	0.510	0.214
deceased	tuag lawm	0.021	0.538	0.188
decedent	decedent	0.423	0.481	0.415
deceit	dag	0.020	0.696	0.343
deceitful	deceitful	0.071	0.788	0.371
deceive	deceive	0.094	0.775	0.414
deceived	dag	0.059	0.673	0.302
deceiving	deceiving	0.099	0.636	0.426
december	Hlis ntuj nqeg	0.740	0.540	0.464
decency	kev ncaj ncees	0.750	0.235	0.634
decent	ncaj ncees	0.823	0.296	0.653
deception	kev dag ntxias	0.090	0.745	0.370
deceptive	dag ntxias	0.027	0.605	0.294
decide	txiav txim siab	0.656	0.540	0.855
decidedly	txiav txim siab	0.750	0.480	0.843
deciduous	deciduous	0.385	0.353	0.282
decimal	decimal	0.507	0.259	0.305
decimeter	decimeter	0.520	0.292	0.377
decipher	decipher	0.417	0.630	0.652
decision	kev txiav txim siab	0.646	0.510	0.839
decisive	decisive	0.740	0.509	0.935
deck	lawj	0.420	0.333	0.394
declaration	tshaj tawm	0.551	0.590	0.714
declaratory	tshaj tawm	0.635	0.582	0.673
declare	tshaj tawm	0.677	0.623	0.668
declination	declination	0.250	0.549	0.311
decline	poob	0.173	0.491	0.240
declining	poob qis	0.328	0.400	0.264
deco	deco	0.625	0.274	0.356
decode	txiav txim	0.551	0.510	0.640
decoder	decoder	0.562	0.340	0.686
decompose	decompose	0.194	0.596	0.241
decomposed	decomposed	0.073	0.442	0.231
decomposition	decomposition	0.133	0.600	0.263
decompress	decompress	0.438	0.430	0.509
decompression	decompression	0.208	0.520	0.311
decontamination	kev quav cawv	0.611	0.538	0.573
decor	décor	0.734	0.311	0.573
decorate	dai	0.954	0.370	0.404
decorating	dai khaub ncaws	0.863	0.548	0.462
decoration	kho kom zoo nkauj	0.878	0.553	0.526
decorative	hniav	0.908	0.460	0.381
decorator	decorator	0.840	0.471	0.455
decorum	decorum	0.802	0.327	0.462
decoy	decoy	0.149	0.460	0.330
decrease	txo	0.125	0.360	0.267
decreased	poob	0.224	0.271	0.170
decreasing	txo qis	0.320	0.346	0.224
decree	decree	0.552	0.478	0.746
decrement	decrement	0.255	0.427	0.373
decrepit	tsis ntev	0.156	0.490	0.225
decry	decry	0.400	0.814	0.548
decryption	decryption	0.459	0.445	0.600
dedicate	muab dedicate	0.823	0.431	0.588
dedication	ua ke	0.867	0.471	0.682
deduce	deduce	0.490	0.510	0.466
deduct	deduct	0.355	0.330	0.412
deductible	deductible	0.375	0.286	0.455
deduction	txiav tawm	0.438	0.462	0.527
deed	puav pheej	0.520	0.320	0.592
deejay	deejay	0.551	0.630	0.473
deem	deem	0.594	0.529	0.690
deep	sib sib zog nqus	0.490	0.473	0.657
deepen	tob	0.625	0.530	0.776
deer	mos lwj	0.583	0.375	0.292
defamation	defamation	0.110	0.670	0.481
defamatory	defamatory	0.143	0.688	0.402
default	ua ntej	0.459	0.343	0.712
defeat	swb	0.092	0.500	0.224
defeated	tua yeej	0.104	0.582	0.145
defeatist	swb	0.163	0.567	0.315
defect	kho	0.135	0.561	0.185
defection	defection	0.146	0.594	0.330
defective	puas	0.122	0.580	0.274
defector	defector	0.163	0.696	0.286
defend	tiv thaiv	0.698	0.722	0.670
defendant	raug foob	0.250	0.710	0.491
defended	defended	0.663	0.451	0.582
defender	tawm tsam	0.639	0.708	0.750
defending	tiv thaiv	0.604	0.871	0.812
defense	tiv thaiv	0.652	0.698	0.802
defenseless	muaj kev tiv thaiv	0.143	0.357	0.105
defensible	defensible	0.740	0.509	0.593
defensive	tiv thaiv	0.542	0.640	0.678
defer	ncua	0.245	0.459	0.317
deference	deference	0.510	0.396	0.447
deferral	deferral	0.765	0.542	0.327
deferring	deferring	0.343	0.500	0.413
defiance	tawm tsam	0.333	0.780	0.760
defiant	defiant	0.250	0.792	0.769
defibrillator	defibrillator	0.398	0.663	0.431
deficiency	tsis muaj peev xwm	0.073	0.373	0.179
deficient	tsis muaj peev xwm	0.240	0.464	0.132
deficit	nyiaj tsawg	0.358	0.500	0.269
define	txhais	0.688	0.415	0.632
defined	txhais	0.670	0.214	0.646
definite	meej	0.708	0.292	0.741
definition	txhais	0.573	0.375	0.579
definitive	tseem ceeb	0.583	0.479	0.787
deflate	deflate	0.148	0.404	0.237
deflation	deflation	0.287	0.536	0.407
deflect	deflect	0.133	0.491	0.482
deflection	deflection	0.188	0.500	0.382
defloration	defloration	0.188	0.690	0.434
deform	deform	0.112	0.654	0.284
deformed	deformed	0.198	0.435	0.308
deformity	deformity	0.160	0.569	0.241
defraud	khib nyiab	0.175	0.635	0.314
defray	defray	0.375	0.598	0.653
defrost	defrost	0.427	0.317	0.389
deft	deft	0.719	0.575	0.849
defunct	defunct	0.112	0.491	0.272
defuse	defuse	0.167	0.480	0.430
defy	defy	0.353	0.884	0.657
degeneracy	degeneracy	0.143	0.720	0.298
degenerate	degenerate	0.069	0.724	0.264
degeneration	degeneration	0.245	0.578	0.371
degradation	degradation	0.160	0.608	0.315
degrade	degrade	0.083	0.500	0.184
degraded	degraded	0.167	0.433	0.205
degrading	kev quab yuam	0.031	0.583	0.232
degree	degree	0.724	0.365	0.663
dehydrated	dehydrated	0.310	0.685	0.212
dehydration	lub cev qhuav dej	0.188	0.472	0.259
dejected	dejected	0.104	0.654	0.347
delay	ncua	0.204	0.510	0.162
delayed	ncua	0.188	0.490	0.216
delectable	zoo	0.781	0.642	0.718
delegate	delegate	0.612	0.491	0.658
delegation	delegation	0.562	0.431	0.609
delete	rho tawm	0.292	0.298	0.409
deleterious	deleterious	0.297	0.725	0.440
deletion	deletion	0.062	0.506	0.462
deli	poob	0.561	0.448	0.447
deliberate	txhob txwm	0.551	0.654	0.682
deliberation	kev sib tham	0.561	0.678	0.596
deliberative	txhob txwm	0.392	0.552	0.573
delicacy	delicacy	0.812	0.279	0.336
delicate	muag heev	0.583	0.294	0.366
delicatessen	delicatessen	0.656	0.474	0.400
delicious	delicious	0.927	0.650	0.589
delight	zoo siab	0.949	0.666	0.647
delighted	zoo siab	0.938	0.664	0.685
delightful	zoo siab	0.918	0.735	0.644
delineate	delineate	0.448	0.430	0.445
delineation	delineation	0.521	0.402	0.314
delinquency	kev ua txhaum	0.135	0.860	0.508
delinquent	delinquent	0.051	0.904	0.500
delirious	delirious	0.219	0.774	0.538
delirium	delirium	0.233	0.694	0.484
deliver	xa	0.583	0.370	0.582
deliverance	kev xaav	0.750	0.520	0.658
delivery	yug	0.704	0.461	0.786
dell	dell	0.458	0.380	0.453
delta	Delta	0.551	0.343	0.509
delude	delude	0.143	0.627	0.353
deluge	deluge	0.245	0.714	0.612
delusion	delusion	0.344	0.647	0.400
delusional	delusional	0.219	0.745	0.327
deluxe	deluxe	0.792	0.612	0.755
delve	delve	0.469	0.529	0.684
demand	thov	0.292	0.673	0.500
demanding	xav tau	0.396	0.750	0.828
demeaned	demeaned	0.271	0.520	0.212
demeaning	kev sib cav	0.104	0.645	0.308
demeanor	demeanor	0.633	0.433	0.657
demented	demented	0.088	0.787	0.309
dementia	dementia	0.092	0.779	0.337
demise	demise	0.104	0.596	0.456
demo	demo	0.510	0.314	0.423
democracy	kev tswj hwm	0.680	0.500	0.840
democrat	democrat	0.582	0.400	0.755
democratic	kev ywj pheej	0.802	0.519	0.798
demographic	pej xeem	0.459	0.356	0.594
demolish	rhuav tshem	0.125	0.632	0.700
demolished	demolished	0.271	0.647	0.353
demolition	demolition	0.133	0.827	0.541
demon	dab	0.037	0.908	0.509
demonic	ntsujplig phem	0.146	0.875	0.600
demonstrable	demonstrable	0.735	0.471	0.749
demonstrate	ua yeeb yam	0.771	0.552	0.839
demonstrated	pom	0.617	0.500	0.649
demonstrating	qhia	0.698	0.571	0.693
demonstration	ua qauv qhia	0.551	0.676	0.679
demonstrative	pov thawj	0.656	0.528	0.736
demonstrator	demonstrator	0.520	0.598	0.733
demoralized	demoralized	0.082	0.590	0.149
demos	demos	0.418	0.370	0.368
demure	demure	0.690	0.315	0.417
den	NO TRANSLATION	0.510	0.347	0.398
deniability	kev tsim txom	0.230	0.509	0.417
denial	tsis kam	0.194	0.435	0.318
denied	tsis pom zoo	0.188	0.604	0.333
denim	denim	0.520	0.382	0.327
denomination	denomination	0.490	0.363	0.429
denominational	denominational	0.458	0.375	0.679
denominator	tus denominator	0.450	0.410	0.613
denote	txhais tau tias	0.448	0.471	0.534
denounce	ua txhaum	0.083	0.780	0.426
dense	ntom ntom	0.354	0.343	0.536
density	ceev	0.602	0.471	0.561
dent	mluav	0.306	0.606	0.325
dental	kho hniav	0.573	0.404	0.463
dentist	kws kho hniav	0.479	0.620	0.642
dentistry	kev kho hniav	0.429	0.570	0.569
dentists	kws kho hniav	0.364	0.600	0.582
denunciation	denunciation	0.146	0.830	0.561
deny	tsis kam	0.316	0.667	0.321
denying	tsis kam	0.080	0.542	0.272
deodorant	deodorant	0.480	0.265	0.269
depart	khiav tawm	0.398	0.480	0.444
departed	tawm lawm	0.245	0.536	0.391
department	department	0.708	0.358	0.642
departmental	departmental	0.612	0.422	0.446
departure	ncaim	0.573	0.500	0.426
depend	nyob ntawm seb	0.388	0.429	0.358
dependable	kom ntseeg tau	0.880	0.357	0.741
dependant	tos	0.357	0.404	0.451
dependence	kev vam khom	0.250	0.451	0.433
dependency	kev quav tshuaj	0.429	0.365	0.356
dependent	tos	0.354	0.455	0.404
depict	sau ntawv	0.663	0.529	0.723
depicting	depicting	0.490	0.566	0.602
depletion	kev poob cev qhev	0.153	0.370	0.236
deplorable	deplorable	0.135	0.657	0.230
deplore	deplore	0.135	0.575	0.373
deploy	deploy	0.500	0.520	0.585
deployment	xa mus	0.510	0.520	0.612
deport	deport	0.167	0.667	0.546
deportation	teb chaws	0.104	0.786	0.450
depose	khaws cia	0.286	0.420	0.451
deposit	tso nyiaj	0.540	0.379	0.483
depositary	tso	0.604	0.431	0.500
deposition	tso dej	0.394	0.510	0.471
depository	daim ntawv povthawj	0.551	0.373	0.481
depot	depot	0.635	0.255	0.471
depraved	poob siab	0.031	0.837	0.395
depravity	kev phem	0.115	0.854	0.453
depreciate	poob	0.270	0.623	0.445
depreciated	poob	0.135	0.672	0.250
depreciation	kev poob nqis	0.143	0.571	0.386
depress	nyuaj siab	0.219	0.635	0.528
depressed	nyuaj siab	0.024	0.445	0.136
depressing	kev nyuaj siab	0.146	0.559	0.216
depression	kev nyuaj siab	0.031	0.520	0.232
depressive	kev nyuaj siab	0.143	0.434	0.202
depresson	NO TRANSLATION	0.135	0.400	0.308
deprivation	deprivation	0.194	0.610	0.413
deprive	tsis pub ua	0.271	0.591	0.340
deprived	deprived	0.354	0.506	0.536
depth	tob	0.708	0.561	0.759
deputy	tus thawj coj	0.429	0.530	0.787
derail	derail	0.108	0.802	0.375
deranged	deranged	0.376	0.868	0.357
derelict	diselict	0.208	0.470	0.237
derision	derision	0.265	0.670	0.292
derivation	derivation	0.521	0.519	0.644
derivative	derivative	0.541	0.491	0.508
derive	muab	0.396	0.324	0.360
dermal	dermal	0.385	0.406	0.443
dermatologist	dermatologist	0.531	0.358	0.528
dermatology	dermatology	0.422	0.500	0.556
derogation	derogation	0.208	0.460	0.327
derogatory	derogatory	0.122	0.580	0.404
descend	nqis	0.385	0.535	0.231
descendant	xeeb leej xeeb ntxwv	0.684	0.420	0.625
descendent	NO TRANSLATION	0.391	0.480	0.565
descending	nqis	0.219	0.493	0.250
descent	qhovntsej thiaj tsis mob	0.300	0.402	0.158
describe	piav qhia	0.542	0.472	0.555
description	piav qhia	0.582	0.425	0.596
descriptive	piav qhia	0.667	0.352	0.570
desecrate	desecrate	0.255	0.806	0.509
desecration	desecration	0.125	0.833	0.564
desert	Desert	0.469	0.279	0.389
deserted	deserted	0.156	0.480	0.214
deserter	deserter	0.122	0.710	0.366
desertion	desertion	0.122	0.630	0.289
deserve	tsim nyog	0.802	0.436	0.613
deserved	deserved	0.781	0.582	0.689
deserving	tsim nyog	0.802	0.596	0.858
design	tsim	0.796	0.327	0.632
designate	xaiv	0.531	0.538	0.683
designated	xaiv	0.500	0.412	0.616
designation	lub npe	0.612	0.571	0.675
designed	tsim	0.745	0.380	0.595
designer	designer	0.875	0.519	0.670
designing	tsim	0.792	0.355	0.552
desirability	xav tau	0.684	0.550	0.675
desirable	ntshaw	0.740	0.735	0.750
desire	muaj siab	0.896	0.692	0.647
desiring	xav tau	0.814	0.821	0.632
desirous	ntshaw	0.719	0.824	0.562
desist	desist	0.220	0.358	0.291
desk	rooj	0.510	0.135	0.422
desolate	desolate	0.104	0.320	0.228
desolation	desolation	0.073	0.481	0.273
despair	kev poob siab	0.115	0.794	0.245
despairing	poob siab	0.073	0.735	0.286
despatch	tso tseg	0.448	0.400	0.613
desperado	desperado	0.260	0.745	0.361
desperate	xav ua kom tau	0.083	0.842	0.337
desperation	xav tau	0.125	0.904	0.419
despicable	despicable	0.146	0.710	0.255
despise	ntxub	0.167	0.745	0.296
despondent	despondent	0.133	0.378	0.221
despotic	ntxub	0.141	0.824	0.592
despotism	despotism	0.255	0.696	0.620
dessert	dessert	0.755	0.491	0.404
destination	destination	0.708	0.471	0.637
destined	destined	0.698	0.462	0.617
destiny	destiny	0.781	0.413	0.611
destitute	txom nyem	0.130	0.451	0.222
destroy	rhuav tshem	0.046	0.935	0.635
destroyed	rhuav tshem	0.031	0.696	0.288
destroyer	destroyer	0.083	0.830	0.543
destroying	rhuav tseg	0.041	0.828	0.660
destruct	puas tsuaj	0.071	0.868	0.525
destruction	kev puas tsuaj	0.102	0.929	0.613
destructive	puas tsuaj	0.177	0.870	0.713
detach	detach	0.357	0.625	0.450
detached	kas tsev txawb	0.280	0.396	0.216
detachment	detachment	0.243	0.700	0.443
detail	nthuav dav	0.514	0.406	0.528
detailed	ntxaws	0.603	0.314	0.472
details	ntsiab lus	0.583	0.367	0.481
detain	kaw	0.351	0.345	0.430
detainee	detainee	0.306	0.510	0.321
detect	ntes tau	0.531	0.520	0.565
detectable	ntes tau	0.479	0.539	0.649
detection	nrhiav tau	0.708	0.567	0.538
detective	detective	0.500	0.764	0.901
detector	ntes	0.459	0.630	0.724
detention	raug kaw	0.265	0.698	0.562
deter	deter	0.344	0.537	0.567
detergent	ntxhua khaub ncaws	0.458	0.304	0.426
