Word	Galician-gl	Valence	Arousal	Dominance
condom	preservativo	0.406	0.637	0.500
condone	condonar	0.571	0.441	0.619
condor	cóndor	0.573	0.388	0.519
conducive	conducente	0.775	0.479	0.679
conduct	conduta	0.453	0.510	0.750
conduction	condución	0.530	0.557	0.717
conductivity	condutividade	0.583	0.575	0.642
conductor	condutor	0.677	0.663	0.621
conduit	conduto	0.470	0.302	0.413
cone	cono	0.417	0.208	0.343
confederacy	Confederación	0.590	0.541	0.736
confederate	Confederado	0.551	0.546	0.792
confederation	confederación	0.663	0.404	0.830
confer	conferir	0.573	0.482	0.583
conference	conferencia	0.688	0.615	0.606
confess	confesar	0.360	0.712	0.431
confession	confesión	0.469	0.642	0.460
confessional	confesional	0.458	0.392	0.629
confessions	confesións	0.325	0.538	0.658
confetti	confeti	0.781	0.573	0.250
confidant	confidente	0.837	0.633	0.631
confide	confiar	0.669	0.472	0.595
confidence	confianza	0.959	0.276	0.943
confident	confiado	0.765	0.324	0.723
confidential	confidencial	0.643	0.471	0.761
confidentiality	confidencialidade	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	configuración	0.540	0.443	0.591
confine	confinar	0.327	0.551	0.538
confined	confinado	0.286	0.472	0.444
confinement	confinamento	0.333	0.656	0.520
confines	confins	0.396	0.386	0.542
confirm	confirmar	0.802	0.439	0.806
confirmation	confirmación	0.812	0.480	0.692
confirmatory	confirmatorio	0.656	0.500	0.683
confirmed	confirmado	0.760	0.490	0.764
confiscate	confiscar	0.250	0.625	0.482
confiscation	confiscación	0.208	0.706	0.586
conflagration	conflagración	0.344	0.721	0.594
conflict	conflito	0.335	0.906	0.471
conflicting	conflito	0.173	0.738	0.553
confluence	confluencia	0.677	0.598	0.565
conform	conforme	0.479	0.380	0.375
conformance	conformidade	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	conformidade	0.645	0.363	0.579
confound	confundir	0.347	0.529	0.333
confounded	confundido	0.333	0.528	0.264
confront	confrontar	0.281	0.760	0.746
confrontation	confrontación	0.177	0.870	0.658
confuse	confundir	0.100	0.580	0.270
confused	confundido	0.220	0.650	0.179
confusing	confuso	0.229	0.690	0.222
confusion	confusión	0.255	0.667	0.277
conga	conga	0.469	0.529	0.440
congenial	congenial	0.820	0.412	0.620
congenital	conxénita	0.448	0.434	0.427
congestion	conxestión	0.271	0.654	0.491
conglomerate	conglomerado	0.500	0.500	0.838
conglomeration	conglomeración	0.541	0.720	0.670
congrats	felicidades	0.930	0.726	0.775
congratulate	felicitar	0.927	0.724	0.784
congratulation	felicitación	0.948	0.780	0.717
congratulations	parabéns	0.960	0.755	0.719
congratulatory	felicitacións	0.959	0.616	0.689
congregate	congregar	0.653	0.530	0.733
congregation	congregación	0.561	0.490	0.700
congress	congreso	0.449	0.444	0.857
congressional	Congreso	0.552	0.491	0.848
congressman	congresista	0.438	0.471	0.877
congruence	congruencia	0.656	0.472	0.577
conic	cónica	0.510	0.368	0.379
conical	cónico	0.490	0.422	0.471
conjecture	conxectura	0.396	0.398	0.534
conjugal	conyugal	0.698	0.510	0.688
conjugate	conxugar	0.583	0.420	0.467
conjugation	conxugación	0.479	0.429	0.582
conjunction	conxunción	0.520	0.472	0.509
conjunctive	conjuntiva	0.487	0.444	0.639
conjure	conxurar	0.385	0.679	0.645
conjuring	conxurar	0.224	0.653	0.694
conk	Conk	0.340	0.469	0.404
connect	conectar	0.724	0.299	0.536
connected	conectado	0.816	0.550	0.612
connection	conexión	0.729	0.560	0.655
connective	conectivo	0.719	0.491	0.764
connoisseur	coñecedor	0.760	0.461	0.769
conquer	conquistar	0.694	0.873	0.971
conquering	conquistador	0.760	0.873	0.936
conqueror	conquistador	0.604	0.809	0.930
conquest	conquista	0.710	0.702	0.833
conscience	consciencia	0.663	0.375	0.721
conscientious	consciente	0.688	0.404	0.688
conscious	consciente	0.740	0.333	0.705
consciousness	conciencia	0.840	0.483	0.755
conscription	conscription	0.396	0.775	0.642
consecrated	consagrado	0.663	0.500	0.800
consecration	consagración	0.771	0.418	0.804
consecutive	consecutivo	0.663	0.418	0.643
consensual	consensual	0.663	0.417	0.655
consensus	consenso	0.627	0.358	0.625
consent	consentimento	0.750	0.500	0.620
consenting	consentindo	0.727	0.406	0.693
consequence	consecuencia	0.240	0.721	0.593
consequent	consecuente	0.663	0.471	0.625
conservation	conservación	0.832	0.401	0.606
conservatism	conservadurismo	0.406	0.369	0.633
conservative	conservador	0.615	0.316	0.788
conservatory	conservatorio	0.635	0.240	0.729
conserve	conservar	0.690	0.347	0.573
consider	considerar	0.677	0.368	0.579
considerable	considerable	0.653	0.314	0.683
considerate	Grazas	0.781	0.380	0.633
consideration	consideración	0.589	0.380	0.687
consignee	consignatario	0.635	0.385	0.602
consignment	envío	0.490	0.440	0.500
consist	consistir	0.823	0.386	0.580
consistency	consistencia	0.714	0.500	0.887
consistent	consistente	0.786	0.431	0.726
consolation	consolo	0.408	0.250	0.304
console	consola	0.625	0.398	0.415
consoled	consolado	0.700	0.343	0.452
consolidate	consolidar	0.880	0.440	0.870
consolidated	consolidado	0.700	0.366	0.784
consolidation	consolidación	0.604	0.445	0.776
consonant	consonante	0.500	0.347	0.417
consort	consorte	0.632	0.509	0.630
conspicuous	conspicuo	0.479	0.520	0.596
conspiracy	conspiración	0.125	0.787	0.652
conspirator	conspirador	0.271	0.786	0.707
conspire	conspirar	0.206	0.740	0.520
constable	constable	0.573	0.667	0.764
constancy	constancia	0.786	0.443	0.763
constant	constante	0.740	0.296	0.686
constantly	constantemente	0.663	0.561	0.700
constellation	constelación	0.719	0.533	0.775
consternation	consternación	0.167	0.680	0.469
constipation	constipação	0.079	0.612	0.231
constituency	circunscrición	0.500	0.480	0.696
constituent	constituyente	0.573	0.500	0.827
constituents	constituintes	0.573	0.414	0.833
constitute	constitúen	0.812	0.349	0.906
constitution	constitución	0.590	0.380	0.889
constitutional	constitucional	0.633	0.418	0.827
constitutionality	constitucionalidade	0.612	0.439	0.853
constrain	restrinxir	0.261	0.500	0.500
constrained	restrinxido	0.135	0.537	0.357
constraint	restrición	0.323	0.550	0.481
construct	construír	0.750	0.648	0.792
construction	construción	0.848	0.612	0.759
constructive	construtivo	0.860	0.570	0.812
construe	interpretar	0.602	0.519	0.553
consul	cónsul	0.573	0.354	0.688
consulate	Consulado	0.561	0.453	0.694
consult	consultar	0.755	0.370	0.441
consultant	consultor	0.770	0.344	0.808
consultation	consulta	0.660	0.463	0.625
consume	consumir	0.427	0.620	0.509
consumer	consumidor	0.507	0.551	0.677
consuming	consumindo	0.573	0.541	0.536
consummate	consumado	0.551	0.540	0.558
consummation	consumación	0.583	0.676	0.661
consumption	consumo	0.390	0.531	0.538
contact	contacto	0.719	0.424	0.526
contagion	contaxio	0.208	0.630	0.535
contagious	contaxioso	0.184	0.725	0.400
contain	contén	0.542	0.490	0.658
container	envase	0.551	0.396	0.561
containment	contención	0.411	0.491	0.618
contaminate	contaminar	0.140	0.611	0.426
contaminated	contaminado	0.040	0.500	0.368
contamination	contaminación	0.125	0.610	0.375
contemplate	contemplar	0.740	0.347	0.642
contemplation	contemplación	0.552	0.324	0.627
contemplative	contemplativo	0.729	0.308	0.739
contemporaneous	contemporáneo	0.640	0.373	0.591
contemporary	contemporáneo	0.720	0.365	0.569
contempt	desprezo	0.206	0.635	0.396
contemptible	despreciable	0.146	0.657	0.471
contemptuous	despectivo	0.204	0.500	0.375
contend	contender	0.510	0.657	0.731
contender	contendente	0.480	0.790	0.681
contending	contendendo	0.490	0.698	0.716
content	contido	0.764	0.296	0.559
contented	contento	0.857	0.612	0.746
contention	contención	0.375	0.510	0.738
contentious	controvertido	0.422	0.573	0.637
contentment	contento	0.875	0.610	0.782
contents	contidos	0.656	0.375	0.550
contest	concurso	0.667	0.698	0.717
contestant	concursante	0.760	0.530	0.602
context	contexto	0.531	0.300	0.553
contiguous	contiguo	0.375	0.450	0.500
continence	continencia	0.450	0.396	0.469
continent	continente	0.551	0.373	0.833
continental	continental	0.486	0.350	0.755
contingency	continxencia	0.396	0.500	0.670
contingent	contingente	0.470	0.531	0.659
continual	continuo	0.500	0.423	0.685
continually	continuamente	0.646	0.438	0.698
continuance	continuidade	0.729	0.510	0.652
continuation	continuación	0.615	0.470	0.566
continue	continuar	0.630	0.427	0.612
continued	continuou	0.635	0.440	0.500
continuing	continuando	0.667	0.500	0.520
continuity	continuidade	0.781	0.439	0.684
continuous	continuo	0.625	0.509	0.580
continuously	continuamente	0.719	0.417	0.702
continuum	continuo	0.677	0.390	0.491
contour	contorno	0.589	0.265	0.414
contraband	contrabando	0.177	0.875	0.670
contraception	contracepción	0.296	0.518	0.525
contract	contrato	0.594	0.412	0.636
contracted	contratado	0.344	0.557	0.449
contractile	contráctil	0.480	0.586	0.569
contracting	contratación	0.594	0.490	0.769
contraction	contracción	0.292	0.755	0.603
contractor	contratista	0.592	0.479	0.727
contradict	contradicen	0.160	0.598	0.482
contradiction	contradición	0.250	0.660	0.377
contradictory	contraditoria	0.365	0.651	0.421
contraption	contracepción	0.448	0.590	0.491
contrary	contrario	0.327	0.449	0.338
contrast	contraste	0.480	0.406	0.520
contrasted	contrastado	0.521	0.538	0.491
contravene	infrinxir	0.357	0.618	0.472
contravention	contravención	0.344	0.627	0.593
contribute	contribuír	0.806	0.350	0.795
contribution	contribución	0.854	0.452	0.760
contributor	colaborador	0.844	0.510	0.760
contrite	contrito	0.347	0.363	0.473
contrition	contrición	0.347	0.583	0.463
contrived	ideado	0.408	0.530	0.458
control	control	0.729	0.352	0.808
controller	controlador	0.469	0.712	0.868
controlling	controlando	0.490	0.441	0.885
controversial	controvertido	0.271	0.858	0.538
controversy	controversia	0.250	0.819	0.600
contusion	contusión	0.167	0.565	0.509
conundrum	enigma	0.354	0.524	0.408
convalescent	convalecente	0.458	0.480	0.269
convection	convección	0.521	0.494	0.526
convene	convocar	0.583	0.676	0.636
convenience	conveniencia	0.781	0.448	0.613
conveniences	conveniencias	0.802	0.412	0.693
convenient	conveniente	0.846	0.491	0.574
convent	convento	0.480	0.217	0.594
convention	convención	0.622	0.622	0.704
conventional	convencional	0.594	0.292	0.634
converge	converge	0.635	0.471	0.539
convergence	converxencia	0.551	0.491	0.625
convergent	converxente	0.781	0.490	0.696
conversant	conversante	0.724	0.360	0.542
conversation	conversación	0.750	0.510	0.609
conversational	conversacional	0.719	0.431	0.596
conversationalist	conversador	0.719	0.467	0.667
converse	conversar	0.594	0.406	0.598
conversing	conversando	0.755	0.409	0.442
conversion	conversión	0.480	0.605	0.736
convert	converter	0.551	0.538	0.704
converted	convertido	0.663	0.418	0.686
convertible	convertible	0.542	0.529	0.717
convex	convexo	0.438	0.427	0.445
convexity	convexidade	0.449	0.354	0.484
convey	transmitir	0.719	0.633	0.708
conveyance	transporte	0.615	0.520	0.455
conveyancing	transferencia de material	0.375	0.479	0.663
convict	convicto	0.177	0.840	0.477
conviction	convicción	0.615	0.704	0.826
convince	convencer	0.708	0.539	0.763
convinced	convencido	0.750	0.500	0.630
convincing	convincente	0.760	0.527	0.900
convocation	convocatoria	0.538	0.611	0.663
convoluted	complicado	0.323	0.614	0.433
convolution	convolución	0.417	0.559	0.527
convoy	convoy	0.500	0.671	0.639
coo	coo	0.490	0.439	0.500
cook	cociñar	0.847	0.500	0.412
cookbook	libro de receitas	0.602	0.346	0.398
cooker	cociña	0.592	0.373	0.407
cookery	cociña	0.633	0.368	0.345
cookie	cookie	0.792	0.306	0.250
cookies	cookies	0.823	0.451	0.316
cooking	cociñar	0.694	0.510	0.434
cookout	cookout	0.680	0.406	0.482
cool	xenial	0.885	0.540	0.781
coolant	refrigerante	0.720	0.412	0.456
cooler	máis frío	0.664	0.375	0.460
cooling	arrefriamento	0.469	0.324	0.392
coolness	frialdade	0.490	0.307	0.548
coon	coon	0.490	0.460	0.400
coop	coop	0.612	0.445	0.650
cooperate	cooperar	0.898	0.451	0.582
cooperating	cooperando	0.760	0.390	0.693
cooperation	cooperación	0.847	0.473	0.686
cooperative	cooperativa	0.816	0.461	0.670
coordinate	coordinar	0.698	0.429	0.694
coordination	coordinación	0.677	0.454	0.789
coordinator	coordinador	0.750	0.510	0.850
cop	policía	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	facer fronte	0.592	0.647	0.709
copier	copiadora	0.459	0.345	0.390
copilot	copiloto	0.640	0.538	0.573
coping	facer fronte	0.562	0.630	0.613
copious	abundante	0.427	0.462	0.527
copper	cobre	0.580	0.260	0.500
copter	helicóptero	0.571	0.704	0.569
copy	copia	0.460	0.240	0.263
copycat	copycat	0.449	0.580	0.443
copying	copia	0.448	0.315	0.404
copyright	copyright	0.458	0.402	0.663
coral	coral	0.802	0.231	0.425
coral snake	serpe de coral	0.276	0.712	0.607
cord	cordón	0.388	0.378	0.358
cordial	cordial	0.823	0.312	0.482
cordless	sen fíos	0.667	0.441	0.528
cordon	cordon	0.469	0.317	0.380
corduroy	panaxe	0.570	0.324	0.357
core	núcleo	0.721	0.378	0.540
cork	corcho	0.347	0.250	0.281
corkscrew	sacacorchos	0.427	0.443	0.445
corn	millo	0.594	0.196	0.292
cornball	cornball	0.479	0.378	0.325
cornbread	pan de millo	0.643	0.304	0.302
cornea	córnea	0.521	0.346	0.443
corned	corned	0.459	0.441	0.425
corner	esquina	0.400	0.296	0.366
cornerstone	pedra angular	0.550	0.388	0.596
cornet	corneta	0.507	0.520	0.415
cornfield	campo de millo	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	cornixa	0.458	0.441	0.295
cornstarch	almidón de maiz	0.643	0.299	0.337
corny	córnico	0.448	0.370	0.221
corollary	corolario	0.458	0.469	0.366
corona	coroa	0.818	0.439	0.745
coronary	coronaria	0.567	0.613	0.509
coronation	coronación	0.792	0.592	0.836
coroner	coronel	0.323	0.558	0.526
corporal	corporal	0.582	0.490	0.596
corporate	corporativo	0.592	0.454	0.745
corporation	corporación	0.429	0.332	0.873
corporeal	corpóreo	0.520	0.350	0.461
corps	corpo	0.551	0.453	0.483
corpse	cadáver	0.094	0.657	0.232
corpsman	corpsman	0.439	0.469	0.651
corpus	corpus	0.543	0.340	0.490
corral	corral	0.606	0.662	0.422
correct	correcto	0.857	0.306	0.723
correction	corrección	0.448	0.485	0.558
correctional	correccional	0.292	0.713	0.602
corrective	corrector	0.448	0.528	0.613
correctness	corrección	0.796	0.450	0.649
correlation	correlación	0.596	0.462	0.571
correlative	correlativo	0.510	0.402	0.571
correspond	corresponden	0.710	0.452	0.545
correspondence	correspondencia	0.663	0.423	0.491
correspondent	correspondente	0.573	0.565	0.712
corresponding	correspondente	0.740	0.423	0.618
corridor	corredor	0.604	0.589	0.592
corroborate	corroborar	0.671	0.471	0.616
corroboration	corroboración	0.625	0.431	0.733
corrosion	corrosión	0.156	0.610	0.348
corrosive	corrosivo	0.140	0.618	0.570
corrupt	corrupto	0.020	0.806	0.500
corrupting	corromper	0.062	0.804	0.380
corruption	corrupción	0.052	0.830	0.549
corsage	corsage	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	corsé	0.490	0.520	0.381
cortex	cortex	0.594	0.439	0.529
cortical	cortical	0.380	0.423	0.536
cortisone	cortisona	0.427	0.395	0.456
corvette	corbeta	0.551	0.520	0.598
cosmetic	cosméticos	0.625	0.304	0.308
cosmetics	cosméticos	0.765	0.464	0.472
cosmic	cósmica	0.663	0.538	0.692
cosmology	cosmoloxía	0.651	0.438	0.637
cosmopolitan	cosmopolita	0.823	0.510	0.760
cosmos	cosmos	0.860	0.478	0.664
cost	custo	0.365	0.420	0.439
costly	caro	0.316	0.650	0.642
costume	traxe	0.548	0.510	0.374
cosy	acolledor	0.847	0.255	0.518
cot	cuna	0.625	0.230	0.278
cote	cote	0.439	0.344	0.324
cottage	casa de campo	0.600	0.279	0.361
cotton	algodón	0.639	0.071	0.240
couch	sofá	0.594	0.082	0.198
cougar	puma	0.438	0.588	0.538
cough	tose	0.255	0.627	0.241
council	consello	0.875	0.279	0.635
councilman	conselleiro	0.531	0.367	0.793
counsel	avogado	0.594	0.519	0.730
counseling	asesoramento	0.667	0.480	0.704
counsellor	conselleiro	0.823	0.327	0.740
counselor	conselleiro	0.873	0.365	0.706
count	contar	0.594	0.389	0.492
countdown	conta atrás	0.438	0.692	0.490
countenance	rostro	0.635	0.440	0.690
counter	contador	0.439	0.478	0.750
counteract	contrarrestar	0.378	0.542	0.688
counterattack	contraataque	0.281	0.951	0.764
counterbalance	contrapeso	0.520	0.480	0.627
counterclaim	reconvención	0.398	0.760	0.651
counterfeit	falsificación	0.094	0.694	0.451
counterpart	contrapartida	0.448	0.608	0.577
counterpoint	contrapunto	0.438	0.509	0.538
countess	condesa	0.562	0.440	0.670
countless	incontables	0.520	0.566	0.534
country	país	0.698	0.394	0.693
countryman	paisano	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	campo	0.732	0.288	0.327
counts	conta	0.343	0.373	0.500
county	concello	0.479	0.368	0.545
coup	golpe	0.275	0.815	0.607
coupe	coupé	0.479	0.460	0.482
couple	parella	0.806	0.605	0.607
coupled	acoplado	0.612	0.286	0.650
coupling	acoplamento	0.594	0.479	0.555
coupon	cupón	0.704	0.300	0.421
courage	coraxe	0.830	0.728	0.849
courageous	valente	0.918	0.587	0.879
courier	mensaxeiro	0.551	0.383	0.441
courses	cursos	0.735	0.412	0.534
coursing	correndo	0.542	0.472	0.546
court	tribunal	0.479	0.769	0.827
courteous	cortés	0.937	0.396	0.529
courtesy	cortesía	0.927	0.287	0.431
courthouse	xulgado	0.571	0.503	0.818
courtroom	sala de xulgados	0.385	0.670	0.887
courts	xulgados	0.367	0.710	0.816
courtship	cortejo	0.667	0.490	0.654
courtside	courtside	0.592	0.391	0.434
courtyard	patio	0.503	0.365	0.355
cousin	primo	0.675	0.394	0.427
cousins	primos	0.760	0.409	0.464
cove	cala	0.500	0.304	0.370
coven	coven	0.458	0.578	0.591
covenant	pacto	0.594	0.462	0.667
cover	portada	0.365	0.240	0.471
coverage	cobertura	0.767	0.413	0.629
covered	cuberto	0.562	0.340	0.644
covering	cubrindo	0.615	0.382	0.583
covert	encuberto	0.500	0.570	0.508
covet	covet	0.302	0.779	0.524
coveted	cobizado	0.661	0.730	0.625
cow	vaca	0.449	0.230	0.300
coward	cobarde	0.102	0.490	0.149
cowardice	cobardía	0.133	0.621	0.167
cowardly	cobarde	0.102	0.385	0.127
cowboy	vaquero	0.594	0.625	0.695
cowgirl	vaquera	0.541	0.566	0.554
cowhand	cowhand	0.438	0.480	0.596
cowhide	cowhide	0.458	0.324	0.333
cowl	capota	0.427	0.450	0.232
coworker	compañeiro de traballo	0.667	0.490	0.625
coy	coy	0.347	0.330	0.213
coyote	coyote	0.459	0.471	0.387
cozy	acolledor	0.910	0.356	0.545
crab	cangrexo	0.421	0.396	0.330
crabby	crabby	0.198	0.812	0.370
crack	crack	0.302	0.625	0.400
cracked	cracked	0.224	0.520	0.228
cracker	cracker	0.604	0.343	0.346
crackerjack	crackerjack	0.567	0.509	0.426
cracking	rachaduras	0.327	0.557	0.286
crackle	crackle	0.327	0.643	0.481
crackpot	crackpot	0.260	0.602	0.245
cradle	cuna	0.776	0.194	0.333
craft	artesanía	0.760	0.321	0.539
crafts	artesanía	0.667	0.380	0.391
craftsman	artesán	0.719	0.310	0.583
craftsmanship	artesanía	0.823	0.373	0.571
crafty	astuto	0.589	0.679	0.783
craig	craig	0.448	0.449	0.490
cram	cram	0.354	0.730	0.598
crammed	amontoado	0.406	0.740	0.466
cramp	calambre	0.194	0.796	0.340
cramped	axustado	0.240	0.567	0.360
cranberry	cranberry	0.793	0.330	0.363
cranberry juice	zume de cranberry	0.622	0.321	0.281
crane	grúa	0.396	0.417	0.589
cranial	cranial	0.354	0.510	0.583
cranium	cranio	0.439	0.491	0.725
crank	manivela	0.448	0.275	0.417
cranky	irritante	0.194	0.776	0.396
cranny	cranny	0.194	0.471	0.250
crap	merda	0.083	0.644	0.167
crappy	malvado	0.039	0.582	0.208
craps	craps	0.375	0.420	0.273
crash	falla	0.194	0.906	0.355
crass	crass	0.223	0.490	0.466
crate	caixa	0.427	0.173	0.274
crater	cráter	0.450	0.647	0.529
crave	anseia	0.625	0.510	0.731
craving	desexo	0.510	0.755	0.636
crawfish	cangrexos	0.510	0.427	0.342
crawl	rastrexar	0.479	0.519	0.467
crayon	crayon	0.604	0.260	0.185
crayons	crayóns	0.684	0.366	0.405
craze	mania	0.255	0.657	0.435
crazed	enojado	0.153	0.877	0.417
craziness	tolemia	0.238	0.908	0.255
crazy	tolo	0.156	0.843	0.321
creak	cala	0.344	0.670	0.411
creaking	crujido	0.302	0.743	0.415
cream	crema	0.688	0.259	0.220
creamed	crema	0.723	0.273	0.288
creamer	crema	0.594	0.192	0.269
creamy	cremoso	0.823	0.337	0.345
crease	crease	0.440	0.286	0.300
create	crear	0.786	0.588	0.789
creation	creación	0.927	0.575	0.868
creative	creativo	0.917	0.518	0.788
creativity	creatividade	0.938	0.684	0.815
creator	creador	0.865	0.592	0.856
creature	criatura	0.669	0.625	0.620
credence	credencia	0.760	0.460	0.737
credential	credenciais	0.735	0.337	0.597
credentials	credenciais	0.708	0.373	0.675
credibility	credibilidade	0.875	0.427	0.809
credible	credível	0.917	0.441	0.750
credit	crédito	0.673	0.549	0.648
credit card	tarxeta de crédito	0.670	0.550	0.640
creditable	acreditable	0.802	0.510	0.742
credited	acreditado	0.781	0.390	0.691
crediting	acreditación	0.673	0.550	0.741
creditor	acredor	0.479	0.594	0.689
creed	credo	0.573	0.245	0.544
creek	cala	0.552	0.392	0.330
creep	creep	0.354	0.647	0.361
creeper	enredadera	0.429	0.558	0.366
creeping	arrastrándose	0.292	0.613	0.282
creepy	asustado	0.125	0.861	0.373
cremation	cremación	0.084	0.620	0.420
creole	creole	0.667	0.357	0.523
crepe	crepe	0.562	0.224	0.349
crescendo	crescendo	0.760	0.575	0.594
crescent	crecente	0.698	0.382	0.407
crest	crista	0.458	0.333	0.333
crestfallen	cresta	0.235	0.346	0.175
cretin	cretin	0.265	0.583	0.312
cretins	cretins	0.094	0.741	0.328
crevice	grieta	0.361	0.471	0.275
crew	tripulación	0.604	0.598	0.735
crewman	tripulante	0.602	0.580	0.548
crib	berce	0.653	0.240	0.407
cricket	cricket	0.423	0.539	0.370
cried	gritou	0.167	0.612	0.254
crime	delito	0.071	0.943	0.630
criminal	criminal	0.021	0.830	0.529
criminality	criminalidade	0.122	0.863	0.580
crimp	crimp	0.260	0.557	0.396
crimson	carmesí	0.667	0.385	0.370
cringe	cringe	0.245	0.840	0.377
cripple	paralizar	0.094	0.392	0.161
crippled	paralizado	0.035	0.358	0.236
crippling	paralizando	0.156	0.598	0.391
crisis	crise	0.208	0.811	0.431
crisp	crujiente	0.776	0.692	0.508
crispy	crujiente	0.656	0.550	0.509
criterion	criterio	0.396	0.410	0.736
critic	crítico	0.264	0.604	0.686
critical	crítico	0.312	0.802	0.545
criticise	criticar	0.073	0.700	0.452
criticism	críticas	0.115	0.563	0.505
criticize	criticar	0.143	0.708	0.473
criticized	criticado	0.240	0.600	0.311
critique	crítica	0.302	0.760	0.537
critter	critter	0.542	0.539	0.482
croak	croak	0.337	0.346	0.298
croc	croc	0.327	0.452	0.451
crock	crock	0.385	0.412	0.421
crockery	vajilla	0.552	0.216	0.327
crocodile	cocodrilo	0.344	0.708	0.610
croft	croft	0.531	0.429	0.421
croissant	croissant	0.745	0.330	0.430
crook	ladrón	0.171	0.765	0.550
crooked	tortuoso	0.146	0.594	0.305
crop	colleita	0.615	0.260	0.500
croquet	croquet	0.551	0.519	0.407
cross	cruz	0.448	0.321	0.569
cross country	cross country	0.531	0.441	0.529
crossbow	ballesta	0.344	0.598	0.560
crossed	cruzado	0.431	0.490	0.508
crossfire	incendio cruzado	0.316	0.896	0.722
crossing	cruzar	0.549	0.349	0.451
crossover	crossover	0.559	0.550	0.500
crosswalk	paso de peóns	0.557	0.441	0.380
crossword	crucigrama	0.611	0.423	0.455
crotch	entrepierna	0.521	0.637	0.447
crouch	agacharse	0.281	0.606	0.312
crouched	agachado	0.333	0.363	0.279
crouching	agachado	0.261	0.429	0.345
croupier	croupier	0.531	0.519	0.404
crow	corvo	0.224	0.439	0.363
crowbar	palanca	0.406	0.531	0.386
crowd	multitude	0.350	0.827	0.731
crowded	abarrotado	0.694	0.286	0.585
crowds	multitudes	0.469	0.723	0.806
crown	coroa	0.708	0.572	0.737
crowning	coroando	0.773	0.594	0.831
crucial	crucial	0.541	0.657	0.777
cruciate	cruzar	0.429	0.435	0.585
crucifix	crucifixo	0.469	0.480	0.510
crucifixion	crucifixión	0.135	0.857	0.541
crucify	crucificar	0.146	0.878	0.573
crud	cru	0.312	0.330	0.444
crude	cru	0.198	0.402	0.357
cruel	cruel	0.122	0.866	0.391
cruelly	cruelmente	0.146	0.790	0.471
cruelty	crueldade	0.092	0.836	0.536
cruise	crucero	0.740	0.442	0.683
cruise ship	Cruceiro	0.878	0.650	0.500
cruiser	crucero	0.737	0.490	0.608
cruising	cruceiro	0.886	0.580	0.560
crumb	migas	0.417	0.255	0.216
crumble	romper	0.333	0.480	0.423
crumbling	desmoronándose	0.167	0.696	0.308
crummy	cruel	0.125	0.531	0.224
crunch	cruce	0.292	0.630	0.406
crunchy	crujiente	0.625	0.560	0.539
crusade	cruzada	0.592	0.720	0.709
crusader	cruzado	0.439	0.588	0.548
crush	esmagar	0.271	0.676	0.582
crushed	esmagado	0.167	0.647	0.300
crusher	trituradora	0.271	0.709	0.598
crushing	esmagamento	0.219	0.755	0.411
crust	cortiza	0.542	0.337	0.456
crusty	crujiente	0.625	0.531	0.473
crutch	muleta	0.302	0.294	0.302
crux	crux	0.469	0.558	0.519
cry	chorar	0.133	0.627	0.255
crybaby	cribaby	0.375	0.702	0.311
crying	chorando	0.153	0.704	0.208
crypt	cripta	0.156	0.431	0.386
cryptic	críptico	0.296	0.516	0.474
cryptography	criptografía	0.490	0.415	0.650
crystal	cristal	0.618	0.270	0.508
crystalline	cristalino	0.765	0.235	0.534
crystallization	cristalización	0.600	0.449	0.565
cub	cachorro	0.646	0.382	0.284
cubby	cubby	0.354	0.385	0.360
cube	cubo	0.469	0.226	0.274
cubic	cúbico	0.458	0.306	0.407
cubicle	cubículo	0.479	0.343	0.417
cuckold	corcho	0.210	0.573	0.230
cuckoo	cogumelo	0.420	0.459	0.284
cucumber	pepino	0.490	0.235	0.237
cuddle	abrazar	0.885	0.559	0.475
cuddled	abrazado	0.906	0.547	0.567
cuddles	abrazaderas	0.847	0.382	0.500
cuddling	abrazándose	0.917	0.562	0.433
cue	cue	0.521	0.433	0.484
cuff	manguito	0.469	0.453	0.387
cuisine	cociña	0.714	0.365	0.390
culinary	culinario	0.654	0.443	0.519
cull	cull	0.365	0.702	0.464
culminate	culminar	0.667	0.550	0.602
culmination	culminación	0.656	0.586	0.695
culpability	culpabilidade	0.112	0.745	0.368
culpable	culpable	0.140	0.700	0.319
culprit	culpable	0.062	0.676	0.333
cult	culto	0.448	0.535	0.648
cultivate	cultivar	0.708	0.410	0.598
cultivated	cultivado	0.837	0.343	0.564
cultivation	cultivo	0.625	0.324	0.462
cultural	cultural	0.802	0.390	0.623
culture	cultura	0.753	0.304	0.675
cultured	culto	0.635	0.429	0.625
culvert	culvert	0.337	0.324	0.343
cumbersome	engorroso	0.259	0.623	0.292
cumulus	cumulus	0.570	0.433	0.432
cunning	astucia	0.604	0.685	0.683
cunt	coño	0.135	0.673	0.377
cup	cunca	0.615	0.167	0.231
cupboard	armario	0.553	0.200	0.304
cupcake	magdalena	0.656	0.333	0.344
