Word	Kurdish-ku	Valence	Arousal	Dominance
comp	comp	0.573	0.450	0.371
compact	gişt	0.458	0.417	0.673
compaction	peywendîdar	0.531	0.471	0.582
compactness	peyman	0.582	0.352	0.454
companion	hevala rê	0.770	0.377	0.618
companionless	heval	0.271	0.259	0.200
companionship	civat	0.833	0.438	0.792
company	şîrket	0.906	0.425	0.798
comparable	tê mûqayese	0.562	0.443	0.458
comparative	nirx	0.470	0.273	0.562
comparatively	nirx	0.604	0.391	0.538
compare	mûqayesekirin	0.552	0.408	0.524
comparison	mûqayese	0.583	0.456	0.492
compartment	liq	0.500	0.389	0.607
compass	hêlrêker	0.541	0.307	0.529
compassion	dilêşî	0.735	0.258	0.509
compassionate	dilovaniyê	0.857	0.404	0.411
compatibility	peyda kirin	0.816	0.450	0.673
compatible	liheve	0.892	0.387	0.638
compel	bistînin	0.200	0.847	0.625
compelled	mecbûr kirin	0.333	0.654	0.347
compelling	xurt	0.698	0.570	0.870
compendium	hevpeymaniyê	0.610	0.461	0.537
compensate	zîyandayin	0.612	0.429	0.762
compensation	zîyanşûndedanî	0.775	0.469	0.598
compensatory	berdêran	0.589	0.490	0.700
compete	şertgirtin	0.573	0.745	0.786
competence	zanyî	0.615	0.802	0.823
competency	qezencî	0.768	0.775	0.764
competent	zana	0.865	0.560	0.904
competition	şertgirî	0.580	0.790	0.798
competitive	qabilî şertgirtinê	0.447	0.718	0.908
competitor	gavbir	0.612	0.959	0.861
compilation	damezrandin	0.530	0.512	0.606
compile	berhevanîn	0.600	0.413	0.519
complacency	xweqayilî	0.604	0.503	0.519
complacent	xweqayil	0.625	0.452	0.518
complain	gilîkirin	0.143	0.682	0.360
complaint	gilî	0.143	0.606	0.281
complement	temamî	0.760	0.277	0.600
complementary	temamî	0.714	0.320	0.586
complete	tevî	0.750	0.414	0.809
completed	temam kirin	0.823	0.357	0.777
completely	hemû	0.730	0.370	0.690
completeness	temamî	0.823	0.433	0.769
completing	temam bikin	0.614	0.500	0.769
completion	qedandinî	0.656	0.470	0.525
complex	tevlihev	0.388	0.608	0.550
complexed	tevlihev kirin	0.312	0.577	0.612
complexion	rengê rû	0.521	0.520	0.380
complexity	tevliheviyê	0.479	0.620	0.595
compliance	bidilî	0.750	0.462	0.750
compliant	peyman	0.677	0.310	0.519
complicate	astengkirin	0.210	0.657	0.404
complicated	tevlîhev	0.211	0.660	0.455
complication	astengî	0.365	0.726	0.330
complicity	zordariyê	0.323	0.684	0.670
compliment	NO TRANSLATION	0.820	0.490	0.651
complimentary	wergirtin	0.823	0.413	0.435
comply	razîbûn	0.806	0.370	0.638
complying	peyman	0.729	0.423	0.590
compo	komo	0.500	0.346	0.390
component	perçe	0.531	0.382	0.525
compose	binivîsin	0.639	0.432	0.694
composed	pêk tê	0.684	0.385	0.682
composer	komkujî	0.822	0.588	0.691
composite	hevbeş	0.591	0.459	0.620
composition	çêkirin	0.765	0.408	0.652
compost	peyda bikin	0.480	0.404	0.441
composure	navrokî	0.802	0.354	0.717
compound	kampan	0.635	0.385	0.735
comprehend	têgihîştin	0.875	0.365	0.689
comprehension	fêhmî	0.908	0.387	0.688
comprehensive	giştane	0.796	0.385	0.644
compress	tîrkirin	0.406	0.412	0.460
compressed	xurt kirin	0.323	0.396	0.388
compressible	dakêşin	0.622	0.392	0.585
compression	têkildar	0.646	0.521	0.579
compressor	compressor	0.418	0.481	0.630
comprise	pêk tê	0.839	0.373	0.669
compromise	tesk	0.677	0.520	0.805
comptroller	comptroller	0.402	0.481	0.866
compulsion	mecbûrî	0.118	0.760	0.604
compulsive	zorane	0.347	0.871	0.573
compulsory	emirwaqî	0.343	0.541	0.791
computable	hevbeş	0.570	0.402	0.545
computation	hevbigere	0.583	0.429	0.697
compute	danûstandin	0.531	0.408	0.564
computer	komûter	0.802	0.356	0.639
computerized	komputerî	0.677	0.450	0.657
computing	komputer	0.745	0.398	0.695
comrade	nas	0.781	0.412	0.804
con	NO TRANSLATION	0.255	0.736	0.427
concatenation	kongreyê	0.480	0.593	0.539
concave	kişandin	0.441	0.349	0.349
conceal	veşartin	0.312	0.436	0.306
concealed	veşartin	0.344	0.363	0.352
concealment	veşartin	0.302	0.570	0.390
concede	mûkirhatin	0.670	0.324	0.473
conceit	bifikirin	0.354	0.625	0.309
conceited	pozbilind	0.194	0.667	0.473
conceivable	balkêş	0.730	0.350	0.613
conceive	wergirtin	0.708	0.538	0.700
concentrate	lisersekinîn	0.750	0.439	0.743
concentration	lisersekinî	0.735	0.500	0.722
concentric	giran	0.730	0.479	0.635
concept	reşik	0.573	0.265	0.632
conception	pêşkêşî	0.694	0.490	0.614
concern	şik	0.250	0.734	0.463
concerned	eleqedar e	0.292	0.698	0.350
concert	konsêr	0.938	0.867	0.718
concerto	konserê	0.613	0.759	0.679
concession	tawîz	0.588	0.423	0.615
concessional	berbiçav	0.770	0.493	0.657
conch	conch	0.583	0.306	0.339
concierge	kanserê	0.480	0.343	0.343
conciliation	peywendîdar	0.792	0.475	0.726
concise	tam	0.583	0.298	0.620
conclave	konferansê	0.573	0.440	0.611
conclude	qedandin	0.530	0.267	0.679
concluding	encamê	0.531	0.382	0.603
conclusion	xelasî	0.615	0.377	0.659
conclusive	dawîtirî	0.500	0.427	0.745
concoction	koncalan	0.448	0.459	0.417
concomitant	karsaziyê	0.427	0.482	0.727
concord	konserê	0.677	0.320	0.586
concordance	hevpeymaniyê	0.625	0.358	0.608
concours	NO TRANSLATION	0.500	0.530	0.495
concourse	konserê	0.740	0.657	0.528
concrete	beton	0.633	0.420	0.547
concubine	kişandin	0.388	0.594	0.476
concur	kurt	0.459	0.394	0.429
concurrence	nîqaş	0.764	0.627	0.613
concurrent	hevdem	0.573	0.547	0.741
concurring	hevdîtinê	0.573	0.600	0.681
concussion	mejîleqî	0.072	0.708	0.482
condemn	mehkûmkirin	0.102	0.793	0.625
condemnation	cezadanî	0.133	0.725	0.449
condensation	tîrkirî	0.510	0.316	0.538
condensed	kişandin	0.598	0.415	0.623
condescending	şermezar kirin	0.583	0.363	0.593
condescension	kişandin	0.521	0.377	0.565
condiment	cenazeyê	0.520	0.333	0.433
condition	rewş	0.500	0.469	0.519
conditional	şertî	0.521	0.343	0.556
conditionally	cûda	0.396	0.419	0.617
conditioned	şert kirin	0.490	0.417	0.616
conditioner	şertê	0.781	0.360	0.538
conditioning	kişandin	0.440	0.468	0.617
conditions	şertên	0.551	0.441	0.593
condo	condo	0.439	0.288	0.607
condolence	şermezariyê	0.260	0.443	0.404
condolences	beşdarî	0.198	0.480	0.288
condom	kondom	0.406	0.637	0.500
condone	destûrdan	0.571	0.441	0.619
condor	kondor	0.573	0.388	0.519
conducive	çêbikin	0.775	0.479	0.679
conduct	perwerdetî	0.453	0.510	0.750
conduction	veguherîn	0.530	0.557	0.717
conductivity	tevger	0.583	0.575	0.642
conductor	serek	0.677	0.663	0.621
conduit	conduit	0.470	0.302	0.413
cone	cone	0.417	0.208	0.343
confederacy	konfederasyona	0.590	0.541	0.736
confederate	konfederer	0.551	0.546	0.792
confederation	bend	0.663	0.404	0.830
confer	hevşêwirîn	0.573	0.482	0.583
conference	şêwre	0.688	0.615	0.606
confess	qebûlkirin	0.360	0.712	0.431
confession	mûkir	0.469	0.642	0.460
confessional	berbiçav	0.458	0.392	0.629
confessions	hiqûqa	0.325	0.538	0.658
confetti	confetti	0.781	0.573	0.250
confidant	xilas	0.837	0.633	0.631
confide	bawerpêanîn	0.669	0.472	0.595
confidence	bawerî	0.959	0.276	0.943
confident	bigûman	0.765	0.324	0.723
confidential	bawerane	0.643	0.471	0.761
confidentiality	veşartî	0.667	0.431	0.718
confidentially	NO TRANSLATION	0.633	0.469	0.558
configuration	veguherîn	0.540	0.443	0.591
confine	kêmkirin	0.327	0.551	0.538
confined	sînor	0.286	0.472	0.444
confinement	girtîyî	0.333	0.656	0.520
confines	binpêkirin	0.396	0.386	0.542
confirm	tesdîqkirin	0.802	0.439	0.806
confirmation	tesdîq	0.812	0.480	0.692
confirmatory	piştrastkirin	0.656	0.500	0.683
confirmed	pejirandin	0.760	0.490	0.764
confiscate	jidestgirtin	0.250	0.625	0.482
confiscation	destserdayinî	0.208	0.706	0.586
conflagration	pevçûn	0.344	0.721	0.594
conflict	şer	0.335	0.906	0.471
conflicting	naqok	0.173	0.738	0.553
confluence	konhev	0.677	0.598	0.565
conform	bistînin	0.479	0.380	0.375
conformance	peymana	0.608	0.278	0.254
conformation	NO TRANSLATION	0.622	0.435	0.711
conformity	nirxandin	0.645	0.363	0.579
confound	tengahî	0.347	0.529	0.333
confounded	tengahî	0.333	0.528	0.264
confront	berrûdan	0.281	0.760	0.746
confrontation	berrûtî	0.177	0.870	0.658
confuse	şaşkirin	0.100	0.580	0.270
confused	şaş	0.220	0.650	0.179
confusing	şaşkir	0.229	0.690	0.222
confusion	tevlihev	0.255	0.667	0.277
conga	conga	0.469	0.529	0.440
congenial	pîrozbahî	0.820	0.412	0.620
congenital	pîrozbahiyê	0.448	0.434	0.427
congestion	xetim	0.271	0.654	0.491
conglomerate	konglomerate	0.500	0.500	0.838
conglomeration	konglomeration	0.541	0.720	0.670
congrats	pîroz dikin	0.930	0.726	0.775
congratulate	pîrozkirin	0.927	0.724	0.784
congratulation	pîroz kir	0.948	0.780	0.717
congratulations	pîrozî	0.960	0.755	0.719
congratulatory	pîroz kirin	0.959	0.616	0.689
congregate	civîn	0.653	0.530	0.733
congregation	civîn	0.561	0.490	0.700
congress	kongre	0.449	0.444	0.857
congressional	kongreya	0.552	0.491	0.848
congressman	kongreya	0.438	0.471	0.877
congruence	congruence	0.656	0.472	0.577
conic	conic	0.510	0.368	0.379
conical	şikilî	0.490	0.422	0.471
conjecture	texmînkirin	0.396	0.398	0.534
conjugal	conjugal	0.698	0.510	0.688
conjugate	xemgîniyê	0.583	0.420	0.467
conjugation	qirêj	0.479	0.429	0.582
conjunction	peywendîdar	0.520	0.472	0.509
conjunctive	peywendîdar	0.487	0.444	0.639
conjure	mizgîniyê	0.385	0.679	0.645
conjuring	berbiçav	0.224	0.653	0.694
conk	conk	0.340	0.469	0.404
connect	bihevgirêdan	0.724	0.299	0.536
connected	girêdayî ye	0.816	0.550	0.612
connection	têkêlî	0.729	0.560	0.655
connective	pêwendîdar	0.719	0.491	0.764
connoisseur	pispor	0.760	0.461	0.769
conquer	dagirtin	0.694	0.873	0.971
conquering	conquering	0.760	0.873	0.936
conqueror	winner	0.604	0.809	0.930
conquest	dagirî	0.710	0.702	0.833
conscience	wijdan	0.663	0.375	0.721
conscientious	dilsoz	0.688	0.404	0.688
conscious	bîrbir	0.740	0.333	0.705
consciousness	bîrbirî	0.840	0.483	0.755
conscription	derxistin	0.396	0.775	0.642
consecrated	rûniştin	0.663	0.500	0.800
consecration	rûniştin	0.771	0.418	0.804
consecutive	berdewam dike	0.663	0.418	0.643
consensual	biseketin	0.663	0.417	0.655
consensus	lihevhatinê	0.627	0.358	0.625
consent	razîbûn	0.750	0.500	0.620
consenting	pejirandin	0.727	0.406	0.693
consequence	paşî	0.240	0.721	0.593
consequent	encam	0.663	0.471	0.625
conservation	parazî	0.832	0.401	0.606
conservatism	konservatîzmê	0.406	0.369	0.633
conservative	kevneperest	0.615	0.316	0.788
conservatory	muxalefetê	0.635	0.240	0.729
conserve	biparêzin	0.690	0.347	0.573
consider	dîtin	0.677	0.368	0.579
considerable	navbideng	0.653	0.314	0.683
considerate	baldar	0.781	0.380	0.633
consideration	ponijîn	0.589	0.380	0.687
consignee	xerîb	0.635	0.385	0.602
consignment	xistin	0.490	0.440	0.500
consist	jê pêkhatin	0.823	0.386	0.580
consistency	berdewam	0.714	0.500	0.887
consistent	hevhatî	0.786	0.431	0.726
consolation	xwarina	0.408	0.250	0.304
console	console	0.625	0.398	0.415
consoled	xistin	0.700	0.343	0.452
consolidate	têkêlîdanîn	0.880	0.440	0.870
consolidated	xurt kirin	0.700	0.366	0.784
consolidation	xurtkirin	0.604	0.445	0.776
consonant	dengdêr	0.500	0.347	0.417
consort	konser	0.632	0.509	0.630
conspicuous	berbiçav	0.479	0.520	0.596
conspiracy	dilnexwazî	0.125	0.787	0.652
conspirator	dagirker	0.271	0.786	0.707
conspire	karmendiyê	0.206	0.740	0.520
constable	pûlis	0.573	0.667	0.764
constancy	domdar	0.786	0.443	0.763
constant	çikyayî	0.740	0.296	0.686
constantly	berdewam	0.663	0.561	0.700
constellation	navîn	0.719	0.533	0.775
consternation	hevpeymaniyê	0.167	0.680	0.469
constipation	xetimandinî	0.079	0.612	0.231
constituency	hilbijartin	0.500	0.480	0.696
constituent	rûniştin	0.573	0.500	0.827
constituents	nûnerên	0.573	0.414	0.833
constitute	pêk tê	0.812	0.349	0.906
constitution	qanunê asasî	0.590	0.380	0.889
constitutional	destûra bingehîn	0.633	0.418	0.827
constitutionality	destûra bingehîn	0.612	0.439	0.853
constrain	asteng	0.261	0.500	0.500
constrained	asteng kirin	0.135	0.537	0.357
constraint	asteng	0.323	0.550	0.481
construct	avakirin	0.750	0.648	0.792
construction	avahî	0.848	0.612	0.759
constructive	çêbikin	0.860	0.570	0.812
construe	binpêkirin	0.602	0.519	0.553
consul	sefîr	0.573	0.354	0.688
consulate	sefaret	0.561	0.453	0.694
consult	şêwirdan	0.755	0.370	0.441
consultant	şêwirda	0.770	0.344	0.808
consultation	şêwir	0.660	0.463	0.625
consume	bistînin	0.427	0.620	0.509
consumer	serfkariyê	0.507	0.551	0.677
consuming	xwarin	0.573	0.541	0.536
consummate	kişandin	0.551	0.540	0.558
consummation	xemgîniyê	0.583	0.676	0.661
consumption	xerc	0.390	0.531	0.538
contact	têkelî	0.719	0.424	0.526
contagion	nakokî	0.208	0.630	0.535
contagious	dersbasdibe	0.184	0.725	0.400
contain	bêdengman	0.542	0.490	0.658
container	têrr	0.551	0.396	0.561
containment	naverok	0.411	0.491	0.618
contaminate	gemarkirin	0.140	0.611	0.426
contaminated	xwarinê	0.040	0.500	0.368
contamination	gemarkirî	0.125	0.610	0.375
contemplate	lênerrîn	0.740	0.347	0.642
contemplation	lenerrînî	0.552	0.324	0.627
contemplative	dilsoz	0.729	0.308	0.739
contemporaneous	hevdem	0.640	0.373	0.591
contemporary	hevdem	0.720	0.365	0.569
contempt	riswa	0.206	0.635	0.396
contemptible	riswane	0.146	0.657	0.471
contemptuous	nefret	0.204	0.500	0.375
contend	nakin	0.510	0.657	0.731
contender	muxalefetê	0.480	0.790	0.681
contending	têkoşîn	0.490	0.698	0.716
content	dilşad	0.764	0.296	0.559
contented	naverok	0.857	0.612	0.746
contention	naverok	0.375	0.510	0.738
contentious	celeb	0.422	0.573	0.637
contentment	naverok	0.875	0.610	0.782
contents	naverok	0.656	0.375	0.550
contest	qebûlnekirin	0.667	0.698	0.717
contestant	kampanyar	0.760	0.530	0.602
context	hevgirêk	0.531	0.300	0.553
contiguous	balkêş	0.375	0.450	0.500
continence	domdar	0.450	0.396	0.469
continent	qite	0.551	0.373	0.833
continental	navîn	0.486	0.350	0.755
contingency	zehmetiyê	0.396	0.500	0.670
contingent	kişandin	0.470	0.531	0.659
continual	domdar	0.500	0.423	0.685
continually	herdem	0.646	0.438	0.698
continuance	berdewam dike	0.729	0.510	0.652
continuation	berdewam	0.615	0.470	0.566
continue	berdewamkirin	0.630	0.427	0.612
continued	berdewam dike	0.635	0.440	0.500
continuing	berdewam dike	0.667	0.500	0.520
continuity	domdariyê	0.781	0.439	0.684
continuous	bêbirrînî	0.625	0.509	0.580
continuously	berdewam	0.719	0.417	0.702
continuum	berdewam	0.677	0.390	0.491
contour	xet	0.589	0.265	0.414
contraband	malê reş	0.177	0.875	0.670
contraception	xweparastina bo zarokan	0.296	0.518	0.525
contract	peyman	0.594	0.412	0.636
contracted	peyman	0.344	0.557	0.449
contractile	peymanê	0.480	0.586	0.569
contracting	peyman	0.594	0.490	0.769
contraction	êşa zayinê	0.292	0.755	0.603
contractor	peymanek	0.592	0.479	0.727
contradict	naqokîn	0.160	0.598	0.482
contradiction	naqok	0.250	0.660	0.377
contradictory	nakokî	0.365	0.651	0.421
contraption	krîza	0.448	0.590	0.491
contrary	dij	0.327	0.449	0.338
contrast	dijîtî	0.480	0.406	0.520
contrasted	nakokî	0.521	0.538	0.491
contravene	şermezar dikin	0.357	0.618	0.472
contravention	nakokî	0.344	0.627	0.593
contribute	paraxwe dayin	0.806	0.350	0.795
contribution	beş	0.854	0.452	0.760
contributor	Beşdarvan	0.844	0.510	0.760
contrite	kêşik	0.347	0.363	0.473
contrition	pevçûn	0.347	0.583	0.463
contrived	tevlihev kirin	0.408	0.530	0.458
control	kontrol	0.729	0.352	0.808
controller	kontrolker	0.469	0.712	0.868
controlling	kontrolkirin	0.490	0.441	0.885
controversial	nakokî	0.271	0.858	0.538
controversy	pirsa mûnaqaşê	0.250	0.819	0.600
contusion	tevlihev	0.167	0.565	0.509
conundrum	konundrum	0.354	0.524	0.408
convalescent	qezencê	0.458	0.480	0.269
convection	tevlîhevkirinê	0.521	0.494	0.526
convene	civandin	0.583	0.676	0.636
convenience	xweşî	0.781	0.448	0.613
conveniences	bicihanîna	0.802	0.412	0.693
convenient	erzan	0.846	0.491	0.574
convent	konventoyê	0.480	0.217	0.594
convention	adet	0.622	0.622	0.704
conventional	kevneşopî	0.594	0.292	0.634
converge	nirxandin	0.635	0.471	0.539
convergence	nimûne	0.551	0.491	0.625
convergent	nifş	0.781	0.490	0.696
conversant	peywendîdar	0.724	0.360	0.542
conversation	kêfî	0.750	0.510	0.609
conversational	peywendiyê	0.719	0.431	0.596
conversationalist	peywendîdar	0.719	0.467	0.667
converse	danûstandin	0.594	0.406	0.598
conversing	axaftin	0.755	0.409	0.442
conversion	gûhertinî	0.480	0.605	0.736
convert	gûhertin	0.551	0.538	0.704
converted	guhertin	0.663	0.418	0.686
convertible	guhertin	0.542	0.529	0.717
convex	convex	0.438	0.427	0.445
convexity	maqûl	0.449	0.354	0.484
convey	barkirin	0.719	0.633	0.708
conveyance	ragihandin	0.615	0.520	0.455
conveyancing	ragihandin	0.375	0.479	0.663
convict	girtîya sucdar	0.177	0.840	0.477
conviction	mehkûmkirinî	0.615	0.704	0.826
convince	qanihkirin	0.708	0.539	0.763
convinced	bawerî	0.750	0.500	0.630
convincing	qanihkir	0.760	0.527	0.900
convocation	kongreyê	0.538	0.611	0.663
convoluted	qewimandin	0.323	0.614	0.433
convolution	biryara	0.417	0.559	0.527
convoy	konafoyek	0.500	0.671	0.639
coo	coo	0.490	0.439	0.500
cook	aşbaz	0.847	0.500	0.412
cookbook	cookbook	0.602	0.346	0.398
cooker	xwarinê	0.592	0.373	0.407
cookery	xwarinê	0.633	0.368	0.345
cookie	cookie	0.792	0.306	0.250
cookies	cookie	0.823	0.451	0.316
cooking	xwarinê	0.694	0.510	0.434
cookout	xwarinê	0.680	0.406	0.482
cool	xwînsar	0.885	0.540	0.781
coolant	coolant	0.720	0.412	0.456
cooler	cooler	0.664	0.375	0.460
cooling	şîn	0.469	0.324	0.392
coolness	şîn	0.490	0.307	0.548
coon	coon	0.490	0.460	0.400
coop	coop	0.612	0.445	0.650
cooperate	hevkarkirîn	0.898	0.451	0.582
cooperating	hevkariyê	0.760	0.390	0.693
cooperation	hevkarî	0.847	0.473	0.686
cooperative	amadeyê alîkarî	0.816	0.461	0.670
coordinate	liberhevxistin	0.698	0.429	0.694
coordination	liberhevxistini	0.677	0.454	0.789
coordinator	hevrêzker	0.750	0.510	0.850
cop	cop	0.327	0.770	0.836
copacetic	NO TRANSLATION	0.510	0.471	0.453
cope	biparêze	0.592	0.647	0.709
copier	copier	0.459	0.345	0.390
copilot	kapilot	0.640	0.538	0.573
coping	veguhestin	0.562	0.630	0.613
copious	neheq	0.427	0.462	0.527
copper	sifir	0.580	0.260	0.500
copter	copter	0.571	0.704	0.569
copy	kopî	0.460	0.240	0.263
copycat	kapîtal	0.449	0.580	0.443
copying	kopîkirin	0.448	0.315	0.404
copyright	kopîkirinê	0.458	0.402	0.663
coral	darê kevirî nav avê	0.802	0.231	0.425
coral snake	maral	0.276	0.712	0.607
cord	ben	0.388	0.378	0.358
cordial	cordial	0.823	0.312	0.482
cordless	bêhêz	0.667	0.441	0.528
cordon	cordon	0.469	0.317	0.380
corduroy	corduroy	0.570	0.324	0.357
core	navik	0.721	0.378	0.540
cork	depik	0.347	0.250	0.281
corkscrew	depikkêş	0.427	0.443	0.445
corn	garis	0.594	0.196	0.292
cornball	kornbolê	0.479	0.378	0.325
cornbread	mirinê	0.643	0.304	0.302
cornea	kornea	0.521	0.346	0.443
corned	borîn	0.459	0.441	0.425
corner	qozî	0.400	0.296	0.366
cornerstone	kevir	0.550	0.388	0.596
cornet	kornet	0.507	0.520	0.415
cornfield	kelefê	0.719	0.310	0.349
cornflakes	NO TRANSLATION	0.729	0.346	0.355
cornice	kulikê	0.458	0.441	0.295
cornstarch	kevir	0.643	0.299	0.337
corny	kêr	0.448	0.370	0.221
corollary	qirêj	0.458	0.469	0.366
corona	corona	0.818	0.439	0.745
coronary	qonax	0.567	0.613	0.509
coronation	tackirinî	0.792	0.592	0.836
coroner	coroner	0.323	0.558	0.526
corporal	serdestê leşkerî	0.582	0.490	0.596
corporate	karsaziyê	0.592	0.454	0.745
corporation	dayre	0.429	0.332	0.873
corporeal	corporeal	0.520	0.350	0.461
corps	corps	0.551	0.453	0.483
corpse	laş	0.094	0.657	0.232
corpsman	corpsman	0.439	0.469	0.651
corpus	corpus	0.543	0.340	0.490
corral	coral	0.606	0.662	0.422
correct	serrast	0.857	0.306	0.723
correction	serrastkirî	0.448	0.485	0.558
correctional	çêkirin	0.292	0.713	0.602
corrective	rastîn	0.448	0.528	0.613
correctness	rastiyê	0.796	0.450	0.649
correlation	têkiliyê	0.596	0.462	0.571
correlative	correlative	0.510	0.402	0.571
correspond	bicihanîn	0.710	0.452	0.545
correspondence	lihevhatinî	0.663	0.423	0.491
correspondent	nûçevan	0.573	0.565	0.712
corresponding	gorî	0.740	0.423	0.618
corridor	berpê	0.604	0.589	0.592
corroborate	şaş kirin	0.671	0.471	0.616
corroboration	peyda kirin	0.625	0.431	0.733
corrosion	şewitandin	0.156	0.610	0.348
corrosive	kişandin	0.140	0.618	0.570
corrupt	bertîlgir	0.020	0.806	0.500
corrupting	berbiçav	0.062	0.804	0.380
corruption	bertîlgirî	0.052	0.830	0.549
corsage	xezebê	0.510	0.294	0.397
corse	NO TRANSLATION	0.448	0.451	0.382
corset	corset	0.490	0.520	0.381
cortex	cortex	0.594	0.439	0.529
cortical	cortical	0.380	0.423	0.536
cortisone	cortisone	0.427	0.395	0.456
corvette	kovar	0.551	0.520	0.598
cosmetic	kozmetîk	0.625	0.304	0.308
cosmetics	kozmetîk	0.765	0.464	0.472
cosmic	cosmic	0.663	0.538	0.692
cosmology	cosmolojiyê	0.651	0.438	0.637
cosmopolitan	cosmopolitan	0.823	0.510	0.760
cosmos	cosmos	0.860	0.478	0.664
cost	nirx	0.365	0.420	0.439
costly	biha	0.316	0.650	0.642
costume	lebas	0.548	0.510	0.374
cosy	kurt	0.847	0.255	0.518
cot	cot	0.625	0.230	0.278
cote	cote	0.439	0.344	0.324
cottage	kozik	0.600	0.279	0.361
cotton	pembo	0.639	0.071	0.240
couch	şewitandin	0.594	0.082	0.198
cougar	kovar	0.438	0.588	0.538
cough	kûxîn	0.255	0.627	0.241
council	pêşnîyar	0.875	0.279	0.635
councilman	parlamentoyê	0.531	0.367	0.793
counsel	pêşnîyardanî	0.594	0.519	0.730
counseling	şêwirmendî	0.667	0.480	0.704
counsellor	pêşnîyarvan	0.823	0.327	0.740
counselor	pêşnîyarvan	0.873	0.365	0.706
count	jimartin	0.594	0.389	0.492
countdown	derxistin	0.438	0.692	0.490
countenance	hejmar	0.635	0.440	0.690
counter	masa dûkanan	0.439	0.478	0.750
counteract	berbiçav	0.378	0.542	0.688
counterattack	dijwar	0.281	0.951	0.764
counterbalance	dijberî	0.520	0.480	0.627
counterclaim	şermezar bikin	0.398	0.760	0.651
counterfeit	qelp	0.094	0.694	0.451
counterpart	hevpeyman	0.448	0.608	0.577
counterpoint	pevçûn	0.438	0.509	0.538
countess	hejmar	0.562	0.440	0.670
countless	bêjimar	0.520	0.566	0.534
country	welat	0.698	0.394	0.693
countryman	welatekî	0.673	0.441	0.789
countrymusic	NO TRANSLATION	0.795	0.451	0.438
countryside	welatiyan	0.732	0.288	0.327
counts	hesab	0.343	0.373	0.500
county	wîlayetê	0.479	0.368	0.545
coup	kûpa	0.275	0.815	0.607
coupe	kopî	0.479	0.460	0.482
couple	cotik	0.806	0.605	0.607
coupled	hev	0.612	0.286	0.650
coupling	peyda kirin	0.594	0.479	0.555
coupon	coupon	0.704	0.300	0.421
courage	cesaret	0.830	0.728	0.849
courageous	cesûr	0.918	0.587	0.879
courier	xwarinê	0.551	0.383	0.441
courses	kursên	0.735	0.412	0.534
coursing	dadgehê	0.542	0.472	0.546
court	dadgeh	0.479	0.769	0.827
courteous	dadgehê	0.937	0.396	0.529
courtesy	dilnizmî	0.927	0.287	0.431
courthouse	dadxane	0.571	0.503	0.818
courtroom	jûra dadgehê	0.385	0.670	0.887
courts	dadgeh	0.367	0.710	0.816
courtship	dadgeh	0.667	0.490	0.654
courtside	dadgehê	0.592	0.391	0.434
courtyard	hewş	0.503	0.365	0.355
cousin	pismam	0.675	0.394	0.427
cousins	kelez	0.760	0.409	0.464
cove	cove	0.500	0.304	0.370
coven	cenazeyê	0.458	0.578	0.591
covenant	Peymanê	0.594	0.462	0.667
cover	lihêv	0.365	0.240	0.471
coverage	kişandin	0.767	0.413	0.629
covered	derxistin	0.562	0.340	0.644
covering	derxistin	0.615	0.382	0.583
covert	kişandin	0.500	0.570	0.508
covet	covet	0.302	0.779	0.524
coveted	betal kirin	0.661	0.730	0.625
cow	çêlek	0.449	0.230	0.300
coward	tirsonek	0.102	0.490	0.149
cowardice	xerîb	0.133	0.621	0.167
cowardly	xemgîniyê	0.102	0.385	0.127
cowboy	kovî	0.594	0.625	0.695
cowgirl	cowgirl	0.541	0.566	0.554
cowhand	xwarin	0.438	0.480	0.596
cowhide	çermê	0.458	0.324	0.333
cowl	xwar	0.427	0.450	0.232
coworker	hevalkar	0.667	0.490	0.625
coy	coy	0.347	0.330	0.213
coyote	sehê bejî	0.459	0.471	0.387
cozy	kurt	0.910	0.356	0.545
crab	kevcal	0.421	0.396	0.330
crabby	krîza	0.198	0.812	0.370
crack	çîr	0.302	0.625	0.400
cracked	şikandin	0.224	0.520	0.228
cracker	qirêj	0.604	0.343	0.346
crackerjack	crackerjack	0.567	0.509	0.426
cracking	şewitandin	0.327	0.557	0.286
crackle	qirêj	0.327	0.643	0.481
crackpot	crackpot	0.260	0.602	0.245
cradle	dergûş	0.776	0.194	0.333
craft	craft	0.760	0.321	0.539
crafts	crafts	0.667	0.380	0.391
craftsman	destemel	0.719	0.310	0.583
craftsmanship	craftsmanship	0.823	0.373	0.571
crafty	rûvî	0.589	0.679	0.783
craig	craig	0.448	0.449	0.490
cram	cram	0.354	0.730	0.598
crammed	xemgîn	0.406	0.740	0.466
cramp	tîrêş	0.194	0.796	0.340
cramped	xemgîn kirin	0.240	0.567	0.360
cranberry	cranberry	0.793	0.330	0.363
cranberry juice	juê kronê	0.622	0.321	0.281
crane	qûling	0.396	0.417	0.589
cranial	cranial	0.354	0.510	0.583
cranium	cranium	0.439	0.491	0.725
crank	crank	0.448	0.275	0.417
cranky	cranky	0.194	0.776	0.396
cranny	cranny	0.194	0.471	0.250
crap	crap	0.083	0.644	0.167
crappy	xemgîn	0.039	0.582	0.208
craps	craps	0.375	0.420	0.273
crash	qeza	0.194	0.906	0.355
crass	krîza	0.223	0.490	0.466
crate	qirikê	0.427	0.173	0.274
