Word	Serbian-sr	Valence	Arousal	Dominance
electric slide	електрични слајд	0.542	0.660	0.536
electrical	електрични	0.531	0.620	0.688
electrician	електричар	0.449	0.590	0.620
electricity	електрична енергија	0.698	0.810	0.733
electrify	електрификација	0.520	0.769	0.737
electrocute	електро струја	0.271	0.731	0.555
electrocution	електрични удар	0.177	0.844	0.692
electromagnetic	електромагнетски	0.531	0.632	0.683
electron	електрон	0.520	0.455	0.560
electronic	електронски	0.571	0.490	0.704
electronics	електроника	0.708	0.545	0.574
elegance	елеганција	0.918	0.396	0.824
elegant	елегантно	0.865	0.500	0.685
element	елемент	0.531	0.259	0.481
elemental	елементал	0.627	0.306	0.711
elementary	елементарно	0.594	0.286	0.686
elements	елементи	0.510	0.312	0.462
elephant	слон	0.531	0.510	0.615
elevate	подигните	0.812	0.500	0.804
elevated	повишен	0.704	0.594	0.620
elevation	надморска висина	0.760	0.759	0.711
elevator	лифт	0.562	0.604	0.676
eleven	Једанаест	0.449	0.250	0.430
eleventh	једанаестог	0.594	0.329	0.357
elf	елф	0.460	0.457	0.315
elicit	Изнети	0.406	0.594	0.658
eligible	квалификован	0.750	0.400	0.518
eliminate	елиминирати	0.265	0.670	0.324
elimination	елиминација	0.052	0.667	0.431
elite	елита	0.688	0.704	0.737
elitist	елитиста	0.500	0.606	0.656
elixir	еликир	0.708	0.587	0.604
elk	елк	0.439	0.337	0.340
ell	елл	0.469	0.418	0.373
ellipse	елипсе	0.531	0.410	0.479
ellipsis	елипса	0.653	0.358	0.314
ellipsoid	елипсоид	0.500	0.440	0.419
elliptic	елиптични	0.500	0.431	0.528
elliptical	елиптични	0.338	0.385	0.490
elm	елм	0.510	0.345	0.321
elongate	издужени	0.583	0.385	0.540
elongation	елонгација	0.561	0.500	0.500
elope	побјећи	0.396	0.694	0.528
eloquence	елоквентност	0.729	0.490	0.804
eloquent	елоквентан	0.870	0.680	0.741
elucidate	елуцидате	0.583	0.509	0.518
elucidation	разјашњење	0.650	0.574	0.586
elude	елуде	0.438	0.521	0.464
elusive	неодољив	0.229	0.615	0.466
emaciated	емациатед	0.103	0.541	0.151
email	емаил	0.698	0.230	0.456
emanate	еманирати	0.653	0.464	0.554
emancipation	еманципација	0.704	0.684	0.763
embankment	насип	0.677	0.438	0.436
embargo	NO TRANSLATION	0.229	0.564	0.443
embark	ухватити се	0.541	0.550	0.619
embarrass	срамота	0.082	0.667	0.364
embarrassed	срамота	0.184	0.560	0.246
embarrassing	посрамљујући	0.226	0.809	0.225
embarrassment	срамота	0.143	0.685	0.226
embassy	амбасада	0.622	0.333	0.758
embattled	уграбљена	0.235	0.724	0.421
embed	уграђивање	0.417	0.554	0.670
embellish	украсити	0.842	0.500	0.769
embellishment	украшавање	0.673	0.449	0.405
embers	емберс	0.490	0.481	0.508
embezzlement	проневера	0.143	0.827	0.435
embezzler	проневере	0.146	0.823	0.491
emblem	амблем	0.640	0.330	0.754
emblematic	симболично	0.771	0.459	0.798
embodiment	извођење	0.562	0.690	0.663
embolism	емболизам	0.104	0.660	0.302
embossed	ембоссед	0.531	0.481	0.500
embrace	загрли	0.949	0.490	0.452
embroidered	везени	0.677	0.279	0.407
embroidery	вез	0.781	0.358	0.280
embroiled	уплетени	0.337	0.721	0.420
embryo	ембрион	0.673	0.469	0.453
embryonic	ембрионски	0.573	0.453	0.598
emcee	емцее	0.694	0.577	0.691
emerald	смарагд	0.740	0.363	0.726
emerge	појавити се	0.602	0.594	0.731
emergence	појављивање	0.276	0.857	0.676
emergency	хитан	0.200	0.900	0.571
emeritus	емеритус	0.633	0.402	0.735
emery	емери	0.469	0.583	0.472
emetophobia	еметофобија	0.243	0.620	0.403
emigrate	емигрирати	0.356	0.812	0.508
emigration	емиграција	0.564	0.664	0.432
eminence	еминенце	0.816	0.644	0.837
eminent	еминентан	0.740	0.620	0.830
eminently	еминентли	0.694	0.607	0.773
emir	NO TRANSLATION	0.510	0.396	0.621
emissary	емиссари	0.562	0.462	0.636
emission	емисија	0.510	0.453	0.591
emit	емитовати	0.638	0.445	0.510
emo	емо	0.354	0.314	0.226
emotion	емоција	0.693	0.873	0.696
emotional	емоционално	0.779	0.714	0.526
emotive	емоционално	0.917	0.741	0.525
empathic	емпатичан	0.760	0.570	0.558
empathize	емпатизовати	0.802	0.591	0.660
empathy	емпатија	0.729	0.349	0.545
emperor	цара	0.651	0.704	0.962
emphasis	истицање	0.653	0.745	0.816
emphasize	нагласити	0.510	0.605	0.769
emphatic	изразито	0.615	0.707	0.732
emphysema	емфизем	0.156	0.556	0.336
empire	империје	0.688	0.730	0.944
empirical	емпиријски	0.500	0.510	0.574
empiricism	емпирицизам	0.583	0.460	0.547
employ	запослити	0.729	0.481	0.702
employee	запослени	0.582	0.361	0.481
employer	послодавац	0.663	0.518	0.767
employment	радни однос	0.750	0.594	0.611
emporium	емпориум	0.622	0.556	0.724
empower	оснажити	0.694	0.779	0.891
empress	царица	0.716	0.669	0.855
emptiness	празнина	0.177	0.173	0.184
emption	емптион	0.570	0.406	0.458
empty	празно	0.188	0.183	0.081
emu	ему	0.420	0.358	0.330
emulate	емулирати	0.438	0.340	0.549
emulsion	емулзија	0.562	0.431	0.453
enable	омогућите	0.760	0.491	0.782
enablement	омогућавање	0.600	0.451	0.750
enact	доносити	0.680	0.564	0.598
enactment	усвајање	0.667	0.612	0.769
enamel	емајл	0.594	0.280	0.306
encampment	камп	0.677	0.573	0.605
enchant	очаравајући	0.873	0.650	0.643
enchanted	очаран	0.917	0.633	0.687
enchanting	очаравајуће	0.917	0.681	0.708
enchantment	очарање	0.816	0.775	0.647
enchantress	Енцхантресс	0.398	0.663	0.479
enchilada	енцхилада	0.542	0.553	0.371
encircle	окружити	0.460	0.500	0.519
encircling	окружујући	0.510	0.368	0.557
enclave	енклава	0.531	0.333	0.580
enclose	приложите	0.531	0.477	0.473
enclosure	кућиште	0.417	0.375	0.490
encode	кодирање	0.490	0.500	0.734
encomiastic	NO TRANSLATION	0.541	0.500	0.670
encomium	енцомиум	0.541	0.451	0.519
encompass	обухватају	0.520	0.298	0.661
encore	NO TRANSLATION	0.510	0.423	0.500
encounter	сусрет	0.865	0.702	0.689
encourage	охрабрити	0.896	0.580	0.704
encouraged	подстакнути	0.953	0.702	0.657
encouragement	охрабрење	0.865	0.700	0.759
encouraging	охрабрујући	0.823	0.583	0.755
encroach	посегати	0.302	0.742	0.702
encroachment	посег	0.255	0.736	0.620
encrypt	шифрирање	0.500	0.387	0.500
encryption	шифровање	0.547	0.415	0.474
encumbrance	бреме	0.300	0.521	0.480
encyclopedia	енциклопедија	0.679	0.320	0.645
end	крај	0.198	0.349	0.298
end table	енд табле	0.541	0.480	0.482
endanger	угрозити	0.115	0.885	0.404
endangered	угрожен	0.083	0.885	0.430
endangerment	угроженост	0.167	0.873	0.519
endearing	ендеаринг	0.663	0.434	0.604
endeavor	потрудите се	0.677	0.755	0.765
ended	завршио	0.302	0.500	0.500
endemic	ендемична	0.406	0.480	0.483
endgame	ендгаме	0.449	0.538	0.526
ending	завршава	0.344	0.365	0.492
endless	бескрајно	0.347	0.462	0.472
endocarditis	ендокардитис	0.235	0.587	0.412
endorse	Потврди	0.592	0.392	0.472
endorsement	одобрење	0.834	0.360	0.611
endow	ендов	0.684	0.398	0.609
endowed	обдарен	0.755	0.510	0.769
endowment	задужбина	0.685	0.578	0.647
endpapers	ендпаперс	0.542	0.400	0.339
endpoint	крајња тачка	0.311	0.410	0.448
endurance	издржљивост	0.592	0.745	0.760
endure	подносити	0.320	0.610	0.574
enduring	издржљив	0.633	0.459	0.768
enema	клистир	0.281	0.673	0.268
enemy	непријатеља	0.135	0.794	0.591
energetic	енергетски	0.847	0.868	0.902
energize	Енергизе	0.792	0.810	0.875
energy	енергија	0.944	0.725	0.868
enforce	извршити	0.583	0.644	0.836
enforcement	извршење	0.594	0.571	0.736
enforcer	извршилац	0.398	0.612	0.639
engage	ангажовати	0.771	0.796	0.713
engaged	ангажована	0.837	0.596	0.849
engagement	ангажовање	0.906	0.587	0.807
engaging	ангажовање	0.948	0.612	0.862
engender	енгендер	0.561	0.741	0.688
engine	мотор	0.615	0.644	0.676
engineer	инжењер	0.719	0.500	0.875
engineering	инжењеринг	0.735	0.471	0.836
engrave	гравирати	0.486	0.442	0.517
engraved	гравирано	0.542	0.375	0.473
engraver	гравер	0.552	0.417	0.500
engraving	гравирање	0.604	0.430	0.442
engrossed	преплашен	0.541	0.471	0.304
engrossing	Енгроссинг	0.698	0.702	0.750
engulf	ухватити	0.398	0.573	0.500
enhance	Побољшати	0.802	0.578	0.814
enhancement	побољшање	0.877	0.490	0.741
enigma	енигма	0.513	0.700	0.500
enigmatic	загонетан	0.469	0.589	0.679
enjoin	учити	0.594	0.454	0.732
enjoy	уживати	0.959	0.725	0.750
enjoyable	пријатно	1.000	0.481	0.605
enjoying	уживајући	0.908	0.759	0.759
enjoyment	уживање	0.930	0.612	0.716
enlarge	увећајте	0.735	0.606	0.688
enlarged	увећана	0.673	0.490	0.518
enlargement	проширење	0.677	0.577	0.616
enlighten	просветљују	0.729	0.549	0.667
enlightened	просветљени	0.956	0.566	0.700
enlightening	просветљујуће	0.825	0.729	0.727
enlightenment	просветљење	0.837	0.549	0.619
enlist	пријавити	0.510	0.370	0.483
enliven	енливен	0.833	0.683	0.702
enmity	непријатељство	0.094	0.706	0.382
ennui	еннуи	0.406	0.461	0.316
enormity	огромност	0.594	0.648	0.848
enormous	огроман	0.677	0.665	0.886
enormously	енормно	0.760	0.694	0.872
enraged	узнемирен	0.083	0.962	0.636
enrich	обогатити	0.896	0.731	0.705
enroll	уписати	0.696	0.530	0.611
enrollment	упис	0.667	0.391	0.698
ensemble	ансамбл	0.697	0.418	0.586
ensign	енсигн	0.663	0.270	0.545
enslave	поробљавање	0.073	0.800	0.481
enslaved	поробљен	0.104	0.720	0.321
enslavement	поробљавање	0.086	0.635	0.302
ensue	следи	0.698	0.363	0.332
ensure	осигурати	0.737	0.406	0.759
entail	захтевати	0.484	0.630	0.645
entangled	заплетена	0.319	0.578	0.357
entanglement	заплетање	0.302	0.765	0.248
enter	унесите	0.708	0.470	0.500
enterprise	предузеће	0.760	0.392	0.754
enterprising	предузетничко	0.865	0.784	0.875
entertain	забавити	0.918	0.684	0.598
entertained	забављали	0.902	0.644	0.712
entertainer	забављач	0.888	0.709	0.759
entertaining	забавно	0.833	0.658	0.660
entertainment	Забава	0.847	0.750	0.569
enthralled	ухваћен	0.745	0.602	0.615
enthusiasm	ентузијазам	0.938	0.816	0.798
enthusiast	ентузијаста	0.867	0.810	0.875
enthusiastic	ентузијастичан	0.885	0.868	0.848
entice	привлачи	0.521	0.887	0.518
entire	цео	0.689	0.462	0.698
entirety	целина	0.854	0.460	0.804
entitle	право	0.729	0.333	0.827
entity	ентитет	0.542	0.402	0.670
entomology	ентомологија	0.438	0.396	0.545
entourage	пратња	0.491	0.567	0.467
entrails	унутрашњост	0.365	0.538	0.387
entrance	улаз	0.698	0.393	0.526
entrapment	ентрапмент	0.177	0.604	0.441
entreat	ентитет	0.304	0.560	0.462
entree	ентрее	0.615	0.477	0.624
entrepreneur	предузетник	0.885	0.704	0.920
entrust	поверити	0.693	0.310	0.630
entry	улаз	0.552	0.353	0.602
enumerate	набројати	0.521	0.390	0.491
enumeration	бројање	0.548	0.327	0.534
envelope	коверта	0.604	0.275	0.377
envious	завидно	0.110	0.754	0.341
environ	NO TRANSLATION	0.724	0.221	0.433
environment	Животна средина	0.646	0.194	0.528
environmental	еколошки	0.633	0.313	0.664
environs	околина	0.561	0.288	0.345
envision	енвисион	0.625	0.449	0.483
envoy	изасланик	0.531	0.375	0.586
envy	завист	0.240	0.704	0.427
enzyme	ензим	0.562	0.277	0.481
ephemeral	краткотрајан	0.500	0.312	0.377
ephemeris	епхемерис	0.640	0.380	0.528
epic	епски	0.857	0.713	0.830
epidemic	епидемија	0.092	0.830	0.611
epidermis	епидермис	0.418	0.490	0.426
epidural	епидурал	0.347	0.452	0.525
epilepsy	епилепсија	0.061	0.854	0.250
epileptic	епилептик	0.146	0.794	0.340
epilogue	епилог	0.582	0.353	0.466
epiphany	епифан	0.625	0.596	0.526
episcopal	еписцопал	0.542	0.314	0.750
episode	епизода	0.719	0.367	0.509
episodic	епизодично	0.531	0.542	0.462
epistle	писмо	0.604	0.417	0.535
epitaph	епитаф	0.276	0.323	0.442
epithet	епитет	0.530	0.394	0.524
epitome	епитоме	0.510	0.500	0.667
epoch	епоха	0.553	0.343	0.797
equal	једнак	0.781	0.178	0.407
equality	једнакост	0.898	0.305	0.716
equalization	изједначавање	0.625	0.422	0.423
equalize	Изједначити	0.738	0.281	0.574
equalizer	еквилајзер	0.604	0.451	0.586
equally	подједнако	0.625	0.264	0.436
equate	екуате	0.724	0.382	0.624
equation	једначина	0.479	0.384	0.608
equator	екватор	0.550	0.302	0.462
equatorial	екваторијална	0.550	0.271	0.593
equestrian	коњички	0.633	0.519	0.417
equidistant	једнако	0.375	0.406	0.509
equilibration	изједначавање	0.724	0.317	0.593
equilibrium	равнотежа	0.676	0.235	0.620
equip	екуип	0.650	0.519	0.713
equipment	опрема	0.745	0.495	0.700
equitable	праведан	0.714	0.286	0.750
equity	капитал	0.792	0.304	0.614
equivalence	еквиваленција	0.663	0.250	0.582
equivalent	еквивалент	0.646	0.347	0.500
equivocal	двосмислен	0.327	0.482	0.257
era	ера	0.615	0.407	0.449
eradicate	искоренити	0.260	0.690	0.686
eradication	искорењивање	0.208	0.788	0.685
erase	избрисати	0.240	0.260	0.321
eraser	гумица за брисање	0.458	0.209	0.311
erasure	избрисати	0.281	0.360	0.265
ere	NO TRANSLATION	0.479	0.312	0.377
erect	усправан	0.643	0.885	0.627
erectile	еректилни	0.542	0.796	0.625
erection	ерекција	0.640	0.856	0.695
ergo	NO TRANSLATION	0.385	0.400	0.385
erode	ероде	0.208	0.643	0.580
erosion	ерозија	0.312	0.770	0.465
erotic	еротски	0.625	0.946	0.683
erotica	еротика	0.781	0.870	0.579
err	ерр	0.146	0.660	0.236
errand	ерранд	0.385	0.519	0.482
errant	еррант	0.205	0.602	0.375
erratic	ерратиц	0.271	0.503	0.217
erratum	ерратум	0.327	0.528	0.436
erroneous	погрешно	0.057	0.561	0.245
error	грешка	0.094	0.559	0.198
erst	NO TRANSLATION	0.277	0.422	0.357
erudite	ерудите	0.719	0.434	0.774
erupt	ерупт	0.188	0.820	0.818
eruption	ерупција	0.156	0.913	0.733
escalade	ескалада	0.480	0.724	0.442
escalate	ескалирају	0.653	0.714	0.728
escalating	ескалирају	0.646	0.724	0.518
escalation	ескалација	0.571	0.807	0.582
escalator	покретне степенице	0.500	0.530	0.518
escape	побјећи	0.367	0.765	0.448
escaped	побегла	0.365	0.755	0.518
escarpment	есцарпмент	0.406	0.553	0.470
eschew	есцхев	0.184	0.438	0.370
escort	есцорт	0.729	0.480	0.608
escrow	есцров	0.449	0.520	0.613
esophagus	есопхагус	0.429	0.454	0.464
esoteric	есотериц	0.500	0.676	0.545
especial	NO TRANSLATION	0.827	0.419	0.794
espionage	шпијунажа	0.312	0.750	0.620
espouse	еспоусе	0.802	0.529	0.598
espresso	еспрессо	0.677	0.620	0.508
esprit	есприт	0.552	0.431	0.407
esquire	ескуире	0.604	0.542	0.518
essay	есеј	0.559	0.411	0.530
essayist	есејиста	0.656	0.460	0.462
essence	Душа	0.663	0.369	0.575
essential	есенцијално	0.812	0.405	0.759
essentially	У суштини	0.750	0.373	0.802
establish	успоставити	0.708	0.500	0.688
established	успостављен	0.796	0.394	0.694
establishment	оснивање	0.690	0.398	0.631
estate	некретнине	0.653	0.385	0.647
esteem	естеем	0.745	0.380	0.679
esteemed	цењен	0.694	0.418	0.531
esthetic	естетски	0.635	0.360	0.558
estimable	проценљив	0.796	0.408	0.630
estimate	процена	0.719	0.469	0.517
estimation	процена	0.740	0.480	0.589
estoppel	естоппел	0.354	0.459	0.482
estranged	отуђени	0.156	0.382	0.377
estrogen	естроген	0.580	0.500	0.425
estuary	естуари	0.469	0.278	0.482
etch	етцх	0.510	0.367	0.598
etching	једкање	0.567	0.491	0.575
eternal	вечно	0.854	0.409	0.843
eternity	вечност	0.765	0.520	0.911
ethanol	етанол	0.333	0.410	0.534
ether	етер	0.490	0.306	0.412
ethereal	етхереал	0.520	0.419	0.518
ethic	етика	0.786	0.260	0.791
ethical	етички	0.854	0.324	0.634
ethics	етика	0.658	0.296	0.731
ethnic	етнички	0.583	0.373	0.555
ethnography	етнографија	0.571	0.373	0.549
etiology	етиологија	0.500	0.385	0.639
etiquette	етикета	0.604	0.350	0.421
etymology	етимологија	0.531	0.370	0.529
eucalyptus	еукалиптус	0.602	0.308	0.418
euchre	еухре	0.470	0.459	0.442
eugenics	еугеницс	0.448	0.530	0.518
eulogistic	еулогичан	0.740	0.623	0.694
eulogium	еулогиј	0.542	0.482	0.655
eulogize	еулогизе	0.850	0.518	0.679
eulogy	Еулогија	0.625	0.443	0.667
euphemism	еуфемизам	0.418	0.453	0.491
euphoria	еуфорија	0.769	0.955	0.648
euphoric	еуфоричан	0.745	0.904	0.588
euro	евро	0.680	0.441	0.521
euthanasia	еутаназија	0.229	0.716	0.325
evacuate	евакуисати	0.354	0.792	0.314
evacuation	евакуација	0.160	0.755	0.582
evade	избјећи	0.304	0.490	0.342
evaluate	проценити, оценити	0.663	0.640	0.649
evaluation	евалуацију	0.542	0.667	0.764
evanescence	еванесценце	0.527	0.519	0.458
evangelical	евангеличан	0.602	0.389	0.602
evangelist	евангелиста	0.582	0.464	0.702
evangelistic	евангелистички	0.660	0.375	0.612
evaporate	испаравање	0.357	0.469	0.402
evaporation	испаравање	0.556	0.346	0.388
evasion	избегавање	0.229	0.510	0.418
evasive	избјегавање	0.117	0.596	0.425
eve	еве	0.612	0.378	0.440
evening	вече	0.458	0.185	0.318
evens	NO TRANSLATION	0.592	0.430	0.457
event	догађај	0.745	0.673	0.664
eventful	догађајно	0.543	0.837	0.510
eventual	евентуално	0.633	0.459	0.413
eventuality	евентуалити	0.469	0.627	0.527
evergreen	зимзелено	0.729	0.471	0.546
everlasting	вечно	0.740	0.413	0.809
evermore	еверморе	0.677	0.450	0.403
everyday	сваки дан	0.740	0.392	0.472
everyman	сваки човек	0.522	0.333	0.535
evict	исељење	0.042	0.632	0.377
eviction	исељење	0.185	0.731	0.455
evidence	доказ	0.500	0.500	0.778
evident	очигледан	0.633	0.444	0.664
evidentiary	доказни материјал	0.448	0.541	0.717
evil	зло	0.040	0.827	0.545
evoke	евоке	0.438	0.341	0.500
evolution	еволуција	0.781	0.657	0.854
evolutionary	еволуционарни	0.796	0.673	0.825
evolve	еволуирати	0.655	0.692	0.896
ewe	еве	0.429	0.216	0.277
ex	ек	0.250	0.520	0.306
exacerbate	погоршати	0.323	0.776	0.580
exacerbation	погоршање	0.344	0.810	0.480
exact	тачно	0.719	0.354	0.685
exacting	захтевна	0.448	0.673	0.767
exaggerate	преувеличавају	0.193	0.760	0.529
exaggerated	претерана	0.224	0.885	0.732
exaggeration	претеривање	0.312	0.775	0.582
exalt	екалт	0.656	0.750	0.745
exaltation	екалтација	0.594	0.892	0.673
exalted	екалтед	0.676	0.845	0.696
exam	испит	0.479	0.663	0.577
examination	преглед	0.378	0.657	0.679
examine	испитати	0.615	0.623	0.786
examiner	испитивач	0.406	0.575	0.812
example	пример	0.542	0.337	0.510
exasperated	узнемирен	0.229	0.816	0.377
exasperation	екасператион	0.214	0.833	0.483
excavate	ископати	0.583	0.613	0.635
excavation	ископавања	0.540	0.644	0.527
excavator	багер	0.427	0.673	0.649
exceed	Прекорачити	0.500	0.827	0.586
exceeding	изнад	0.500	0.802	0.668
excel	екцел	0.561	0.363	0.466
excellence	изврсност	0.958	0.620	0.907
excellent	Одлично	0.970	0.587	0.870
excelsior	Екцелсиор	0.700	0.625	0.611
excepting	осим	0.408	0.413	0.526
exception	изузетак	0.469	0.600	0.544
exceptional	изузетно	0.806	0.740	0.933
excerpt	извод	0.437	0.367	0.543
excess	вишак	0.385	0.889	0.712
excessive	претеран	0.417	0.731	0.601
excessively	претерано	0.449	0.882	0.716
exchange	размена	0.740	0.569	0.491
excise	акциза	0.448	0.561	0.577
excision	ексцизија	0.260	0.480	0.519
excitability	ексцитабилност	0.906	0.910	0.724
excitable	узбудљиво	0.803	0.939	0.629
excitation	узбуђење	0.792	0.958	0.750
excite	узбуђује	0.823	0.950	0.668
excited	узбуђени	0.908	0.931	0.709
excitement	узбуђење	0.896	0.684	0.731
exciting	узбудљиво	0.950	0.792	0.789
exclaim	извините	0.635	0.711	0.639
exclamation	узвикивање	0.612	0.745	0.598
exclude	искључи	0.292	0.500	0.530
excluded	искључени	0.061	0.540	0.134
excluding	искључујући	0.271	0.550	0.324
exclusion	искључивање	0.240	0.530	0.389
exclusive	ексклузивно	0.792	0.630	0.653
excrement	излучак	0.041	0.558	0.221
excretion	излучивање	0.285	0.650	0.457
excruciating	мучен	0.083	0.837	0.345
excursion	излет	0.625	0.714	0.627
excuse	изговор	0.240	0.696	0.318
exec	екец	0.640	0.352	0.769
execute	изврши	0.327	0.708	0.769
execution	извршење	0.160	0.811	0.713
executioner	извршилац	0.235	0.816	0.676
executive	извршни	0.704	0.449	0.894
executor	извршилац	0.365	0.755	0.759
exegesis	екегесис	0.458	0.472	0.491
exemplar	пример	0.844	0.537	0.625
exemplary	пример	0.833	0.343	0.729
exemplify	примери	0.735	0.506	0.783
exempt	ослобођен	0.588	0.455	0.664
exemption	изузеће	0.531	0.578	0.627
exercise	вежбање	0.750	0.789	0.625
exert	вршити	0.694	0.735	0.806
exertion	напор	0.663	0.755	0.717
exhale	екхале	0.542	0.490	0.411
exhaust	издув	0.546	0.710	0.337
exhausted	исцрпљена	0.123	0.423	0.202
exhaustion	исцрпљеност	0.366	0.633	0.269
exhaustive	исцрпно	0.388	0.635	0.604
exhibit	Изложба	0.688	0.633	0.708
exhibition	Изложба	0.698	0.590	0.531
exhilarated	екхиларатед	0.890	0.963	0.759
exhilarating	екхиларатинг	0.917	0.823	0.810
exhilaration	екхиларатион	0.792	0.868	0.783
exhort	екхорт	0.378	0.660	0.745
exhortation	екхортатион	0.531	0.624	0.580
exhumation	ексхумација	0.177	0.586	0.473
exhume	ексхумирати	0.184	0.627	0.452
exigent	NO TRANSLATION	0.385	0.611	0.792
exile	изгнанство	0.184	0.630	0.483
exist	постоје	0.857	0.421	0.788
existence	постојање	0.760	0.513	0.771
existent	постоји	0.635	0.490	0.635
existential	егзистенцијално	0.583	0.510	0.638
existing	постојећи	0.802	0.344	0.750
exit	излаз	0.370	0.353	0.399
exodus	егзодус	0.286	0.663	0.567
exonerate	опростите	0.592	0.500	0.538
exorbitant	прекомјеран	0.398	0.865	0.825
exorcism	истеривање дјавола	0.163	0.980	0.557
exorcist	егзорциста	0.219	0.906	0.716
exotic	егзотично	0.840	0.711	0.727
expand	проширити	0.792	0.559	0.686
expanded	проширен	0.760	0.406	0.689
expanse	пространство	0.594	0.529	0.689
expansion	експанзија	0.776	0.618	0.787
expansive	експанзиван	0.708	0.650	0.778
expatriate	исељеник	0.265	0.764	0.391
expect	очекујте	0.469	0.327	0.377
expectance	очекивање	0.552	0.724	0.660
expectancy	очекивања	0.581	0.622	0.558
expectant	очекивано	0.708	0.650	0.474
expectation	очекивања	0.771	0.690	0.707
expected	очекиван	0.729	0.412	0.545
expecting	очекујући	0.561	0.450	0.302
expediency	експедитивност	0.604	0.443	0.703
expedient	експедитивно	0.885	0.461	0.454
expedite	убрзати	0.571	0.858	0.798
expedition	експедиција	0.735	0.802	0.620
expeditious	експедитивно	0.602	0.645	0.773
expel	екпел	0.281	0.725	0.452
expendable	потрошити	0.479	0.490	0.423
expenditure	трошкови	0.250	0.608	0.603
expense	трошак	0.317	0.451	0.377
expenses	трошкови	0.240	0.633	0.396
expensive	скупо	0.323	0.540	0.530
experience	искуство	0.827	0.618	0.905
experienced	Искусан	0.771	0.613	0.914
experiences	искуства	0.793	0.647	0.795
experiment	експеримент	0.479	0.720	0.675
experimental	експериментално	0.417	0.764	0.396
experimentation	експериментисање	0.637	0.769	0.767
experimenter	експериментатор	0.708	0.710	0.700
expert	стручњак	0.776	0.646	0.911
expertise	експертиза	0.792	0.589	0.925
expiration	истицање	0.265	0.539	0.463
expire	истиче	0.573	0.745	0.702
expired	истекао	0.198	0.394	0.200
expiry	истек	0.194	0.434	0.382
explain	објасни	0.719	0.517	0.736
explanation	објашњење	0.615	0.610	0.825
explanatory	објашњење	0.573	0.433	0.688
expletive	објашњење	0.357	0.567	0.536
explication	експликација	0.510	0.445	0.602
explicit	експлицитно	0.562	0.694	0.734
explode	експлодира	0.277	0.885	0.773
exploit	експлоатисати	0.312	0.878	0.660
exploitation	експлоатација	0.156	0.920	0.718
exploration	истраживање	0.594	0.650	0.773
exploratory	истраживачки	0.653	0.690	0.698
explore	истражити	0.776	0.660	0.727
explorer	истраживач	0.729	0.663	0.714
explosion	експлозија	0.167	0.960	0.767
explosions	експлозије	0.123	0.860	0.594
explosive	експлозивно	0.156	0.943	0.663
expo	екпо	0.610	0.562	0.500
exponent	експонент	0.529	0.510	0.845
exponential	експоненцијални	0.704	0.588	0.763
export	извоз	0.567	0.661	0.755
exportation	извоз	0.760	0.633	0.673
expose	изложити	0.344	0.643	0.537
exposed	изложено	0.471	0.661	0.509
exposition	експозиција	0.521	0.627	0.655
expository	изложба	0.706	0.653	0.636
exposure	изложеност	0.570	0.830	0.630
expound	изложити	0.438	0.575	0.740
express	изразити	0.760	0.623	0.691
expression	израз	0.790	0.650	0.721
expressive	експресивно	0.755	0.724	0.685
expressway	екпрессваи	0.633	0.635	0.587
expropriation	експропријација	0.188	0.735	0.788
expulsion	протјеривање	0.190	0.790	0.529
exquisite	изврсна	0.892	0.644	0.604
exquisitely	изврсно	0.849	0.728	0.723
extant	преостало	0.646	0.390	0.523
extend	проширити	0.646	0.570	0.689
extendable	проширује се	0.660	0.592	0.722
extended	продужено	0.570	0.304	0.649
extension	продужење	0.490	0.510	0.529
extensive	обиман	0.635	0.520	0.760
extent	степена	0.646	0.451	0.602
exterior	екстеријер	0.542	0.400	0.627
exterminate	истребити	0.177	0.857	0.736
extermination	истребљење	0.190	0.860	0.616
exterminator	истребитељ	0.344	0.804	0.887
external	екстерно	0.479	0.341	0.509
externally	споља	0.643	0.521	0.568
extinct	изумрла	0.112	0.491	0.412
extinction	изумирање	0.104	0.750	0.611
extinguish	угасити	0.240	0.576	0.482
extinguisher	апарат за гашење	0.707	0.379	0.543
extol	величати	0.582	0.667	0.456
extort	изнуђивање	0.052	0.827	0.570
extortion	изнуђивање	0.112	0.868	0.630
extra	екстра	0.656	0.551	0.745
extract	екстракт	0.565	0.402	0.519
extracting	извлачење	0.521	0.709	0.689
extraction	екстракција	0.418	0.740	0.526
extractor	екстрактор	0.302	0.536	0.519
extracurricular	ваннаставно	0.457	0.471	0.743
extradition	екстрадиција	0.229	0.627	0.554
extrajudicial	ванпарнично	0.365	0.686	0.667
extramural	екстрамурално	0.336	0.559	0.537
extraneous	ванземаљски	0.276	0.625	0.478
extraordinaire	ектраординаире	0.847	0.864	0.898
extraordinary	изузетно	0.969	0.728	0.860
extraterrestrial	ванземаљац	0.510	0.833	0.792
extravagance	екстраваганција	0.531	0.802	0.700
extravagant	екстравагантно	0.720	0.763	0.812
extravaganza	екстраваганца	0.646	0.786	0.906
extreme	екстремно	0.318	0.800	0.721
extreme anticipation	екстремно очекивање	0.551	0.740	0.704
extreme disgust	екстремно одуговлачење	0.052	0.873	0.456
extreme surprise	екстремно изненађење	0.833	0.935	0.676
extreme trust	екстремно поверење	0.826	0.713	0.922
extremely	изузетно	0.635	0.827	0.886
