Word	Armenian-hy	Valence	Arousal	Dominance
dabbling	dabbling	0.562	0.726	0.676
dad	հայրիկ	0.857	0.412	0.786
daddy	հայրիկ	0.795	0.400	0.736
dado	NO TRANSLATION	0.510	0.240	0.364
daemon	օր	0.333	0.490	0.500
daft	դափ	0.255	0.436	0.157
dagger	դագեր	0.224	0.797	0.613
daily	օրական	0.653	0.347	0.473
dainty	դավադրություն	0.604	0.284	0.424
daiquiri	daiquiri	0.670	0.519	0.400
dairy	կաթնամթերք	0.633	0.255	0.462
daisy	դեզիսին	0.562	0.367	0.333
dak	NO TRANSLATION	0.510	0.417	0.424
dale	դալե	0.622	0.270	0.365
dam	դամբարան	0.250	0.553	0.394
damage	վնաս	0.059	0.726	0.403
damaged	վնասված	0.104	0.635	0.182
damages	վնասները	0.082	0.760	0.310
dame	դամ	0.694	0.480	0.500
damn	Սատանա	0.073	0.784	0.431
damnation	դավաճանություն	0.135	0.750	0.416
damned	արհամարհված	0.100	0.760	0.465
damp	խոնավ	0.360	0.279	0.210
dampened	խոնավանալով	0.271	0.422	0.336
damper	կափույր	0.459	0.378	0.473
damsel	աղջիկներ	0.719	0.475	0.400
dance	պար	0.894	0.840	0.551
dancer	պարուհի	0.740	0.768	0.545
dancing	պար	0.885	0.868	0.444
dandruff	թեփ	0.398	0.298	0.293
dandy	տխուր	0.673	0.520	0.630
danger	վտանգը	0.115	0.923	0.673
dangerous	վտանգավոր է	0.020	0.941	0.658
dangerously	վտանգավոր	0.082	0.930	0.564
dangit	NO TRANSLATION	0.396	0.606	0.358
dangle	կախել	0.362	0.469	0.375
dank	NO TRANSLATION	0.390	0.381	0.383
dapper	դափեր	0.770	0.560	0.698
dare	դաշնամուր	0.677	0.788	0.684
daredevil	դարեդեւիլ	0.429	0.714	0.653
daresay	Դարեսայ	0.540	0.451	0.490
daring	քաջություն	0.583	0.840	0.711
dark	մութ	0.198	0.398	0.426
darken	darken	0.250	0.471	0.382
darkened	խավարը	0.135	0.440	0.452
darkly	մութ	0.219	0.548	0.443
darkness	խավարը	0.102	0.602	0.418
darkroom	մութ սենյակ	0.188	0.627	0.423
darkside	մութ կողմ	0.102	0.690	0.365
darling	սիրելի	0.885	0.370	0.608
darn	Դարն	0.115	0.765	0.418
dart	dart	0.417	0.608	0.500
dash	դաշ	0.574	0.312	0.324
dashboard	վահանակ	0.510	0.371	0.595
dashed	դաշեց	0.276	0.393	0.338
dashing	հալածանք	0.612	0.627	0.799
dastardly	դաժանորեն	0.208	0.688	0.270
data	տվյալները	0.500	0.250	0.426
database	տվյալների բազա	0.604	0.286	0.644
date	ամսաթիվը	0.604	0.231	0.400
datenight	NO TRANSLATION	0.708	0.637	0.518
daughter	դուստրը	0.908	0.415	0.455
dawdle	դավլը	0.479	0.464	0.357
dawn	լուսաբաց	0.827	0.235	0.519
dawned	դահլիճ	0.694	0.471	0.473
day	օրվա ընթացքում	0.719	0.269	0.389
daybreak	ցերեկը	0.802	0.358	0.474
daycare	ցերեկային խնամք	0.776	0.481	0.360
daydream	օրվա ընթացքում	0.750	0.337	0.456
daydreaming	անդրադարձ	0.776	0.360	0.479
daylight	ցերեկը	0.865	0.420	0.545
daymade	NO TRANSLATION	0.646	0.450	0.417
dayoff	NO TRANSLATION	0.760	0.368	0.377
daytime	ցերեկը	0.750	0.324	0.454
daze	զարմացնել	0.245	0.735	0.329
dazed	ցնցված	0.300	0.697	0.277
dazzle	զարմացնել	0.730	0.782	0.683
dazzling	զսպող	0.854	0.880	0.767
deacon	դիակոն	0.531	0.430	0.736
deactivate	անջատել	0.235	0.447	0.392
dead	մահացած	0.052	0.454	0.194
deadbeat	մեռած	0.229	0.453	0.368
deadline	Վերջնաժամկետ	0.214	0.615	0.460
deadlines	ժամկետները	0.406	0.769	0.411
deadlock	փակուղի	0.170	0.418	0.323
deadly	մահացու	0.143	0.849	0.554
deaf	խուլ	0.186	0.324	0.161
deafening	խուլ	0.281	0.835	0.482
deafness	խուլություն	0.125	0.413	0.219
deal	գործարք	0.719	0.599	0.543
dealer	դիլեր	0.799	0.615	0.683
dealership	դիլեր	0.541	0.430	0.629
dealing	զբաղվելով	0.724	0.415	0.598
dealings	գործարքներ	0.600	0.491	0.480
dean	դեկան	0.612	0.469	0.723
dear	սիրելի	0.880	0.434	0.629
dearest	ամենաթանկը	0.902	0.427	0.508
dearth	թանկացում	0.156	0.539	0.255
death	մահ	0.031	0.720	0.472
deathbed	մահվան ելքով	0.051	0.652	0.311
deathly	մահվան	0.073	0.771	0.682
debacle	խաբեություն	0.156	0.606	0.266
debased	նեղացած է	0.219	0.529	0.170
debatable	վիճաբանելի	0.181	0.610	0.474
debate	բանավեճը	0.408	0.691	0.683
debauchery	խաբեություն	0.354	0.901	0.500
debenture	պարտատոմսեր	0.417	0.500	0.466
debilitating	խեղդում	0.125	0.490	0.308
debit	դեբետային	0.333	0.400	0.474
debrief	դեբեդ	0.247	0.343	0.549
debriefing	debriefing	0.427	0.580	0.456
debris	բեկորներ	0.135	0.396	0.327
debt	պարտքը	0.204	0.598	0.336
debtor	պարտապան	0.219	0.546	0.160
debut	դեբյուտը	0.806	0.606	0.629
debutante	դեբյուտանտ	0.771	0.627	0.454
decade	տասնամյակը	0.531	0.402	0.665
decadence	անկում	0.237	0.455	0.291
decadent	անկանոն	0.290	0.559	0.324
decaf	դագաղ	0.480	0.324	0.353
decanter	դեկանատ	0.438	0.567	0.510
decathlon	դեկատլոն	0.573	0.753	0.620
decay	անկում	0.143	0.312	0.170
decayed	քայքայված	0.017	0.375	0.169
decaying	քայքայված	0.073	0.510	0.214
deceased	մահացած	0.021	0.538	0.188
decedent	դեֆեդենտ	0.423	0.481	0.415
deceit	խաբեություն	0.020	0.696	0.343
deceitful	խաբուսիկ	0.071	0.788	0.371
deceive	խաբել	0.094	0.775	0.414
deceived	խաբված	0.059	0.673	0.302
deceiving	խաբեություն	0.099	0.636	0.426
december	դեկտեմբերին	0.740	0.540	0.464
decency	պարկեշտություն	0.750	0.235	0.634
decent	պարկեշտ	0.823	0.296	0.653
deception	խաբեություն	0.090	0.745	0.370
deceptive	խաբուսիկ	0.027	0.605	0.294
decide	որոշում կայացնել	0.656	0.540	0.855
decidedly	անշուշտ	0.750	0.480	0.843
deciduous	թափանցիկ	0.385	0.353	0.282
decimal	տասնորդական	0.507	0.259	0.305
decimeter	դեոդիմետր	0.520	0.292	0.377
decipher	վերլուծում	0.417	0.630	0.652
decision	որոշում	0.646	0.510	0.839
decisive	որոշիչ	0.740	0.509	0.935
deck	տախտակամած	0.420	0.333	0.394
declaration	հայտարարություն	0.551	0.590	0.714
declaratory	հայտարարագիր	0.635	0.582	0.673
declare	հայտարարում	0.677	0.623	0.668
declination	ենթադրություն	0.250	0.549	0.311
decline	անկումը	0.173	0.491	0.240
declining	նվազում	0.328	0.400	0.264
deco	դեկոր	0.625	0.274	0.356
decode	վերծանել	0.551	0.510	0.640
decoder	դեկոդեր	0.562	0.340	0.686
decompose	քանդել	0.194	0.596	0.241
decomposed	անջատված	0.073	0.442	0.231
decomposition	անջատում	0.133	0.600	0.263
decompress	հանել	0.438	0.430	0.509
decompression	դեկոմպրեսիա	0.208	0.520	0.311
decontamination	լվացքատուն	0.611	0.538	0.573
decor	դեկոր	0.734	0.311	0.573
decorate	զարդարել	0.954	0.370	0.404
decorating	Decorating	0.863	0.548	0.462
decoration	ձեւավորում	0.878	0.553	0.526
decorative	դեկորատիվ	0.908	0.460	0.381
decorator	դեկորատոր	0.840	0.471	0.455
decorum	դատախազը	0.802	0.327	0.462
decoy	աղավաղում	0.149	0.460	0.330
decrease	նվազում	0.125	0.360	0.267
decreased	նվազել է	0.224	0.271	0.170
decreasing	նվազում	0.320	0.346	0.224
decree	հրամանագիրը	0.552	0.478	0.746
decrement	նվազեցում	0.255	0.427	0.373
decrepit	հրամայականը	0.156	0.490	0.225
decry	հեգնանքով	0.400	0.814	0.548
decryption	decryption	0.459	0.445	0.600
dedicate	նվիրաբերել	0.823	0.431	0.588
dedication	նվիրվածություն	0.867	0.471	0.682
deduce	հայտնաբերել	0.490	0.510	0.466
deduct	նվազեցում	0.355	0.330	0.412
deductible	նվազեցնելու համար	0.375	0.286	0.455
deduction	նվազեցում	0.438	0.462	0.527
deed	գործը	0.520	0.320	0.592
deejay	դեժայ	0.551	0.630	0.473
deem	հաշվի առնել	0.594	0.529	0.690
deep	խորը	0.490	0.473	0.657
deepen	խորացնել	0.625	0.530	0.776
deer	եղնիկը	0.583	0.375	0.292
defamation	զրպարտություն	0.110	0.670	0.481
defamatory	զրպարտություն	0.143	0.688	0.402
default	կանխադրված	0.459	0.343	0.712
defeat	պարտություն	0.092	0.500	0.224
defeated	հաղթեց	0.104	0.582	0.145
defeatist	պարտվողը	0.163	0.567	0.315
defect	արատ	0.135	0.561	0.185
defection	խանգարում	0.146	0.594	0.330
defective	թերի	0.122	0.580	0.274
defector	պակասորդ	0.163	0.696	0.286
defend	պաշտպանել	0.698	0.722	0.670
defendant	պատասխանողը	0.250	0.710	0.491
defended	պաշտպանված	0.663	0.451	0.582
defender	պաշտպանը	0.639	0.708	0.750
defending	պաշտպանություն	0.604	0.871	0.812
defense	պաշտպանություն	0.652	0.698	0.802
defenseless	անպաշտպան	0.143	0.357	0.105
defensible	պաշտպանված	0.740	0.509	0.593
defensive	պաշտպանական	0.542	0.640	0.678
defer	դադարեցնել	0.245	0.459	0.317
deference	հերոսություն	0.510	0.396	0.447
deferral	ուշացումով	0.765	0.542	0.327
deferring	հետաձգելով	0.343	0.500	0.413
defiance	դավաճանություն	0.333	0.780	0.760
defiant	հանդուգն	0.250	0.792	0.769
defibrillator	դեֆիբրիլյատոր	0.398	0.663	0.431
deficiency	դեֆիցիտը	0.073	0.373	0.179
deficient	պակաս	0.240	0.464	0.132
deficit	դեֆիցիտը	0.358	0.500	0.269
define	սահմանում	0.688	0.415	0.632
defined	սահմանեց	0.670	0.214	0.646
definite	հստակ	0.708	0.292	0.741
definition	սահմանում	0.573	0.375	0.579
definitive	վերջնական	0.583	0.479	0.787
deflate	դելլատ	0.148	0.404	0.237
deflation	դեֆլյացիա	0.287	0.536	0.407
deflect	շեղում	0.133	0.491	0.482
deflection	շեղումը	0.188	0.500	0.382
defloration	դեֆլյացիա	0.188	0.690	0.434
deform	դեֆորմը	0.112	0.654	0.284
deformed	դեֆորմացված	0.198	0.435	0.308
deformity	դեֆորմացիան	0.160	0.569	0.241
defraud	խաբեություն	0.175	0.635	0.314
defray	պաշտպանել	0.375	0.598	0.653
defrost	defrost	0.427	0.317	0.389
deft	դավաճանություն	0.719	0.575	0.849
defunct	անսպասելի	0.112	0.491	0.272
defuse	թուլացնել	0.167	0.480	0.430
defy	դեֆի	0.353	0.884	0.657
degeneracy	անպտղություն	0.143	0.720	0.298
degenerate	նյարդայնացնում	0.069	0.724	0.264
degeneration	դեգեներացիա	0.245	0.578	0.371
degradation	անկում	0.160	0.608	0.315
degrade	դեգրադացիան	0.083	0.500	0.184
degraded	դեգրադացված	0.167	0.433	0.205
degrading	դաժանություն	0.031	0.583	0.232
degree	աստիճան	0.724	0.365	0.663
dehydrated	ջրազրկված	0.310	0.685	0.212
dehydration	ջրազրկելը	0.188	0.472	0.259
dejected	վրդովված	0.104	0.654	0.347
delay	ուշացումով	0.204	0.510	0.162
delayed	ուշացումով	0.188	0.490	0.216
delectable	նրբագեղ	0.781	0.642	0.718
delegate	պատվիրակություն	0.612	0.491	0.658
delegation	պատվիրակությունը	0.562	0.431	0.609
delete	ջնջել	0.292	0.298	0.409
deleterious	վնասակար	0.297	0.725	0.440
deletion	ջնջում	0.062	0.506	0.462
deli	Դելյե	0.561	0.448	0.447
deliberate	կանխամտածված	0.551	0.654	0.682
deliberation	խորհրդատվություն	0.561	0.678	0.596
deliberative	խորհրդակցական	0.392	0.552	0.573
delicacy	նրբագեղություն	0.812	0.279	0.336
delicate	նուրբ	0.583	0.294	0.366
delicatessen	սնունդը	0.656	0.474	0.400
delicious	համեղ	0.927	0.650	0.589
delight	ուրախություն	0.949	0.666	0.647
delighted	ուրախացան	0.938	0.664	0.685
delightful	հիանալի	0.918	0.735	0.644
delineate	սահմանել	0.448	0.430	0.445
delineation	սահմանափակում	0.521	0.402	0.314
delinquency	հանցագործություն	0.135	0.860	0.508
delinquent	կասկածյալը	0.051	0.904	0.500
delirious	խելացի	0.219	0.774	0.538
delirium	delirium	0.233	0.694	0.484
deliver	առաքել	0.583	0.370	0.582
deliverance	ազատություն	0.750	0.520	0.658
delivery	առաքում	0.704	0.461	0.786
dell	dell	0.458	0.380	0.453
delta	դելտա	0.551	0.343	0.509
delude	խաբել	0.143	0.627	0.353
deluge	ջրհեղեղը	0.245	0.714	0.612
delusion	կեղծիք	0.344	0.647	0.400
delusional	նողկալի	0.219	0.745	0.327
deluxe	լյուքս	0.792	0.612	0.755
delve	նայեք	0.469	0.529	0.684
demand	պահանջարկը	0.292	0.673	0.500
demanding	պահանջելով	0.396	0.750	0.828
demeaned	խանգարեց	0.271	0.520	0.212
demeaning	թերագնահատում	0.104	0.645	0.308
demeanor	վարքագիծը	0.633	0.433	0.657
demented	խեղդված	0.088	0.787	0.309
dementia	թուլամտություն	0.092	0.779	0.337
demise	մահվան	0.104	0.596	0.456
demo	demo	0.510	0.314	0.423
democracy	ժողովրդավարություն	0.680	0.500	0.840
democrat	ժողովրդավար	0.582	0.400	0.755
democratic	ժողովրդավարական	0.802	0.519	0.798
demographic	ժողովրդագրական	0.459	0.356	0.594
demolish	քանդել	0.125	0.632	0.700
demolished	քանդվեց	0.271	0.647	0.353
demolition	քանդում	0.133	0.827	0.541
demon	Սատանա	0.037	0.908	0.509
demonic	Դեմոններ	0.146	0.875	0.600
demonstrable	ցուցադրելի	0.735	0.471	0.749
demonstrate	ցույց տալ	0.771	0.552	0.839
demonstrated	ցույց տվեց	0.617	0.500	0.649
demonstrating	ցուցադրելով	0.698	0.571	0.693
demonstration	ցուցադրություն	0.551	0.676	0.679
demonstrative	ցուցադրական	0.656	0.528	0.736
demonstrator	ցուցարար	0.520	0.598	0.733
demoralized	բարորակեցված	0.082	0.590	0.149
demos	Դեմոներ	0.418	0.370	0.368
demure	դադարեցնել	0.690	0.315	0.417
den	NO TRANSLATION	0.510	0.347	0.398
deniability	անհերքելիություն	0.230	0.509	0.417
denial	ժխտողականություն	0.194	0.435	0.318
denied	հերքեց	0.188	0.604	0.333
denim	դենիմ	0.520	0.382	0.327
denomination	անվանում	0.490	0.363	0.429
denominational	դիոմինացիոն բնույթ	0.458	0.375	0.679
denominator	դոմինատոր	0.450	0.410	0.613
denote	նշանակել	0.448	0.471	0.534
denounce	դատապարտում	0.083	0.780	0.426
dense	խիտ	0.354	0.343	0.536
density	խտությունը	0.602	0.471	0.561
dent	բռնակ	0.306	0.606	0.325
dental	ատամնաբուժական	0.573	0.404	0.463
dentist	ատամնաբույժ	0.479	0.620	0.642
dentistry	ստոմատոլոգիա	0.429	0.570	0.569
dentists	ստոմատոլոգներ	0.364	0.600	0.582
denunciation	չեղյալ հայտարարություն	0.146	0.830	0.561
deny	ժխտել	0.316	0.667	0.321
denying	ժխտելով	0.080	0.542	0.272
deodorant	դեզոդորանտ	0.480	0.265	0.269
depart	հեռանալ	0.398	0.480	0.444
departed	հեռացվեց	0.245	0.536	0.391
department	բաժին	0.708	0.358	0.642
departmental	բաժին	0.612	0.422	0.446
departure	հեռանալուց	0.573	0.500	0.426
depend	կախվածությունից	0.388	0.429	0.358
dependable	վստահելի	0.880	0.357	0.741
dependant	կախյալ	0.357	0.404	0.451
dependence	կախվածությունը	0.250	0.451	0.433
dependency	կախվածությունը	0.429	0.365	0.356
dependent	կախյալ	0.354	0.455	0.404
depict	նկարագրեք	0.663	0.529	0.723
depicting	նկարագրելով	0.490	0.566	0.602
depletion	սպառում	0.153	0.370	0.236
deplorable	ցավալի	0.135	0.657	0.230
deplore	դավաճանություն	0.135	0.575	0.373
deploy	տեղակայել	0.500	0.520	0.585
deployment	տեղակայումը	0.510	0.520	0.612
deport	արտաքսում	0.167	0.667	0.546
deportation	արտաքսումը	0.104	0.786	0.450
depose	քանդում է	0.286	0.420	0.451
deposit	ավանդը	0.540	0.379	0.483
depositary	ավանդապահ	0.604	0.431	0.500
deposition	կուտակումը	0.394	0.510	0.471
depository	ավանդատու	0.551	0.373	0.481
depot	պահոց	0.635	0.255	0.471
depraved	անմարդկային	0.031	0.837	0.395
depravity	անբարոյականություն	0.115	0.854	0.453
depreciate	արժեզրկում	0.270	0.623	0.445
depreciated	արժեզրկված	0.135	0.672	0.250
depreciation	ամորտիզացիա	0.143	0.571	0.386
depress	ցնցում	0.219	0.635	0.528
depressed	ճնշված	0.024	0.445	0.136
depressing	ընկճող	0.146	0.559	0.216
depression	դեպրեսիա	0.031	0.520	0.232
depressive	դեպրեսիվ	0.143	0.434	0.202
depresson	NO TRANSLATION	0.135	0.400	0.308
deprivation	զրկանք	0.194	0.610	0.413
deprive	զրկել	0.271	0.591	0.340
deprived	զրկված է	0.354	0.506	0.536
depth	խորություն	0.708	0.561	0.759
deputy	պատգամավորը	0.429	0.530	0.787
derail	շեղել	0.108	0.802	0.375
deranged	ծնված	0.376	0.868	0.357
derelict	հեռացումից	0.208	0.470	0.237
derision	հալածանք	0.265	0.670	0.292
derivation	դերիվացիա	0.521	0.519	0.644
derivative	ածանցյալ	0.541	0.491	0.508
derive	ստացեք	0.396	0.324	0.360
dermal	dermal	0.385	0.406	0.443
dermatologist	մաշկաբան	0.531	0.358	0.528
dermatology	մաշկաբանություն	0.422	0.500	0.556
derogation	շեղում	0.208	0.460	0.327
derogatory	հերքող	0.122	0.580	0.404
descend	իջնել	0.385	0.535	0.231
descendant	ժառանգորդը	0.684	0.420	0.625
descendent	NO TRANSLATION	0.391	0.480	0.565
descending	նվազում է	0.219	0.493	0.250
descent	ծագումնաբանություն	0.300	0.402	0.158
describe	նկարագրել	0.542	0.472	0.555
description	նկարագրությունը	0.582	0.425	0.596
descriptive	նկարագրող	0.667	0.352	0.570
desecrate	նենգություն	0.255	0.806	0.509
desecration	նսեմացում	0.125	0.833	0.564
desert	անապատ	0.469	0.279	0.389
deserted	անապատում	0.156	0.480	0.214
deserter	անապատում	0.122	0.710	0.366
desertion	անապատում	0.122	0.630	0.289
deserve	արժանանալ	0.802	0.436	0.613
deserved	արժանի	0.781	0.582	0.689
deserving	արժանի	0.802	0.596	0.858
design	դիզայն	0.796	0.327	0.632
designate	նշանակել	0.531	0.538	0.683
designated	նշանակված	0.500	0.412	0.616
designation	նշում	0.612	0.571	0.675
designed	նախագծված է	0.745	0.380	0.595
designer	դիզայներ	0.875	0.519	0.670
designing	նախագծում	0.792	0.355	0.552
desirability	ցանկալիություն	0.684	0.550	0.675
desirable	ցանկալի	0.740	0.735	0.750
desire	ցանկություն	0.896	0.692	0.647
desiring	ցանկանալով	0.814	0.821	0.632
desirous	ցանկալի	0.719	0.824	0.562
desist	հեռացնել	0.220	0.358	0.291
desk	գրասեղան	0.510	0.135	0.422
desolate	ամայի	0.104	0.320	0.228
desolation	անապատացում	0.073	0.481	0.273
despair	հուսահատություն	0.115	0.794	0.245
despairing	հուսահատություն	0.073	0.735	0.286
despatch	առաքում	0.448	0.400	0.613
desperado	հուսահատություն	0.260	0.745	0.361
desperate	հուսահատ	0.083	0.842	0.337
desperation	հուսահատություն	0.125	0.904	0.419
despicable	արհամարհելի	0.146	0.710	0.255
despise	արհամարհանք	0.167	0.745	0.296
despondent	անհանգստություն	0.133	0.378	0.221
despotic	դեպրոտիկ	0.141	0.824	0.592
despotism	դեպրոտիզմը	0.255	0.696	0.620
dessert	աղանդեր	0.755	0.491	0.404
destination	նպատակակետ	0.708	0.471	0.637
destined	կանխորոշված	0.698	0.462	0.617
destiny	ճակատագիր	0.781	0.413	0.611
destitute	անպիտան	0.130	0.451	0.222
destroy	ոչնչացնել	0.046	0.935	0.635
destroyed	ոչնչացվեց	0.031	0.696	0.288
destroyer	կործանիչ	0.083	0.830	0.543
destroying	ոչնչացնելով	0.041	0.828	0.660
destruct	կործանում	0.071	0.868	0.525
destruction	ոչնչացում	0.102	0.929	0.613
destructive	կործանարար	0.177	0.870	0.713
detach	հեռացնել	0.357	0.625	0.450
detached	առանձնացված	0.280	0.396	0.216
detachment	ջոկատը	0.243	0.700	0.443
detail	մանրամասն	0.514	0.406	0.528
detailed	մանրամասն	0.603	0.314	0.472
details	մանրամասները	0.583	0.367	0.481
detain	ձերբակալված	0.351	0.345	0.430
detainee	ձերբակալվածը	0.306	0.510	0.321
detect	հայտնաբերել	0.531	0.520	0.565
detectable	հայտնաբերելի	0.479	0.539	0.649
detection	հայտնաբերում	0.708	0.567	0.538
detective	խուզարկու	0.500	0.764	0.901
detector	դետեկտոր	0.459	0.630	0.724
detention	կալանավորումը	0.265	0.698	0.562
deter	խանգարում	0.344	0.537	0.567
detergent	լվացքի մեքենա	0.458	0.304	0.426
deteriorate	վատթարանալը	0.083	0.471	0.202
deteriorated	վատթարացել է	0.053	0.549	0.237
deteriorating	վատթարանալով	0.104	0.459	0.112
deterioration	վատթարացում	0.130	0.512	0.283
determinable	որոշելի	0.625	0.565	0.723
determinate	որոշում	0.630	0.314	0.772
determination	որոշումը	0.776	0.725	0.795
determine	որոշել	0.612	0.368	0.776
determined	որոշեց	0.760	0.528	0.673
deterrent	կանխարգելիչ	0.292	0.461	0.385
detest	զզվելի	0.083	0.800	0.492
detestation	նենգություն	0.177	0.637	0.412
detonate	պայթեցնել	0.375	0.850	0.696
detonation	պայթեցումը	0.167	0.931	0.741
detonator	դետոնատոր	0.207	0.875	0.750
detour	շեղում	0.398	0.539	0.309
detract	պակասեցնելը	0.344	0.438	0.368
detriment	վնասակար	0.281	0.538	0.263
detrimental	վնասակար	0.203	0.679	0.387
detritus	դետրիդ	0.276	0.353	0.363
deuce	դեվիստ	0.479	0.338	0.425
deutschmark	դեզչմարք	0.439	0.431	0.509
devalued	արժեզրկված	0.321	0.462	0.212
devastate	կործանարար	0.021	0.796	0.509
devastated	ավերված	0.120	0.544	0.264
devastating	կործանարար	0.104	0.856	0.419
devastation	ավերածություն	0.090	0.904	0.472
develop	զարգացնել	0.771	0.670	0.821
developer	մշակողը	0.844	0.653	0.864
developing	զարգացում	0.833	0.587	0.714
development	զարգացում	0.827	0.500	0.796
deviant	deviant	0.094	0.589	0.398
deviate	շեղվել	0.173	0.562	0.269
deviating	շեղվելով	0.354	0.634	0.536
deviation	շեղում	0.105	0.513	0.336
device	սարքը	0.562	0.404	0.627
devil	Սատանա	0.161	0.900	0.611
deviled	շեղվեց	0.347	0.559	0.358
devilish	դավադրություն	0.073	0.865	0.490
devious	խարդախ	0.250	0.519	0.259
devise	կառուցել	0.551	0.557	0.670
devoid	անպիտան	0.219	0.436	0.300
devolution	դավադրություն	0.345	0.434	0.425
devolve	դադարեցրեք	0.367	0.427	0.596
devote	նվիրաբերել	0.802	0.490	0.642
devoted	նվիրված	0.867	0.320	0.698
devotee	նվիրյալ	0.816	0.461	0.577
devotion	նվիրվածություն	0.802	0.561	0.673
devotional	նվիրվածություն	0.740	0.394	0.655
devour	կուլ տալ	0.344	0.888	0.574
devout	դավաճան	0.620	0.357	0.464
dew	ցող	0.604	0.225	0.464
dexter	դեչեր	0.458	0.473	0.444
dexterity	ճարտարություն	0.771	0.673	0.864
dextrose	դեքստրոզ	0.333	0.402	0.323
diabetes	շաքարախտը	0.051	0.472	0.279
diabetic	դիաբետիկ	0.125	0.269	0.237
diabolical	դիվանագիտական	0.102	0.912	0.456
diagnose	ախտորոշել	0.378	0.520	0.714
diagnosis	ախտորոշում	0.571	0.500	0.819
diagnostic	ախտորոշիչ	0.417	0.483	0.635
diagnostics	ախտորոշում	0.540	0.440	0.750
diagonal	անկյունագծային	0.500	0.343	0.410
diagram	դիագրամ	0.562	0.357	0.445
dial	հավաքեք	0.620	0.427	0.596
dialect	բարբառով	0.635	0.422	0.526
dialectic	դիալեկտիկա	0.510	0.540	0.638
dialogue	երկխոսություն	0.599	0.441	0.625
dialysis	դիալիզի	0.194	0.567	0.407
diameter	տրամագիծը	0.427	0.298	0.483
diamond	ալմաստը	0.910	0.606	0.769
diamonds	ադամանդներ	0.927	0.684	0.917
diaper	մանկապարտեզ	0.409	0.274	0.155
diaphragm	դիֆրագմ	0.459	0.337	0.517
diarrhea	փորլուծություն	0.092	0.684	0.143
diarrhoea	փորլուծություն	0.038	0.692	0.250
diary	օրագիր	0.698	0.292	0.464
diatribe	դիաթրիբե	0.354	0.569	0.409
dib	NO TRANSLATION	0.479	0.370	0.344
dibs	dibs	0.510	0.410	0.391
dice	զառախաղ	0.458	0.441	0.264
dicey	dicey	0.290	0.833	0.727
dichotomous	երկչոտ	0.365	0.452	0.538
dichotomy	երկչոտություն	0.323	0.482	0.483
dick	դիք	0.208	0.500	0.462
dickhead	Ձեռքի Աշխատանք	0.115	0.608	0.284
dicks	դիկս	0.310	0.694	0.358
dictate	թելադրել	0.480	0.423	0.668
dictation	թելադրանք	0.255	0.378	0.627
dictator	դիկտատոր	0.073	0.760	0.862
dictatorial	դիկտատորական	0.204	0.770	0.840
dictatorship	դիկտատուրա	0.082	0.806	0.784
diction	երկխոսություն	0.439	0.373	0.679
dictionary	Բառարան	0.620	0.250	0.598
dictum	NO TRANSLATION	0.385	0.510	0.528
didactic	դիդակտիկ	0.645	0.480	0.673
diddle	դրդել	0.429	0.566	0.393
die	NO TRANSLATION	0.031	0.765	0.259
died	մահացավ	0.021	0.650	0.327
diesel	դիզել	0.490	0.327	0.448
diet	դիետան	0.429	0.235	0.398
dietary	դիետիկ	0.551	0.220	0.261
differ	տարբերվում	0.230	0.398	0.396
difference	տարբերություն	0.474	0.560	0.483
differences	տարբերություններ	0.365	0.582	0.342
different	տարբեր են	0.612	0.394	0.473
differential	դիֆերենցիալ	0.520	0.378	0.535
differentiation	տարբերակումը	0.367	0.561	0.535
differently	այլ կերպ	0.480	0.431	0.506
differing	տարբեր	0.418	0.410	0.455
difficult	դժվար է	0.235	0.700	0.508
difficulties	դժվարությունները	0.082	0.784	0.357
difficulty	դժվարություն	0.079	0.740	0.368
diffuse	ցրված	0.430	0.431	0.321
diffusion	դիֆուզիոն	0.356	0.615	0.517
dig	NO TRANSLATION	0.367	0.585	0.637
digest	մարսողություն	0.720	0.413	0.483
digestion	մարսողություն	0.531	0.410	0.455
digestive	մարսողական	0.542	0.413	0.434
digit	նիշը	0.447	0.286	0.333
digital	թվային	0.740	0.382	0.529
dignified	արժանապատիվ	0.766	0.481	0.635
dignify	արժանապատվորեն	0.854	0.588	0.735
dignity	արժանապատվությունը	0.844	0.391	0.873
digress	զեղչ	0.271	0.625	0.411
digs	քանդում	0.448	0.670	0.635
dike	հեծանիվ	0.360	0.384	0.490
dilapidated	խորտակված	0.229	0.618	0.286
dilatation	դիլատացիա	0.385	0.574	0.368
dilation	դիալիզացիա	0.347	0.490	0.578
dildo	Դրսում	0.536	0.587	0.491
dilemma	երկընտրանքը	0.153	0.590	0.430
diligence	ջանասիրություն	0.688	0.423	0.700
diligent	ջանասեր	0.760	0.426	0.759
dill	սամիթ	0.427	0.360	0.373
diluent	ողողող	0.417	0.344	0.332
dilute	նոսրացնելով	0.275	0.192	0.349
diluted	զզվելով	0.469	0.310	0.229
dilution	լվացում	0.445	0.337	0.352
dim	խիտ	0.398	0.321	0.273
dime	դայմ	0.653	0.317	0.345
dimension	չափսը	0.592	0.415	0.627
dimensional	ծավալային	0.561	0.484	0.596
diminish	նվազեցնելով	0.240	0.357	0.167
diminished	նվազեցված	0.156	0.269	0.196
diminution	նվազեցում	0.316	0.296	0.245
diminutive	նվազագույնը	0.323	0.200	0.109
